"AttributeId","ArenaPos","ItemRewardArray","MoneyRewardArray","RewardDescription","NoticeId"
"109000086","85","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000087","86","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000088","87","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000089","88","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000090","89","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000091","90","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000092","91","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000093","92","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000094","93","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000095","94","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000096","95","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000097","96","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000098","97","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000099","98","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000100","99","(31061003,1)","(2,60000,13,33000)","90090587","93000025"
"109000101","100","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000102","101","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000103","102","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000104","103","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000105","104","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000106","105","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000107","106","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000108","107","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000109","108","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000110","109","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000111","110","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000112","111","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000113","112","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000114","113","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000115","114","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000116","115","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000117","116","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000118","117","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000119","118","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000120","119","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000121","120","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000122","121","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000123","122","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000124","123","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000125","124","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000126","125","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000127","126","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000128","127","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000129","128","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000130","129","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000131","130","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000132","131","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000133","132","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000134","133","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000135","134","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000136","135","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000137","136","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000138","137","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000139","138","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000140","139","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000141","140","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000142","141","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000143","142","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000144","143","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000145","144","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000146","145","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000147","146","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000148","147","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000149","148","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000150","149","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000151","150","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000152","151","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000153","152","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000154","153","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000155","154","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000156","155","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000157","156","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000158","157","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000159","158","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000160","159","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000161","160","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000162","161","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000163","162","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000164","163","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000165","164","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000166","165","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000167","166","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000168","167","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000169","168","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000170","169","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000171","170","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000172","171","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000173","172","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000174","173","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000175","174","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000176","175","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000177","176","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000178","177","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000179","178","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000180","179","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000181","180","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000182","181","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000183","182","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000184","183","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000185","184","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000186","185","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000187","186","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000188","187","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000189","188","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000190","189","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000191","190","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000192","191","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000193","192","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000194","193","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000195","194","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000196","195","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000197","196","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000198","197","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000199","198","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000200","199","(31061002,1)","(2,55000,13,29000)","90090588","93000025"
"109000201","200","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000202","201","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000203","202","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000204","203","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000205","204","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000206","205","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000207","206","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000208","207","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000209","208","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000210","209","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000211","210","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000212","211","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000213","212","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000214","213","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000215","214","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000216","215","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000217","216","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000218","217","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000219","218","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000220","219","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000221","220","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000222","221","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000223","222","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000224","223","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000225","224","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000226","225","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000227","226","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000228","227","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000229","228","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000230","229","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000231","230","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000232","231","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000233","232","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000234","233","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000235","234","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000236","235","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000237","236","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000238","237","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000239","238","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000240","239","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000241","240","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000242","241","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000243","242","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000244","243","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000245","244","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000246","245","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000247","246","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000248","247","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000249","248","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000250","249","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000251","250","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000252","251","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000253","252","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000254","253","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000255","254","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000256","255","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000257","256","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000258","257","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000259","258","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000260","259","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000261","260","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000262","261","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000263","262","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000264","263","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000265","264","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000266","265","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000267","266","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000268","267","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000269","268","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000270","269","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000271","270","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000272","271","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000273","272","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000274","273","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000275","274","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000276","275","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000277","276","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000278","277","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000279","278","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000280","279","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000281","280","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000282","281","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000283","282","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000284","283","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000285","284","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000286","285","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000287","286","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000288","287","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000289","288","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000290","289","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000291","290","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000292","291","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000293","292","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000294","293","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000295","294","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000296","295","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000297","296","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000298","297","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000299","298","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000300","299","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000301","300","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000302","301","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000303","302","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000304","303","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000305","304","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000306","305","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000307","306","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000308","307","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000309","308","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000310","309","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000311","310","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000312","311","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000313","312","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000314","313","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000315","314","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000316","315","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000317","316","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000318","317","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000319","318","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000320","319","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000321","320","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000322","321","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000323","322","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000324","323","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000325","324","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000326","325","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000327","326","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000328","327","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000329","328","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000330","329","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000331","330","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000332","331","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000333","332","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000334","333","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000335","334","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000336","335","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000337","336","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000338","337","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000339","338","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000340","339","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000341","340","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000342","341","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000343","342","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000344","343","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000345","344","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000346","345","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000347","346","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000348","347","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000349","348","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000350","349","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000351","350","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000352","351","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000353","352","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000354","353","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000355","354","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000356","355","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000357","356","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000358","357","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000359","358","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000360","359","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000361","360","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000362","361","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000363","362","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000364","363","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000365","364","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000366","365","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000367","366","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000368","367","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000369","368","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000370","369","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000371","370","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000372","371","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000373","372","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000374","373","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000375","374","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000376","375","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000377","376","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000378","377","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000379","378","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000380","379","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000381","380","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000382","381","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000383","382","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000384","383","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000385","384","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
"109000386","385","(31061002,1)","(2,50000,13,26000)","90090589","93000025"
