"AttributeId","quality_level","AttType","MaxUpgradeLevel","AttNum","BasicAtt1","BasicAtt2","BasicAtt3","UpgradeAttEach1","UpgradeAttEach2","UpgradeAttEach3","UpgradeId","BuffIdArray","ItemTemplateId"
"141010012","1","12","100","2","(4,11,500,0,1)","(4,16,150,0,1)","","(4,11,75,0,1)","(4,16,23,0,1)","","142010001","(10990340,10990341,10990342,10990343,10990344,10990345,10990346)","31130012"
"141010013","1","13","100","2","(4,12,500,0,1)","(4,16,150,0,1)","","(4,12,75,0,1)","(4,16,23,0,1)","","142010001","(10990298,10990299,10990300,10990301,10990302,10990303,10990304)","31130013"
"141010014","1","14","100","3","(4,5,250,0,1)","(4,6,250,0,1)","(4,16,150,0,1)","(4,5,38,0,1)","(4,6,38,0,1)","(4,16,23,0,1)","142010001","(10990305,10990306,10990307,10990308,10990309,10990310,10990311)","31130014"
"141010015","1","15","100","2","(4,7,1500,0,1)","(4,20,150,0,1)","","(4,7,225,0,1)","(4,20,23,0,1)","","142010001","(10990312,10990313,10990314,10990315,10990316,10990317,10990318)","31130015"
"141010016","1","16","100","2","(4,8,3000,0,1)","(4,20,150,0,1)","","(4,8,450,0,1)","(4,20,23,0,1)","","142010001","(10990319,10990320,10990321,10990322,10990323,10990324,10990325)","31130016"
"141010017","1","17","100","2","(4,9,250,0,1)","(4,20,150,0,1)","","(4,9,38,0,1)","(4,20,23,0,1)","","142010001","(10990326,10990327,10990328,10990329,10990330,10990331,10990332)","31130017"
"141010018","1","18","100","2","(4,10,250,0,1)","(4,20,150,0,1)","","(4,10,38,0,1)","(4,20,23,0,1)","","142010001","(10990333,10990334,10990335,10990336,10990337,10990338,10990339)","31130018"
"141010019","1","19","100","2","(4,11,500,0,1)","(4,20,150,0,1)","","(4,11,75,0,1)","(4,20,23,0,1)","","142010001","(10990340,10990341,10990342,10990343,10990344,10990345,10990346)","31130019"
"141010020","1","20","100","2","(4,12,500,0,1)","(4,20,150,0,1)","","(4,12,75,0,1)","(4,20,23,0,1)","","142010001","(10990298,10990299,10990300,10990301,10990302,10990303,10990304)","31130020"
"141010021","1","21","100","3","(4,5,250,0,1)","(4,6,250,0,1)","(4,20,150,0,1)","(4,5,38,0,1)","(4,6,38,0,1)","(4,20,23,0,1)","142010001","(10990305,10990306,10990307,10990308,10990309,10990310,10990311)","31130021"
"141010022","1","22","100","2","(4,7,1500,0,1)","(4,22,150,0,1)","","(4,7,225,0,1)","(4,22,23,0,1)","","142010001","(10990312,10990313,10990314,10990315,10990316,10990317,10990318)","31130022"
"141010023","1","23","100","2","(4,8,3000,0,1)","(4,22,150,0,1)","","(4,8,450,0,1)","(4,22,23,0,1)","","142010001","(10990319,10990320,10990321,10990322,10990323,10990324,10990325)","31130023"
"141010024","1","24","100","2","(4,9,250,0,1)","(4,22,150,0,1)","","(4,9,38,0,1)","(4,22,23,0,1)","","142010001","(10990326,10990327,10990328,10990329,10990330,10990331,10990332)","31130024"
"141010025","1","25","100","2","(4,10,250,0,1)","(4,22,150,0,1)","","(4,10,38,0,1)","(4,22,23,0,1)","","142010001","(10990333,10990334,10990335,10990336,10990337,10990338,10990339)","31130025"
"141010026","1","26","100","2","(4,11,500,0,1)","(4,22,150,0,1)","","(4,11,75,0,1)","(4,22,23,0,1)","","142010001","(10990340,10990341,10990342,10990343,10990344,10990345,10990346)","31130026"
"141010027","1","27","100","2","(4,12,500,0,1)","(4,22,150,0,1)","","(4,12,75,0,1)","(4,22,23,0,1)","","142010001","(10990298,10990299,10990300,10990301,10990302,10990303,10990304)","31130027"
"141010028","1","28","100","3","(4,5,250,0,1)","(4,6,250,0,1)","(4,22,150,0,1)","(4,5,38,0,1)","(4,6,38,0,1)","(4,22,23,0,1)","142010001","(10990305,10990306,10990307,10990308,10990309,10990310,10990311)","31130028"
"141020001","2","1","100","2","(4,7,2550,0,1)","(4,18,255,0,1)","","(4,7,325,0,1)","(4,18,33,0,1)","","142020001","(10990312,10990313,10990314,10990315,10990316,10990317,10990318)","31130029"
"141020002","2","2","100","2","(4,8,5100,0,1)","(4,18,255,0,1)","","(4,8,650,0,1)","(4,18,33,0,1)","","142020001","(10990319,10990320,10990321,10990322,10990323,10990324,10990325)","31130030"
"141020003","2","3","100","2","(4,9,425,0,1)","(4,18,255,0,1)","","(4,9,55,0,1)","(4,18,33,0,1)","","142020001","(10990326,10990327,10990328,10990329,10990330,10990331,10990332)","31130031"
"141020004","2","4","100","2","(4,10,425,0,1)","(4,18,255,0,1)","","(4,10,55,0,1)","(4,18,33,0,1)","","142020001","(10990333,10990334,10990335,10990336,10990337,10990338,10990339)","31130032"
"141020005","2","5","100","2","(4,11,850,0,1)","(4,18,255,0,1)","","(4,11,109,0,1)","(4,18,33,0,1)","","142020001","(10990340,10990341,10990342,10990343,10990344,10990345,10990346)","31130033"
"141020006","2","6","100","2","(4,12,850,0,1)","(4,18,255,0,1)","","(4,12,109,0,1)","(4,18,33,0,1)","","142020001","(10990298,10990299,10990300,10990301,10990302,10990303,10990304)","31130034"
"141020007","2","7","100","3","(4,5,425,0,1)","(4,6,425,0,1)","(4,18,255,0,1)","(4,5,55,0,1)","(4,6,55,0,1)","(4,18,33,0,1)","142020001","(10990305,10990306,10990307,10990308,10990309,10990310,10990311)","31130035"
"141020008","2","8","100","2","(4,7,2550,0,1)","(4,16,255,0,1)","","(4,7,325,0,1)","(4,16,33,0,1)","","142020001","(10990312,10990313,10990314,10990315,10990316,10990317,10990318)","31130036"
"141020009","2","9","100","2","(4,8,5100,0,1)","(4,16,255,0,1)","","(4,8,650,0,1)","(4,16,33,0,1)","","142020001","(10990319,10990320,10990321,10990322,10990323,10990324,10990325)","31130037"
"141020010","2","10","100","2","(4,9,425,0,1)","(4,16,255,0,1)","","(4,9,55,0,1)","(4,16,33,0,1)","","142020001","(10990326,10990327,10990328,10990329,10990330,10990331,10990332)","31130038"
"141020011","2","11","100","2","(4,10,425,0,1)","(4,16,255,0,1)","","(4,10,55,0,1)","(4,16,33,0,1)","","142020001","(10990333,10990334,10990335,10990336,10990337,10990338,10990339)","31130039"
"141020012","2","12","100","2","(4,11,850,0,1)","(4,16,255,0,1)","","(4,11,109,0,1)","(4,16,33,0,1)","","142020001","(10990340,10990341,10990342,10990343,10990344,10990345,10990346)","31130040"
"141020013","2","13","100","2","(4,12,850,0,1)","(4,16,255,0,1)","","(4,12,109,0,1)","(4,16,33,0,1)","","142020001","","31130041"
"141020014","2","14","100","3","(4,5,425,0,1)","(4,6,425,0,1)","(4,16,255,0,1)","(4,5,55,0,1)","(4,6,55,0,1)","(4,16,33,0,1)","142020001","","31130042"
"141020015","2","15","100","2","(4,7,2550,0,1)","(4,20,255,0,1)","","(4,7,325,0,1)","(4,20,33,0,1)","","142020001","","31130043"
"141020016","2","16","100","2","(4,8,5100,0,1)","(4,20,255,0,1)","","(4,8,650,0,1)","(4,20,33,0,1)","","142020001","","31130044"
"141020017","2","17","100","2","(4,9,425,0,1)","(4,20,255,0,1)","","(4,9,55,0,1)","(4,20,33,0,1)","","142020001","","31130045"
"141020018","2","18","100","2","(4,10,425,0,1)","(4,20,255,0,1)","","(4,10,55,0,1)","(4,20,33,0,1)","","142020001","","31130046"
"141020019","2","19","100","2","(4,11,850,0,1)","(4,20,255,0,1)","","(4,11,109,0,1)","(4,20,33,0,1)","","142020001","","31130047"
"141020020","2","20","100","2","(4,12,850,0,1)","(4,20,255,0,1)","","(4,12,109,0,1)","(4,20,33,0,1)","","142020001","","31130048"
"141020021","2","21","100","3","(4,5,425,0,1)","(4,6,425,0,1)","(4,20,255,0,1)","(4,5,55,0,1)","(4,6,55,0,1)","(4,20,33,0,1)","142020001","","31130049"
"141020022","2","22","100","2","(4,7,2550,0,1)","(4,22,255,0,1)","","(4,7,325,0,1)","(4,22,33,0,1)","","142020001","","31130050"
"141020023","2","23","100","2","(4,8,5100,0,1)","(4,22,255,0,1)","","(4,8,650,0,1)","(4,22,33,0,1)","","142020001","","31130051"
"141020024","2","24","100","2","(4,9,425,0,1)","(4,22,255,0,1)","","(4,9,55,0,1)","(4,22,33,0,1)","","142020001","","31130052"
"141020025","2","25","100","2","(4,10,425,0,1)","(4,22,255,0,1)","","(4,10,55,0,1)","(4,22,33,0,1)","","142020001","","31130053"
"141020026","2","26","100","2","(4,11,850,0,1)","(4,22,255,0,1)","","(4,11,109,0,1)","(4,22,33,0,1)","","142020001","","31130054"
"141020027","2","27","100","2","(4,12,850,0,1)","(4,22,255,0,1)","","(4,12,109,0,1)","(4,22,33,0,1)","","142020001","","31130055"
"141020028","2","28","100","3","(4,5,425,0,1)","(4,6,425,0,1)","(4,22,255,0,1)","(4,5,55,0,1)","(4,6,55,0,1)","(4,22,33,0,1)","142020001","","31130056"
"141030001","3","1","100","2","(4,7,4200,0,1)","(4,18,420,0,1)","","(4,7,463,0,1)","(4,18,47,0,1)","","142030001","","31130057"
"141030002","3","2","100","2","(4,8,8400,0,1)","(4,18,420,0,1)","","(4,8,925,0,1)","(4,18,47,0,1)","","142030001","","31130058"
"141030003","3","3","100","2","(4,9,700,0,1)","(4,18,420,0,1)","","(4,9,78,0,1)","(4,18,47,0,1)","","142030001","","31130059"
"141030004","3","4","100","2","(4,10,700,0,1)","(4,18,420,0,1)","","(4,10,78,0,1)","(4,18,47,0,1)","","142030001","","31130060"
"141030005","3","5","100","2","(4,11,1400,0,1)","(4,18,420,0,1)","","(4,11,155,0,1)","(4,18,47,0,1)","","142030001","","31130061"
"141030006","3","6","100","2","(4,12,1400,0,1)","(4,18,420,0,1)","","(4,12,155,0,1)","(4,18,47,0,1)","","142030001","","31130062"
"141030007","3","7","100","3","(4,5,700,0,1)","(4,6,700,0,1)","(4,18,420,0,1)","(4,5,78,0,1)","(4,6,78,0,1)","(4,18,47,0,1)","142030001","","31130063"
"141030008","3","8","100","2","(4,7,4200,0,1)","(4,16,420,0,1)","","(4,7,463,0,1)","(4,16,47,0,1)","","142030001","","31130064"
"141030009","3","9","100","2","(4,8,8400,0,1)","(4,16,420,0,1)","","(4,8,925,0,1)","(4,16,47,0,1)","","142030001","","31130065"
"141030010","3","10","100","2","(4,9,700,0,1)","(4,16,420,0,1)","","(4,9,78,0,1)","(4,16,47,0,1)","","142030001","","31130066"
"141030011","3","11","100","2","(4,10,700,0,1)","(4,16,420,0,1)","","(4,10,78,0,1)","(4,16,47,0,1)","","142030001","","31130067"
"141030012","3","12","100","2","(4,11,1400,0,1)","(4,16,420,0,1)","","(4,11,155,0,1)","(4,16,47,0,1)","","142030001","","31130068"
"141030013","3","13","100","2","(4,12,1400,0,1)","(4,16,420,0,1)","","(4,12,155,0,1)","(4,16,47,0,1)","","142030001","","31130069"
"141030014","3","14","100","3","(4,5,700,0,1)","(4,6,700,0,1)","(4,16,420,0,1)","(4,5,78,0,1)","(4,6,78,0,1)","(4,16,47,0,1)","142030001","","31130070"
"141030015","3","15","100","2","(4,7,4200,0,1)","(4,20,420,0,1)","","(4,7,463,0,1)","(4,20,47,0,1)","","142030001","","31130071"
"141030016","3","16","100","2","(4,8,8400,0,1)","(4,20,420,0,1)","","(4,8,925,0,1)","(4,20,47,0,1)","","142030001","","31130072"
"141030017","3","17","100","2","(4,9,700,0,1)","(4,20,420,0,1)","","(4,9,78,0,1)","(4,20,47,0,1)","","142030001","","31130073"
"141030018","3","18","100","2","(4,10,700,0,1)","(4,20,420,0,1)","","(4,10,78,0,1)","(4,20,47,0,1)","","142030001","","31130074"
"141030019","3","19","100","2","(4,11,1400,0,1)","(4,20,420,0,1)","","(4,11,155,0,1)","(4,20,47,0,1)","","142030001","","31130075"
"141030020","3","20","100","2","(4,12,1400,0,1)","(4,20,420,0,1)","","(4,12,155,0,1)","(4,20,47,0,1)","","142030001","","31130076"
"141030021","3","21","100","3","(4,5,700,0,1)","(4,6,700,0,1)","(4,20,420,0,1)","(4,5,78,0,1)","(4,6,78,0,1)","(4,20,47,0,1)","142030001","","31130077"
"141030022","3","22","100","2","(4,7,4200,0,1)","(4,22,420,0,1)","","(4,7,463,0,1)","(4,22,47,0,1)","","142030001","","31130078"
"141030023","3","23","100","2","(4,8,8400,0,1)","(4,22,420,0,1)","","(4,8,925,0,1)","(4,22,47,0,1)","","142030001","","31130079"
"141030024","3","24","100","2","(4,9,700,0,1)","(4,22,420,0,1)","","(4,9,78,0,1)","(4,22,47,0,1)","","142030001","","31130080"
"141030025","3","25","100","2","(4,10,700,0,1)","(4,22,420,0,1)","","(4,10,78,0,1)","(4,22,47,0,1)","","142030001","","31130081"
"141030026","3","26","100","2","(4,11,1400,0,1)","(4,22,420,0,1)","","(4,11,155,0,1)","(4,22,47,0,1)","","142030001","","31130082"
"141030027","3","27","100","2","(4,12,1400,0,1)","(4,22,420,0,1)","","(4,12,155,0,1)","(4,22,47,0,1)","","142030001","","31130083"
"141030028","3","28","100","3","(4,5,700,0,1)","(4,6,700,0,1)","(4,22,420,0,1)","(4,5,78,0,1)","(4,6,78,0,1)","(4,22,47,0,1)","142030001","","31130084"
"141040001","4","1","100","2","(4,7,6900,0,1)","(4,18,690,0,1)","","(4,7,638,0,1)","(4,18,64,0,1)","","142040001","","31130085"
"141040002","4","2","100","2","(4,8,13800,0,1)","(4,18,690,0,1)","","(4,8,1275,0,1)","(4,18,64,0,1)","","142040001","","31130086"
"141040003","4","3","100","2","(4,9,1150,0,1)","(4,18,690,0,1)","","(4,9,107,0,1)","(4,18,64,0,1)","","142040001","","31130087"
"141040004","4","4","100","2","(4,10,1150,0,1)","(4,18,690,0,1)","","(4,10,107,0,1)","(4,18,64,0,1)","","142040001","","31130088"
"141040005","4","5","100","2","(4,11,2300,0,1)","(4,18,690,0,1)","","(4,11,213,0,1)","(4,18,64,0,1)","","142040001","","31130089"
"141040006","4","6","100","2","(4,12,2300,0,1)","(4,18,690,0,1)","","(4,12,213,0,1)","(4,18,64,0,1)","","142040001","","31130090"
"141040007","4","7","100","3","(4,5,1150,0,1)","(4,6,1150,0,1)","(4,18,690,0,1)","(4,5,107,0,1)","(4,6,107,0,1)","(4,18,64,0,1)","142040001","","31130091"
"141040008","4","8","100","2","(4,7,6900,0,1)","(4,16,690,0,1)","","(4,7,638,0,1)","(4,16,64,0,1)","","142040001","","31130092"
"141040009","4","9","100","2","(4,8,13800,0,1)","(4,16,690,0,1)","","(4,8,1275,0,1)","(4,16,64,0,1)","","142040001","","31130093"
"141040010","4","10","100","2","(4,9,1150,0,1)","(4,16,690,0,1)","","(4,9,107,0,1)","(4,16,64,0,1)","","142040001","","31130094"
"141040011","4","11","100","2","(4,10,1150,0,1)","(4,16,690,0,1)","","(4,10,107,0,1)","(4,16,64,0,1)","","142040001","","31130095"
"141040012","4","12","100","2","(4,11,2300,0,1)","(4,16,690,0,1)","","(4,11,213,0,1)","(4,16,64,0,1)","","142040001","","31130096"
"141040013","4","13","100","2","(4,12,2300,0,1)","(4,16,690,0,1)","","(4,12,213,0,1)","(4,16,64,0,1)","","142040001","","31130097"
"141040014","4","14","100","3","(4,5,1150,0,1)","(4,6,1150,0,1)","(4,16,690,0,1)","(4,5,107,0,1)","(4,6,107,0,1)","(4,16,64,0,1)","142040001","","31130098"
"141040015","4","15","100","2","(4,7,6900,0,1)","(4,20,690,0,1)","","(4,7,638,0,1)","(4,20,64,0,1)","","142040001","","31130099"
"141040016","4","16","100","2","(4,8,13800,0,1)","(4,20,690,0,1)","","(4,8,1275,0,1)","(4,20,64,0,1)","","142040001","","31130100"
"141040017","4","17","100","2","(4,9,1150,0,1)","(4,20,690,0,1)","","(4,9,107,0,1)","(4,20,64,0,1)","","142040001","","31130101"
"141040018","4","18","100","2","(4,10,1150,0,1)","(4,20,690,0,1)","","(4,10,107,0,1)","(4,20,64,0,1)","","142040001","","31130102"
"141040019","4","19","100","2","(4,11,2300,0,1)","(4,20,690,0,1)","","(4,11,213,0,1)","(4,20,64,0,1)","","142040001","","31130103"
"141040020","4","20","100","2","(4,12,2300,0,1)","(4,20,690,0,1)","","(4,12,213,0,1)","(4,20,64,0,1)","","142040001","","31130104"
"141040021","4","21","100","3","(4,5,1150,0,1)","(4,6,1150,0,1)","(4,20,690,0,1)","(4,5,107,0,1)","(4,6,107,0,1)","(4,20,64,0,1)","142040001","","31130105"
"141040022","4","22","100","2","(4,7,6900,0,1)","(4,22,690,0,1)","","(4,7,638,0,1)","(4,22,64,0,1)","","142040001","","31130106"
"141040023","4","23","100","2","(4,8,13800,0,1)","(4,22,690,0,1)","","(4,8,1275,0,1)","(4,22,64,0,1)","","142040001","","31130107"
"141040024","4","24","100","2","(4,9,1150,0,1)","(4,22,690,0,1)","","(4,9,107,0,1)","(4,22,64,0,1)","","142040001","","31130108"
"141040025","4","25","100","2","(4,10,1150,0,1)","(4,22,690,0,1)","","(4,10,107,0,1)","(4,22,64,0,1)","","142040001","","31130109"
"141040026","4","26","100","2","(4,11,2300,0,1)","(4,22,690,0,1)","","(4,11,213,0,1)","(4,22,64,0,1)","","142040001","","31130110"
"141040027","4","27","100","2","(4,12,2300,0,1)","(4,22,690,0,1)","","(4,12,213,0,1)","(4,22,64,0,1)","","142040001","","31130111"
"141040028","4","28","100","3","(4,5,1150,0,1)","(4,6,1150,0,1)","(4,22,690,0,1)","(4,5,107,0,1)","(4,6,107,0,1)","(4,22,64,0,1)","142040001","","31130112"
"141050001","5","1","100","2","(4,7,11100,0,1)","(4,18,1110,0,1)","","(4,7,850,0,1)","(4,18,85,0,1)","","142040001","","31130113"
"141050002","5","2","100","2","(4,8,22200,0,1)","(4,18,1110,0,1)","","(4,8,1700,0,1)","(4,18,85,0,1)","","142050001","","31130114"
"141050003","5","3","100","2","(4,9,1850,0,1)","(4,18,1110,0,1)","","(4,9,142,0,1)","(4,18,85,0,1)","","142050001","","31130115"
"141050004","5","4","100","2","(4,10,1850,0,1)","(4,18,1110,0,1)","","(4,10,142,0,1)","(4,18,85,0,1)","","142050001","","31130116"
"141050005","5","5","100","2","(4,11,3700,0,1)","(4,18,1110,0,1)","","(4,11,284,0,1)","(4,18,85,0,1)","","142050001","","31130117"
"141050006","5","6","100","2","(4,12,3700,0,1)","(4,18,1110,0,1)","","(4,12,284,0,1)","(4,18,85,0,1)","","142050001","","31130118"
"141050007","5","7","100","3","(4,5,1850,0,1)","(4,6,1850,0,1)","(4,18,1110,0,1)","(4,5,142,0,1)","(4,6,142,0,1)","(4,18,85,0,1)","142050001","","31130119"
"141050008","5","8","100","2","(4,7,11100,0,1)","(4,16,1110,0,1)","","(4,7,850,0,1)","(4,16,85,0,1)","","142050001","","31130120"
"141050009","5","9","100","2","(4,8,22200,0,1)","(4,16,1110,0,1)","","(4,8,1700,0,1)","(4,16,85,0,1)","","142050001","","31130121"
"141050010","5","10","100","2","(4,9,1850,0,1)","(4,16,1110,0,1)","","(4,9,142,0,1)","(4,16,85,0,1)","","142050001","","31130122"
"141050011","5","11","100","2","(4,10,1850,0,1)","(4,16,1110,0,1)","","(4,10,142,0,1)","(4,16,85,0,1)","","142050001","","31130123"
"141050012","5","12","100","2","(4,11,3700,0,1)","(4,16,1110,0,1)","","(4,11,284,0,1)","(4,16,85,0,1)","","142050001","","31130124"
"141050013","5","13","100","2","(4,12,3700,0,1)","(4,16,1110,0,1)","","(4,12,284,0,1)","(4,16,85,0,1)","","142050001","","31130125"
"141050014","5","14","100","3","(4,5,1850,0,1)","(4,6,1850,0,1)","(4,16,1110,0,1)","(4,5,142,0,1)","(4,6,142,0,1)","(4,16,85,0,1)","142050001","","31130126"
"141050015","5","15","100","2","(4,7,11100,0,1)","(4,20,1110,0,1)","","(4,7,850,0,1)","(4,20,85,0,1)","","142050001","","31130127"
"141050016","5","16","100","2","(4,8,22200,0,1)","(4,20,1110,0,1)","","(4,8,1700,0,1)","(4,20,85,0,1)","","142050001","","31130128"
"141050017","5","17","100","2","(4,9,1850,0,1)","(4,20,1110,0,1)","","(4,9,142,0,1)","(4,20,85,0,1)","","142050001","","31130129"
"141050018","5","18","100","2","(4,10,1850,0,1)","(4,20,1110,0,1)","","(4,10,142,0,1)","(4,20,85,0,1)","","142050001","","31130130"
"141050019","5","19","100","2","(4,11,3700,0,1)","(4,20,1110,0,1)","","(4,11,284,0,1)","(4,20,85,0,1)","","142050001","","31130131"
"141050020","5","20","100","2","(4,12,3700,0,1)","(4,20,1110,0,1)","","(4,12,284,0,1)","(4,20,85,0,1)","","142050001","","31130132"
"141050021","5","21","100","3","(4,5,1850,0,1)","(4,6,1850,0,1)","(4,20,1110,0,1)","(4,5,142,0,1)","(4,6,142,0,1)","(4,20,85,0,1)","142050001","","31130133"
"141050022","5","22","100","2","(4,7,11100,0,1)","(4,22,1110,0,1)","","(4,7,850,0,1)","(4,22,85,0,1)","","142050001","","31130134"
"141050023","5","23","100","2","(4,8,22200,0,1)","(4,22,1110,0,1)","","(4,8,1700,0,1)","(4,22,85,0,1)","","142050001","","31130135"
"141050024","5","24","100","2","(4,9,1850,0,1)","(4,22,1110,0,1)","","(4,9,142,0,1)","(4,22,85,0,1)","","142050001","","31130136"
"141050025","5","25","100","2","(4,10,1850,0,1)","(4,22,1110,0,1)","","(4,10,142,0,1)","(4,22,85,0,1)","","142050001","","31130137"
"141050026","5","26","100","2","(4,11,3700,0,1)","(4,22,1110,0,1)","","(4,11,284,0,1)","(4,22,85,0,1)","","142050001","","31130138"
"141050027","5","27","100","2","(4,12,3700,0,1)","(4,22,1110,0,1)","","(4,12,284,0,1)","(4,22,85,0,1)","","142050001","","31130139"
"141050028","5","28","100","3","(4,5,1850,0,1)","(4,6,1850,0,1)","(4,22,1110,0,1)","(4,5,142,0,1)","(4,6,142,0,1)","(4,22,85,0,1)","142050001","","31130140"
"141060001","6","1","100","2","(4,7,16800,0,1)","(4,18,1680,0,1)","","(4,7,1100,0,1)","(4,18,110,0,1)","","142060001","","31130141"
"141060002","6","2","100","2","(4,8,33600,0,1)","(4,18,1680,0,1)","","(4,8,2200,0,1)","(4,18,110,0,1)","","142060001","","31130142"
"141060003","6","3","100","2","(4,9,2800,0,1)","(4,18,1680,0,1)","","(4,9,184,0,1)","(4,18,110,0,1)","","142060001","","31130143"
"141060004","6","4","100","2","(4,10,2800,0,1)","(4,18,1680,0,1)","","(4,10,184,0,1)","(4,18,110,0,1)","","142060001","","31130144"
"141060005","6","5","100","2","(4,11,5600,0,1)","(4,18,1680,0,1)","","(4,11,367,0,1)","(4,18,110,0,1)","","142060001","","31130145"
"141060006","6","6","100","2","(4,12,5600,0,1)","(4,18,1680,0,1)","","(4,12,367,0,1)","(4,18,110,0,1)","","142060001","","31130146"
"141060007","6","7","100","3","(4,5,2800,0,1)","(4,6,2800,0,1)","(4,18,1680,0,1)","(4,5,184,0,1)","(4,6,184,0,1)","(4,18,110,0,1)","142060001","","31130147"
"141060008","6","8","100","2","(4,7,16800,0,1)","(4,16,1680,0,1)","","(4,7,1100,0,1)","(4,16,110,0,1)","","142060001","","31130148"
"141060009","6","9","100","2","(4,8,33600,0,1)","(4,16,1680,0,1)","","(4,8,2200,0,1)","(4,16,110,0,1)","","142060001","","31130149"
"141060010","6","10","100","2","(4,9,2800,0,1)","(4,16,1680,0,1)","","(4,9,184,0,1)","(4,16,110,0,1)","","142060001","","31130150"
"141060011","6","11","100","2","(4,10,2800,0,1)","(4,16,1680,0,1)","","(4,10,184,0,1)","(4,16,110,0,1)","","142060001","","31130151"
"141060012","6","12","100","2","(4,11,5600,0,1)","(4,16,1680,0,1)","","(4,11,367,0,1)","(4,16,110,0,1)","","142060001","","31130152"
"141060013","6","13","100","2","(4,12,5600,0,1)","(4,16,1680,0,1)","","(4,12,367,0,1)","(4,16,110,0,1)","","142060001","","31130153"
"141060014","6","14","100","3","(4,5,2800,0,1)","(4,6,2800,0,1)","(4,16,1680,0,1)","(4,5,184,0,1)","(4,6,184,0,1)","(4,16,110,0,1)","142060001","","31130154"
"141060015","6","15","100","2","(4,7,16800,0,1)","(4,20,1680,0,1)","","(4,7,1100,0,1)","(4,20,110,0,1)","","142060001","","31130155"
"141060016","6","16","100","2","(4,8,33600,0,1)","(4,20,1680,0,1)","","(4,8,2200,0,1)","(4,20,110,0,1)","","142060001","","31130156"
"141060017","6","17","100","2","(4,9,2800,0,1)","(4,20,1680,0,1)","","(4,9,184,0,1)","(4,20,110,0,1)","","142060001","","31130157"
"141060018","6","18","100","2","(4,10,2800,0,1)","(4,20,1680,0,1)","","(4,10,184,0,1)","(4,20,110,0,1)","","142060001","","31130158"
"141060019","6","19","100","2","(4,11,5600,0,1)","(4,20,1680,0,1)","","(4,11,367,0,1)","(4,20,110,0,1)","","142060001","","31130159"
"141060020","6","20","100","2","(4,12,5600,0,1)","(4,20,1680,0,1)","","(4,12,367,0,1)","(4,20,110,0,1)","","142060001","","31130160"
"141060021","6","21","100","3","(4,5,2800,0,1)","(4,6,2800,0,1)","(4,20,1680,0,1)","(4,5,184,0,1)","(4,6,184,0,1)","(4,20,110,0,1)","142060001","","31130161"
"141060022","6","22","100","2","(4,7,16800,0,1)","(4,22,1680,0,1)","","(4,7,1100,0,1)","(4,22,110,0,1)","","142060001","","31130162"
"141060023","6","23","100","2","(4,8,33600,0,1)","(4,22,1680,0,1)","","(4,8,2200,0,1)","(4,22,110,0,1)","","142060001","","31130163"
"141060024","6","24","100","2","(4,9,2800,0,1)","(4,22,1680,0,1)","","(4,9,184,0,1)","(4,22,110,0,1)","","142060001","","31130164"
