"AttributeId","ResName"
"119001007","/Game/Model/Item/GoldCoin/Animations/AM_Coin_Stand.AM_Coin_Stand"
"119001101","/Game/Model/NPC/WenHao/Animations/AB_WenHao.AB_WenHao_C"
"119001102","/Game/Model/NPC/WenHao/Mesh/SM_Wenhao_Sk.SM_Wenhao_Sk"
"119001103","/Game/Model/NPC/WenHao/Mesh/SM_Wenhao.SM_WenHao"
"119001104","/Game/Model/NPC/WenHao/Animations/AM_WenHao_Born.AM_WenHao_Born"
"119001105","/Game/Model/NPC/WenHao/Animations/AM_WenHao_Stand.AM_WenHao_Stand"
"119001106","/Game/Model/NPC/WenHao/Animations/AM_WenHao_Dead.AM_WenHao_Dead"
"119001107","/Game/Model/NPC/WenHao/Animations/AM_WenHao_Talk.AM_WenHao_Talk"
"119001108","/Game/Model/NPC/WenHao/Mesh/SM_WenHao_Red.SM_WenHao_Red"
"119001109","/Game/Model/NPC/WenHao/Mesh/SM_WenHao_Yellow.SM_WenHao_Yellow"
"119001110","/Game/Model/NPC/WenHao/Mesh/SM_WenHao_Blue.SM_WenHao_Blue"
"119001111","/Game/Model/NPC/WenHao/Mesh/SM_WenHao_Green.SM_WenHao_Green"
"119001112","/Game/Model/NPC/WenHao/Animations/AM_WenHao_Choose.AM_WenHao_Choose"
"119001201","/Game/Model/NPC/Goldblin/Mesh/SM_Goldblin.SM_Goldblin"
"119001202","/Game/Model/NPC/Goldblin/Animations/AB_Goldblin.AB_Goldblin_C"
"119001203","/Game/Model/NPC/Goldblin/Animations/AM_Goldblin_TakeAll.AM_Goldblin_TakeAll"
"119001204","/Game/Model/NPC/Goldblin/Animations/AM_Goldblin_Attack.AM_Goldblin_Attack"
"119001205","/Game/Model/NPC/Goldblin/Animations/AM_Goldblin_Born.AM_Goldblin_Born"
"119001206","/Game/Model/NPC/Goldblin/Animations/AM_Goldblin_Dead.AM_Goldblin_Dead"
"119001301","/Game/Model/Item/BaoXiang/Mesh/SM_BaoXiang.SM_BaoXiang"
"119001302","/Game/Model/Item/BaoXiang/Animations/AB_BaoXiang.AB_BaoXiang_C"
"119001303","/Game/Model/Item/BaoXiang/Animations/AM_BaoXiang_Born.AM_BaoXiang_Born"
"119001304","/Game/Model/Item/BaoXiang/Animations/AM_BaoXiang_Dead.AM_BaoXiang_Dead"
"119001305","/Game/Model/Item/BaoXiang/Animations/AM_BaoXiang_Stand.AM_BaoXiang_Stand"
"119001306","/Game/Model/Item/BaoXiang/Animations/AM_BaoXiang_Stand.AM_BaoXiang_Stand"
"119001401","/Game/Model/Item/EXP/Mesh/SM_EXP.SM_EXP"
"119001402","/Game/Model/Item/EXP/Animations/AB_EXP.AB_EXP_C"
"119001403","/Game/Model/Item/EXP/Animations/AM_EXP_Born.AM_EXP_Born"
"119001404","/Game/Model/Item/EXP/Animations/AM_EXP_Dead.AM_EXP_Dead"
"119001405","/Game/Model/Item/EXP/Animations/AM_EXP_Stand.AM_EXP_Stand"
"119001406","/Game/Model/Item/EXP/Animations/AM_EXP_Stand.AM_EXP_Stand"
"119099999",""
