"AttributeId","ActivityTyp","TargetValue","AddValue","VIPAddNum","TagType","SubTabArray","ActivityOrder","ShowFlagArray","DesStringTemplateId","OpenTimeDescription","ExpTitleIcon","ExpTitleIconNum","MustDoRewardClass","PeopleTitleIcon","RewardClassArray","DynamicMoneyShow","StaticMoneyShow","ItemShow","WidgetJumpArray","IsCanFindBack","EffectLevelRange","DynamicFindBackInfo","StaticFindBackInfo","SiliverBackCost","DiamondBackCost","ItemFindBackArray","MapTemplateId","FuncUnlockName","SubscribeRewardId","InMapList"
"103000011","6","15","4","(0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5)","1","(0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0)","2","(1,1)","90090748","0","","","5","91232808","(0,5,5,5,0,0,3,5,0,0,0,0,0,0,0,0,4,0,0)","","","(31000107,1,31080086,1,31080075,1)","(91232621,90090145,92300002,-1,-1)","0","(0,999)","","","","","","71020001","DramaRaid","",""
"103000012","7","2","5","(0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3)","1","(0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0)","17","(1,1)","90090749","0","","","4","91232816","(0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0)","","(0,100000)","(31080069,1)","(91232622,90090148,92300003,4,-1)","1","(0,999)","","(5,120000)","18000","36","","71120001","MultiPlayerRaid5","",""
"103000013","-1","","","","","(0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0)","12","(1,1)","90090749","0","","","4","91290181","(0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0)","","(0,200000)","(31080069,1)","(91232622,90090148,92300003,3,-1)","0","(0,999)","","","","","","71120002","MultiPlayerRaid5","",""
"103000014","-1","","","","","(0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0)","12","(1,1)","90090749","0","","","4","91290181","(0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0)","","(0,360000)","(31080069,1)","(91232622,90090148,92300003,3,-1)","0","(0,999)","","","","","","71120003","MultiPlayerRaid5","",""
"103000015","-1","","","","","(0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0)","12","(1,1)","90090749","0","","","4","91290181","(0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0)","","(0,500000)","(31080069,1)","(91232622,90090148,92300003,3,-1)","0","(0,999)","","","","","","71120004","MultiPlayerRaid5","",""
"103000016","-1","","","","","(0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0)","12","(1,1)","90090749","0","","","4","91290181","(0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0)","","(0,620000)","(31080069,1)","(91232622,90090148,92300003,3,-1)","0","(0,999)","","","","","","71120005","MultiPlayerRaid5","",""
"103000017","8","2","10","(0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2)","1","(0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0)","7","(1,1)","90090750","0","","","4","91232817","(0,4,5,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000108,1,31000099,1,31000040,1)","(91232623,90090149,92300003,2,-1)","1","(0,999)","","","12500","25","(31000040,30,31000099,2,31000108,2)","71040002","MultiPlayerRaid2","",""
"103000018","-1","","","","","(0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0)","9","(1,1)","90090750","0","","","4","91290182","(0,4,5,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000040,1,31000099,1)","(91232623,90090149,92300004,2,-1)","0","(0,999)","","","","","","71040008","MultiPlayerRaid2","",""
"103000019","-1","","","","","(0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0)","9","(1,1)","90090750","0","","","4","91290182","(0,4,5,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000040,1,31000099,1)","(91232623,90090149,92300004,2,-1)","0","(0,999)","","","","","","71040009","MultiPlayerRaid2","",""
"103000020","-1","","","","","(0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0)","9","(1,1)","90090750","0","","","4","91290182","(0,4,5,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000040,1,31000099,1)","(91232623,90090149,92300004,2,-1)","0","(0,999)","","","","","","71040010","MultiPlayerRaid2","",""
"103000021","-1","","","","","(0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0)","9","(1,1)","90090750","0","","","4","91290182","(0,4,5,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000040,1,31000099,1)","(91232623,90090149,92300004,2,-1)","0","(0,999)","","","","","","71040011","MultiPlayerRaid2","",""
"103000022","9","2","10","(0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2)","1","(0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0)","6","(1,1)","90090751","0","","","4","91232812","(0,4,5,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31000108,1,31020003,1,31020004,1,31020005,1)","(91232624,90090150,92300003,1,-1)","1","(0,999)","","","15000","30","(31020004,30,31020003,5,31000108,2)","71040001","MultiPlayerRaid","",""
"103000023","-1","","","","","(0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0)","6","(1,1)","90090751","0","","","4","91290182","(0,4,5,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31080086,1,31020004,1,31020003,1)","(91232624,90090150,92300004,0,-1)","0","(0,999)","","","","","","71040004","MultiPlayerRaid","",""
"103000024","-1","","","","","(0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0)","6","(1,1)","90090751","0","","","4","91290182","(0,4,5,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31080086,1,31020004,1,31020003,1)","(91232624,90090150,92300004,0,-1)","0","(0,999)","","","","","","71040005","MultiPlayerRaid","",""
"103000025","-1","","","","","(0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0)","6","(1,1)","90090751","0","","","4","91290182","(0,4,5,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31080086,1,31020004,1,31020003,1)","(91232624,90090150,92300004,0,-1)","0","(0,999)","","","","","","71040006","MultiPlayerRaid","",""
"103000026","-1","","","","","(0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0)","6","(1,1)","90090751","0","","","4","91290182","(0,4,5,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31080086,1,31020004,1,31020003,1)","(91232624,90090150,92300004,0,-1)","0","(0,999)","","","","","","71040007","MultiPlayerRaid","",""
"103000027","-1","","","","","(0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0)","6","(1,1)","90090751","0","","","4","91290182","(0,4,5,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31080086,1,31020004,1,31020003,1)","(91232624,90090150,92300004,0,-1)","0","(0,999)","","","","","","71040008","MultiPlayerRaid","",""
"103000028","-1","","","","","(0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0)","6","(1,1)","90090751","0","","","4","91290182","(0,4,5,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31080086,1,31020004,1,31020003,1)","(91232624,90090150,92300004,0,-1)","0","(0,999)","","","","","","71040009","MultiPlayerRaid","",""
"103000029","-1","","","","","(0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","11","(1,1)","90090752","0","","","4","91290181","(0,4,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31000030,1,31000031,1,31000033,1,31000034,1)","(91232625,90090151,92300003,2,-1)","0","(0,999)","","","","","","71040003","MultiPlayerRaid3","",""
"103000030","-1","","","","","(0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","11","(1,1)","90090752","0","","","4","91290181","(0,4,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31000030,1,31000031,1,31000033,1,31000034,1)","(91232625,90090151,92300003,2,-1)","0","(0,999)","","","","","","71040012","MultiPlayerRaid3","",""
"103000031","-1","","","","","(0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","11","(1,1)","90090752","0","","","4","91290181","(0,4,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31000030,1,31000031,1,31000033,1,31000034,1)","(91232625,90090151,92300003,2,-1)","0","(0,999)","","","","","","71040013","MultiPlayerRaid3","",""
"103000032","-1","","","","","(0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","11","(1,1)","90090752","0","","","4","91290181","(0,4,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31000030,1,31000031,1,31000033,1,31000034,1)","(91232625,90090151,92300003,2,-1)","0","(0,999)","","","","","","71040014","MultiPlayerRaid3","",""
"103000033","-1","","","","","(0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","11","(1,1)","90090752","0","","","4","91290181","(0,4,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31000030,1,31000031,1,31000033,1,31000034,1)","(91232625,90090151,92300003,2,-1)","0","(0,999)","","","","","","71040015","MultiPlayerRaid3","",""
"103000034","11","1","20","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","(0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0)","13","(1,1)","90090753","0","","","4","91232807","(0,0,0,4,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0)","","","(31091038,1,31091039,1,31091040,1,31061004,1)","(91232626,90090152,92300012,-1,-1)","0","(0,999)","","","","","","","DemonsTowerRaid","",""
"103000035","12","1","10","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0)","120000004","(1,1)","90090754","90090889","","","4","91232819","(0,3,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31100001,1,31000056,1,31000105,1,31000106,1)","(91232627,90090153,92290002,0,-1)","1","(0,999)","","","25000","50","(31000105,8,31000106,2,31000109,2)","71130001","CrushActivity","164000805","(71130001)"
"103000036","13","1","10","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0)","120000002","(1,1)","90090755","90090890","","","4","91232815","(0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0)","","","(31000109,1,31080082,1,31080054,1,31081095,1)","(91232628,90050215,92290002,1,-1)","1","(0,999)","","(13,6000)","25000","50","(31090541,1,31090545,1,31000109,2)","71140001","PkActivity","164000804","(71140001)"
"103000037","14","1","30","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","(0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0)","8","(1,1)","90090756","0","","","4","91232814","(0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0)","(0,60)","(13,200)","(31080052,1,31080054,1,31061005,1)","(91232629,90200213,92240001,-1,-1)","1","(0,999)","(0,25)","(13,1250)","15000","30","","","Arena","",""
"103000038","15","5","2","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","(0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0)","15","(1,1)","90090757","0","","","4","91232811","(0,4,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0)","(0,250)","(12,500)","(31080093,1,31020001,1)","(91232630,90090156,92130005,-1,-1)","1","(0,999)","(0,400)","","10000","20","(31020001,10)","","MissionHard","",""
"103000039","16","10","2","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0)","120000008","(1,1)","90090758","90090990","","","3","91232809","(0,0,0,5,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0)","","","(31080052,1,31080070,1,31080073,1)","(91232631,90090157,92290007,-1,-1)","1","(0,999)","","(9,60,2,3000,6,3000)","1500","3","","","CrystalActivity","164000808","(71160000,71160001)"
"103000040","17","2","10","(0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2)","1","(0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","11","(1,1)","90090759","0","","","4","91232819","(0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000108,1,31000027,1,31000028,1,31000029,1)","(91232632,90050035,92300003,3,-1)","1","(0,999)","","","12500","25","(31000028,20,31000029,2,31000108,2)","71010002","SkyRaid","",""
"103000041","-1","","","","","(0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","8","(1,1)","90090759","0","","","4","91290182","(0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000027,1,31000028,1,31000029,1)","(91232632,90050035,92300004,1,-1)","1","(0,999)","","","","","","71010003","SkyRaid","",""
"103000042","-1","","","","","(0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","8","(1,1)","90090759","0","","","4","91290182","(0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000027,1,31000028,1,31000029,1)","(91232632,90050035,92300004,1,-1)","1","(0,999)","","","","","","71010004","SkyRaid","",""
"103000043","-1","","","","","(0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","8","(1,1)","90090759","0","","","4","91290182","(0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000027,1,31000028,1,31000029,1)","(91232632,90050035,92300004,1,-1)","1","(0,999)","","","","","","71010005","SkyRaid","",""
"103000044","-1","","","","","(0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","8","(1,1)","90090759","0","","","4","91290182","(0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31000027,1,31000028,1,31000029,1)","(91232632,90050035,92300004,1,-1)","1","(0,999)","","","","","","71010006","SkyRaid","",""
"103000045","18","","","","1","(0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0)","1","(1,1)","90090760","0","","","3","91232811","(0,4,4,4,3,3,0,4,0,0,0,0,0,0,0,0,5,0,0)","","","(31080093,1,31080102,1)","(91240612,90095029,92480009,-1,-1)","0","(0,999)","","","","","","","","",""
"103000046","19","","","","","(0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0)","0","(0,1)","90090761","0","","","3","91232811","(0,4,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0)","","","(31080051,1,31080052,1,31080070,1)","(91240613,90095026,92380001,-1,-1)","0","(0,999)","","","","","","","Change","",""
"103000047","20","10","2","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","(0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","9","(1,1)","90090762","0","","","3","91232811","(0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31080093,1)","(91240614,90091007,92250001,0,-1)","0","(0,999)","","","","","","","Ranking","",""
"103000048","-1","","","","","(0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0)","120000011","(1,1)","90090763","90090991","","","4","91232818","(0,0,5,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31130411,1,31102102,1,31102103,1,31102101,1)","(91240615,90090025,92290004,-1,-1)","1","(0,999)","","(15,100)","5000","10","(31091145,2,31000108,2)","","GoldActivity","",""
"103000049","22","","","","2","(0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0)","120000010","(0,0)","90090764","90090992","","","4","91232811","(0,0,5,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0)","","","(31102102,1,31080056,1)","(91240616,90090468,92290003,-1,-1)","0","(0,999)","","","","","","","BossActivity","",""
"103000050","23","","","","","(0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0)","0","(0,1)","90090765","90090892","","","4","91290181","(0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,0)","","","(31080073,1,31080074,1,31080069,1)","(91240617,90095018,92290020,-1,-1)","0","(0,999)","","","","","","","BaoWuActivity","",""
"103000051","24","","","","","(0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0)","0","(0,1)","90090766","0","","","0","91290181","(0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0)","","","(31080052,1,31020004,1,31020002,1,31020007,1)","(91240618,90095030,-1,-1,-1)","0","(0,999)","","","","","","","","",""
"103000052","25","1","10","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0)","120000006","(1,1)","90090767","90090893","","","4","91290183","(0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0)","","","(31000109,1,31080056,1,31000063,1,31020008,1)","(91240619,90090594,92330007,-1,-1)","1","(0,999)","","(15,500)","20000","40","(31020008,14,31000109,2)","","LegionBonBoss","164000803","(71220100)"
"103000053","26","","","","","(0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","0","(0,1)","90090768","0","","","0","91290181","(0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31080051,1)","(91240620,90095027,92480007,-1,-1)","0","(0,999)","","","","","","","","",""
"103000054","27","","","","","(0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1)","0","(0,1)","90090769","0","","","0","91290181","(0,0,4,5,0,0,5,4,0,0,4,0,0,0,4,0,0,0,5)","","","(31080051,1)","(91240621,90090478,92480010,-1,-1)","0","(0,999)","","",""," ","","","DailyMustDo","",""
"103000055","28","1","10","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","120000007","(1,1)","90090770","90090894","","","4","91232814","(0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31080093,1,31080056,1,31080054,1,31000099,1)","(91240649,90090900,92330038,-1,-1)","1","(0,999)","","(15,1000)","6000","12","(31000109,2)","","Cross","164000806","(71080001)"
"103000056","29","","","","","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","0","(0,0)","90090771","0","","","4","91290181","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","","","(31080093,1)","","0","(0,999)","","","","","","","SpecialActivity","",""
"103000057","30","","","","","(0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0)","0","(0,0)","90090772","0","","","0","91290181","(0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0)","","","(31080051,1)","(91240624,90095019,92600001,3,-1)","0","(0,999)","","","","","","","","",""
"103000058","31","","","","","(0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0)","0","(0,0)","90090773","0","","","0","91290181","(0,0,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0)","","","(31080051,1)","(91240625,90095020,92600001,4,-1)","0","(0,999)","","","","","","","","",""
"103000059","32","","","","","(0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0)","0","(0,0)","90090774","0","","","0","91290181","(0,0,0,0,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0)","","","(31080051,1)","(91240626,90095021,92600001,7,-1)","0","(0,999)","","","","","","","BattlefieldActivity","",""
"103000060","33","","","","","(0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0)","0","(0,0)","90090775","0","","","0","91290181","(0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0)","","","(31080051,1)","(91240627,90095022,92600001,5,-1)","0","(0,999)","","","","","","","Hope","",""
"103000061","34","","","","","(0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0)","0","(0,1)","90090776","0","","","0","91290183","(0,0,0,0,4,4,4,4,0,0,0,0,5,0,0,0,0,0,0)","","","(31080051,1)","(91240628,90095023,92600001,6,-1)","0","(0,999)","","","","","","","Legion","",""
"103000062","35","","","","","(0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0)","0","(0,0)","90090777","0","","","0","91290181","(0,0,5,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0)","","","(31080051,1)","(91240629,90095025,92500001,-1,-1)","0","(0,999)","","","","","","","Hope","",""
"103000063","36","","","","","(0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0)","0","(0,1)","90090778","0","","","0","91290181","(0,0,0,5,4,4,0,4,0,0,0,0,4,0,3,3,0,0,0)","","","(31080051,1)","(91240630,90090013,92600001,0,-1)","0","(0,999)","","","","","","","","",""
"103000064","37","1","5","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0)","120000003","(1,1)","90090778","90090891","","","4","91290183","(0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31080093,1,31080056,1)","(91240651,90090902,92330036,-1,-1)","0","(0,999)","","","","","","","LegionBonFire","164000800","(71220100)"
"103000065","38","1","10","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","2","(0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0)","120000009","(1,1)","90090778","90090903","","","4","91290183","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31080093,1,31100011,1,31100009,1,31000099,1)","(91240650,90090901,92330020,-1,-1)","0","(0,999)","","","","","","","TerritoryWar","164000810","(71080001)"
"103000066","39","5","12","(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","1","(0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","5","(1,1)","90095309","0","","","4","91232818","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31000108,1,31080045,1,31000051,1,31000050,1)","(91240616,90091131,92700003,0,-1)","1","(0,999)","","","15000","30","(31000105,5,31000106,1,31000108,1)","","DiGongBoss","",""
"103000067","41","3","","","1","","18","(1,1)","90095309","0","","","4","91232816","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31130369,1,31130381,1,31130393,1,31130405,1,31130365,1)","(91240616,90305141,92720005,0,-1)","0","(0,999)","","","","","","71210001","BeliefAmbulatory","",""
"103000068","41","3","","","1","","18","(1,1)","90095309","0","","","4","91232816","(0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0)","","","(31130369,1,31130381,1,31130393,1,31130405,1,31130365,1)","(91240616,90305141,92720005,0,-1)","0","(0,999)","","","","","","71210002","BeliefAmbulatory","",""
