"AttributeId","NameId","CurrentOrder","CurrentStar","NextGradeStartId","OperateType","MoneyConsume","ItemID","ItemNum","PropertyRaisePercentage","AnimBP","Mesh","SelfAtt","Notice_id"
"62010032","90090621","3","9","62040001","1","(11,10500,2,105000)","","0","0","91053402","91053417","(4,8,52080,0,1,4,5,4340,0,1,4,6,5208,0,1,4,7,13020,0,1,4,9,1736,0,1,4,10,1736,0,1,4,23,0.12,0,1)",""
"62010033","90090621","3","10","62040001","2","(11,11000,2,110000)","","0","0","91053402","91053417","(4,8,54000,0,1,4,5,4500,0,1,4,6,5400,0,1,4,7,13500,0,1,4,9,1800,0,1,4,10,1800,0,1,4,23,0.12,0,1)",""
"62010034","90090622","4","0","62050001","1","(11,11500,2,120000)","","0","0","91053402","91053418","(4,8,61200,0,1,4,5,5100,0,1,4,6,6120,0,1,4,7,15300,0,1,4,9,2040,0,1,4,10,2040,0,1,4,23,0.18,0,1)","93000155"
"62010035","90090622","4","1","62050001","1","(11,12000,2,130000)","","0","0","91053402","91053418","(4,8,63600,0,1,4,5,5300,0,1,4,6,6360,0,1,4,7,15900,0,1,4,9,2120,0,1,4,10,2120,0,1,4,23,0.18,0,1)",""
"62010036","90090622","4","2","62050001","1","(11,12500,2,140000)","","0","0","91053402","91053418","(4,8,66000,0,1,4,5,5500,0,1,4,6,6600,0,1,4,7,16500,0,1,4,9,2200,0,1,4,10,2200,0,1,4,23,0.18,0,1)",""
"62010037","90090622","4","3","62050001","1","(11,13000,2,150000)","","0","0","91053402","91053418","(4,8,68400,0,1,4,5,5700,0,1,4,6,6840,0,1,4,7,17100,0,1,4,9,2280,0,1,4,10,2280,0,1,4,23,0.18,0,1)",""
"62010038","90090622","4","4","62050001","1","(11,13500,2,160000)","","0","0","91053402","91053418","(4,8,70800,0,1,4,5,5900,0,1,4,6,7080,0,1,4,7,17700,0,1,4,9,2360,0,1,4,10,2360,0,1,4,23,0.18,0,1)",""
"62010039","90090622","4","5","62050001","1","(11,14000,2,170000)","","0","0","91053402","91053418","(4,8,73200,0,1,4,5,6100,0,1,4,6,7320,0,1,4,7,18300,0,1,4,9,2440,0,1,4,10,2440,0,1,4,23,0.18,0,1)",""
"62010040","90090622","4","6","62050001","1","(11,14500,2,180000)","","0","0","91053402","91053418","(4,8,75600,0,1,4,5,6300,0,1,4,6,7560,0,1,4,7,18900,0,1,4,9,2520,0,1,4,10,2520,0,1,4,23,0.18,0,1)",""
"62010041","90090622","4","7","62050001","1","(11,15000,2,190000)","","0","0","91053402","91053418","(4,8,78000,0,1,4,5,6500,0,1,4,6,7800,0,1,4,7,19500,0,1,4,9,2600,0,1,4,10,2600,0,1,4,23,0.18,0,1)",""
"62010042","90090622","4","8","62050001","1","(11,15500,2,200000)","","0","0","91053402","91053418","(4,8,80400,0,1,4,5,6700,0,1,4,6,8040,0,1,4,7,20100,0,1,4,9,2680,0,1,4,10,2680,0,1,4,23,0.18,0,1)",""
"62010043","90090622","4","9","62050001","1","(11,16000,2,210000)","","0","0","91053402","91053418","(4,8,82800,0,1,4,5,6900,0,1,4,6,8280,0,1,4,7,20700,0,1,4,9,2760,0,1,4,10,2760,0,1,4,23,0.18,0,1)",""
"62010044","90090622","4","10","62050001","2","(11,16500,2,220000)","","0","0","91053402","91053418","(4,8,85200,0,1,4,5,7100,0,1,4,6,8520,0,1,4,7,21300,0,1,4,9,2840,0,1,4,10,2840,0,1,4,23,0.18,0,1)",""
"62010045","90090623","5","0","0","1","(11,17000,2,250000)","","0","0","91053402","91053419","(4,8,92400,0,1,4,5,7700,0,1,4,6,9240,0,1,4,7,23100,0,1,4,9,3080,0,1,4,10,3080,0,1,4,23,0.24,0,1)","93000156"
"62010046","90090623","5","1","0","1","(11,17500,2,300000)","","0","0","91053402","91053419","(4,8,95160,0,1,4,5,7930,0,1,4,6,9516,0,1,4,7,23790,0,1,4,9,3172,0,1,4,10,3172,0,1,4,23,0.24,0,1)",""
"62010047","90090623","5","2","0","1","(11,18000,2,350000)","","0","0","91053402","91053419","(4,8,97920,0,1,4,5,8160,0,1,4,6,9792,0,1,4,7,24480,0,1,4,9,3264,0,1,4,10,3264,0,1,4,23,0.24,0,1)",""
"62010048","90090623","5","3","0","1","(11,18500,2,400000)","","0","0","91053402","91053419","(4,8,100680,0,1,4,5,8390,0,1,4,6,10068,0,1,4,7,25170,0,1,4,9,3356,0,1,4,10,3356,0,1,4,23,0.24,0,1)",""
"62010049","90090623","5","4","0","1","(11,19000,2,450000)","","0","0","91053402","91053419","(4,8,103440,0,1,4,5,8620,0,1,4,6,10344,0,1,4,7,25860,0,1,4,9,3448,0,1,4,10,3448,0,1,4,23,0.24,0,1)",""
"62010050","90090623","5","5","0","1","(11,19500,2,500000)","","0","0","91053402","91053419","(4,8,106200,0,1,4,5,8850,0,1,4,6,10620,0,1,4,7,26550,0,1,4,9,3540,0,1,4,10,3540,0,1,4,23,0.24,0,1)",""
"62010051","90090623","5","6","0","1","(11,20000,2,550000)","","0","0","91053402","91053419","(4,8,108960,0,1,4,5,9080,0,1,4,6,10896,0,1,4,7,27240,0,1,4,9,3632,0,1,4,10,3632,0,1,4,23,0.24,0,1)",""
"62010052","90090623","5","7","0","1","(11,20500,2,600000)","","0","0","91053402","91053419","(4,8,111720,0,1,4,5,9310,0,1,4,6,11172,0,1,4,7,27930,0,1,4,9,3724,0,1,4,10,3724,0,1,4,23,0.24,0,1)",""
"62010053","90090623","5","8","0","1","(11,21000,2,650000)","","0","0","91053402","91053419","(4,8,114480,0,1,4,5,9540,0,1,4,6,11448,0,1,4,7,28620,0,1,4,9,3816,0,1,4,10,3816,0,1,4,23,0.24,0,1)",""
"62010054","90090623","5","9","0","1","(11,21500,2,700000)","","0","0","91053402","91053419","(4,8,117240,0,1,4,5,9770,0,1,4,6,11724,0,1,4,7,29310,0,1,4,9,3908,0,1,4,10,3908,0,1,4,23,0.24,0,1)",""
"62010055","90090623","5","10","0","0","(11,22000,2,750000)","","0","0","91053402","91053419","(4,8,120000,0,1,4,5,10000,0,1,4,6,12000,0,1,4,7,30000,0,1,4,9,4000,0,1,4,10,4000,0,1,4,23,0.24,0,1)",""
