"AttributeId","MoveType","Speed","Acceleration","MaxLength","EffectImmediately","Duration","BeginRadius","EndRadius","Angle","EffectBPName","BornZ","EffectPos","RandomPoint","EffectRotation","CreateOther","HitRepeat","HitNum","AmmoType","AmmoId"
"18034031","1","5000","0","1200","1","0.24","500","500","0","91413011","","(300,300,0)","0","(0,0,0)","","0","5","0","0"
"18034041","0","0","0","500","1","0.5","500","500","0","0","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18034051","0","0","0","2000","1","5","500","500","0","91413014","","(450,450,0)","0","(0,0,0)","","1","6","0","0"
"18034061","0","0","0","0","1","3","500","500","0","91413014","","(500,500,0)","0","(0,0,0)","","0","4","0","0"
"18034071","0","0","0","300","1","0.5","300","300","0","91413019","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18034081","0","0","0","800","1","0.5","800","800","0","91413020","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18034091","0","0","0","2000","1","5","1000","1000","0","91413021","","(0,0,0)","0","(0,0,0)","","1","8","0","0"
"18034101","0","0","0","2000","1","8","1000","1000","0","91413022","","(0,0,0)","0","(0,0,0)","","1","8","0","0"
"18034111","0","0","0","500","1","0.5","500","500","0","91413023","","(500,500,0)","0","(0,0,0)","","0","4","0","0"
"18034121","0","0","0","600","1","0.5","600","600","0","91413024","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18034131","0","0","0","600","1","0.5","600","600","0","91413025","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18034141","0","0","0","600","1","0.5","600","600","0","91413026","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18034151","1","1600","0","800","1","0.5","400","400","0","91413027","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18034161","0","0","0","600","1","0.5","600","600","0","91413028","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18040001","0","0","0","250","1","0.5","250","250","0","91414001","","(50,50,0)","0","(0,0,0)","","0","4","0","0"
"18041001","0","0","0","400","1","0.15","400","400","0","91414003","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18041002","1","3333","0","1000","1","0.3","400","600","0","91414008","","(-200,-200,0)","0","(0,0,0)","","0","4","0","0"
"18042001","1","3167","0","950","1","0.3","300","300","0","91414004","","(50,50,0)","0","(0,0,0)","","0","4","0","0"
"18043001","0","0","0","500","1","0.5","500","500","0","91414005","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18044001","0","0","0","300","1","0.5","300","300","0","91414009","","(200,200,0)","0","(0,0,0)","","0","4","0","0"
"18044011","0","0","0","400","1","0.5","400","400","0","91414010","","(100,100,0)","0","(0,0,0)","","0","4","0","0"
"18044012","1","3356","0","1007","1","0.3","400","400","0","91414026","","(100,100,0)","0","(0,0,0)","","0","4","0","0"
"18044021","0","0","0","400","1","0.15","400","400","0","91414011","","(200,200,0)","0","(0,0,0)","","0","5","0","0"
"18044031","1","2000","0","1000","1","0.4","400","400","0","91414012","","(100,100,0)","0","(0,0,0)","","0","4","0","0"
"18044041","0","0","0","10","1","0.5","10","10","0","91414013","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18044051","0","0","0","500","1","0.5","500","500","0","91414014","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18044061","1","10000","0","1000","1","0.1","400","500","0","91414015","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18044062","0","0","0","400","1","0.7","400","400","0","91414016","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18044071","1","5000","0","1000","1","0.5","400","400","0","91414017","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18044081","1","4000","0","2000","1","0.2","300","300","0","91414018","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18044082","0","0","0","1","1","5","1","1","0","91414025","","(0,0,-110)","0","(0,0,0)","","0","4","0","0"
"18044091","0","0","0","400","1","0.5","400","400","0","91414019","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18044101","0","0","0","400","1","0.5","400","400","0","91414020","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18044111","0","0","0","300","1","0.5","300","300","0","91414021","","(300,300,0)","0","(0,0,0)","","0","6","0","0"
"18044121","0","0","0","400","1","0.5","400","400","0","91414022","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18044131","0","0","0","500","1","0.5","500","500","0","91414023","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18044141","0","0","0","400","1","0.5","400","400","0","91414024","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18110001","4","12000","0","12000","1","2","800","800","0","91410001","","(0,0,0)","(500,0,500)","(0,0,0)","","0","4","0","0"
"18110002","4","12000","0","12000","1","2","800","800","0","91410002","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18120001","4","12000","0","12000","1","2","800","800","0","91410003","","(0,0,0)","(500,0,500)","(0,0,0)","","0","4","0","0"
"18120002","4","12000","0","12000","1","2","800","800","0","91410004","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18130001","4","12000","0","12000","1","2","800","800","0","91410005","","(0,0,0)","(500,0,500)","(0,0,0)","","0","4","0","0"
"18130002","4","12000","0","12000","1","2","800","800","0","91410006","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18140001","4","12000","0","12000","1","2","800","800","0","91410007","","(0,0,0)","(500,0,500)","(0,0,0)","","0","4","0","0"
"18140002","4","12000","0","12000","1","2","800","800","0","91410008","","(0,0,0)","(500,0,200)","(0,0,0)","","0","4","0","0"
"18140003","4","12000","0","12000","1","2","800","800","0","91410008","","(0,0,0)","(-500,0,200)","(0,0,0)","","0","4","0","0"
"18140004","4","12000","0","12000","1","2","800","800","0","91410008","","(0,0,0)","(0,0,500)","(0,0,0)","","0","4","0","0"
"18140005","4","12000","0","12000","1","2","800","800","0","91410008","","(0,0,0)","(300,0,400)","(0,0,0)","","0","4","0","0"
"18140006","4","12000","0","12000","1","2","800","800","0","91410008","","(0,0,0)","(-300,0,400)","(0,0,0)","","0","4","0","0"
"18200001","0","0","0","0","1","0.5","0","0","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500001","2","600","0","600","0","1","150","150","0","","","(0,0,0)","0","(0,0,0)","","0","1","0","0"
"18500002","0","0","0","0","1","0","300","300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500003","0","0","0","0","1","0","750","750","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500004","0","0","0","0","0","0","0","0","0","","","(0,0,0)","0","(0,0,0)","","0","1","0","0"
"18500005","0","0","0","0","1","0","300","300","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500006","0","0","0","0","1","0","500","500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500007","0","0","0","0","0","0","0","0","0","","","(0,0,0)","0","(0,0,0)","","0","1","0","0"
"18500008","0","0","0","0","1","0","600","600","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500009","1","1600","0","1600","1","1","600","600","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500010","0","0","0","0","1","0","400","400","0","","","(300,300,0)","0","(0,0,0)","","0","999","0","0"
"18500011","0","0","0","0","1","0","450","450","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500012","0","0","0","0","1","0","350","350","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500013","0","0","0","0","1","0","400","400","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500014","0","0","0","0","1","0","1200","1200","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500015","3","1300","0","1000","1","1","0","600","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500016","1","1600","0","1600","1","1","400","400","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500017","1","1200","0","1200","1","1","400","400","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500018","0","0","0","0","1","0","500","500","0","","","(0,400,0)","0","(0,0,0)","","0","999","0","0"
"18500019","1","500","0","500","1","1","500","500","0","","","(0,500,0)","0","(0,0,0)","","0","999","0","0"
"18500020","0","0","0","800","1","0.5","700","700","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500021","1","0","0","0","1","1","500","500","0","","","(0,500,0)","0","(0,0,0)","","0","999","0","0"
"18500022","0","0","0","0","1","0","1500","1500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500023","0","0","0","0","1","0","800","800","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500024","0","0","0","0","1","0","1500","1500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500025","0","0","0","0","1","1","600","600","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500026","1","120000","0","37947","1","1","12000","12000","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500027","0","0","0","0","1","0","12000","12000","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500028","0","0","0","0","1","0","12000","12000","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500029","0","0","0","0","1","0","800","800","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500030","0","0","0","0","1","0","800","800","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500031","1","12000","0","12000","1","1","6000","6000","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500032","0","0","0","0","1","0","12000","12000","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500033","0","0","0","0","1","0","0","0","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500034","0","0","0","0","1","0","2000","2000","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500035","1","3000","0","3000","1","1","200","200","0","91412001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500036","1","2000","0","2000","1","1","800","800","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500037","1","8000","0","4000","1","0.5","500","500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500038","1","2000","0","2000","1","1","0","1500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500039","0","0","0","0","1","0","2000","2000","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500040","0","0","0","0","1","0","2000","2000","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500041","0","0","0","0","1","0","500","500","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500042","0","0","0","0","1","0","500","500","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500043","0","0","0","0","1","0","500","500","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500044","0","0","0","0","1","0","500","500","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500045","0","0","0","0","1","0","500","500","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500046","0","0","0","0","1","0","500","500","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500047","0","0","0","800","1","0.5","700","700","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500048","1","0","0","0","1","1","500","500","0","","","(0,500,0)","0","(0,0,0)","","0","999","0","0"
"18500049","0","0","0","0","1","0","1500","1500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500050","0","0","0","0","1","0","800","800","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500051","0","0","0","0","1","0","1500","1500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500052","0","0","0","0","1","1","500","500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500053","0","0","0","0","1","0","800","800","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500054","0","0","0","0","1","0","1500","1500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500055","0","0","0","0","1","1","500","500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500056","0","0","0","600","1","1","800","800","0","","","(800,800,0)","0","(0,0,0)","","0","999","0","0"
"18500057","0","0","0","0","1","0","1200","1200","0","","","(800,800,0)","0","(0,0,0)","","0","999","0","0"
"18500058","1","8000","0","4000","1","0.5","500","500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500059","0","0","0","800","1","0.5","700","700","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500060","1","0","0","0","1","1","500","500","0","","","(0,500,0)","0","(0,0,0)","","0","999","0","0"
"18500061","0","0","0","0","1","0","1500","1500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500062","0","0","0","600","1","1","400","400","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500063","0","0","0","600","1","1","400","400","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500064","0","0","0","0","1","0","700","700","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500065","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500066","0","0","0","0","1","0","0","0","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500067","0","0","0","600","1","1","600","600","0","","","(300,300,0)","0","(0,0,0)","","0","999","0","0"
"18500068","0","0","0","600","1","1","600","600","0","","","(300,300,0)","0","(0,0,0)","","0","999","0","0"
"18500069","0","0","0","0","1","0","800","800","0","","","(800,800,0)","0","(0,0,0)","","0","999","0","0"
"18500070","0","0","0","0","1","0","1200","1200","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500071","0","1400","0","1400","1","1","800","800","0","","","(800,800,0)","0","(0,0,0)","","0","999","0","0"
"18500072","0","1400","0","1400","1","1","800","800","0","","","(800,800,0)","0","(0,0,0)","","0","999","0","0"
"18500073","1","1500","0","1500","1","1","500","500","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500074","0","0","0","0","1","0","1200","1200","0","","","(1100,1100,0)","0","(0,0,0)","","0","999","0","0"
"18500075","1","600","0","600","1","1","0","600","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500076","1","800","0","800","1","1","800","800","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500077","0","0","0","0","1","0","800","800","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500078","0","0","0","0","1","0","600","600","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500079","1","1400","0","1400","1","1","300","300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500080","0","0","0","0","1","0","300","300","0","","","(300,300,0)","0","(0,0,0)","","0","999","0","0"
"18500081","1","600","0","600","1","1","0","600","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500082","1","800","0","800","1","1","800","800","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500083","0","0","0","0","1","0","800","800","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500084","0","0","0","600","1","1","400","400","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500085","0","0","0","600","1","1","400","400","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500086","0","0","0","0","1","0","700","700","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500087","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500088","0","0","0","0","1","0","0","0","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500089","1","3000","0","1500","1","0.5","200","200","0","91412001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500090","2","600","0","600","0","1","150","150","0","","","(0,0,0)","0","(0,0,0)","","0","1","0","0"
"18500091","0","0","0","600","1","1","400","400","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500092","0","0","0","600","1","1","400","400","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500093","0","0","0","0","1","0","700","700","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500094","0","0","0","0","1","0","600","600","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500095","1","1400","0","1400","1","1","300","300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500096","0","0","0","0","1","0","300","300","0","","","(300,300,0)","0","(0,0,0)","","0","999","0","0"
"18500097","0","0","0","0","1","0","600","600","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500098","1","1400","0","1400","1","1","300","300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500099","0","0","0","0","1","0","300","300","0","","","(300,300,0)","0","(0,0,0)","","0","999","0","0"
"18500100","0","0","0","600","1","1","400","400","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500101","0","0","0","600","1","1","400","400","0","","","(400,400,0)","0","(0,0,0)","","0","999","0","0"
"18500102","0","0","0","0","1","0","700","700","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500103","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500104","0","0","0","0","1","0","0","0","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500105","1","120000","0","37947","1","1","12000","12000","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500106","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500107","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500108","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500109","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500110","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500111","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500112","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18500113","0","0","0","0","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
