"AttributeId","Action","ActionParams","AttArray","Condition","ReplaceSkill"
"11010025","modhp","(0,100,-1,-1,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010026","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,38,1,0,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010027","modhp","(0,100,-2,-2,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010028","modhp","(0,100,-15,-15,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010029","modhp","(0,100,-20,-20,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010030","modhp","(0,100,-30,-30,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010031","modhp","(0,100,-4,-4,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010032","modhp","(0,100,-6,-6,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010033","modhp","(0,100,-8,-8,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010034","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,38,0.05,0,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010035","modhp","(0,100,-4,-4,3,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010036","modhp","(0,100,-5,-5,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010037","modhp","(0,100,-2,-2,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010038","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,38,0.5,0,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010039","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,38,1,0,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010040","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,38,2,0,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010041","modexponly","(0,100,50,38,0,0,0,0,0,0)","","13","(0,0,0,0,0,0,0,0,0,0)"
"11010042","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,38,0.5,0,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010043","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,38,1,0,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010044","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,38,2,0,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010045","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,8,0,-0.05,0,4,5,0,-0.05,0,4,6,0,-0.05,0,4,7,0,-0.05,0,4,9,0,-0.05,0,4,10,0,-0.05,0,4,11,0,-0.05,0,4,12,0,-0.05,2)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010046","modhp","(0,100,5,5,4,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010047","modhp","(0,100,10,10,4,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010048","modhp","(0,100,-50,-50,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010049","modhp","(0,100,-3,-3,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010050","modhp","(0,100,-5,-5,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010051","modhp","(0,100,-8,-8,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010052","modhp","(0,100,-30,-30,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010053","modhp","(0,100,10,10,4,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010054","modhp","(0,100,5,5,4,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010055","modhp","(0,100,3,3,4,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010056","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,41,0.05,0,1)","",""
"11010057","modhp","(0,100,-50,-50,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010058","modhp","(0,100,-10,-10,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010059","modhp","(0,50,30,30,7,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010060","modhp","(0,100,2,2,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010061","modhp","(0,100,60,60,8,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010062","modhp","(0,100,1,1,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010063","modhp","(0,100,5,5,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010100","modnodead","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010101","modhp","(0,100,0,0,0,0,0,0,0,0)","0","0","(0,0,0,0,0,0,0,0,0,0)"
"11010102","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010103","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010104","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010105","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010106","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010107","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010108","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010109","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010110","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010111","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010112","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010113","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010114","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010115","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010116","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010117","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010118","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010119","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010120","modhp","(0,100,2,2,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010121","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010122","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010123","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010124","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010125","modhp","(0,100,1,1,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010126","modhp","(0,100,6,7,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010127","modhp","(0,100,7,8,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010128","modhp","(0,100,8,9,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010129","modhp","(0,100,9,10,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010130","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010131","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010132","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010133","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010134","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010135","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010136","modhp","(0,100,8,8,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010137","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010138","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010139","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010140","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010141","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010142","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010143","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010144","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010145","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010146","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010147","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010148","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010149","modhp","(0,100,8,8,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010150","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010151","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010152","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010153","modcallnpc","(0,100,76980028,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010154","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,5,0,0.15,0,4,6,0,0.15,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010155","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010156","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010157","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010158","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010159","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010160","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010161","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010162","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010163","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010164","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010165","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010166","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010167","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010168","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010169","modhp","(0,100,8,8,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010170","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010171","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010172","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010173","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010174","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010175","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010176","modcallnpc","(0,100,76980029,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010177","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,5,0,0.1,0,4,6,0,0.1,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010178","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010179","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010180","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010181","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010182","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010183","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010184","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010185","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010186","modhp","(0,100,8,8,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010187","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010188","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010189","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010190","modhp","(0,100,8,8,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010191","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010192","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010193","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010194","modcallnpc","(0,100,76980032,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010195","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,5,0,0.1,0,4,6,0,0.1,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010196","modcallnpc","(0,100,76980030,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010197","modcallnpc","(0,100,76980031,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010198","modcallnpc","(0,100,76980033,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010199","modcallnpc","(0,100,76980034,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010200","modcallnpc","(0,100,76980035,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010201","modcallnpc","(0,100,76980036,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010202","modcallnpc","(0,100,76980037,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010203","modcallnpc","(0,100,76980038,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010204","modcallnpc","(0,100,76980039,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010205","modcallnpc","(0,100,76980040,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010206","modcallnpc","(0,100,76980041,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010207","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010208","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010209","modhp","(0,100,30,100,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010210","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010211","modfrozen","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010212","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010213","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010214","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,10,0,0.5,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010215","modatt","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010216","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010217","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010218","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010219","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010220","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010221","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010222","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010223","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010224","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010225","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010226","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010227","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010228","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010229","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010230","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010231","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010232","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010233","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010234","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010235","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010236","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010237","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010238","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010239","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010240","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010241","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010242","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010243","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010244","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010245","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010246","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010247","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010248","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010249","modcallnpc","(0,100,76980043,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010250","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010254","modcrazy","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010255","modusebuff","(0,100,0,10010256,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010256","modatt","(0,100,4,0,0,0,0,0,0,0)","(4,5,0,5,0,4,6,0,5,0,4,7,0,5,0)","13","(0,0,0,0,0,0,0,0,0,0)"
"11010257","modusebuff","(0,100,0,10010255,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010258","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010261","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010262","modhp","(0,100,0,0,0,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010263","modhp","(0,100,4,4,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010264","modhp","(0,100,8,8,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
"11010265","modhp","(0,100,-3,-3,2,0,0,0,0,0)","0","13","(0,0,0,0,0,0,0,0,0,0)"
