"AttributeId","Type","Experiencerewardfactor","Coinrewards","LowScore","HighScore","ItemRewards"
"113018001","18","","","","","(31140132,20,31000109,1,31010045,5,31010175,15)"
"113018002","18","","","","","(31140132,30,31000109,1,31010045,10,31010175,30)"
"113018003","18","","","","","(31140132,30,31000109,1,31010045,10,31010175,30)"
"113018004","18","","","","","(31140132,30,31000109,1,31010045,10,31010175,30)"
"113018005","18","","","","","(31140132,30,31000109,1,31010045,10,31010175,30)"
"113018006","18","","","","","(31000110,1,31010045,10,31010175,30)"
"113019001","9","0","100","0","5","(31010139,10,31010175,6,31000109,2)"
"113019002","9","0","120","5","10","(31010139,12,31010175,6,31000109,2)"
"113019003","9","0","140","10","20","(31010139,14,31010175,6,31000109,2)"
"113019004","9","0","160","20","30","(31010139,16,31010175,6,31000109,2)"
"113019005","9","0","180","30","50","(31010139,18,31010175,6,31000109,2)"
"113019006","9","0","200","50","80","(31010139,20,31010175,8,31000109,2)"
"113019007","9","0","220","80","120","(31010139,22,31010175,8,31000109,2)"
"113019008","9","0","240","120","160","(31010139,24,31010175,8,31000109,2)"
"113019009","9","0","260","160","200","(31010139,26,31010175,8,31000109,2)"
"113019010","9","0","280","200","250","(31010139,28,31010175,8,31000109,2)"
"113019011","9","0","300","250","300","(31010139,30,31010175,10,31000109,2)"
"113019012","9","0","320","300","350","(31010139,32,31010175,10,31000109,2)"
"113019013","9","0","340","350","400","(31010139,34,31010175,10,31000109,2)"
"113019014","9","0","360","400","450","(31010139,36,31010175,10,31000109,2)"
"113019015","9","0","380","450","500","(31010139,38,31010175,10,31000109,2)"
"113019016","9","0","400","500","999999999","(31010139,40,31010175,10,31000109,2)"
"113020001","22","0","100","0","5","(31010139,10,31010180,200,31000109,2)"
"113020002","22","0","120","5","10","(31010139,12,31010180,200,31000109,2)"
"113020003","22","0","140","10","20","(31010139,14,31010180,200,31000109,2)"
"113020004","22","0","160","20","30","(31010139,16,31010180,200,31000109,2)"
"113020005","22","0","180","30","50","(31010139,18,31010180,200,31000109,2)"
"113020006","22","0","200","50","80","(31010139,20,31010180,400,31000109,2)"
"113020007","22","0","220","80","120","(31010139,22,31010180,400,31000109,2)"
"113020008","22","0","240","120","160","(31010139,24,31010180,400,31000109,2)"
"113020009","22","0","260","160","200","(31010139,26,31010180,400,31000109,2)"
"113020010","22","0","280","200","250","(31010139,28,31010180,400,31000109,2)"
"113020011","22","0","300","250","300","(31010139,30,31010180,600,31000109,2)"
"113020012","22","0","320","300","350","(31010139,32,31010180,600,31000109,2)"
"113020013","22","0","340","350","400","(31010139,34,31010180,600,31000109,2)"
"113020014","22","0","360","400","450","(31010139,36,31010180,600,31000109,2)"
"113020015","22","0","380","450","500","(31010139,38,31010180,600,31000109,2)"
"113020016","22","0","400","500","999999999","(31010139,40,31010180,600,31000109,2)"
"113020101","106","0","0","1","1","(31080035,6,31130411,6)"
"113020102","106","0","0","2","2","(31080035,5,31130411,5)"
"113020103","106","0","0","3","3","(31080035,4,31130411,4)"
"113020104","106","0","0","4","5","(31080035,3,31130411,3)"
"113020105","106","0","0","6","15","(31080035,2,31130411,2)"
"113020131","106","0","0","1","1","(31020055,6,31080037,6,31130411,6)"
"113020132","106","0","0","2","2","(31020055,5,31080037,5,31130411,5)"
"113020133","106","0","0","3","3","(31020055,4,31080037,4,31130411,4)"
"113020134","106","0","0","4","5","(31020055,3,31080037,3,31130411,3)"
"113020135","106","0","0","6","15","(31020055,2,31080037,2,31130411,2)"
