"AttributeId","MiniMapShowNpcId","NpcId","BornX","BornY","BornZ","BornYaw","BornPitch","BornRoll","BornTime","PlotTips","FirstPlotTips"
"80000201","(73010402,73010403,73010404,73010405,73010401)","'(76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,76020000,0)","'(4220,4220,4220,4570,4570,4570,4920,4920,4920,5270,5270,5270,5270,5620,5620,5620,5620,5620,5970,5970,5970,5970,6320,6320,6320,6670,6670,6670,7020,7020,0)","'(6240,5420,4600,6035,5215,4395,6240,5420,4600,6855,6035,5215,4395,7060,6240,5420,4600,3780,6445,5625,4805,3985,6240,5420,4600,6445,5625,4805,6240,5420,0)","'(130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,0)","'(90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6)","",""
"80000202","(73010402,73010403,73010404,73010405,73010401)","'(76020003,76020003,76020003,76020003,76020003,76020003,76020003,76020003,76020003,76020003,0)","'(4220,4570,4920,5270,5270,5620,5970,5970,6320,6670,0)","'(6240,6035,6240,6855,4395,5420,6445,3985,4600,4805,0)","'(130,130,130,130,130,130,130,130,130,130,0)","'(90,90,90,90,90,90,90,90,90,90,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(5,5,5,5,5,5,5,5,5,5,5)","",""
"80000203","(73010402,73010403,73010404,73010405,73010401)","'(76020003,76020003,76020003,76020003,76020003,76020003,76020003,76020003,76020003,76020003,0)","'(4220,4570,4920,5270,5270,5620,5970,5970,6320,6670,0)","'(6240,6035,6240,6855,4395,5420,6445,3985,4600,4805,0)","'(130,130,130,130,130,130,130,130,130,130,0)","'(90,90,90,90,90,90,90,90,90,90,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","",""
"80000204","(73010402,73010403,73010404,73010405,73010401)","'(76020003,76020003,76020003,76020003,76020003,76020003,76020003,76020003,76020003,76020003,0)","'(4220,4570,4920,5270,5270,5620,5970,5970,6320,6670,0)","'(6240,6035,6240,6855,4395,5420,6445,3985,4600,4805,0)","'(130,130,130,130,130,130,130,130,130,130,0)","'(90,90,90,90,90,90,90,90,90,90,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","",""
"80000301","'(73010301,73010305)","'(76010100,76010100,76010100,76010100,76010109,76010100,76010100,76010100,76010100,0)","'(16009,17043,16009,17043,16500,16009,17043,16009,17043,0)","'(16830,16830,16970,16970,16830,17110,17110,17250,17250,0)","'(-5051,-5051,-5051,-5051,-5051,-5051,-5051,-5051,-5051,0)","'(30,90,90,90,90,90,90,90,150,0)","'(0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0)","","'(0,0,90306034)"
"80000302","'(73010302,73010305)","'(76010100,76010100,76010100,76010100,76010100,76010100,76010100,76010100,76010100,76010100,76010100,76010100,76010100,76010100,0)","'(14036,14135,14402,19025,19378,19456,14136,14765,14220,14934,18998,18398,19223,18686,0)","'(15182,14504,14848,15163,14951,15434,15990,15503,14212,14368,14629,14806,15962,15934,0)","'(-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,0)","'(10,40,160,15,110,-170,0,130,0,120,180,55,180,-35,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,90091015)","'(0,0,90306034)"
"80000303","'(73010303,73010305)","'(76010110,76010111,76010112,76010113,0)","'(17060,16750,16360,15950,0)","'(15040,15280,15280,15040,0)","'(-4942,-4942,-4942,-4942,0)","'(85,85,90,90,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(0,0,90091019)","'(0,0,90306035)"
"80000304","'(73010304,73010305)","'(76010102,0)","'(16540,0)","'(13800,0)","'(-4942,0)","'(90,0)","'(0,0)","'(0,0)","'(7.5,0)","'(0,0,90091016)","'(0,0,90306036)"
"80000305","'(73010301,73010305)","'(76010103,76010103,76010103,76010103,76010103,76010103,76010103,76010103,0)","'(14745,15113,15672,16265,16917,17532,18164,18634,0)","'(18294,17918,17918,17918,17918,17918,17918,18294,0)","'(-5162,-5155,-5155,-5162,-5162,-5155,-5155,-5162,0)","'(30,90,90,90,90,90,90,150,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","",""
"80000306","'(73010302,73010305)","'(76010103,76010103,76010103,76010103,76010103,76010103,76010103,76010103,76010103,76010103,76010103,76010103,76010103,76010103,0)","'(14036,14135,14402,19025,19378,19456,14136,14765,14220,14934,18998,18398,19223,18686,0)","'(15182,14504,14848,15163,14951,15434,15990,15503,14212,14368,14629,14806,15962,15934,0)","'(-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,0)","'(10,40,160,15,110,-170,0,130,0,120,180,55,180,-35,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,90091015)",""
"80000307","'(73010303,73010305)","'(76010104,76010104,76010104,76010104,76010104,76010104,0)","'(16196,17002,16662,16668,16668,16665,0)","'(15203,15210,15644,15357,14884,14632,0)","'(-4937,-4937,-4937,-4937,-4937,-4937,0)","'(85,85,90,90,90,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,90091019)",""
"80000308","'(73010304,73010305)","'(76010105,0)","'(16591,0)","'(15207,0)","'(-4800,0)","'(90,0)","'(0,0)","'(0,0)","'(7.5,0)","'(0,0,90091016)",""
"80000309","'(73010301,73010305)","'(76010106,76010106,76010106,76010106,76010106,76010106,76010106,76010106,0)","'(14745,15113,15672,16265,16917,17532,18164,18634,0)","'(18294,17918,17918,17918,17918,17918,17918,18294,0)","'(-5162,-5155,-5155,-5162,-5162,-5155,-5155,-5162,0)","'(30,90,90,90,90,90,90,150,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","",""
"80000310","'(73010302,73010305)","'(76010106,76010106,76010106,76010106,76010106,76010106,76010106,76010106,76010106,76010106,76010106,76010106,76010106,76010106,0)","'(14036,14135,14402,19025,19378,19456,14136,14765,14220,14934,18998,18398,19223,18686,0)","'(15182,14504,14848,15163,14951,15434,15990,15503,14212,14368,14629,14806,15962,15934,0)","'(-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,-4937,0)","'(10,40,160,15,110,-170,0,130,0,120,180,55,180,-35,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,90091015)",""
"80000311","'(73010303,73010305)","'(76010107,76010107,76010107,76010107,76010107,76010107,0)","'(16196,17002,16662,16668,16668,16665,0)","'(15203,15210,15644,15357,14884,14632,0)","'(-4937,-4937,-4937,-4937,-4937,-4937,0)","'(85,85,90,90,90,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,90091019)",""
"80000312","'(73010304,73010305)","'(76010108,0)","'(16591,0)","'(15207,0)","'(-4800,0)","'(90,0)","'(0,0)","'(0,0)","'(7.5,0)","'(0,0,90091016)",""
"80000401","(73013001,73013002)","'(76030002,76030001,76030001,76030001,76030000,76030000,76030000,76030000,76030000,76030000,76030000,76030000,0)","'(9020,9340,8700,8700,9320,9030,9010,9360,8650,8340,8630,9410,0)","'(8760,9290,9310,8910,8910,9500,8370,8440,9600,9220,8490,9940,0)","'(500,500,500,500,500,500,500,500,500,500,500,500,0)","'(90,90,90,90,90,90,90,90,90,90,90,90,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(3,10,90090454)",""
"80000402","(73013001,73013002)","'(76030005,76030004,76030004,76030004,76030003,76030003,76030003,76030003,76030003,76030003,76030003,76030003,0)","'(9020,9340,8700,8700,9320,9030,9010,9360,8650,8340,8630,9410,0)","'(8760,9290,9310,8910,8910,9500,8370,8440,9600,9220,8490,9940,0)","'(500,500,500,500,500,500,500,500,500,500,500,500,0)","'(90,90,90,90,90,90,90,90,90,90,90,90,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(3,10,90090454,0,0,90090455)",""
"80000403","(73013001,73013002)","'(76030008,76030007,76030007,76030007,76030006,76030006,76030006,76030006,76030006,76030006,76030006,76030006,0)","'(9020,9340,8700,8700,9320,9030,9010,9360,8650,8340,8630,9410,0)","'(8760,9290,9310,8910,8910,9500,8370,8440,9600,9220,8490,9940,0)","'(500,500,500,500,500,500,500,500,500,500,500,500,0)","'(90,90,90,90,90,90,90,90,90,90,90,90,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(3,10,90090454,0,0,90090456)",""
"80000404","(73013001,73013002)","'(76030011,76030010,76030010,76030010,76030009,76030009,76030009,76030009,76030009,76030009,76030009,76030009,0)","'(9020,9340,8700,8700,9320,9030,9010,9360,8650,8340,8630,9410,0)","'(8760,9290,9310,8910,8910,9500,8370,8440,9600,9220,8490,9940,0)","'(500,500,500,500,500,500,500,500,500,500,500,500,0)","'(90,90,90,90,90,90,90,90,90,90,90,90,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(3,10,90090454,0,0,90090457)",""
"80000405","(73013001,73013002)","'(76030014,76030013,76030013,76030013,76030012,76030012,76030012,76030012,76030012,76030012,76030012,76030012,0)","'(9020,9340,8700,8700,9320,9030,9010,9360,8650,8340,8630,9410,0)","'(8760,9290,9310,8910,8910,9500,8370,8440,9600,9220,8490,9940,0)","'(500,500,500,500,500,500,500,500,500,500,500,500,0)","'(90,90,90,90,90,90,90,90,90,90,90,90,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0,0,0)","'(3,10,90090454,0,0,90090458)",""
"80000501","(73010801,73010805)","'(76010700,76010700,76010700,76010700,76010700,76010700,76010700,76010700,0)","'(9408,9442,9595,9827,10275,11277,12481,10919,0)","'(14281,13649,13023,12456,11903,11892,12747,13510,0)","'(-134,-134,-134,-134,-134,-134,-134,-134,0)","'(-40,-20,10,40,70,100,150,-160,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","",""
"80000502","(73010802,73010805)","'(76010700,76010700,76010700,76010700,76010700,0)","'(13184,14592,14732,16055,17181,0)","'(10716,10800,9733,9583,9287,0)","'(-134,-134,-134,-134,-134,0)","'(40,-150,100,160,110,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,90091015)",""
"80000503","(73010803,73010805)","'(76010701,76010701,76010701,0)","'(20189,20635,21301,0)","'(11327,6567,6763,0)","'(209,-429,-429,0)","'(-150,110,160,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,90091019)",""
"80000504","(73010804,73010805)","'(76010702,0)","'(23471,0)","'(11877,0)","'(488,0)","'(180,0)","'(0,0)","'(0,0)","'(10,0)","'(0,0,90091016)",""
"80000505","(73010801,73010805)","'(76010703,76010703,76010703,76010703,76010703,76010703,76010703,76010703,0)","'(9408,9442,9595,9827,10275,11277,12481,10919,0)","'(14281,13649,13023,12456,11903,11892,12747,13510,0)","'(-134,-134,-134,-134,-134,-134,-134,-134,0)","'(-40,-20,10,40,70,100,150,-160,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","",""
"80000506","(73010802,73010805)","'(76010703,76010703,76010703,76010703,76010703,0)","'(13184,14592,14732,16055,17181,0)","'(10716,10800,9733,9583,9287,0)","'(-134,-134,-134,-134,-134,0)","'(40,-150,100,160,110,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,90091015)",""
"80000507","(73010803,73010805)","'(76010704,76010704,76010704,0)","'(20189,20635,21301,0)","'(11327,6567,6763,0)","'(209,-429,-429,0)","'(-150,110,160,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,90091019)",""
"80000508","(73010804,73010805)","'(76010705,0)","'(23471,0)","'(11877,0)","'(488,0)","'(180,0)","'(0,0)","'(0,0)","'(10,0)","'(0,0,90091016)",""
"80000509","(73010801,73010805)","'(76010706,76010706,76010706,76010706,76010706,76010706,76010706,76010706,0)","'(9408,9442,9595,9827,10275,11277,12481,10919,0)","'(14281,13649,13023,12456,11903,11892,12747,13510,0)","'(-134,-134,-134,-134,-134,-134,-134,-134,0)","'(-40,-20,10,40,70,100,150,-160,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","",""
"80000510","(73010802,73010805)","'(76010706,76010706,76010706,76010706,76010706,0)","'(13184,14592,14732,16055,17181,0)","'(10716,10800,9733,9583,9287,0)","'(-134,-134,-134,-134,-134,0)","'(40,-150,100,160,110,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,90091015)",""
"80000511","(73010803,73010805)","'(76010707,76010707,76010707,0)","'(20189,20635,21301,0)","'(11327,6567,6763,0)","'(209,-429,-429,0)","'(-150,110,160,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,90091019)",""
"80000512","(73010804,73010805)","'(76010708,0)","'(23471,0)","'(11877,0)","'(488,0)","'(180,0)","'(0,0)","'(0,0)","'(10,0)","'(0,0,90091016)",""
"80000601","(73010901,73010905)","'(76010800,76010800,76010800,76010800,76010800,76010800,0)","'(11142,13831,11148,13512,11250,13230,0)","'(11105,10664,10285,9872,9515,9133,0)","'(293,293,293,293,293,293,0)","'(0,150,0,150,0,150,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","",""
"80000602","(73010902,73010905)","'(76010801,76010801,76010801,76010801,76010801,0)","'(10280,10075,10802,11357,11841,0)","'(6959,6091,6090,6816,7355,0)","'(293,293,293,293,293,0)","'(0,40,110,140,130,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,90091015)",""
"80000603","(73010903,73010905)","'(76010802,76010802,76010802,0)","'(6765,5563,5625,0)","'(6419,5959,4401,0)","'(353,353,353,0)","'(-70,-70,20,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,90091019)",""
"80000604","(73010904,73010905)","'(76010803,0)","'(5556,0)","'(11087,0)","'(396,0)","'(-80,0)","'(0,0)","'(0,0)","'(10,0)","'(0,0,90091016)",""
"80000605","(73010901,73010905)","'(76010804,76010804,76010804,76010804,76010804,76010804,0)","'(11142,13831,11148,13512,11250,13230,0)","'(11105,10664,10285,9872,9515,9133,0)","'(293,293,293,293,293,293,0)","'(0,150,0,150,0,150,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","",""
"80000606","(73010902,73010905)","'(76010805,76010805,76010805,76010805,76010805,0)","'(10280,10075,10802,11357,11841,0)","'(6959,6091,6090,6816,7355,0)","'(293,293,293,293,293,0)","'(0,40,110,140,130,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,90091015)",""
"80000607","(73010903,73010905)","'(76010806,76010806,76010806,0)","'(6765,5563,5625,0)","'(6419,5959,4401,0)","'(353,353,353,0)","'(-70,-70,20,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,90091019)",""
"80000608","(73010904,73010905)","'(76010807,0)","'(5556,0)","'(11087,0)","'(396,0)","'(-80,0)","'(0,0)","'(0,0)","'(10,0)","'(0,0,90091016)",""
"80000609","(73010901,73010905)","'(76010808,76010808,76010808,76010808,76010808,76010808,0)","'(11142,13831,11148,13512,11250,13230,0)","'(11105,10664,10285,9872,9515,9133,0)","'(293,293,293,293,293,293,0)","'(0,150,0,150,0,150,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","",""
"80000610","(73010902,73010905)","'(76010809,76010809,76010809,76010809,76010809,0)","'(10280,10075,10802,11357,11841,0)","'(6959,6091,6090,6816,7355,0)","'(293,293,293,293,293,0)","'(0,40,110,140,130,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,90091015)",""
"80000611","(73010903,73010905)","'(76010810,76010810,76010810,0)","'(6765,5563,5625,0)","'(6419,5959,4401,0)","'(353,353,353,0)","'(-70,-70,20,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,90091019)",""
"80000612","(73010904,73010905)","'(76010811,0)","'(5556,0)","'(11087,0)","'(396,0)","'(-80,0)","'(0,0)","'(0,0)","'(10,0)","'(0,0,90091016)",""
"80000701","(73011001,73011005)","'(76010900,76010900,76010900,76010900,76010900,76010900,0)","'(22951,21632,21589,22622,23888,23906,0)","'(35348,34796,33377,32715,33263,34682,0)","'(263,263,263,263,263,263,0)","'(-90,-30,30,80,150,-160,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","",""
"80000702","(73011002,73011005)","'(76010901,76010901,76010901,76010901,76010901,76010901,0)","'(26892,26909,27499,28551,28573,27882,0)","'(31055,30281,29905,30418,31217,31621,0)","'(235,235,235,235,235,235,0)","'(-10,30,70,160,-150,-100,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,90091015)",""
"80000703","(73011003,73011005)","'(76010902,76010902,76010902,0)","'(28404,28621,26952,0)","'(25726,24302,24702,0)","'(255,255,255,0)","'(-119,140,10,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,90091019)",""
"80000704","(73011004,73011005)","'(76010903,76010902,76010902,76010902,0)","'(16423,23560,22321,21132,0)","'(22862,24082,23848,23625,0)","'(817,253,253,253,0)","'(10,10,10,10,0)","'(0,0,0,0,0)","'(0,0,0,0,0)","'(9,0,0,0,0)","'(0,0,90091016)",""
"80000705","(73011001,73011005)","'(76010904,76010904,76010904,76010904,76010904,76010904,0)","'(22951,21632,21589,22622,23888,23906,0)","'(35348,34796,33377,32715,33263,34682,0)","'(263,263,263,263,263,263,0)","'(-90,-30,30,80,150,-160,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0)","",""
