"AttributeId","level","EquipSlot","ItemIdList","ItemNumList","MoneyCostList","FailGetItemList","Rate","InheritUpgradeRatio","NoticeId","ProtectItemInfo","BarserkerWeaponBuffArray","BarserkerEquipBuffArrayCommon","BarserkerEquipBuffArrayIce","BarserkerEquipBuffArrayFire","BarserkerEquipBuffArrayLight","BarserkerEquipBuffArrayDark","WizardWeaponBuffArray","WizardEquipBuffArrayCommon","WizardEquipBuffArrayIce","WizardEquipBuffArrayFire","WizardEquipBuffArrayLight","WizardEquipBuffArrayDark","GuardianWeaponBuffArray","GuardianEquipBuffArrayCommon","GuardianEquipBuffArrayIce","GuardianEquipBuffArrayFire","GuardianEquipBuffArrayLight","GuardianEquipBuffArrayDark","AssassinWeaponBuffArray","AssassinEquipBuffArrayCommon","AssassinEquipBuffArrayIce","AssassinEquipBuffArrayFire","AssassinEquipBuffArrayLight","AssassinEquipBuffArrayDark"
"41000011","10","1","","","(30000005,11)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000012","11","1","","","(30000005,12)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000013","12","1","","","(30000005,13)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000014","13","1","","","(30000005,14)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000015","14","1","","","(30000005,15)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000016","15","1","","","(30000005,16)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000017","16","1","","","(30000005,17)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000018","17","1","","","(30000005,18)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000019","18","1","","","(30000005,19)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000020","19","1","","","(30000005,20)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000021","20","1","","","(30000005,21)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000022","21","1","","","(30000005,22)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000023","22","1","","","(30000005,23)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000024","23","1","","","(30000005,24)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000025","24","1","","","(30000005,25)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000026","25","1","","","(30000005,26)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000027","26","1","","","(30000005,27)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000028","27","1","","","(30000005,28)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000029","28","1","","","(30000005,29)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000030","29","1","","","(30000005,30)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000031","30","1","","","(30000005,31)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000032","31","1","","","(30000005,32)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000033","32","1","","","(30000005,33)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000034","33","1","","","(30000005,34)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000035","34","1","","","(30000005,35)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000036","35","1","","","(30000005,36)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000037","36","1","","","(30000005,37)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000038","37","1","","","(30000005,38)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000039","38","1","","","(30000005,39)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000040","39","1","","","(30000005,40)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000041","40","1","","","(30000005,41)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000042","41","1","","","(30000005,42)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000043","42","1","","","(30000005,43)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000044","43","1","","","(30000005,44)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000045","44","1","","","(30000005,45)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000046","45","1","","","(30000005,46)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000047","46","1","","","(30000005,47)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000048","47","1","","","(30000005,48)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000049","48","1","","","(30000005,49)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000050","49","1","","","(30000005,50)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000051","50","1","","","(30000005,51)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000052","51","1","","","(30000005,52)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000053","52","1","","","(30000005,53)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000054","53","1","","","(30000005,54)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000055","54","1","","","(30000005,55)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000056","55","1","","","(30000005,56)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000057","56","1","","","(30000005,57)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000058","57","1","","","(30000005,58)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000059","58","1","","","(30000005,59)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000060","59","1","","","(30000005,60)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000061","60","1","","","(30000005,61)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000062","61","1","","","(30000005,62)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000063","62","1","","","(30000005,63)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000064","63","1","","","(30000005,64)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000065","64","1","","","(30000005,65)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000066","65","1","","","(30000005,66)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000067","66","1","","","(30000005,67)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000068","67","1","","","(30000005,68)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000069","68","1","","","(30000005,69)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000070","69","1","","","(30000005,70)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000071","70","1","","","(30000005,71)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000072","71","1","","","(30000005,72)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000073","72","1","","","(30000005,73)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000074","73","1","","","(30000005,74)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000075","74","1","","","(30000005,75)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000076","75","1","","","(30000005,76)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000077","76","1","","","(30000005,77)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000078","77","1","","","(30000005,78)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000079","78","1","","","(30000005,79)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000080","79","1","","","(30000005,80)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000081","80","1","","","(30000005,81)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000082","81","1","","","(30000005,82)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000083","82","1","","","(30000005,83)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000084","83","1","","","(30000005,84)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000085","84","1","","","(30000005,85)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000086","85","1","","","(30000005,86)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000087","86","1","","","(30000005,87)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000088","87","1","","","(30000005,88)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000089","88","1","","","(30000005,89)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000090","89","1","","","(30000005,90)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000091","90","1","","","(30000005,91)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000092","91","1","","","(30000005,92)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000093","92","1","","","(30000005,93)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000094","93","1","","","(30000005,94)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000095","94","1","","","(30000005,95)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000096","95","1","","","(30000005,96)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000097","96","1","","","(30000005,97)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000098","97","1","","","(30000005,98)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000099","98","1","","","(30000005,99)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000100","99","1","","","(30000005,100)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41000101","100","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010001","0","2","","","(30000005,1)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010002","1","2","","","(30000005,2)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010003","2","2","","","(30000005,3)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010004","3","2","","","(30000005,4)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010005","4","2","","","(30000005,5)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010006","5","2","","","(30000005,6)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010007","6","2","","","(30000005,7)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010008","7","2","","","(30000005,8)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010009","8","2","","","(30000005,9)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010010","9","2","","","(30000005,10)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010011","10","2","","","(30000005,11)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010012","11","2","","","(30000005,12)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010013","12","2","","","(30000005,13)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010014","13","2","","","(30000005,14)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010015","14","2","","","(30000005,15)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010016","15","2","","","(30000005,16)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010017","16","2","","","(30000005,17)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010018","17","2","","","(30000005,18)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010019","18","2","","","(30000005,19)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010020","19","2","","","(30000005,20)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010021","20","2","","","(30000005,21)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010022","21","2","","","(30000005,22)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010023","22","2","","","(30000005,23)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010024","23","2","","","(30000005,24)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010025","24","2","","","(30000005,25)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010026","25","2","","","(30000005,26)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010027","26","2","","","(30000005,27)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010028","27","2","","","(30000005,28)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010029","28","2","","","(30000005,29)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010030","29","2","","","(30000005,30)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010031","30","2","","","(30000005,31)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010032","31","2","","","(30000005,32)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010033","32","2","","","(30000005,33)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010034","33","2","","","(30000005,34)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010035","34","2","","","(30000005,35)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010036","35","2","","","(30000005,36)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010037","36","2","","","(30000005,37)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010038","37","2","","","(30000005,38)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010039","38","2","","","(30000005,39)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010040","39","2","","","(30000005,40)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010041","40","2","","","(30000005,41)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010042","41","2","","","(30000005,42)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010043","42","2","","","(30000005,43)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010044","43","2","","","(30000005,44)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010045","44","2","","","(30000005,45)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010046","45","2","","","(30000005,46)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010047","46","2","","","(30000005,47)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010048","47","2","","","(30000005,48)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010049","48","2","","","(30000005,49)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010050","49","2","","","(30000005,50)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010051","50","2","","","(30000005,51)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010052","51","2","","","(30000005,52)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010053","52","2","","","(30000005,53)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010054","53","2","","","(30000005,54)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010055","54","2","","","(30000005,55)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010056","55","2","","","(30000005,56)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010057","56","2","","","(30000005,57)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010058","57","2","","","(30000005,58)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010059","58","2","","","(30000005,59)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010060","59","2","","","(30000005,60)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010061","60","2","","","(30000005,61)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010062","61","2","","","(30000005,62)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010063","62","2","","","(30000005,63)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010064","63","2","","","(30000005,64)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010065","64","2","","","(30000005,65)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010066","65","2","","","(30000005,66)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010067","66","2","","","(30000005,67)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010068","67","2","","","(30000005,68)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010069","68","2","","","(30000005,69)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010070","69","2","","","(30000005,70)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010071","70","2","","","(30000005,71)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010072","71","2","","","(30000005,72)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010073","72","2","","","(30000005,73)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010074","73","2","","","(30000005,74)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010075","74","2","","","(30000005,75)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010076","75","2","","","(30000005,76)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010077","76","2","","","(30000005,77)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010078","77","2","","","(30000005,78)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010079","78","2","","","(30000005,79)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010080","79","2","","","(30000005,80)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010081","80","2","","","(30000005,81)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010082","81","2","","","(30000005,82)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010083","82","2","","","(30000005,83)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010084","83","2","","","(30000005,84)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010085","84","2","","","(30000005,85)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010086","85","2","","","(30000005,86)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010087","86","2","","","(30000005,87)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010088","87","2","","","(30000005,88)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010089","88","2","","","(30000005,89)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010090","89","2","","","(30000005,90)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010091","90","2","","","(30000005,91)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010092","91","2","","","(30000005,92)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010093","92","2","","","(30000005,93)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010094","93","2","","","(30000005,94)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010095","94","2","","","(30000005,95)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010096","95","2","","","(30000005,96)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010097","96","2","","","(30000005,97)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010098","97","2","","","(30000005,98)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010099","98","2","","","(30000005,99)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010100","99","2","","","(30000005,100)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41010101","100","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020001","0","3","","","(30000005,1)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020002","1","3","","","(30000005,2)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020003","2","3","","","(30000005,3)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020004","3","3","","","(30000005,4)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020005","4","3","","","(30000005,5)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020006","5","3","","","(30000005,6)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020007","6","3","","","(30000005,7)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020008","7","3","","","(30000005,8)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020009","8","3","","","(30000005,9)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020010","9","3","","","(30000005,10)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020011","10","3","","","(30000005,11)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020012","11","3","","","(30000005,12)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020013","12","3","","","(30000005,13)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020014","13","3","","","(30000005,14)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020015","14","3","","","(30000005,15)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020016","15","3","","","(30000005,16)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020017","16","3","","","(30000005,17)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020018","17","3","","","(30000005,18)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020019","18","3","","","(30000005,19)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020020","19","3","","","(30000005,20)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020021","20","3","","","(30000005,21)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020022","21","3","","","(30000005,22)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020023","22","3","","","(30000005,23)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020024","23","3","","","(30000005,24)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020025","24","3","","","(30000005,25)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020026","25","3","","","(30000005,26)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020027","26","3","","","(30000005,27)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020028","27","3","","","(30000005,28)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020029","28","3","","","(30000005,29)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020030","29","3","","","(30000005,30)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020031","30","3","","","(30000005,31)","","(1,0)","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020032","31","3","","","(30000005,32)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020033","32","3","","","(30000005,33)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020034","33","3","","","(30000005,34)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020035","34","3","","","(30000005,35)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020036","35","3","","","(30000005,36)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020037","36","3","","","(30000005,37)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41020038","37","3","","","(30000005,38)","","(1,0)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
