"AttributeId","Time","MoneyNeed"
"33010027","240","(4,10)"
"33010028","360","(4,15)"
"33010029","480","(4,20)"
"33010030","600","(4,25)"
"33010031","720","(4,30)"
"33010032","840","(4,35)"
"33010033","960","(4,40)"
"33010034","1080","(4,45)"
"33010035","1200","(4,50)"
"33010036","1320","(4,55)"
"33010037","1440","(4,60)"
"33010038","1560","(4,65)"
"33010039","1680","(4,70)"
"33010040","1800","(4,75)"
"33010041","1920","(4,80)"
"33010042","2040","(4,85)"
"33010043","2160","(4,90)"
"33010044","2280","(4,95)"
"33010045","2400","(4,100)"
"33010046","2520","(4,105)"
"33010047","2640","(4,110)"
"33010048","2760","(4,115)"
"33010049","2880","(4,120)"
"33010050","3000","(4,125)"
"33010051","3120","(4,130)"
"33010052","3240","(4,135)"
"33010053","3360","(4,140)"
"33010054","3480","(4,145)"
"33010055","3600","(4,150)"
"33010056","3720","(4,155)"
"33010057","3840","(4,160)"
"33010058","3960","(4,165)"
"33010059","4080","(4,170)"
"33010060","4200","(4,175)"
"33010061","4320","(4,180)"
"33010062","4440","(4,185)"
"33010063","4560","(4,190)"
"33010064","4680","(4,195)"
"33010065","4800","(4,200)"
"33010066","4920","(4,205)"
"33010067","5040","(4,210)"
"33010068","5160","(4,215)"
"33010069","5280","(4,220)"
"33010070","5400","(4,225)"
"33010071","5520","(4,230)"
"33010072","5640","(4,235)"
"33010073","5760","(4,240)"
"33010074","5880","(4,245)"
"33010075","6000","(4,250)"
"33010076","6120","(4,255)"
"33010077","6240","(4,260)"
"33010078","6360","(4,265)"
"33010079","6480","(4,270)"
"33010080","6600","(4,275)"
"33010081","6720","(4,280)"
"33010082","6840","(4,285)"
"33010083","6960","(4,290)"
"33010084","7080","(4,295)"
"33010085","7200","(4,300)"
"33010086","7320","(4,305)"
"33010087","7440","(4,310)"
"33010088","7560","(4,315)"
"33010089","7680","(4,320)"
"33010090","7800","(4,325)"
"33010091","7920","(4,330)"
"33010092","8040","(4,335)"
"33010093","8160","(4,340)"
"33010094","8280","(4,345)"
"33010095","8400","(4,350)"
"33010096","8520","(4,355)"
"33010097","8640","(4,360)"
"33010098","8760","(4,365)"
"33010099","8880","(4,370)"
"33010100","9000","(4,375)"
"33010101","9120","(4,380)"
"33010102","9240","(4,385)"
"33010103","9360","(4,390)"
"33010104","9480","(4,395)"
"33010105","9600","(4,400)"
"33010106","9720","(4,405)"
"33010107","9840","(4,410)"
"33010108","9960","(4,415)"
"33010109","10080","(4,420)"
"33010110","10200","(4,425)"
"33010111","10320","(4,430)"
"33010112","10440","(4,435)"
"33010113","10560","(4,440)"
"33010114","10680","(4,445)"
"33010115","10800","(4,450)"
"33010116","10920","(4,455)"
"33010117","11040","(4,460)"
"33010118","11160","(4,465)"
"33010119","11280","(4,470)"
"33010120","11400","(4,475)"
"33010121","11520","(4,480)"
"33010122","11640","(4,485)"
"33010123","11760","(4,490)"
"33010124","11880","(4,495)"
"33010125","12000","(4,500)"
"33010126","12120","(4,505)"
"33010127","12240","(4,510)"
"33010128","12360","(4,515)"
"33010129","12480","(4,520)"
"33010130","12600","(4,525)"
"33010131","12720","(4,530)"
"33010132","12840","(4,535)"
"33010133","12960","(4,540)"
"33010134","13080","(4,545)"
"33010135","13200","(4,550)"
"33010136","13320","(4,555)"
"33010137","13440","(4,560)"
"33010138","13560","(4,565)"
"33010139","13680","(4,570)"
"33010140","13800","(4,575)"
"33010141","13920","(4,580)"
"33010142","14040","(4,585)"
"33010143","14160","(4,590)"
"33010144","14280","(4,595)"
"33010145","14400","(4,600)"
"33010146","14520","(4,605)"
"33010147","14640","(4,610)"
"33010148","14760","(4,615)"
"33010149","14880","(4,620)"
"33010150","15000","(4,625)"
"33010151","15120","(4,630)"
"33010152","15240","(4,635)"
"33010153","15360","(4,640)"
"33010154","15480","(4,645)"
"33010155","15600","(4,650)"
"33010156","15720","(4,655)"
"33010157","15840","(4,660)"
"33010158","15960","(4,665)"
"33010159","16080","(4,670)"
"33010160","16200","(4,675)"
"33010161","16320","(4,680)"
"33010162","16440","(4,685)"
"33010163","16560","(4,690)"
"33010164","16680","(4,695)"
"33010165","16800","(4,700)"
"33010166","16920","(4,705)"
"33010167","17040","(4,710)"
"33010168","17160","(4,715)"
"33010169","17280","(4,720)"
"33010170","17400","(4,725)"
"33010171","17520","(4,730)"
"33010172","17640","(4,735)"
"33010173","17760","(4,740)"
"33010174","17880","(4,745)"
"33010175","18000","(4,750)"
"33010176","18120","(4,755)"
"33010177","18240","(4,760)"
"33010178","18360","(4,765)"
"33010179","18480","(4,770)"
"33010180","18600","(4,775)"
"33010181","18720","(4,780)"
"33010182","18840","(4,785)"
"33010183","18960","(4,790)"
"33010184","19080","(4,795)"
"33010185","19200","(4,800)"
"33010186","19320","(4,805)"
"33010187","19440","(4,810)"
"33010188","19560","(4,815)"
"33010189","19680","(4,820)"
"33010190","19800","(4,825)"
"33010191","19920","(4,830)"
"33010192","20040","(4,835)"
"33010193","20160","(4,840)"
"33010194","20280","(4,845)"
"33010195","20400","(4,850)"
"33010196","20520","(4,855)"
"33010197","20640","(4,860)"
"33010198","20760","(4,865)"
"33010199","20880","(4,870)"
"33010200","21000","(4,875)"
"33010201","21120","(4,880)"
"33010202","21240","(4,885)"
"33010203","21360","(4,890)"
"33010204","21480","(4,895)"
"33010205","21600","(4,900)"
"33010206","21720","(4,905)"
"33010207","21840","(4,910)"
"33010208","21960","(4,915)"
"33010209","22080","(4,920)"
"33010210","22200","(4,925)"
"33010211","22320","(4,930)"
"33010212","22440","(4,935)"
"33010213","22560","(4,940)"
"33010214","22680","(4,945)"
"33010215","22800","(4,950)"
"33010216","22920","(4,955)"
"33010217","23040","(4,960)"
"33010218","23160","(4,965)"
"33010219","23280","(4,970)"
"33010220","23400","(4,975)"
"33010221","23520","(4,980)"
"33010222","23640","(4,985)"
"33010223","23760","(4,990)"
"33010224","23880","(4,995)"
"33010225","24000","(4,1000)"
"33010226","24120","(4,1005)"
"33010227","24240","(4,1010)"
"33010228","24360","(4,1015)"
"33010229","24480","(4,1020)"
"33010230","24600","(4,1025)"
"33010231","24720","(4,1030)"
"33010232","24840","(4,1035)"
"33010233","24960","(4,1040)"
"33010234","25080","(4,1045)"
"33010235","25200","(4,1050)"
"33010236","25320","(4,1055)"
"33010237","25440","(4,1060)"
"33010238","25560","(4,1065)"
"33010239","25680","(4,1070)"
"33010240","25800","(4,1075)"
"33010241","25920","(4,1080)"
"33010242","26040","(4,1085)"
"33010243","26160","(4,1090)"
"33010244","26280","(4,1095)"
"33010245","26400","(4,1100)"
"33010246","26520","(4,1105)"
"33010247","26640","(4,1110)"
"33010248","26760","(4,1115)"
"33010249","26880","(4,1120)"
"33010250","27000","(4,1125)"
"33010251","27120","(4,1130)"
"33010252","27240","(4,1135)"
"33010253","27360","(4,1140)"
"33010254","27480","(4,1145)"
"33010255","27600","(4,1150)"
"33010256","27720","(4,1155)"
"33010257","27840","(4,1160)"
"33010258","27960","(4,1165)"
"33010259","28080","(4,1170)"
"33010260","28200","(4,1175)"
"33010261","28320","(4,1180)"
"33010262","28440","(4,1185)"
"33010263","28560","(4,1190)"
"33010264","28680","(4,1195)"
"33010265","28800","(4,1200)"
"33010266","28920","(4,1205)"
"33010267","29040","(4,1210)"
"33010268","29160","(4,1215)"
"33010269","29280","(4,1220)"
"33010270","29400","(4,1225)"
"33010271","29520","(4,1230)"
"33010272","29640","(4,1235)"
"33010273","29760","(4,1240)"
"33010274","29880","(4,1245)"
"33010275","30000","(4,1250)"
"33010276","30120","(4,1255)"
"33010277","30240","(4,1260)"
"33010278","30360","(4,1265)"
"33010279","30480","(4,1270)"
"33010280","30600","(4,1275)"
"33010281","30720","(4,1280)"
"33010282","30840","(4,1285)"
"33010283","30960","(4,1290)"
"33010284","31080","(4,1295)"
"33010285","31200","(4,1300)"
"33010286","31320","(4,1305)"
"33010287","31440","(4,1310)"
"33010288","31560","(4,1315)"
"33010289","31680","(4,1320)"
"33010290","31800","(4,1325)"
"33010291","31920","(4,1330)"
"33010292","32040","(4,1335)"
"33010293","32160","(4,1340)"
"33010294","32280","(4,1345)"
"33010295","32400","(4,1350)"
"33010296","32520","(4,1355)"
"33010297","32640","(4,1360)"
"33010298","32760","(4,1365)"
"33010299","32880","(4,1370)"
"33010300","33000","(4,1375)"
