"AttributeId","StoreType","StoreGoods","LevelLimit","OpenType","StoreOpenTimeLimit","LastTime","FreshType","FreshTime","FreshInterval","FirstLabelIndex","ExtraMoneyShowArray","StoreNameId"
"34000024","24","(35250005,35250016,35250017)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0)",""
"34000025","25","(35250006,35250007,35250008,35250009,35250010,35250011,35250012,35250013,35250014)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0)",""
"34000026","26","(35400052,35400053,35400054,35400055,35400056,35400057,35400058,35400059)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0)",""
"34000027","27","(35260001,35260002,35260003,35260004,35260006,35260007,35260008,35260010,35260011,35260012,35260013,35260014,35260015,35260016,35260017,35260018,35260019)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0)",""
"34000028","28","(35500001,35500002,35500003,35500004,35500005,35500006,35500007,35500008,35500009,35500010,35500011,35500012,35500013,35500014)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(27,0,0,0,0,27,0,0,0,0,27,0,0,0,0,27,0,0,0,0,27,0,0,0,0,27,0,0,0,0,27,0,0,0,0,27,0,0,0,0,27,0,0,0,0)",""
"34000029","29","(35261010,35261011,35261014,35261012,35261013,35261015,35261001,35261002,35261003,35261004,35261005,35261006,35261007)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0)",""
"34000030","30","(35225005,35225002,35225003,35225004)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0)","90095298"
"34000031","31","(35600001,35600002,35600003,35600004,35600005,35600006,35600007,35600008,35600009)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0)","90305762"
"34000032","32","(35031010,35031011,35031014,35031012,35031013,35031015,35031023,35031024,35031025,35031008,35031009)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000033","33","(35070001,35070002,35260001,35260004,35070003,35070009,35070010,35070011,35070012,35070013,35070014,35070015,35070016,35070004,35070005,35070006,35070007,35070008,35070017,35070018,35070019,35070020)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0)",""
"34000034","34","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000035","35","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000036","36","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000037","37","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000038","38","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000039","39","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000040","40","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000041","41","(35050001)","0","0","(0,0,0,0,1)","1","1","(0)","0","","",""
"34000042","42","(35050002)","0","0","(0,0,0,0,1)","1","1","(0)","0","","",""
"34000043","43","(35050003)","0","0","(0,0,0,0,1)","1","1","(0)","0","","",""
"34000044","44","(35400001,35400002,35400003)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000045","45","(35400004,35400005,35400006)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000046","46","(35400007,35400008)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000047","47","(35400009,35400010,35400011)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000048","48","(35400012,35400013)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000049","49","(35400014,35400015,35400016)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000050","50","(35400017,35400018,35400019)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000051","51","(35400020,35400021,35400022)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000052","52","(35400023,35400024)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000053","53","(35400025,35400026,35400027)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000054","54","(35400028,35400029,35400030)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000055","55","(35400031,35400032)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000056","56","(35050010)","0","0","(0,0,0,0,1)","1","1","(0)","0","","",""
"34000057","57","(35050011)","0","0","(0,0,0,0,1)","1","1","(0)","0","","",""
"34000058","58","(35050012)","0","0","(0,0,0,0,1)","1","1","(0)","0","","",""
"34000059","59","(35050013)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000060","60","(35050014)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000061","61","(35050015)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000062","62","(35050016)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000063","63","(35050017,35050018)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000064","64","(35050019)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000065","65","(35400033,35400034,35400035,35400036)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000066","66","(35400037,35400038,35400039)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000067","67","(35400040,35400041,35400042,35400043)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000068","68","(35050020)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000069","69","(35050021)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000070","70","(35050022)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000071","71","(35400044,35400045,35400046,35400047)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000072","72","(35400048,35400049,35400050,35400051)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000073","73","(35400101,35400102,35400103,35400104)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000074","74","(35400105,35400106,35400107,35400108)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000075","75","(35400109,35400110,35400111,35400112)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000076","76","(35400113,35400114,35400115,35400116)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000077","77","(35400117,35400118,35400119,35400120)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000078","78","(35050021,35050023,35050024,35050025)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000079","79","(35050023,35050024,35050025)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000080","80","(35400121,35400122,35400123,35400124)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000081","81","(35400038,35400039)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000082","82","(35400126)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000083","83","(35400125)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000084","84","(35400127)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000085","85","(35400128)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000086","86","(35400129)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000087","87","(35400130)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000088","88","(35400131)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000089","89","(35400132,35400133,35400134,35400135)","0","0","(0,0,0,0,0)","1","1","(0)","0","","",""
"34000090","90","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000091","91","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000092","92","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000093","93","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000094","94","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000095","95","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000096","96","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000097","97","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000098","98","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000099","99","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000100","100","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000101","101","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000102","102","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000103","103","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000104","104","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000105","105","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000106","106","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000107","107","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000108","108","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000109","109","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000110","110","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000111","111","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000112","112","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000113","113","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000114","114","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000115","115","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000116","116","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000117","117","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000118","118","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000119","119","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000120","120","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000121","121","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000122","122","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000123","123","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000124","124","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000125","125","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000126","126","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000127","127","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000128","128","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000129","129","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000130","130","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000131","131","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000132","132","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000133","133","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000134","134","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000135","135","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000136","136","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000137","137","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000138","138","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000139","139","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000140","140","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
