"AttributeId","Type","SubType","ImgId","DesStrId","IsHidden","RankingType","RankingBossID","RankingRewards"
"129000071","12","5","91232767","90069680","1","50","76110005","(1,1,31102001,2,3,31102002,4,6,31102003,7,10,31102004,11,15,31102005,16,20,31102006,21,30,31102007,31,100,31102008£©"
"129000072","12","6","91232768","90069681","1","51","76110006","(1,1,31102001,2,3,31102002,4,6,31102003,7,10,31102004,11,15,31102005,16,20,31102006,21,30,31102007,31,100,31102008£©"
"129000073","12","7","91232769","90069682","1","52","76110007","(1,1,31102001,2,3,31102002,4,6,31102003,7,10,31102004,11,15,31102005,16,20,31102006,21,30,31102007,31,100,31102008£©"
"129000074","12","8","91232770","90069683","1","53","76110008","(1,1,31102001,2,3,31102002,4,6,31102003,7,10,31102004,11,15,31102005,16,20,31102006,21,30,31102007,31,100,31102008£©"
"129000075","13","0","91260753","90096614","0","-1","0",""
"129000076","13","1","91232701","90096613","0","62","0",""
"129000077","13","2","91290363","90203431","0","63","0",""
"129000078","13","3","91232749","90069662","0","64","0",""
"129000079","13","4","91232749","90203649","0","65","0",""
"129000080","15","0","91232754","90203713","0","-1","0",""
"129000081","15","1","91232755","90048367","0","67","76990190","(1,1,31081071,2,2,31081072,3,3,31081073£©"
"129000082","15","2","91232755","90048368","0","68","76990191","(1,1,31081074,2,2,31081075,3,3,31081076£©"
"129000083","15","3","91232755","90048369","0","69","76990192","(1,1,31081074,2,2,31081075,3,3,31081076£©"
"129000084","15","4","91232759","90048370","0","70","76990193","(1,1,31081077,2,2,31081078,3,3,31081079£©"
"129000085","15","5","91232759","90048371","0","71","76990194","(1,1,31081080,2,2,31081081,3,3,31081082£©"
"129000086","15","6","91232759","90048372","0","72","76990195","(1,1,31081080,2,2,31081081,3,3,31081082£©"
"129000087","15","7","91232756","90048373","0","73","76990196","(1,1,31081083,2,2,31081084,3,3,31081085£©"
"129000088","15","8","91232756","90048374","0","74","76990197","(1,1,31081086,2,2,31081087,3,3,31081088£©"
"129000089","15","9","91232756","90048375","0","75","76990198","(1,1,31081086,2,2,31081087,3,3,31081088£©"
"129000090","15","10","91232761","90048461","0","76","76990203","(1,1,31081089,2,2,31081090,3,3,31081091£©"
"129000091","15","11","91232761","90048462","0","77","76990204","(1,1,31081092,2,2,31081093,3,3,31081094£©"
"129000092","15","12","91232761","90048463","0","78","76990205","(1,1,31081092,2,2,31081093,3,3,31081094£©"
"129000093","13","5","91232743","90096854","0","91","0",""
"129000094","13","6","91232752","90305760","0","95","0",""
