"AttributeId","SpiritNum","AttArray","AddSpiritMatirialId","AddSpiritMatirialNum","AddSpiritMoney"
"46000014","0.0325","(4,8,4875,0,1,4,5,366,0,1,4,6,439,0,1,4,7,488,0,1,4,9,98,0,1,4,10,98,0,1,4,25,0.013,0,1,4,26,0.013,0,1)","31000042","1","(2,100000)"
"46000015","0.035","(4,8,5250,0,1,4,5,394,0,1,4,6,473,0,1,4,7,525,0,1,4,9,105,0,1,4,10,105,0,1,4,25,0.014,0,1,4,26,0.014,0,1)","31000042","1","(2,100000)"
"46000016","0.0375","(4,8,5625,0,1,4,5,422,0,1,4,6,506,0,1,4,7,563,0,1,4,9,113,0,1,4,10,113,0,1,4,25,0.015,0,1,4,26,0.015,0,1)","31000042","1","(2,100000)"
"46000017","0.04","(4,8,6000,0,1,4,5,450,0,1,4,6,540,0,1,4,7,600,0,1,4,9,120,0,1,4,10,120,0,1,4,25,0.016,0,1,4,26,0.016,0,1)","31000042","1","(2,100000)"
"46000018","0.0425","(4,8,6375,0,1,4,5,478,0,1,4,6,574,0,1,4,7,638,0,1,4,9,128,0,1,4,10,128,0,1,4,25,0.017,0,1,4,26,0.017,0,1)","31000042","1","(2,100000)"
"46000019","0.045","(4,8,6750,0,1,4,5,506,0,1,4,6,608,0,1,4,7,675,0,1,4,9,135,0,1,4,10,135,0,1,4,25,0.018,0,1,4,26,0.018,0,1)","31000042","1","(2,100000)"
"46000020","0.0475","(4,8,7125,0,1,4,5,534,0,1,4,6,641,0,1,4,7,713,0,1,4,9,143,0,1,4,10,143,0,1,4,25,0.019,0,1,4,26,0.019,0,1)","31000042","1","(2,100000)"
"46000021","0.05","(4,8,7500,0,1,4,5,563,0,1,4,6,675,0,1,4,7,750,0,1,4,9,150,0,1,4,10,150,0,1,4,25,0.02,0,1,4,26,0.02,0,1)","31000042","1","(2,100000)"
"46000022","0.0525","(4,8,7875,0,1,4,5,591,0,1,4,6,709,0,1,4,7,788,0,1,4,9,158,0,1,4,10,158,0,1,4,25,0.021,0,1,4,26,0.021,0,1)","31000042","1","(2,100000)"
"46000023","0.055","(4,8,8250,0,1,4,5,619,0,1,4,6,743,0,1,4,7,825,0,1,4,9,165,0,1,4,10,165,0,1,4,25,0.022,0,1,4,26,0.022,0,1)","31000042","1","(2,100000)"
"46000024","0.0575","(4,8,8625,0,1,4,5,647,0,1,4,6,776,0,1,4,7,863,0,1,4,9,173,0,1,4,10,173,0,1,4,25,0.023,0,1,4,26,0.023,0,1)","31000042","1","(2,100000)"
"46000025","0.06","(4,8,9000,0,1,4,5,675,0,1,4,6,810,0,1,4,7,900,0,1,4,9,180,0,1,4,10,180,0,1,4,25,0.024,0,1,4,26,0.024,0,1)","31000042","1","(2,100000)"
"46000026","0.0625","(4,8,9375,0,1,4,5,703,0,1,4,6,844,0,1,4,7,938,0,1,4,9,188,0,1,4,10,188,0,1,4,25,0.025,0,1,4,26,0.025,0,1)","31000042","1","(2,100000)"
"46000027","0.065","(4,8,9750,0,1,4,5,731,0,1,4,6,878,0,1,4,7,975,0,1,4,9,195,0,1,4,10,195,0,1,4,25,0.026,0,1,4,26,0.026,0,1)","31000042","1","(2,100000)"
"46000028","0.0675","(4,8,10125,0,1,4,5,759,0,1,4,6,911,0,1,4,7,1013,0,1,4,9,203,0,1,4,10,203,0,1,4,25,0.027,0,1,4,26,0.027,0,1)","31000042","1","(2,100000)"
"46000029","0.07","(4,8,10500,0,1,4,5,788,0,1,4,6,945,0,1,4,7,1050,0,1,4,9,210,0,1,4,10,210,0,1,4,25,0.028,0,1,4,26,0.028,0,1)","31000042","1","(2,100000)"
"46000030","0.0725","(4,8,10875,0,1,4,5,816,0,1,4,6,979,0,1,4,7,1088,0,1,4,9,218,0,1,4,10,218,0,1,4,25,0.029,0,1,4,26,0.029,0,1)","31000042","1","(2,100000)"
"46000031","0.075","(4,8,11250,0,1,4,5,844,0,1,4,6,1013,0,1,4,7,1125,0,1,4,9,225,0,1,4,10,225,0,1,4,25,0.03,0,1,4,26,0.03,0,1)","31000042","1","(2,100000)"
"46000032","0.0775","(4,8,11625,0,1,4,5,872,0,1,4,6,1046,0,1,4,7,1163,0,1,4,9,233,0,1,4,10,233,0,1,4,25,0.031,0,1,4,26,0.031,0,1)","31000042","1","(2,100000)"
"46000033","0.08","(4,8,12000,0,1,4,5,900,0,1,4,6,1080,0,1,4,7,1200,0,1,4,9,240,0,1,4,10,240,0,1,4,25,0.032,0,1,4,26,0.032,0,1)","31000042","1","(2,100000)"
"46000034","0.0825","(4,8,12375,0,1,4,5,928,0,1,4,6,1114,0,1,4,7,1238,0,1,4,9,248,0,1,4,10,248,0,1,4,25,0.033,0,1,4,26,0.033,0,1)","31000042","1","(2,100000)"
"46000035","0.085","(4,8,12750,0,1,4,5,956,0,1,4,6,1148,0,1,4,7,1275,0,1,4,9,255,0,1,4,10,255,0,1,4,25,0.034,0,1,4,26,0.034,0,1)","31000042","1","(2,100000)"
"46000036","0.0875","(4,8,13125,0,1,4,5,984,0,1,4,6,1181,0,1,4,7,1313,0,1,4,9,263,0,1,4,10,263,0,1,4,25,0.035,0,1,4,26,0.035,0,1)","31000042","1","(2,100000)"
"46000037","0.09","(4,8,13500,0,1,4,5,1013,0,1,4,6,1215,0,1,4,7,1350,0,1,4,9,270,0,1,4,10,270,0,1,4,25,0.036,0,1,4,26,0.036,0,1)","31000042","1","(2,100000)"
"46000038","0.0925","(4,8,13875,0,1,4,5,1041,0,1,4,6,1249,0,1,4,7,1388,0,1,4,9,278,0,1,4,10,278,0,1,4,25,0.037,0,1,4,26,0.037,0,1)","31000042","1","(2,100000)"
"46000039","0.095","(4,8,14250,0,1,4,5,1069,0,1,4,6,1283,0,1,4,7,1425,0,1,4,9,285,0,1,4,10,285,0,1,4,25,0.038,0,1,4,26,0.038,0,1)","31000042","1","(2,100000)"
"46000040","0.0975","(4,8,14625,0,1,4,5,1097,0,1,4,6,1316,0,1,4,7,1463,0,1,4,9,293,0,1,4,10,293,0,1,4,25,0.039,0,1,4,26,0.039,0,1)","31000042","1","(2,100000)"
"46000041","0.1","(4,8,15000,0,1,4,5,1125,0,1,4,6,1350,0,1,4,7,1500,0,1,4,9,300,0,1,4,10,300,0,1,4,25,0.04,0,1,4,26,0.04,0,1)","31000042","1","(2,100000)"
"46000042","0.1025","(4,8,15375,0,1,4,5,1153,0,1,4,6,1384,0,1,4,7,1538,0,1,4,9,308,0,1,4,10,308,0,1,4,25,0.041,0,1,4,26,0.041,0,1)","31000042","1","(2,100000)"
"46000043","0.105","(4,8,15750,0,1,4,5,1181,0,1,4,6,1418,0,1,4,7,1575,0,1,4,9,315,0,1,4,10,315,0,1,4,25,0.042,0,1,4,26,0.042,0,1)","31000042","1","(2,100000)"
"46000044","0.1075","(4,8,16125,0,1,4,5,1209,0,1,4,6,1451,0,1,4,7,1613,0,1,4,9,323,0,1,4,10,323,0,1,4,25,0.043,0,1,4,26,0.043,0,1)","31000042","1","(2,100000)"
"46000045","0.11","(4,8,16500,0,1,4,5,1238,0,1,4,6,1485,0,1,4,7,1650,0,1,4,9,330,0,1,4,10,330,0,1,4,25,0.044,0,1,4,26,0.044,0,1)","31000042","1","(2,100000)"
"46000046","0.1125","(4,8,16875,0,1,4,5,1266,0,1,4,6,1519,0,1,4,7,1688,0,1,4,9,338,0,1,4,10,338,0,1,4,25,0.045,0,1,4,26,0.045,0,1)","31000042","1","(2,100000)"
"46000047","0.115","(4,8,17250,0,1,4,5,1294,0,1,4,6,1553,0,1,4,7,1725,0,1,4,9,345,0,1,4,10,345,0,1,4,25,0.046,0,1,4,26,0.046,0,1)","31000042","1","(2,100000)"
"46000048","0.1175","(4,8,17625,0,1,4,5,1322,0,1,4,6,1586,0,1,4,7,1763,0,1,4,9,353,0,1,4,10,353,0,1,4,25,0.047,0,1,4,26,0.047,0,1)","31000042","1","(2,100000)"
"46000049","0.12","(4,8,18000,0,1,4,5,1350,0,1,4,6,1620,0,1,4,7,1800,0,1,4,9,360,0,1,4,10,360,0,1,4,25,0.048,0,1,4,26,0.048,0,1)","31000042","1","(2,100000)"
"46000050","0.1225","(4,8,18375,0,1,4,5,1378,0,1,4,6,1654,0,1,4,7,1838,0,1,4,9,368,0,1,4,10,368,0,1,4,25,0.049,0,1,4,26,0.049,0,1)","31000042","1","(2,100000)"
"46000051","0.125","(4,8,18750,0,1,4,5,1406,0,1,4,6,1688,0,1,4,7,1875,0,1,4,9,375,0,1,4,10,375,0,1,4,25,0.05,0,1,4,26,0.05,0,1)","31000042","1","(2,100000)"
"46000052","0.1275","(4,8,19125,0,1,4,5,1434,0,1,4,6,1721,0,1,4,7,1913,0,1,4,9,383,0,1,4,10,383,0,1,4,25,0.051,0,1,4,26,0.051,0,1)","31000042","1","(2,100000)"
"46000053","0.13","(4,8,19500,0,1,4,5,1463,0,1,4,6,1755,0,1,4,7,1950,0,1,4,9,390,0,1,4,10,390,0,1,4,25,0.052,0,1,4,26,0.052,0,1)","31000042","1","(2,100000)"
"46000054","0.1325","(4,8,19875,0,1,4,5,1491,0,1,4,6,1789,0,1,4,7,1988,0,1,4,9,398,0,1,4,10,398,0,1,4,25,0.053,0,1,4,26,0.053,0,1)","31000042","1","(2,100000)"
"46000055","0.135","(4,8,20250,0,1,4,5,1519,0,1,4,6,1823,0,1,4,7,2025,0,1,4,9,405,0,1,4,10,405,0,1,4,25,0.054,0,1,4,26,0.054,0,1)","31000042","1","(2,100000)"
"46000056","0.1375","(4,8,20625,0,1,4,5,1547,0,1,4,6,1856,0,1,4,7,2063,0,1,4,9,413,0,1,4,10,413,0,1,4,25,0.055,0,1,4,26,0.055,0,1)","31000042","1","(2,100000)"
"46000057","0.14","(4,8,21000,0,1,4,5,1575,0,1,4,6,1890,0,1,4,7,2100,0,1,4,9,420,0,1,4,10,420,0,1,4,25,0.056,0,1,4,26,0.056,0,1)","31000042","1","(2,100000)"
"46000058","0.1425","(4,8,21375,0,1,4,5,1603,0,1,4,6,1924,0,1,4,7,2138,0,1,4,9,428,0,1,4,10,428,0,1,4,25,0.057,0,1,4,26,0.057,0,1)","31000042","1","(2,100000)"
"46000059","0.145","(4,8,21750,0,1,4,5,1631,0,1,4,6,1958,0,1,4,7,2175,0,1,4,9,435,0,1,4,10,435,0,1,4,25,0.058,0,1,4,26,0.058,0,1)","31000042","1","(2,100000)"
"46000060","0.1475","(4,8,22125,0,1,4,5,1659,0,1,4,6,1991,0,1,4,7,2213,0,1,4,9,443,0,1,4,10,443,0,1,4,25,0.059,0,1,4,26,0.059,0,1)","31000042","1","(2,100000)"
"46000061","0.15","(4,8,22500,0,1,4,5,1688,0,1,4,6,2025,0,1,4,7,2250,0,1,4,9,450,0,1,4,10,450,0,1,4,25,0.06,0,1,4,26,0.06,0,1)","31000042","1","(2,100000)"
"46000062","0.1525","(4,8,22875,0,1,4,5,1716,0,1,4,6,2059,0,1,4,7,2288,0,1,4,9,458,0,1,4,10,458,0,1,4,25,0.061,0,1,4,26,0.061,0,1)","31000042","1","(2,100000)"
"46000063","0.155","(4,8,23250,0,1,4,5,1744,0,1,4,6,2093,0,1,4,7,2325,0,1,4,9,465,0,1,4,10,465,0,1,4,25,0.062,0,1,4,26,0.062,0,1)","31000042","1","(2,100000)"
"46000064","0.1575","(4,8,23625,0,1,4,5,1772,0,1,4,6,2126,0,1,4,7,2363,0,1,4,9,473,0,1,4,10,473,0,1,4,25,0.063,0,1,4,26,0.063,0,1)","31000042","1","(2,100000)"
"46000065","0.16","(4,8,24000,0,1,4,5,1800,0,1,4,6,2160,0,1,4,7,2400,0,1,4,9,480,0,1,4,10,480,0,1,4,25,0.064,0,1,4,26,0.064,0,1)","31000042","1","(2,100000)"
"46000066","0.1625","(4,8,24375,0,1,4,5,1828,0,1,4,6,2194,0,1,4,7,2438,0,1,4,9,488,0,1,4,10,488,0,1,4,25,0.065,0,1,4,26,0.065,0,1)","31000042","1","(2,100000)"
"46000067","0.165","(4,8,24750,0,1,4,5,1856,0,1,4,6,2228,0,1,4,7,2475,0,1,4,9,495,0,1,4,10,495,0,1,4,25,0.066,0,1,4,26,0.066,0,1)","31000042","1","(2,100000)"
"46000068","0.1675","(4,8,25125,0,1,4,5,1884,0,1,4,6,2261,0,1,4,7,2513,0,1,4,9,503,0,1,4,10,503,0,1,4,25,0.067,0,1,4,26,0.067,0,1)","31000042","1","(2,100000)"
"46000069","0.17","(4,8,25500,0,1,4,5,1913,0,1,4,6,2295,0,1,4,7,2550,0,1,4,9,510,0,1,4,10,510,0,1,4,25,0.068,0,1,4,26,0.068,0,1)","31000042","1","(2,100000)"
"46000070","0.1725","(4,8,25875,0,1,4,5,1941,0,1,4,6,2329,0,1,4,7,2588,0,1,4,9,518,0,1,4,10,518,0,1,4,25,0.069,0,1,4,26,0.069,0,1)","31000042","1","(2,100000)"
"46000071","0.175","(4,8,26250,0,1,4,5,1969,0,1,4,6,2363,0,1,4,7,2625,0,1,4,9,525,0,1,4,10,525,0,1,4,25,0.07,0,1,4,26,0.07,0,1)","31000042","1","(2,100000)"
"46000072","0.1775","(4,8,26625,0,1,4,5,1997,0,1,4,6,2396,0,1,4,7,2663,0,1,4,9,533,0,1,4,10,533,0,1,4,25,0.071,0,1,4,26,0.071,0,1)","31000042","1","(2,100000)"
"46000073","0.18","(4,8,27000,0,1,4,5,2025,0,1,4,6,2430,0,1,4,7,2700,0,1,4,9,540,0,1,4,10,540,0,1,4,25,0.072,0,1,4,26,0.072,0,1)","31000042","1","(2,100000)"
"46000074","0.1825","(4,8,27375,0,1,4,5,2053,0,1,4,6,2464,0,1,4,7,2738,0,1,4,9,548,0,1,4,10,548,0,1,4,25,0.073,0,1,4,26,0.073,0,1)","31000042","1","(2,100000)"
"46000075","0.185","(4,8,27750,0,1,4,5,2081,0,1,4,6,2498,0,1,4,7,2775,0,1,4,9,555,0,1,4,10,555,0,1,4,25,0.074,0,1,4,26,0.074,0,1)","31000042","1","(2,100000)"
"46000076","0.1875","(4,8,28125,0,1,4,5,2109,0,1,4,6,2531,0,1,4,7,2813,0,1,4,9,563,0,1,4,10,563,0,1,4,25,0.075,0,1,4,26,0.075,0,1)","31000042","1","(2,100000)"
"46000077","0.19","(4,8,28500,0,1,4,5,2138,0,1,4,6,2565,0,1,4,7,2850,0,1,4,9,570,0,1,4,10,570,0,1,4,25,0.076,0,1,4,26,0.076,0,1)","31000042","1","(2,100000)"
"46000078","0.1925","(4,8,28875,0,1,4,5,2166,0,1,4,6,2599,0,1,4,7,2888,0,1,4,9,578,0,1,4,10,578,0,1,4,25,0.077,0,1,4,26,0.077,0,1)","31000042","1","(2,100000)"
"46000079","0.195","(4,8,29250,0,1,4,5,2194,0,1,4,6,2633,0,1,4,7,2925,0,1,4,9,585,0,1,4,10,585,0,1,4,25,0.078,0,1,4,26,0.078,0,1)","31000042","1","(2,100000)"
"46000080","0.1975","(4,8,29625,0,1,4,5,2222,0,1,4,6,2666,0,1,4,7,2963,0,1,4,9,593,0,1,4,10,593,0,1,4,25,0.079,0,1,4,26,0.079,0,1)","31000042","1","(2,100000)"
"46000081","0.2","(4,8,30000,0,1,4,5,2250,0,1,4,6,2700,0,1,4,7,3000,0,1,4,9,600,0,1,4,10,600,0,1,4,25,0.08,0,1,4,26,0.08,0,1)","31000042","1","(2,100000)"
"46000082","0.2025","(4,8,30375,0,1,4,5,2278,0,1,4,6,2734,0,1,4,7,3038,0,1,4,9,608,0,1,4,10,608,0,1,4,25,0.081,0,1,4,26,0.081,0,1)","31000042","1","(2,100000)"
"46000083","0.205","(4,8,30750,0,1,4,5,2306,0,1,4,6,2768,0,1,4,7,3075,0,1,4,9,615,0,1,4,10,615,0,1,4,25,0.082,0,1,4,26,0.082,0,1)","31000042","1","(2,100000)"
"46000084","0.2075","(4,8,31125,0,1,4,5,2334,0,1,4,6,2801,0,1,4,7,3113,0,1,4,9,623,0,1,4,10,623,0,1,4,25,0.083,0,1,4,26,0.083,0,1)","31000042","1","(2,100000)"
"46000085","0.21","(4,8,31500,0,1,4,5,2363,0,1,4,6,2835,0,1,4,7,3150,0,1,4,9,630,0,1,4,10,630,0,1,4,25,0.084,0,1,4,26,0.084,0,1)","31000042","1","(2,100000)"
"46000086","0.2125","(4,8,31875,0,1,4,5,2391,0,1,4,6,2869,0,1,4,7,3188,0,1,4,9,638,0,1,4,10,638,0,1,4,25,0.085,0,1,4,26,0.085,0,1)","31000042","1","(2,100000)"
"46000087","0.215","(4,8,32250,0,1,4,5,2419,0,1,4,6,2903,0,1,4,7,3225,0,1,4,9,645,0,1,4,10,645,0,1,4,25,0.086,0,1,4,26,0.086,0,1)","31000042","1","(2,100000)"
"46000088","0.2175","(4,8,32625,0,1,4,5,2447,0,1,4,6,2936,0,1,4,7,3263,0,1,4,9,653,0,1,4,10,653,0,1,4,25,0.087,0,1,4,26,0.087,0,1)","31000042","1","(2,100000)"
"46000089","0.22","(4,8,33000,0,1,4,5,2475,0,1,4,6,2970,0,1,4,7,3300,0,1,4,9,660,0,1,4,10,660,0,1,4,25,0.088,0,1,4,26,0.088,0,1)","31000042","1","(2,100000)"
"46000090","0.2225","(4,8,33375,0,1,4,5,2503,0,1,4,6,3004,0,1,4,7,3338,0,1,4,9,668,0,1,4,10,668,0,1,4,25,0.089,0,1,4,26,0.089,0,1)","31000042","1","(2,100000)"
"46000091","0.225","(4,8,33750,0,1,4,5,2531,0,1,4,6,3038,0,1,4,7,3375,0,1,4,9,675,0,1,4,10,675,0,1,4,25,0.09,0,1,4,26,0.09,0,1)","31000042","1","(2,100000)"
"46000092","0.2275","(4,8,34125,0,1,4,5,2559,0,1,4,6,3071,0,1,4,7,3413,0,1,4,9,683,0,1,4,10,683,0,1,4,25,0.091,0,1,4,26,0.091,0,1)","31000042","1","(2,100000)"
"46000093","0.23","(4,8,34500,0,1,4,5,2588,0,1,4,6,3105,0,1,4,7,3450,0,1,4,9,690,0,1,4,10,690,0,1,4,25,0.092,0,1,4,26,0.092,0,1)","31000042","1","(2,100000)"
"46000094","0.2325","(4,8,34875,0,1,4,5,2616,0,1,4,6,3139,0,1,4,7,3488,0,1,4,9,698,0,1,4,10,698,0,1,4,25,0.093,0,1,4,26,0.093,0,1)","31000042","1","(2,100000)"
"46000095","0.235","(4,8,35250,0,1,4,5,2644,0,1,4,6,3173,0,1,4,7,3525,0,1,4,9,705,0,1,4,10,705,0,1,4,25,0.094,0,1,4,26,0.094,0,1)","31000042","1","(2,100000)"
"46000096","0.2375","(4,8,35625,0,1,4,5,2672,0,1,4,6,3206,0,1,4,7,3563,0,1,4,9,713,0,1,4,10,713,0,1,4,25,0.095,0,1,4,26,0.095,0,1)","31000042","1","(2,100000)"
"46000097","0.24","(4,8,36000,0,1,4,5,2700,0,1,4,6,3240,0,1,4,7,3600,0,1,4,9,720,0,1,4,10,720,0,1,4,25,0.096,0,1,4,26,0.096,0,1)","31000042","1","(2,100000)"
"46000098","0.2425","(4,8,36375,0,1,4,5,2728,0,1,4,6,3274,0,1,4,7,3638,0,1,4,9,728,0,1,4,10,728,0,1,4,25,0.097,0,1,4,26,0.097,0,1)","31000042","1","(2,100000)"
"46000099","0.245","(4,8,36750,0,1,4,5,2756,0,1,4,6,3308,0,1,4,7,3675,0,1,4,9,735,0,1,4,10,735,0,1,4,25,0.098,0,1,4,26,0.098,0,1)","31000042","1","(2,100000)"
"46000100","0.2475","(4,8,37125,0,1,4,5,2784,0,1,4,6,3341,0,1,4,7,3713,0,1,4,9,743,0,1,4,10,743,0,1,4,25,0.099,0,1,4,26,0.099,0,1)","31000042","1","(2,100000)"
"46000101","0.25","(4,8,37500,0,1,4,5,2813,0,1,4,6,3375,0,1,4,7,3750,0,1,4,9,750,0,1,4,10,750,0,1,4,25,0.1,0,1,4,26,0.1,0,1)","31000042","1","(2,100000)"
"46000102","0.2525","(4,8,37875,0,1,4,5,2841,0,1,4,6,3409,0,1,4,7,3788,0,1,4,9,758,0,1,4,10,758,0,1,4,25,0.101,0,1,4,26,0.101,0,1)","31000042","1","(2,100000)"
"46000103","0.255","(4,8,38250,0,1,4,5,2869,0,1,4,6,3443,0,1,4,7,3825,0,1,4,9,765,0,1,4,10,765,0,1,4,25,0.102,0,1,4,26,0.102,0,1)","31000042","1","(2,100000)"
"46000104","0.2575","(4,8,38625,0,1,4,5,2897,0,1,4,6,3476,0,1,4,7,3863,0,1,4,9,773,0,1,4,10,773,0,1,4,25,0.103,0,1,4,26,0.103,0,1)","31000042","1","(2,100000)"
"46000105","0.26","(4,8,39000,0,1,4,5,2925,0,1,4,6,3510,0,1,4,7,3900,0,1,4,9,780,0,1,4,10,780,0,1,4,25,0.104,0,1,4,26,0.104,0,1)","31000042","1","(2,100000)"
"46000106","0.2625","(4,8,39375,0,1,4,5,2953,0,1,4,6,3544,0,1,4,7,3938,0,1,4,9,788,0,1,4,10,788,0,1,4,25,0.105,0,1,4,26,0.105,0,1)","31000042","1","(2,100000)"
"46000107","0.265","(4,8,39750,0,1,4,5,2981,0,1,4,6,3578,0,1,4,7,3975,0,1,4,9,795,0,1,4,10,795,0,1,4,25,0.106,0,1,4,26,0.106,0,1)","31000042","1","(2,100000)"
"46000108","0.2675","(4,8,40125,0,1,4,5,3009,0,1,4,6,3611,0,1,4,7,4013,0,1,4,9,803,0,1,4,10,803,0,1,4,25,0.107,0,1,4,26,0.107,0,1)","31000042","1","(2,100000)"
"46000109","0.27","(4,8,40500,0,1,4,5,3038,0,1,4,6,3645,0,1,4,7,4050,0,1,4,9,810,0,1,4,10,810,0,1,4,25,0.108,0,1,4,26,0.108,0,1)","31000042","1","(2,100000)"
"46000110","0.2725","(4,8,40875,0,1,4,5,3066,0,1,4,6,3679,0,1,4,7,4088,0,1,4,9,818,0,1,4,10,818,0,1,4,25,0.109,0,1,4,26,0.109,0,1)","31000042","1","(2,100000)"
"46000111","0.275","(4,8,41250,0,1,4,5,3094,0,1,4,6,3713,0,1,4,7,4125,0,1,4,9,825,0,1,4,10,825,0,1,4,25,0.11,0,1,4,26,0.11,0,1)","31000042","1","(2,100000)"
"46000112","0.2775","(4,8,41625,0,1,4,5,3122,0,1,4,6,3746,0,1,4,7,4163,0,1,4,9,833,0,1,4,10,833,0,1,4,25,0.111,0,1,4,26,0.111,0,1)","31000042","1","(2,100000)"
"46000113","0.28","(4,8,42000,0,1,4,5,3150,0,1,4,6,3780,0,1,4,7,4200,0,1,4,9,840,0,1,4,10,840,0,1,4,25,0.112,0,1,4,26,0.112,0,1)","31000042","1","(2,100000)"
"46000114","0.2825","(4,8,42375,0,1,4,5,3178,0,1,4,6,3814,0,1,4,7,4238,0,1,4,9,848,0,1,4,10,848,0,1,4,25,0.113,0,1,4,26,0.113,0,1)","31000042","1","(2,100000)"
"46000115","0.285","(4,8,42750,0,1,4,5,3206,0,1,4,6,3848,0,1,4,7,4275,0,1,4,9,855,0,1,4,10,855,0,1,4,25,0.114,0,1,4,26,0.114,0,1)","31000042","1","(2,100000)"
"46000116","0.2875","(4,8,43125,0,1,4,5,3234,0,1,4,6,3881,0,1,4,7,4313,0,1,4,9,863,0,1,4,10,863,0,1,4,25,0.115,0,1,4,26,0.115,0,1)","31000042","1","(2,100000)"
"46000117","0.29","(4,8,43500,0,1,4,5,3263,0,1,4,6,3915,0,1,4,7,4350,0,1,4,9,870,0,1,4,10,870,0,1,4,25,0.116,0,1,4,26,0.116,0,1)","31000042","1","(2,100000)"
"46000118","0.2925","(4,8,43875,0,1,4,5,3291,0,1,4,6,3949,0,1,4,7,4388,0,1,4,9,878,0,1,4,10,878,0,1,4,25,0.117,0,1,4,26,0.117,0,1)","31000042","1","(2,100000)"
"46000119","0.295","(4,8,44250,0,1,4,5,3319,0,1,4,6,3983,0,1,4,7,4425,0,1,4,9,885,0,1,4,10,885,0,1,4,25,0.118,0,1,4,26,0.118,0,1)","31000042","1","(2,100000)"
"46000120","0.2975","(4,8,44625,0,1,4,5,3347,0,1,4,6,4016,0,1,4,7,4463,0,1,4,9,893,0,1,4,10,893,0,1,4,25,0.119,0,1,4,26,0.119,0,1)","31000042","1","(2,100000)"
"46000121","0.3","(4,8,45000,0,1,4,5,3375,0,1,4,6,4050,0,1,4,7,4500,0,1,4,9,900,0,1,4,10,900,0,1,4,25,0.12,0,1,4,26,0.12,0,1)","31000042","1","(2,100000)"
"46000122","0.3025","(4,8,45375,0,1,4,5,3403,0,1,4,6,4084,0,1,4,7,4538,0,1,4,9,908,0,1,4,10,908,0,1,4,25,0.121,0,1,4,26,0.121,0,1)","31000042","1","(2,100000)"
"46000123","0.305","(4,8,45750,0,1,4,5,3431,0,1,4,6,4118,0,1,4,7,4575,0,1,4,9,915,0,1,4,10,915,0,1,4,25,0.122,0,1,4,26,0.122,0,1)","31000042","1","(2,100000)"
