"AttributeId","IconInfo","HurtSoundType","HurtSound","FlyEffNomal","FlyEffIce","FlyEffFire","FlyEffLight","FlyEffDark","HurtEff","NoOpenStrId","SpellSections","CastSections","ChannelSections","AttackSections","HurtSections","MotionBlendSpaceId","OtherSpellSections","OtherCastSections","OtherChannelSections","OtherAttackSections","OtherHurtSections","SkillName","SkillTemplate","SkillDiscribe","SkillSmallDiscribe","SkillUnlockDescribe","SkillRecommendDescribe","SkillUnlockConditionDescribe","LightStrength","LightR","LightG","LightB","LightA","ExploreAtCapsule","SkillVedio","CacheNpcId","SkillVedioLen"
"14012007","(91210009)","0","91923000","","","","","","","","","","Channel5","","Hurt1","","","","","","","90030011","90030504","90031047","90070069","90038002","90039000","","100","0.1","1","10","1","0","","",""
"14012008","(91210009)","0","91923000","","","","","","","","","","Channel5","","Hurt1","","","","","","","90030011","90030504","90031048","90070069","90038002","90039000","","100","0.1","1","10","1","0","","",""
"14012009","(91210009)","0","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031041","90070070","90038002","90039000","90038068","100","10","1","0.1","1","0","","",""
"14012010","(91210009)","0","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031041","90070070","90038002","90039000","90038068","100","10","1","0.1","1","0","","",""
"14012011","(91210009)","0","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031041","90070070","90038002","90039000","90038068","100","10","1","0.1","1","0","","",""
"14012012","(91210009)","4","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031042","90070071","90038002","90039000","","100","10","1","0.1","1","0","","",""
"14012013","(91210009)","4","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031043","90070071","90038002","90039000","","100","10","1","0.1","1","0","","",""
"14012014","(91210009)","4","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031044","90070071","90038002","90039000","","100","10","1","0.1","1","0","","",""
"14012015","(91210009)","0","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031042","90070072","90038002","90039000","","100","10","1","0.1","1","0","","",""
"14012016","(91210009)","0","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031043","90070072","90038002","90039000","","100","10","1","0.1","1","0","","",""
"14012017","(91210009)","0","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031044","90070072","90038002","90039000","","100","10","1","0.1","1","0","","",""
"14013001","(91210013)","0","91923000","","","","","","","","","","Channel3","Attack2","Hurt1","","","","","","","90030004","90030503","90031061","90070073","90038003","90039001","90038067","100","10","1","0.1","1","0","91950001","","3"
"14013002","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031061","90070073","90038003","90039001","","100","10","1","0.1","1","0","","",""
"14013003","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031062","90070073","90038003","90039001","","100","10","1","0.1","1","0","","",""
"14013004","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031061","90070074","90038003","90039001","","100","10","1","0.1","1","0","","",""
"14013005","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031063","90070074","90038003","90039001","","100","10","1","0.1","1","0","","",""
"14013006","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031061","90070074","90038003","90039001","","100","10","1","0.1","1","0","","",""
"14013007","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031064","90070074","90038003","90039001","","100","10","1","0.1","1","0","","",""
"14013008","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031061","90070074","90038003","90039001","","100","10","1","0.1","1","0","","",""
"14013009","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031061","90070073","90038003","90039001","90038067","100","10","1","0.1","1","0","","",""
"14013010","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031061","90070073","90038003","90039001","90038067","100","10","1","0.1","1","0","","",""
"14013011","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031061","90070073","90038003","90039001","90038067","100","10","1","0.1","1","0","","",""
"14013012","(91210013)","0","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030004","90030503","90031061","90070073","90038003","90039001","90038067","100","10","1","0.1","1","0","","",""
"14014001","(91210017)","","91923000","","","","","","","","","","","","Hurt1","","","","","","","90030105","90030136","90030601","90070062","90038004","90039000","","100","10","1","0.1","1","0","","",""
"14015001","(91210021)","","91923005","","","","","","","","","","","","Hurt1","","","","","","","90030106","90030137","90030701","90070062","90038005","90039000","","100","10","1","0.1","1","0","","",""
"14016001","(91210061)","","91923005","","","","","","","","","","","","Hurt1","","","","","","","90030163","90030165","90033301","90070062","90038039","90039000","","100","10","1","0.1","1","0","","",""
"14017001","(91210065)","","91923005","","","","","","","","","","","","Hurt1","","","","","","","90030164","90030166","90033401","90070062","90038040","90039000","","100","10","1","0.1","1","0","","",""
"14018001","(91210189)","2","91923000","","","","","","","","","","Channel2","Attack3","Hurt1","","","","","","","90030006","90030508","90031101","90070062","90038001","90039000","90038051","100","10","1","0.1","1","0","91950012","","7"
"14018002","(91210189)","2","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030006","90030508","90031102","90070075","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018003","(91210189)","2","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030006","90030508","90031103","90070075","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018004","(91210189)","2","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030006","90030508","90031104","90070075","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018005","(91210189)","2","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030006","90030508","90031101","90070076","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018011","(91210185)","2","91923000","","","","","","","","","","Channel3","Attack1","Hurt1","","","","","","","90030005","90030510","90031081","90070063","90038001","90039000","90038051","100","10","1","0.1","1","0","91950014","","9"
"14018012","(91210185)","2","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030005","90030510","90031082","90070064","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018013","(91210185)","2","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030005","90030510","90031083","90070064","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018014","(91210185)","2","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030005","90030510","90031084","90070064","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018015","(91210185)","2","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030005","90030510","90031085","90070064","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018016","(91210185)","2","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030005","90030510","90031086","90070064","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018017","(91210185)","2","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030005","90030510","90031087","90070064","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018018","(91210185)","2","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030005","90030510","90031088","90070064","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018019","(91210185)","2","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030005","90030510","90031089","90070064","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018020","(91210185)","2","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030005","90030510","90031090","90070064","90038001","90039000","90038051","100","10","1","0.1","1","0","","",""
"14018021","(91210193)","2","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030007","90030509","90031121","90070062","90038001","90039000","90038051","100","10","1","0.1","1","0","91950013","","3"
"14018031","(91210197)","1","91923000","","","","","","","","","","Channel1","Attack1","Hurt1","","","","","","","90030008","90030507","90031141","90070077","90038001","90039000","90038050","100","0.1","1","10","1","0","91950011","","7"
"14018032","(91210197)","1","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030008","90030507","90031141","90070077","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018033","(91210197)","1","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030008","90030507","90031141","90070077","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018034","(91210197)","1","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030008","90030507","90031141","90070077","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018035","(91210197)","1","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030008","90030507","90031141","90070078","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018036","(91210197)","1","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030008","90030507","90031141","90070078","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018037","(91210197)","1","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030008","90030507","90031141","90070078","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018041","(91210197)","1","91923000","","","","","","","","","","","","Hurt1","","","","","","","90030008","90030507","90031141","90070062","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018051","(91210201)","1","91923000","","","","","","","","","","Channel2","Attack2","Hurt1","","","","","","","90030009","90030505","90031161","90070063","90038001","90039000","90038050","100","0.1","1","10","1","0","91950009","","5"
"14018052","(91210201)","1","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030009","90030505","90031162","90070079","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018053","(91210201)","1","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030009","90030505","90031161","90070079","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018054","(91210201)","1","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030009","90030505","90031162","90070080","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018055","(91210201)","1","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030009","90030505","90031161","90070080","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018056","(91210201)","1","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030009","90030505","90031162","90070080","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018057","(91210201)","1","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030009","90030505","90031161","90070080","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018058","(91210201)","1","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030009","90030505","90031162","90070080","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018059","(91210201)","1","91923000","","","","","","","","","","Channel6","","Hurt1","","","","","","","90030009","90030505","90031162","90070080","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018061","(91210205)","1","91923000","","","","","","","","","","Channel3","Attack3","Hurt1","","","","","","","90030010","90030506","90031181","90070063","90038001","90039000","90038050","100","0.1","1","10","1","0","91950010","","2"
"14018062","(91210205)","1","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030010","90030506","90031181","90070063","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018063","(91210205)","1","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030010","90030506","90031181","90070063","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018064","(91210205)","1","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030010","90030506","90031181","90070063","90038001","90039000","90038050","100","0.1","1","10","1","0","","",""
"14018071","(91210225)","4","91923000","","","","","","","","","","Channel1","Attack1","Hurt1","","","","","","","90030013","90030506","90031191","90070081","90038001","90039000","90038053","100","10","1","1","1","0","91950006","76980073","4"
"14018072","(91210225)","4","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030013","90030506","90031191","90070082","90038001","90039000","90038053","100","10","1","1","1","0","","76980074",""
"14018073","(91210225)","4","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030013","90030506","90031191","90070082","90038001","90039000","90038053","100","10","1","1","1","0","","76980074",""
"14018081","(91210229)","4","91923000","","","","","","","","","","Channel4","Attack1","Hurt1","","","","","","","90030014","90030506","90031201","90070067","90038001","90039000","90038053","100","10","1","1","1","0","91950007","","4"
"14018091","(91210233)","4","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030015","90030506","90031211","90070083","90038001","90039000","90038053","100","10","1","1","1","0","91950008","","4"
"14018092","(91210233)","4","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030015","90030506","90031211","90070084","90038001","90039000","90038053","100","10","1","1","1","0","","",""
"14018093","(91210233)","4","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030015","90030506","90031211","90070084","90038001","90039000","90038053","100","10","1","1","1","0","","",""
"14018094","(91210233)","4","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030015","90030506","90031211","90070084","90038001","90039000","90038053","100","10","1","1","1","0","","",""
"14018095","(91210233)","4","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030015","90030506","90031211","90070084","90038001","90039000","90038053","100","10","1","1","1","0","","",""
"14018101","(91210233)","4","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030010","90030506","90031181","90070062","90038001","90039000","90038053","100","10","1","1","1","0","","",""
"14018102","(91210233)","4","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030010","90030506","90031181","90070062","90038001","90039000","90038053","100","10","1","1","1","0","","",""
"14018103","(91210233)","4","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030010","90030506","90031181","90070062","90038001","90039000","90038053","100","10","1","1","1","0","","",""
"14018104","(91210233)","4","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030010","90030506","90031181","90070062","90038001","90039000","90038053","100","10","1","1","1","0","","",""
"14018105","(91210233)","4","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030010","90030506","90031181","90070062","90038001","90039000","90038053","100","10","1","1","1","0","","",""
"14018111","(91210209)","3","91923000","","","","","","","","","","Channel1","Attack3","Hurt1","","","","","","","90030016","90030506","90031221","90070063","90038001","90039000","90038052","100","5","2","0.5","1","0","91950003","","6"
"14018112","(91210209)","3","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030016","90030506","90031221","90070063","90038001","90039000","90038052","100","5","2","0.5","1","0","","",""
"14018113","(91210209)","3","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030016","90030506","90031221","90070063","90038001","90039000","90038052","100","5","2","0.5","1","0","","",""
"14018114","(91210209)","3","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030016","90030506","90031221","90070063","90038001","90039000","90038052","100","5","2","0.5","1","0","","",""
"14018121","(91210213)","3","91923000","","","","","","","","","","Channel2","Attack2","Hurt1","","","","","","","90030017","90030506","90031231","90070063","90038001","90039000","90038052","100","5","2","0.5","1","0","91950004","","2"
"14018122","(91210213)","3","91923000","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030017","90030506","90031231","90070085","90038001","90039000","90038052","100","5","2","0.5","1","0","","",""
"14018131","(91210217)","3","91923000","","","","","","","","","","Channel3","Attack3","Hurt1","","","","","","","90030018","90030506","90031241","90070086","90038001","90039000","90038052","100","5","2","0.5","1","0","91950005","","5"
"14018132","(91210217)","3","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030018","90030506","90031241","90070087","90038001","90039000","90038052","100","5","2","0.5","1","0","","",""
"14018133","(91210217)","3","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030018","90030506","90031241","90070087","90038001","90039000","90038052","100","5","2","0.5","1","0","","",""
"14018134","(91210217)","3","91923000","","","","","","","","","","Channel3","","Hurt1","","","","","","","90030018","90030506","90031241","90070087","90038001","90039000","90038052","100","5","2","0.5","1","0","","",""
"14020001","(91210037)","2","91923006","(91112007)","(91110068)","(91110069)","(91110070)","(91110071)","","","","","","Attack1","Hurt1","1","","","","","","90030101","90030601","90032001","90070062","90038006","90039000","","100","10","1","0.1","1","0","","",""
"14020002","(91210037)","2","91923006","(91112007)","(91110068)","(91110069)","(91110070)","(91110071)","","","","","","KongZhanAttack1","Hurt1","","","","","","","90030101","90030601","90032001","90070062","90038006","90039000","","100","10","1","0.1","1","0","","",""
"14020201","(91210037)","2","91923006","(91112007)","(91110068)","(91110069)","(91110070)","(91110071)","","","","","","Attack2","Hurt1","2","","","","","","90030101","90030601","90032001","90070062","90038006","90039000","","100","10","1","0.1","1","0","","",""
"14020202","(91210037)","2","91923006","(91112007)","(91110068)","(91110069)","(91110070)","(91110071)","","","","","","KongZhanAttack2","Hurt1","","","","","","","90030101","90030601","90032001","90070062","90038006","90039000","","100","10","1","0.1","1","0","","",""
"14020401","(91210037)","2","91923006","(91112007)","(91110068)","(91110069)","(91110070)","(91110071)","","","","","","Attack3","Hurt1","3","","","","","","90030101","90030601","90032001","90070062","90038006","90039000","","100","10","1","0.1","1","0","","",""
"14020402","(91210037)","2","91923006","(91112007)","(91110068)","(91110069)","(91110070)","(91110071)","","","","","","KongZhanAttack3","Hurt1","","","","","","","90030101","90030601","90032001","90070062","90038006","90039000","","100","10","1","0.1","1","0","","",""
"14021001","(91210041)","1","91923007","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030102","90030604","90032021","90070062","90038007","90039000","90038068","100","0.1","1","10","1","0","91950302","","8"
"14021011","(91210041)","1","91923007","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030102","90030139","90032022","90070063","90038007","90039000","","100","0.1","1","10","1","0","","",""
"14021012","(91210041)","1","91923007","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030102","90030139","90032023","90070064","90038007","90039000","","100","0.1","1","10","1","0","","",""
"14021013","(91210041)","1","91923007","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030102","90030139","90032024","90070062","90038007","90039000","","100","0.1","1","10","1","0","","",""
"14021014","(91210041)","1","91923007","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030102","90030139","90032025","90070062","90038007","90039000","","100","0.1","1","10","1","0","","",""
"14021021","(91210041)","1","91923007","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030111","90030139","90032026","90070088","90038007","90039000","","100","10","1","0.1","1","0","","",""
"14021022","(91210041)","1","91923007","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030111","90030139","90032027","90070062","90038007","90039000","","100","10","1","0.1","1","0","","",""
"14021023","(91210041)","1","91923007","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030111","90030139","90032028","90070062","90038007","90039000","","100","10","1","0.1","1","0","","",""
"14021024","(91210041)","1","91923007","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030111","90030139","90032026","90070089","90038007","90039000","","100","10","1","0.1","1","0","","",""
"14021025","(91210041)","1","91923007","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030111","90030139","90032027","90070089","90038007","90039000","","100","10","1","0.1","1","0","","",""
"14021026","(91210041)","1","91923007","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030111","90030139","90032028","90070089","90038007","90039000","","100","10","1","0.1","1","0","","",""
"14022001","(91210045)","2","91923006","(91112002)","","","","","","","","","Channel5","","Hurt1","","","","","","","90030109","90030140","90031001","90070062","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14023001","(91210049)","1","91923008","(91112010)","","","","","","","","","Channel4","","Hurt1","","","","","","","90030110","90030141","90031101","90070062","90038009","90039001","","100","0.1","1","10","1","0","","",""
"14024001","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032041","90070062","90038008","90039000","90038066","100","10","1","0.1","1","0","91950300","","3"
"14024002","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032042","90070063","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14024003","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032043","90070063","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14024004","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032044","90070062","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14024005","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032042","90070090","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14024006","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032043","90070090","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14024007","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032044","90070090","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14024008","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032042","90070091","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14024009","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032043","90070062","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14024010","(91210053)","2","91923006","","","","","","","","","","Channel2","","Hurt1","","","","","","","90030103","90030602","90032044","90070062","90038008","90039000","","100","10","1","0.1","1","0","","",""
"14025001","(91210069)","0","","","","","","","","","","","","","Hurt1","","","","","","","90030167","90030171","90031301","90070062","90038011","90039000","","100","0.1","1","10","1","0","","",""
"14025500","(91210057)","","","","","","","","","","","","Channel6","","Hurt1","","","","","","","90030112","90030143","90031401","90070062","","90039000","","100","0.1","1","10","1","0","","",""
"14025501","(0)","","","","","","","","","","","","","","Hurt1","","","","","","","90030113","90030144","90031402","90070062","","90039000","","100","0.1","1","10","1","0","","",""
"14026001","(91210073)","","","","","","","","","","","","","","Hurt1","","","","","","","90030168","90030172","90033501","90070062","90038012","90039000","","100","0.1","1","10","1","0","","",""
"14027001","(91210077)","","","","","","","","","","","","","","Hurt1","","","","","","","90030169","90030173","90033601","90070062","90038013","90039000","","100","0.1","1","10","1","0","","",""
"14028001","(91210081)","","","","","","","","","","","","","","Hurt1","","","","","","","90030170","90030174","90033701","90070062","90038014","90039000","","100","0.1","1","10","1","0","","",""
"14029001","(91210085)","1","91923008","(91112010)","(91112010)","(91112010)","(91112010)","","","","","","Channel3","","Hurt1","","","","","","","90030104","90030603","90032061","90070073","90038009","90039001","90038067","100","0.1","1","10","1","0","91950301","","3"
"14029002","(91210085)","1","91923008","(91112010)","(91112010)","(91112010)","(91112010)","","","","","","Channel3","","Hurt1","","","","","","","90030104","90030603","90032061","90070073","90038009","90039001","90038067","100","0.1","1","10","1","0","","",""
