"AttributeId","TalkType","Talklimit","InitiativeTalk","PassiveTalk","FrontActivityTalk","BackActivityTalk"
"130000010","-1","50","(90062043,90062044,90062045,90062046,90062343,90062344,90062345,90062643,90062644,90062645,90062646,90062943,90062944,90062945,90062946,90063243,90063245,90063246,90063843,90063844,90063845,90063846)","","",""
"130000011","-1","50","(90062047,90062048,90062049,90062050,90062347,90062348,90062349,90062350,90062647,90062648,90062649,90062650,90062947,90062948,90062949,90062950,90063247,90063248,90063249,90063250,90063547,90063548,90063549,90063550,90063847,90063848,90063849,90063850)","","",""
"130000012","-1","50","","(90062054,90062055,90062056,90062057,90062354,90062355,90062356,90062357,90062654,90062655,90062656,90062657,90062954,90062955,90062956,90062957,90063254,90063255,90063256,90063257,90063554,90063555,90063556,90063557,90063854,90063855,90063856,90063857)","",""
"130000013","-1","50","(90062054,90062055,90062056,90062057,90062354,90062355,90062356,90062357,90062654,90062655,90062656,90062657,90062954,90062955,90062956,90062957,90063254,90063255,90063256,90063257,90063554,90063555,90063556,90063557,90063854,90063855,90063856,90063857)","","",""
"130000014","-1","50","","","",""
"130000015","3","50","","(90064161,90064162,90064163,90064164,90064461,90064462,90064463,90064464,90064761,90064762,90064763,90064764,90065061,90065062,90065063,90065064,90065361,90065362,90065363,90065364,90065661,90065662,90065663,90065664,90065961,90065962,90065963,90065964)","(90062358,90062359,90062360,90062361,90062362)","(90062363,90062364,90062365,90062366,90062367)"
"130000016","6","50","","(90064165,90064166,90064167,90064168,90064465,90064466,90064467,90064468,90064765,90064766,90064767,90064768,90065065,90065066,90065067,90065068,90065365,90065366,90065367,90065368,90065665,90065666,90065667,90065668,90065965,90065966,90065967,90065968)","(90062368,90062369,90062370,90062371,90062372)","(90062373,90062374,90062375,90062376,90062377)"
"130000017","7","50","","(90064169,90064170,90064171,AE51),90064469,90064470,90064471,AE51),90064769,90064770,90064771,AE51),90065069,90065070,90065071,AE51),90065369,90065370,90065371,AE51),90065669,90065670,90065671,AE51),90065969,90065970,90065971,AE51))","(90062658,90062659,90062660,90062661,90062662)","(90062663,90062664,90062665,90062666,90062667)"
"130000018","9","50","","(90064172,90064173,90064174,90064175,90064472,90064473,90064474,90064475,90064772,90064773,90064774,90064775,90065072,90065073,90065074,90065075,90065372,90065373,90065374,90065375,90065672,90065673,90065674,90065675,90065972,90065973,90065974,90065975)","(90062668,90062669,90062670,90062671,90062672)","(90062673,90062674,90062675,90062676,90062677)"
"130000019","-1","50","(90062079,90062080,90062081,90062082,90062379,90062380,90062381,90062382,90062679,90062680,90062681,90062682,90062979,90062980,90062981,90062982,90063279,90063280,90063281,90063282,90063579,90063580,90063581,90063582,90063879,90063880,90063881,90063882)","(90064179,90064180,90064181,90064182,90064479,90064480,90064481,90064482,90064779,90064780,90064781,90064782,90065079,90065080,90065081,90065082,90065379,90065380,90065381,90065382,90065679,90065680,90065681,90065682,90065979,90065980,90065981,90065982)","",""
"130000020","-1","50","(90062083,90062084,90062085,90062086,90062383,90062384,90062385,90062386,90062683,90062684,90062685,90062686,90062983,90062984,90062985,90062986,90063283,90063284,90063285,90063286,90063583,90063584,90063585,90063586,90063883,90063884,90063885,90063886)","","",""
"130000021","-1","50","(90062087,90062088,90062089,90062090,90062387,90062388,90062389,90062390,90062687,90062688,90062689,90062690,90062987,90062988,90062989,90062990,90063287,90063288,90063289,90063290,90063587,90063588,90063589,90063590,90063887,90063888,90063889,90063890)","","",""
"130000022","-1","50","(90062091,90062092,90062093,90062094,90062391,90062392,90062393,90062394,90062691,90062692,90062693,90062694,90062991,90062992,90062993,90062994,90063291,90063292,90063293,90063294,90063591,90063592,90063593,90063594,90063891,90063892,90063893,90063894)","","",""
"130000023","-1","50","(90062099,90062100,90062101,90062102,90062399,90062400,90062401,90062402,90062699,90062700,90062701,90062702,90062999,90063000,90063001,90063002,90063299,90063300,90063301,90063302,90063599,90063600,90063601,90063602,90063899,90063900,90063901,90063902)","(90064199,90064200,90064201,90064202,90064499,90064500,90064501,90064502,90064799,90064800,90064801,90064802,90065099,90065100,90065101,90065102,90065399,90065400,90065401,90065402,90065699,90065700,90065701,90065702,90065999,90066000,90066001,90066002)","",""
"130000024","-1","50","(90062103,90062104,90062105,90062106,90062403,90062404,90062405,90062406,90062703,90062704,90062705,90062706,90063003,90063004,90063005,90063006,90063303,90063304,90063305,90063306,90063603,90063604,90063605,90063606,90063903,90063904,90063905,90063906)","(90064203,90064204,90064205,90064206,90064503,90064504,90064505,90064506,90064803,90064804,90064805,90064806,90065103,90065104,90065105,90065106,90065403,90065404,90065405,90065406,90065703,90065704,90065705,90065706,90066003,90066004,90066005,90066006)","",""
"130000025","-1","50","(90062107,90062108,90062109,90062110,90062407,90062408,90062409,90062410,90062707,90062708,90062709,90062710,90063007,90063008,90063009,90063010,90063307,90063308,90063309,90063310,90063607,90063608,90063609,90063610,90063907,90063908,90063909,90063910)","(90064207,90064208,90064209,90064210,90064507,90064508,90064509,90064510,90064807,90064808,90064809,90064810,90065107,90065108,90065109,90065110,90065407,90065408,90065409,90065410,90065707,90065708,90065709,90065710,90066007,90066008,90066009,90066010)","",""
"130000026","-1","50","(90062111,90062112,90062113,90062114,90062411,90062412,90062413,90062414,90062711,90062712,90062713,90062714,90063011,90063012,90063013,90063014,90063311,90063312,90063313,90063314,90063611,90063612,90063613,90063614,90063911,90063912,90063913,90063914)","(90064211,90064212,90064213,90064214,90064511,90064512,90064513,90064514,90064811,90064812,90064813,90064814,90065111,90065112,90065113,90065114,90065411,90065412,90065413,90065414,90065711,90065712,90065713,90065714,90066011,90066012,90066013,90066014)","",""
"130000027","-1","50","(90062115,90062116,90062117,90062118,90062415,90062416,90062417,90062418,90062715,90062716,90062717,90062718,90063015,90063016,90063017,90063018,90063315,90063316,90063317,90063318,90063615,90063616,90063617,90063618,90063915,90063916,90063917,90063918)","(90064215,90064216,90064217,90064218,90064515,90064516,90064517,90064518,90064815,90064816,90064817,90064818,90065115,90065116,90065117,90065118,90065415,90065416,90065417,90065418,90065715,90065716,90065717,90065718,90066015,90066016,90066017,90066018)","",""
"130000028","-1","50","(90062119,90062120,90062121,90062122,90062419,90062420,90062421,90062422,90062719,90062720,90062721,90062722,90063019,90063020,90063021,90063022,90063319,90063320,90063321,90063322,90063619,90063620,90063621,90063622,90063919,90063920,90063921,90063922)","(90064219,90064220,90064221,90064222,90064519,90064520,90064521,90064522,90064819,90064820,90064821,90064822,90065119,90065120,90065121,90065122,90065419,90065420,90065421,90065422,90065719,90065720,90065721,90065722,90066019,90066020,90066021,90066022)","",""
"130000029","-1","50","(90062123,90062124,90062125,90062126,90062423,90062424,90062425,90062426,90062723,90062724,90062725,90062726,90063023,90063024,90063025,90063026,90063323,90063324,90063325,90063326,90063623,90063624,90063625,90063626,90063923,90063924,90063925,90063926)","(90064223,90064224,90064225,90064226,90064523,90064524,90064525,90064526,90064823,90064824,90064825,90064826,90065123,90065124,90065125,90065126,90065423,90065424,90065425,90065426,90065723,90065724,90065725,90065726,90066023,90066024,90066025,90066026)","",""
"130000030","-1","50","(90062127,90062128,90062129,90062130,90062427,90062428,90062429,90062430,90062727,90062728,90062729,90062730,90063027,90063028,90063029,90063030,90063327,90063328,90063329,90063330,90063627,90063628,90063629,90063630,90063927,90063928,90063929,90063930)","(90064227,90064228,90064229,90064230,90064527,90064528,90064529,90064530,90064827,90064828,90064829,90064830,90065127,90065128,90065129,90065130,90065427,90065428,90065429,90065430,90065727,90065728,90065729,90065730,90066027,90066028,90066029,90066030)","",""
"130000031","-1","50","(90062131,90062132,90062133,90062134,90062431,90062432,90062433,90062434,90062731,90062732,90062733,90062734,90063031,90063032,90063033,90063034,90063331,90063332,90063333,90063334,90063631,90063632,90063633,90063634,90063931,90063932,90063933,90063934)","(90064231,90064232,90064233,90064234,90064531,90064532,90064533,90064534,90064831,90064832,90064833,90064834,90065131,90065132,90065133,90065134,90065431,90065432,90065433,90065434,90065731,90065732,90065733,90065734,90066031,90066032,90066033,90066034)","",""
"130000032","-1","50","(90062135,90062136,90062137,90062138,90062435,90062436,90062437,90062438,90062735,90062736,90062737,90062738,90063035,90063036,90063037,90063038,90063335,90063336,90063337,90063338,90063635,90063636,90063637,90063638,90063935,90063936,90063937,90063938)","","",""
"130000033","-1","50","(90062147,90062148,90062149,90062150,90062447,90062448,90062449,90062450,90062747,90062748,90062749,90062750,90063047,90063048,90063049,90063050,90063347,90063348,90063349,90063350,90063647,90063648,90063649,90063650,90063947,90063948,90063949,90063950)","","",""
"130000034","-1","50","(90062151,90062152,90062153,90062154,90062451,90062452,90062453,90062454,90062751,90062752,90062753,90062754,90063051,90063052,90063053,90063054,90063351,90063352,90063353,90063354,90063651,90063652,90063653,90063654,90063951,90063952,90063953,90063954)","","",""
"130000035","-1","50","(90062155,90062156,90062157,90062158,90062455,90062456,90062457,90062458,90062755,90062756,90062757,90062758,90063055,90063056,90063057,90063058,90063355,90063356,90063357,90063358,90063655,90063656,90063657,90063658,90063955,90063956,90063957,90063958)","","",""
"130000036","-1","50","(90062159,90062160,90062161,90062162,90062459,90062460,90062461,90062462,90062759,90062760,90062761,90062762,90063059,90063060,90063061,90063062,90063359,90063360,90063361,90063362,90063659,90063660,90063661,90063662,90063959,90063960,90063961,90063962)","","",""
"130000037","-1","50","(90062163,90062164,90062165,90062166,90062463,90062464,90062465,90062466,90062763,90062764,90062765,90062766,90063063,90063064,90063065,90063066,90063363,90063364,90063365,90063366,90063663,90063664,90063665,90063666,90063963,90063964,90063965,90063966)","","",""
"130000038","-1","50","(90062167,90062168,90062169,90062467,90062468,90062469,90062767,90062768,90062769,90063067,90063068,90063069,90063367,90063368,90063369,90063667,90063668,90063669,90063967,90063968,90063969)","","",""
"130000039","-1","50","(90062170,90062171,90062172,90062173,90062470,90062471,90062472,90062473,90062770,90062771,90062772,90062773,90063070,90063071,90063072,90063073,90063370,90063371,90063372,90063373,90063670,90063671,90063672,90063673,90063970,90063971,90063972,90063973)","","",""
"130000040","-1","50","(90062174,90062175,90062176,90062177,90062474,90062475,90062476,90062477,90062774,90062775,90062776,90062777,90063074,90063075,90063076,90063077,90063374,90063375,90063376,90063377,90063674,90063675,90063676,90063677,90063974,90063975,90063976,90063977)","","",""
"130000041","-1","50","","(90064278,90064279,90064280,90064578,90064579,90064580,90064878,90064879,90064880,90065178,90065179,90065180,90065478,90065479,90065480,90065778,90065779,90065780,90066078,90066079,90066080)","",""
"130000042","-1","50","(90062181,90062182,90062183,90062184,90062481,90062482,90062483,90062484,90062781,90062782,90062783,90062784,90063081,90063082,90063083,90063084,90063381,90063382,90063383,90063384,90063681,90063682,90063683,90063684,90063981,90063982,90063983,90063984)","(90064281,90064282,90064283,90064284,90064581,90064582,90064583,90064584,90064881,90064882,90064883,90064884,90065181,90065182,90065183,90065184,90065481,90065482,90065483,90065484,90065781,90065782,90065783,90065784,90066081,90066082,90066083,90066084)","",""
"130000043","-1","50","(90062185,90062186,90062187,90062188,90062485,90062486,90062487,90062488,90062785,90062786,90062787,90062788,90063085,90063086,90063087,90063088,90063385,90063386,90063387,90063388,90063685,90063686,90063687,90063688,90063985,90063986,90063987,90063988)","","",""
"130000044","-1","50","(90062189,90062190,90062191,90062192,90062489,90062490,90062491,90062492,90062789,90062790,90062791,90062792,90063089,90063090,90063091,90063092,90063389,90063390,90063391,90063392,90063689,90063690,90063691,90063692,90063989,90063990,90063991,90063992)","","",""
"130000045","-1","50","(90062193,90062194,90062195,90062196,90062493,90062494,90062495,90062496,90062793,90062794,90062795,90062796,90063093,90063094,90063095,90063096,90063393,90063394,90063395,90063396,90063693,90063694,90063695,90063696,90063993,90063994,90063995,90063996)","","",""
"130000046","-1","50","(90062197,90062198,90062199,90062200,90062497,90062498,90062499,90062500,90062797,90062798,90062799,90062800,90063097,90063098,90063099,90063100,90063397,90063398,90063399,90063400,90063697,90063698,90063699,90063700,90063997,90063998,90063999,90064000)","(90064297,90064298,90064299,90064300,90064597,90064598,90064599,90064600,90064897,90064898,90064899,90064900,90065197,90065198,90065199,90065200,90065497,90065498,90065499,90065500,90065797,90065798,90065799,90065800,90066097,90066098,90066099,90066100)","",""
"130000047","-1","50","(90062201,90062202,90062203,90062204,90062501,90062502,90062503,90062504,90062801,90062802,90062803,90062804,90063101,90063102,90063103,90063104,90063401,90063402,90063403,90063404,90063701,90063702,90063703,90063704,90064001,90064002,90064003,90064004)","(90064301,90064302,90064303,90064304,90064601,90064602,90064603,90064604,90064901,90064902,90064903,90064904,90065201,90065202,90065203,90065204,90065501,90065502,90065503,90065504,90065801,90065802,90065803,90065804,90066101,90066102,90066103,90066104)","",""
"130000048","-1","50","(90062205,90062206,90062207,90062208,90062505,90062506,90062507,90062508,90062805,90062806,90062807,90062808,90063105,90063106,90063107,90063108,90063405,90063406,90063407,90063408,90063705,90063706,90063707,90063708,90064005,90064006,90064007,90064008)","(90064305,90064306,90064307,90064308,90064605,90064606,90064607,90064608,90064905,90064906,90064907,90064908,90065205,90065206,90065207,90065208,90065505,90065506,90065507,90065508,90065805,90065806,90065807,90065808,90066105,90066106,90066107,90066108)","",""
"130000049","-1","50","(90062209,90062210,90062211,90062212,90062509,90062510,90062511,90062512,90062809,90062810,90062811,90062812,90063109,90063110,90063111,90063112,90063409,90063410,90063411,90063412,90063709,90063710,90063711,90063712,90064009,90064010,90064011,90064012)","(90064309,90064310,90064311,90064312,90064609,90064610,90064611,90064612,90064909,90064910,90064911,90064912,90065209,90065210,90065211,90065212,90065509,90065510,90065511,90065512,90065809,90065810,90065811,90065812,90066109,90066110,90066111,90066112)","",""
"130000050","-1","50","(90062213,90062214,90062215,90062216,90062513,90062514,90062515,90062516,90062813,90062814,90062815,90062816,90063113,90063114,90063115,90063116,90063413,90063414,90063415,90063416,90063713,90063714,90063715,90063716,90064013,90064014,90064015,90064016)","(90064313,90064314,90064315,90064316,90064613,90064614,90064615,90064616,90064913,90064914,90064915,90064916,90065213,90065214,90065215,90065216,90065513,90065514,90065515,90065516,90065813,90065814,90065815,90065816,90066113,90066114,90066115,90066116)","",""
"130000051","-1","50","(90062217,90062218,90062219,90062220,90062517,90062518,90062519,90062520,90062817,90062818,90062819,90062820,90063117,90063118,90063119,90063120,90063417,90063418,90063419,90063420,90063717,90063718,90063719,90063720,90064017,90064018,90064019,90064020)","","",""
"130000052","-1","50","(90062221,90062222,90062223,90062224,90062521,90062522,90062523,90062524,90062821,90062822,90062823,90062824,90063121,90063122,90063123,90063124,90063421,90063422,90063423,90063424,90063721,90063722,90063723,90063724,90064021,90064022,90064023,90064024)","(90064321,90064322,90064323,90064324,90064621,90064622,90064623,90064624,90064921,90064922,90064923,90064924,90065221,90065222,90065223,90065224,90065521,90065522,90065523,90065524,90065821,90065822,90065823,90065824,90066121,90066122,90066123,90066124)","",""
"130000053","2","50","","","(90062968,90062969,90062970,90062971,90062972)","(90062973,90062974,90062975,90062976,90062977)"
"130000054","4","50","","","(90062958,90062959,90062960,90062961,90062962)","(90062963,90062964,90062965,90062966,90062967)"
