"AttributeId","MiniMapNameResId","MiniMapResId","MiniMapImageStartX","MiniMapImageStartY","MiniMapRealStartX","MiniMapRealStartY","MiniMapImageLenthX","MiniMapImageLenthY","MiniMapRealLenthX","MiniMapRealLenthY","MiniMapBorderPos","MiniMarkIdList","MiniDropItemIdList"
"72001101","90050019","91231003","0","0","8543","11521","1280","910","16020","11517","","(73010301,73010303,73010304,73010305)","(31081061,31010060,31000107)"
"72001102","90050019","91231003","0","0","8543","11521","1280","910","16020","11517","","(73010301,73010303,73010304,73010305)","(31081061,31010060,31000107)"
"72001103","90050019","91231003","0","0","8543","11521","1280","910","16020","11517","","(73010301,73010303,73010304,73010305)","(31081061,31010060,31000107)"
"72001104","90050016","91231001","0","0","-3831","-2644","1280","910","22712","16141","","(73010101,73010102,73010103,73010104,73010105)","(31081061,31010060,31000107)"
"72001105","90050016","91231001","0","0","-3831","-2644","1280","910","22712","16141","","(73010101,73010102,73010103,73010104,73010105)","(31081061,31010060,31000107)"
"72001106","90050016","91231001","0","0","-3831","-2644","1280","910","22712","16141","","(73010101,73010102,73010103,73010104,73010105)","(31081061,31010060,31000107)"
"72001107","90050030","91231034","0","0","-3226","-479","1280","910","16435","11804","","(73011201,73011202,73011203,73011204)","(31081062,31010060,31000107)"
"72001108","90050030","91231034","0","0","-3462","-1309","1280","910","16435","11804","","(73011201,73011202,73011203,73011204)","(31081062,31010060,31000107)"
"72001109","90050030","91231034","0","0","-3462","-1309","1280","910","16435","11804","","(73011201,73011202,73011203,73011204)","(31081062,31010060,31000107)"
"72001110","90050031","91231035","0","0","-6687","7924","1280","910","29665","21053","","(73011301,73011303,73011304,73011305)","(31081062,31010060,31000107)"
"72001111","90050031","91231035","0","0","-6687","7924","1280","910","29665","21053","","(73011301,73011303,73011304,73011305)","(31081062,31010060,31000107)"
"72001112","90050031","91231035","0","0","-6687","7924","1280","910","29665","21053","","(73011301,73011303,73011304,73011305)","(31081062,31010060,31000107)"
"72001113","90050025","91231036","0","0","-1378","7450","1280","910","32654","23171","","(73011401,73011402,73011403,73011404,73011405)","(31081063,31010060,31000107)"
"72001114","90050025","91231036","0","0","-1378","7450","1280","910","32654","23171","","(73011401,73011402,73011403,73011404,73011405)","(31081063,31010060,31000107)"
"72001115","90050025","91231036","0","0","-1378","7450","1280","910","32654","23171","","(73011401,73011402,73011403,73011404,73011405)","(31081063,31010060,31000107)"
"72001116","90050026","91231037","0","0","-5142","-269","1280","910","21928","15526","","(73011501,73011502,73011503,73011504)","(31081064,31010060,31000107)"
"72001117","90050026","91231037","0","0","-5142","-269","1280","910","21928","15526","","(73011501,73011502,73011503,73011504)","(31081064,31010060,31000107)"
"72001118","90050026","91231037","0","0","-5142","-269","1280","910","21928","15526","","(73011501,73011502,73011503,73011504)","(31081064,31010060,31000107)"
"72001119","90050027","91231031","0","0","5254","4011","1280","910","24236","17285","","(73010801,73010802,73010803,73010804,73010805)","(31081064,31010060,31000107)"
"72001120","90050027","91231031","0","0","5254","4011","1280","910","24236","17285","","(73010801,73010802,73010803,73010804,73010805)","(31081064,31010060,31000107)"
"72001121","90050027","91231031","0","0","5254","4011","1280","910","24236","17285","","(73010801,73010802,73010803,73010804,73010805)","(31081064,31010060,31000107)"
"72001122","90050028","91231028","0","0","-11976","-2603","1280","910","40283","28678","","(73010901,73010902,73010903,73010904,73010905)","(31081065,31010060,31000107)"
"72001123","90050028","91231028","0","0","-11976","-2603","1280","910","40283","28678","","(73010901,73010902,73010903,73010904,73010905)","(31081065,31010060,31000107)"
"72001124","90050028","91231028","0","0","-11976","-2603","1280","910","40283","28678","","(73010901,73010902,73010903,73010904,73010905)","(31081065,31010060,31000107)"
"72001125","90050029","91231032","0","0","5904","17790","1280","910","31774","22518","","(73011001,73011002,73011003,73011004,73011005)","(31081063,31010060,31000107)"
"72001126","90050029","91231032","0","0","5904","17790","1280","910","31774","22518","","(73011001,73011002,73011003,73011004,73011005)","(31081063,31010060,31000107)"
"72001127","90050029","91231032","0","0","5904","17790","1280","910","31774","22518","","(73011001,73011002,73011003,73011004,73011005)","(31081063,31010060,31000107)"
"72001128","90050032","91231030","0","0","-3915","-669","1280","910","18560","13290","","(73011101,73011102,73011103,73011104)","(31081065,31010060,31000107)"
"72001129","90050032","91231030","0","0","-3915","-669","1280","910","18560","13290","","(73011101,73011102,73011103,73011104)","(31081065,31010060,31000107)"
"72001130","90050032","91231030","0","0","-3915","-669","1280","910","18560","13290","","(73011101,73011102,73011103,73011104)","(31081065,31010060,31000107)"
"72001131","90054130","91290703","0","0","2881","7591","1280","910","26153","19776","","(73011105,73011106,73011107,73011108,73011109)","(31081066,31000206,31010060,31000107)"
"72001132","90054130","91290703","0","0","2881","7591","1280","910","26153","19776","","(73011105,73011106,73011107,73011108,73011109)","(31081066,31000206,31010060,31000107)"
"72001133","90054130","91290703","0","0","2881","7591","1280","910","26153","19776","","(73011105,73011106,73011107,73011108,73011109)","(31081066,31000206,31010060,31000107)"
"72001134","90054134","91290704","0","0","-2196","-3885","1280","910","14950","21000","","(73011110,73011111,73011112,73011113,73011114)","(31081066,31000207,31010060,31000107)"
"72001135","90054134","91290704","0","0","-2196","-3885","1280","910","14950","21000","","(73011110,73011111,73011112,73011113,73011114)","(31081066,31000207,31010060,31000107)"
"72001136","90054134","91290704","0","0","-2196","-3885","1280","910","14950","21000","","(73011110,73011111,73011112,73011113,73011114)","(31081066,31000207,31010060,31000107)"
"72010005","90050048","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31060018)"
"72010006","90050049","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010007","90050050","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010008","90050051","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010009","90050052","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091039)"
"72010010","90050053","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010011","90050054","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010012","90050055","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010013","90050056","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010014","90050057","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091039)"
"72010015","90050058","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010016","90050059","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010017","90050060","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010018","90050061","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010019","90050062","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091039)"
"72010020","90050063","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010021","90050064","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010022","90050065","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010023","90050066","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010024","90050067","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091039)"
"72010025","90050068","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010026","90050069","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010027","90050070","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010028","90050071","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010029","90050072","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091039)"
"72010030","90050073","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010031","90050074","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010032","90050075","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010033","90050076","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010034","90050077","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010035","90050078","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010036","90050079","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010037","90050080","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010038","90050081","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010039","90050082","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010040","90050083","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010041","90050084","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010042","90050085","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010043","90050086","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010044","90050087","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010045","90050088","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010046","90050089","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010047","90050090","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010048","90050091","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010049","90050092","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010050","90050093","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010051","90050094","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010052","90050095","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010053","90050096","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010054","90050097","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010055","90050098","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010056","90050099","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010057","90050100","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010058","90050101","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010059","90050102","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010060","90050103","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010061","90050104","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010062","90050105","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010063","90050106","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010064","90050107","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010065","90050108","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010066","90050109","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010067","90050110","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010068","90050111","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010069","90050112","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010070","90050113","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010071","90050114","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010072","90050115","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010073","90050116","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010074","90050117","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010075","90050118","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010076","90050119","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010077","90050120","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010078","90050121","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010079","90050122","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010080","90050123","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010081","90050124","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010082","90050125","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010083","90050126","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010084","90050127","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040,31061004)"
"72010085","90050128","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010086","90050129","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010087","90050130","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010088","90050131","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010089","90050132","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010090","90050133","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010091","90050134","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010092","90050135","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010093","90050136","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010094","90050137","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040,31060050)"
"72010095","90050138","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010096","90050139","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010097","90050140","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010098","90050141","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010099","90050142","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010100","90050143","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010101","90050144","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010102","90050145","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010103","90050146","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010104","90050147","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040,31060051)"
"72010105","90050148","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010106","90050149","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010107","90050150","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010108","90050151","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010109","90050152","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
"72010110","90050153","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010111","90050154","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010112","90050155","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010113","90050156","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010114","90050157","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040,31061033)"
"72010115","90050158","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010116","90050159","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010117","90050160","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010118","90050161","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010503,73010504)","(31091038)"
"72010119","90050162","91231005","0","0","-680","538","1280","910","7671","5408","","(73010501,73010502,73010503,73010504)","(31091040)"
