"AttributeId","Type","TargetValue","Index","NoticeId","RewardMoneyArray","RewardItemArray","AdditionalMoneyRewardID","AdditionalItemRewardID","RewardDropID","ShowedItemArray","ExhibitionNpcIdArray","ExhibitionNpcBuffArray","VipDoubleRank","DesTextId","NewExhibitionNpcIdArray","ReceiveTime","PackageIcon"
"107004004","4","4","3","","","(31010025,1)","","","","(31010059,4)","","","","","","",""
"107004005","4","5","4","","","(31010025,1)","","","","(31010032,6)","","","","","","",""
"107004006","4","6","5","","","(31010025,1)","","","","(31000044,1)","","","","","","",""
"107004007","4","7","6","","","(31010025,1)","","","","(31020004,5)","","","","","","",""
"107004008","4","8","7","","","(31010025,1)","","","","(31020001,5)","","","","","","",""
"107004009","4","9","8","","","(31010025,1)","","","","(31000041,5)","","","","","","",""
"107004010","4","10","9","","","(31010025,1)","","","","(31010059,4)","","","","","","",""
"107004011","4","11","10","","","(31010025,1)","","","","(31010032,6)","","","","","","",""
"107004012","4","12","11","","","(31010025,1)","","","","(31000044,1)","","","","","","",""
"107004013","4","13","12","","","(31010025,1)","","","","(31020004,5)","","","","","","",""
"107004014","4","14","13","","","(31010025,1)","","","","(31020001,5)","","","","","","",""
"107004015","4","15","14","","","(31010025,1)","","","","(31000041,5)","","","","","","",""
"107004016","4","16","15","","","(31010025,1)","","","","(31010059,4)","","","","","","",""
"107004017","4","17","16","","","(31010025,1)","","","","(31010032,6)","","","","","","",""
"107004018","4","18","17","","","(31010025,1)","","","","(31000044,1)","","","","","","",""
"107004019","4","19","18","","","(31010025,1)","","","","(31020003,2)","","","","","","",""
"107004020","4","20","19","","","(31010025,1)","","","","(31010054,10)","","","","","","",""
"107004021","4","21","20","","","(31010025,1)","","","","(31010027,1)","","","","","","",""
"107004022","4","22","21","","","(31010025,1)","","","","(31010061,1)","","","","","","",""
"107004023","4","23","22","","","(31010025,1)","","","","(31010053,10)","","","","","","",""
"107004024","4","24","23","","","(31010025,1)","","","","(31000009,1)","","","","","","",""
"107004025","4","25","24","","","(31010025,1)","","","","(31020003,2)","","","","","","",""
"107004026","4","26","25","","","(31010025,1)","","","","(31010054,10)","","","","","","",""
"107004027","4","27","26","","","(31010025,1)","","","","(31010027,1)","","","","","","",""
"107004028","4","28","27","","","(31010025,1)","","","","(31010062,1)","","","","","","",""
"107004029","4","29","28","","","(31010025,1)","","","","(31010053,10)","","","","","","",""
"107004030","4","30","29","","","(31010025,1)","","","","(31000010,1)","","","","","","",""
"107003001","3","12","0","","","(0,31090025,1,1,31090025,1,2,31090025,1,3,31090025,1,4,31090025,1,5,31090025,1,6,31090025,1,7,31090025,1,8,31090025,1)","","","","(0,31090025,1,1,31090025,1,2,31090025,1,3,31090025,1,4,31090025,1,5,31090025,1,6,31090025,1,7,31090025,1,8,31090025,1)","","","","","","",""
"107003002","3","36","1","","","(0,31010024,1,1,31010024,1,2,31010024,1,3,31010024,1,4,31010024,1,5,31010024,1,6,31010024,1,7,31010024,1,8,31010024,1)","","","","(0,31010024,1,1,31010024,1,2,31010024,1,3,31010024,1,4,31010024,1,5,31010024,1,6,31010024,1,7,31010024,1,8,31010024,1)","","","","","","",""
"107003003","3","72","2","","","(0,31090024,1,1,31090024,1,2,31090024,1,3,31090024,1,4,31090024,1,5,31090024,1,6,31090024,1,7,31090024,1,8,31090024,1)","","","","(0,31090024,1,1,31090024,1,2,31090024,1,3,31090024,1,4,31090024,1,5,31090024,1,6,31090024,1,7,31090024,1,8,31090024,1)","","","","","","",""
"107003004","3","120","3","","","(0,31010025,1,1,31010025,1,2,31010025,1,3,31010025,1,4,31010025,1,5,31010025,1,6,31010025,1,7,31010025,1,8,31010025,1)","","","","(0,31010025,1,1,31010025,1,2,31010025,1,3,31010025,1,4,31010025,1,5,31010025,1,6,31010025,1,7,31010025,1,8,31010025,1)","","","","","","",""
"107003005","3","160","4","","","(0,31090023,1,1,31090023,1,2,31090023,1,3,31090023,1,4,31090023,1,5,31090023,1,6,31090023,1,7,31090023,1,8,31090023,1)","","","","(0,31090023,1,1,31090023,1,2,31090023,1,3,31090023,1,4,31090023,1,5,31090023,1,6,31090023,1,7,31090023,1,8,31090023,1)","","","","","","",""
"107003006","3","200","5","","","(0,31010171,1,1,31010171,1,2,31010171,1,3,31010171,1,4,31010171,1,5,31010171,1,6,31010171,1,7,31010171,1,8,31010171,1)","","","","(0,31010171,1,1,31010171,1,2,31010171,1,3,31010171,1,4,31010171,1,5,31010171,1,6,31010171,1,7,31010171,1,8,31010171,1)","","","","","","",""
"107003007","3","240","6","","","(0,31010029,1,1,31010029,1,2,31010029,1,3,31010029,1,4,31010029,1,5,31010029,1,6,31010029,1,7,31010029,1,8,31010029,1)","","","","(0,31010029,1,1,31010029,1,2,31010029,1,3,31010029,1,4,31010029,1,5,31010029,1,6,31010029,1,7,31010029,1,8,31010029,1)","","","","","","",""
"107008001","8","30","0","","","(31120013,1,31020002,5,31010004,5,31010024,1)","","","","(31120013,1,31020002,5,31010004,5,31010024,1)","","","","","","",""
"107008002","8","50","1","","","(31120022,1,31020002,5,31010004,5,31010024,1)","","","","(31120022,1,31020002,5,31010004,5,31010024,1)","","","","","","",""
"107008003","8","80","2","","","(31010060,10,31020002,5,31010004,5,31010024,1)","","","","(31010060,10,31020002,5,31010004,5,31010024,1)","","","","","","",""
"107008004","8","100","3","","","(31020004,20,31020002,10,31010004,10,31010024,1)","","","","(31020004,20,31020002,10,31010004,10,31010024,1)","","","","","","",""
"107008005","8","130","4","","","(31000028,20,31020002,5,31010004,5,31010024,1)","","","","(31000028,20,31020002,5,31010004,5,31010024,1)","","","","","","",""
"107008006","8","150","5","","","(31000088,5,31020002,5,31010004,5,31010024,1)","","","","(31000088,5,31020002,5,31010004,5,31010024,1)","","","","","","",""
"107008007","8","180","6","","","(31000105,30,31020002,5,31010004,5,31010025,1)","","","","(31000105,30,31020002,5,31010004,5,31010025,1)","","","","","","",""
"107008008","8","200","7","","","(31000106,10,31020002,10,31010004,10,31010025,1)","","","","(31000106,10,31020002,10,31010004,10,31010025,1)","","","","","","",""
"107008009","8","230","8","","","(31000027,10,31020002,10,31010004,5,31010025,1)","","","","(31000027,10,31020002,10,31010004,5,31010025,1)","","","","","","",""
"107008010","8","250","9","","","(31000095,5,31020002,10,31010004,5,31010025,1)","","","","(31000095,5,31020002,10,31010004,5,31010025,1)","","","","","","",""
"107008011","8","280","10","","","(31000099,30,31020002,10,31010004,5,31010025,1)","","","","(31000099,30,31020002,10,31010004,5,31010025,1)","","","","","","",""
"107008012","8","300","11","","","(31020008,50,31020002,20,31010004,10,31010025,1)","","","","(31020008,50,31020002,20,31010004,10,31010025,1)","","","","","","",""
"107008013","8","330","12","","","(31020001,40,31020002,20,31010004,5,31010027,1)","","","","(31020001,40,31020002,20,31010004,5,31010027,1)","","","","","","",""
"107008014","8","350","13","","","(31090132,10,31020002,20,31010004,5,31010027,1)","","","","(31090132,10,31020002,20,31010004,5,31010027,1)","","","","","","",""
"107008015","8","380","14","","","(31000178,1,31020002,20,31010004,5,31010027,1)","","","","(31000178,1,31020002,20,31010004,5,31010027,1)","","","","","","",""
"107008016","8","400","15","","","(31090131,10,31020002,30,31010004,10,31010027,1)","","","","(31090131,10,31020002,30,31010004,10,31010027,1)","","","","","","",""
"107008017","8","430","16","","","(31140132,40,31020002,30,31010004,10,31010027,1)","","","","(31140132,40,31020002,30,31010004,10,31010027,1)","","","","","","",""
"107008018","8","450","17","","","(31140201,2,31020002,30,31010004,5,31010029,1)","","","","(31140201,2,31020002,30,31010004,5,31010029,1)","","","","","","",""
"107008019","8","480","18","","","(31000105,60,31020002,30,31010004,5,31010029,1)","","","","(31000105,60,31020002,30,31010004,5,31010029,1)","","","","","","",""
"107008020","8","500","19","","","(31000106,20,31020002,30,31010004,5,31010029,1)","","","","(31000106,20,31020002,30,31010004,5,31010029,1)","","","","","","",""
"107008021","8","550","20","","","(31090132,20,31020002,40,31010004,10,31010030,1)","","","","(31090132,20,31020002,40,31010004,10,31010030,1)","","","","","","",""
"107008022","8","600","21","","","(31000099,60,31020002,40,31010004,10,31010030,1)","","","","(31000099,60,31020002,40,31010004,10,31010030,1)","","","","","","",""
"107008023","8","650","22","","","(31090131,20,31020002,40,31010004,10,31010030,1)","","","","(31090131,20,31020002,40,31010004,10,31010030,1)","","","","","","",""
"107009001","9","20000","0","","","(31010054,5,31101062,1,31010004,5,31010024,1)","","","","(31010054,5,31101062,1,31010004,5,31010024,1)","","","","","","",""
"107009002","9","50000","1","","","(31010060,10,31101077,1,31010004,5,31010024,1)","","","","(31010060,10,31101077,1,31010004,5,31010024,1)","","","","","","",""
"107009003","9","100000","2","","","(31020004,20,31101078,1,31010004,10,31010024,1)","","","","(31020004,20,31101078,1,31010004,10,31010024,1)","","","","","","",""
"107009004","9","150000","3","","","(31000028,10,31090545,1,31010004,5,31010024,1)","","","","(31000028,10,31090545,1,31010004,5,31010024,1)","","","","","","",""
"107009005","9","200000","4","","","(31110102,1,31090545,2,31010004,5,31010024,1)","","","","(31110102,1,31090545,2,31010004,5,31010024,1)","","","","","","",""
"107009006","9","300000","5","","","(31110002,1,31090545,2,31010004,5,31010024,1)","","","","(31110002,1,31090545,2,31010004,5,31010024,1)","","","","","","",""
"107009007","9","500000","6","","","(31020003,50,31090545,3,31010004,5,31010024,1)","","","","(31020003,50,31090545,3,31010004,5,31010024,1)","","","","","","",""
"107009008","9","1000000","7","","","(31000040,50,31090541,3,31010004,10,31010025,1)","","","","(31000040,50,31090541,3,31010004,10,31010025,1)","","","","","","",""
"107009009","9","1500000","8","","","(31110103,1,31090541,4,31010004,5,31010025,1)","","","","(31110103,1,31090541,4,31010004,5,31010025,1)","","","","","","",""
"107009010","9","2000000","9","","","(31110003,1,31090545,4,31010004,5,31010025,1)","","","","(31110003,1,31090545,4,31010004,5,31010025,1)","","","","","","",""
"107009011","9","2500000","10","","","(31020008,30,31090541,5,31010004,5,31010025,1)","","","","(31020008,30,31090541,5,31010004,5,31010025,1)","","","","","","",""
"107009012","9","3000000","11","","","(31020001,50,31090545,5,31010004,10,31010025,1)","","","","(31020001,50,31090545,5,31010004,10,31010025,1)","","","","","","",""
"107009013","9","4000000","12","","","(31110104,1,31090541,6,31010004,5,31010025,1)","","","","(31110104,1,31090541,6,31010004,5,31010025,1)","","","","","","",""
"107009014","9","5000000","13","","","(31110004,1,31090545,6,31010004,5,31010027,1)","","","","(31110004,1,31090545,6,31010004,5,31010027,1)","","","","","","",""
"107009015","9","6000000","14","","","(31140132,50,31090541,7,31010004,5,31010025,1)","","","","(31140132,50,31090541,7,31010004,5,31010025,1)","","","","","","",""
"107009016","9","8000000","15","","","(31131129,20,31090545,7,31010004,5,31010027,1)","","","","(31131129,20,31090545,7,31010004,5,31010027,1)","","","","","","",""
"107009017","9","10000000","16","","","(31130341,1,31090541,8,31010004,5,31010027,1)","","","","(31130341,1,31090541,8,31010004,5,31010027,1)","","","","","","",""
"107009018","9","12000000","17","","","(31130464,5,31090545,8,31010004,10,31010027,1)","","","","(31130464,5,31090545,8,31010004,10,31010027,1)","","","","","","",""
"107009019","9","14000000","18","","","(31110105,1,31090541,10,31010004,10,31010030,1)","","","","(31110105,1,31090541,10,31010004,10,31010030,1)","","","","","","",""
"107009020","9","16000000","19","","","(31110005,1,31090545,10,31010004,10,31010030,1)","","","","(31110005,1,31090545,10,31010004,10,31010030,1)","","","","","","",""
"107002001","2","1","0","","","","","","(0,70970026,70970026,70970026,70970026)","(31080057,1)","","","","","","",""
"107002002","2","2","1","","","","","","(0,70970027,70970027,70970027,70970027)","(31080058,1)","","","","","","",""
"107002003","2","3","2","","","","","","(0,70970028,70970028,70970028,70970028)","(31080059,1)","","","","","","",""
"107002004","2","4","3","","","","","","(0,70970029,70970029,70970029,70970029)","(31080060,1)","","","","","","",""
"107002005","2","5","4","","","","","","(0,70970030,70970030,70970030,70970030)","(31080061,1)","","","","","","",""
"107002006","2","6","5","","","","","","(0,70970031,70970031,70970031,70970031)","(31080062,1)","","","","","","",""
"107002007","2","7","6","","","","","","(0,70970032,70970032,70970032,70970032)","(31080063,1)","","","","","","",""
"107001001","1","1","0","93000123","","(31020005,3,31020004,5,31010008,1)","","","","(31020005,3,31020004,5,31010008,1)","(0,0,0,0,0,76980521,76980521,76980521,76980521,76980521,76980522,76980522,76980522,76980522,76980522,76980523,76980523,76980523,76980523,76980523,76980524,76980524,76980524,76980524,76980524)","(10990018)","","90090805","","",""
"107001002","1","2","1","93000123","","(31000045,20,31000099,10,31010008,1)","","","","(31000045,20,31000099,10,31010008,1)","(0,0,0,0,0,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404,76980404)","(10990018)","","90090811","","",""
"107001003","1","3","2","93000123","","(31000053,20,31000106,5,31010008,1)","","","","(31000053,20,31000106,5,31010008,1)","(0,0,0,0,0,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816,76980816)","(10990018)","","90090807","","",""
"107001004","1","4","3","93000123","","(31059001,2,31010107,3,31010008,1)","","","","(31059001,2,31010107,3,31010008,1)","(0,0,0,0,0,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403,76980403)","(10990018)","","90204390","","",""
"107001005","1","5","4","93000123","","(31060053,1,31061003,1,31010008,1)","","","","(31060053,1,31061003,1,31010008,1)","(0,0,0,0,0,76980455,76980455,76980459,76980455,76980455,76980456,76980456,76980460,76980456,76980456,76980457,76980457,76980461,76980457,76980457,76980458,76980458,76980462,76980458,76980458)","(10990018,10990409)","","90090812","","",""
"107001006","1","6","5","93000123","","(31020001,100,31020008,10,31010008,1)","","","","(31020001,100,31020008,10,31010008,1)","(0,0,0,0,0,76980505,76980505,76980509,76980509,76980509,76980506,76980506,76980510,76980510,76980510,76980507,76980507,76980511,76980511,76980511,76980508,76980508,76980512,76980512,76980512)","(10990018)","","90090809","","",""
"107001007","1","7","6","93000123","","(31100007,1,31010047,5,31010008,2)","","","","(31100007,1,31010047,5,31010008,2)","","","","90091400","(0,0,0,0,76980397,0,0,76980397,0,0,76980397,0,0,76980397,0)","",""
"107000001","0","600","0","","","","","","(0,70970033,70970033,70970033,70970033)","(31010060,3)","","","","","","",""
"107000002","0","1800","1","","","","","","(0,70970034,70970034,70970034,70970034)","(31020004,5)","","","","","","",""
"107000003","0","3600","2","","","","","","(0,70970035,70970035,70970035,70970035)","(31000028,5)","","","","","","",""
"107000004","0","7200","3","","","","","","(0,70970036,70970036,70970036,70970036)","(31000160,1)","","","","","","",""
"107012001","12","1","0","","","(31010004,10)","","","","(31010004,10)","","","1","","","",""
"107012002","12","2","1","","","(31020004,20)","","","","(31020004,20)","","","","","","",""
"107012003","12","3","2","","","(31000028,10)","","","","(31000028,10)","","","2","","","",""
"107012004","12","4","3","","","(31010054,10)","","","","(31010054,10)","","","","","","",""
"107012005","12","5","4","","","(31110004,1)","","","","(31110004,1)","","","3","","","",""
"107012006","12","6","5","","","(31000040,20)","","","","(31000040,20)","","","","","","",""
"107012007","12","7","6","","","(31020001,10)","","","","(31020001,10)","","","4","","","",""
"107012008","12","8","7","","","(31010177,10)","","","","(31010177,10)","","","","","","",""
"107012009","12","9","8","","","(31010107,5)","","","","(31010107,5)","","","1","","","",""
"107012010","12","10","9","","","(31020008,10)","","","","(31020008,10)","","","","","","",""
"107012011","12","11","10","","","(31000029,5)","","","","(31000029,5)","","","2","","","",""
"107012012","12","12","11","","","(31010059,10)","","","","(31010059,10)","","","","","","",""
"107012013","12","13","12","","","(31110104,1)","","","","(31110104,1)","","","3","","","",""
"107012014","12","14","13","","","(31000099,5)","","","","(31000099,5)","","","","","","",""
"107012015","12","15","14","","","(31000105,5)","","","","(31000105,5)","","","4","","","",""
"107012016","12","16","15","","","(31010025,1)","","","","(31010025,1)","","","1","","","",""
"107012017","12","17","16","","","(31010004,10)","","","","(31010004,10)","","","","","","",""
"107012018","12","18","17","","","(31020004,20)","","","","(31020004,20)","","","2","","","",""
"107012019","12","19","18","","","(31000028,10)","","","","(31000028,10)","","","","","","",""
"107012020","12","20","19","","","(31010054,10)","","","","(31010054,10)","","","3","","","",""
"107012021","12","21","20","","","(31110004,1)","","","","(31110004,1)","","","","","","",""
"107012022","12","22","21","","","(31000040,20)","","","","(31000040,20)","","","4","","","",""
"107012023","12","23","22","","","(31020001,10)","","","","(31020001,10)","","","","","","",""
"107012024","12","24","23","","","(31010177,10)","","","","(31010177,10)","","","1","","","",""
"107012025","12","25","24","","","(31010107,5)","","","","(31010107,5)","","","","","","",""
"107012026","12","26","25","","","(31020008,10)","","","","(31020008,10)","","","2","","","",""
"107012027","12","27","26","","","(31000029,5)","","","","(31000029,5)","","","","","","",""
"107012028","12","28","27","","","(31010059,10)","","","","(31010059,10)","","","3","","","",""
"107012029","12","29","28","","","(31110104,1)","","","","(31110104,1)","","","","","","",""
"107012030","12","30","29","","","(31000099,5)","","","","(31000099,5)","","","4","","","",""
"107012031","12","31","30","","","(31000105,5)","","","","(31000105,5)","","","","","","",""
"107013001","13","1","0","","","(31010025,2)","","","","(31020004,5)","","","","","","",""
"107013002","13","2","1","","","(31010025,2)","","","","(31020001,5)","","","","","","",""
"107013003","13","3","2","","","(31010025,2)","","","","(31000041,5)","","","","","","",""
"107013004","13","4","3","","","(31010025,2)","","","","(31010059,4)","","","","","","",""
"107013005","13","5","4","","","(31010025,2)","","","","(31010032,6)","","","","","","",""
"107013006","13","6","5","","","(31010025,2)","","","","(31000044,1)","","","","","","",""
"107013007","13","7","6","","","(31010025,2)","","","","(31020004,5)","","","","","","",""
"107013008","13","8","7","","","(31010025,2)","","","","(31020001,5)","","","","","","",""
"107013009","13","9","8","","","(31010025,2)","","","","(31000041,5)","","","","","","",""
"107013010","13","10","9","","","(31010025,2)","","","","(31010059,4)","","","","","","",""
"107013011","13","11","10","","","(31010025,2)","","","","(31010032,6)","","","","","","",""
"107013012","13","12","11","","","(31010025,2)","","","","(31000044,1)","","","","","","",""
"107013013","13","13","12","","","(31010025,2)","","","","(31020004,5)","","","","","","",""
"107013014","13","14","13","","","(31010025,2)","","","","(31020001,5)","","","","","","",""
"107013015","13","15","14","","","(31010025,2)","","","","(31000041,5)","","","","","","",""
"107013016","13","16","15","","","(31010025,2)","","","","(31010059,4)","","","","","","",""
"107013017","13","17","16","","","(31010025,2)","","","","(31010032,6)","","","","","","",""
"107013018","13","18","17","","","(31010025,2)","","","","(31000044,1)","","","","","","",""
"107013019","13","19","18","","","(31010025,2)","","","","(31020003,2)","","","","","","",""
"107013020","13","20","19","","","(31010025,2)","","","","(31010054,10)","","","","","","",""
"107013021","13","21","20","","","(31010025,2)","","","","(31010027,1)","","","","","","",""
"107013022","13","22","21","","","(31010025,2)","","","","(31010061,1)","","","","","","",""
"107013023","13","23","22","","","(31010025,2)","","","","(31010053,10)","","","","","","",""
"107013024","13","24","23","","","(31010025,2)","","","","(31000009,1)","","","","","","",""
"107013025","13","25","24","","","(31010025,2)","","","","(31020003,2)","","","","","","",""
"107013026","13","26","25","","","(31010025,2)","","","","(31010054,10)","","","","","","",""
"107013027","13","27","26","","","(31010025,2)","","","","(31010027,1)","","","","","","",""
"107013028","13","28","27","","","(31010025,2)","","","","(31010062,1)","","","","","","",""
"107013029","13","29","28","","","(31010025,2)","","","","(31010053,10)","","","","","","",""
"107013030","13","30","29","","","(31010025,2)","","","","(31000010,1)","","","","","","",""
"107013031","13","31","30","","","(31010025,2)","","","","(31010025,1)","","","","","","",""
"107014001","14","82010001","0","","","(31020345,1,31020405,1,31020465,1,31020525,1)","","","","(31020345,1,31020405,1,31020465,1,31020525,1)","(0,0,0,0,0,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001,76110001)","","","","","",""
"107014002","14","82010002","1","","","(31020585,1,31020645,1,31020705,1,31020765,1)","","","","(31020585,1,31020645,1,31020705,1,31020765,1)","(0,0,0,0,0,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002,76110002)","","","","","",""
"107014003","14","82010003","2","","","(31020825,1,31020885,1,31020945,1,31021005,1)","","","","(31020825,1,31020885,1,31020945,1,31021005,1)","(0,0,0,0,0,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003,76110003)","","","","","",""
"107014004","14","82010004","3","","","(31022025,1,31022085,1,31022145,1,31022205,1)","","","","(31022025,1,31022085,1,31022145,1,31022205,1)","(0,0,0,0,0,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004,76110004)","","","","","",""
"107014005","14","82010005","4","","","(31021305,1,31021365,1,31021425,1,31021485,1)","","","","(31021305,1,31021365,1,31021425,1,31021485,1)","(0,0,0,0,0,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005,76110005)","","","","","",""
"107014006","14","82010006","5","","","(31021785,1,31021845,1,31021905,1,31021965,1)","","","","(31021785,1,31021845,1,31021905,1,31021965,1)","(0,0,0,0,0,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006,76110006)","","","","","",""
