"AttributeId","MissionShowType","MissionEndType","NeedLevel","ShowLevel","CurChapterIndex","MissionIndexInChapter","MissionName","MissionDescriptionId","GetDialogId","NotFinishDialogID","FinishDialogId","PreMissionId","NextMissionId","GoalNpcKill","GoalMapName","GoalMissionId","FinishMissionNpcId","FinishMissionNpcMapName","MapId","PathFindLocation","CanTransfer","FinishMissionNpcLocation","CreateNpc","HiddenNpc","TransferID","TransferPos","MissionEvent","FinishAwardType","FinishEXP","FinishGold","FinishItemDropId","FinishMoney","ActivateInfoArray","IsNeedMissionHint","FinishItemGetRate","FinishItemNameId","SpecialMissionRequirement","NextSideMissionTriggerId","TriggerSideMissionArray","SideMissionReqMainMissionId","MissionGroupId","FinishTriggerBuffArray","AutoEndDialogTime","HighExperienceIdentity","MissionSucceedEndAuto","ClickIsEndAuto","CanShowMissionEnd","HimSelfSeeNpcId","MissionStateEndAuto","MissionJumpToWidgetPlayAni","TemporaryActivateWing","IsWingFlyMission","HimSelfSeeNpcIdArr"
"15010002","1","0","0","","0","0","90007229","90009365","0","0","0","0","0","(76001122,20)","(90052009)","","","0","71000001","(71340,27770,2298)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010003","1","0","0","","0","0","90007229","90009147","0","0","0","0","0","(76000285,20)","(90052009)","","","0","71000001","(75320,25640,2368)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010004","1","0","0","","0","0","90007229","90009146","0","0","0","0","0","(76000284,20)","(90052009)","","","0","71000001","(73210,24590,2278)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010005","1","0","0","","0","0","90007229","90009380","0","0","0","0","0","(76004032,20)","(90052009)","","","0","71000001","(69610,26710,2298)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010006","1","0","0","","0","0","90007229","90009148","0","0","0","0","0","(76000286,20)","(90052009)","","","0","71000001","(71930,25270,2308)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010007","1","0","0","","0","0","90007229","90009149","0","0","0","0","0","(76000287,20)","(90052009)","","","0","71000001","(76550,14620,3798)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010008","1","0","0","","0","0","90007229","90009150","0","0","0","0","0","(76000288,20)","(90052009)","","","0","71000001","(68363,12801,4498)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010009","1","0","0","","0","0","90007229","90009367","0","0","0","0","0","(76001129,20)","(90052009)","","","0","71000001","(67869,30724,2349)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010010","1","0","0","","0","0","90007229","90009366","0","0","0","0","0","(76001128,20)","(90052009)","","","0","71000001","(65709,28219,2298)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010011","1","0","0","","0","0","90007229","90009380","0","0","0","0","0","(76004032,20)","(90052009)","","","0","71000001","(69610,26710,2298)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010012","1","0","0","","0","0","90007229","90009148","0","0","0","0","0","(76000286,20)","(90052009)","","","0","71000001","(71930,25270,2308)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010013","1","0","0","","0","0","90007229","90009149","0","0","0","0","0","(76000287,20)","(90052009)","","","0","71000001","(76550,14620,3798)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010014","1","0","0","","0","0","90007229","90009150","0","0","0","0","0","(76000288,20)","(90052009)","","","0","71000001","(68363,12801,4498)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010015","1","0","0","","0","0","90007229","90009151","0","0","0","0","0","(76000289,20)","(90052009)","","","0","71000001","(70680,8139,5268)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010016","1","0","0","","0","0","90007229","90009366","0","0","0","0","0","(76001128,20)","(90052009)","","","0","71000001","(65709,28219,2298)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010017","1","0","0","","0","0","90007229","90009367","0","0","0","0","0","(76001129,20)","(90052009)","","","0","71000001","(67869,30724,2349)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010018","1","0","0","","0","0","90007229","90009368","0","0","0","0","0","(76001130,20)","(90052009)","","","0","71000001","(69225,31049,2304)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010019","1","0","0","","0","0","90007229","90009137","0","0","0","0","0","(76000291,20)","(90052014)","","","0","71000001","(49070,98680,528)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010020","1","0","0","","0","0","90007229","90009138","0","0","0","0","0","(76000292,20)","(90052014)","","","0","71000001","(52289,103799,548)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010021","1","0","0","","0","0","90007229","90009366","0","0","0","0","0","(76001128,20)","(90052009)","","","0","71000001","(65709,28219,2298)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010022","1","0","0","","0","0","90007229","90009367","0","0","0","0","0","(76001129,20)","(90052009)","","","0","71000001","(67869,30724,2349)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010023","1","0","0","","0","0","90007229","90009368","0","0","0","0","0","(76001130,20)","(90052009)","","","0","71000001","(69225,31049,2304)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010024","1","0","0","","0","0","90007229","90009137","0","0","0","0","0","(76000291,20)","(90052014)","","","0","71000001","(49070,98680,528)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010025","1","0","0","","0","0","90007229","90009138","0","0","0","0","0","(76000292,20)","(90052014)","","","0","71000001","(52289,103799,548)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010026","1","0","0","","0","0","90007229","90009139","0","0","0","0","0","(76000293,20)","(90052014)","","","0","71000001","(57100,99320,538)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010027","1","0","0","","0","0","90007229","90009140","0","0","0","0","0","(76000294,20)","(90052014)","","","0","71000001","(64569,101850,548)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010028","1","0","0","","0","0","90007229","90009369","0","0","0","0","0","(76001131,20)","(90052014)","","","0","71000001","(67721,104149,584)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010029","1","0","0","","0","0","90007229","90009141","0","0","0","0","0","(76000295,20)","(90052014)","","","0","71000001","(55089,111559,1678)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010030","1","0","0","","0","0","90007229","90009142","0","0","0","0","0","(76000296,20)","(90052014)","","","0","71000001","(56530,112568,1698)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010031","1","0","0","","0","0","90007229","90009137","0","0","0","0","0","(76000291,20)","(90052014)","","","0","71000001","(49070,98680,528)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010032","1","0","0","","0","0","90007229","90009138","0","0","0","0","0","(76000292,20)","(90052014)","","","0","71000001","(52289,103799,548)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010033","1","0","0","","0","0","90007229","90009139","0","0","0","0","0","(76000293,20)","(90052014)","","","0","71000001","(57100,99320,538)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010034","1","0","0","","0","0","90007229","90009140","0","0","0","0","0","(76000294,20)","(90052014)","","","0","71000001","(64569,101850,548)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010035","1","0","0","","0","0","90007229","90009369","0","0","0","0","0","(76001131,20)","(90052014)","","","0","71000001","(67721,104149,584)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010036","1","0","0","","0","0","90007229","90009141","0","0","0","0","0","(76000295,20)","(90052014)","","","0","71000001","(55089,111559,1678)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010037","1","0","0","","0","0","90007229","90009142","0","0","0","0","0","(76000296,20)","(90052014)","","","0","71000001","(56530,112568,1698)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010038","1","0","0","","0","0","90007229","90009143","0","0","0","0","0","(76000297,20)","(90052014)","","","0","71000001","(66030,112040,1678)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010039","1","0","0","","0","0","90007229","90009144","0","0","0","0","0","(76000298,20)","(90052014)","","","0","71000001","(61190,98430,528)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010040","1","0","0","","0","0","90007229","90009144","0","0","0","0","0","(76000298,20)","(90052014)","","","0","71000001","(61190,98430,528)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010041","1","0","0","","0","0","90007229","90009139","0","0","0","0","0","(76000293,20)","(90052014)","","","0","71000001","(57100,99320,538)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010042","1","0","0","","0","0","90007229","90009140","0","0","0","0","0","(76000294,20)","(90052014)","","","0","71000001","(64569,101850,548)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010043","1","0","0","","0","0","90007229","90009369","0","0","0","0","0","(76001131,20)","(90052014)","","","0","71000001","(67721,104149,584)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010044","1","0","0","","0","0","90007229","90009141","0","0","0","0","0","(76000295,20)","(90052014)","","","0","71000001","(55089,111559,1678)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010045","1","0","0","","0","0","90007229","90009142","0","0","0","0","0","(76000296,20)","(90052014)","","","0","71000001","(56530,112568,1698)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010046","1","0","0","","0","0","90007229","90009143","0","0","0","0","0","(76000297,20)","(90052014)","","","0","71000001","(66030,112040,1678)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010047","1","0","0","","0","0","90007229","90009144","0","0","0","0","0","(76000298,20)","(90052014)","","","0","71000001","(61190,98430,528)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010048","1","0","0","","0","0","90007229","90009111","0","0","0","0","0","(76000299,20)","(90052011)","","","0","71000001","(94440,43370,998)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010049","1","0","0","","0","0","90007229","90009112","0","0","0","0","0","(76000300,20)","(90052011)","","","0","71000001","(97250,41179,1272)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010050","1","0","0","","0","0","90007229","90009381","0","0","0","0","0","(76004042,20)","(90052011)","","","0","71000001","(98499,47180,1258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010051","1","0","0","","0","0","90007229","90009142","0","0","0","0","0","(76000296,20)","(90052014)","","","0","71000001","(56530,112568,1698)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010052","1","0","0","","0","0","90007229","90009143","0","0","0","0","0","(76000297,20)","(90052014)","","","0","71000001","(66030,112040,1678)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010053","1","0","0","","0","0","90007229","90009144","0","0","0","0","0","(76000298,20)","(90052014)","","","0","71000001","(61190,98430,528)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010054","1","0","0","","0","0","90007229","90009111","0","0","0","0","0","(76000299,20)","(90052011)","","","0","71000001","(94440,43370,998)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010055","1","0","0","","0","0","90007229","90009112","0","0","0","0","0","(76000300,20)","(90052011)","","","0","71000001","(97250,41179,1272)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010056","1","0","0","","0","0","90007229","90009381","0","0","0","0","0","(76004042,20)","(90052011)","","","0","71000001","(98499,47180,1258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010057","1","0","0","","0","0","90007229","90009370","0","0","0","0","0","(76001142,20)","(90052011)","","","0","71000001","(98450,43769,1258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010058","1","0","0","","0","0","90007229","90009371","0","0","0","0","0","(76001143,20)","(90052011)","","","0","71000001","(99279,41369,1258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010059","1","0","0","","0","0","90007229","90009113","0","0","0","0","0","(76000301,20)","(90052011)","","","0","71000001","(102620,42370,1288)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010060","1","0","0","","0","0","90007229","90009114","0","0","0","0","0","(76000302,20)","(90052011)","","","0","71000001","(103610,39210,1268)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010061","1","0","0","","0","0","90007229","90009112","0","0","0","0","0","(76000300,20)","(90052011)","","","0","71000001","(97250,41179,1272)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010062","1","0","0","","0","0","90007229","90009381","0","0","0","0","0","(76004042,20)","(90052011)","","","0","71000001","(98499,47180,1258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010063","1","0","0","","0","0","90007229","90009370","0","0","0","0","0","(76001142,20)","(90052011)","","","0","71000001","(98450,43769,1258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010064","1","0","0","","0","0","90007229","90009371","0","0","0","0","0","(76001143,20)","(90052011)","","","0","71000001","(99279,41369,1258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010065","1","0","0","","0","0","90007229","90009113","0","0","0","0","0","(76000301,20)","(90052011)","","","0","71000001","(102770,42160,1288)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010066","1","0","0","","0","0","90007229","90009114","0","0","0","0","0","(76000302,20)","(90052011)","","","0","71000001","(103610,39210,1268)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010067","1","0","0","","0","0","90007229","90009115","0","0","0","0","0","(76000303,20)","(90052011)","","","0","71000001","(96740,35470,1277)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010068","1","0","0","","0","0","90007229","90009116","0","0","0","0","0","(76000304,20)","(90052011)","","","0","71000001","(97650,26050,1267)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010069","1","0","0","","0","0","90007229","90009117","0","0","0","0","0","(76000305,20)","(90052011)","","","0","71000001","(105140,22230,1961)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010070","1","0","0","","0","0","90007229","90009118","0","0","0","0","0","(76000306,20)","(90052011)","","","0","71000001","(104120,20980,1976)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010071","1","0","0","","0","0","90007229","90009120","0","0","0","0","0","(76000308,20)","(90052011)","","","0","71000001","(110093,20255,683)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010072","1","0","0","","0","0","90007229","90009119","0","0","0","0","0","(76000307,20)","(90052011)","","","0","71000001","(105570,17920,1968)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010073","1","0","0","","0","0","90007229","90009122","0","0","0","0","0","(76000310,20)","(90052011)","","","0","71000001","(111330,23750,638)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010074","1","0","0","","0","0","90007229","90009123","0","0","0","0","0","(76000311,20)","(90052006)","","","0","71000001","(15680,88450,288)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010075","1","0","0","","0","0","90007229","90009124","0","0","0","0","0","(76000312,20)","(90052006)","","","0","71000001","(15830,89670,268)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010076","1","0","0","","0","0","90007229","90009125","0","0","0","0","0","(76000313,20)","(90052006)","","","0","71000001","(15890,94690,288)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010077","1","0","0","","0","0","90007229","90009126","0","0","0","0","0","(76000314,20)","(90052006)","","","0","71000001","(17210,97750,298)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010078","1","0","0","","0","0","90007229","90009127","0","0","0","0","0","(76000315,20)","(90052006)","","","0","71000001","(21109,102120,268)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010079","1","0","0","","0","0","90007229","90009128","0","0","0","0","0","(76000316,20)","(90052006)","","","0","71000001","(20239,106030,258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010080","1","0","0","","0","0","90007229","90009129","0","0","0","0","0","(76000317,20)","(90052006)","","","0","71000001","(14070,106460,258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010081","1","0","0","","0","0","90007229","90009129","0","0","0","0","0","(76000317,20)","(90052006)","","","0","71000001","(14070,106460,258)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010082","1","0","0","","0","0","90007229","90009130","0","0","0","0","0","(76000318,20)","(90052006)","","","0","71000001","(15500,104550,278)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010083","1","0","0","","0","0","90007229","90009153","0","0","0","0","0","(76000330,20)","(90052006)","","","0","71000001","(12630,105140,288)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010084","1","0","0","","0","0","90007229","90009131","0","0","0","0","0","(76000319,20)","(90052006)","","","0","71000001","(12019,102191,278)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010085","1","0","0","","0","0","90007229","90009133","0","0","0","0","0","(76000321,20)","(90052006)","","","0","71000001","(8900,105010,558)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010086","1","0","0","","0","0","90007229","90009134","0","0","0","0","0","(76000322,20)","(90052006)","","","0","71000001","(7920,103100,558)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010087","1","0","0","","0","0","90007229","90009156","0","0","0","0","0","(76000525,20)","(90052082)","","","0","71000001","(23078,137689,1328)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010088","1","0","0","","0","0","90007229","90009136","0","0","0","0","0","(76000324,20)","(90052006)","","","0","71000001","(1469,104980,908)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010089","1","0","0","","0","0","90007229","90009132","0","0","0","0","0","(76000320,20)","(90052006)","","","0","71000001","(9940,101710,278)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010090","1","0","0","","0","0","90007229","90009155","0","0","0","0","0","(76000524,20)","(90052082)","","","0","71000001","(24268,136389,1328)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010091","1","0","0","","0","0","90007229","90009155","0","0","0","0","0","(76000524,20)","(90052082)","","","0","71000001","(24268,136389,1328)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010092","1","0","0","","0","0","90007229","90009156","0","0","0","0","0","(76000525,20)","(90052082)","","","0","71000001","(23078,137689,1328)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010093","1","0","0","","0","0","90007229","90009157","0","0","0","0","0","(76000526,20)","(90052082)","","","0","71000001","(19990,138370,1248)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010094","1","0","0","","0","0","90007229","90009159","0","0","0","0","0","(76000528,20)","(90052082)","","","0","71000001","(15658,131789,1328)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010095","1","0","0","","0","0","90007229","90009160","0","0","0","0","0","(76000529,20)","(90052082)","","","0","71000001","(15880,137860,1248)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010096","1","0","0","","0","0","90007229","90009161","0","0","0","0","0","(76000530,20)","(90052082)","","","0","71000001","(14468,140349,1208)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010097","1","0","0","","0","0","90007229","90009162","0","0","0","0","0","(76000531,20)","(90052082)","","","0","71000001","(14230,134640,1248)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010098","1","0","0","","0","0","90007229","90009163","0","0","0","0","0","(76000532,20)","(90052082)","","","0","71000001","(14710,143060,1248)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010099","1","0","0","","0","0","90007229","90009164","0","0","0","0","0","(76000533,20)","(90052082)","","","0","71000001","(16510,140500,1248)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010100","1","0","0","","0","0","90007229","90009378","0","0","0","0","0","(76000558,20)","(90052083)","","","0","71000001","(44050,133220,1788)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010101","1","0","0","","0","0","90007229","90009378","0","0","0","0","0","(76000558,20)","(90052083)","","","0","71000001","(44050,133220,1788)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010102","1","0","0","","0","0","90007229","90009379","0","0","0","0","0","(76000559,20)","(90052083)","","","0","71000001","(47000,134380,1788)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010103","1","0","0","","0","0","90007229","90009166","0","0","0","0","0","(76000561,20)","(90052083)","","","0","71000001","(47540,132910,1798)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010104","1","0","0","","0","0","90007229","90009167","0","0","0","0","0","(76000562,20)","(90052083)","","","0","71000001","(47910,137130,1628)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010105","1","0","0","","0","0","90007229","90009168","0","0","0","0","0","(76000563,20)","(90052083)","","","0","71000001","(51940,139100,1628)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010106","1","0","0","","0","0","90007229","90009170","0","0","0","0","0","(76000565,20)","(90052083)","","","0","71000001","(56480,132360,1628)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010107","1","0","0","","0","0","90007229","90009171","0","0","0","0","0","(76000566,20)","(90052083)","","","0","71000001","(57080,129280,1628)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010108","1","0","0","","0","0","90007229","90009172","0","0","0","0","0","(76000567,20)","(90052083)","","","0","71000001","(54140,142900,1628)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010109","1","0","0","","0","0","90007229","90009173","0","0","0","0","0","(76000568,20)","(90052083)","","","0","71000001","(56151,150672,2448)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010110","1","0","0","","0","0","90007229","90009174","0","0","0","0","0","(76000569,20)","(90052083)","","","0","71000001","(55077,147893,1837)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010111","1","0","0","","0","0","90007229","90009173","0","0","0","0","0","(76000568,20)","(90052083)","","","0","71000001","(56151,150672,2448)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010112","1","0","0","","0","0","90007229","90009174","0","0","0","0","0","(76000569,20)","(90052083)","","","0","71000001","(55077,147893,1837)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010113","1","0","0","","0","0","90007229","90009175","0","0","0","0","0","(76000570,20)","(90052083)","","","0","71000001","(57580,145880,1538)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010114","1","0","0","","0","0","90007229","90009176","0","0","0","0","0","(76000571,20)","(90052083)","","","0","71000001","(61992,147908,1529)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15010115","1","0","0","","0","0","90007229","90009183","0","0","0","0","0","(76000614,20)","(90052085)","","","0","71000001","(27527,159720,2639)","","","","","","","0","3","100","0","0","","","","","","","","","","","","","","","","","","","","","",""
