"AttributeId","Type","Sort","StringID","answer"
"152000050","2","21","90140120","(152000047,152000036,152000050)"
"152000051","2","22","90140121","(152000051,152000038,152000039)"
"152000052","2","23","90140122","(152000057,152000052)"
"152000053","2","24","90140123","(152000053,152000040)"
"152000054","2","25","90140124","(152000031,152000054,152000035)"
"152000055","2","26","90140125","(152000032,152000055)"
"152000056","2","27","90140126","(152000033,152000056)"
"152000057","2","28","90140127","(152000057,152000052)"
"152000058","2","29","90140128","(152000035,152000042,152000058)"
"152000059","2","30","90140129","(152000030,152000052,152000059)"
"152000060","3","1","90140200",""
"152000061","3","2","90140201",""
"152000062","3","3","90140202",""
"152000063","3","4","90140203",""
"152000064","3","5","90140204",""
"152000065","3","6","90140205",""
"152000066","3","7","90140206",""
"152000067","3","8","90140207",""
"152000068","3","9","90140208",""
"152000069","3","10","90140209",""
"152000070","3","11","90140210",""
"152000071","3","12","90140211",""
"152000072","3","13","90140212",""
"152000073","3","14","90140213",""
"152000074","3","15","90140214",""
"152000075","3","16","90140215",""
"152000076","3","17","90140216",""
"152000077","3","18","90140217",""
"152000078","3","19","90140218",""
"152000079","3","20","90140219",""
"152000080","3","21","90140220",""
"152000081","3","22","90140221",""
"152000082","3","23","90140222",""
"152000083","3","24","90140223",""
"152000084","3","25","90140224",""
"152000085","3","26","90140225",""
"152000086","3","27","90140226",""
"152000087","3","28","90140227",""
"152000088","3","29","90140228",""
"152000089","3","30","90140229",""
"152000090","4","1","90140300","(152000096,152000100,152000091)"
"152000091","4","2","90140301","(152000091,152000096,152000092)"
"152000092","4","3","90140302","(152000106,152000112,152000092)"
"152000093","4","4","90140303","(152000112,152000099,152000093)"
"152000094","4","5","90140304","(152000116,152000114,152000094)"
"152000095","4","6","90140305","(152000095,152000110,152000104)"
"152000096","4","7","90140306","(152000090,152000107,152000095)"
"152000097","4","8","90140307","(152000102,152000109,152000097)"
"152000098","4","9","90140308","(152000098,152000100,152000117)"
"152000099","4","10","90140309","(152000099,152000100,152000117)"
"152000100","4","11","90140310","(152000103,152000099,152000098,152000107)"
"152000101","4","12","90140311","(152000101,152000116,152000108)"
"152000102","4","13","90140312","(152000103,152000107,152000095,152000105)"
"152000103","4","14","90140313","(152000102,152000109,152000117)"
"152000104","4","15","90140314","(152000104,152000105,152000113)"
"152000105","4","16","90140315","(152000104,152000105,152000113)"
"152000106","4","17","90140316","(152000106,152000116,152000092)"
"152000107","4","18","90140317","(152000102,152000109,152000097)"
"152000108","4","19","90140318","(152000111,152000108,152000118,152000119)"
"152000109","4","20","90140319","(152000090,152000118,152000091)"
"152000110","4","21","90140320","(152000110,152000117,152000115)"
"152000111","4","22","90140321","(152000111,152000108,152000118,152000119)"
"152000112","4","23","90140322","(152000112,152000093,152000091)"
"152000113","4","24","90140323","(152000104,152000105,152000113)"
"152000114","4","25","90140324","(152000116,152000114,152000094)"
"152000115","4","26","90140325","(152000110,152000117,152000115)"
"152000116","4","27","90140326","(152000116,152000114,152000094)"
"152000117","4","28","90140327","(152000110,152000117,152000115)"
"152000118","4","29","90140328","(152000111,152000108,152000118,152000119)"
"152000119","4","30","90140329","(152000111,152000108,152000118,152000119)"
