"AttributeId","UpgradeCost","RecoveryReward","Notice_id","DiamondRecoveryMoney","DiamondRecoveryCost"
"142010057","(20,8525)","(20,80679)","","(20,145186)","(4,3225)"
"142010058","(20,8825)","(20,84941)","","(20,152858)","(4,3395)"
"142010059","(20,9130)","(20,89354)","93000164","(20,160801)","(4,3572)"
"142010060","(20,9440)","(20,93919)","","(20,169018)","(4,3754)"
"142010061","(20,9756)","(20,98639)","","(20,177514)","(4,3943)"
"142010062","(20,10077)","(20,103517)","","(20,186294)","(4,4138)"
"142010063","(20,10403)","(20,108555)","","(20,195363)","(4,4340)"
"142010064","(20,10734)","(20,113757)","","(20,204726)","(4,4548)"
"142010065","(20,11071)","(20,119124)","","(20,214387)","(4,4763)"
"142010066","(20,11412)","(20,124659)","","(20,224351)","(4,4984)"
"142010067","(20,11760)","(20,130365)","","(20,234621)","(4,5212)"
"142010068","(20,12112)","(20,136245)","","(20,245205)","(4,5447)"
"142010069","(20,12470)","(20,142301)","93000164","(20,256106)","(4,5690)"
"142010070","(20,12832)","(20,148536)","","(20,267329)","(4,5939)"
"142010071","(20,13201)","(20,154952)","","(20,278878)","(4,6196)"
"142010072","(20,13574)","(20,161553)","","(20,290759)","(4,6460)"
"142010073","(20,13953)","(20,168340)","","(20,302976)","(4,6731)"
"142010074","(20,14336)","(20,175316)","","(20,315533)","(4,7010)"
"142010075","(20,14726)","(20,182484)","","(20,328436)","(4,7297)"
"142010076","(20,15120)","(20,189847)","","(20,341689)","(4,7592)"
"142010077","(20,15520)","(20,197407)","","(20,355297)","(4,7894)"
"142010078","(20,15925)","(20,205167)","","(20,369265)","(4,8204)"
"142010079","(20,16335)","(20,213130)","93000164","(20,383598)","(4,8523)"
"142010080","(20,16750)","(20,221297)","","(20,398299)","(4,8850)"
"142010081","(20,17171)","(20,229672)","","(20,413374)","(4,9185)"
"142010082","(20,17597)","(20,238258)","","(20,428828)","(4,9528)"
"142010083","(20,18028)","(20,247056)","","(20,444665)","(4,9880)"
"142010084","(20,18465)","(20,256070)","","(20,460890)","(4,10240)"
"142010085","(20,18906)","(20,265303)","","(20,477509)","(4,10610)"
"142010086","(20,19353)","(20,274756)","","(20,494524)","(4,10988)"
"142010087","(20,19806)","(20,284432)","","(20,511942)","(4,11375)"
"142010088","(20,20263)","(20,294335)","","(20,529767)","(4,11771)"
"142010089","(20,20726)","(20,304467)","93000164","(20,548004)","(4,12176)"
"142010090","(20,21194)","(20,314830)","","(20,566658)","(4,12591)"
"142010091","(20,21667)","(20,325427)","","(20,585732)","(4,13015)"
"142010092","(20,22146)","(20,336260)","","(20,605232)","(4,13448)"
"142010093","(20,22630)","(20,347333)","","(20,625164)","(4,13891)"
"142010094","(20,23119)","(20,358648)","","(20,645531)","(4,14344)"
"142010095","(20,23613)","(20,370208)","","(20,666338)","(4,14806)"
"142010096","(20,24113)","(20,382014)","","(20,687590)","(4,15278)"
"142010097","(20,24618)","(20,394071)","","(20,709291)","(4,15760)"
"142010098","(20,25128)","(20,406380)","","(20,731448)","(4,16253)"
"142010099","(20,25643)","(20,418944)","93000164","(20,754063)","(4,16755)"
"142010100","","(20,431765)","","(20,777141)","(4,17268)"
"142020001","(20,171)","(20,65)","","(20,65)","(4,0)"
"142020002","(20,177)","(20,151)","","(20,219)","(4,3)"
"142020003","(20,191)","(20,239)","","(20,379)","(4,6)"
"142020004","(20,212)","(20,335)","","(20,551)","(4,10)"
"142020005","(20,239)","(20,441)","","(20,741)","(4,14)"
"142020006","(20,273)","(20,560)","93000164","(20,956)","(4,19)"
"142020007","(20,314)","(20,697)","","(20,1202)","(4,25)"
"142020008","(20,361)","(20,854)","","(20,1485)","(4,31)"
"142020009","(20,416)","(20,1034)","","(20,1810)","(4,38)"
"142020010","(20,477)","(20,1242)","","(20,2184)","(4,47)"
"142020011","(20,545)","(20,1481)","","(20,2613)","(4,56)"
"142020012","(20,620)","(20,1753)","","(20,3104)","(4,67)"
"142020013","(20,702)","(20,2063)","","(20,3662)","(4,79)"
"142020014","(20,790)","(20,2414)","","(20,4294)","(4,93)"
"142020015","(20,885)","(20,2809)","","(20,5005)","(4,109)"
"142020016","(20,988)","(20,3252)","","(20,5801)","(4,127)"
"142020017","(20,1096)","(20,3746)","","(20,6690)","(4,147)"
"142020018","(20,1212)","(20,4294)","","(20,7677)","(4,169)"
"142020019","(20,1335)","(20,4900)","93000163","(20,8768)","(4,193)"
"142020020","(20,1464)","(20,5567)","","(20,9969)","(4,220)"
"142020021","(20,1600)","(20,6299)","","(20,11287)","(4,249)"
"142020022","(20,1743)","(20,7099)","","(20,12727)","(4,281)"
"142020023","(20,1893)","(20,7971)","","(20,14295)","(4,316)"
"142020024","(20,2050)","(20,8917)","","(20,15999)","(4,354)"
"142020025","(20,2213)","(20,9942)","","(20,17844)","(4,395)"
"142020026","(20,2383)","(20,11049)","","(20,19836)","(4,439)"
"142020027","(20,2560)","(20,12240)","","(20,21980)","(4,486)"
"142020028","(20,2744)","(20,13520)","","(20,24284)","(4,538)"
"142020029","(20,2935)","(20,14892)","93000163","(20,26754)","(4,593)"
"142020030","(20,3132)","(20,16360)","","(20,29396)","(4,651)"
"142020031","(20,3336)","(20,17926)","","(20,32214)","(4,714)"
"142020032","(20,3547)","(20,19594)","","(20,35217)","(4,781)"
"142020033","(20,3765)","(20,21367)","","(20,38409)","(4,852)"
"142020034","(20,3990)","(20,23250)","","(20,41798)","(4,927)"
"142020035","(20,4221)","(20,25245)","","(20,45389)","(4,1007)"
"142020036","(20,4459)","(20,27355)","","(20,49187)","(4,1091)"
"142020037","(20,4704)","(20,29585)","","(20,53201)","(4,1180)"
"142020038","(20,4956)","(20,31937)","","(20,57434)","(4,1274)"
"142020039","(20,5215)","(20,34415)","93000163","(20,61895)","(4,1373)"
"142020040","(20,5480)","(20,37022)","","(20,66588)","(4,1478)"
"142020041","(20,5753)","(20,39762)","","(20,71520)","(4,1587)"
"142020042","(20,6032)","(20,42639)","","(20,76698)","(4,1702)"
"142020043","(20,6318)","(20,45655)","","(20,82127)","(4,1823)"
"142020044","(20,6611)","(20,48814)","","(20,87813)","(4,1949)"
"142020045","(20,6910)","(20,52119)","","(20,93763)","(4,2082)"
"142020046","(20,7216)","(20,55574)","","(20,99982)","(4,2220)"
"142020047","(20,7530)","(20,59182)","","(20,106476)","(4,2364)"
"142020048","(20,7849)","(20,62947)","","(20,113253)","(4,2515)"
"142020049","(20,8176)","(20,66872)","93000164","(20,120317)","(4,2672)"
"142020050","(20,8510)","(20,70960)","","(20,127676)","(4,2835)"
"142020051","(20,8850)","(20,75215)","","(20,135335)","(4,3005)"
"142020052","(20,9197)","(20,79640)","","(20,143300)","(4,3182)"
"142020053","(20,9551)","(20,84238)","","(20,151577)","(4,3366)"
"142020054","(20,9912)","(20,89014)","","(20,160173)","(4,3557)"
"142020055","(20,10280)","(20,93970)","","(20,169094)","(4,3756)"
"142020056","(20,10654)","(20,99110)","","(20,178346)","(4,3961)"
"142020057","(20,11035)","(20,104437)","","(20,187934)","(4,4174)"
"142020058","(20,11423)","(20,109954)","","(20,197866)","(4,4395)"
"142020059","(20,11818)","(20,115666)","93000164","(20,208146)","(4,4623)"
"142020060","(20,12220)","(20,121575)","","(20,218783)","(4,4860)"
"142020061","(20,12628)","(20,127685)","","(20,229781)","(4,5104)"
"142020062","(20,13044)","(20,133999)","","(20,241146)","(4,5357)"
"142020063","(20,13466)","(20,140521)","","(20,252885)","(4,5618)"
"142020064","(20,13894)","(20,147254)","","(20,265005)","(4,5887)"
"142020065","(20,14330)","(20,154201)","","(20,277509)","(4,6165)"
"142020066","(20,14773)","(20,161366)","","(20,290406)","(4,6451)"
"142020067","(20,15222)","(20,168752)","","(20,303702)","(4,6747)"
"142020068","(20,15678)","(20,176363)","","(20,317402)","(4,7051)"
"142020069","(20,16141)","(20,184202)","93000164","(20,331512)","(4,7365)"
"142020070","(20,16611)","(20,192273)","","(20,346039)","(4,7688)"
"142020071","(20,17087)","(20,200578)","","(20,360989)","(4,8020)"
"142020072","(20,17570)","(20,209122)","","(20,376367)","(4,8362)"
"142020073","(20,18061)","(20,217907)","","(20,392180)","(4,8713)"
"142020074","(20,18558)","(20,226937)","","(20,408435)","(4,9074)"
"142020075","(20,19061)","(20,236216)","","(20,425137)","(4,9446)"
"142020076","(20,19572)","(20,245747)","","(20,442292)","(4,9827)"
"142020077","(20,20089)","(20,255533)","","(20,459907)","(4,10218)"
"142020078","(20,20613)","(20,265577)","","(20,477987)","(4,10620)"
"142020079","(20,21144)","(20,275884)","93000164","(20,496539)","(4,11032)"
"142020080","(20,21682)","(20,286456)","","(20,515568)","(4,11455)"
"142020081","(20,22227)","(20,297297)","","(20,535082)","(4,11889)"
"142020082","(20,22778)","(20,308410)","","(20,555086)","(4,12333)"
"142020083","(20,23336)","(20,319799)","","(20,575587)","(4,12789)"
"142020084","(20,23901)","(20,331467)","","(20,596589)","(4,13256)"
"142020085","(20,24473)","(20,343418)","","(20,618100)","(4,13734)"
"142020086","(20,25052)","(20,355654)","","(20,640126)","(4,14223)"
"142020087","(20,25637)","(20,368180)","","(20,662672)","(4,14724)"
"142020088","(20,26230)","(20,380999)","","(20,685746)","(4,15237)"
"142020089","(20,26829)","(20,394114)","93000164","(20,709353)","(4,15761)"
"142020090","(20,27434)","(20,407528)","","(20,733499)","(4,16298)"
"142020091","(20,28047)","(20,421245)","","(20,758189)","(4,16847)"
"142020092","(20,28667)","(20,435269)","","(20,783432)","(4,17408)"
"142020093","(20,29293)","(20,449602)","","(20,809232)","(4,17981)"
"142020094","(20,29926)","(20,464249)","","(20,835596)","(4,18567)"
"142020095","(20,30566)","(20,479212)","","(20,862529)","(4,19165)"
"142020096","(20,31213)","(20,494495)","","(20,890039)","(4,19777)"
"142020097","(20,31866)","(20,510101)","","(20,918130)","(4,20401)"
"142020098","(20,32526)","(20,526034)","","(20,946810)","(4,21038)"
"142020099","(20,33194)","(20,542297)","93000164","(20,976083)","(4,21689)"
"142020100","","(20,558894)","","(20,1005958)","(4,22353)"
"142030001","(20,217)","(20,93)","","(20,93)","(4,0)"
"142030002","(20,226)","(20,202)","","(20,288)","(4,4)"
"142030003","(20,243)","(20,315)","","(20,492)","(4,8)"
"142030004","(20,269)","(20,436)","","(20,710)","(4,13)"
"142030005","(20,304)","(20,571)","","(20,952)","(4,19)"
"142030006","(20,347)","(20,723)","","(20,1226)","(4,25)"
"142030007","(20,399)","(20,896)","","(20,1538)","(4,32)"
"142030008","(20,460)","(20,1096)","","(20,1897)","(4,40)"
"142030009","(20,529)","(20,1326)","","(20,2311)","(4,49)"
"142030010","(20,607)","(20,1590)","","(20,2788)","(4,59)"
"142030011","(20,694)","(20,1894)","","(20,3334)","(4,71)"
"142030012","(20,789)","(20,2241)","","(20,3958)","(4,85)"
"142030013","(20,893)","(20,2635)","","(20,4669)","(4,101)"
"142030014","(20,1006)","(20,3082)","","(20,5472)","(4,119)"
"142030015","(20,1127)","(20,3585)","","(20,6378)","(4,139)"
"142030016","(20,1257)","(20,4148)","","(20,7392)","(4,162)"
"142030017","(20,1396)","(20,4777)","","(20,8523)","(4,187)"
"142030018","(20,1543)","(20,5475)","","(20,9780)","(4,215)"
"142030019","(20,1699)","(20,6246)","93000163","(20,11168)","(4,246)"
"142030020","(20,1864)","(20,7096)","","(20,12697)","(4,280)"
"142030021","(20,2037)","(20,8028)","","(20,14375)","(4,317)"
"142030022","(20,2219)","(20,9046)","","(20,16208)","(4,358)"
"142030023","(20,2410)","(20,10156)","","(20,18205)","(4,402)"
"142030024","(20,2609)","(20,11361)","","(20,20374)","(4,450)"
"142030025","(20,2817)","(20,12665)","","(20,22723)","(4,502)"
"142030026","(20,3034)","(20,14074)","","(20,25258)","(4,559)"
"142030027","(20,3259)","(20,15591)","","(20,27988)","(4,619)"
"142030028","(20,3493)","(20,17220)","","(20,30922)","(4,685)"
"142030029","(20,3736)","(20,18967)","93000163","(20,34065)","(4,754)"
"142030030","(20,3987)","(20,20835)","","(20,37428)","(4,829)"
"142030031","(20,4247)","(20,22828)","","(20,41016)","(4,909)"
"142030032","(20,4516)","(20,24952)","","(20,44838)","(4,994)"
"142030033","(20,4793)","(20,27210)","","(20,48903)","(4,1084)"
"142030034","(20,5079)","(20,29606)","","(20,53216)","(4,1180)"
"142030035","(20,5374)","(20,32146)","","(20,57787)","(4,1282)"
"142030036","(20,5677)","(20,34833)","","(20,62624)","(4,1389)"
"142030037","(20,5989)","(20,37671)","","(20,67733)","(4,1503)"
"142030038","(20,6310)","(20,40666)","","(20,73123)","(4,1622)"
"142030039","(20,6639)","(20,43821)","93000163","(20,78802)","(4,1749)"
"142030040","(20,6977)","(20,47140)","","(20,84778)","(4,1881)"
"142030041","(20,7324)","(20,50629)","","(20,91057)","(4,2021)"
"142030042","(20,7679)","(20,54291)","","(20,97648)","(4,2167)"
"142030043","(20,8043)","(20,58130)","","(20,104560)","(4,2321)"
"142030044","(20,8416)","(20,62152)","","(20,111798)","(4,2482)"
"142030045","(20,8797)","(20,66360)","","(20,119373)","(4,2650)"
"142030046","(20,9187)","(20,70758)","","(20,127290)","(4,2826)"
"142030047","(20,9586)","(20,75352)","","(20,135558)","(4,3010)"
"142030048","(20,9993)","(20,80145)","","(20,144186)","(4,3202)"
"142030049","(20,10409)","(20,85141)","93000164","(20,153179)","(4,3401)"
"142030050","(20,10833)","(20,90346)","","(20,162547)","(4,3610)"
"142030051","(20,11267)","(20,95762)","","(20,172297)","(4,3826)"
"142030052","(20,11709)","(20,101396)","","(20,182437)","(4,4052)"
"142030053","(20,12159)","(20,107250)","","(20,192976)","(4,4286)"
"142030054","(20,12619)","(20,113330)","","(20,203919)","(4,4529)"
"142030055","(20,13087)","(20,119639)","","(20,215276)","(4,4781)"
"142030056","(20,13563)","(20,126183)","","(20,227054)","(4,5043)"
"142030057","(20,14049)","(20,132964)","","(20,239261)","(4,5314)"
"142030058","(20,14543)","(20,139989)","","(20,251905)","(4,5595)"
"142030059","(20,15045)","(20,147260)","93000164","(20,264994)","(4,5886)"
"142030060","(20,15557)","(20,154783)","","(20,278534)","(4,6187)"
"142030061","(20,16077)","(20,162561)","","(20,292535)","(4,6498)"
"142030062","(20,16605)","(20,170600)","","(20,307005)","(4,6820)"
"142030063","(20,17143)","(20,178902)","","(20,321949)","(4,7152)"
"142030064","(20,17689)","(20,187474)","","(20,337378)","(4,7495)"
"142030065","(20,18243)","(20,196318)","","(20,353298)","(4,7848)"
"142030066","(20,18807)","(20,205440)","","(20,369717)","(4,8213)"
"142030067","(20,19379)","(20,214843)","","(20,386643)","(4,8589)"
"142030068","(20,19959)","(20,224533)","","(20,404084)","(4,8977)"
"142030069","(20,20549)","(20,234512)","93000164","(20,422047)","(4,9376)"
"142030070","(20,21146)","(20,244787)","","(20,440541)","(4,9787)"
"142030071","(20,21753)","(20,255360)","","(20,459573)","(4,10210)"
"142030072","(20,22368)","(20,266236)","","(20,479150)","(4,10645)"
"142030073","(20,22992)","(20,277420)","","(20,499282)","(4,11093)"
"142030074","(20,23625)","(20,288916)","","(20,519974)","(4,11552)"
"142030075","(20,24266)","(20,300729)","","(20,541237)","(4,12025)"
"142030076","(20,24916)","(20,312862)","","(20,563076)","(4,12510)"
"142030077","(20,25575)","(20,325320)","","(20,585501)","(4,13009)"
"142030078","(20,26242)","(20,338107)","","(20,608518)","(4,13520)"
"142030079","(20,26918)","(20,351228)","93000164","(20,632136)","(4,14045)"
"142030080","(20,27603)","(20,364687)","","(20,656362)","(4,14583)"
"142030081","(20,28296)","(20,378489)","","(20,681205)","(4,15135)"
"142030082","(20,28998)","(20,392637)","","(20,706671)","(4,15701)"
"142030083","(20,29709)","(20,407136)","","(20,732769)","(4,16281)"
"142030084","(20,30428)","(20,421990)","","(20,759508)","(4,16875)"
"142030085","(20,31156)","(20,437204)","","(20,786893)","(4,17484)"
"142030086","(20,31893)","(20,452782)","","(20,814933)","(4,18107)"
"142030087","(20,32638)","(20,468729)","","(20,843637)","(4,18745)"
"142030088","(20,33392)","(20,485048)","","(20,873011)","(4,19398)"
"142030089","(20,34155)","(20,501744)","93000164","(20,903064)","(4,20065)"
"142030090","(20,34926)","(20,518821)","","(20,933803)","(4,20749)"
"142030091","(20,35706)","(20,536284)","","(20,965237)","(4,21447)"
"142030092","(20,36495)","(20,554137)","","(20,997372)","(4,22161)"
"142030093","(20,37292)","(20,572385)","","(20,1030218)","(4,22891)"
"142030094","(20,38098)","(20,591031)","","(20,1063780)","(4,23637)"
"142030095","(20,38913)","(20,610080)","","(20,1098069)","(4,24399)"
"142030096","(20,39736)","(20,629536)","","(20,1133090)","(4,25177)"
"142030097","(20,40568)","(20,649404)","","(20,1168853)","(4,25972)"
"142030098","(20,41409)","(20,669688)","","(20,1205364)","(4,26783)"
"142030099","(20,42258)","(20,690393)","93000164","(20,1242632)","(4,27611)"
"142030100","","(20,711522)","","(20,1280664)","(4,28457)"
"142040001","(20,267)","(20,128)","","(20,127.5)","(4,0)"
"142040002","(20,277)","(20,262)","","(20,368)","(4,5)"
"142040003","(20,299)","(20,400)","","(20,618)","(4,10)"
"142040004","(20,331)","(20,550)","","(20,887)","(4,16)"
"142040005","(20,373)","(20,715)","","(20,1185)","(4,23)"
"142040006","(20,426)","(20,902)","","(20,1520)","(4,30)"
"142040007","(20,490)","(20,1115)","","(20,1904)","(4,39)"
"142040008","(20,565)","(20,1360)","","(20,2345)","(4,49)"
"142040009","(20,650)","(20,1642)","","(20,2853)","(4,60)"
"142040010","(20,746)","(20,1967)","","(20,3438)","(4,73)"
"142040011","(20,852)","(20,2340)","","(20,4110)","(4,88)"
"142040012","(20,969)","(20,2766)","","(20,4876)","(4,105)"
"142040013","(20,1097)","(20,3251)","","(20,5748)","(4,124)"
"142040014","(20,1235)","(20,3799)","","(20,6736)","(4,146)"
"142040015","(20,1384)","(20,4417)","","(20,7847)","(4,171)"
"142040016","(20,1544)","(20,5109)","","(20,9093)","(4,199)"
"142040017","(20,1714)","(20,5881)","","(20,10482)","(4,230)"
"142040018","(20,1895)","(20,6738)","","(20,12025)","(4,264)"
"142040019","(20,2087)","(20,7685)","93000163","(20,13731)","(4,302)"
"142040020","(20,2289)","(20,8729)","","(20,15609)","(4,343)"
"142040021","(20,2502)","(20,9873)","","(20,17669)","(4,389)"
"142040022","(20,2726)","(20,11124)","","(20,19921)","(4,439)"
"142040023","(20,2960)","(20,12487)","","(20,22374)","(4,494)"
"142040024","(20,3205)","(20,13967)","","(20,25038)","(4,553)"
"142040025","(20,3460)","(20,15570)","","(20,27923)","(4,617)"
"142040026","(20,3726)","(20,17300)","","(20,31037)","(4,686)"
"142040027","(20,4003)","(20,19163)","","(20,34390)","(4,761)"
"142040028","(20,4291)","(20,21164)","","(20,37993)","(4,841)"
"142040029","(20,4589)","(20,23310)","93000163","(20,41855)","(4,927)"
"142040030","(20,4897)","(20,25604)","","(20,45985)","(4,1019)"
"142040031","(20,5217)","(20,28053)","","(20,50392)","(4,1116)"
"142040032","(20,5547)","(20,30661)","","(20,55087)","(4,1221)"
"142040033","(20,5888)","(20,33435)","","(20,60080)","(4,1332)"
"142040034","(20,6239)","(20,36379)","","(20,65379)","(4,1449)"
"142040035","(20,6601)","(20,39498)","","(20,70994)","(4,1574)"
"142040036","(20,6973)","(20,42799)","","(20,76935)","(4,1706)"
"142040037","(20,7357)","(20,46285)","","(20,83211)","(4,1846)"
"142040038","(20,7751)","(20,49964)","","(20,89832)","(4,1993)"
"142040039","(20,8155)","(20,53839)","93000163","(20,96808)","(4,2148)"
"142040040","(20,8570)","(20,57917)","","(20,104147)","(4,2311)"
"142040041","(20,8996)","(20,62202)","","(20,111860)","(4,2482)"
"142040042","(20,9433)","(20,66700)","","(20,119957)","(4,2662)"
"142040043","(20,9880)","(20,71416)","","(20,128446)","(4,2851)"
"142040044","(20,10337)","(20,76356)","","(20,137338)","(4,3049)"
"142040045","(20,10806)","(20,81525)","","(20,146642)","(4,3255)"
"142040046","(20,11285)","(20,86928)","","(20,156367)","(4,3471)"
"142040047","(20,11775)","(20,92570)","","(20,166524)","(4,3697)"
"142040048","(20,12275)","(20,98458)","","(20,177121)","(4,3933)"
"142040049","(20,12786)","(20,104595)","93000164","(20,188169)","(4,4178)"
"142040050","(20,13308)","(20,110988)","","(20,199676)","(4,4434)"
"142040051","(20,13840)","(20,117642)","","(20,211653)","(4,4700)"
"142040052","(20,14383)","(20,124562)","","(20,224109)","(4,4977)"
"142040053","(20,14936)","(20,131754)","","(20,237054)","(4,5264)"
"142040054","(20,15501)","(20,139222)","","(20,250496)","(4,5563)"
"142040055","(20,16075)","(20,146972)","","(20,264447)","(4,5873)"
"142040056","(20,16661)","(20,155010)","","(20,278915)","(4,6195)"
"142040057","(20,17257)","(20,163340)","","(20,293910)","(4,6528)"
"142040058","(20,17864)","(20,171969)","","(20,309441)","(4,6873)"
"142040059","(20,18481)","(20,180901)","93000164","(20,325518)","(4,7230)"
"142040060","(20,19109)","(20,190141)","","(20,342151)","(4,7600)"
"142040061","(20,19748)","(20,199696)","","(20,359349)","(4,7982)"
"142040062","(20,20397)","(20,209570)","","(20,377123)","(4,8377)"
"142040063","(20,21058)","(20,219768)","","(20,395480)","(4,8785)"
"142040064","(20,21728)","(20,230297)","","(20,414432)","(4,9206)"
"142040065","(20,22410)","(20,241161)","","(20,433987)","(4,9641)"
"142040066","(20,23101)","(20,252366)","","(20,454156)","(4,10089)"
"142040067","(20,23804)","(20,263917)","","(20,474947)","(4,10551)"
"142040068","(20,24517)","(20,275819)","","(20,496371)","(4,11027)"
"142040069","(20,25241)","(20,288077)","93000164","(20,518436)","(4,11517)"
"142040070","(20,25976)","(20,300698)","","(20,541153)","(4,12022)"
"142040071","(20,26721)","(20,313686)","","(20,564531)","(4,12542)"
"142040072","(20,27477)","(20,327046)","","(20,588580)","(4,13076)"
"142040073","(20,28243)","(20,340785)","","(20,613310)","(4,13626)"
"142040074","(20,29020)","(20,354906)","","(20,638728)","(4,14191)"
"142040075","(20,29808)","(20,369416)","","(20,664846)","(4,14771)"
"142040076","(20,30607)","(20,384320)","","(20,691674)","(4,15367)"
"142040077","(20,31416)","(20,399624)","","(20,719220)","(4,15979)"
"142040078","(20,32235)","(20,415332)","","(20,747494)","(4,16608)"
"142040079","(20,33066)","(20,431449)","93000164","(20,776506)","(4,17252)"
"142040080","(20,33907)","(20,447982)","","(20,806265)","(4,17914)"
"142040081","(20,34758)","(20,464936)","","(20,836781)","(4,18592)"
"142040082","(20,35621)","(20,482315)","","(20,868064)","(4,19287)"
"142040083","(20,36494)","(20,500125)","","(20,900123)","(4,19999)"
"142040084","(20,37377)","(20,518372)","","(20,932967)","(4,20729)"
"142040085","(20,38271)","(20,537061)","","(20,966606)","(4,21477)"
"142040086","(20,39176)","(20,556196)","","(20,1001050)","(4,22242)"
"142040087","(20,40092)","(20,575784)","","(20,1036309)","(4,23026)"
"142040088","(20,41018)","(20,595830)","","(20,1072392)","(4,23828)"
"142040089","(20,41955)","(20,616339)","93000164","(20,1109308)","(4,24648)"
"142040090","(20,42902)","(20,637317)","","(20,1147067)","(4,25487)"
"142040091","(20,43860)","(20,658768)","","(20,1185679)","(4,26345)"
"142040092","(20,44829)","(20,680698)","","(20,1225153)","(4,27222)"
"142040093","(20,45809)","(20,703112)","","(20,1265499)","(4,28119)"
"142040094","(20,46799)","(20,726017)","","(20,1306727)","(4,29035)"
"142040095","(20,47799)","(20,749416)","","(20,1348846)","(4,29971)"
"142040096","(20,48811)","(20,773316)","","(20,1391865)","(4,30927)"
"142040097","(20,49833)","(20,797721)","","(20,1435795)","(4,31903)"
"142040098","(20,50865)","(20,822638)","","(20,1480645)","(4,32900)"
"142040099","(20,51908)","(20,848070)","93000164","(20,1526424)","(4,33917)"
"142040100","","(20,874024)","","(20,1573141)","(4,34955)"
