"AttributeId","UseType","MoneyChange","ItemGet","RoleAttributeChange","UseCD","WidgetJumpArray","SpawnNpcId","TitleGet","BagSendInType","FriendlinessAdd","OtherRecvItemID","LevelUp","FuncLevelLimit","UpgradeProtectInfoArray","ReducePkValue","GetRechargeNum","logic_id","NeedRedTip","EffectiveTime","ExperienceVipLevel","AddMapCount","ExpNum","ChooseItem","MeditationMedicineTime","OnlyUseInSelfServer","AddHeartValue","SummonNpcID","AddMapTimeArr"
"32000033","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000034","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000035","3","0","0","0","0","(-1,90090497,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000036","3","0","0","0","0","(-1,90090497,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000037","3","0","0","0","0","(-1,90090497,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000038","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000039","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000040","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000041","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000042","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000043","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000044","3","0","0","0","0","(-1,90090023,92230004,2,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000045","3","0","0","0","0","(-1,90090498,92150005,6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000046","3","0","0","0","0","(-1,90090498,92150005,8,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000047","3","0","0","0","0","(-1,90090498,92150005,7,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000048","1","0","70980014","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000049","0","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000050","3","0","0","0","0","(-1,90090497,92170004,10,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000051","3","0","0","0","0","(-1,90090497,92170004,11,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000052","3","0","0","0","0","(-1,90090497,92170004,12,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000053","3","0","0","0","0","(-1,90090497,92170004,6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000054","3","0","0","0","0","(-1,90090497,92170004,7,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000055","3","0","0","0","0","(-1,90090497,92170004,8,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000056","3","0","0","0","0","(-1,90090497,92170004,13,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000057","3","0","0","0","0","(-1,90090497,92170004,9,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000058","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000059","1","0","0","0","0","","","0","2","0","","(100,1,1807500)","0","","0","","","","","","","","","","","","",""
"32000060","1","0","0","0","0","","","0","2","0","","(200,1,59049900)","0","","0","","","","","","","","","","","","",""
"32000061","1","0","0","0","0","","","0","2","0","","(999,1,711529700)","0","","0","","","","","","","","","","","","",""
"32000062","3","0","0","0","0","(-1,90090026,92220016,-1,-1)","","0","2","0","","0","(5,30)","(3,25)","0","","","","","","","","","","","","",""
"32000063","3","0","0","0","0","(-1,90090026,92220016,-1,-1)","","0","2","0","","0","(5,30)","(2,0)","0","","","","","","","","","","","","",""
"32000064","1","0","0","0","1","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000065","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000066","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000067","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000068","1","0","0","0","0","","","0","2","0","","0","0","","90096665","","","","","","","","","","","","",""
"32000069","1","0","0","0","0","","","0","2","0","","0","0","","(2,5000)","","","","","","","","","","","","",""
"32000070","1","0","0","0","0","","","0","2","0","","0","0","","(1,1500)","","","","","","","","","","","","",""
"32000071","1","0","0","0","0","","","0","2","0","","0","0","","(0,300)","","","","","","","","","","","","",""
"32000072","1","0","70990069","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000073","3","0","0","0","0","(-1,90090497,92170004,14,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000074","1","0","70990076","0","0","(-1,90090497,92170004,6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000075","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000076","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000077","1","0","70990081","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000078","1","0","70990077","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000079","1","0","70990080","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000080","1","0","70990079","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000081","1","0","70990082","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000082","1","0","70990083","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000083","1","0","70990077","0","0","(-1,90090497,92170004,7,-1)","","0","2","0","","0","0","","0","","","1","86400","","","","","","","","",""
"32000084","1","0","70990079","0","0","(-1,90090498,92150005,6,-1)","","0","2","0","","0","0","","0","","","1","86400","","","","","","","","",""
"32000085","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000086","3","0","0","0","0","(-1,90069510,92300002,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000087","3","0","0","0","0","(-1,90090139,92300003,0,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000088","3","0","0","0","0","(-1,90090017,92300003,5,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000089","3","0","0","0","0","(-1,90050172,92300003,2,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000090","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000091","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000092","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000093","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000094","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000095","3","0","0","0","0","(-1,90090016,92300003,4,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000096","3","0","0","0","0","(-1,90202842,92720005,3,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000097","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000098","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000099","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000100","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000101","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000102","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000103","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000104","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000105","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000106","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000107","2","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","5","","","","","",""
"32000108","2","(31,1)","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000109","2","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000110","2","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000111","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000112","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000113","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000114","3","0","0","0","0","(-1,90090497,92170004,21,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000115","2","0","0","0","0","","","0","2","0","","(1,1,505800)","0","","0","","","","","","","","","","","","",""
"32000116","2","0","0","0","0","","","0","2","0","","(1,1,1341000)","0","","0","","","","","","","","","","","","",""
"32000117","2","0","0","0","0","","","0","2","0","","(1,1,2457000)","0","","0","","","","","","","","","","","","",""
"32000118","2","0","0","0","0","","","0","2","0","","(1,1,3202000)","0","","0","","","","","","","","","","","","",""
"32000119","2","0","0","0","0","","","0","2","0","","(1,1,22650800)","0","","0","","","","","","","","","","","","",""
"32000120","2","0","0","0","0","","","0","2","0","","(1,1,58279200)","0","","0","","","","","","","","","","","","",""
"32000121","2","0","0","0","0","","","0","2","0","","(1,1,118099800)","0","","0","","","","","","","","","","","","",""
"32000122","2","0","0","0","0","","","0","2","0","","(1,1,359718000)","0","","0","","","","","","","","","","","","",""
"32000123","2","0","0","0","0","","","0","2","0","","(1,1,538216600)","0","","0","","","","","","","","","","","","",""
"32000124","2","0","0","0","0","","","0","2","0","","(1,1,799024800)","0","","0","","","","","","","","","","","","",""
"32000125","2","0","0","0","0","","","0","2","0","","(1,1,298000)","0","","0","","","","","","","","","","","","",""
"32000126","2","0","0","0","0","","","0","2","0","","(1,1,400000)","0","","0","","","","","","","","","","","","",""
"32000127","2","0","0","0","0","","","0","2","0","","(1,1,80000000)","0","","0","","","","","","","","","","","","",""
"32000128","2","0","0","0","0","","","0","2","0","","(1,1,3615000)","0","","0","","","","","","","","","","","","",""
"32000129","2","0","0","0","0","","","0","2","0","","(1,1,8367600)","0","","0","","","","","","","","","","","","",""
"32000130","2","0","0","0","0","","","0","2","0","","(1,1,19608200)","0","","0","","","","","","","","","","","","",""
"32000131","2","0","0","0","0","","","0","2","0","","(1,1,34314600)","0","","0","","","","","","","","","","","","",""
"32000132","2","0","0","0","0","","","0","2","0","","(1,1,1796000)","0","","0","","","","","","","","","","","","",""
"32000133","2","0","0","0","0","","","0","2","0","","(1,1,2247000)","0","","0","","","","","","","","","","","","",""
"32000134","2","0","0","0","0","","","0","2","0","","(1,1,2795000)","0","","0","","","","","","","","","","","","",""
"32000135","2","0","0","0","0","","","0","2","0","","(1,1,3422000)","0","","0","","","","","","","","","","","","",""
"32000136","2","0","0","0","0","","","0","2","0","","(1,1,4168000)","0","","0","","","","","","","","","","","","",""
"32000137","2","0","0","0","0","","","0","2","0","","(1,1,5048000)","0","","0","","","","","","","","","","","","",""
"32000138","2","0","0","0","0","","","0","2","0","","(1,1,6083000)","0","","0","","","","","","","","","","","","",""
"32000139","2","0","0","0","0","","","0","2","0","","(1,1,7293000)","0","","0","","","","","","","","","","","","",""
"32000140","2","0","0","0","0","","","0","2","0","","(1,1,8701000)","0","","0","","","","","","","","","","","","",""
"32000141","2","0","0","0","0","","","0","2","0","","(1,1,10331000)","0","","0","","","","","","","","","","","","",""
"32000142","2","0","0","0","0","","","0","2","0","","(1,1,12210000)","0","","0","","","","","","","","","","","","",""
"32000143","2","0","0","0","0","","","0","2","0","","(1,1,14367000)","0","","0","","","","","","","","","","","","",""
"32000144","2","0","0","0","0","","","0","2","0","","(1,1,16832000)","0","","0","","","","","","","","","","","","",""
"32000145","2","0","0","0","0","","","0","2","0","","(1,1,218000)","0","","0","","","","","","","","","","","","",""
"32000146","2","0","0","0","0","","","0","2","0","","(1,1,460000)","0","","0","","","","","","","","","","","","",""
"32000147","2","0","0","0","0","","","0","2","0","","(1,1,882000)","0","","0","","","","","","","","","","","","",""
"32000148","2","0","0","0","0","","","0","2","0","","(1,1,1602000)","0","","0","","","","","","","","","","","","",""
"32000149","2","0","0","0","0","","","0","2","0","","(1,1,840103200)","0","","0","","","","","","","","","","","","",""
"32000150","2","0","0","0","0","","","0","2","0","","(1,1,1839701880)","0","","0","","","","","","","","","","","","",""
"32000151","2","0","0","0","0","","","0","2","0","","(1,1,15052668960)","0","","0","","","","","","","","","","","","",""
"32000152","2","0","0","0","0","","","0","2","0","","(1,1,28476064260)","0","","0","","","","","","","","","","","","",""
"32000153","2","0","0","0","0","","","0","2","0","","(1,1,73490503860)","0","","0","","","","","","","","","","","","",""
"32000154","2","0","0","0","0","","","0","2","0","","(1,1,24570000)","0","","0","","","","","","","","","","","","",""
"32000155","2","0","0","0","0","","","0","2","0","","(1,1,35029000)","0","","0","","","","","","","","","","","","",""
"32000156","2","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","(0,71030001)","","","","","","","(7,300)"
"32000157","1","0","31040129","0","0","","","0","2","0","","0","0","","0","","","","600","","","","","","","","",""
"32000158","3","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000159","2","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","18000","","","",""
"32000160","3","0","0","0","0","(-1,90091294,92800002,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000161","3","0","0","0","0","(-1,90091277,92800003,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000162","2","0","70990431","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000163","2","0","70990432","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000164","2","0","70990433","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000165","0","0","","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000166","0","0","","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000167","3","0","0","0","0","(-1,90090017,92300003,1,-1)","","0","2","0","","0","0","","0","","","","","","(0,71110001)","","","","","","",""
"32000168","3","0","0","0","0","(-1,-1,92180011,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000169","3","0","0","0","0","(-1,90091277,92800007,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000170","2","0","70990434","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000171","0","0","","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000172","3","0","0","0","0","(-1,90090497,92170004,15,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000173","3","0","0","0","0","(-1,90201880,92150003,2,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000174","3","0","0","0","0","(-1,90201880,92150003,3,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000175","3","0","0","0","0","(-1,90201880,92150003,0,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000176","3","0","0","0","0","(-1,90201880,92150003,1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000177","3","0","0","0","0","(-1,90201880,92150003,0,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000178","3","0","0","0","0","(-1,90201880,92150003,1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000179","3","0","0","0","0","(-1,90201880,92150003,2,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000180","3","0","0","0","0","(-1,90201880,92150003,3,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000181","2","0","70990447","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000182","0","0","","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000183","0","0","","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000184","0","0","","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000185","3","0","0","0","0","(-1,90090497,92170004,16,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000186","3","0","0","0","0","(-1,90090497,92170004,18,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000187","3","0","0","0","0","(-1,90090497,92170004,17,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000188","3","0","0","0","0","(-1,90209417,92390009,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000189","3","0","0","0","0","(-1,90209417,92390009,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000190","3","0","0","0","0","(-1,90209417,92390009,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000191","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000192","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000193","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000194","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000195","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000196","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000197","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000198","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000199","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000200","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000201","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000202","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000203","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000204","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000205","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000206","3","0","0","0","0","(-1,90209412,92680001,-6,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000207","3","0","0","0","0","(-1,90209417,92390009,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000208","3","0","0","0","0","(-1,90090497,92170004,19,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000209","3","0","0","0","0","(-1,90090497,92170004,20,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000210","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000211","3","0","0","0","0","(-1,90209412,92810036,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000212","3","0","0","0","0","(-1,90209412,92810036,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000213","3","0","0","0","0","(-1,90209412,92810036,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000214","3","0","0","0","0","(-1,90209412,92810036,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000215","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","(1,1)","","","","","","",""
"32000216","3","0","0","0","0","(-1,90305679,92710001,43,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000217","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000218","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000219","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000220","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000221","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000222","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000223","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000224","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000225","3","0","0","0","0","(-1,90097302,92810187,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000226","3","0","0","0","0","(-1,90305891,92710001,48,0)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000227","3","0","0","0","0","(-1,90305891,92710001,48,1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000228","3","0","0","0","0","(-1,90305891,92710001,48,2)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000229","3","0","0","0","0","(-1,90305891,92710001,48,3)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000230","3","0","0","0","0","(-1,90305891,92710001,48,4)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000231","3","0","0","0","0","(-1,90305946,92710001,49,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000232","3","0","0","0","0","(-1,90306058,92710001,71,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000233","3","0","0","0","0","(-1,90090497,92170004,21,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000234","2","(30,1)","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32142099","3","0","0","0","0","(-1,90091294,92810240,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000235","3","0","0","0","0","(-1,90091294,92810240,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000236","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000237","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000238","3","0","0","0","0","(-1,90090498,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
