"AttributeId","ShowType","ContentText","LiveTime","OpenWidgetArray","VisibleType","ShowIcon","ChangeIconTime","RobotRespond","AutoRespondIdArray","ParseTypeArrray","LaunchNoticeBossId","NoticeActType"
"93000201","(1,3)","(90300199)","","","1","","","","","(0,2)","",""
"93000202","(1)","(90300200)","","","0","","","","","(0,4)","",""
"93000203","(1)","(90300201)","","","1","","","","","(0,4)","",""
"93000204","(1,3)","(90300215)","","","","","","","","(0,1)","",""
"93000205","(4)","(90091045)","","(-1,0,92290003,-1,-1)","","","","","","","",""
"93000206","(4)","(90091046)","","(-1,1,92290003,-1,-1)","","","","","","","",""
"93000207","(4)","(90091047)","","(-1,2,92290003,-1,-1)","","","","","","","",""
"93000208","(4)","(90091048)","","(-1,3,92290003,-1,-1)","","","","","","","",""
"93000209","(4)","(90091049)","","(-1,4,92290003,-1,-1)","","","","","","","",""
"93000210","(4)","(90091050)","","(-1,5,92290003,-1,-1)","","","","","","","",""
"93000211","(4)","(90091051)","","(-1,6,92290003,-1,-1)","","","","","","","",""
"93000212","(4)","(90091052)","","(-1,7,92290003,-1,-1)","","","","","","","",""
"93000213","(4)","(90091053)","","(-1,0,92290004,-1,-1)","","","","","","","",""
"93000214","(1,3)","(90091054)","","","","","","","","","",""
"93000215","(4)","(90091055)","","(-1,0,92290003,-1,-1)","","","","","","","",""
"93000216","(4)","(90091056)","","(-1,1,92290003,-1,-1)","","","","","","","",""
"93000217","(4)","(90091057)","","(-1,2,92290003,-1,-1)","","","","","","","",""
"93000218","(4)","(90091058)","","(-1,3,92290003,-1,-1)","","","","","","","",""
"93000219","(4)","(90091059)","","(-1,4,92290003,-1,-1)","","","","","","","",""
"93000220","(4)","(90091060)","","(-1,5,92290003,-1,-1)","","","","","","","",""
"93000221","(4)","(90091061)","","(-1,6,92290003,-1,-1)","","","","","","","",""
"93000222","(4)","(90091062)","","(-1,7,92290003,-1,-1)","","","","","","","",""
"93000223","(4)","(90091063)","","(-1,0,92290004,-1,-1)","","","","","","","","11"
"93000224","(4)","(90091064)","","(-1,1,92290004,-1,-1)","","","","","","","",""
"93000225","(4)","(90091065)","","(-1,2,92290004,-1,-1)","","","","","","","",""
"93000226","(4)","(90091066)","","(-1,3,92290004,-1,-1)","","","","","","","",""
"93000227","(4)","(90091067)","","(-1,4,92290004,-1,-1)","","","","","","","",""
"93000228","(4)","(90091068)","","(-1,5,92290004,-1,-1)","","","","","","","",""
"93000229","(4)","(90091069)","","(-1,6,92290004,-1,-1)","","","","","","","",""
"93000230","(3)","(90095260)","","","1","","","","","(0,2)","",""
"93000231","(4)","(90095259)","","","1","","","","","(0,5)","",""
"93000232","(1)","(90095262)","","","","","","","","(0,1)","",""
"93000233","(3)","(90089566)","","","4","","","","","","",""
"93000234","(3)","(90300218)","","","","","","","","(0,3)","",""
"93000235","(1,3)","(90300219)","","","","","","","","(0,3)","",""
"93000236","(1,3)","(90300220)","","","0","","","","","(0,3)","",""
"93000237","(1,3)","(90300221)","","","0","","","","","(0,3)","",""
"93000238","(1,3)","(90300222)","","","0","","","","","(0,3)","",""
"93000239","(1,3)","(90300223)","","","0","","","","","(0,3)","",""
"93000240","(1,3)","(90300224)","","","0","","","","","(0,1)","",""
"93000241","(3)","(90300224)","","","0","","","","","(0,1)","",""
"93000242","(1,3)","(90300225)","","","0","","","","","(0,4,2)","",""
"93000243","(1,3)","(90300226)","","","3","","","","","(2,2,2,2)","",""
"93000244","(1,3)","(90300227)","","","3","","","","","(2,2,2,2)","",""
"93000245","(1,3)","(90300228)","","","3","","","","","(2,5,2,2)","",""
"93000246","(1,3)","(90300229)","","","3","","","","","(2,2,2)","",""
"93000247","(1,3)","(90300230)","","","3","","","","","(2,2,2,2)","",""
"93000248","(1,3)","(90300231)","","","3","","","","","(2,2,2,2)","",""
"93000249","(1,3)","(90300232)","","","3","","","","","(2,2,2,2)","",""
"93000250","(1,3)","(90300233)","","","3","","","","","(2,2,2,2)","",""
"93000251","(1,3)","(90091254)","","","","","","","","(0,3)","",""
"93000252","(1,3)","(90300234)","","","0","","","","","(0,4,2)","",""
"93000253","(5)","(90096111)","","","3","","","","","","",""
"93000254","(4)","(90305121)","","","1","","","(130000008)","-90300125","(0,5)","",""
"93000255","(3)","(90303069)","","","1","","","","","(5,5)","",""
"93000256","(3)","(90096341)","","","1","","","","","(0)","",""
"93000257","(3)","(90096342)","","","1","","","","","(0)","",""
"93000258","(3)","(90096343)","","","1","","","","","(0)","",""
"93000259","(3)","(90305171)","","","1","","","","","(2)","",""
"93000260","(1,3)","(90300240)","","","0","","","","","(0,3)","",""
"93000261","(1,3)","(90300241)","","","0","","","","","(0,3)","",""
"93000262","(3)","(90305172)","","","1","","","","","","",""
"93000263","(3)","(90305222)","","","0","","","","","(0,1)","",""
"93000264","(3)","(90305228)","","","1","","","","","(0,1,2)","",""
"93000265","(3)","(90305229)","","","1","","","","","(0,1,2)","",""
"93000266","(3)","(90096611)","","","0","","","","","(5,5,5,5)","",""
"93000267","(3)","(90305270)","","","3","","","","","(5)","",""
"93000268","(1,3)","(90305271)","","","3","","","","","","",""
"93000269","(3)","(90305272)","","","3","","","","","(5,5,5)","",""
"93000270","(3)","(90305273)","","","3","","","","","(5,5)","",""
"93000271","(1,3)","(90305274)","","","3","","","","","(5)","",""
"93000272","(1,3)","(90305275)","","","3","","","","","(5,5,5)","",""
"93000273","(1,3)","(90305276)","","","3","","","","","(5,5)","",""
"93000274","(1,3)","(90305277)","","","3","","","","","(5)","",""
"93000275","(2)","(90305303,90097252)","120","(-1,-1,92800023,0,-1)","0","(91290290)","","(130000001)","","","","18"
"93000276","(3)","(90203488)","","","1","","","","","(5)","",""
"93000277","(2)","(90203393,90097253)","120","(-1,-1,92810007,0,-1)","0","(91290374)","","(130000001)","","","",""
"93000278","(1,3)","(90203560)","","","5","","","","","(5,5,5,5,1)","",""
"93000279","(2)","(90203603,90097256)","900","(-1,-1,92330038,-1,-1)","0","(91290130)","","(130000017)","","","",""
"93000280","(1,3)","(90203623)","","","0","","","(130000018)","","","",""
"93000281","(2)","(90203652,90097255)","1200","(-1,-1,92330020,-1,-1)","0","(91290133)","","(130000018)","","","",""
"93000282","(1,3)","(90305350)","","","3","","","","","(2)","",""
"93000283","(2)","(90203664,90097256)","900","(-1,-1,92330038,-1,-1)","0","(91290130)","","(130000017)","","","",""
"93000284","(1,3)","(90203699)","","","0","","","()","","(0)","",""
"93000285","(1,3)","(90203700)","","","0","","","()","","","",""
"93000286","(4)","(90203702)","","","1","","","()","(90300127)","","",""
"93000287","(4)","(90203713,90097255)","","(-1,0,92810013,-1,-1)","","(91290432)","","","","","",""
"93000288","(1,3)","(90203726)","","","5","","","","","(0)","",""
"93000289","(1,3)","(90203727)","","","5","","","","","(0)","",""
"93000290","(4)","(90203728)","","(-1,0,92810013,-1,-1)","1","","","","","","",""
"93000291","(1,3)","(90203736)","","","5","","","","","(5,5,5,1)","",""
"93000292","(1,3)","(90203761)","","","5","","","","","(5)","",""
"93000293","(1,3)","(90300246)","","","0","","","","","(0,1,0,4)","",""
"93000294","(3)","(90203845)","","","5","","","","","(5,5,5)","",""
"93000295","(3)","(90203846)","","","5","","","","","(5,5)","",""
"93000296","(3)","(90203988)","","","1","","","","","(5,5)","",""
"93000297","(3)","(90203989)","","","5","","","","","(5,5,5)","",""
"93000298","(3)","(90203990)","","","5","","","","","(5,5)","",""
"93000299","(3)","(90203993)","","","1","","","","","(5)","",""
"93000300","(3)","(90203996)","","","5","","","","","","",""
"93000301","(3)","(90203997)","","","1","","","","","(5,5)","",""
"93000302","(1,3)","(90305646)","","","3","","","","","(2)","",""
"93000303","(2)","","","(-1,-1,92230004,6,-1)","3","(91291055,91291056,91291057,91291058,91291059,91291060,91291061,91291062,91291063,91291064,91291065,91291066,91291067,91291068,91291069,91291070,91291071,91291072,91291073,91291074,91223122,91293564)","","","","","",""
"93000304","(1,3)","(90300247)","","","0","","","","","(0,3)","",""
"93000305","(1,3)","(90300248)","","","3","","","","","(2)","",""
"93000400","(3)","(90305417)","","","1","","","","","(0,5)","",""
"93000401","(3)","(90305418)","","","1","","","","","(5)","",""
"93000402","(3)","(90305419)","","","1","","","","","(5,2)","",""
"93000403","(3)","(90305420)","","","1","","","","","(2,2,2,0)","",""
"93000404","(1,3)","(90305421)","","","1","","","","","(5)","",""
"93000405","(1,3)","(90305422)","","","1","","","","","(5,5)","",""
"93000406","(1,3)","(90305423)","","","1","","","","","(5,5,5)","",""
"93000407","(3)","(90204026)","","","1","","","","","(5)","",""
"93000408","(3)","(90204029)","","","5","","","","","","",""
"93000409","(3)","(90204030)","","","1","","","","","(5,5)","",""
"93000410","(3)","(90204084)","","","1","","","","","","",""
"93000411","(1,3)","(90204084)","","","5","","","","","","",""
"93000412","(3)","(90204085)","","","1","","","","","","",""
"93000413","(1,3)","(90204085)","","","5","","","","","","",""
"93000414","(4)","(90204006,90097254)","","(-1,0,92810015,-1,-1)","","(91290721)","","","","","",""
"93000415","(1,3)","(90204089)","","","5","","","","","","",""
"93000416","(1)","(90096953)","","","","","","","","(0,1)","",""
"93000417","(3)","(90089577)","","","4","","","","","","",""
"93000418","(1)","(90096954)","","","","","","","","(0,1)","",""
"93000419","(3)","(90089578)","","","4","","","","","","",""
"93000420","(4)","(90305451,90097258)","","(-1,0,92810092,-1,-1)","","(91290839)","","","","","",""
"93000421","(3)","(90096960)","","","1","","","","","(2,0)","",""
"93000422","(3)","(90096961)","","","1","","","","","(5,5,5)","",""
"93000423","(4)","(90305424,90097257)","","(-1,0,92390001,3,-1)","","(91290840)","","","","","","23"
"93000424","(3)","(90204184)","","","1","","","","","(5,5,5,5,5)","",""
"93000425","(3)","(90204332)","","","1","","","","","(5,5,5)","",""
"93000426","(3)","(90204333)","","","1","","","","","(5,5,5)","",""
"93000427","(4)","(90305760,90097298)","","(-1,0,92810159,-1,-1)","","(91291091)","","","","","",""
"93000428","(3)","(90097310)","","","1","","","","","","",""
"93000429","(3)","(90097311)","","","1","","","","","","",""
"93000430","(1,3)","(90305932)","","","","","","","","","",""
"93000431","(4)","(90094003)","","(-1,0,92810212,-1,-1)","1","","","","","","","11"
"93000432","(4)","(90094004)","","(-1,0,92810212,-1,-1)","1","","","","","","",""
"93000433","(4)","(90094005)","","(-1,0,92810212,-1,-1)","1","","","","","","",""
"93000434","(1,3)","(90306077)","","","","","","","","","",""
"93000435","(4)","(90306310)","","(-1,0,92810245,-1,-1)","1","","","","","","",""
"93000436","(4)","(90306200,90306326)","","(-1,0,92810245,-1,-1)","","(91293502)","","","","","",""
"93000437","(1,3)","(90306391)","","","0","","","","","(0,3)","",""
"93000438","(1,3)","(90306392)","","","0","","","","","(0,3)","",""
