"AttributeId","UpgradeCost","RecoveryReward","Notice_id","DiamondRecoveryMoney","DiamondRecoveryCost","UpgradeNeedNum"
"54010037","(10,2276)","(10,15076)","","(10,30107)","(4,751)",""
"54010038","(10,2394)","(10,16214)","","(10,32383)","(4,808)",""
"54010039","(10,2516)","(10,17411)","93000163","(10,34777)","(4,868)",""
"54010040","(10,2640)","(10,18669)","","(10,37293)","(4,931)",""
"54010041","(10,2768)","(10,19989)","","(10,39933)","(4,997)",""
"54010042","(10,2900)","(10,21373)","","(10,42701)","(4,1066)",""
"54010043","(10,3034)","(10,22823)","","(10,45601)","(4,1138)",""
"54010044","(10,3172)","(10,24340)","","(10,48635)","(4,1214)",""
"54010045","(10,3312)","(10,25926)","","(10,51807)","(4,1294)",""
"54010046","(10,3456)","(10,27582)","","(10,55119)","(4,1376)",""
"54010047","(10,3604)","(10,29310)","","(10,58575)","(4,1463)",""
"54010048","(10,3754)","(10,31112)","","(10,62179)","(4,1553)",""
"54010049","(10,3908)","(10,32989)","93000164","(10,65933)","(4,1647)",""
"54010050","(10,4064)","(10,34943)","","(10,69841)","(4,1744)",""
"54010051","(10,4224)","(10,36975)","","(10,73905)","(4,1846)",""
"54010052","(10,4388)","(10,39087)","","(10,78129)","(4,1952)",""
"54010053","(10,4554)","(10,41281)","","(10,82517)","(4,2061)",""
"54010054","(10,4724)","(10,43558)","","(10,87071)","(4,2175)",""
"54010055","(10,4896)","(10,45920)","","(10,91795)","(4,2293)",""
"54010056","(10,5072)","(10,48368)","","(10,96691)","(4,2416)",""
"54010057","(10,5252)","(10,50904)","","(10,101763)","(4,2542)",""
"54010058","(10,5434)","(10,53530)","","(10,107015)","(4,2674)",""
"54010059","(10,5620)","(10,56247)","93000164","(10,112449)","(4,2810)",""
"54010060","(10,5808)","(10,59057)","","(10,118069)","(4,2950)",""
"54010061","(10,6000)","(10,61961)","","(10,123877)","(4,3095)",""
"54010062","(10,6196)","(10,64961)","","(10,129877)","(4,3245)",""
"54010063","(10,6394)","(10,68059)","","(10,136073)","(4,3400)",""
"54010064","(10,6596)","(10,71256)","","(10,142467)","(4,3560)",""
"54010065","(10,6800)","(10,74554)","","(10,149063)","(4,3725)",""
"54010066","(10,7008)","(10,77954)","","(10,155863)","(4,3895)",""
"54010067","(10,7220)","(10,81458)","","(10,162871)","(4,4070)",""
"54010068","(10,7434)","(10,85068)","","(10,170091)","(4,4251)",""
"54010069","(10,7652)","(10,88785)","93000164","(10,177525)","(4,4436)",""
"54010070","(10,7872)","(10,92611)","","(10,185177)","(4,4628)",""
"54010071","(10,8096)","(10,96547)","","(10,193049)","(4,4825)",""
"54010072","(10,8324)","(10,100595)","","(10,201145)","(4,5027)",""
"54010073","(10,8554)","(10,104757)","","(10,209469)","(4,5235)",""
"54010074","(10,8788)","(10,109034)","","(10,218023)","(4,5449)",""
"54010075","(10,9024)","(10,113428)","","(10,226811)","(4,5669)",""
"54010076","(10,9264)","(10,117940)","","(10,235835)","(4,5894)",""
"54010077","(10,9508)","(10,122572)","","(10,245099)","(4,6126)",""
"54010078","(10,9754)","(10,127326)","","(10,254607)","(4,6364)",""
"54010079","(10,10004)","(10,132203)","93000164","(10,264361)","(4,6607)",""
"54010080","(10,10256)","(10,137205)","","(10,274365)","(4,6857)",""
"54010081","(10,10512)","(10,142333)","","(10,284621)","(4,7114)",""
"54010082","(10,10772)","(10,147589)","","(10,295133)","(4,7377)",""
"54010083","(10,11034)","(10,152975)","","(10,305905)","(4,7646)",""
"54010084","(10,11300)","(10,158492)","","(10,316939)","(4,7922)",""
"54010085","(10,11568)","(10,164142)","","(10,328239)","(4,8204)",""
"54010086","(10,11840)","(10,169926)","","(10,339807)","(4,8494)",""
"54010087","(10,12116)","(10,175846)","","(10,351647)","(4,8790)",""
"54010088","(10,12394)","(10,181904)","","(10,363763)","(4,9092)",""
"54010089","(10,12676)","(10,188101)","93000164","(10,376157)","(4,9402)",""
"54010090","(10,12960)","(10,194439)","","(10,388833)","(4,9719)",""
"54010091","(10,13248)","(10,200919)","","(10,401793)","(4,10043)",""
"54010092","(10,13540)","(10,207543)","","(10,415041)","(4,10374)",""
"54010093","(10,13834)","(10,214313)","","(10,428581)","(4,10713)",""
"54010094","(10,14132)","(10,221230)","","(10,442415)","(4,11059)",""
"54010095","(10,14432)","(10,228296)","","(10,456547)","(4,11412)",""
"54010096","(10,14736)","(10,235512)","","(10,470979)","(4,11773)",""
"54010097","(10,15044)","(10,242880)","","(10,485715)","(4,12141)",""
"54010098","(10,15354)","(10,250402)","","(10,500759)","(4,12517)",""
"54010099","(10,15668)","(10,258079)","93000164","(10,516113)","(4,12901)",""
"54010100","(10,15984)","(10,265913)","","(10,531781)","(4,13293)",""
"54010101","(10,16304)","(10,273905)","","(10,547765)","(4,13692)",""
"54010102","(10,16628)","(10,282057)","","(10,564069)","(4,14100)",""
"54010103","(10,16954)","(10,290371)","","(10,580697)","(4,14516)",""
"54010104","(10,17284)","(10,298848)","","(10,597651)","(4,14940)",""
"54010105","(10,17616)","(10,307490)","","(10,614935)","(4,15372)",""
"54010106","(10,17952)","(10,316298)","","(10,632551)","(4,15812)",""
"54010107","(10,18292)","(10,325274)","","(10,650503)","(4,16261)",""
"54010108","(10,18634)","(10,334420)","","(10,668795)","(4,16718)",""
"54010109","(10,18980)","(10,343737)","","(10,687429)","(4,17184)",""
"54010110","(10,19328)","(10,353227)","","(10,706409)","(4,17659)",""
"54010111","(10,19680)","(10,362891)","","(10,725737)","(4,18142)",""
"54010112","(10,20036)","(10,372731)","","(10,745417)","(4,18634)",""
"54010113","(10,20394)","(10,382749)","","(10,765453)","(4,19135)",""
"54010114","(10,20756)","(10,392946)","","(10,785847)","(4,19645)",""
"54010115","(10,21120)","(10,403324)","","(10,806603)","(4,20163)",""
"54010116","(10,21488)","(10,413884)","","(10,827723)","(4,20691)",""
"54010117","(10,21860)","(10,424628)","","(10,849211)","(4,21229)",""
"54010118","(10,22234)","(10,435558)","","(10,871071)","(4,21775)",""
"54010119","(10,22612)","(10,446675)","93000164","(10,893305)","(4,22331)",""
"54010120","(10,22992)","(10,457981)","","(10,915917)","(4,22896)",""
"54010121","(10,23376)","(10,469477)","","(10,938909)","(4,23471)",""
"54010122","(10,23764)","(10,481165)","","(10,962285)","(4,24055)",""
"54010123","(10,24154)","(10,493047)","","(10,986049)","(4,24650)",""
"54010124","(10,24548)","(10,505124)","","(10,1010203)","(4,25253)",""
"54010125","(10,24944)","(10,517398)","","(10,1034751)","(4,25867)",""
"54010126","(10,25344)","(10,529870)","","(10,1059695)","(4,26491)",""
"54010127","(10,25748)","(10,542542)","","(10,1085039)","(4,27124)",""
"54010128","(10,26154)","(10,555416)","","(10,1110787)","(4,27768)",""
"54010129","(10,26564)","(10,568493)","","(10,1136941)","(4,28422)",""
"54010130","(10,26976)","(10,581775)","","(10,1163505)","(4,29086)",""
"54010131","(10,27392)","(10,595263)","","(10,1190481)","(4,29760)",""
"54010132","(10,27812)","(10,608959)","","(10,1217873)","(4,30445)",""
"54010133","(10,28234)","(10,622865)","","(10,1245685)","(4,31140)",""
"54010134","(10,28660)","(10,636982)","","(10,1273919)","(4,31846)",""
"54010135","(10,29088)","(10,651312)","","(10,1302579)","(4,32563)",""
"54010136","(10,29520)","(10,665856)","","(10,1331667)","(4,33290)",""
"54010137","(10,29956)","(10,680616)","","(10,1361187)","(4,34028)",""
"54010138","(10,30394)","(10,695594)","","(10,1391143)","(4,34777)",""
"54010139","(10,30836)","(10,710791)","93000164","(10,1421537)","(4,35537)",""
"54010140","(10,31280)","(10,726209)","","(10,1452373)","(4,36308)",""
"54010141","(10,31728)","(10,741849)","","(10,1483653)","(4,37090)",""
"54010142","(10,32180)","(10,757713)","","(10,1515381)","(4,37883)",""
"54010143","(10,32634)","(10,773803)","","(10,1547561)","(4,38687)",""
"54010144","(10,33092)","(10,790120)","","(10,1580195)","(4,39503)",""
"54010145","(10,33552)","(10,806666)","","(10,1613287)","(4,40331)",""
"54010146","(10,34016)","(10,823442)","","(10,1646839)","(4,41169)",""
"54010147","(10,34484)","(10,840450)","","(10,1680855)","(4,42020)",""
"54010148","(10,34954)","(10,857692)","","(10,1715339)","(4,42882)",""
"54010149","(10,35428)","(10,875169)","","(10,1750293)","(4,43756)",""
"54010150","(10,35904)","(10,892883)","","(10,1785721)","(4,44641)",""
"54010151","(10,36384)","(10,910835)","","(10,1821625)","(4,45539)",""
"54010152","(10,36868)","(10,929027)","","(10,1858009)","(4,46449)",""
"54010153","(10,37354)","(10,947461)","","(10,1894877)","(4,47370)",""
"54010154","(10,37844)","(10,966138)","","(10,1932231)","(4,48304)",""
"54010155","(10,38336)","(10,985060)","","(10,1970075)","(4,49250)",""
"54010156","(10,38832)","(10,1004228)","","(10,2008411)","(4,50209)",""
"54010157","(10,39332)","(10,1023644)","","(10,2047243)","(4,51179)",""
"54010158","(10,39834)","(10,1043310)","","(10,2086575)","(4,52163)",""
"54010159","(10,40340)","(10,1063227)","93000164","(10,2126409)","(4,53159)",""
"54010160","(10,40848)","(10,1083397)","","(10,2166749)","(4,54167)",""
"54010161","(10,41360)","(10,1103821)","","(10,2207597)","(4,55188)",""
"54010162","(10,41876)","(10,1124501)","","(10,2248957)","(4,56222)",""
"54010163","(10,42394)","(10,1145439)","","(10,2290833)","(4,57269)",""
"54010164","(10,42916)","(10,1166636)","","(10,2333227)","(4,58329)",""
"54010165","(10,43440)","(10,1188094)","","(10,2376143)","(4,59402)",""
"54010166","(10,43968)","(10,1209814)","","(10,2419583)","(4,60488)",""
"54010167","(10,44500)","(10,1231798)","","(10,2463551)","(4,61587)",""
"54010168","(10,45034)","(10,1254048)","","(10,2508051)","(4,62700)",""
"54010169","(10,45572)","(10,1276565)","","(10,2553085)","(4,63825)",""
"54010170","(10,46112)","(10,1299351)","","(10,2598657)","(4,64965)",""
"54010171","(10,46656)","(10,1322407)","","(10,2644769)","(4,66118)",""
"54010172","(10,47204)","(10,1345735)","","(10,2691425)","(4,67284)",""
"54010173","(10,47754)","(10,1369337)","","(10,2738629)","(4,68464)",""
"54010174","(10,48308)","(10,1393214)","","(10,2786383)","(4,69658)",""
"54010175","(10,48864)","(10,1417368)","","(10,2834691)","(4,70866)",""
"54010176","(10,49424)","(10,1441800)","","(10,2883555)","(4,72087)",""
"54010177","(10,49988)","(10,1466512)","","(10,2932979)","(4,73323)",""
"54010178","(10,50554)","(10,1491506)","","(10,2982967)","(4,74573)",""
"54010179","(10,51124)","(10,1516783)","93000164","(10,3033521)","(4,75836)",""
"54010180","(10,51696)","(10,1542345)","","(10,3084645)","(4,77114)",""
"54010181","(10,52272)","(10,1568193)","","(10,3136341)","(4,78407)",""
"54010182","(10,52852)","(10,1594329)","","(10,3188613)","(4,79714)",""
"54010183","(10,53434)","(10,1620755)","","(10,3241465)","(4,81035)",""
"54010184","(10,54020)","(10,1647472)","","(10,3294899)","(4,82371)",""
"54010185","(10,54608)","(10,1674482)","","(10,3348919)","(4,83721)",""
"54010186","(10,55200)","(10,1701786)","","(10,3403527)","(4,85087)",""
"54010187","(10,55796)","(10,1729386)","","(10,3458727)","(4,86467)",""
"54010188","(10,56394)","(10,1757284)","","(10,3514523)","(4,87861)",""
"54010189","(10,56996)","(10,1785481)","","(10,3570917)","(4,89271)",""
"54010190","(10,57600)","(10,1813979)","","(10,3627913)","(4,90696)",""
"54010191","(10,58208)","(10,1842779)","","(10,3685513)","(4,92136)",""
"54010192","(10,58820)","(10,1871883)","","(10,3743721)","(4,93591)",""
"54010193","(10,59434)","(10,1901293)","","(10,3802541)","(4,95062)",""
"54010194","(10,60052)","(10,1931010)","","(10,3861975)","(4,96548)",""
"54010195","(10,60672)","(10,1961036)","","(10,3922027)","(4,98049)",""
"54010196","(10,61296)","(10,1991372)","","(10,3982699)","(4,99566)",""
"54010197","(10,61924)","(10,2022020)","","(10,4043995)","(4,101098)",""
"54010198","(10,62554)","(10,2052982)","","(10,4105919)","(4,102646)",""
"54010199","(10,63188)","(10,2084259)","93000164","(10,4168473)","(4,104210)",""
"54010200","(10,63824)","(10,2115853)","","(10,4231661)","(4,105790)",""
"54010201","(10,64464)","(10,2147765)","","(10,4295485)","(4,107385)",""
"54010202","(10,65108)","(10,2179997)","","(10,4359949)","(4,108997)",""
"54010203","(10,65754)","(10,2212551)","","(10,4425057)","(4,110625)",""
"54010204","(10,66404)","(10,2245428)","","(10,4490811)","(4,112269)",""
"54010205","(10,67056)","(10,2278630)","","(10,4557215)","(4,113929)",""
"54010206","(10,67712)","(10,2312158)","","(10,4624271)","(4,115605)",""
"54010207","(10,68372)","(10,2346014)","","(10,4691983)","(4,117298)",""
"54010208","(10,69034)","(10,2380200)","","(10,4760355)","(4,119007)",""
"54010209","(10,69700)","(10,2414717)","","(10,4829389)","(4,120733)",""
"54010210","(10,70368)","(10,2449567)","","(10,4899089)","(4,122476)",""
"54010211","(10,71040)","(10,2484751)","","(10,4969457)","(4,124235)",""
"54010212","(10,71716)","(10,2520271)","","(10,5040497)","(4,126011)",""
"54010213","(10,72394)","(10,2556129)","","(10,5112213)","(4,127804)",""
"54010214","(10,73076)","(10,2592326)","","(10,5184607)","(4,129614)",""
"54010215","(10,73760)","(10,2628864)","","(10,5257683)","(4,131440)",""
"54010216","(10,74448)","(10,2665744)","","(10,5331443)","(4,133284)",""
"54010217","(10,75140)","(10,2702968)","","(10,5405891)","(4,135146)",""
"54010218","(10,75834)","(10,2740538)","","(10,5481031)","(4,137024)",""
"54010219","(10,76532)","(10,2778455)","","(10,5556865)","(4,138920)",""
"54010220","(10,77232)","(10,2816721)","","(10,5633397)","(4,140833)",""
"54010221","(10,77936)","(10,2855337)","","(10,5710629)","(4,142764)",""
"54010222","(10,78644)","(10,2894305)","","(10,5788565)","(4,144712)",""
"54010223","(10,79354)","(10,2933627)","","(10,5867209)","(4,146679)",""
"54010224","(10,80068)","(10,2973304)","93000164","(10,5946563)","(4,148662)",""
"54010225","(10,80784)","(10,3013338)","","(10,6026631)","(4,150664)",""
"54010226","(10,81504)","(10,3053730)","","(10,6107415)","(4,152684)",""
"54010227","(10,82228)","(10,3094482)","","(10,6188919)","(4,154721)",""
"54010228","(10,82954)","(10,3135596)","","(10,6271147)","(4,156777)",""
"54010229","(10,83684)","(10,3177073)","","(10,6354101)","(4,158851)",""
"54010230","(10,84416)","(10,3218915)","","(10,6437785)","(4,160943)",""
"54010231","(10,85152)","(10,3261123)","","(10,6522201)","(4,163053)",""
"54010232","(10,85892)","(10,3303699)","","(10,6607353)","(4,165182)",""
"54010233","(10,86634)","(10,3346645)","","(10,6693245)","(4,167329)",""
"54010234","(10,87380)","(10,3389962)","","(10,6779879)","(4,169495)",""
"54010235","(10,88128)","(10,3433652)","","(10,6867259)","(4,171680)",""
"54010236","(10,88880)","(10,3477716)","","(10,6955387)","(4,173883)",""
"54010237","(10,89636)","(10,3522156)","","(10,7044267)","(4,176105)",""
"54010238","(10,90394)","(10,3566974)","","(10,7133903)","(4,178346)",""
"54010239","(10,91156)","(10,3612171)","","(10,7224297)","(4,180606)",""
"54010240","(10,91920)","(10,3657749)","","(10,7315453)","(4,182885)",""
"54010241","(10,92688)","(10,3703709)","","(10,7407373)","(4,185183)",""
"54010242","(10,93460)","(10,3750053)","","(10,7500061)","(4,187500)",""
"54010243","(10,94234)","(10,3796783)","","(10,7593521)","(4,189836)",""
"54010244","(10,95012)","(10,3843900)","","(10,7687755)","(4,192192)",""
"54010245","(10,95792)","(10,3891406)","","(10,7782767)","(4,194568)",""
"54010246","(10,96576)","(10,3939302)","","(10,7878559)","(4,196962)",""
"54010247","(10,97364)","(10,3987590)","","(10,7975135)","(4,199377)",""
"54010248","(10,98154)","(10,4036272)","","(10,8072499)","(4,201811)",""
"54010249","(10,98948)","(10,4085349)","93000164","(10,8170653)","(4,204265)",""
"54010250","","(10,4134823)","","(10,8269601)","(4,206738)",""
"54020001","(10,198)","(10,90)","","","",""
"54020002","(10,203)","(10,189)","","(10,288)","(4,4)",""
"54020003","(10,212)","(10,291)","","(10,491)","(4,9)",""
"54020004","(10,225)","(10,397)","","(10,703)","(4,15)",""
"54020005","(10,242)","(10,509)","","(10,928)","(4,20)",""
"54020006","(10,264)","(10,630)","","(10,1170)","(4,26)",""
"54020007","(10,291)","(10,762)","","(10,1434)","(4,33)",""
"54020008","(10,322)","(10,908)","","(10,1725)","(4,40)",""
"54020009","(10,357)","(10,1069)","","(10,2047)","(4,48)",""
"54020010","(10,396)","(10,1247)","","(10,2404)","(4,57)",""
"54020011","(10,440)","(10,1445)","","(10,2800)","(4,67)",""
"54020012","(10,489)","(10,1665)","","(10,3240)","(4,78)",""
"54020013","(10,542)","(10,1910)","","(10,3729)","(4,90)",""
"54020014","(10,599)","(10,2181)","","(10,4271)","(4,104)",""
"54020015","(10,660)","(10,2480)","","(10,4870)","(4,119)",""
"54020016","(10,726)","(10,2810)","","(10,5530)","(4,135)",""
"54020017","(10,797)","(10,3173)","","(10,6256)","(4,154)",""
"54020018","(10,872)","(10,3572)","","(10,7053)","(4,174)",""
"54020019","(10,951)","(10,4008)","93000163","(10,7925)","(4,195)",""
"54020020","(10,1034)","(10,4483)","","(10,8876)","(4,219)",""
"54020021","(10,1122)","(10,5000)","","(10,9910)","(4,245)",""
"54020022","(10,1215)","(10,5561)","","(10,11032)","(4,273)",""
"54020023","(10,1312)","(10,6169)","","(10,12247)","(4,303)",""
"54020024","(10,1413)","(10,6825)","","(10,13559)","(4,336)",""
"54020025","(10,1518)","(10,7531)","","(10,14972)","(4,372)",""
"54020026","(10,1628)","(10,8290)","","(10,16490)","(4,409)",""
"54020027","(10,1743)","(10,9104)","","(10,18118)","(4,450)",""
"54020028","(10,1862)","(10,9976)","","(10,19861)","(4,494)",""
"54020029","(10,1985)","(10,10907)","93000163","(10,21723)","(4,540)",""
"54020030","(10,2112)","(10,11899)","","(10,23708)","(4,590)",""
"54020031","(10,2244)","(10,12955)","","(10,25820)","(4,643)",""
"54020032","(10,2381)","(10,14077)","","(10,28064)","(4,699)",""
"54020033","(10,2522)","(10,15268)","","(10,30445)","(4,758)",""
"54020034","(10,2667)","(10,16529)","","(10,32967)","(4,821)",""
"54020035","(10,2816)","(10,17862)","","(10,35634)","(4,888)",""
"54020036","(10,2970)","(10,19270)","","(10,38450)","(4,958)",""
"54020037","(10,3129)","(10,20755)","","(10,41420)","(4,1033)",""
"54020038","(10,3292)","(10,22320)","","(10,44549)","(4,1111)",""
"54020039","(10,3459)","(10,23966)","93000163","(10,47841)","(4,1193)",""
"54020040","(10,3630)","(10,25695)","","(10,51300)","(4,1280)",""
"54020041","(10,3806)","(10,27510)","","(10,54930)","(4,1370)",""
"54020042","(10,3987)","(10,29413)","","(10,58736)","(4,1466)",""
"54020043","(10,4172)","(10,31407)","","(10,62723)","(4,1565)",""
"54020044","(10,4361)","(10,33493)","","(10,66895)","(4,1670)",""
"54020045","(10,4554)","(10,35673)","","(10,71256)","(4,1779)",""
"54020046","(10,4752)","(10,37950)","","(10,75810)","(4,1892)",""
"54020047","(10,4955)","(10,40326)","","(10,80562)","(4,2011)",""
"54020048","(10,5162)","(10,42804)","","(10,85517)","(4,2135)",""
"54020049","(10,5373)","(10,45385)","93000164","(10,90679)","(4,2264)",""
"54020050","(10,5588)","(10,48071)","","(10,96052)","(4,2399)",""
"54020051","(10,5808)","(10,50865)","","(10,101640)","(4,2538)",""
"54020052","(10,6033)","(10,53769)","","(10,107448)","(4,2683)",""
"54020053","(10,6262)","(10,56786)","","(10,113481)","(4,2834)",""
"54020054","(10,6495)","(10,59917)","","(10,119743)","(4,2991)",""
"54020055","(10,6732)","(10,63164)","","(10,126238)","(4,3153)",""
"54020056","(10,6974)","(10,66530)","","(10,132970)","(4,3321)",""
"54020057","(10,7221)","(10,70017)","","(10,139944)","(4,3496)",""
"54020058","(10,7472)","(10,73628)","","(10,147165)","(4,3676)",""
"54020059","(10,7727)","(10,77364)","93000164","(10,154637)","(4,3863)",""
"54020060","(10,7986)","(10,81227)","","(10,162364)","(4,4056)",""
"54020061","(10,8250)","(10,85220)","","(10,170350)","(4,4256)",""
"54020062","(10,8519)","(10,89345)","","(10,178600)","(4,4462)",""
"54020063","(10,8792)","(10,93605)","","(10,187119)","(4,4675)",""
"54020064","(10,9069)","(10,98001)","","(10,195911)","(4,4895)",""
"54020065","(10,9350)","(10,102535)","","(10,204980)","(4,5122)",""
"54020066","(10,9636)","(10,107210)","","(10,214330)","(4,5355)",""
"54020067","(10,9927)","(10,112028)","","(10,223966)","(4,5596)",""
"54020068","(10,10222)","(10,116992)","","(10,233893)","(4,5845)",""
"54020069","(10,10521)","(10,122103)","93000164","(10,244115)","(4,6100)",""
"54020070","(10,10824)","(10,127363)","","(10,254636)","(4,6363)",""
"54020071","(10,11132)","(10,132775)","","(10,265460)","(4,6634)",""
"54020072","(10,11445)","(10,138341)","","(10,276592)","(4,6912)",""
"54020073","(10,11762)","(10,144064)","","(10,288037)","(4,7198)",""
"54020074","(10,12083)","(10,149945)","","(10,299799)","(4,7492)",""
"54020075","(10,12408)","(10,155986)","","(10,311882)","(4,7794)",""
"54020076","(10,12738)","(10,162190)","","(10,324290)","(4,8104)",""
"54020077","(10,13073)","(10,168559)","","(10,337028)","(4,8423)",""
"54020078","(10,13412)","(10,175096)","","(10,350101)","(4,8750)",""
"54020079","(10,13755)","(10,181802)","93000164","(10,363513)","(4,9085)",""
"54020080","(10,14102)","(10,188679)","","(10,377268)","(4,9429)",""
"54020081","(10,14454)","(10,195730)","","(10,391370)","(4,9781)",""
"54020082","(10,14811)","(10,202957)","","(10,405824)","(4,10143)",""
"54020083","(10,15172)","(10,210363)","","(10,420635)","(4,10513)",""
"54020084","(10,15537)","(10,217949)","","(10,435807)","(4,10892)",""
"54020085","(10,15906)","(10,225717)","","(10,451344)","(4,11281)",""
"54020086","(10,16280)","(10,233670)","","(10,467250)","(4,11678)",""
"54020087","(10,16659)","(10,241810)","","(10,483530)","(4,12085)",""
"54020088","(10,17042)","(10,250140)","","(10,500189)","(4,12502)",""
"54020089","(10,17429)","(10,258661)","93000164","(10,517231)","(4,12928)",""
"54020090","(10,17820)","(10,267375)","","(10,534660)","(4,13364)",""
"54020091","(10,18216)","(10,276285)","","(10,552480)","(4,13809)",""
"54020092","(10,18617)","(10,285393)","","(10,570696)","(4,14265)",""
"54020093","(10,19022)","(10,294702)","","(10,589313)","(4,14730)",""
"54020094","(10,19431)","(10,304213)","","(10,608335)","(4,15206)",""
"54020095","(10,19844)","(10,313928)","","(10,627766)","(4,15691)",""
"54020096","(10,20262)","(10,323850)","","(10,647610)","(4,16187)",""
"54020097","(10,20685)","(10,333981)","","(10,667872)","(4,16694)",""
"54020098","(10,21112)","(10,344324)","","(10,688557)","(4,17211)",""
"54020099","(10,21543)","(10,354880)","93000164","(10,709669)","(4,17739)",""
"54020100","(10,21978)","(10,365651)","","(10,731212)","(4,18278)",""
"54020101","(10,22418)","(10,376640)","","(10,753190)","(4,18827)",""
"54020102","(10,22863)","(10,387849)","","(10,775608)","(4,19387)",""
"54020103","(10,23312)","(10,399281)","","(10,798471)","(4,19959)",""
"54020104","(10,23765)","(10,410937)","","(10,821783)","(4,20542)",""
"54020105","(10,24222)","(10,422819)","","(10,845548)","(4,21136)",""
"54020106","(10,24684)","(10,434930)","","(10,869770)","(4,21741)",""
"54020107","(10,25151)","(10,447272)","","(10,894454)","(4,22359)",""
"54020108","(10,25622)","(10,459848)","","(10,919605)","(4,22987)",""
"54020109","(10,26097)","(10,472659)","","(10,945227)","(4,23628)",""
"54020110","(10,26576)","(10,485707)","","(10,971324)","(4,24280)",""
"54020111","(10,27060)","(10,498995)","","(10,997900)","(4,24945)",""
"54020112","(10,27549)","(10,512525)","","(10,1024960)","(4,25621)",""
"54020113","(10,28042)","(10,526300)","","(10,1052509)","(4,26310)",""
"54020114","(10,28539)","(10,540321)","","(10,1080551)","(4,27011)",""
"54020115","(10,29040)","(10,554590)","","(10,1109090)","(4,27724)",""
"54020116","(10,29546)","(10,569110)","","(10,1138130)","(4,28450)",""
"54020117","(10,30057)","(10,583883)","","(10,1167676)","(4,29189)",""
"54020118","(10,30572)","(10,598912)","","(10,1197733)","(4,29941)",""
"54020119","(10,31091)","(10,614198)","93000164","(10,1228305)","(4,30705)",""
"54020120","(10,31614)","(10,629743)","","(10,1259396)","(4,31482)",""
"54020121","(10,32142)","(10,645550)","","(10,1291010)","(4,32272)",""
"54020122","(10,32675)","(10,661621)","","(10,1323152)","(4,33076)",""
"54020123","(10,33212)","(10,677959)","","(10,1355827)","(4,33893)",""
"54020124","(10,33753)","(10,694565)","","(10,1389039)","(4,34723)",""
"54020125","(10,34298)","(10,711441)","","(10,1422792)","(4,35567)",""
"54020126","(10,34848)","(10,728590)","","(10,1457090)","(4,36424)",""
"54020127","(10,35403)","(10,746014)","","(10,1491938)","(4,37296)",""
"54020128","(10,35962)","(10,763716)","","(10,1527341)","(4,38181)",""
"54020129","(10,36525)","(10,781697)","","(10,1563303)","(4,39080)",""
"54020130","(10,37092)","(10,799959)","","(10,1599828)","(4,39993)",""
"54020131","(10,37664)","(10,818505)","","(10,1636920)","(4,40920)",""
