"AttributeId","Type","CurLevel","UpgradeTargetValue","UpgradeCostArray","ItemColor","MaxLevel","WarriorPropertyArray","KnightPropertyArray","WizardPropertyArray","AssassinPropertyArray","NeedTinderOrder","SkillId","NeedStarLevel","RegionArr"
"63000026","3","3","4","(31130485,1)","","8","(4,8,7038,0,1,4,9,251,0,1)","(4,8,7038,0,1,4,9,251,0,1)","(4,8,7038,0,1,4,9,251,0,1)","(4,8,7038,0,1,4,9,251,0,1)","26","26020802","90",""
"63000027","3","4","5","(31130486,1)","","8","(4,8,12316,0,1,4,9,438,0,1)","(4,8,12316,0,1,4,9,438,0,1)","(4,8,12316,0,1,4,9,438,0,1)","(4,8,12316,0,1,4,9,438,0,1)","27","26020803","90",""
"63000028","3","5","6","(31130487,1)","","8","(4,8,19354,0,1,4,9,689,0,1)","(4,8,19354,0,1,4,9,689,0,1)","(4,8,19354,0,1,4,9,689,0,1)","(4,8,19354,0,1,4,9,689,0,1)","28","26020804","90",""
"63000029","3","6","7","(31130488,1)","","8","(4,8,29910,0,1,4,9,1064,0,1)","(4,8,29910,0,1,4,9,1064,0,1)","(4,8,29910,0,1,4,9,1064,0,1)","(4,8,29910,0,1,4,9,1064,0,1)","29","26020805","100",""
"63000030","3","7","8","(31130489,1)","","8","(4,8,42226,0,1,4,9,1502,0,1)","(4,8,42226,0,1,4,9,1502,0,1)","(4,8,42226,0,1,4,9,1502,0,1)","(4,8,42226,0,1,4,9,1502,0,1)","30","26020806","100",""
"63000031","3","2","9","(31130492,1)","","9","(4,8,3519,0,1,4,9,126,0,1)","(4,8,3519,0,1,4,9,126,0,1)","(4,8,3519,0,1,4,9,126,0,1)","(4,8,3519,0,1,4,9,126,0,1)","31","26020808","100",""
"63000032","3","3","10","(31130493,1)","","9","(4,8,7038,0,1,4,9,251,0,1)","(4,8,7038,0,1,4,9,251,0,1)","(4,8,7038,0,1,4,9,251,0,1)","(4,8,7038,0,1,4,9,251,0,1)","32","26020809","100",""
"63000033","3","4","11","(31130494,1)","","9","(4,8,12316,0,1,4,9,438,0,1)","(4,8,12316,0,1,4,9,438,0,1)","(4,8,12316,0,1,4,9,438,0,1)","(4,8,12316,0,1,4,9,438,0,1)","33","26020810","110",""
"63000034","3","5","12","(31130495,1)","","9","(4,8,19354,0,1,4,9,689,0,1)","(4,8,19354,0,1,4,9,689,0,1)","(4,8,19354,0,1,4,9,689,0,1)","(4,8,19354,0,1,4,9,689,0,1)","34","26020811","110",""
"63000035","3","6","13","(31130498,1)","","9","","","","","35","26020812","110",""
"63000036","3","7","14","(31130499,1)","","9","","","","","36","26020813","110",""
