"AttributeId","NameStringId","UpgradeMax","AddStarMax","UpgradeNow","AddStarNow","AttArray","AddStarMatirialId","StarShopId","AddStarMatirialNum","AddStarMoneyList","UpgradeMatirialId","UpgradeShopId","UpgradeMatirialNum","UpgradeMoneyList","ExhibitionNpcId","ExhibitionBuffArray","UnlockMaterialId","UnlockMaterialNum","SkillID","EventCondition","BuffArray","PurenessBasicAtt"
"45010012","90020233","20","10","2","0","(4,8,22870,0,1,4,7,9630,0,1,4,9,2020,0,1,4,12,1440,0,1,4,43,1440,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","26020171","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010013","90020233","20","10","2","1","(4,8,23670,0,1,4,7,9970,0,1,4,9,2090,0,1,4,12,1490,0,1,4,43,1490,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010014","90020233","20","10","2","2","(4,8,24470,0,1,4,7,10310,0,1,4,9,2160,0,1,4,12,1540,0,1,4,43,1540,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010015","90020233","20","10","2","3","(4,8,25270,0,1,4,7,10650,0,1,4,9,2230,0,1,4,12,1590,0,1,4,43,1590,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010016","90020233","20","10","2","4","(4,8,26070,0,1,4,7,10990,0,1,4,9,2300,0,1,4,12,1640,0,1,4,43,1640,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010017","90020233","20","10","2","5","(4,8,26870,0,1,4,7,11330,0,1,4,9,2370,0,1,4,12,1690,0,1,4,43,1690,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010018","90020233","20","10","2","6","(4,8,27670,0,1,4,7,11670,0,1,4,9,2440,0,1,4,12,1740,0,1,4,43,1740,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010019","90020233","20","10","2","7","(4,8,28470,0,1,4,7,12010,0,1,4,9,2510,0,1,4,12,1790,0,1,4,43,1790,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010020","90020233","20","10","2","8","(4,8,29270,0,1,4,7,12350,0,1,4,9,2580,0,1,4,12,1840,0,1,4,43,1840,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010021","90020233","20","10","2","9","(4,8,30070,0,1,4,7,12690,0,1,4,9,2650,0,1,4,12,1890,0,1,4,43,1890,0,1)","31000178","0","4","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010022","90020233","20","10","2","10","(4,8,30870,0,1,4,7,13030,0,1,4,9,2720,0,1,4,12,1940,0,1,4,43,1940,0,1)","0","0","0","0","31000176","0","8","0","76980304","(10990018,10990045)","","","","(2,10,20,0,0,0,0,0,0,0)","(10280056)","(3,43,5000,0,1)"
"45010023","90020233","20","10","3","0","(4,8,52240,0,1,4,7,21970,0,1,4,9,4600,0,1,4,12,3260,0,1,4,43,3260,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","26020172","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010024","90020233","20","10","3","1","(4,8,53670,0,1,4,7,22570,0,1,4,9,4730,0,1,4,12,3350,0,1,4,43,3350,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010025","90020233","20","10","3","2","(4,8,55100,0,1,4,7,23170,0,1,4,9,4860,0,1,4,12,3440,0,1,4,43,3440,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010026","90020233","20","10","3","3","(4,8,56530,0,1,4,7,23770,0,1,4,9,4990,0,1,4,12,3530,0,1,4,43,3530,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010027","90020233","20","10","3","4","(4,8,57960,0,1,4,7,24370,0,1,4,9,5120,0,1,4,12,3620,0,1,4,43,3620,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010028","90020233","20","10","3","5","(4,8,59390,0,1,4,7,24970,0,1,4,9,5250,0,1,4,12,3710,0,1,4,43,3710,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010029","90020233","20","10","3","6","(4,8,60820,0,1,4,7,25570,0,1,4,9,5380,0,1,4,12,3800,0,1,4,43,3800,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010030","90020233","20","10","3","7","(4,8,62250,0,1,4,7,26170,0,1,4,9,5510,0,1,4,12,3890,0,1,4,43,3890,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010031","90020233","20","10","3","8","(4,8,63680,0,1,4,7,26770,0,1,4,9,5640,0,1,4,12,3980,0,1,4,43,3980,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010032","90020233","20","10","3","9","(4,8,65110,0,1,4,7,27370,0,1,4,9,5770,0,1,4,12,4070,0,1,4,43,4070,0,1)","31000178","0","8","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010033","90020233","20","10","3","10","(4,8,66540,0,1,4,7,27970,0,1,4,9,5900,0,1,4,12,4160,0,1,4,43,4160,0,1)","0","0","0","0","31000176","0","16","0","76980304","(10990018,10990045)","","","","(2,10,30,0,0,0,0,0,0,0)","(10280057)","(3,43,5000,0,1)"
"45010034","90020233","20","10","4","0","(4,8,105000,0,1,4,7,44060,0,1,4,9,9270,0,1,4,12,6520,0,1,4,43,6520,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","26020173","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010035","90020233","20","10","4","1","(4,8,107570,0,1,4,7,45140,0,1,4,9,9500,0,1,4,12,6680,0,1,4,43,6680,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010036","90020233","20","10","4","2","(4,8,110140,0,1,4,7,46220,0,1,4,9,9730,0,1,4,12,6840,0,1,4,43,6840,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010037","90020233","20","10","4","3","(4,8,112710,0,1,4,7,47300,0,1,4,9,9960,0,1,4,12,7000,0,1,4,43,7000,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010038","90020233","20","10","4","4","(4,8,115280,0,1,4,7,48380,0,1,4,9,10190,0,1,4,12,7160,0,1,4,43,7160,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010039","90020233","20","10","4","5","(4,8,117850,0,1,4,7,49460,0,1,4,9,10420,0,1,4,12,7320,0,1,4,43,7320,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010040","90020233","20","10","4","6","(4,8,120420,0,1,4,7,50540,0,1,4,9,10650,0,1,4,12,7480,0,1,4,43,7480,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010041","90020233","20","10","4","7","(4,8,122990,0,1,4,7,51620,0,1,4,9,10880,0,1,4,12,7640,0,1,4,43,7640,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010042","90020233","20","10","4","8","(4,8,125560,0,1,4,7,52700,0,1,4,9,11110,0,1,4,12,7800,0,1,4,43,7800,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010043","90020233","20","10","4","9","(4,8,128130,0,1,4,7,53780,0,1,4,9,11340,0,1,4,12,7960,0,1,4,43,7960,0,1)","31000178","0","16","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010044","90020233","20","10","4","10","(4,8,130700,0,1,4,7,54860,0,1,4,9,11570,0,1,4,12,8120,0,1,4,43,8120,0,1)","0","0","0","0","31000176","0","32","0","76980304","(10990018,10990045)","","","","(2,10,40,0,0,0,0,0,0,0)","(10280058)","(3,43,5000,0,1)"
"45010045","90020233","20","10","5","0","(4,8,199930,0,1,4,7,83810,0,1,4,9,17640,0,1,4,12,12370,0,1,4,43,12370,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","26020174","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010046","90020233","20","10","5","1","(4,8,204550,0,1,4,7,85740,0,1,4,9,18050,0,1,4,12,12660,0,1,4,43,12660,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010047","90020233","20","10","5","2","(4,8,209170,0,1,4,7,87670,0,1,4,9,18460,0,1,4,12,12950,0,1,4,43,12950,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010048","90020233","20","10","5","3","(4,8,213790,0,1,4,7,89600,0,1,4,9,18870,0,1,4,12,13240,0,1,4,43,13240,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010049","90020233","20","10","5","4","(4,8,218410,0,1,4,7,91530,0,1,4,9,19280,0,1,4,12,13530,0,1,4,43,13530,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010050","90020233","20","10","5","5","(4,8,223030,0,1,4,7,93460,0,1,4,9,19690,0,1,4,12,13820,0,1,4,43,13820,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010051","90020233","20","10","5","6","(4,8,227650,0,1,4,7,95390,0,1,4,9,20100,0,1,4,12,14110,0,1,4,43,14110,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010052","90020233","20","10","5","7","(4,8,232270,0,1,4,7,97320,0,1,4,9,20510,0,1,4,12,14400,0,1,4,43,14400,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010053","90020233","20","10","5","8","(4,8,236890,0,1,4,7,99250,0,1,4,9,20920,0,1,4,12,14690,0,1,4,43,14690,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010054","90020233","20","10","5","9","(4,8,241510,0,1,4,7,101180,0,1,4,9,21330,0,1,4,12,14980,0,1,4,43,14980,0,1)","31000178","0","32","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010055","90020233","20","10","5","10","(4,8,246130,0,1,4,7,103110,0,1,4,9,21740,0,1,4,12,15270,0,1,4,43,15270,0,1)","0","0","0","0","31000176","0","64","0","76980304","(10990018,10990045)","","","","(2,10,50,0,0,0,0,0,0,0)","(10280059)","(3,43,5000,0,1)"
"45010056","90020233","20","10","6","0","(4,8,370740,0,1,4,7,155220,0,1,4,9,32660,0,1,4,12,22920,0,1,4,43,22920,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","26020175","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010057","90020233","20","10","6","1","(4,8,379050,0,1,4,7,158700,0,1,4,9,33390,0,1,4,12,23430,0,1,4,43,23430,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010058","90020233","20","10","6","2","(4,8,387360,0,1,4,7,162180,0,1,4,9,34120,0,1,4,12,23940,0,1,4,43,23940,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010059","90020233","20","10","6","3","(4,8,395670,0,1,4,7,165660,0,1,4,9,34850,0,1,4,12,24450,0,1,4,43,24450,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010060","90020233","20","10","6","4","(4,8,403980,0,1,4,7,169140,0,1,4,9,35580,0,1,4,12,24960,0,1,4,43,24960,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010061","90020233","20","10","6","5","(4,8,412290,0,1,4,7,172620,0,1,4,9,36310,0,1,4,12,25470,0,1,4,43,25470,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010062","90020233","20","10","6","6","(4,8,420600,0,1,4,7,176100,0,1,4,9,37040,0,1,4,12,25980,0,1,4,43,25980,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010063","90020233","20","10","6","7","(4,8,428910,0,1,4,7,179580,0,1,4,9,37770,0,1,4,12,26490,0,1,4,43,26490,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010064","90020233","20","10","6","8","(4,8,437220,0,1,4,7,183060,0,1,4,9,38500,0,1,4,12,27000,0,1,4,43,27000,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010065","90020233","20","10","6","9","(4,8,445530,0,1,4,7,186540,0,1,4,9,39230,0,1,4,12,27510,0,1,4,43,27510,0,1)","31000178","0","64","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010066","90020233","20","10","6","10","(4,8,453840,0,1,4,7,190020,0,1,4,9,39960,0,1,4,12,28020,0,1,4,43,28020,0,1)","0","0","0","0","31000176","0","128","0","76980304","(10990018,10990045)","","","","(2,10,60,0,0,0,0,0,0,0)","(10280060)","(3,43,5000,0,1)"
"45010067","90020233","20","10","7","0","(4,8,678130,0,1,4,7,283820,0,1,4,9,59620,0,1,4,12,41780,0,1,4,43,41780,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","26020176","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010068","90020233","20","10","7","1","(4,8,693090,0,1,4,7,290080,0,1,4,9,60940,0,1,4,12,42700,0,1,4,43,42700,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010069","90020233","20","10","7","2","(4,8,708050,0,1,4,7,296340,0,1,4,9,62260,0,1,4,12,43620,0,1,4,43,43620,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010070","90020233","20","10","7","3","(4,8,723010,0,1,4,7,302600,0,1,4,9,63580,0,1,4,12,44540,0,1,4,43,44540,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010071","90020233","20","10","7","4","(4,8,737970,0,1,4,7,308860,0,1,4,9,64900,0,1,4,12,45460,0,1,4,43,45460,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010072","90020233","20","10","7","5","(4,8,752930,0,1,4,7,315120,0,1,4,9,66220,0,1,4,12,46380,0,1,4,43,46380,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010073","90020233","20","10","7","6","(4,8,767890,0,1,4,7,321380,0,1,4,9,67540,0,1,4,12,47300,0,1,4,43,47300,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010074","90020233","20","10","7","7","(4,8,782850,0,1,4,7,327640,0,1,4,9,68860,0,1,4,12,48220,0,1,4,43,48220,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010075","90020233","20","10","7","8","(4,8,797810,0,1,4,7,333900,0,1,4,9,70180,0,1,4,12,49140,0,1,4,43,49140,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010076","90020233","20","10","7","9","(4,8,812770,0,1,4,7,340160,0,1,4,9,71500,0,1,4,12,50060,0,1,4,43,50060,0,1)","31000178","0","128","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010077","90020233","20","10","7","10","(4,8,827730,0,1,4,7,346420,0,1,4,9,72820,0,1,4,12,50980,0,1,4,43,50980,0,1)","0","0","0","0","31000176","0","256","0","76980304","(10990018,10990045)","","","","(2,10,70,0,0,0,0,0,0,0)","(10280061)","(3,43,5000,0,1)"
"45010078","90020233","20","10","8","0","(4,8,1231440,0,1,4,7,515250,0,1,4,9,108200,0,1,4,12,75750,0,1,4,43,75750,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","26020177","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010079","90020233","20","10","8","1","(4,8,1258360,0,1,4,7,526510,0,1,4,9,110560,0,1,4,12,77410,0,1,4,43,77410,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010080","90020233","20","10","8","2","(4,8,1285280,0,1,4,7,537770,0,1,4,9,112920,0,1,4,12,79070,0,1,4,43,79070,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010081","90020233","20","10","8","3","(4,8,1312200,0,1,4,7,549030,0,1,4,9,115280,0,1,4,12,80730,0,1,4,43,80730,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010082","90020233","20","10","8","4","(4,8,1339120,0,1,4,7,560290,0,1,4,9,117640,0,1,4,12,82390,0,1,4,43,82390,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010083","90020233","20","10","8","5","(4,8,1366040,0,1,4,7,571550,0,1,4,9,120000,0,1,4,12,84050,0,1,4,43,84050,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010084","90020233","20","10","8","6","(4,8,1392960,0,1,4,7,582810,0,1,4,9,122360,0,1,4,12,85710,0,1,4,43,85710,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010085","90020233","20","10","8","7","(4,8,1419880,0,1,4,7,594070,0,1,4,9,124720,0,1,4,12,87370,0,1,4,43,87370,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010086","90020233","20","10","8","8","(4,8,1446800,0,1,4,7,605330,0,1,4,9,127080,0,1,4,12,89030,0,1,4,43,89030,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010087","90020233","20","10","8","9","(4,8,1473720,0,1,4,7,616590,0,1,4,9,129440,0,1,4,12,90690,0,1,4,43,90690,0,1)","31000178","0","256","0","0","0","0","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010088","90020233","20","10","8","10","(4,8,1500640,0,1,4,7,627850,0,1,4,9,131800,0,1,4,12,92350,0,1,4,43,92350,0,1)","0","0","0","0","31000176","0","512","0","76980304","(10990018,10990045)","","","","(2,10,80,0,0,0,0,0,0,0)","(10280062)","(3,43,5000,0,1)"
"45010089","90020233","20","10","9","0","(4,8,2227320,0,1,4,7,931740,0,1,4,9,195480,0,1,4,12,136920,0,1,4,43,136920,0,1)","31000178","0","512","0","0","0","0","0","76980304","(10990018,10990045)","","","26020178","(2,10,90,0,0,0,0,0,0,0)","(10280063)","(3,43,5000,0,1)"
