"AttributeId","PointAry","SafeName","IsAllowPK","Priority","BackgroundMusic","AreaType","DependentTerritory","MissionId"
"74000435","(37562,12008,11170,41490,37562,27921,55227,28019)","90052103","0","3","91920007","2","",""
"74000436","(47815,31172,40400,39520,41825,48215,48857,52396,56839,44414,54464,35767)","90052104","1","3","91920006","0","",""
"74000437","(53511,29029,59177,29029,59177,35176,53030,35176)","90052105","1","2","91920006","0","",""
"74000438","(38643,30302,44296,32488,40258,39092,35887,39330,35507,33866)","90052106","1","2","91920006","0","",""
"74000439","(35649,39425,40875,39425,40876,46314,34699,46219)","90052107","1","2","91920006","0","",""
"74000440","(44370,53349,51853,53349,51853,59870,44156,59870)","90052108","1","2","91920015","0","",""
"74000441","(74953,36738,90402,36738,90402,65125,71680,65125,67114,55612)","90052109","1","3","91920012","0","",""
"74000442","(91240,39477,98622,39477,98622,48686,91849,48686)","90052110","1","2","91920006","0","",""
"74000443","(73584,30269,66430,36434,70768,39554,76629,34150)","90052111","1","2","91920012","0","",""
"74000444","(60645,38488,69930,40162,68788,49067,59731,49067)","90052112","1","2","91920012","0","",""
"74000445","(76018,67027,82411,67027,82411,73648,75866,73648)","90052113","0","2","91920015","0","",""
"74000446","(60645,61624,70006,61624,70006,71366,60569,71366)","90052114","1","2","91920015","0","",""
"74000447","(37737,73116,56231,73116,55393,90849,33094,91991)","90052115","1","3","91920004","0","",""
"74000448","(57187,82237,62541,82237,62541,90566,56843,90566)","90052116","1","2","91920004","0","",""
"74000449","(50253,92145,57145,92145,57145,99646,49963,99646)","90052117","1","2","91920004","0","",""
"74000450","(27920,73877,36063,73877,36063,83466,27767,83466)","90052118","0","2","91920004","2","",""
"74000451","(44663,64516,53339,64516,53339,70985,44739,70985)","90052119","0","2","91920004","2","",""
"74000452","(83433,87573,77793,93179,69504,100986,78106,108642,90487,108642,90487,91677)","90052120","1","3","91920012","0","",""
"74000453","(89563,90354,94388,90354,94388,84609,88974,84609)","90052121","1","2","91920012","0","",""
"74000454","(67682,92538,76148,87280,76148,92538,67675,92538)","90052122","1","2","91920012","0","",""
"74000455","(78114,77484,86813,77484,86813,85691,78081,85691)","90052123","1","2","91920012","0","",""
"74000456","(29418,29065,27346,30773,28741,32551,30753,32551,31886,30762)","90054089","0","2","","3","",""
"74000457","(13845,19338,42216,16936,43612,45301,14270,45301)","90054116","0","1","","1","",""
"74000458","(3630,5609,4220,5609,4220,6249,3630,6249)","90054089","0","2","","3","",""
"74000459","(22099,1069,22679,1069,22679,1689,22099,1689)","90054089","0","2","","3","",""
"74000460","(700,0,25060,0,25060,8710,700,8710)","90305760","0","1","","1","",""
"74000461","(13470,66410,920,66410,920,69200,13410,69200)","90306229","0","2","","3","",""
"74000462","(3860,34950,3860,29240,10370,29240,10370,34950)","90306229","0","2","","3","",""
"74000463","(300,29070,14010,29070,14010,69260,300,69260)","90306229","1","1","","1","",""
"74000464","(740,42840,13390,42840,13390,50440,740,50440)","90306353","1","2","","1","",""
"74000465","(740,50440,13390,50440,13390,57860,740,57860)","90306354","1","2","","1","",""
"74000466","(740,57860,13390,57860,13390,66410,740,66410)","90306355","1","2","","1","",""
"74000467","(13390,35290,13390,42840,740,42840,740,35290)","90306356","1","2","","1","",""
"74000468","(32710,38300,-2780,38300,-2780,5080,32710,5080)","90202842","0","1","","1","",""
"74000469","(28000,35640,23860,35640,23860,32150,28000,32150)","90054089","0","2","","1","",""
"74000470","(29423,40270,68853,40270,68853,-1420,29423,-1420)","90202842","0","1","","1","",""
"74000471","(32422,36940,36353,36940,36353,32120,32422,32120)","90054089","0","2","","1","",""
"74000472","(30044,34535,35004,70775,0,70775,0,34535)","90202842","0","1","","1","",""
"74000473","(30140,37870,30140,42950,26090,42950,26090,37870)","90054089","0","2","","1","",""
"74000474","(27140,33181,61920,33181,61920,71881,27140,71881)","90202842","0","1","","1","",""
"74000475","(31750,39471,36630,39471,36630,43711,31750,43711)","90054089","0","2","","1","",""
"74000476","(-2010,2380,-2010,115350,117140,115350,117140,2380)","90052124","1","1","","0","",""
