"AttributeId","EquipSlot","StarNum","StarMax","UpgradeAttEach","StarCost","IsOnly","Mount","StarMountLevel","SkillType","SkillId","SkillMountLevel","SlotID","BaseAtt","CanEquipID","ItemGet"
"16200014","","","50","","","","","","8","26020908","(5,0)","(16214101,16214201,16214301)","","(31141030,31141031,31141032,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200015","","","50","","","","","","9","26020909","(5,0)","(16215101,16215201,16215301)","","(31141033,31141034,31141035,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200016","","","50","","","","","","10","26020910","(5,0)","(16216101,16216201,16216301)","","(31141036,31141037,31141038,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200017","","","50","","","","","","11","26020911","(5,0)","(16217101,16217201,16217301)","","(31141039,31141040,31141041,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200018","","","50","","","","","","12","26020912","(5,0)","(16218101,16218201,16218301)","","(31141042,31141043,31141044,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200019","","","50","","","","","","13","26020913","(5,0)","(16219101,16219201,16219301)","","(31141045,31141046,31141047,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200020","","","50","","","","","","14","26020914","(5,0)","(16220101,16220201,16220301)","","(31141048,31141049,31141050,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200021","","","50","","","","","","15","26020915","(5,0)","(16221101,16221201,16221301)","","(31141051,31141052,31141053,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200022","","","50","","","","","","16","26020916","(5,0)","(16222101,16222201,16222301)","","(31141054,31141055,31141056,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200023","","","50","","","","","","17","26023104","(5,0)","(16223101,16223201,16223301)","","(31142001,31142002,31142003,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200024","","","50","","","","","","18","26023108","(5,0)","(16224101,16224201,16224301)","","(31142004,31142005,31142006,31141006,31141007,31141008,31141003,31141004,31141005,31141000,31141001,31141002)",""
"16200101","0","","","(4,8,4875,0,1,4,10,260,0,1,4,11,130,0,1)","","0","","","0","","","","(4,8,102375,0,1,4,10,5460,0,1,4,11,2730,0,1)","","(31028001,7)"
"16200102","1","","","(4,8,4875,0,1,4,7,1950,0,1,4,12,130,0,1)","","0","","","0","","","","(4,8,102375,0,1,4,7,40950,0,1,4,12,2730,0,1)","","(31028002,8)"
"16200103","2","","","(4,5,650,0,1,4,6,780,0,1,4,9,260,0,1)","","0","","","0","","","","(4,5,13650,0,1,4,6,16380,0,1,4,9,5460,0,1)","","(31028003,10)"
"16200104","0","","","(4,8,6825,0,1,4,10,364,0,1,4,11,182,0,1)","","0","","","0","","","","(4,8,143325,0,1,4,10,7644,0,1,4,11,3822,0,1)","","(31028001,11,31028004,1)"
"16200105","1","","","(4,8,6825,0,1,4,7,2730,0,1,4,12,182,0,1)","","0","","","0","","","","(4,8,143325,0,1,4,7,57330,0,1,4,12,3822,0,1)","","(31028002,12,31028004,1)"
"16200106","2","","","(4,5,910,0,1,4,6,1092,0,1,4,9,364,0,1)","","0","","","0","","","","(4,5,19110,0,1,4,6,22932,0,1,4,9,7644,0,1)","","(31028003,15,31028004,2)"
"16200107","0","","","(4,8,9750,0,1,4,10,520,0,1,4,11,260,0,1)","","0","","","0","","","","(4,8,204750,0,1,4,10,10920,0,1,4,11,5460,0,1)","","(31028001,17,31028004,2)"
"16200108","1","","","(4,8,9750,0,1,4,7,3900,0,1,4,12,260,0,1)","","0","","","0","","","","(4,8,204750,0,1,4,7,81900,0,1,4,12,5460,0,1)","","(31028002,19,31028004,2)"
"16200109","2","","","(4,5,1300,0,1,4,6,1560,0,1,4,9,520,0,1)","","0","","","0","","","","(4,5,27300,0,1,4,6,32760,0,1,4,9,10920,0,1)","","(31028003,23,31028004,3)"
"16200110","0","","","(4,5,7917,0,1,4,6,9500,0,2)","","0","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,2)","",""
"16200111","1","","","(4,5,7917,0,1,4,6,9500,0,3)","","0","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,3)","",""
"16200112","2","","","(4,5,7917,0,1,4,6,9500,0,4)","","0","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,4)","",""
"16200113","0","","","(4,5,7917,0,1,4,6,9500,0,2)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,2)","",""
"16200114","1","","","(4,5,7917,0,1,4,6,9500,0,3)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,3)","",""
"16200115","2","","","(4,5,7917,0,1,4,6,9500,0,4)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,4)","",""
"16200116","0","","","(4,5,7917,0,1,4,6,9500,0,2)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,2)","",""
"16200117","1","","","(4,5,7917,0,1,4,6,9500,0,3)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,3)","",""
"16200118","2","","","(4,5,7917,0,1,4,6,9500,0,4)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,4)","",""
"16200119","0","","","(4,5,7917,0,1,4,6,9500,0,2)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,2)","",""
"16200120","1","","","(4,5,7917,0,1,4,6,9500,0,3)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,3)","",""
"16200121","2","","","(4,5,7917,0,1,4,6,9500,0,4)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,4)","",""
"16200122","0","","","(4,5,7917,0,1,4,6,9500,0,2)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,2)","",""
"16200123","1","","","(4,5,7917,0,1,4,6,9500,0,3)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,3)","",""
"16200124","2","","","(4,5,7917,0,1,4,6,9500,0,4)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,4)","",""
"16200125","0","","","(4,5,7917,0,1,4,6,9500,0,2)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,2)","",""
"16200126","1","","","(4,5,7917,0,1,4,6,9500,0,3)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,3)","",""
"16200127","2","","","(4,5,7917,0,1,4,6,9500,0,4)","","1","31030011","","0","26010004","(5,0)","","(4,5,31667,0,1,4,6,38000,0,4)","",""
"16200128","0","","","(4,8,14364,0,1,4,10,766,0,1,4,11,383,0,1)","","1","31030011","","0","26020901","(5,0)","","(4,8,301640,0,1,4,10,16088,0,1,4,11,8044,0,1)","","(31028001,18,31028004,10)"
"16200129","1","","","(4,8,14364,0,1,4,7,5746,0,1,4,12,383,0,1)","","1","31030011","","0","26020901","(5,0)","","(4,8,301640,0,1,4,7,120656,0,1,4,12,8044,0,1)","","(31028002,21,31028004,12)"
"16200130","2","","","(4,5,1915,0,1,4,6,2298,0,1,4,9,766,0,1)","","1","31030011","","0","26020901","(5,0)","","(4,5,40219,0,1,4,6,48263,0,1,4,9,16088,0,1)","","(31028003,25,31028004,16)"
"16200131","0","","","(4,8,16758,0,1,4,10,894,0,1,4,11,447,0,1)","","1","31030012","","0","26020902","(5,0)","","(4,8,351914,0,1,4,10,18769,0,1,4,11,9384,0,1)","","(31028001,19,31028004,12)"
"16200132","1","","","(4,8,16758,0,1,4,7,6703,0,1,4,12,447,0,1)","","1","31030012","","0","26020902","(5,0)","","(4,8,351914,0,1,4,7,140766,0,1,4,12,9384,0,1)","","(31028002,22,31028004,14)"
"16200133","2","","","(4,5,2234,0,1,4,6,2681,0,1,4,9,894,0,1)","","1","31030012","","0","26020902","(5,0)","","(4,5,46922,0,1,4,6,56307,0,1,4,9,18769,0,1)","","(31028003,29,31028004,19)"
"16200134","0","","","(4,8,17955,0,1,4,10,958,0,1,4,11,479,0,1)","","1","31030013","","0","26020903","(5,0)","","(4,8,377051,0,1,4,10,20110,0,1,4,11,10055,0,1)","","(31028001,21,31028004,14)"
"16200135","1","","","(4,8,17955,0,1,4,7,7182,0,1,4,12,479,0,1)","","1","31030013","","0","26020903","(5,0)","","(4,8,377051,0,1,4,7,150821,0,1,4,12,10055,0,1)","","(31028002,24,31028004,16)"
"16200136","2","","","(4,5,2394,0,1,4,6,2873,0,1,4,9,958,0,1)","","1","31030013","","0","26020903","(5,0)","","(4,5,50273,0,1,4,6,60329,0,1,4,9,20110,0,1)","","(31028003,31,31028004,20)"
"16200137","0","","","(4,8,19152,0,1,4,10,1022,0,1,4,11,510,0,1)","","1","31030007","","0","26020904","(5,0)","","(4,8,402187,0,1,4,10,21450,0,1,4,11,10725,0,1)","","(31028001,23,31028004,15)"
"16200138","1","","","(4,8,19152,0,1,4,7,7661,0,1,4,12,510,0,1)","","1","31030007","","0","26020904","(5,0)","","(4,8,402187,0,1,4,7,160875,0,1,4,12,10725,0,1)","","(31028002,26,31028004,17)"
"16200139","2","","","(4,5,2554,0,1,4,6,3064,0,1,4,9,1022,0,1)","","1","31030007","","0","26020904","(5,0)","","(4,5,53625,0,1,4,6,64350,0,1,4,9,21450,0,1)","","(31028003,33,31028004,21)"
"16200140","0","","","(4,8,20349,0,1,4,10,1085,0,1,4,11,542,0,1)","","1","31030008","","0","26020905","(5,0)","","(4,8,427324,0,1,4,10,22791,0,1,4,11,11395,0,1)","","(31028001,25,31028004,16)"
"16200141","1","","","(4,8,20349,0,1,4,7,8140,0,1,4,12,542,0,1)","","1","31030008","","0","26020905","(5,0)","","(4,8,427324,0,1,4,7,170930,0,1,4,12,11395,0,1)","","(31028002,28,31028004,18)"
"16200142","2","","","(4,5,2713,0,1,4,6,3256,0,1,4,9,1085,0,1)","","1","31030008","","0","26020905","(5,0)","","(4,5,56976,0,1,4,6,68372,0,1,4,9,22791,0,1)","","(31028003,35,31028004,23)"
"16200143","0","","","(4,8,21546,0,1,4,10,1149,0,1,4,11,574,0,1)","","1","31030009","","0","26020906","(5,0)","","(4,8,452461,0,1,4,10,24132,0,1,4,11,12065,0,1)","","(31028001,27,31028004,18)"
"16200144","1","","","(4,8,21546,0,1,4,7,8618,0,1,4,12,574,0,1)","","1","31030009","","0","26020906","(5,0)","","(4,8,452461,0,1,4,7,180985,0,1,4,12,12065,0,1)","","(31028002,30,31028004,20)"
"16200145","2","","","(4,5,2873,0,1,4,6,3447,0,1,4,9,1149,0,1)","","1","31030009","","0","26020906","(5,0)","","(4,5,60328,0,1,4,6,72394,0,1,4,9,24132,0,1)","","(31028003,37,31028004,24)"
"16200146","0","","","(4,8,22743,0,1,4,10,1213,0,1,4,11,606,0,1)","","1","31030010","","0","26020907","(5,0)","","(4,8,477597,0,1,4,10,25472,0,1,4,11,12736,0,1)","","(31028001,29,31028004,19)"
"16200147","1","","","(4,8,22743,0,1,4,7,9097,0,1,4,12,606,0,1)","","1","31030010","","0","26020907","(5,0)","","(4,8,477597,0,1,4,7,191039,0,1,4,12,12736,0,1)","","(31028002,32,31028004,21)"
"16200148","2","","","(4,5,3032,0,1,4,6,3639,0,1,4,9,1213,0,1)","","1","31030010","","0","26020907","(5,0)","","(4,5,63679,0,1,4,6,76416,0,1,4,9,25472,0,1)","","(31028003,39,31028004,25)"
"16200149","0","","","(4,8,23940,0,1,4,10,1277,0,1,4,11,638,0,1)","","1","31030014","","0","26020908","(5,0)","","(4,8,502734,0,1,4,10,26813,0,1,4,11,13406,0,1)","","(31028001,31,31028004,20)"
"16200150","1","","","(4,8,23940,0,1,4,7,9576,0,1,4,12,638,0,1)","","1","31030014","","0","26020908","(5,0)","","(4,8,502734,0,1,4,7,201094,0,1,4,12,13406,0,1)","","(31028002,34,31028004,22)"
"16200151","2","","","(4,5,3192,0,1,4,6,3830,0,1,4,9,1277,0,1)","","1","31030014","","0","26020908","(5,0)","","(4,5,67031,0,1,4,6,80438,0,1,4,9,26813,0,1)","","(31028003,41,31028004,27)"
"16200152","0","","","(4,8,25137,0,1,4,10,1341,0,1,4,11,670,0,1)","","1","31030049","","0","26020909","(5,0)","","(4,8,527871,0,1,4,10,28154,0,1,4,11,14076,0,1)","","(31028001,32,31028004,21)"
"16200153","1","","","(4,8,25137,0,1,4,7,10055,0,1,4,12,670,0,1)","","1","31030049","","0","26020909","(5,0)","","(4,8,527871,0,1,4,7,211149,0,1,4,12,14076,0,1)","","(31028002,35,31028004,23)"
"16200154","2","","","(4,5,3352,0,1,4,6,4022,0,1,4,9,1341,0,1)","","1","31030049","","0","26020909","(5,0)","","(4,5,70383,0,1,4,6,84460,0,1,4,9,28154,0,1)","","(31028003,43,31028004,28)"
"16200155","0","","","(4,8,25137,0,1,4,10,1341,0,1,4,11,670,0,1)","","1","31030080","","0","26020910","(5,0)","","(4,8,527871,0,1,4,10,28154,0,1,4,11,14076,0,1)","","(31028001,32,31028004,21)"
"16200156","1","","","(4,8,25137,0,1,4,7,10055,0,1,4,12,670,0,1)","","1","31030080","","0","26020910","(5,0)","","(4,8,527871,0,1,4,7,211149,0,1,4,12,14076,0,1)","","(31028002,35,31028004,23)"
"16200157","2","","","(4,5,3352,0,1,4,6,4022,0,1,4,9,1341,0,1)","","1","31030080","","0","26020910","(5,0)","","(4,5,70383,0,1,4,6,84460,0,1,4,9,28154,0,1)","","(31028003,43,31028004,28)"
"16200158","0","","","(4,8,26334,0,1,4,10,1405,0,1,4,11,702,0,1)","","1","31030086","","0","26020911","(5,0)","","(4,8,553007,0,1,4,10,29494,0,1,4,11,14747,0,1)","","(31028001,34,31028004,22)"
"16200159","1","","","(4,8,26334,0,1,4,7,10534,0,1,4,12,702,0,1)","","1","31030086","","0","26020911","(5,0)","","(4,8,553007,0,1,4,7,221203,0,1,4,12,14747,0,1)","","(31028002,37,31028004,24)"
"16200160","2","","","(4,5,3511,0,1,4,6,4213,0,1,4,9,1405,0,1)","","1","31030086","","0","26020911","(5,0)","","(4,5,73734,0,1,4,6,88482,0,1,4,9,29494,0,1)","","(31028003,46,31028004,30)"
"16200161","0","","","(4,8,28728,0,1,4,10,1532,0,1,4,11,766,0,1)","","1","31030098","","0","26020912","(5,0)","","(4,8,603281,0,1,4,10,32176,0,1,4,11,16087,0,1)","","(31028001,37,31028004,37)"
"16200162","1","","","(4,8,28728,0,1,4,7,11491,0,1,4,12,766,0,1)","","1","31030098","","0","26020912","(5,0)","","(4,8,603281,0,1,4,7,241313,0,1,4,12,16087,0,1)","","(31028002,41,31028004,41)"
"16200163","2","","","(4,5,3830,0,1,4,6,4596,0,1,4,9,1532,0,1)","","1","31030098","","0","26020912","(5,0)","","(4,5,80437,0,1,4,6,96526,0,1,4,9,32176,0,1)","","(31028003,51,31028004,51)"
"16200164","0","","","(4,8,31122,0,1,4,10,1660,0,1,4,11,829,0,1)","","1","31030092","","0","26020913","(5,0)","","(4,8,653554,0,1,4,10,34857,0,1,4,11,17428,0,1)","","(31028001,40,31028004,40)"
"16200165","1","","","(4,8,31122,0,1,4,7,12449,0,1,4,12,829,0,1)","","1","31030092","","0","26020913","(5,0)","","(4,8,653554,0,1,4,7,261422,0,1,4,12,17428,0,1)","","(31028002,45,31028004,45)"
"16200166","2","","","(4,5,4150,0,1,4,6,4979,0,1,4,9,1660,0,1)","","1","31030092","","0","26020913","(5,0)","","(4,5,87140,0,1,4,6,104569,0,1,4,9,34857,0,1)","","(31028003,55,31028004,55)"
"16200167","0","","","(4,8,32319,0,1,4,10,1724,0,1,4,11,861,0,1)","","1","31030104","","0","26020914","(5,0)","","(4,8,678691,0,1,4,10,36198,0,1,4,11,18098,0,1)","","(31028001,42,31028004,42)"
"16200168","1","","","(4,8,32319,0,1,4,7,12928,0,1,4,12,861,0,1)","","1","31030104","","0","26020914","(5,0)","","(4,8,678691,0,1,4,7,271477,0,1,4,12,18098,0,1)","","(31028002,47,31028004,47)"
"16200169","2","","","(4,5,4309,0,1,4,6,5171,0,1,4,9,1724,0,1)","","1","31030104","","0","26020914","(5,0)","","(4,5,90492,0,1,4,6,108591,0,1,4,9,36198,0,1)","","(31028003,58,31028004,58)"
"16200170","0","","","(4,8,33516,0,1,4,10,1788,0,1,4,11,893,0,1)","","1","31030110","","0","26020915","(5,0)","","(4,8,703828,0,1,4,10,37538,0,1,4,11,18768,0,1)","","(31028001,44,31028004,44)"
"16200171","1","","","(4,8,33516,0,1,4,7,13406,0,1,4,12,893,0,1)","","1","31030110","","0","26020915","(5,0)","","(4,8,703828,0,1,4,7,281532,0,1,4,12,18768,0,1)","","(31028002,49,31028004,49)"
"16200172","2","","","(4,5,4469,0,1,4,6,5362,0,1,4,9,1788,0,1)","","1","31030110","","0","26020915","(5,0)","","(4,5,93843,0,1,4,6,112613,0,1,4,9,37538,0,1)","","(31028003,60,31028004,60)"
"16200173","0","","","(4,8,23940,0,1,4,10,1277,0,1,4,11,638,0,1)","","1","31030015","","0","26020916","(5,0)","","(4,8,502734,0,1,4,10,26813,0,1,4,11,13406,0,1)","","(31028001,31,31028004,31)"
"16200174","1","","","(4,8,23940,0,1,4,7,9576,0,1,4,12,638,0,1)","","1","31030015","","0","26020916","(5,0)","","(4,8,502734,0,1,4,7,201094,0,1,4,12,13406,0,1)","","(31028002,34,31028004,34)"
"16200175","2","","","(4,5,3192,0,1,4,6,3830,0,1,4,9,1277,0,1)","","1","31030015","","0","26020916","(5,0)","","(4,5,67031,0,1,4,6,80438,0,1,4,9,26813,0,1)","","(31028003,41,31028004,41)"
"16200176","0","","","(4,8,35910,0,1,4,10,1916,0,1,4,11,957,0,1)","","1","31030120","","0","26023104","(5,0)","","(4,8,754101,0,1,4,10,40220,0,1,4,11,20109,0,1)","","(31028001,50,31028004,50)"
"16200177","1","","","(4,8,35910,0,1,4,7,14364,0,1,4,12,957,0,1)","","1","31030120","","0","26023104","(5,0)","","(4,8,754101,0,1,4,7,301641,0,1,4,12,20109,0,1)","","(31028002,55,31028004,55)"
"16200178","2","","","(4,5,4788,0,1,4,6,5745,0,1,4,9,1916,0,1)","","1","31030120","","0","26023104","(5,0)","","(4,5,100547,0,1,4,6,120657,0,1,4,9,40220,0,1)","","(31028003,68,31028004,68)"
"16200179","0","","","(4,8,35910,0,1,4,10,1916,0,1,4,11,957,0,1)","","1","31030130","","0","26023108","(5,0)","","(4,8,754101,0,1,4,10,40220,0,1,4,11,20109,0,1)","","(31028001,50,31028004,50)"
"16200180","1","","","(4,8,35910,0,1,4,7,14364,0,1,4,12,957,0,1)","","1","31030130","","0","26023108","(5,0)","","(4,8,754101,0,1,4,7,301641,0,1,4,12,20109,0,1)","","(31028002,55,31028004,55)"
"16200181","2","","","(4,5,4788,0,1,4,6,5745,0,1,4,9,1916,0,1)","","1","31030130","","0","26023108","(5,0)","","(4,5,100547,0,1,4,6,120657,0,1,4,9,40220,0,1)","","(31028003,68,31028004,68)"
"16201101","0","1","50","","(31141057,12)","","","","","","","","","",""
"16201102","0","2","50","","(31141057,12)","","","","","","","","","",""
"16201103","0","3","50","","(31141057,12)","","","","","","","","","",""
"16201104","0","4","50","","(31141057,12)","","","","","","","","","",""
"16201105","0","5","50","","(31141057,12)","","","","","","","","","",""
"16201106","0","6","50","","(31141057,12)","","","","","","","","","",""
"16201107","0","7","50","","(31141057,12)","","","","","","","","","",""
"16201108","0","8","50","","(31141057,12)","","","","","","","","","",""
"16201109","0","9","50","","(31141057,12)","","","","","","","","","",""
"16201110","0","10","50","","(31141057,12)","","","","","","","","","",""
"16201111","0","11","50","","(31141057,12)","","","","","","","","","",""
"16201112","0","12","50","","(31141057,12)","","","","","","","","","",""
"16201113","0","13","50","","(31141057,12)","","","","","","","","","",""
"16201114","0","14","50","","(31141057,12)","","","","","","","","","",""
"16201115","0","15","50","","(31141057,12)","","","","","","","","","",""
"16201116","0","16","50","","(31141057,12)","","","","","","","","","",""
"16201117","0","17","50","","(31141057,12)","","","","","","","","","",""
"16201118","0","18","50","","(31141057,12)","","","","","","","","","",""
"16201119","0","19","50","","(31141057,12)","","","","","","","","","",""
"16201120","0","20","50","","(31141057,12)","","","","","","","","","",""
"16201121","0","21","50","","(31141057,12)","","","","","","","","","",""
"16201122","0","22","50","","(31141057,12)","","","","","","","","","",""
"16201123","0","23","50","","(31141057,12)","","","","","","","","","",""
"16201124","0","24","50","","(31141057,12)","","","","","","","","","",""
"16201125","0","25","50","","(31141057,12)","","","","","","","","","",""
"16201126","0","26","50","","(31141057,12)","","","","","","","","","",""
"16201127","0","27","50","","(31141057,12)","","","","","","","","","",""
"16201128","0","28","50","","(31141057,12)","","","","","","","","","",""
"16201129","0","29","50","","(31141057,12)","","","","","","","","","",""
"16201130","0","30","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201131","0","31","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201132","0","32","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201133","0","33","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201134","0","34","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201135","0","35","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201136","0","36","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201137","0","37","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201138","0","38","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201139","0","39","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201140","0","40","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201141","0","41","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201142","0","42","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201143","0","43","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201144","0","44","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201145","0","45","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201146","0","46","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201147","0","47","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201148","0","48","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201149","0","49","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201150","0","50","50","","(31141058,6)","","","(5,0)","","","","","","",""
"16201201","1","1","50","","(31141057,13)","","","","","","","","","",""
"16201202","1","2","50","","(31141057,13)","","","","","","","","","",""
"16201203","1","3","50","","(31141057,13)","","","","","","","","","",""
"16201204","1","4","50","","(31141057,13)","","","","","","","","","",""
"16201205","1","5","50","","(31141057,13)","","","","","","","","","",""
"16201206","1","6","50","","(31141057,13)","","","","","","","","","",""
"16201207","1","7","50","","(31141057,13)","","","","","","","","","",""
"16201208","1","8","50","","(31141057,13)","","","","","","","","","",""
"16201209","1","9","50","","(31141057,13)","","","","","","","","","",""
"16201210","1","10","50","","(31141057,13)","","","","","","","","","",""
"16201211","1","11","50","","(31141057,13)","","","","","","","","","",""
"16201212","1","12","50","","(31141057,13)","","","","","","","","","",""
"16201213","1","13","50","","(31141057,13)","","","","","","","","","",""
"16201214","1","14","50","","(31141057,13)","","","","","","","","","",""
"16201215","1","15","50","","(31141057,13)","","","","","","","","","",""
"16201216","1","16","50","","(31141057,13)","","","","","","","","","",""
"16201217","1","17","50","","(31141057,13)","","","","","","","","","",""
"16201218","1","18","50","","(31141057,13)","","","","","","","","","",""
"16201219","1","19","50","","(31141057,13)","","","","","","","","","",""
"16201220","1","20","50","","(31141057,13)","","","","","","","","","",""
"16201221","1","21","50","","(31141057,13)","","","","","","","","","",""
"16201222","1","22","50","","(31141057,13)","","","","","","","","","",""
"16201223","1","23","50","","(31141057,13)","","","","","","","","","",""
"16201224","1","24","50","","(31141057,13)","","","","","","","","","",""
"16201225","1","25","50","","(31141057,13)","","","","","","","","","",""
"16201226","1","26","50","","(31141057,13)","","","","","","","","","",""
"16201227","1","27","50","","(31141057,13)","","","","","","","","","",""
"16201228","1","28","50","","(31141057,13)","","","","","","","","","",""
"16201229","1","29","50","","(31141057,13)","","","","","","","","","",""
"16201230","1","30","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201231","1","31","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201232","1","32","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201233","1","33","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201234","1","34","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201235","1","35","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201236","1","36","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201237","1","37","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201238","1","38","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201239","1","39","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201240","1","40","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201241","1","41","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201242","1","42","50","","(31141058,7)","","","(5,0)","","","","","","",""
"16201243","1","43","50","","(31141058,7)","","","(5,0)","","","","","","",""
