"AttributeId","SensitiveTextCH","SensitiveTextKR","SensitiveTextTW","SensitiveTextEN","SensitiveTextTHA","SensitiveTextVN","SensitiveTextJP","SensitiveTextRus","SensitiveTextSG"
"94000034","黄菊","거럐중걔","吳邦國","hard-on","กะสัน","","MDMA","","hard-on"
"94000035","吴官正","거럐중게","賈慶林","hardon","กะหรี่","","mdma","","hardon"
"94000036","李长春","거럐중계","賀國強","jackingoff","กาจู๋","","ｍｄｍａ","","jackingoff"
"94000037","吴仪","거럐증개","習近平","jackoff","กาเจี้ยว","","NGワード","","jackoff"
"94000038","回良玉","거럐증걔","李克強","jerkoff","กาดอ","","SEX","","jerkoff"
"94000039","曾培炎","거럐증게","周永康","jerkingoff","กาหรี่","","sex","","jerkingoff"
"94000040","周永康","거럐증계","李長春","jiz","กู","","ＳＥＸ","","jiz"
"94000041","曹刚川","거레종개","俞正聲","jizm","แก่น!","","ｓｅｘ","","jizm"
"94000042","唐家璇","거레종걔","張高麗","jizz","ขอรวมเพศหน่อย","","Sex","","jizz"
"94000043","华建敏","거레종게","薄熙來","lesbo","เย็ด","","Ｓｅｘ","","lesbo"
"94000044","陈至立","거레종계","達賴","lezbo","ค . ว . ย","","SeX","","lezbo"
"94000045","陈良宇","거레중개","和諧","lezzer","ค ร ว ย","","ＳｅＸ","","lezzer"
"94000046","张德江","거레중걔","胡溫","lezzie","ค ร วย","","SEx","","lezzie"
"94000047","张立昌","거레중게","jb","masterbate","ค รว ย","","ＳＥｘ","","masterbate"
"94000048","俞正声","거레중계","dick","masturbat","ค*วย","","sEx","","masturbat"
"94000049","王乐泉","거레증개","fuck","motherfucker","ค......................................ย","","ｓＥｘ","","motherfucker"
"94000050","刘云山","거레증걔","kao","orgasm","ค........ว............ย.........","","seX","","orgasm"
"94000051","王刚","거레증게","mb","orgy","ค.......ว*******p","","ｓｅＸ","","orgy"
"94000052","王兆国","거레증계","nnd","p0rn","ค.......ว*******ย","","sEX","","p0rn"
"94000053","刘淇","거례종개","sb","pedo","ค.....ว...........ย","","ｓＥＸ","","pedo"
"94000054","贺国强","거례종걔","sex","pedophile","ค....ว.....ย","","skype","","pedophile"
"94000055","郭伯雄","거례종게","shit","penis","ค...ย","","アーチャリー","","penis"
"94000056","胡耀邦","거례종계","民運","pr0n","ค...ว...ย","","ｱｰﾁｬﾘｰ","","pr0n"
"94000057","李登辉","거례중개","法輪","pron","ค..ย","","あーちゃりー","","pron"
"94000058","连战","거례중걔","海洛因","raping","ค..ว..ย","","アームカット","","raping"
"94000059","陈水扁","거례중게","中宣部","rapist","ค..ว..ย..","","あーむかっと","","rapist"
"94000060","宋楚瑜","거례중계","共產","retarded","ค.ร.ว.ย","","ｱｰﾑｶｯﾄ","","retarded"
"94000061","吕秀莲","거례증개","民進","sex","ค.รวย","","アーレフ","","sex"
"94000062","郁慕明","거례증걔","妓","sonofabitch","ค.ว.ย","","ｱｰﾚﾌ","","sonofabitch"
"94000063","蒋介石","거례증게","婊","spaz","ค.ว.ย.","","アイノコ","","spaz"
"94000064","蒋中正","거례증계","尻","sperm","ค.วย","","ｱｲﾉｺ","","sperm"
"94000065","蒋经国","게임마스터","淫","testicle","ค//ว//ย","","あいのこ","","testicle"
"94000066","马英九","게임운영자","遊行","tit","ค/ว/ย","","あいの子","","tit"
"94000067","习近平","경매장","生殖","twat","ค\ว\ย","","アオカン","","twat"
"94000068","李克强","계좌이체","罷工","vaj","ค^ว^ย","","ｱｵｶﾝ","","vaj"
"94000069","吴帮国","고객센터","罷課","wank","ค~ว~ย","","あおかん","","wank"
"94000070","无帮国","골드삼","群交","wanker","ค+ว+ย","","あきめくら","","wanker"
"94000071","无邦国","골드팜","肛交","whore","คvย","","ｱｷﾒｸﾗ","","whore"
"94000072","无帮过","공지사항","自焚","nazi","คคคคคคววววววววววยยยยยย","","アキメクラ","","nazi"
"94000073","瘟家宝","관리인","輿論","Douche","ค-ย","","アシッド","","Douche"
"94000074","假庆林","관리자","疆獨","fuck","คร วย ","","あっと","","fuck"
"94000075","甲庆林","담당자","疫情","cock","ครว ย","","アット","","cock"
"94000076","假青林","머니삼","睾丸","asshole","ครวย","","ｱｯﾄ","","asshole"
"94000077","离长春","머니상","小穴","bitch","คร-วย","","あなる","","bitch"
"94000078","习远平","머니업자","藏獨","faggot","ค-ร-ว-ย","","アメ公","","faggot"
"94000079","袭近平","머니팜","迫害","jackass","คว ย","","ｱﾒ公","","jackass"
"94000080","李磕墙","문의처리","集會","negro","คว*","","アレフ","","negro"
"94000081","贺过墙","상담원","陰莖","nigga","คว*ย","","ｱﾚﾌ","","nigga"
"94000082","和锅枪","아이템매니아","陰蒂","nigger","คว...............ย","","いーじー","","nigger"
"94000083","粥永康","아이템베이","陰道","porn","คว.ย","","イージー","","porn"
"94000084","轴永康","어드민","外掛","dick","ควญ","","ｲｰｼﾞｰ","","dick"
"94000085","肘永康","운영","大麻","masturbate","ควย","","いーじぃー","","masturbate"
"94000086","周健康","운영사","吸毒","vagina","คว-ย","","イージィー","","vagina"
"94000087","粥健康","운영자","中共","bastard","คว--ย","","ｲｰｼﾞｨｰ","","bastard"
"94000088","周小康","운영진","六四","balls","ค-วย","","イザリ","","balls"
"94000089","布什","운영팀","獸交","whore","ค-ว-ย","","ｲｻﾞﾘ","","whore"
"94000090","布莱尔","이벤트","騷穴","prostitute","ค---ว---ย","","いざり","","prostitute"
"94000091","小泉","작업장","騷逼","hoe","คว-ย ","","いざる","","hoe"
"94000092","纯一郎","정액","龜頭","slut","คววย","","イタ公","","slut"
"94000093","萨马兰奇","중개소","雞八","skank","ควววย","","ｲﾀ公","","skank"
"94000094","安南","중개인","雞巴","douche","โคดพ่อ","","イマラチオ","","douche"
"94000095","阿拉法特","중계소","上訪","pussy","โคตร","","ｲﾏﾗﾁｵ","","pussy"
"94000096","普京","중계인","東突","blowjob","โคตรพ่อ","","いらまちお","","blowjob"
"94000097","默克尔","쥐앰","卵子","boner","โคตรแม่","","インキン","","boner"
"94000098","克林顿","쥐엠","口交","autistic","โครตพ่อ","","ｲﾝｷﾝ","","autistic"
"94000099","里根","지앰","聖戰","autism","โครตพ่อโครตแม่","","いんきん","","autism"
"94000100","尼克松","지엠","革命","GM","โครตแม่","","インディアン","","knnbccb"
"94000101","林肯","직거래","大紀元","""","ฅ ว ย","","いんばい","",""""
"94000102","杜鲁门","책임자","天安門","\","ฅ วย","","ｲﾝﾊﾞｲ","","\"
"94000103","赫鲁晓夫","캐릭터삼","中南海","/","ฅว ย","","インバイ","","/"
"94000104","列宁","캐릭터팜","藏青會","GM","ฅวย","","インポ","","2girls1cup"
"94000105","斯大林","판매소","中國政府","GM","ฅว-ย","","ｲﾝﾎﾟ","","@ss"
"94000106","马克思","현거래","帶練","GM","ฅ-วย","","いんぽ","","@sshole"
"94000107","恩格斯","현금거래","開房","GM","ฅ-ว-ย","","ヴァギナ","","A1lah"
"94000108","金正日","U.LU GAMES","強暴","GM","เงี่ยน","","ｳﾞｧｷﾞﾅ","","adm1n"
"94000109","金日成","U.LUGAMES","性交","GM","เงี้ยน","","ヴぁぎな","","Admin"
"94000110","萨达姆","U.LU GAME","性愛","GM","จัญไร","","う゛ぁぎな","","administrater"
"94000111","胡志明","U.LUGAME","總理","GM","จันไร","","う゛ぁｷﾞﾅ","","administrator"
"94000112","西哈努克","ULU GAMES","情色","GM","จู๋","","う゛ぁギナ","","ahole"
"94000113","希拉克","ULUGAMES","打炮","GM","เจดแม่","","ヴァルヴァ","","Al1ah"
"94000114","撒切尔","ULU GAME","打飛機","GM","เจ็ทแม่","","ｳﾞｧﾙｳﾞｧ","","Allah"
"94000115","阿罗约","ULUGAME","暴徒","GM","เจสแม่","","ヴぁるヴぁ","","allah"
"94000116","曼德拉","환불","九評","GM","เจี๊ยว","","ヴァルバ","","anal"
"94000117","卡斯特罗","환/불","亂倫","GM","เจือก","","ｳﾞｧﾙﾊﾞ","","ancuak"
"94000118","富兰克林","환.불","人權","GM","ชักว่าว","","ヴぁるば","","anjing"
"94000119","华盛顿","10갈보","代練","GM","ชาติหมา","","うざい","","anjink"
"94000120","艾森豪威尔","10발욘","傳單","GM","ชิงหมาเกิด","","ウザイ","","anjir"
"94000121","拿破仑","10새끼","做愛","GM","ชิบหาย","","ウンチ","","annus"
"94000122","亚历山大","10새야","傻B","GM","เซ็ก","","ｳﾝﾁ","","anus"
"94000123","路易","10세기야","八九","GM","เซ็กจัด","","うんち","","anuss"
"94000124","拉姆斯菲尔德","10알놈","公告","GM","เซ็กซ์","","エ○チ","","arsch"
"94000125","劳拉","10알늠","胡瘟","GM","ด อ","","ｴ○ﾁ","","arschloch"
"94000126","鲍威尔","10팍","搖頭丸","GM","ดอกทอง","","え○ち","","arse"
"94000127","奥巴马","10팔","釣魚島","GM","ดูดปาก","","えーゆー","","arsehole"
"94000128","金三胖","10펄","紅色旅","GM","ดูดลิ้น","","エクスタシー","","arseholes"
"94000129","本拉登","10펄년","犧牲品","GM","ดูดหัวนม","","えすいーえっくす","","asa"
"94000130","奥马尔","18것","令計畫","GM","ดูหัวนม","","ｴｽｲｰｴｯｸｽ","","asaka"
"94000131","柴玲","18넘","尖閣列島","GM","แดก","","エスイーエックス","","ashole"
"94000132","达赖喇嘛","18년","民主","GM","ต ูด","","エックス","","Asiasoft"
"94000133","江青","18년아","東方閃電","GM","ตอแหล","","エッチ","","asiasoft"
"94000134","张春桥","18놈","全能教","GM","ตีน","","エッチすき","","ass"
"94000135","姚文元","18뇬","Admin","GM","ตี น","","ｴｯﾁすき","","Ass.Hole"
"94000136","王洪文","18눔","J8","GM","ตีฉิ่ง","","えっちすき","","Ass.hole"
"94000137","东条英机","18눰","肏","GM","ตู ด","","エッチフレンド","","aSS.hOLE"
"94000138","希特勒","18새끼","贔","GM","เตี่ยม่องหรอ","","ｴｯﾁﾌﾚﾝﾄﾞ","","ass.Hole"
"94000139","墨索里尼","18색히","三K","GM","แต ด","","えっちふれんど","","ass.hole"
"94000140","冈村秀树","18섹키","三個代","GM","ถอก","","ｴｯﾁ好き","","assbag"
"94000141","冈村宁次","18섹히","喬石","GM","ถุย","","えっち好き","","assbandit"
"94000142","高丽朴","18쇄끼","傻比","GM","นายโง่","","エッチ好き","","assbanger"
"94000143","赵紫阳","18쎄키","八九風波","GM","นายดอแหลน","","エッチ相手","","asscock"
"94000144","王丹","18쎅히","共產黨","GM","นายเด็กเวร","","ｴｯﾁ友","","asscrack"
"94000145","沃尔开西","2뇬","共黨","GM","นายทุเรศ","","えっち友","","asscracker"
"94000146","李洪志","69자세","賣淫","GM","นายบัดซบ","","エッチ友","","assface"
"94000147","李大师","69전문","國民黨","GM","นายเปรต","","えるえすでぃ","","assfawk"
"94000148","赖昌星","6시럴","太子党","GM","นายเป-รต","","エルエスディ","","assfok"
"94000149","马加爵","acbal","妣","GM","นายลาว","","ｴﾙｴｽﾃﾞｨ","","assfck"
"94000150","班禅","AC발","娼","GM","นายลูกกระหรี่","","エロ","","assfuck"
"94000151","额尔德尼","Anal","法輪功","GM","นายลูกหมา","","エロチャット","","assfuk"
"94000152","山本五十六","asshole","ＳＢ","GM","นายเลว","","ｴﾛﾁｬｯﾄ","","asshead"
"94000153","阿扁","bbagury","ＦＵＣＫ","GM","นายสราด","","えろちゃっと","","asshed"
"94000154","阿扁万岁","Bing신","ＦＡＬＵＮ","GM","นายสราดดดดดด","","エロビデオ","","asshole"
"94000155","热那亚","bitch","七二○","GM","นายสักหมา","","ｴﾛﾋﾞﾃﾞｵ","","ASSHOLE"
"94000156","热比娅","boji","明慧網","GM","นายสัด","","えろびでお","","AssHole"
"94000157","一边一国","Bojy","新生網","GM","นายสัดกะหมา","","エロマニア","","Asshole"
"94000158","两国论","bozi","圓明網","GM","นายสัดหมา","","ｴﾛﾏﾆｱ","","asshole"
"94000159","分裂中国","bozy","新唐人","GM","นายสัต","","えろまにあ","","assholes"
"94000160","革命","Bullshit","大陸當權者","GM","นายสัตร์","","えんこう","","asshols"
"94000161","茉莉花","BUNSEC","大陸當局","GM","นายสัตว","","エンコウ","","assholz"
"94000162","突尼斯","bunsek","大陸官員","GM","นายสันดาน","","ｴﾝｺｳ","","assjacker"
"94000163","国内动态详情","c8","顛覆政府","GM","นายสาด","","ｵｰﾊﾞｰﾄﾞｰｽﾞ","","assjobs"
"94000164","回回","ccibal","天門事件","GM","นายสารเลว","","オシッコ","","asskisser"
"94000165","六四","ccipal","氣槍","GM","นายเสี่ยว","","ｵｼｯｺ","","asslick"
"94000166","六四运动","ccival","手槍","GM","นายหน้าโง่","","おしっこ","","asslicker"
"94000167","美国之音","CE발","麻醉槍","GM","นายหน้าดอ","","オチンコ","","assliker"
"94000168","密宗","cibal","嫖娼","GM","นายหน้าด้าน","","ｵﾁﾝｺ","","assmonkey"
"94000169","民国","cipal","無碼電影","GM","นายหน้าตัวเมีย","","オッパイ","","assmunch"
"94000170","民进党","cival","SM虐待","GM","นายหน้าปิ๊","","ｵｯﾊﾟｲ","","assmuncher"
"94000171","民运","comesek","援交","GM","นายหน้ามึน","","おっぱい","","assniger"
"94000172","民主","comsek","娠嫖","GM","นายหน้าหมา","","オナ","","assnigger"
"94000173","民主潮","CONDOM","誘姦","GM","นายหอก","","ｵﾅって","","asssucker"
"94000174","摩门教","c박","迷奸","GM","นายหอยย่น","","オナって","","asswipe"
"94000175","纳粹","c발","淫蕩","GM","นายหัวถอก","","オナニー","","asu"
"94000176","南华早报","c벌","輪奸","GM","นายห่า","","ｵﾅﾆｰ","","auschwitz"
"94000177","南蛮","C부럴","姦淫","GM","น่าหม้อ","","おなにー","","ausschwitz"
"94000178","明慧网","c빨","針孔攝像機","GM","น้ำกาม","","オナる","","autis"
"94000179","起义","c뻘","無碼","GM","น้ำแตก","","ｵﾅる","","azzface"
"94000180","亲民党","c팍","馬克思","GM","บริการทางเพศ","","ォフ会","","azzhead"
"94000181","瘸腿帮","c팔","恩格斯","GM","บ๊วบ","","ｫﾌ会","","azzhole"
"94000182","人民报","c펄","列寧","GM","บัดซบ","","オフ会","","azzholz"
"94000183","法轮功","dildo","地址","GM","บ้าป่าววะ","","ｵﾌ会","","azzkizzer"
"94000184","法轮大法","dog새","全能神","GM","บีบหัวนม","","オマワリ","","azzlicker"
"94000185","打倒共产党","dog새끼","猥人習禁評","GM","ปิ๊","","ｵﾏﾜﾘ","","azzliker"
"94000186","台独万岁","fetish","沉默術士習禁評","GM","เป.ร.ต.","","オメコ","","azzwipe"
"94000187","圣战","fock","朱德","GM","เป็น ค ว ย อะไร","","ｵﾒｺ","","b00b"
"94000188","示威","fuck","彭德懷","GM","เปรต","","おめこ","","b00bs"
"94000189","台独","fuck you","林彪","GM","ไปดูดนมแม่ไป","","オリモノ","","babI"
"94000190","台独分子","FUCKER","劉伯承","GM","ไปตายซะ","","ｵﾘﾓﾉ","","baBi"
"94000191","台联","fucking","陳毅","GM","ไปตายสะ","","おりもの","","bAbi"
"94000192","台湾民国","FuckingUSA","賀龍","GM","ไปตายห่า","","おわいや","","baBI"
"94000193","台湾岛国","FUCKYOU","聶榮臻","GM","ไปหามารดาคุณ","","おわい屋","","BAbi"
"94000194","台湾国","gabozi","徐向前","GM","พ่ อ มึ ง ตา ย","","おんぼう","","BABI"
"94000195","台湾独立","goddam","羅榮桓","GM","พ่อ die","","ﾄﾘｺﾓﾅｽ","","BaBi"
"94000196","太子党","G랄","葉劍英","GM","พ่อคิงแม่คิง","","とりこもなす","","babi"
"94000197","天安门事件","hack","李大釗","GM","พ่อคิงหยั่ง","","トルエン","","bacot"
"94000198","屠杀","heck","陳獨秀","GM","พ่อคุณเหรอ","","ﾄﾙｴﾝ","","badass"
"94000199","新党","isex","孫中山","GM","พ่อตาย","","とるえん","","bading"
"94000200","新疆独立","jaji","孫文","GM","พ่อมรึงตาย","","ﾄﾙｺ嬢","","baiser"
"94000201","新疆分裂","jawe","孫逸仙","GM","พ่อมรึงสิ","","トルコ嬢","","bajingan"
"94000202","新疆国","jawi","陳雲","GM","พ่อเมิง","","とるこ嬢","","bancet"
"94000203","疆独","jazi","尉健行","GM","พ่อเมิงตาย","","ﾄﾙｺ風呂","","banci"
"94000204","西藏独立","jazy","曾慶紅","GM","พ่อแม่ไม่ได้สั่งสอน","","トルコ風呂","","bangke"
"94000205","西藏分裂","ja위","黃菊","GM","พ่อแม่ไม่สั่งสอน","","とるこ風呂","","bangsat"
"94000206","西藏国","JA지","吳官正","GM","พ่อไม่สั่งสอน","","なおめ","","barbi"
"94000207","藏独","jot","吳儀","GM","พ่อแย่จังตาย","","ニガー","","basstard"
"94000208","藏青会","MotherFucker","回良玉","GM","พ่อสิ้น","","ﾆｶﾞｰ","","bassterd"
"94000209","藏妇会","oio","曾培炎","GM","ฟัก ยู","","ニクボウ","","bassturd"
"94000210","学潮","penis","曹剛川","GM","ฟักยู","","ﾆｸﾎﾞｳ","","bastard"
"94000211","学运","porno","唐家璿","GM","มึ ง","","にくぼう","","basterd"
"94000212","一党专政","pussy","華建敏","GM","มึง","","ニグロ","","basturd"
"94000213","一中一台","sex","陳至立","GM","มึ-ง","","ﾆｸﾞﾛ","","bego"
"94000214","两个中国","SexPartner","陳良宇","GM","แม่ตาย","","ニコヨン","","bejad"
"94000215","一贯道","shit","張德江","GM","แม่ตายหรอไงว่ะ","","ﾆｺﾖﾝ","","bellend"
"94000216","游行","sibal","張立昌","GM","แม่ตายเหรอ","","にこよん","","bencong"
"94000217","造反","si팔","劉雲山","GM","แม่มรึงตาย","","にんそく","","benga"
"94000218","真善忍","sonofbitch","王岐山","GM","ยักสุเน็ต","","ニンソク","","biatch"
"94000219","镇压","ssibal","王樂泉","GM","ยัดแม่","","ﾆﾝｿｸ","","bigass"
"94000220","政变","ssibbal","王剛","GM","เย็ ด","","ﾈｵむぎ茶","","bilat"
"94000221","政治","ssipal","王兆國","GM","เย็.ด","","ネオむぎ茶","","bitch"
"94000222","政治反对派","ssival","劉淇","GM","เย้ด","","ﾈｵ麦茶","","Beetch"
"94000223","政治犯","suck","郭伯雄","GM","เย๊ด","","ネオ麦茶","","bxtchy"
"94000224","中共","suicide","李登輝","GM","เย็ต","","ネクロフィリア","","bxtch"
"94000225","共产党","threesome","連戰","GM","เย็ท","","ﾈｸﾛﾌｨﾘｱ","","beetch"
"94000226","反党","threesum","陳水扁","GM","แย่เม็ด","","ねくろふぃりあ","","bitchy"
"94000227","反共","YourMotherFuck","宋楚瑜","GM","ร่วมเพศ","","ネックカット","","Bitchy"
"94000228","政府","Zazi","呂秀蓮","GM","ร่าน","","ねっくかっと","","Bitch"
"94000229","民主党","zot","鬱慕明","GM","รุมโทรม","","ﾈｯｸｶｯﾄ","","bitchass"
"94000230","中国之春","zr지","蔣中正","GM","ลงแขก","","のうなんかしょう","","bitches"
"94000231","转法轮","ㄱㅐ새","蔣經國","GM","ล่อแม่","","ﾉｳﾅﾝｶｼｮｳ","","bitchie"
"94000232","自焚","가라마실년","馬英九","GM","ลาวสัด","","ノウナンカショウ","","bitchy"
"94000233","共党","가라마실놈","吳幫國","GM","ลูกอีกะหรี่","","のうまくえん","","blatch"
"94000234","共匪","가라머글년","無幫國","GM","ลูกอีดอกทอง","","ノウマクエン","","bloon"
"94000235","苏家屯","가라머글놈","無邦國","GM","ลูกอีสาด","","ﾉｳﾏｸｴﾝ","","blowjob"
"94000236","基地组织","가슴은말캉","無幫過","GM","เลวสัด","","ﾊﾟｰﾄﾅｰ登録","","bltch"
"94000237","塔利班","가터벨트","瘟家寶","GM","เลียหัวนม","","パートナー登録","","bodat"
"94000238","东亚病夫","간나새끼","假慶林","GM","เวรตะไล","","ばかちょん","","bolbol"
"94000239","支那","간지십알","甲慶林","GM","สถุน","","ﾊﾞｷﾞﾅ","","bollocks"
"94000240","高治联","간철수","假青林","GM","สถุล","","バギナ","","bolot"
"94000241","高自联","간철수연구소","離長春","GM","สราด","","ばぎな","","boner"
"94000242","专政","간호좆무사","習遠平","GM","หน้าควายตัวเมีย","","パク","","boob"
"94000243","专制","갈보","襲近平","GM","หน้าตัวเมีย","","パコ","","boobies"
"94000244","世界维吾尔大会","갈보쒸발년","李磕牆","GM","หน้าปิ","","ぱこ","","bewbs"
"94000245","核工业基地","갈보자식","賀過牆","GM","หน้าม่อ","","ぱこぱこ","","bewb"
"94000246","核武器","갈아마실년","和鍋槍","GM","หน้าเม็ด!","","パコパコ","","boobs"
"94000247","铀","갈아마실놈","粥永康","GM","หน้าหนัง!","","ハシシ","","bot"
"94000248","原子弹","갈아먹을년","軸永康","GM","หน้าหม้อ","","ﾊｼｼ","","bougnoul"
"94000249","氢弹","갈아먹을놈","肘永康","GM","หน้าหมา","","はしし","","boxun"
"94000250","导弹","강;간","周健康","GM","หน้าหรี","","ハシシュ","","brengsek"
"94000251","核潜艇","강1간","粥健康","GM","หน้าเหรี้ย","","ﾊｼｼｭ","","budek"
"94000252","大参考","강간","周小康","GM","หมอย","","はししゅ","","BullShit"
"94000253","小参考","강간","李肇星務","GM","หมาคาบไปแดก","","ﾊﾞﾀ屋","","Bullshit"
"94000254","国内动态清样","같은년","國務委員","GM","หมาไม่แดก","","ばた屋","","bullshit"
"94000255","释迦牟尼","개 년","國務院","GM","หยาบช้า","","バタ屋","","bullshlt"
"94000256","阿弥陀佛","개 보 지","中央委員","GM","หยีเหม็น ","","ぷち援","","bunghole"
"94000257","多维","개 보 지 ","發改委","GM","ห้วดอ","","ふりん","","bunting"
"94000258","河殇","개 보 지 년","國家發展和改革委員會","GM","หอกหัก","","フリン","","burit"
"94000259","穆罕默德","개 십보 지 야","發展和改革委員會","GM","หัวดอ","","ﾌﾘﾝ","","buta"
"94000260","耶和华","개 자 식","溫家飽","GM","หัวนม","","ふろうじ","","butoh"
"94000261","耶稣","개 자식","溫假飽","GM","หำ","","ﾌﾛｳｼﾞ","","butts"
"94000262","伊斯兰","개 호 로 들","胡驚濤","GM","หี","","フロウジ","","buttbutt"
"94000263","真主安拉","개 호 로 새 기","習仲勳","GM","เห็ดสด","","ふろうしゃ","","buttbreath"
"94000264","白莲教","개 호 로 세 끼 야","彭麗媛","GM","เหี้ย","","ﾌﾛｳｼｬ","","buttface"
"94000265","天主教","개,같,은,년,","新聞出版總署","GM","เหี๊ย","","フロウシャ","","butthead"
"94000266","基督教","개,세,끼,야","新聞出版署","GM","ไอ้ควาย","","ペーパー","","butthole"
"94000267","东正教","개;새","布希","GM","องคชาติ","","ぺチャパイ","","buttpicker"
"94000268","大法","개10창","布雷爾","GM","อมหัวดอ","","ﾍﾟﾁｬﾊﾟｲ","","buttplcker"
"94000269","法轮","개18놈","小泉","GM","อยากมี sex","","ぺちゃぱい","","buttplug"
"94000270","真理教","개1새","純一郎","GM","อยากเสียว","","ペテン師","","buttsex"
"94000271","走向圆满","개1새기","薩馬蘭奇","GM","อยากอึบ","","ﾍﾟﾃﾝ師","","buttwipe"
"94000272","黄大仙","개1세","安南","GM","อยากเอาหญิง","","ベトコン","","buttwlpe"
"94000273","跳大神","개2새끼","阿拉法特","GM","อ่อน!","","ﾍﾞﾄｺﾝ","","C0ck"
"94000274","神汉","개x새x끼","普京","GM","อ่อนสัด","","べとこん","","cabron"
"94000275","神婆","개가튼","默克爾","GM","อัณฑะ","","ペドフィリア","","cacad"
"94000276","大卫教","개가튼년","克林頓","GM","อัดถั่วดำ","","ﾍﾟﾄﾞﾌｨﾘｱ","","cacat"
"94000277","阎王","개갈보","雷根","GM","อ้าย!","","ペどふぃりあ","","camfrog"
"94000278","黑白无常","개같","尼克森","GM","อ้ายเ ว ร","","ペニス","","carpetmuncher"
"94000279","牛头马面","개같은","林肯","GM","อายเชี้ย","","ﾍﾟﾆｽ","","cB"
"94000280","高丽棒子","개같은년","杜魯門","GM","อ้ายฟาย","","ぺにす","","Cb"
"94000281","蒙古鞑子","개같은년","赫魯雪夫","GM","อ้ายสัด","","ヘロイン","","cb"
"94000282","老毛子","개같은년","史達林","GM","อายสาด","","ﾍﾛｲﾝ","","CB"
"94000283","回民吃猪肉k粉","개같은놈","金正日","GM","อ้ายสาด","","へろいん","","CCB"
"94000284","港灿狗","개같은뇬","金日成","GM","อ้ายสาดหมา","","へんたい","","ccb"
