"AttributeId","level","ItemIdList","ItemNumList","AddonShopId","MoneyCostList","InheritAddonRatio","Noticeld","SuccessRate","EquipBuffArray"
"42000018","17","(31020008)","(3)","35011007","(2,0)","(2,181,3,6)","","80","(0,10260001,10260008,10260015,10260022)"
"42000019","18","(31020008)","(3)","35011007","(2,0)","(2,207,3,7)","","80","(0,10260001,10260008,10260015,10260022)"
"42000020","19","(31020008)","(3)","35011007","(2,0)","(2,235,3,7)","","80","(0,10260001,10260008,10260015,10260022)"
"42000021","20","(31020008)","(4)","35011007","(2,0)","(2,265,3,8)","93000036","65","(0,10260001,10260008,10260015,10260022)"
"42000022","21","(31020008)","(4)","35011007","(2,0)","(2,298,3,8)","","65","(0,10260001,10260008,10260015,10260022)"
"42000023","22","(31020008)","(4)","35011007","(2,0)","(2,334,3,9)","","65","(0,10260001,10260008,10260015,10260022)"
"42000024","23","(31020008)","(4)","35011007","(2,0)","(2,373,3,10)","","65","(0,10260001,10260008,10260015,10260022)"
"42000025","24","(31020008)","(4)","35011007","(2,0)","(2,415,3,11)","","65","(0,10260001,10260008,10260015,10260022)"
"42000026","25","(31020008)","(4)","35011007","(2,0)","(2,460,3,13)","","65","(0,10260001,10260008,10260015,10260022)"
"42000027","26","(31020008)","(4)","35011007","(2,0)","(2,508,3,14)","","65","(0,10260001,10260008,10260015,10260022)"
"42000028","27","(31020008)","(4)","35011007","(2,0)","(2,559,3,15)","","65","(0,10260001,10260008,10260015,10260022)"
"42000029","28","(31020008)","(4)","35011007","(2,0)","(2,613,3,16)","","65","(0,10260001,10260008,10260015,10260022)"
"42000030","29","(31020008)","(4)","35011007","(2,0)","(2,670,3,17)","","65","(0,10260001,10260008,10260015,10260022)"
"42000031","30","(31020008)","(5)","35011007","(2,0)","(2,730,3,18)","93000036","50","(0,10260002,10260009,10260016,10260023)"
"42000032","31","(31020008)","(5)","35011007","(2,0)","(2,794,3,20)","","50","(0,10260002,10260009,10260016,10260023)"
"42000033","32","(31020008)","(5)","35011007","(2,0)","(2,862,3,22)","","50","(0,10260002,10260009,10260016,10260023)"
"42000034","33","(31020008)","(5)","35011007","(2,0)","(2,934,3,23)","","50","(0,10260002,10260009,10260016,10260023)"
"42000035","34","(31020008)","(5)","35011007","(2,0)","(2,1010,3,25)","","50","(0,10260002,10260009,10260016,10260023)"
"42000036","35","(31020008)","(5)","35011007","(2,0)","(2,1090,3,27)","","50","(0,10260002,10260009,10260016,10260023)"
"42000037","36","(31020008)","(5)","35011007","(2,0)","(2,1174,3,29)","","50","(0,10260002,10260009,10260016,10260023)"
"42000038","37","(31020008)","(5)","35011007","(2,0)","(2,1262,3,32)","","50","(0,10260002,10260009,10260016,10260023)"
"42000039","38","(31020008)","(5)","35011007","(2,0)","(2,1354,3,34)","","50","(0,10260002,10260009,10260016,10260023)"
"42000040","39","(31020008)","(5)","35011007","(2,0)","(2,1450,3,36)","","50","(0,10260002,10260009,10260016,10260023)"
"42000041","40","(31020008)","(6)","35011007","(2,0)","(2,1550,3,39)","93000036","40","(0,10260002,10260009,10260016,10260023)"
"42000042","41","(31020008)","(6)","35011007","(2,0)","(2,1655,3,41)","","40","(0,10260002,10260009,10260016,10260023)"
"42000043","42","(31020008)","(6)","35011007","(2,0)","(2,1765,3,44)","","40","(0,10260002,10260009,10260016,10260023)"
"42000044","43","(31020008)","(6)","35011007","(2,0)","(2,1880,3,47)","","40","(0,10260002,10260009,10260016,10260023)"
"42000045","44","(31020008)","(6)","35011007","(2,0)","(2,2000,3,50)","","40","(0,10260002,10260009,10260016,10260023)"
"42000046","45","(31020008)","(6)","35011007","(2,0)","(2,2125,3,53)","","40","(0,10260002,10260009,10260016,10260023)"
"42000047","46","(31020008)","(6)","35011007","(2,0)","(2,2255,3,56)","","40","(0,10260002,10260009,10260016,10260023)"
"42000048","47","(31020008)","(6)","35011007","(2,0)","(2,2390,3,60)","","40","(0,10260002,10260009,10260016,10260023)"
"42000049","48","(31020008)","(6)","35011007","(2,0)","(2,2530,3,63)","","40","(0,10260002,10260009,10260016,10260023)"
"42000050","49","(31020008)","(6)","35011007","(2,0)","(2,2675,3,67)","","40","(0,10260002,10260009,10260016,10260023)"
"42000051","50","(31020008)","(7)","35011007","(2,0)","(2,2825,3,71)","93000177","30","(0,10260003,10260010,10260017,10260024)"
"42000052","51","(31020008)","(7)","35011007","(2,0)","(2,2981,3,75)","","30","(0,10260003,10260010,10260017,10260024)"
"42000053","52","(31020008)","(7)","35011007","(2,0)","(2,3143,3,79)","","30","(0,10260003,10260010,10260017,10260024)"
"42000054","53","(31020008)","(7)","35011007","(2,0)","(2,3311,3,83)","","30","(0,10260003,10260010,10260017,10260024)"
"42000055","54","(31020008)","(7)","35011007","(2,0)","(2,3485,3,87)","","30","(0,10260003,10260010,10260017,10260024)"
"42000056","55","(31020008)","(7)","35011007","(2,0)","(2,3665,3,92)","","30","(0,10260003,10260010,10260017,10260024)"
"42000057","56","(31020008)","(7)","35011007","(2,0)","(2,3851,3,96)","","30","(0,10260003,10260010,10260017,10260024)"
"42000058","57","(31020008)","(7)","35011007","(2,0)","(2,4043,3,101)","","30","(0,10260003,10260010,10260017,10260024)"
"42000059","58","(31020008)","(7)","35011007","(2,0)","(2,4241,3,106)","","30","(0,10260003,10260010,10260017,10260024)"
"42000060","59","(31020008)","(7)","35011007","(2,0)","(2,4445,3,111)","","30","(0,10260003,10260010,10260017,10260024)"
"42000061","60","(31020008)","(8)","35011007","(2,0)","(2,4655,3,116)","93000177","20","(0,10260003,10260010,10260017,10260024)"
"42000062","61","(31020008)","(8)","35011007","(2,0)","(2,4872,3,122)","","20","(0,10260003,10260010,10260017,10260024)"
"42000063","62","(31020008)","(8)","35011007","(2,0)","(2,5096,3,127)","","20","(0,10260003,10260010,10260017,10260024)"
"42000064","63","(31020008)","(8)","35011007","(2,0)","(2,5327,3,133)","","20","(0,10260003,10260010,10260017,10260024)"
"42000065","64","(31020008)","(8)","35011007","(2,0)","(2,5565,3,139)","","20","(0,10260003,10260010,10260017,10260024)"
"42000066","65","(31020008)","(8)","35011007","(2,0)","(2,5810,3,145)","","20","(0,10260003,10260010,10260017,10260024)"
"42000067","66","(31020008)","(8)","35011007","(2,0)","(2,6062,3,152)","","20","(0,10260003,10260010,10260017,10260024)"
"42000068","67","(31020008)","(8)","35011007","(2,0)","(2,6321,3,158)","","20","(0,10260003,10260010,10260017,10260024)"
"42000069","68","(31020008)","(8)","35011007","(2,0)","(2,6587,3,165)","","20","(0,10260003,10260010,10260017,10260024)"
"42000070","69","(31020008)","(8)","35011007","(2,0)","(2,6860,3,172)","","20","(0,10260003,10260010,10260017,10260024)"
"42000071","70","(31020008)","(9)","35011007","(2,0)","(2,7140,3,179)","93000177","10","(0,10260004,10260011,10260018,10260025)"
"42000072","71","(31020008)","(9)","35011007","(2,0)","(2,7428,3,186)","","10","(0,10260004,10260011,10260018,10260025)"
"42000073","72","(31020008)","(9)","35011007","(2,0)","(2,7724,3,193)","","10","(0,10260004,10260011,10260018,10260025)"
"42000074","73","(31020008)","(9)","35011007","(2,0)","(2,8028,3,201)","","10","(0,10260004,10260011,10260018,10260025)"
"42000075","74","(31020008)","(9)","35011007","(2,0)","(2,8340,3,209)","","10","(0,10260004,10260011,10260018,10260025)"
"42000076","75","(31020008)","(9)","35011007","(2,0)","(2,8660,3,217)","","10","(0,10260004,10260011,10260018,10260025)"
"42000077","76","(31020008)","(9)","35011007","(2,0)","(2,8988,3,225)","","10","(0,10260004,10260011,10260018,10260025)"
"42000078","77","(31020008)","(9)","35011007","(2,0)","(2,9324,3,233)","","10","(0,10260004,10260011,10260018,10260025)"
"42000079","78","(31020008)","(9)","35011007","(2,0)","(2,9668,3,242)","","10","(0,10260004,10260011,10260018,10260025)"
"42000080","79","(31020008)","(9)","35011007","(2,0)","(2,10020,3,251)","","10","(0,10260004,10260011,10260018,10260025)"
"42000081","80","(31020008)","(10)","35011007","(2,0)","(2,10380,3,259)","93000177","5","(0,10260004,10260011,10260018,10260025)"
"42000082","81","(31020008)","(10)","35011007","(2,0)","(2,10749,3,267)","","5","(0,10260004,10260011,10260018,10260025)"
"42000083","82","(31020008)","(10)","35011007","(2,0)","(2,11127,3,275)","","5","(0,10260004,10260011,10260018,10260025)"
"42000084","83","(31020008)","(10)","35011007","(2,0)","(2,11514,3,283)","","5","(0,10260004,10260011,10260018,10260025)"
"42000085","84","(31020008)","(10)","35011007","(2,0)","(2,11910,3,291)","","5","(0,10260004,10260011,10260018,10260025)"
"42000086","85","(31020008)","(10)","35011007","(2,0)","(2,12315,3,299)","","5","(0,10260004,10260011,10260018,10260025)"
"42000087","86","(31020008)","(10)","35011007","(2,0)","(2,12729,3,307)","","5","(0,10260004,10260011,10260018,10260025)"
"42000088","87","(31020008)","(10)","35011007","(2,0)","(2,13152,3,315)","","5","(0,10260004,10260011,10260018,10260025)"
"42000089","88","(31020008)","(10)","35011007","(2,0)","(2,13584,3,323)","","5","(0,10260004,10260011,10260018,10260025)"
"42000090","89","(31020008)","(10)","35011007","(2,0)","(2,14025,3,331)","","5","(0,10260004,10260011,10260018,10260025)"
"42000091","90","(31020008)","(11)","35011007","(2,0)","(2,14475,3,340)","93000177","3","(0,10260005,10260012,10260019,10260026)"
"42000092","91","(31020008)","(11)","35011007","(2,0)","(2,14935,3,349)","","3","(0,10260005,10260012,10260019,10260026)"
"42000093","92","(31020008)","(11)","35011007","(2,0)","(2,15405,3,358)","","3","(0,10260005,10260012,10260019,10260026)"
"42000094","93","(31020008)","(11)","35011007","(2,0)","(2,15885,3,367)","","3","(0,10260005,10260012,10260019,10260026)"
"42000095","94","(31020008)","(11)","35011007","(2,0)","(2,16375,3,376)","","3","(0,10260005,10260012,10260019,10260026)"
"42000096","95","(31020008)","(11)","35011007","(2,0)","(2,16875,3,385)","","3","(0,10260005,10260012,10260019,10260026)"
"42000097","96","(31020008)","(11)","35011007","(2,0)","(2,17385,3,394)","","3","(0,10260005,10260012,10260019,10260026)"
"42000098","97","(31020008)","(11)","35011007","(2,0)","(2,17905,3,403)","","3","(0,10260005,10260012,10260019,10260026)"
"42000099","98","(31020008)","(11)","35011007","(2,0)","(2,18435,3,412)","","3","(0,10260005,10260012,10260019,10260026)"
"42000100","99","(31020008)","(11)","35011007","(2,0)","(2,18975,3,421)","","3","(0,10260005,10260012,10260019,10260026)"
"42000101","100","(31020008)","(12)","35011007","(2,0)","(2,19525,3,430)","93000177","3","(0,10260006,10260013,10260020,10260027)"
"42000102","101","(31020008)","(12)","35011007","(2,0)","(2,20085,3,439)","","3","(0,10260006,10260013,10260020,10260027)"
"42000103","102","(31020008)","(12)","35011007","(2,0)","(2,20655,3,448)","","3","(0,10260006,10260013,10260020,10260027)"
"42000104","103","(31020008)","(12)","35011007","(2,0)","(2,21235,3,457)","","3","(0,10260006,10260013,10260020,10260027)"
"42000105","104","(31020008)","(12)","35011007","(2,0)","(2,21825,3,466)","","3","(0,10260006,10260013,10260020,10260027)"
"42000106","105","(31020008)","(12)","35011007","(2,0)","(2,22425,3,475)","","3","(0,10260006,10260013,10260020,10260027)"
"42000107","106","(31020008)","(12)","35011007","(2,0)","(2,23035,3,484)","","3","(0,10260006,10260013,10260020,10260027)"
"42000108","107","(31020008)","(12)","35011007","(2,0)","(2,23655,3,493)","","3","(0,10260006,10260013,10260020,10260027)"
"42000109","108","(31020008)","(12)","35011007","(2,0)","(2,24285,3,502)","","3","(0,10260006,10260013,10260020,10260027)"
"42000110","109","(31020008)","(12)","35011007","(2,0)","(2,24925,3,511)","","3","(0,10260006,10260013,10260020,10260027)"
"42000111","110","(31020008)","(13)","35011007","(2,0)","(2,25575,3,520)","93000177","3","(0,10260006,10260013,10260020,10260027)"
"42000112","111","(31020008)","(13)","35011007","(2,0)","(2,26235,3,529)","","3","(0,10260006,10260013,10260020,10260027)"
"42000113","112","(31020008)","(13)","35011007","(2,0)","(2,26905,3,538)","","3","(0,10260006,10260013,10260020,10260027)"
"42000114","113","(31020008)","(13)","35011007","(2,0)","(2,27585,3,547)","","3","(0,10260006,10260013,10260020,10260027)"
"42000115","114","(31020008)","(13)","35011007","(2,0)","(2,28275,3,556)","","3","(0,10260006,10260013,10260020,10260027)"
"42000116","115","(31020008)","(13)","35011007","(2,0)","(2,28975,3,565)","","3","(0,10260006,10260013,10260020,10260027)"
"42000117","116","(31020008)","(13)","35011007","(2,0)","(2,29685,3,574)","","3","(0,10260006,10260013,10260020,10260027)"
"42000118","117","(31020008)","(13)","35011007","(2,0)","(2,30405,3,583)","","3","(0,10260006,10260013,10260020,10260027)"
"42000119","118","(31020008)","(13)","35011007","(2,0)","(2,31135,3,592)","","3","(0,10260006,10260013,10260020,10260027)"
"42000120","119","(31020008)","(13)","35011007","(2,0)","(2,31875,3,601)","","3","(0,10260006,10260013,10260020,10260027)"
"42000121","120","(0)","(0)","","0","(2,32625,3,610)","93000177","1","(0,10260007,10260014,10260021,10260028)"
