"AttributeId","NameId","CurrentCanto","CurrentOrder","CurrentStar","MoneyConsume","NeedChapter","AddAtt","Mesh","AnimBP","UnlockStateBuffId","IconID","TinderShotDescribe","TinderUnlockClue","AddStarLevel"
"65000011","90096010","2","11","0","","11","(4,8,5116,0,1,4,5,641,0,1,4,6,765,0,1,4,7,1534,0,1,4,9,254,0,1,4,10,254,0,1,4,13,0.022,0,1)","76980769","91053402","(10990615,10990621,10990627,10990633)","91231318","90096058","90096034","1"
"65000012","90096011","2","12","0","","12","(4,8,6412,0,1,4,5,803,0,1,4,6,959,0,1,4,7,1923,0,1,4,9,319,0,1,4,10,319,0,1,4,13,0.024,0,1)","76980769","91053402","(10990616,10990622,10990628,10990634)","91231319","90096059","90096035","1"
"65000013","90096012","3","13","0","","13","(4,8,7926,0,1,4,5,992,0,1,4,6,1186,0,1,4,7,2377,0,1,4,9,394,0,1,4,10,394,0,1,4,13,0.026,0,1)","76980766","91053402","(10990611,10990635,10990641,10990647)","91231320","90096060","90096036","1"
"65000014","90096013","3","14","0","","14","(4,8,9693,0,1,4,5,1213,0,1,4,6,1451,0,1,4,7,2907,0,1,4,9,482,0,1,4,10,482,0,1,4,13,0.028,0,1)","76980766","91053402","(10990612,10990636,10990642,10990648)","91231321","90096061","90096037","1"
"65000015","90096014","3","15","0","","15","(4,8,11754,0,1,4,5,1471,0,1,4,6,1760,0,1,4,7,3526,0,1,4,9,585,0,1,4,10,585,0,1,4,13,0.03,0,1)","76980766","91053402","(10990613,10990637,10990643,10990649)","91231322","90096062","90096038","1"
"65000016","90096015","3","16","0","","16","(4,8,14157,0,1,4,5,1771,0,1,4,6,2120,0,1,4,7,4247,0,1,4,9,705,0,1,4,10,705,0,1,4,13,0.032,0,1)","76980766","91053402","(10990614,10990638,10990644,10990650)","91231323","90096063","90096039","1"
"65000017","90096016","3","17","0","","17","(4,8,16955,0,1,4,5,2121,0,1,4,6,2540,0,1,4,7,5087,0,1,4,9,845,0,1,4,10,845,0,1,4,13,0.034,0,1)","76980766","91053402","(10990615,10990639,10990645,10990651)","91231324","90096064","90096040","1"
"65000018","90096017","3","18","0","","18","(4,8,20211,0,1,4,5,2528,0,1,4,6,3029,0,1,4,7,6064,0,1,4,9,1008,0,1,4,10,1008,0,1,4,13,0.036,0,1)","76980766","91053402","(10990616,10990640,10990646,10990652)","91231325","90096065","90096041","1"
"65000019","90096018","4","19","0","","19","(4,8,23997,0,1,4,5,3002,0,1,4,6,3597,0,1,4,7,7200,0,1,4,9,1198,0,1,4,10,1198,0,1,4,13,0.038,0,1)","76980767","91053402","(10990611,10990671,10990677,10990683)","91231326","90096066","90096042","1"
"65000020","90096019","4","20","0","","20","(4,8,28394,0,1,4,5,3551,0,1,4,6,4256,0,1,4,7,8519,0,1,4,9,1417,0,1,4,10,1417,0,1,4,13,0.04,0,1)","76980767","91053402","(10990612,10990672,10990678,10990684)","91231327","90096067","90096043","1"
"65000021","90096020","4","21","0","","21","(4,8,33496,0,1,4,5,4189,0,1,4,6,5022,0,1,4,7,10050,0,1,4,9,1673,0,1,4,10,1673,0,1,4,13,0.042,0,1)","76980767","91053402","(10990613,10990673,10990679,10990685)","91231328","90096068","90096044","1"
"65000022","90096021","4","22","0","","22","(4,8,39405,0,1,4,5,4928,0,1,4,6,5908,0,1,4,7,11823,0,1,4,9,1969,0,1,4,10,1969,0,1,4,13,0.044,0,1)","76980767","91053402","(10990614,10990674,10990680,10990686)","91231329","90096069","90096045","1"
"65000023","90096022","4","23","0","","23","(4,8,46245,0,1,4,5,5783,0,1,4,6,6933,0,1,4,7,13874,0,1,4,9,2311,0,1,4,10,2311,0,1,4,13,0.046,0,1)","76980767","91053402","(10990615,10990675,10990681,10990687)","91231330","90096070","90096046","1"
"65000024","90096023","4","24","0","","24","(4,8,54149,0,1,4,5,6771,0,1,4,6,8119,0,1,4,7,16245,0,1,4,9,2706,0,1,4,10,2706,0,1,4,13,0.048,0,1)","76980767","91053402","(10990616,10990676,10990682,10990688)","91231331","90096071","90096047","1"
"65000025","90096693","5","25","0","","25","(4,8,62889,0,1,4,5,7863,0,1,4,6,9430,0,1,4,7,18867,0,1,4,9,3143,0,1,4,10,3143,0,1,4,13,0.05,0,1)","76980794","91053402","(10990611,10990697,10990703,10990709)","91231357","90096705","90096699","1"
"65000026","90096694","5","26","0","","26","(4,8,72538,0,1,4,5,9069,0,1,4,6,10878,0,1,4,7,21762,0,1,4,9,3626,0,1,4,10,3626,0,1,4,13,0.052,0,1)","76980794","91053402","(10990612,10990698,10990704,10990710)","91231358","90096706","90096700","1"
"65000027","90096695","5","27","0","","27","(4,8,83172,0,1,4,5,10399,0,1,4,6,12473,0,1,4,7,24952,0,1,4,9,4158,0,1,4,10,4158,0,1,4,13,0.054,0,1)","76980794","91053402","(10990613,10990699,10990705,10990711)","91231359","90096707","90096701","1"
"65000028","90096696","5","28","0","","28","(4,8,94869,0,1,4,5,11862,0,1,4,6,14227,0,1,4,7,28461,0,1,4,9,4743,0,1,4,10,4743,0,1,4,13,0.056,0,1)","76980794","91053402","(10990614,10990700,10990706,10990712)","91231360","90096708","90096702","1"
"65000029","90096697","5","29","0","","29","(4,8,107710,0,1,4,5,13467,0,1,4,6,16153,0,1,4,7,32313,0,1,4,9,5385,0,1,4,10,5385,0,1,4,13,0.058,0,1)","76980794","91053402","(10990615,10990701,10990707,10990713)","91231361","90096709","90096703","1"
"65000030","90096698","5","30","0","","30","(4,8,121774,0,1,4,5,15225,0,1,4,6,18263,0,1,4,7,36533,0,1,4,9,6088,0,1,4,10,6088,0,1,4,13,0.06,0,1)","76980794","91053402","(10990616,10990702,10990708,10990714)","91231362","90096710","90096704","1"
"65000031","90096914","6","31","0","(31000189,150,31000190,100,31000191,50,31000192,30)","31","(4,8,188573,0,1,4,5,23575,0,1,4,6,28283,0,1,4,7,56572,0,1,4,9,9428,0,1,4,10,9428,0,1,4,13,0.062,0,1)","76980797","91053402","(10990617,10990703,10990709,10990715)","91290682","90096922","90096918","1"
"65000032","90096915","6","32","0","(31000193,150,31000194,100,31000195,50,31000196,30)","32","(4,8,258185,0,1,4,5,32276,0,1,4,6,38725,0,1,4,7,77456,0,1,4,9,12909,0,1,4,10,12909,0,1,4,13,0.0640000000000001,0,1)","76980797","91053402","(10990618,10990704,10990710,10990716)","91290683","90096923","90096919","1"
"65000033","90096916","6","33","0","(31000197,150,31000198,100,31000199,50,31000200,30)","33","(4,8,330504,0,1,4,5,41316,0,1,4,6,49573,0,1,4,7,99152,0,1,4,9,16525,0,1,4,10,16525,0,1,4,13,0.0660000000000001,0,1)","76980797","91053402","(10990619,10990705,10990711,10990717)","91290684","90096924","90096920","1"
"65000034","90096917","6","34","0","(31000201,150,31000202,100,31000203,50,31000204,30)","34","(4,8,405376,0,1,4,5,50675,0,1,4,6,60804,0,1,4,7,121614,0,1,4,9,20269,0,1,4,10,20269,0,1,4,13,0.0680000000000001,0,1)","76980797","91053402","(10990620,10990706,10990712,10990718)","91290685","90096925","90096921","1"
"65010001","90096000","1","1","1","(11,500)","1","(4,8,51,0,1,4,5,7,0,1,4,6,8,0,1,4,7,16,0,1,4,9,3,0,1,4,10,3,0,1,4,13,0.002,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010002","90096000","1","1","2","(11,550)","1","(4,8,106,0,1,4,5,14,0,1,4,6,16,0,1,4,7,32,0,1,4,9,6,0,1,4,10,6,0,1,4,13,0.004,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010003","90096000","1","1","3","(11,610)","1","(4,8,167,0,1,4,5,21,0,1,4,6,25,0,1,4,7,50,0,1,4,9,9,0,1,4,10,9,0,1,4,13,0.006,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010004","90096000","1","1","4","(11,680)","1","(4,8,233,0,1,4,5,30,0,1,4,6,35,0,1,4,7,70,0,1,4,9,12,0,1,4,10,12,0,1,4,13,0.008,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010005","90096000","1","1","5","(11,750)","1","(4,8,307,0,1,4,5,39,0,1,4,6,46,0,1,4,7,92,0,1,4,9,16,0,1,4,10,16,0,1,4,13,0.01,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010006","90096000","1","1","6","(11,830)","1","(4,8,388,0,1,4,5,49,0,1,4,6,59,0,1,4,7,117,0,1,4,9,20,0,1,4,10,20,0,1,4,13,0.012,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010007","90096000","1","1","7","(11,920)","1","(4,8,477,0,1,4,5,60,0,1,4,6,72,0,1,4,7,143,0,1,4,9,24,0,1,4,10,24,0,1,4,13,0.014,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010008","90096000","1","1","8","(11,1020)","1","(4,8,574,0,1,4,5,72,0,1,4,6,87,0,1,4,7,173,0,1,4,9,29,0,1,4,10,29,0,1,4,13,0.016,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010009","90096000","1","1","9","(11,1130)","1","(4,8,682,0,1,4,5,86,0,1,4,6,103,0,1,4,7,205,0,1,4,9,35,0,1,4,10,35,0,1,4,13,0.018,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010010","90096000","1","1","10","(11,1250)","1","(4,8,800,0,1,4,5,100,0,1,4,6,120,0,1,4,7,240,0,1,4,9,40,0,1,4,10,40,0,1,4,13,0.02,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65010011","90096001","1","2","1","(11,650)","2","(4,8,863,0,1,4,5,108,0,1,4,6,130,0,1,4,7,259,0,1,4,9,44,0,1,4,10,44,0,1,4,13,0.022,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010012","90096001","1","2","2","(11,720)","2","(4,8,933,0,1,4,5,117,0,1,4,6,140,0,1,4,7,280,0,1,4,9,47,0,1,4,10,47,0,1,4,13,0.024,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010013","90096001","1","2","3","(11,800)","2","(4,8,1009,0,1,4,5,127,0,1,4,6,152,0,1,4,7,303,0,1,4,9,51,0,1,4,10,51,0,1,4,13,0.026,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010014","90096001","1","2","4","(11,880)","2","(4,8,1093,0,1,4,5,137,0,1,4,6,164,0,1,4,7,328,0,1,4,9,55,0,1,4,10,55,0,1,4,13,0.028,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010015","90096001","1","2","5","(11,970)","2","(4,8,1186,0,1,4,5,149,0,1,4,6,178,0,1,4,7,356,0,1,4,9,60,0,1,4,10,60,0,1,4,13,0.03,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010016","90096001","1","2","6","(11,1070)","2","(4,8,1287,0,1,4,5,161,0,1,4,6,194,0,1,4,7,387,0,1,4,9,65,0,1,4,10,65,0,1,4,13,0.032,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010017","90096001","1","2","7","(11,1180)","2","(4,8,1399,0,1,4,5,175,0,1,4,6,210,0,1,4,7,420,0,1,4,9,70,0,1,4,10,70,0,1,4,13,0.034,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010018","90096001","1","2","8","(11,1300)","2","(4,8,1522,0,1,4,5,191,0,1,4,6,229,0,1,4,7,457,0,1,4,9,77,0,1,4,10,77,0,1,4,13,0.036,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010019","90096001","1","2","9","(11,1430)","2","(4,8,1658,0,1,4,5,208,0,1,4,6,249,0,1,4,7,498,0,1,4,9,83,0,1,4,10,83,0,1,4,13,0.038,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010020","90096001","1","2","10","(11,1580)","2","(4,8,1806,0,1,4,5,226,0,1,4,6,271,0,1,4,7,542,0,1,4,9,91,0,1,4,10,91,0,1,4,13,0.04,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65010021","90096002","1","3","1","(11,850)","3","(4,8,1887,0,1,4,5,236,0,1,4,6,283,0,1,4,7,566,0,1,4,9,95,0,1,4,10,95,0,1,4,13,0.042,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010022","90096002","1","3","2","(11,940)","3","(4,8,1976,0,1,4,5,247,0,1,4,6,297,0,1,4,7,593,0,1,4,9,99,0,1,4,10,99,0,1,4,13,0.044,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010023","90096002","1","3","3","(11,1040)","3","(4,8,2074,0,1,4,5,260,0,1,4,6,311,0,1,4,7,622,0,1,4,9,104,0,1,4,10,104,0,1,4,13,0.046,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010024","90096002","1","3","4","(11,1150)","3","(4,8,2181,0,1,4,5,273,0,1,4,6,328,0,1,4,7,655,0,1,4,9,110,0,1,4,10,110,0,1,4,13,0.048,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010025","90096002","1","3","5","(11,1270)","3","(4,8,2299,0,1,4,5,288,0,1,4,6,345,0,1,4,7,690,0,1,4,9,115,0,1,4,10,115,0,1,4,13,0.05,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010026","90096002","1","3","6","(11,1400)","3","(4,8,2429,0,1,4,5,304,0,1,4,6,365,0,1,4,7,729,0,1,4,9,122,0,1,4,10,122,0,1,4,13,0.052,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010027","90096002","1","3","7","(11,1540)","3","(4,8,2572,0,1,4,5,322,0,1,4,6,386,0,1,4,7,772,0,1,4,9,129,0,1,4,10,129,0,1,4,13,0.054,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010028","90096002","1","3","8","(11,1700)","3","(4,8,2730,0,1,4,5,342,0,1,4,6,410,0,1,4,7,819,0,1,4,9,137,0,1,4,10,137,0,1,4,13,0.056,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010029","90096002","1","3","9","(11,1870)","3","(4,8,2903,0,1,4,5,363,0,1,4,6,436,0,1,4,7,871,0,1,4,9,146,0,1,4,10,146,0,1,4,13,0.058,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010030","90096002","1","3","10","(11,2060)","3","(4,8,3093,0,1,4,5,387,0,1,4,6,464,0,1,4,7,928,0,1,4,9,155,0,1,4,10,155,0,1,4,13,0.06,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65010031","90096003","1","4","1","(11,1110)","4","(4,8,3196,0,1,4,5,400,0,1,4,6,480,0,1,4,7,959,0,1,4,9,160,0,1,4,10,160,0,1,4,13,0.062,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010032","90096003","1","4","2","(11,1230)","4","(4,8,3310,0,1,4,5,414,0,1,4,6,497,0,1,4,7,993,0,1,4,9,166,0,1,4,10,166,0,1,4,13,0.064,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010033","90096003","1","4","3","(11,1360)","4","(4,8,3435,0,1,4,5,430,0,1,4,6,516,0,1,4,7,1031,0,1,4,9,172,0,1,4,10,172,0,1,4,13,0.066,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010034","90096003","1","4","4","(11,1500)","4","(4,8,3572,0,1,4,5,447,0,1,4,6,536,0,1,4,7,1072,0,1,4,9,179,0,1,4,10,179,0,1,4,13,0.068,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010035","90096003","1","4","5","(11,1650)","4","(4,8,3723,0,1,4,5,466,0,1,4,6,559,0,1,4,7,1117,0,1,4,9,187,0,1,4,10,187,0,1,4,13,0.07,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010036","90096003","1","4","6","(11,1820)","4","(4,8,3889,0,1,4,5,487,0,1,4,6,584,0,1,4,7,1167,0,1,4,9,195,0,1,4,10,195,0,1,4,13,0.072,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010037","90096003","1","4","7","(11,2010)","4","(4,8,4072,0,1,4,5,509,0,1,4,6,611,0,1,4,7,1222,0,1,4,9,204,0,1,4,10,204,0,1,4,13,0.074,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010038","90096003","1","4","8","(11,2220)","4","(4,8,4273,0,1,4,5,535,0,1,4,6,641,0,1,4,7,1282,0,1,4,9,214,0,1,4,10,214,0,1,4,13,0.076,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010039","90096003","1","4","9","(11,2450)","4","(4,8,4495,0,1,4,5,562,0,1,4,6,675,0,1,4,7,1349,0,1,4,9,225,0,1,4,10,225,0,1,4,13,0.078,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010040","90096003","1","4","10","(11,2700)","4","(4,8,4738,0,1,4,5,593,0,1,4,6,711,0,1,4,7,1422,0,1,4,9,237,0,1,4,10,237,0,1,4,13,0.08,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65010041","90096004","1","5","1","(11,1450)","5","(4,8,4868,0,1,4,5,609,0,1,4,6,731,0,1,4,7,1461,0,1,4,9,244,0,1,4,10,244,0,1,4,13,0.082,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010042","90096004","1","5","2","(11,1600)","5","(4,8,5012,0,1,4,5,627,0,1,4,6,752,0,1,4,7,1504,0,1,4,9,251,0,1,4,10,251,0,1,4,13,0.084,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010043","90096004","1","5","3","(11,1760)","5","(4,8,5170,0,1,4,5,647,0,1,4,6,776,0,1,4,7,1551,0,1,4,9,259,0,1,4,10,259,0,1,4,13,0.086,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010044","90096004","1","5","4","(11,1940)","5","(4,8,5344,0,1,4,5,668,0,1,4,6,802,0,1,4,7,1603,0,1,4,9,268,0,1,4,10,268,0,1,4,13,0.088,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010045","90096004","1","5","5","(11,2140)","5","(4,8,5535,0,1,4,5,692,0,1,4,6,831,0,1,4,7,1661,0,1,4,9,277,0,1,4,10,277,0,1,4,13,0.09,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010046","90096004","1","5","6","(11,2360)","5","(4,8,5745,0,1,4,5,719,0,1,4,6,862,0,1,4,7,1724,0,1,4,9,288,0,1,4,10,288,0,1,4,13,0.092,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010047","90096004","1","5","7","(11,2600)","5","(4,8,5976,0,1,4,5,747,0,1,4,6,897,0,1,4,7,1793,0,1,4,9,299,0,1,4,10,299,0,1,4,13,0.094,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010048","90096004","1","5","8","(11,2860)","5","(4,8,6230,0,1,4,5,779,0,1,4,6,935,0,1,4,7,1869,0,1,4,9,312,0,1,4,10,312,0,1,4,13,0.096,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010049","90096004","1","5","9","(11,3150)","5","(4,8,6510,0,1,4,5,814,0,1,4,6,977,0,1,4,7,1953,0,1,4,9,326,0,1,4,10,326,0,1,4,13,0.098,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010050","90096004","1","5","10","(11,3470)","5","(4,8,6818,0,1,4,5,853,0,1,4,6,1023,0,1,4,7,2046,0,1,4,9,341,0,1,4,10,341,0,1,4,13,0.1,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65010051","90096005","1","6","1","(11,1890)","6","(4,8,6983,0,1,4,5,873,0,1,4,6,1048,0,1,4,7,2095,0,1,4,9,350,0,1,4,10,350,0,1,4,13,0.102,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010052","90096005","1","6","2","(11,2080)","6","(4,8,7166,0,1,4,5,896,0,1,4,6,1075,0,1,4,7,2150,0,1,4,9,359,0,1,4,10,359,0,1,4,13,0.104,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010053","90096005","1","6","3","(11,2290)","6","(4,8,7366,0,1,4,5,921,0,1,4,6,1105,0,1,4,7,2210,0,1,4,9,369,0,1,4,10,369,0,1,4,13,0.106,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010054","90096005","1","6","4","(11,2520)","6","(4,8,7586,0,1,4,5,949,0,1,4,6,1138,0,1,4,7,2276,0,1,4,9,380,0,1,4,10,380,0,1,4,13,0.108,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010055","90096005","1","6","5","(11,2780)","6","(4,8,7829,0,1,4,5,979,0,1,4,6,1175,0,1,4,7,2349,0,1,4,9,392,0,1,4,10,392,0,1,4,13,0.11,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010056","90096005","1","6","6","(11,3060)","6","(4,8,8096,0,1,4,5,1012,0,1,4,6,1215,0,1,4,7,2429,0,1,4,9,405,0,1,4,10,405,0,1,4,13,0.112,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010057","90096005","1","6","7","(11,3370)","6","(4,8,8389,0,1,4,5,1049,0,1,4,6,1259,0,1,4,7,2517,0,1,4,9,420,0,1,4,10,420,0,1,4,13,0.114,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010058","90096005","1","6","8","(11,3710)","6","(4,8,8712,0,1,4,5,1089,0,1,4,6,1307,0,1,4,7,2614,0,1,4,9,436,0,1,4,10,436,0,1,4,13,0.116,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010059","90096005","1","6","9","(11,4090)","6","(4,8,9067,0,1,4,5,1134,0,1,4,6,1361,0,1,4,7,2721,0,1,4,9,454,0,1,4,10,454,0,1,4,13,0.118,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010060","90096005","1","6","10","(11,4500)","6","(4,8,9458,0,1,4,5,1183,0,1,4,6,1419,0,1,4,7,2838,0,1,4,9,473,0,1,4,10,473,0,1,4,13,0.12,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65010061","90096006","2","7","1","(11,2370)","7","(4,8,9661,0,1,4,5,1208,0,1,4,6,1450,0,1,4,7,2899,0,1,4,9,484,0,1,4,10,484,0,1,4,13,0.122,0,1)","76980769","91053402","(10990611,10990617,10990623,10990629)","91231314","90096054","90096030","1"
"65010062","90096006","2","7","2","(11,2610)","7","(4,8,9885,0,1,4,5,1236,0,1,4,6,1483,0,1,4,7,2966,0,1,4,9,495,0,1,4,10,495,0,1,4,13,0.124,0,1)","76980769","91053402","(10990611,10990617,10990623,10990629)","91231314","90096054","90096030","1"
"65010063","90096006","2","7","3","(11,2880)","7","(4,8,10131,0,1,4,5,1267,0,1,4,6,1520,0,1,4,7,3040,0,1,4,9,507,0,1,4,10,507,0,1,4,13,0.126,0,1)","76980769","91053402","(10990611,10990617,10990623,10990629)","91231314","90096054","90096030","1"
"65010064","90096006","2","7","4","(11,3170)","7","(4,8,10401,0,1,4,5,1301,0,1,4,6,1561,0,1,4,7,3121,0,1,4,9,521,0,1,4,10,521,0,1,4,13,0.128,0,1)","76980769","91053402","(10990611,10990617,10990623,10990629)","91231314","90096054","90096030","1"
