"AttributeId","FuncName","FuncShowName","Icon","Description","DetailIcon","ItemAwardArr","IsPreview","IsSpecialLogic","UnlockNeedMissionID","UnlockNeedLevel","IsNeedCrossServer","UnlockNeedGuideID","NeedOpenServerDays","PrecondFuncUnlock","Activate","ExhibitionNpcIdArray","ExhibitionNpcBuffArray","NewExhibitionNpcIdArray","TitleDescribeId","JumpToWidget","ShieldRegion"
"117000027","ActiveSkill3","90069519","","90069235","","","0","0","","15","","","","Skill","(1,13012001,13021001,13032001,13043001)","","","","","",""
"117000028","UpgradeAll","","","","","","0","0","15000684","","","","","","","","","","","",""
"117000029","Upgrade","90069520","91232408","90069236","","(31020004,5)","1","0","15000684","","","","","UpgradeAll","","(0,0,0,0,0,76980423,76980423,76980423,76980423,76980423,76980424,76980424,76980424,76980424,76980424,76980425,76980425,76980425,76980425,76980425,76980426,76980426,76980426,76980426,76980426)","(10990018)","","","",""
"117000030","Addon","90069521","91232458","90069237","","(31020008,10)","1","0","15000842","","","","","UpgradeAll","","(0,0,0,0,0,76980447,76980447,76980447,76980447,76980447,76980448,76980448,76980448,76980448,76980448,76980449,76980449,76980449,76980449,76980449,76980450,76980450,76980450,76980450,76980450)","(10990018)","","","",""
"117000031","Advance","90069522","91232463","90069238","","","0","0","15000735","","","","","UpgradeAll","","","","","","",""
"117000032","Succint","90069523","91232464","90069239","","(31020001,10)","1","0","15000870","","","","","UpgradeAll","","(0,0,0,0,0,76980724,76980724,76980724,76980724,76980724,76980725,76980725,76980725,76980725,76980725,76980726,76980726,76980726,76980726,76980726,76980727,76980727,76980727,76980727,76980727)","(10990018)","","","",""
"117000033","Fly","90069525","91232433","90069241","","","0","0","15000613","","","","","","(3,31030001,31030001,31030001,31030001)","","","","","",""
"117000034","Mount","90069526","91232433","90069242","","","0","0","15000613","","","","","","","(0,0,0,0,0,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328)","(10990018)","","","",""
"117000035","MountIcon","90069526","91232433","90069242","","(31000029,1)","0","0","15000769","","","","","Fly","","(0,0,0,0,0,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328,76980328)","(10990018)","","","",""
"117000036","MountIllusion","90069563","91232476","90069564","","","0","0","15000613","","","","","Mount","","(0,0,0,0,0,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355,76980355)","(10990018)","(0,0,0,76980491,76980492,0,76980491,76980492,0,76980491,76980492,0,76980491,76980492,0)","","",""
"117000037","Wing","90069527","91232457","90069243","","(31000040,10)","1","0","15000718","","","","","","(2,31040001,31040011,31040021,31040031)","(0,0,0,0,0,76980343,76980343,76980343,76980343,76980343,76980344,76980344,76980344,76980344,76980344,76980345,76980345,76980345,76980345,76980345,76980346,76980346,76980346,76980346,76980346)","(10990018)","","","",""
"117000038","WingAddSpirit","90069567","91232466","90069568","","","0","0","","999","","","","Wing","(7,0,0,0,0)","(0,0,0,0,0,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356,76980356)","(10990018)","","","",""
"117000039","WingAddSoul","90069569","91232467","90069570","","","0","0","","999","","","","Wing","(9,0,0,0,0)","(0,0,0,0,0,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373,76980373)","(10990018)","","","",""
"117000040","WingFeather","90069571","91232405","90069572","","(31000178,2)","1","0","15001059","","","","","Wing","(8,0,0,0,1)","(0,0,0,0,0,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368,76980368)","(10990018)","","","",""
"117000041","Element","90069529","91232482","90069245","","(31061003,2)","1","0","15000799","","","","","DemonsTowerRaid","","(0,0,0,0,0,76980451,76980451,76980451,76980451,76980451,76980452,76980452,76980452,76980452,76980452,76980453,76980453,76980453,76980453,76980453,76980454,76980454,76980454,76980454,76980454)","(10990018)","","","",""
"117000042","Ranking","90069530","91232411","90069246","","","0","0","15000730","","","","","","","","","","","",""
"117000043","Achievement","90069540","91232407","90069539","","","0","0","15000650","","","","","","","","","","","",""
"117000044","Composit","90069531","91232418","90069247","","(31020007,2)","1","0","15000735","","","","","","","(0,0,0,0,0,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437,76980437)","(10990018)","","","",""
"117000045","MountComposit","90069575","91232418","90069576","","","0","0","","999","","","","Composit","","(0,0,0,0,0,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366,76980366)","(10990018)","","","",""
"117000046","WingComposit","90069573","91232418","90069574","","","0","0","","999","","","","Composit","","(0,0,0,0,0,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357,76980357)","","","","",""
"117000047","SkyitemComposit","90069599","91232418","90069600","","","0","0","15001170","","","","","Composit","","(0,0,0,0,0,76980369,76980369,76980369,76980369,76980369,76980370,76980370,76980370,76980370,76980370,76980371,76980371,76980371,76980371,76980371,76980372,76980372,76980372,76980372,76980372)","(10990018)","","","",""
"117000048","DebrisComposit","90069577","91232418","90069578","","","0","0","","999","","","","Composit","","","","","","",""
"117000049","GodAssembly","90069524","91232464","90069240","","","0","0","15001028","","","","","Composit","","","","","","",""
"117000050","Pokedex","90069532","91232412","90069248","","(31010004,5)","1","0","15000758","","","","","","","","","(0,0,0,76980779,76980780,76980781,76980779,76980780,76980781,76980779,76980780,76980781,76980779,76980780,76980781)","","",""
"117000051","Legion","90069533","91232410","90069249","","(31010139,5)","0","0","15000642","","","","","","","","","(0,0,0,76980479,76980480,76980481,76980479,76980480,76980481,76980479,76980480,76980481,76980479,76980480,76980481)","","",""
"117000052","Belief","90069534","91232414","90069250","","(31010053,3)","1","0","15000955","","","","","","","(0,0,0,0,0,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342,76980342)","(10990018)","","","",""
"117000053","Change","90069535","91232419","90069251","","","0","0","15000679","","","","","","","","","","","",""
"117000054","Hope","90069536","91232415","90069252","","","0","0","","","","","","","","","","","","",""
"117000055","SpiritHope","","","","","","0","","","","","","","","","","","","","",""
"117000056","ChangeTarget","","91232430","90069254","","","0","0","","999","","","","","","","","","","",""
"117000057","Welfare","90069538","91232422","90069255","","","0","0","","","","","","","","","","","","",""
"117000058","SignIn","","","","","","0","0","","","","","","","","","","","","",""
"117000059","TotalLoginTime","","","","","","0","0","15000638","","","","","","","","","","","",""
"117000060","GuardSkill","90069810","","90069542","","","0","0","15000632","","","","","","","(0,0,0,0,0,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327)","(10990018)","","","",""
"117000061","SkillButton","","","","","","0","","","","","","","","","","","","","",""
"117000062","Worship","90069547","91232474","90069548","","","0","0","","999","","","","","","(0,0,0,0,0,76980330,76980330,76980330,76980330,76980330,76980331,76980331,76980331,76980331,76980331,76980332,76980332,76980332,76980332,76980332,76980333,76980333,76980333,76980333,76980333)","(10990018)","(0,0,0,76980330,76980486,0,76980331,76980486,0,76980332,76980486,0,76980333,76980486,0)","","",""
"117000063","Auction","90069605","91232475","90069606","","","0","","15000676","","","","","","","","","","","",""
"117000064","Spirit","90069528","91232455","90069244","","(31010107,3)","1","0","15000793","","","","","","","(0,0,0,0,0,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329,76980329)","(10990018)","","","",""
"117000065","GetSprite","","","","","","0","","","","","","","","","","","","","",""
"117000066","SpiritFetter","90069601","91232477","90069602","","","0","","","","","","","","(5,0,0,0,0)","","","","","",""
"117000067","SpeicalBouns","90069603","91232478","90069604","","","0","","","","","","","","(6,0,0,0,0)","","","","","",""
"117000068","AddFriend","90069543","91232479","90069544","","","0","","15000661","","","","","","","","","","","",""
"117000069","DailyMission","90069545","91232480","90069546","","","0","","15000755","","","","","","","","","","","",""
"117000070","MissionHard","90069561","91232483","90069562","","","0","","15000882","","","","","","","","","","","",""
"117000071","Talent","90069565","91232484","90069566","","","0","","15000892","","","","","","","(0,0,0,0,0,76980465,76980465,76980465,76980465,76980465,76980466,76980466,76980466,76980466,76980466,76980467,76980467,76980467,76980467,76980467,76980468,76980468,76980468,76980468,76980468)","(10990018)","","","",""
"117000072","RoleGradeUp1","90069579","91232485","90069580","","(31010024,1)","1","","15000646","","","","","","","(0,0,0,0,0,76980335,76980335,76980335,76980335,76980335,76980336,76980336,76980336,76980336,76980336,76980337,76980337,76980337,76980337,76980337,76980338,76980338,76980338,76980338,76980338)","(10990018)","(0,0,0,76980335,76980487,0,76980336,76980488,0,76980337,76980489,0,76980338,76980490,0)","","",""
"117000073","RoleGradeUp2","90069581","91232485","90069582","","(31010025,1)","1","","15000864","","","","","","","(0,0,0,0,0,76980350,76980350,76980350,76980350,76980350,76980351,76980351,76980351,76980351,76980351,76980352,76980352,76980352,76980352,76980352,76980353,76980353,76980353,76980353,76980353)","(10990018)","(0,0,0,76980493,76980350,0,76980494,76980351,0,76980495,76980352,0,76980496,76980353,0)","","",""
"117000074","RoleGradeUp3","90069583","91232485","90069584","","(31010025,2)","1","","15001004","","","","","","","(0,0,0,0,0,76980358,76980358,76980358,76980358,76980358,76980359,76980359,76980359,76980359,76980359,76980360,76980360,76980360,76980360,76980360,76980361,76980361,76980361,76980361,76980361)","(10990018)","(0,0,0,76980358,76980482,0,76980359,76980483,0,76980360,76980484,0,76980361,76980485,0)","","(91232695,90090923,92800014,-1,-1)",""
"117000075","RoleGradeUp4","90069585","91232485","90069586","","(31010025,2)","0","","15001113","","","","","","","(0,0,0,0,0,76980374,76980374,76980427,76980427,76980427,76980375,76980375,76980428,76980428,76980428,76980376,76980376,76980429,76980429,76980429,76980377,76980377,76980430,76980430,76980430)","(10990018)","","","",""
"117000076","RoleGradeUp5","90069587","91232485","90069588","","(31010025,2)","0","","15001359","","","","","","","(0,0,0,0,0,76980469,76980469,76980473,76980473,76980473,76980470,76980470,76980474,76980474,76980474,76980471,76980471,76980475,76980475,76980475,76980472,76980472,76980476,76980476,76980476)","(10990018)","","","",""
"117000077","NewRole","90069589","91200088","90069590","","(31010024,1)","0","","15000989","","","","","","","(0,0,0,0,0,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353,76980353)","(10990018)","","","",""
"117000078","Talent1","90069591","91232484","90069592","","(31010024,1)","0","","15001013","","","","","","","","","","","",""
"117000079","","90069593","91232455","90069594","","(31010024,1)","0","","","999","","","","","","(0,0,0,0,0,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367,76980367)","(10990018)","(0,0,0,76980497,76980498,76980499,76980497,76980498,76980499,76980497,76980498,76980499,76980497,76980498,76980499)","","",""
"117000080","DramaRaid9","90050028","91232429","90054028","","(31010024,1)","1","","15001213","","","","","","","(0,0,0,0,0,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839,76980839)","(10990018)","","90040443","",""
"117000081","DramaRaid10","90050032","91232429","90054034","","(31010024,1)","1","","15001335","","","","","","","(0,0,0,0,0,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840,76980840)","(10990018)","","90040447","",""
"117000082","GradeUp","","","","","","0","","","","","","","","","","","","","",""
"117000083","ProtectMark","","","","","","0","","15000716","","","","","","","","","","","",""
"117000084","ZhongXing","90069720","91232434","90069721","","","0","","15000758","999","","","","","","","","","","",""
"117000085","MultiPlayerRaid5","90069722","91232434","90069723","","","0","","15000956","","","","","","","","","","","",""
"117000086","SprintSkill","","","","","","0","","15000601","","","","","","","","","","","",""
"117000087","AutoBattke","","","","","","0","","","","","","","","","","","","","",""
"117000088","MPSpeedy","","","","","","","","","999","","","","","","","","","","",""
"117000089","Marry","90068005","91232456","90068006","","(31100074,1)","1","","15000925","","","","","","","","","(0,0,0,76980738,76980739,76980072,76980738,76980739,7698007,76980738,76980739,76980072,76980738,76980739,76980072)","","",""
"117000090","PkActivity","","","","","","","","15000683","","","","","","","","","","","",""
"117000091","SeniorAttribute","90068007","91232485","90068008","","(31000022,1)","0","","15000645","","","","","","","(0,0,0,0,0,76980740,76980740,76980740,76980740,76980740,76980741,76980741,76980741,76980741,76980741,76980742,76980742,76980742,76980742,76980742,76980743,76980743,76980743,76980743,76980743)","(10990018)","","","",""
"117000092","ExpLevel","","","","","","","","15000652","","","","","","","","","","","",""
"117000093","Meditation","","","","","","","","15000753","","","","","","(10,0,0,0,0)","","","","","",""
"117000094","Jewel","90069832","91231012","90069833","","(31090044,1)","1","","15000762","","","","","","","(0,0,0,0,0,76980740,76980740,76980740,76980740,76980740,76980741,76980741,76980741,76980741,76980741,76980742,76980742,76980742,76980742,76980742,76980743,76980743,76980743,76980743,76980743)","","","","",""
"117000095","BossHome","","","","","","","","15000661","","","","","","","","","","","",""
"117000096","AchievementDesignation","","","","","","","","15000650","","","","","","","","","","","",""
"117000097","LegionBonFire","","","","","","","","15000715","","","","","","","","","","","",""
"117000098","LegionBonBoss","","","","","","","","15000715","","","","","","","","","","","",""
"117000099","CrushActivity","","","","","","","","15000683","","","","","","","","","","","",""
"117000100","CityWar","","","","","","","","15000715","","","","","","","","","","","",""
"117000101","TerritoryWar","","","","","","","","15000715","","","","","","","","","","","",""
"117000102","SingleBoss","90069858","91231013","90069850","","(31010004,5)","1","","15000661","","","","","","","","","(0,0,0,76980819,0,0,76980819,0,0,76980819,0,0,76980819,0,0)","","",""
"117000103","ProwerLevel","","","","","","","","15000652","","","","","","","","","","","",""
"117000104","ElementTreasure","","","","","","","","15000800","","","","","","","","","","","",""
"117000105","DramaRaid2","90050016","91232429","90054010","","(31010060,5)","1","","15000708","","","","","","","","","(0,0,0,76980832,0,0,76980832,0,0,76980832,0,0,76980832,0,0)","","",""
"117000106","DramaRaid3","90050030","91232429","90054014","","(31010060,5)","1","","15000760","","","","","","","","","(0,0,0,76980833,0,0,76980833,0,0,76980833,0,0,76980833,0,0)","","",""
"117000107","DramaRaid4","90050031","91232429","90054018","","(31010060,5)","1","","15000791","","","","","","","","","(0,0,0,76980834,0,0,76980834,0,0,76980834,0,0,76980834,0,0)","","",""
"117000108","DramaRaid5","90050029","91232429","90054033","","(31010060,5)","1","","15000858","","","","","","","","","(0,0,0,76980835,0,0,76980835,0,0,76980835,0,0,76980835,0,0)","","",""
"117000109","DramaRaid6","90050025","91232429","90054021","","(31010060,5)","1","","15000922","","","","","","","","","(0,0,0,76980836,0,0,76980836,0,0,76980836,0,0,76980836,0,0)","","",""
"117000110","DramaRaid7","90050026","91232429","90054024","","(31010060,5)","1","","15001029","","","","","","","","","(0,0,0,76980837,0,0,76980837,0,0,76980837,0,0,76980837,0,0)","","",""
"117000111","DramaRaid8","90050027","91232429","90054027","","(31010060,5)","1","","15001116","","","","","","","","","(0,0,0,76980838,0,0,76980838,0,0,76980838,0,0,76980838,0,0)","","",""
"117000112","LegionBadgeShop","90069005","91232410","90069006","","(31010139,10)","1","","15000938","","","","","","","(0,0,0,0,0,76980469,76980469,76980473,76980473,76980473,76980470,76980470,76980474,76980474,76980474,76980471,76980471,76980475,76980475,76980475,76980472,76980472,76980476,76980476,76980476)","(10990018)","","","",""
"117000113","TargetHebdo","90068026","91200503","90068034","","(31010025,2)","1","","15000971","","","","7","","","(0,0,0,0,0,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723,76980723)","(10990018)","","","",""
"117000114","SpiritTreasure","","","","","","","","15000795","","","","","","","","","","","","(6)"
"117000115","MountIllusions","90069563","91232476","90069564","","(31090132,1)","1","","15001039","","","","","Mount","","","","(0,0,0,76980492,0,0,76980492,0,0,76980492,0,0,76980492,0,0)","","",""
"117000116","WingIllusions","","","","","","","","15001039","","","","","Wing","","","","","","",""
"117000117","MountSoulStar","","","","","","","","15000787","","","","","Mount","","","","","","",""
"117000118","WingSoulStar","","","","","","","","15000789","","","","","Wing","","","","","","",""
"117000119","BeliefTreasure","","","","","","","","","","1","","","Cross","","","","","","",""
"117000120","WorldServer","","","","","","","","","","1","","","Cross","","","","","","",""
"117000121","BeliefAmbulatory","","","","","","","","15001044","","1","","","Cross","","","","","","",""
"117000122","HeroBook","","","","","","","","","290","","","","","","","","","","",""
"117000123","ResonateBook","","","","","","","","","290","","","","","","","","","","",""
"117000124","Forge","90068087","91232408","90068088","","(31140132,5)","1","","15001090","","","","","","","(0,0,0,0,0,76980740,76980740,76980740,76980740,76980740,76980741,76980741,76980741,76980741,76980741,76980742,76980742,76980742,76980742,76980742,76980743,76980743,76980743,76980743,76980743)","","","","",""
"117000125","StoreCross","","","","","","","","","","1","","","Cross","","","","","","",""
"117000126","FuMo","90068099","91200504","90068109","","(31010025,1)","1","","15001123","","","","","","","(0,0,0,0,0,76980786,76980786,76980786,76980786,76980786,76980787,76980787,76980787,76980787,76980787,76980788,76980788,76980788,76980788,76980788,76980789,76980789,76980789,76980789,76980789)","","","","",""
"117000127","SkyItem","90068104","91200505","90068110","","(31010027,1)","1","","15001193","","","","","","","(0,0,0,0,0,76980790,76980790,76980790,76980790,76980790,76980791,76980791,76980791,76980791,76980791,76980792,76980792,76980792,76980792,76980792,76980793,76980793,76980793,76980793,76980793)","","","","",""
"117000128","Deity","90068119","91290475","90068111","","(31010027,2)","1","","15001222","","","","","","","(0,0,0,0,0,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795,76980795)","","","","",""
"117000129","DiaoWenWFeather","90068113","91232405","90068112","","(31010027,1)","1","","15001156","","","","","","","","","(0,0,0,76980730,76980796,0,76980731,76980796,0,76980732,76980796,0,76980733,76980796,0)","","",""
"117000130","Cross","","","","","","","","","1","1","","","","","","","","","",""
"117000131","CrossPK","","","","","","","","","1","1","","","Cross","","","","","","",""
"117000132","CrossActivity","","","","","","","","","1","1","","","Cross","","","","","","",""
"117000133","CrossHarry","","","","","","","","","1","1","","","Cross","","","","","","",""
"117000134","CrossCityWar","","","","","","","","","1","1","","","Cross","","","","","","",""
"117000135","CrossLegionTerritoryWar","","","","","","","","","1","1","","","Cross","","","","","","",""
"117000136","CrossBoss","","","","","","","","","1","1","","","Cross","","","","","","",""
"117000137","CrossLadder","","","","","","","","","1","1","","","Cross","","","","","","",""
"117000138","CrossCloud","","","","","","","","","1","1","","","Cross","","","","","","",""
"117000139","TianQi","","","","","","","","15001221","","1","","","Cross","","","","","","",""
"117000140","MarryLucky","","","","","","","","15000774","","","","","","","","","","","",""
"117000141","DramaRaid11","90054130","91232429","90054133","","(31010024,1)","1","","15001536","","","","","","","","","(0,0,0,76980842,0,0,76980842,0,0,76980842,0,0,76980842,0,0)","","",""
"117000142","DramaRaid12","90054134","91232429","90054137","","(31010024,1)","1","","15001634","","","","","","","","","(0,0,0,76980843,0,0,76980843,0,0,76980843,0,0,76980843,0,0)","","",""
"117000143","Awaken","90068125","91200506","90068130","","(31020061,2)","1","","15000748","","","","","","","(0,0,0,0,0,76980805,76980805,76980805,76980805,76980805,76980806,76980806,76980806,76980806,76980806,76980807,76980807,76980807,76980807,76980807,76980808,76980808,76980808,76980808,76980808)","","","","",""
"117000144","UniverseBook","","","","","","","","15001514","","","","","","","","","","","",""
"117000145","SkyGodItem","","","","","","","","15001228","","","","","","","","","","","",""
"117000146","DiGongBoss","90067968","91231013","90067967","","(31010004,10)","1","","15000677","","","","","","","","","(0,0,0,76980820,0,0,76980820,0,0,76980820,0,0,76980820,0,0)","","",""
"117000147","MountEquip","","","","","","","","","550","","","","MountIcon","","","","","","",""
"117000148","ShoppingMall","","","","","","","","15000666","","","","","","","","","","","",""
"117000149","LimitedTimeActivities","","","","","","0","","15000664","","","","","","","","","","","",""
"117000150","BossOfHome","90067965","91231013","90067966","","(31010004,10)","1","","15000819","","","","","","","","","(0,0,0,76980841,0,0,76980841,0,0,76980841,0,0,76980841,0,0)","","",""
"117000151","WingPsychic","","","","","","","","","490","","","","Wing","","","","","","",""
"117000152","ElementWar","","","","","","","","","490","1","","","Cross","","","","","","",""
"117000153","UIJewelCarve","","","","","","","","","500","","","","Jewel","","","","","","",""
"117000154","SupremeItem","","","","","","","","15001236","","","","","","","","","","","",""
"117000155","Tinder","90069810","91232490","90069542","","(31010060,3)","1","0","15000632","","","","","","","(0,0,0,0,0,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327,76980327)","(10990018)","","","",""
"117000156","AirCombat","","","","","","","","15000649","","","","","","","","","","","",""
"117000157","Change2","90069535","91232419","90069251","","","0","0","15000766","","","","","","","","","","","",""
"117000158","BreakWill","","","","","","","","","100","","","","","","","","","","",""
"117009999","","","","","","","","","","","","","","","","","","","","",""
