"AttributeId","RewardType","ChinaMainRegionReward","KRRegionReward","ChinaTWRegionReward","ENRegionReward","THARegionReward","VNRegionReward","JPRegionReward","RUSRegionReward","SGRegionReward"
"164000123","","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)"
"164000124","","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)"
"164000125","","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)"
"164000126","","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)"
"164000127","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000128","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000129","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000130","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000131","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000132","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000133","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000140","","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)"
"164000141","","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)"
"164000142","","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)"
"164000143","","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)"
"164000144","","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)"
"164000145","","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)"
"164000146","","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)"
"164000147","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000148","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000149","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000150","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000151","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000152","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000153","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000154","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000155","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000160","","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)"
"164000161","","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)"
"164000162","","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)","(31010139,250)"
"164000163","","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)"
"164000164","","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)"
"164000165","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000166","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000167","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000168","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000169","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000170","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000171","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000172","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000173","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000174","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000175","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000180","","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)","(31010139,200)"
"164000181","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000182","","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)","(31010139,150)"
"164000183","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000184","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000185","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000186","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000187","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000188","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000189","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000190","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000191","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000192","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000193","","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)"
"164000194","","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)"
"164000195","","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)"
"164000200","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000201","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000202","","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)","(31010139,100)"
"164000203","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000204","","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)","(31010139,80)"
"164000205","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000206","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000207","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000208","","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)","(31010139,50)"
"164000209","","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)"
"164000210","","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)"
"164000211","","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)"
"164000212","","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)","(31010139,30)"
