"AttributeId","Type","Series","Race","Level","BeginActions","EndActions","EffectActions","CycActions","EventCondition","EventActions","DuringTime","JumpTime","BuffPercent","CanCannel","ExistWhenDeath","DelByResetSkill","TimeEndKeep","MaxPileDepth","SameLevelCover","DiffLevelCover ","SameLevelSameSenderWrap ","SameLevelDifSenderWrap","SameLevelTimeCumulative","DiffevelTimeCumulative","SaveType","Sync","OtherPlayerCanSee","IsShowInExhibition","ResourceID	","DisplayPriority","InvalidMapTypeArray","ValidMapTypeArray","IsShowAbNormalBuff","MapEndClear","InvalidBoss","NotInvalidFakerPlayer","IsFashionBuff","MountStatusHidden","NeedRefresh"
"10010011","0","511","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010011,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010011","3","","","","","","","","",""
"10010012","0","512","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010012,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010012","3","","","","","","","","",""
"10010013","0","513","0","1","(11010013,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010013","","","","","","","","","",""
"10010014","0","514","999","3","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010014,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010014","4","","","","","","","","",""
"10010015","0","514","999","4","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010015,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010015","4","","","","","","","","",""
"10010016","0","516","0","1","(11010016,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010016","","","","","","","","","",""
"10010017","0","517","0","1","(11010017,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010017","","(14)","","","","","","","",""
"10010018","0","518","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010018,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","-1","0","","0","0","0","","1","0","0","0","0","0","0","0","1","1","","12010018","4","","(5)","","","","","","",""
"10010019","0","519","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010019,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","180000","5","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010019","","(14)","","","","","","","",""
"10010020","0","509","0","2","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010020,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1800","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010020","3","","","","","","","","",""
"10010021","0","510","0","2","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010021,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1800","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010021","3","","","","","","","","",""
"10010022","0","511","0","2","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010022,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1800","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010022","3","","","","","","","","",""
"10010023","0","512","0","2","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010023,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1800","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010023","3","","","","","","","","",""
"10010024","0","520","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010024,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","-1","5","","0","0","0","","1","0","0","0","0","0","0","0","1","1","","12010024","","","","","","","","","",""
"10010025","0","521","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010025,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","15","1","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010025","","","","","","","","","",""
"10010026","0","522","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","-1","0","","0","0","0","","1","0","0","1","1","0","0","0","1","1","","12010026","4","","","","","","","","",""
"10010027","0","523","0","1","(11010028,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010027","","(14)","","","","","","","",""
"10010028","0","524","0","1","(11010029,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010028","","(14)","","","","","","","",""
"10010029","0","525","0","1","(11010030,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010029","","(14)","","","","","","","",""
"10010030","0","530","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010034,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","-1","0","","0","0","0","","1","0","0","0","0","0","0","0","1","1","","12010030","4","","(5)","","","","","","",""
"10010031","0","531","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","-1","0","","0","0","0","","1","0","0","0","0","0","0","0","1","1","","12010031","4","","","","","","","","",""
"10010032","0","532","998","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010038,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1800","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010032","4","","(4)","","","","","","",""
"10010033","0","532","998","2","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010039,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1800","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010033","4","","(4)","","","","","","",""
"10010034","0","532","998","3","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010040,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1800","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010034","4","","(4)","","","","","","",""
"10010035","0","514","999","2","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010041,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010035","4","","","","","","","","",""
"10010036","0","536","997","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010042,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010036","4","","","","","","","","",""
"10010037","0","536","997","2","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010043,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010037","4","","","","","","","","",""
"10010038","0","536","997","3","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010044,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","3600","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010038","4","","","","","","","","",""
"10010039","0","514","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010041,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","370","0","","0","0","0","","1","0","0","0","0","0","0","0","1","1","","12010039","4","","","","","","","","",""
"10010040","0","514","0","2","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010041,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","-1","0","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010040","4","","","","","","","","",""
"10010045","0","545","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010045,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","600","0","","0","1","0","","19","0","0","1","1","","","0","1","1","","12010045","4","","","","1","","","","",""
"10010046","0","546","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010046,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","5","1","","0","1","1","","1","1","1","0","0","","","0","1","1","","12010046","4","","","","","","","","",""
"10010047","0","547","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010047,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","5","1","","0","1","1","","1","1","1","0","0","","","0","1","1","","12010047","4","","","","","","","","",""
"10010048","1","506","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010049,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","12","1","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010006","2","(14)","","","","","","","",""
"10010049","1","506","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010050,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","12","1","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010006","2","(14)","","","","","","","",""
"10010050","1","506","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010051,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","12","1","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010006","2","(14)","","","","","","","",""
"10010051","0","502","0","1","(11010052,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010002","","(14)","","","","","","","",""
"10010052","0","548","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010053,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","8","1","","0","1","1","","1","1","1","0","0","","","0","1","1","","12010048","4","","","","","","","","",""
"10010053","0","549","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010054,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","5","1","","0","1","1","","1","1","1","0","0","","","0","1","1","","12010049","4","","","","","","","","",""
"10010054","0","550","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010055,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","5","1","","0","1","1","","1","1","1","0","0","","","0","1","1","","12010050","4","","","","","","","","",""
"10010055","0","551","999","3","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010056,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","-1","0","","0","0","0","","0","0","0","0","0","0","0","2","1","1","","12010051","4","","","","","","","","",""
"10010056","0","552","0","1","(11010057,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","0","0","0","0","0","1","0","1","1","1","","12010052","0","0","","","","","","","",""
"10010057","0","553","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010061,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","-1","0.35","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010006","2","(14)","","","","","","","",""
"10010058","0","554","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11010062,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","30","0.3","","0","0","0","","99","0","1","0","0","1","0","1","1","1","","12010006","2","(14)","","","","","","","",""
"10010059","1","555","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11110000,11120000,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","30","0","","1","1","0","","1","0","0","0","0","","","0","1","1","0","12992077","","","","","","","","","",""
"10010060","1","556","0","1","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(11110000,11120000,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","1000","0","","1","1","0","","1","0","0","0","0","","","0","1","1","0","12110006","","","","","","","","","",""
"10010100","0","600","0","1","(11010100,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","-1","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010100","","","","","","","","","",""
"10010101","0","601","0","1","(11010101,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010101","","","","","","","","","",""
"10010102","0","602","0","1","(11010102,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010102","","","","","1","","","","",""
"10010103","0","603","0","1","(11010103,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010103","","","","","1","","","","",""
"10010104","0","604","0","1","(11010104,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010104","","","","","1","","","","",""
"10010105","0","605","0","1","(11010106,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010105","","","","","1","","","","",""
"10010106","0","606","0","1","(11010107,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010106","","","","","1","","","","",""
"10010107","0","607","0","1","(11010105,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010107","","","","","1","","","","",""
"10010108","0","608","0","1","(11010108,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010108","","","","","1","","","","",""
"10010109","0","609","0","1","(11010109,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010109","","","","","1","","","","",""
"10010110","0","610","0","1","(11010110,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0,0,0)","0","0","","0","0","0","","1","0","0","0","0","","","0","1","1","","12010110","","","","","1","","","","",""
