"AttributeId","EquipSlot","AttArray","MeshID","BuffIdArray","FeaturesDes","UpgradeMaterial","upgrade_num","GradeLimit","RegionArr","NeedFasionId"
"64000108","1","(4,5,6600,0,1,4,6,7920,0,1,4,23,0.66,0,1,4,25,0.33,0,1)","","","(90016039,90016040)","(31101064,4)","20","4","",""
"64000109","1","(4,5,9000,0,1,4,6,10800,0,1,4,23,0.9,0,1,4,25,0.45,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000110","1","(4,5,12000,0,1,4,6,14400,0,1,4,23,1.2,0,1,4,25,0.6,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000111","1","(4,5,15000,0,1,4,6,18000,0,1,4,23,1.5,0,1,4,25,0.75,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000112","1","(4,5,18000,0,1,4,6,21600,0,1,4,23,1.8,0,1,4,25,0.9,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000113","1","(4,5,21000,0,1,4,6,25200,0,1,4,23,2.1,0,1,4,25,1.05,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000114","1","(4,5,24000,0,1,4,6,28800,0,1,4,23,2.4,0,1,4,25,1.2,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000115","1","(4,5,27000,0,1,4,6,32400,0,1,4,23,2.7,0,1,4,25,1.35,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000116","1","(4,5,30000,0,1,4,6,36000,0,1,4,23,3,0,1,4,25,1.5,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000117","1","(4,5,33000,0,1,4,6,39600,0,1,4,23,3.3,0,1,4,25,1.65,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000118","1","(4,5,36000,0,1,4,6,43200,0,1,4,23,3.6,0,1,4,25,1.8,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000119","1","(4,5,39000,0,1,4,6,46800,0,1,4,23,3.9,0,1,4,25,1.95,0,1)","","","(90016039,90016040)","(31101064,5)","20","4","",""
"64000120","1","(4,5,42000,0,1,4,6,50400,0,1,4,23,4.2,0,1,4,25,2.1,0,1)","","","(90016039,90016040)","0","20","4","",""
"64000200","3","0","1","","(90016041,90016042)","(31101065,1)","20","0","",""
"64000201","3","(4,8,24000,0,1,4,5,2400,0,1,4,6,2880,0,1,4,7,6000,0,1)","","","(90016041,90016042)","(31101065,1)","20","0","",""
"64000202","3","(4,8,48000,0,1,4,5,4800,0,1,4,6,5760,0,1,4,7,12000,0,1)","","","(90016041,90016042)","(31101065,1)","20","0","",""
"64000203","3","(4,8,72000,0,1,4,5,7200,0,1,4,6,8640,0,1,4,7,18000,0,1)","","","(90016041,90016042)","(31101065,1)","20","0","",""
"64000204","3","(4,8,96000,0,1,4,5,9600,0,1,4,6,11520,0,1,4,7,24000,0,1)","","","(90016041,90016042)","(31101065,1)","20","0","",""
"64000205","3","(4,8,120000,0,1,4,5,12000,0,1,4,6,14400,0,1,4,7,30000,0,1)","","","(90016041,90016042)","(31101065,1)","20","4","",""
"64000206","3","(4,8,144000,0,1,4,5,14400,0,1,4,6,17280,0,1,4,7,36000,0,1)","","","(90016041,90016042)","(31101065,2)","20","4","",""
"64000207","3","(4,8,192000,0,1,4,5,19200,0,1,4,6,23040,0,1,4,7,48000,0,1)","","","(90016041,90016042)","(31101065,3)","20","4","",""
"64000208","3","(4,8,264000,0,1,4,5,26400,0,1,4,6,31680,0,1,4,7,66000,0,1)","","","(90016041,90016042)","(31101065,4)","20","4","",""
"64000209","3","(4,8,360000,0,1,4,5,36000,0,1,4,6,43200,0,1,4,7,90000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000210","3","(4,8,480000,0,1,4,5,48000,0,1,4,6,57600,0,1,4,7,120000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000211","3","(4,8,600000,0,1,4,5,60000,0,1,4,6,72000,0,1,4,7,150000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000212","3","(4,8,720000,0,1,4,5,72000,0,1,4,6,86400,0,1,4,7,180000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000213","3","(4,8,840000,0,1,4,5,84000,0,1,4,6,100800,0,1,4,7,210000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000214","3","(4,8,960000,0,1,4,5,96000,0,1,4,6,115200,0,1,4,7,240000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000215","3","(4,8,1080000,0,1,4,5,108000,0,1,4,6,129600,0,1,4,7,270000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000216","3","(4,8,1200000,0,1,4,5,120000,0,1,4,6,144000,0,1,4,7,300000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000217","3","(4,8,1320000,0,1,4,5,132000,0,1,4,6,158400,0,1,4,7,330000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000218","3","(4,8,1440000,0,1,4,5,144000,0,1,4,6,172800,0,1,4,7,360000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000219","3","(4,8,1560000,0,1,4,5,156000,0,1,4,6,187200,0,1,4,7,390000,0,1)","","","(90016041,90016042)","(31101065,5)","20","4","",""
"64000220","3","(4,8,1680000,0,1,4,5,168000,0,1,4,6,201600,0,1,4,7,420000,0,1)","","","(90016041,90016042)","0","20","4","",""
"64000300","2","0","1","","(90016036,90016037,90016038)","(31101066,1)","20","0","",""
"64000301","2","(4,8,6000,0,1,4,7,1500,0,1,4,24,0.06,0,1,4,26,0.03,0,1)","","","(90016036,90016037,90016038)","(31101066,1)","20","0","",""
"64000302","2","(4,8,12000,0,1,4,7,3000,0,1,4,24,0.12,0,1,4,26,0.06,0,1)","","","(90016036,90016037,90016038)","(31101066,1)","20","0","",""
"64000303","2","(4,8,18000,0,1,4,7,4500,0,1,4,24,0.18,0,1,4,26,0.09,0,1)","","","(90016036,90016037,90016038)","(31101066,1)","20","0","",""
"64000304","2","(4,8,24000,0,1,4,7,6000,0,1,4,24,0.24,0,1,4,26,0.12,0,1)","","","(90016036,90016037,90016038)","(31101066,1)","20","0","",""
"64000305","2","(4,8,30000,0,1,4,7,7500,0,1,4,24,0.3,0,1,4,26,0.15,0,1)","","","(90016036,90016037,90016038)","(31101066,1)","20","4","",""
"64000306","2","(4,8,36000,0,1,4,7,9000,0,1,4,24,0.36,0,1,4,26,0.18,0,1)","","","(90016036,90016037,90016038)","(31101066,2)","20","4","",""
"64000307","2","(4,8,48000,0,1,4,7,12000,0,1,4,24,0.48,0,1,4,26,0.24,0,1)","","","(90016036,90016037,90016038)","(31101066,3)","20","4","",""
"64000308","2","(4,8,66000,0,1,4,7,16500,0,1,4,24,0.66,0,1,4,26,0.33,0,1)","","","(90016036,90016037,90016038)","(31101066,4)","20","4","",""
"64000309","2","(4,8,90000,0,1,4,7,22500,0,1,4,24,0.9,0,1,4,26,0.45,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000310","2","(4,8,120000,0,1,4,7,30000,0,1,4,24,1.2,0,1,4,26,0.6,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000311","2","(4,8,150000,0,1,4,7,37500,0,1,4,24,1.5,0,1,4,26,0.75,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000312","2","(4,8,180000,0,1,4,7,45000,0,1,4,24,1.8,0,1,4,26,0.9,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000313","2","(4,8,210000,0,1,4,7,52500,0,1,4,24,2.1,0,1,4,26,1.05,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000314","2","(4,8,240000,0,1,4,7,60000,0,1,4,24,2.4,0,1,4,26,1.2,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000315","2","(4,8,270000,0,1,4,7,67500,0,1,4,24,2.7,0,1,4,26,1.35,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000316","2","(4,8,300000,0,1,4,7,75000,0,1,4,24,3,0,1,4,26,1.5,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000317","2","(4,8,330000,0,1,4,7,82500,0,1,4,24,3.3,0,1,4,26,1.65,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000318","2","(4,8,360000,0,1,4,7,90000,0,1,4,24,3.6,0,1,4,26,1.8,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000319","2","(4,8,390000,0,1,4,7,97500,0,1,4,24,3.9,0,1,4,26,1.95,0,1)","","","(90016036,90016037,90016038)","(31101066,5)","20","4","",""
"64000320","2","(4,8,420000,0,1,4,7,105000,0,1,4,24,4.2,0,1,4,26,2.1,0,1)","","","(90016036,90016037,90016038)","0","20","4","",""
"64000400","1","0","1","","(90016039,90016040)","(31101067,1)","20","0","",""
"64000401","1","(4,5,600,0,1,4,6,720,0,1,4,23,0.06,0,1,4,25,0.03,0,1)","","","(90016039,90016040)","(31101067,1)","20","0","",""
"64000402","1","(4,5,1200,0,1,4,6,1440,0,1,4,23,0.12,0,1,4,25,0.06,0,1)","","","(90016039,90016040)","(31101067,1)","20","0","",""
"64000403","1","(4,5,1800,0,1,4,6,2160,0,1,4,23,0.18,0,1,4,25,0.09,0,1)","","","(90016039,90016040)","(31101067,1)","20","0","",""
"64000404","1","(4,5,2400,0,1,4,6,2880,0,1,4,23,0.24,0,1,4,25,0.12,0,1)","","","(90016039,90016040)","(31101067,1)","20","0","",""
"64000405","1","(4,5,3000,0,1,4,6,3600,0,1,4,23,0.3,0,1,4,25,0.15,0,1)","","","(90016039,90016040)","(31101067,1)","20","4","",""
"64000406","1","(4,5,3600,0,1,4,6,4320,0,1,4,23,0.36,0,1,4,25,0.18,0,1)","","","(90016039,90016040)","(31101067,2)","20","4","",""
"64000407","1","(4,5,4800,0,1,4,6,5760,0,1,4,23,0.48,0,1,4,25,0.24,0,1)","","","(90016039,90016040)","(31101067,3)","20","4","",""
"64000408","1","(4,5,6600,0,1,4,6,7920,0,1,4,23,0.66,0,1,4,25,0.33,0,1)","","","(90016039,90016040)","(31101067,4)","20","4","",""
"64000409","1","(4,5,9000,0,1,4,6,10800,0,1,4,23,0.9,0,1,4,25,0.45,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000410","1","(4,5,12000,0,1,4,6,14400,0,1,4,23,1.2,0,1,4,25,0.6,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000411","1","(4,5,15000,0,1,4,6,18000,0,1,4,23,1.5,0,1,4,25,0.75,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000412","1","(4,5,18000,0,1,4,6,21600,0,1,4,23,1.8,0,1,4,25,0.9,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000413","1","(4,5,21000,0,1,4,6,25200,0,1,4,23,2.1,0,1,4,25,1.05,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000414","1","(4,5,24000,0,1,4,6,28800,0,1,4,23,2.4,0,1,4,25,1.2,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000415","1","(4,5,27000,0,1,4,6,32400,0,1,4,23,2.7,0,1,4,25,1.35,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000416","1","(4,5,30000,0,1,4,6,36000,0,1,4,23,3,0,1,4,25,1.5,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000417","1","(4,5,33000,0,1,4,6,39600,0,1,4,23,3.3,0,1,4,25,1.65,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000418","1","(4,5,36000,0,1,4,6,43200,0,1,4,23,3.6,0,1,4,25,1.8,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000419","1","(4,5,39000,0,1,4,6,46800,0,1,4,23,3.9,0,1,4,25,1.95,0,1)","","","(90016039,90016040)","(31101067,5)","20","4","",""
"64000420","1","(4,5,42000,0,1,4,6,50400,0,1,4,23,4.2,0,1,4,25,2.1,0,1)","","","(90016039,90016040)","0","20","4","",""
"64000500","3","0","1","","(90016041,90016042)","(31101068,1)","20","0","",""
"64000501","3","(4,8,24000,0,1,4,5,2400,0,1,4,6,2880,0,1,4,7,6000,0,1)","","","(90016041,90016042)","(31101068,1)","20","0","",""
"64000502","3","(4,8,48000,0,1,4,5,4800,0,1,4,6,5760,0,1,4,7,12000,0,1)","","","(90016041,90016042)","(31101068,1)","20","0","",""
"64000503","3","(4,8,72000,0,1,4,5,7200,0,1,4,6,8640,0,1,4,7,18000,0,1)","","","(90016041,90016042)","(31101068,1)","20","0","",""
"64000504","3","(4,8,96000,0,1,4,5,9600,0,1,4,6,11520,0,1,4,7,24000,0,1)","","","(90016041,90016042)","(31101068,1)","20","0","",""
"64000505","3","(4,8,120000,0,1,4,5,12000,0,1,4,6,14400,0,1,4,7,30000,0,1)","","","(90016041,90016042)","(31101068,1)","20","4","",""
"64000506","3","(4,8,144000,0,1,4,5,14400,0,1,4,6,17280,0,1,4,7,36000,0,1)","","","(90016041,90016042)","(31101068,2)","20","4","",""
"64000507","3","(4,8,192000,0,1,4,5,19200,0,1,4,6,23040,0,1,4,7,48000,0,1)","","","(90016041,90016042)","(31101068,3)","20","4","",""
"64000508","3","(4,8,264000,0,1,4,5,26400,0,1,4,6,31680,0,1,4,7,66000,0,1)","","","(90016041,90016042)","(31101068,4)","20","4","",""
"64000509","3","(4,8,360000,0,1,4,5,36000,0,1,4,6,43200,0,1,4,7,90000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000510","3","(4,8,480000,0,1,4,5,48000,0,1,4,6,57600,0,1,4,7,120000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000511","3","(4,8,600000,0,1,4,5,60000,0,1,4,6,72000,0,1,4,7,150000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000512","3","(4,8,720000,0,1,4,5,72000,0,1,4,6,86400,0,1,4,7,180000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000513","3","(4,8,840000,0,1,4,5,84000,0,1,4,6,100800,0,1,4,7,210000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000514","3","(4,8,960000,0,1,4,5,96000,0,1,4,6,115200,0,1,4,7,240000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000515","3","(4,8,1080000,0,1,4,5,108000,0,1,4,6,129600,0,1,4,7,270000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000516","3","(4,8,1200000,0,1,4,5,120000,0,1,4,6,144000,0,1,4,7,300000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000517","3","(4,8,1320000,0,1,4,5,132000,0,1,4,6,158400,0,1,4,7,330000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000518","3","(4,8,1440000,0,1,4,5,144000,0,1,4,6,172800,0,1,4,7,360000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000519","3","(4,8,1560000,0,1,4,5,156000,0,1,4,6,187200,0,1,4,7,390000,0,1)","","","(90016041,90016042)","(31101068,5)","20","4","",""
"64000520","3","(4,8,1680000,0,1,4,5,168000,0,1,4,6,201600,0,1,4,7,420000,0,1)","","","(90016041,90016042)","0","20","4","",""
"64000600","2","0","1","","(90016036,90016037,90016038)","(31101069,1)","20","0","",""
"64000601","2","(4,8,6000,0,1,4,7,1500,0,1,4,24,0.06,0,1,4,26,0.03,0,1)","","","(90016036,90016037,90016038)","(31101069,1)","20","0","",""
"64000602","2","(4,8,12000,0,1,4,7,3000,0,1,4,24,0.12,0,1,4,26,0.06,0,1)","","","(90016036,90016037,90016038)","(31101069,1)","20","0","",""
"64000603","2","(4,8,18000,0,1,4,7,4500,0,1,4,24,0.18,0,1,4,26,0.09,0,1)","","","(90016036,90016037,90016038)","(31101069,1)","20","0","",""
"64000604","2","(4,8,24000,0,1,4,7,6000,0,1,4,24,0.24,0,1,4,26,0.12,0,1)","","","(90016036,90016037,90016038)","(31101069,1)","20","0","",""
"64000605","2","(4,8,30000,0,1,4,7,7500,0,1,4,24,0.3,0,1,4,26,0.15,0,1)","","","(90016036,90016037,90016038)","(31101069,1)","20","4","",""
"64000606","2","(4,8,36000,0,1,4,7,9000,0,1,4,24,0.36,0,1,4,26,0.18,0,1)","","","(90016036,90016037,90016038)","(31101069,2)","20","4","",""
"64000607","2","(4,8,48000,0,1,4,7,12000,0,1,4,24,0.48,0,1,4,26,0.24,0,1)","","","(90016036,90016037,90016038)","(31101069,3)","20","4","",""
"64000608","2","(4,8,66000,0,1,4,7,16500,0,1,4,24,0.66,0,1,4,26,0.33,0,1)","","","(90016036,90016037,90016038)","(31101069,4)","20","4","",""
"64000609","2","(4,8,90000,0,1,4,7,22500,0,1,4,24,0.9,0,1,4,26,0.45,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000610","2","(4,8,120000,0,1,4,7,30000,0,1,4,24,1.2,0,1,4,26,0.6,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000611","2","(4,8,150000,0,1,4,7,37500,0,1,4,24,1.5,0,1,4,26,0.75,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000612","2","(4,8,180000,0,1,4,7,45000,0,1,4,24,1.8,0,1,4,26,0.9,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000613","2","(4,8,210000,0,1,4,7,52500,0,1,4,24,2.1,0,1,4,26,1.05,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000614","2","(4,8,240000,0,1,4,7,60000,0,1,4,24,2.4,0,1,4,26,1.2,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000615","2","(4,8,270000,0,1,4,7,67500,0,1,4,24,2.7,0,1,4,26,1.35,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000616","2","(4,8,300000,0,1,4,7,75000,0,1,4,24,3,0,1,4,26,1.5,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000617","2","(4,8,330000,0,1,4,7,82500,0,1,4,24,3.3,0,1,4,26,1.65,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000618","2","(4,8,360000,0,1,4,7,90000,0,1,4,24,3.6,0,1,4,26,1.8,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000619","2","(4,8,390000,0,1,4,7,97500,0,1,4,24,3.9,0,1,4,26,1.95,0,1)","","","(90016036,90016037,90016038)","(31101069,5)","20","4","",""
"64000620","2","(4,8,420000,0,1,4,7,105000,0,1,4,24,4.2,0,1,4,26,2.1,0,1)","","","(90016036,90016037,90016038)","0","20","4","",""
"64000700","1","0","1","","(90016039,90016040)","(31101070,1)","20","0","",""
"64000701","1","(4,5,600,0,1,4,6,720,0,1,4,23,0.06,0,1,4,25,0.03,0,1)","","","(90016039,90016040)","(31101070,1)","20","0","",""
"64000702","1","(4,5,1200,0,1,4,6,1440,0,1,4,23,0.12,0,1,4,25,0.06,0,1)","","","(90016039,90016040)","(31101070,1)","20","0","",""
"64000703","1","(4,5,1800,0,1,4,6,2160,0,1,4,23,0.18,0,1,4,25,0.09,0,1)","","","(90016039,90016040)","(31101070,1)","20","0","",""
"64000704","1","(4,5,2400,0,1,4,6,2880,0,1,4,23,0.24,0,1,4,25,0.12,0,1)","","","(90016039,90016040)","(31101070,1)","20","0","",""
"64000705","1","(4,5,3000,0,1,4,6,3600,0,1,4,23,0.3,0,1,4,25,0.15,0,1)","","","(90016039,90016040)","(31101070,1)","20","4","",""
"64000706","1","(4,5,3600,0,1,4,6,4320,0,1,4,23,0.36,0,1,4,25,0.18,0,1)","","","(90016039,90016040)","(31101070,2)","20","4","",""
"64000707","1","(4,5,4800,0,1,4,6,5760,0,1,4,23,0.48,0,1,4,25,0.24,0,1)","","","(90016039,90016040)","(31101070,3)","20","4","",""
"64000708","1","(4,5,6600,0,1,4,6,7920,0,1,4,23,0.66,0,1,4,25,0.33,0,1)","","","(90016039,90016040)","(31101070,4)","20","4","",""
"64000709","1","(4,5,9000,0,1,4,6,10800,0,1,4,23,0.9,0,1,4,25,0.45,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000710","1","(4,5,12000,0,1,4,6,14400,0,1,4,23,1.2,0,1,4,25,0.6,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000711","1","(4,5,15000,0,1,4,6,18000,0,1,4,23,1.5,0,1,4,25,0.75,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000712","1","(4,5,18000,0,1,4,6,21600,0,1,4,23,1.8,0,1,4,25,0.9,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000713","1","(4,5,21000,0,1,4,6,25200,0,1,4,23,2.1,0,1,4,25,1.05,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000714","1","(4,5,24000,0,1,4,6,28800,0,1,4,23,2.4,0,1,4,25,1.2,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000715","1","(4,5,27000,0,1,4,6,32400,0,1,4,23,2.7,0,1,4,25,1.35,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000716","1","(4,5,30000,0,1,4,6,36000,0,1,4,23,3,0,1,4,25,1.5,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000717","1","(4,5,33000,0,1,4,6,39600,0,1,4,23,3.3,0,1,4,25,1.65,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000718","1","(4,5,36000,0,1,4,6,43200,0,1,4,23,3.6,0,1,4,25,1.8,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000719","1","(4,5,39000,0,1,4,6,46800,0,1,4,23,3.9,0,1,4,25,1.95,0,1)","","","(90016039,90016040)","(31101070,5)","20","4","",""
"64000720","1","(4,5,42000,0,1,4,6,50400,0,1,4,23,4.2,0,1,4,25,2.1,0,1)","","","(90016039,90016040)","0","20","4","",""
"64000800","3","0","1","","(90016041,90016042)","(31101071,1)","20","0","",""
"64000801","3","(4,8,24000,0,1,4,5,2400,0,1,4,6,2880,0,1,4,7,6000,0,1)","","","(90016041,90016042)","(31101071,1)","20","0","",""
"64000802","3","(4,8,48000,0,1,4,5,4800,0,1,4,6,5760,0,1,4,7,12000,0,1)","","","(90016041,90016042)","(31101071,1)","20","0","",""
"64000803","3","(4,8,72000,0,1,4,5,7200,0,1,4,6,8640,0,1,4,7,18000,0,1)","","","(90016041,90016042)","(31101071,1)","20","0","",""
