"AttributeId","EquipSlot","Consume","RandomSkillSet","ShowSkillName","ShowSkillDescribe","Type","SubType","SkillID","RealType","RealValue","ResId"
"16302009","","(31141065,1)","","90038320","90038723","10","1","","3","(16,2500,0,24,10,1)","91293783"
"16302010","","(31141065,1)","","90038321","90038724","10","2","","3","(16,10000,0,24,40,1)","91293784"
"16303001","","(31141065,1)","","90038308","90038711","11","1","","1","(1,250)","91293777"
"16303002","","(31141065,1)","","90038309","90038712","11","2","","1","(1,1000)","91293778"
"16303003","","(31141065,1)","","90038295","90038695","12","1","","2","(1,26030001,2,26030002,3,26030003,4,26030004)","91293789"
"16303004","","(31141065,1)","","90038296","90038696","12","2","","2","(1,26030005,2,26030006,3,26030007,4,26030008)","91293790"
"16303005","","(31141065,1)","","90038310","90038713","13","1","","3","(17,2500,0,23,10,1)","91293795"
"16303006","","(31141065,1)","","90038311","90038714","13","2","","3","(17,10000,0,23,40,1)","91293796"
"16303007","","(31141065,1)","","90038314","90038717","14","1","","3","(19,2500,0,23,10,1)","91293793"
"16303008","","(31141065,1)","","90038315","90038718","14","2","","3","(19,10000,0,23,40,1)","91293794"
"16303009","","(31141065,1)","","90038312","90038715","15","1","","3","(15,2500,0,23,10,1)","91293791"
"16303010","","(31141065,1)","","90038313","90038716","15","2","","3","(15,10000,0,23,40,1)","91293792"
"16304001","","(31141065,1)","","90038295","90038695","12","1","","2","(1,26030001,2,26030002,3,26030003,4,26030004)","91293789"
"16304002","","(31141065,1)","","90038296","90038696","12","2","","2","(1,26030005,2,26030006,3,26030007,4,26030008)","91293790"
"16304003","","(31141065,1)","","90038297","90038697","7","1","","2","(1,26030009,2,26030010,3,26030011,4,26030012)","91293779"
"16304004","","(31141065,1)","","90038298","90038698","7","2","","2","(1,26030013,2,26030014,3,26030015,4,26030016)","91293780"
"16304005","","(31141065,1)","","90038299","90038699","2","1","","2","(1,26030017,2,26030018,3,26030019,4,26030020)","91293769"
"16304006","","(31141065,1)","","90038300","90038700","2","2","","2","(1,26030021,2,26030022,3,26030023,4,26030024)","91293770"
"16305001","","(31141065,1)","","90038295","90038695","12","1","","2","(1,26030025,2,26030026,3,26030027,4,26030028)","91293789"
"16305002","","(31141065,1)","","90038296","90038696","12","2","","2","(1,26030029,2,26030030,3,26030031,4,26030032)","91293790"
"16305003","","(31141065,1)","","90038297","90038697","7","1","","2","(1,26030033,2,26030034,3,26030035,4,26030036)","91293779"
"16305004","","(31141065,1)","","90038298","90038698","7","2","","2","(1,26030037,2,26030038,3,26030039,4,26030040)","91293780"
"16305005","","(31141065,1)","","90038299","90038699","2","1","","2","(1,26030041,2,26030042,3,26030043,4,26030044)","91293769"
"16305006","","(31141065,1)","","90038300","90038700","2","2","","2","(1,26030045,2,26030046,3,26030047,4,26030048)","91293770"
"16306001","","(31141065,1)","","90038295","90038695","12","1","","2","(1,26030049,2,26030050,3,26030051,4,26030052)","91293789"
"16306002","","(31141065,1)","","90038296","90038696","12","2","","2","(1,26030053,2,26030054,3,26030055,4,26030056)","91293790"
"16306003","","(31141065,1)","","90038297","90038697","7","1","","2","(1,26030057,2,26030058,3,26030059,4,26030060)","91293779"
"16306004","","(31141065,1)","","90038298","90038698","7","2","","2","(1,26030061,2,26030062,3,26030063,4,26030064)","91293780"
"16306005","","(31141065,1)","","90038299","90038699","2","1","","2","(1,26030065,2,26030066,3,26030067,4,26030068)","91293769"
"16306006","","(31141065,1)","","90038300","90038700","2","2","","2","(1,26030069,2,26030070,3,26030071,4,26030072)","91293770"
"16307001","","(31141065,1)","","90038295","90038695","12","1","","2","(1,26030073,2,26030074,3,26030075,4,26030076)","91293789"
"16307002","","(31141065,1)","","90038296","90038696","12","2","","2","(1,26030077,2,26030078,3,26030079,4,26030080)","91293790"
"16307003","","(31141065,1)","","90038297","90038697","7","1","","2","(1,26030081,2,26030082,3,26030083,4,26030084)","91293779"
"16307004","","(31141065,1)","","90038298","90038698","7","2","","2","(1,26030085,2,26030086,3,26030087,4,26030088)","91293780"
"16307005","","(31141065,1)","","90038299","90038699","2","1","","2","(1,26030089,2,26030090,3,26030091,4,26030092)","91293769"
"16307006","","(31141065,1)","","90038300","90038700","2","2","","2","(1,26030093,2,26030094,3,26030095,4,26030096)","91293770"
