"AttributeId"," topic"," answer"," ItemRewardArray","BattleRewardArray"
"144000171","90110172","90111172","100","(15,100)"
"144000172","90110173","90111173","100","(15,100)"
"144000173","90110174","90111174","100","(15,100)"
"144000174","90110175","90111175","100","(15,100)"
"144000175","90110176","90111176","100","(15,100)"
"144000176","90110177","90111177","100","(15,100)"
"144000177","90110178","90111178","100","(15,100)"
"144000178","90110179","90111179","100","(15,100)"
"144000179","90110180","90111180","100","(15,100)"
"144000180","90110181","90111181","100","(15,100)"
"144000181","90110182","90111182","100","(15,100)"
"144000182","90110183","90111183","100","(15,100)"
"144000183","90110184","90111184","100","(15,100)"
"144000184","90110185","90111185","100","(15,100)"
"144000185","90110186","90111186","100","(15,100)"
"144000186","90110187","90111187","100","(15,100)"
"144000187","90110188","90111188","100","(15,100)"
"144000188","90110189","90111189","100","(15,100)"
"144000189","90110190","90111190","100","(15,100)"
"144000190","90110191","90111191","100","(15,100)"
"144000191","90110192","90111192","100","(15,100)"
"144000192","90110193","90111193","100","(15,100)"
"144000193","90110194","90111194","100","(15,100)"
"144000194","90110195","90111195","100","(15,100)"
"144000195","90110196","90111196","100","(15,100)"
"144000196","90110197","90111197","100","(15,100)"
"144000197","90110198","90111198","100","(15,100)"
"144000198","90110199","90111199","100","(15,100)"
"144000199","90110200","90111200","100","(15,100)"
"144000200","90110201","90111201","100","(15,100)"
"144000201","90110202","90111202","100","(15,100)"
"144000202","90110203","90111203","100","(15,100)"
"144000203","90110204","90111204","100","(15,100)"
"144000204","90110205","90111205","100","(15,100)"
"144000205","90110206","90111206","100","(15,100)"
"144000206","90110207","90111207","100","(15,100)"
"144000207","90110208","90111208","100","(15,100)"
"144000208","90110209","90111209","100","(15,100)"
"144000209","90110210","90111210","100","(15,100)"
"144000210","90110211","90111211","100","(15,100)"
"144000211","90110212","90111212","100","(15,100)"
"144000212","90110213","90111213","100","(15,100)"
"144000213","90110214","90111214","100","(15,100)"
"144000214","90110215","90111215","100","(15,100)"
"144000215","90110216","90111216","100","(15,100)"
"144000216","90110217","90111217","100","(15,100)"
"144000217","90110218","90111218","100","(15,100)"
"144000218","90110219","90111219","100","(15,100)"
"144000219","90110220","90111220","100","(15,100)"
"144000220","90110221","90111221","100","(15,100)"
"144000221","90110222","90111222","100","(15,100)"
"144000222","90110223","90111223","100","(15,100)"
"144000223","90110224","90111224","100","(15,100)"
"144000224","90110225","90111225","100","(15,100)"
"144000225","90110226","90111226","100","(15,100)"
"144000226","90110227","90111227","100","(15,100)"
"144000227","90110228","90111228","100","(15,100)"
"144000228","90110229","90111229","100","(15,100)"
"144000229","90110230","90111230","100","(15,100)"
"144000230","90110231","90111231","100","(15,100)"
"144000231","90110232","90111232","100","(15,100)"
"144000232","90110233","90111233","100","(15,100)"
"144000233","90110234","90111234","100","(15,100)"
"144000234","90110235","90111235","100","(15,100)"
"144000235","90110236","90111236","100","(15,100)"
"144000236","90110237","90111237","100","(15,100)"
"144000237","90110238","90111238","100","(15,100)"
"144000238","90110239","90111239","100","(15,100)"
"144000239","90110240","90111240","100","(15,100)"
"144000240","90110241","90111241","100","(15,100)"
"144000241","90110242","90111242","100","(15,100)"
"144000242","90110243","90111243","100","(15,100)"
"144000243","90110244","90111244","100","(15,100)"
"144000244","90110245","90111245","100","(15,100)"
"144000245","90110246","90111246","100","(15,100)"
"144000246","90110247","90111247","100","(15,100)"
"144000247","90110248","90111248","100","(15,100)"
"144000248","90110249","90111249","100","(15,100)"
"144000249","90110250","90111250","100","(15,100)"
"144000250","90110251","90111251","100","(15,100)"
"144000251","90110252","90111252","100","(15,100)"
"144000252","90110253","90111253","100","(15,100)"
"144000253","90110254","90111254","100","(15,100)"
"144000254","90110255","90111255","100","(15,100)"
"144000255","90110256","90111256","100","(15,100)"
"144000256","90110257","90111257","100","(15,100)"
"144000257","90110258","90111258","100","(15,100)"
"144000258","90110259","90111259","100","(15,100)"
"144000259","90110260","90111260","100","(15,100)"
"144000260","90110261","90111261","100","(15,100)"
"144000261","90110262","90111262","100","(15,100)"
"144000262","90110263","90111263","100","(15,100)"
"144000263","90110264","90111264","100","(15,100)"
"144000264","90110265","90111265","100","(15,100)"
"144000265","90110266","90111266","100","(15,100)"
"144000266","90110267","90111267","100","(15,100)"
"144000267","90110268","90111268","100","(15,100)"
"144000268","90110269","90111269","100","(15,100)"
"144000269","90110270","90111270","100","(15,100)"
"144000270","90110271","90111271","100","(15,100)"
"144000271","90110272","90111272","100","(15,100)"
"144000272","90110273","90111273","100","(15,100)"
"144000273","90110274","90111274","100","(15,100)"
"144000274","90110275","90111275","100","(15,100)"
"144000275","90110276","90111276","100","(15,100)"
"144000276","90110277","90111277","100","(15,100)"
"144000277","90110278","90111278","100","(15,100)"
"144000278","90110279","90111279","100","(15,100)"
"144000279","90110280","90111280","100","(15,100)"
"144000280","90110281","90111281","100","(15,100)"
"144000281","90110282","90111282","100","(15,100)"
"144000282","90110283","90111283","100","(15,100)"
"144000283","90110284","90111284","100","(15,100)"
"144000284","90110285","90111285","100","(15,100)"
"144000285","90110286","90111286","100","(15,100)"
"144000286","90110287","90111287","100","(15,100)"
"144000287","90110288","90111288","100","(15,100)"
"144000288","90110289","90111289","100","(15,100)"
"144000289","90110290","90111290","100","(15,100)"
"144000290","90110291","90111291","100","(15,100)"
"144000291","90110292","90111292","100","(15,100)"
"144000292","90110293","90111293","100","(15,100)"
"144000293","90110294","90111294","100","(15,100)"
"144000294","90110295","90111295","100","(15,100)"
"144000295","90110296","90111296","100","(15,100)"
"144000296","90110297","90111297","100","(15,100)"
"144000297","90110298","90111298","100","(15,100)"
"144000298","90110299","90111299","100","(15,100)"
"144000299","90110300","90111300","100","(15,100)"
"144000300","90110301","90111301","100","(15,100)"
"144000301","90110302","90111302","100","(15,100)"
"144000302","90110303","90111303","100","(15,100)"
"144000303","90110304","90111304","100","(15,100)"
"144000304","90110305","90111305","100","(15,100)"
"144000305","90110306","90111306","100","(15,100)"
"144000306","90110307","90111307","100","(15,100)"
"144000307","90110308","90111308","100","(15,100)"
"144000308","90110309","90111309","100","(15,100)"
"144000309","90110310","90111310","100","(15,100)"
"144000310","90110311","90111311","100","(15,100)"
"144000311","90110312","90111312","100","(15,100)"
"144000312","90110313","90111313","100","(15,100)"
"144000313","90110314","90111314","100","(15,100)"
"144000314","90110315","90111315","100","(15,100)"
"144000315","90110316","90111316","100","(15,100)"
"144000316","90110317","90111317","100","(15,100)"
"144000317","90110318","90111318","100","(15,100)"
"144000318","90110319","90111319","100","(15,100)"
"144000319","90110320","90111320","100","(15,100)"
"144000320","90110321","90111321","100","(15,100)"
"144000321","90110322","90111322","100","(15,100)"
"144000322","90110323","90111323","100","(15,100)"
"144000323","90110324","90111324","100","(15,100)"
"144000324","90110325","90111325","100","(15,100)"
"144000325","90110326","90111326","100","(15,100)"
"144000326","90110327","90111327","100","(15,100)"
"144000327","90110328","90111328","100","(15,100)"
"144000328","90110329","90111329","100","(15,100)"
"144000329","90110330","90111330","100","(15,100)"
"144000330","90110331","90111331","100","(15,100)"
"144000331","90110332","90111332","100","(15,100)"
"144000332","90110333","90111333","100","(15,100)"
"144000333","90110334","90111334","100","(15,100)"
"144000334","90110335","90111335","100","(15,100)"
"144000335","90110336","90111336","100","(15,100)"
"144000336","90110337","90111337","100","(15,100)"
"144000337","90110338","90111338","100","(15,100)"
"144000338","90110339","90111339","100","(15,100)"
"144000339","90110340","90111340","100","(15,100)"
"144000340","90110341","90111341","100","(15,100)"
"144000341","90110342","90111342","100","(15,100)"
"144000342","90110343","90111343","100","(15,100)"
"144000343","90110344","90111344","100","(15,100)"
"144000344","90110345","90111345","100","(15,100)"
"144000345","90110346","90111346","100","(15,100)"
"144000346","90110347","90111347","100","(15,100)"
"144000347","90110348","90111348","100","(15,100)"
"144000348","90110349","90111349","100","(15,100)"
"144000349","90110350","90111350","100","(15,100)"
"144000350","90110351","90111351","100","(15,100)"
"144000351","90110352","90111352","100","(15,100)"
"144000352","90110353","90111353","100","(15,100)"
"144000353","90110354","90111354","100","(15,100)"
"144000354","90110355","90111355","100","(15,100)"
"144000355","90110356","90111356","100","(15,100)"
"144000356","90110357","90111357","100","(15,100)"
"144000357","90110358","90111358","100","(15,100)"
"144000358","90110359","90111359","100","(15,100)"
"144000359","90110360","90111360","100","(15,100)"
"144000360","90110361","90111361","100","(15,100)"
"144000361","90110362","90111362","100","(15,100)"
"144000362","90110363","90111363","100","(15,100)"
"144000363","90110364","90111364","100","(15,100)"
"144000364","90110365","90111365","100","(15,100)"
"144000365","90110366","90111366","100","(15,100)"
"144000366","90110367","90111367","100","(15,100)"
"144000367","90110368","90111368","100","(15,100)"
"144000368","90110369","90111369","100","(15,100)"
"144000369","90110370","90111370","100","(15,100)"
"144000370","90110371","90111371","100","(15,100)"
"144000371","90110372","90111372","100","(15,100)"
"144000372","90110373","90111373","100","(15,100)"
"144000373","90110374","90111374","100","(15,100)"
"144000374","90110375","90111375","100","(15,100)"
"144000375","90110376","90111376","100","(15,100)"
"144000376","90110377","90111377","100","(15,100)"
"144000377","90110378","90111378","100","(15,100)"
"144000378","90110379","90111379","100","(15,100)"
"144000379","90110380","90111380","100","(15,100)"
"144000380","90110381","90111381","100","(15,100)"
"144000381","90110382","90111382","100","(15,100)"
"144000382","90110383","90111383","100","(15,100)"
"144000383","90110384","90111384","100","(15,100)"
"144000384","90110385","90111385","100","(15,100)"
"144000385","90110386","90111386","100","(15,100)"
"144000386","90110387","90111387","100","(15,100)"
"144000387","90110388","90111388","100","(15,100)"
"144000388","90110389","90111389","100","(15,100)"
"144000389","90110390","90111390","100","(15,100)"
"144000390","90110391","90111391","100","(15,100)"
"144000391","90110392","90111392","100","(15,100)"
"144000392","90110393","90111393","100","(15,100)"
"144000393","90110394","90111394","100","(15,100)"
"144000394","90110395","90111395","100","(15,100)"
"144000395","90110396","90111396","100","(15,100)"
"144000396","90110397","90111397","100","(15,100)"
"144000397","90110398","90111398","100","(15,100)"
"144000398","90110399","90111399","100","(15,100)"
"144000399","90110400","90111400","100","(15,100)"
"144000400","90110401","90111401","100","(15,100)"
"144000401","90110402","90111402","100","(15,100)"
"144000402","90110403","90111403","100","(15,100)"
"144000403","90110404","90111404","100","(15,100)"
"144000404","90110405","90111405","100","(15,100)"
"144000405","90110406","90111406","100","(15,100)"
"144000406","90110407","90111407","100","(15,100)"
"144000407","90110408","90111408","100","(15,100)"
"144000408","90110409","90111409","100","(15,100)"
"144000409","90110410","90111410","100","(15,100)"
"144000410","90110411","90111411","100","(15,100)"
"144000411","90110412","90111412","100","(15,100)"
"144000412","90110413","90111413","100","(15,100)"
"144000413","90110414","90111414","100","(15,100)"
"144000414","90110415","90111415","100","(15,100)"
"144000415","90110416","90111416","100","(15,100)"
"144000416","90110417","90111417","100","(15,100)"
"144000417","90110418","90111418","100","(15,100)"
"144000418","90110419","90111419","100","(15,100)"
"144000419","90110420","90111420","100","(15,100)"
"144000420","90110421","90111421","100","(15,100)"
"144000421","90110422","90111422","100","(15,100)"
"144000422","90110423","90111423","100","(15,100)"
"144000423","90110424","90111424","100","(15,100)"
"144000424","90110425","90111425","100","(15,100)"
"144000425","90110426","90111426","100","(15,100)"
"144000426","90110427","90111427","100","(15,100)"
"144000427","90110428","90111428","100","(15,100)"
"144000428","90110429","90111429","100","(15,100)"
"144000429","90110430","90111430","100","(15,100)"
"144000430","90110431","90111431","100","(15,100)"
"144000431","90110432","90111432","100","(15,100)"
"144000432","90110433","90111433","100","(15,100)"
"144000433","90110434","90111434","100","(15,100)"
"144000434","90110435","90111435","100","(15,100)"
"144000435","90110436","90111436","100","(15,100)"
"144000436","90110437","90111437","100","(15,100)"
"144000437","90110438","90111438","100","(15,100)"
"144000438","90110439","90111439","100","(15,100)"
"144000439","90110440","90111440","100","(15,100)"
"144000440","90110441","90111441","100","(15,100)"
"144000441","90110442","90111442","100","(15,100)"
"144000442","90110443","90111443","100","(15,100)"
"144000443","90110444","90111444","100","(15,100)"
"144000444","90110445","90111445","100","(15,100)"
"144000445","90110446","90111446","100","(15,100)"
"144000446","90110447","90111447","100","(15,100)"
"144000447","90110448","90111448","100","(15,100)"
"144000448","90110449","90111449","100","(15,100)"
"144000449","90110450","90111450","100","(15,100)"
"144000450","90110451","90111451","100","(15,100)"
"144000451","90110452","90111452","100","(15,100)"
"144000452","90110453","90111453","100","(15,100)"
"144000453","90110454","90111454","100","(15,100)"
"144000454","90110455","90111455","100","(15,100)"
"144000455","90110456","90111456","100","(15,100)"
"144000456","90110457","90111457","100","(15,100)"
"144000457","90110458","90111458","100","(15,100)"
"144000458","90110459","90111459","100","(15,100)"
"144000459","90110460","90111460","100","(15,100)"
"144000460","90110461","90111461","100","(15,100)"
"144000461","90110462","90111462","100","(15,100)"
"144000462","90110463","90111463","100","(15,100)"
"144000463","90110464","90111464","100","(15,100)"
"144000464","90110465","90111465","100","(15,100)"
"144000465","90110466","90111466","100","(15,100)"
"144000466","90110467","90111467","100","(15,100)"
"144000467","90110468","90111468","100","(15,100)"
"144000468","90110469","90111469","100","(15,100)"
"144000469","90110470","90111470","100","(15,100)"
"144000470","90110471","90111471","100","(15,100)"
"144000471","90110472","90111472","100","(15,100)"
"144000472","90110473","90111473","100","(15,100)"
"144000473","90110474","90111474","100","(15,100)"
"144000474","90110475","90111475","100","(15,100)"
"144000475","90110476","90111476","100","(15,100)"
"144000476","90110477","90111477","100","(15,100)"
"144000477","90110478","90111478","100","(15,100)"
"144000478","90110479","90111479","100","(15,100)"
"144000479","90110480","90111480","100","(15,100)"
"144000480","90110481","90111481","100","(15,100)"
"144000481","90110482","90111482","100","(15,100)"
"144000482","90110483","90111483","100","(15,100)"
"144000483","90110484","90111484","100","(15,100)"
"144000484","90110485","90111485","100","(15,100)"
"144000485","90110486","90111486","100","(15,100)"
"144000486","90110487","90111487","100","(15,100)"
"144000487","90110488","90111488","100","(15,100)"
"144000488","90110489","90111489","100","(15,100)"
"144000489","90110490","90111490","100","(15,100)"
"144000490","90110491","90111491","100","(15,100)"
"144000491","90110492","90111492","100","(15,100)"
"144000492","90110493","90111493","100","(15,100)"
"144000493","90110494","90111494","100","(15,100)"
"144000494","90110495","90111495","100","(15,100)"
"144000495","90110496","90111496","100","(15,100)"
"144000496","90110497","90111497","100","(15,100)"
"144000497","90110498","90111498","100","(15,100)"
"144000498","90110499","90111499","100","(15,100)"
"144000499","90110500","90111500","100","(15,100)"
"144000500","90110501","90111501","100","(15,100)"
"144000501","90110502","90111502","100","(15,100)"
"144000502","90110503","90111503","100","(15,100)"
