"AttributeId","BeliefType","ActivateLevelRequire","CurStarNumber","CurRankNumber","MaxStarNumber","MaxRankNumber","AttArray","OperateType","SuccessRatio","MinActivateTimeNeed","MaxActivateTimeLimit","MoneyCostList","Notice_id"
"57010056","0","1","3","5","12","20","(4,8,19920,0,1,4,5,3422,0,1,4,6,3422,0,1,4,11,2856,0,1,4,16,25905,0,1,4,24,0.1,0,1)","1","1","0","50","(5,70000)",""
"57010057","0","1","4","5","12","20","(4,8,19920,0,1,4,5,3422,0,1,4,6,3422,0,1,4,11,3108,0,1,4,16,26465,0,1,4,24,0.1,0,1)","1","1","0","50","(5,71000)",""
"57010058","0","1","5","5","12","20","(4,8,21600,0,1,4,5,3422,0,1,4,6,3422,0,1,4,11,3108,0,1,4,16,27025,0,1,4,24,0.1,0,1)","1","1","0","50","(5,72000)",""
"57010059","0","1","6","5","12","20","(4,8,21600,0,1,4,5,3422,0,1,4,6,3700,0,1,4,11,3108,0,1,4,16,27585,0,1,4,24,0.1,0,1)","1","1","0","50","(5,73000)",""
"57010060","0","1","7","5","12","20","(4,8,21600,0,1,4,5,3700,0,1,4,6,3700,0,1,4,11,3108,0,1,4,16,28145,0,1,4,24,0.1,0,1)","1","1","0","50","(5,74000)",""
"57010061","0","1","8","5","12","20","(4,8,21600,0,1,4,5,3700,0,1,4,6,3700,0,1,4,11,3360,0,1,4,16,28705,0,1,4,24,0.1,0,1)","1","1","0","50","(5,75000)",""
"57010062","0","1","9","5","12","20","(4,8,23280,0,1,4,5,3700,0,1,4,6,3700,0,1,4,11,3360,0,1,4,16,29265,0,1,4,24,0.1,0,1)","1","1","0","50","(5,76000)",""
"57010063","0","1","10","5","12","20","(4,8,23280,0,1,4,5,3700,0,1,4,6,3978,0,1,4,11,3360,0,1,4,16,29825,0,1,4,24,0.1,0,1)","1","1","0","50","(5,77000)",""
"57010064","0","1","11","5","12","20","(4,8,23280,0,1,4,5,3978,0,1,4,6,3978,0,1,4,11,3360,0,1,4,16,30385,0,1,4,24,0.1,0,1)","1","1","0","50","(5,78000)",""
"57010065","0","1","12","5","12","20","(4,8,23280,0,1,4,5,3978,0,1,4,6,3978,0,1,4,11,3612,0,1,4,16,30945,0,1,4,24,0.1,0,1)","2","1","0","50","(5,1500000)",""
"57010066","0","1","0","6","12","20","(4,8,24960,0,1,4,5,4256,0,1,4,6,4256,0,1,4,11,3864,0,1,4,16,32865,0,1,4,24,0.12,0,1)","1","1","0","50","(5,79000)","93000161"
"57010067","0","1","1","6","12","20","(4,8,26880,0,1,4,5,4256,0,1,4,6,4256,0,1,4,11,3864,0,1,4,16,33505,0,1,4,24,0.12,0,1)","1","1","0","50","(5,80000)",""
"57010068","0","1","2","6","12","20","(4,8,26880,0,1,4,5,4256,0,1,4,6,4573,0,1,4,11,3864,0,1,4,16,34145,0,1,4,24,0.12,0,1)","1","1","0","50","(5,81000)",""
"57010069","0","1","3","6","12","20","(4,8,26880,0,1,4,5,4573,0,1,4,6,4573,0,1,4,11,3864,0,1,4,16,34785,0,1,4,24,0.12,0,1)","1","1","0","50","(5,82000)",""
"57010070","0","1","4","6","12","20","(4,8,26880,0,1,4,5,4573,0,1,4,6,4573,0,1,4,11,4152,0,1,4,16,35425,0,1,4,24,0.12,0,1)","1","1","0","50","(5,83000)",""
"57010071","0","1","5","6","12","20","(4,8,28800,0,1,4,5,4573,0,1,4,6,4573,0,1,4,11,4152,0,1,4,16,36065,0,1,4,24,0.12,0,1)","1","1","0","50","(5,84000)",""
"57010072","0","1","6","6","12","20","(4,8,28800,0,1,4,5,4573,0,1,4,6,4890,0,1,4,11,4152,0,1,4,16,36705,0,1,4,24,0.12,0,1)","1","1","0","50","(5,85000)",""
"57010073","0","1","7","6","12","20","(4,8,28800,0,1,4,5,4890,0,1,4,6,4890,0,1,4,11,4152,0,1,4,16,37345,0,1,4,24,0.12,0,1)","1","1","0","50","(5,86000)",""
"57010074","0","1","8","6","12","20","(4,8,28800,0,1,4,5,4890,0,1,4,6,4890,0,1,4,11,4440,0,1,4,16,37985,0,1,4,24,0.12,0,1)","1","1","0","50","(5,87000)",""
"57010075","0","1","9","6","12","20","(4,8,30720,0,1,4,5,4890,0,1,4,6,4890,0,1,4,11,4440,0,1,4,16,38625,0,1,4,24,0.12,0,1)","1","1","0","50","(5,88000)",""
"57010076","0","1","10","6","12","20","(4,8,30720,0,1,4,5,4890,0,1,4,6,5207,0,1,4,11,4440,0,1,4,16,39265,0,1,4,24,0.12,0,1)","1","1","0","50","(5,89000)",""
"57010077","0","1","11","6","12","20","(4,8,30720,0,1,4,5,5207,0,1,4,6,5207,0,1,4,11,4440,0,1,4,16,39905,0,1,4,24,0.12,0,1)","1","1","0","50","(5,90000)",""
"57010078","0","1","12","6","12","20","(4,8,30720,0,1,4,5,5207,0,1,4,6,5207,0,1,4,11,4728,0,1,4,16,40545,0,1,4,24,0.12,0,1)","2","1","0","50","(5,2100000)",""
"57010079","0","1","0","7","12","20","(4,8,32640,0,1,4,5,5524,0,1,4,6,5524,0,1,4,11,5016,0,1,4,16,42705,0,1,4,24,0.14,0,1)","1","1","0","50","(5,91000)","93000179"
"57010080","0","1","1","7","12","20","(4,8,34800,0,1,4,5,5524,0,1,4,6,5524,0,1,4,11,5016,0,1,4,16,43425,0,1,4,24,0.14,0,1)","1","1","0","50","(5,92000)",""
"57010081","0","1","2","7","12","20","(4,8,34800,0,1,4,5,5524,0,1,4,6,5881,0,1,4,11,5016,0,1,4,16,44145,0,1,4,24,0.14,0,1)","1","1","0","50","(5,93000)",""
"57010082","0","1","3","7","12","20","(4,8,34800,0,1,4,5,5881,0,1,4,6,5881,0,1,4,11,5016,0,1,4,16,44865,0,1,4,24,0.14,0,1)","1","1","0","50","(5,94000)",""
"57010083","0","1","4","7","12","20","(4,8,34800,0,1,4,5,5881,0,1,4,6,5881,0,1,4,11,5340,0,1,4,16,45585,0,1,4,24,0.14,0,1)","1","1","0","50","(5,95000)",""
"57010084","0","1","5","7","12","20","(4,8,36960,0,1,4,5,5881,0,1,4,6,5881,0,1,4,11,5340,0,1,4,16,46305,0,1,4,24,0.14,0,1)","1","1","0","50","(5,96000)",""
"57010085","0","1","6","7","12","20","(4,8,36960,0,1,4,5,5881,0,1,4,6,6238,0,1,4,11,5340,0,1,4,16,47025,0,1,4,24,0.14,0,1)","1","1","0","50","(5,97000)",""
"57010086","0","1","7","7","12","20","(4,8,36960,0,1,4,5,6238,0,1,4,6,6238,0,1,4,11,5340,0,1,4,16,47745,0,1,4,24,0.14,0,1)","1","1","0","50","(5,98000)",""
"57010087","0","1","8","7","12","20","(4,8,36960,0,1,4,5,6238,0,1,4,6,6238,0,1,4,11,5664,0,1,4,16,48465,0,1,4,24,0.14,0,1)","1","1","0","50","(5,99000)",""
"57010088","0","1","9","7","12","20","(4,8,39120,0,1,4,5,6238,0,1,4,6,6238,0,1,4,11,5664,0,1,4,16,49185,0,1,4,24,0.14,0,1)","1","1","0","50","(5,100000)",""
"57010089","0","1","10","7","12","20","(4,8,39120,0,1,4,5,6238,0,1,4,6,6595,0,1,4,11,5664,0,1,4,16,49905,0,1,4,24,0.14,0,1)","1","1","0","50","(5,101000)",""
"57010090","0","1","11","7","12","20","(4,8,39120,0,1,4,5,6595,0,1,4,6,6595,0,1,4,11,5664,0,1,4,16,50625,0,1,4,24,0.14,0,1)","1","1","0","50","(5,102000)",""
"57010091","0","1","12","7","12","20","(4,8,39120,0,1,4,5,6595,0,1,4,6,6595,0,1,4,11,5988,0,1,4,16,51345,0,1,4,24,0.14,0,1)","2","1","0","50","(5,2800000)",""
"57010092","0","1","0","8","12","20","(4,8,41280,0,1,4,5,6952,0,1,4,6,6952,0,1,4,11,6312,0,1,4,16,53945,0,1,4,24,0.16,0,1)","1","1","0","50","(5,103000)","93000162"
"57010093","0","1","1","8","12","20","(4,8,43880,0,1,4,5,6952,0,1,4,6,6952,0,1,4,11,6312,0,1,4,16,54812,0,1,4,24,0.16,0,1)","1","1","0","50","(5,104000)",""
"57010094","0","1","2","8","12","20","(4,8,43880,0,1,4,5,6952,0,1,4,6,7381,0,1,4,11,6312,0,1,4,16,55679,0,1,4,24,0.16,0,1)","1","1","0","50","(5,105000)",""
"57010095","0","1","3","8","12","20","(4,8,43880,0,1,4,5,7381,0,1,4,6,7381,0,1,4,11,6312,0,1,4,16,56546,0,1,4,24,0.16,0,1)","1","1","0","50","(5,106000)",""
"57010096","0","1","4","8","12","20","(4,8,43880,0,1,4,5,7381,0,1,4,6,7381,0,1,4,11,6702,0,1,4,16,57413,0,1,4,24,0.16,0,1)","1","1","0","50","(5,107000)",""
"57010097","0","1","5","8","12","20","(4,8,46480,0,1,4,5,7381,0,1,4,6,7381,0,1,4,11,6702,0,1,4,16,58280,0,1,4,24,0.16,0,1)","1","1","0","50","(5,108000)",""
"57010098","0","1","6","8","12","20","(4,8,46480,0,1,4,5,7381,0,1,4,6,7810,0,1,4,11,6702,0,1,4,16,59147,0,1,4,24,0.16,0,1)","1","1","0","50","(5,109000)",""
"57010099","0","1","7","8","12","20","(4,8,46480,0,1,4,5,7810,0,1,4,6,7810,0,1,4,11,6702,0,1,4,16,60014,0,1,4,24,0.16,0,1)","1","1","0","50","(5,110000)",""
"57010100","0","1","8","8","12","20","(4,8,46480,0,1,4,5,7810,0,1,4,6,7810,0,1,4,11,7092,0,1,4,16,60881,0,1,4,24,0.16,0,1)","1","1","0","50","(5,111000)",""
"57010101","0","1","9","8","12","20","(4,8,49080,0,1,4,5,7810,0,1,4,6,7810,0,1,4,11,7092,0,1,4,16,61748,0,1,4,24,0.16,0,1)","1","1","0","50","(5,112000)",""
"57010102","0","1","10","8","12","20","(4,8,49080,0,1,4,5,7810,0,1,4,6,8239,0,1,4,11,7092,0,1,4,16,62615,0,1,4,24,0.16,0,1)","1","1","0","50","(5,113000)",""
"57010103","0","1","11","8","12","20","(4,8,49080,0,1,4,5,8239,0,1,4,6,8239,0,1,4,11,7092,0,1,4,16,63482,0,1,4,24,0.16,0,1)","1","1","0","50","(5,114000)",""
"57010104","0","1","12","8","12","20","(4,8,49080,0,1,4,5,8239,0,1,4,6,8239,0,1,4,11,7482,0,1,4,16,64349,0,1,4,24,0.16,0,1)","2","1","0","50","(5,3600000)",""
"57010105","0","1","0","9","12","20","(4,8,51680,0,1,4,5,8668,0,1,4,6,8668,0,1,4,11,7872,0,1,4,16,67349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,115000)","93000162"
"57010106","0","1","1","9","12","20","(4,8,54680,0,1,4,5,8668,0,1,4,6,8668,0,1,4,11,7872,0,1,4,16,68349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,116000)",""
"57010107","0","1","2","9","12","20","(4,8,54680,0,1,4,5,8668,0,1,4,6,9163,0,1,4,11,7872,0,1,4,16,69349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,117000)",""
"57010108","0","1","3","9","12","20","(4,8,54680,0,1,4,5,9163,0,1,4,6,9163,0,1,4,11,7872,0,1,4,16,70349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,118000)",""
"57010109","0","1","4","9","12","20","(4,8,54680,0,1,4,5,9163,0,1,4,6,9163,0,1,4,11,8322,0,1,4,16,71349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,119000)",""
"57010110","0","1","5","9","12","20","(4,8,57680,0,1,4,5,9163,0,1,4,6,9163,0,1,4,11,8322,0,1,4,16,72349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,120000)",""
"57010111","0","1","6","9","12","20","(4,8,57680,0,1,4,5,9163,0,1,4,6,9658,0,1,4,11,8322,0,1,4,16,73349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,121000)",""
"57010112","0","1","7","9","12","20","(4,8,57680,0,1,4,5,9658,0,1,4,6,9658,0,1,4,11,8322,0,1,4,16,74349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,122000)",""
"57010113","0","1","8","9","12","20","(4,8,57680,0,1,4,5,9658,0,1,4,6,9658,0,1,4,11,8772,0,1,4,16,75349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,123000)",""
"57010114","0","1","9","9","12","20","(4,8,60680,0,1,4,5,9658,0,1,4,6,9658,0,1,4,11,8772,0,1,4,16,76349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,124000)",""
"57010115","0","1","10","9","12","20","(4,8,60680,0,1,4,5,9658,0,1,4,6,10153,0,1,4,11,8772,0,1,4,16,77349,0,1,4,24,0.18,0,1)","1","1","0","50","(5,125000)",""
"57010116","0","1","11","9","12","20","(4,8,60680,0,1,4,5,10153,0,1,4,6,10153,0,1,4,11,8772,0,1,4,16,78349,0,1,4,24,0.18,0,1)","1","1","0","96","(5,126000)",""
"57010117","0","1","12","9","12","20","(4,8,60680,0,1,4,5,10153,0,1,4,6,10153,0,1,4,11,9222,0,1,4,16,79349,0,1,4,24,0.18,0,1)","2","1","0","50","(5,4500000)",""
"57010118","0","1","0","10","12","20","(4,8,63680,0,1,4,5,10648,0,1,4,6,10648,0,1,4,11,9672,0,1,4,16,82549,0,1,4,24,0.2,0,1)","1","1","0","50","(5,127000)","93000162"
"57010119","0","1","1","10","12","20","(4,8,66880,0,1,4,5,10648,0,1,4,6,10648,0,1,4,11,9672,0,1,4,16,83616,0,1,4,24,0.2,0,1)","1","1","0","50","(5,128000)",""
"57010120","0","1","2","10","12","20","(4,8,66880,0,1,4,5,10648,0,1,4,6,11176,0,1,4,11,9672,0,1,4,16,84683,0,1,4,24,0.2,0,1)","1","1","0","50","(5,129000)",""
"57010121","0","1","3","10","12","20","(4,8,66880,0,1,4,5,11176,0,1,4,6,11176,0,1,4,11,9672,0,1,4,16,85750,0,1,4,24,0.2,0,1)","1","1","0","50","(5,130000)",""
"57010122","0","1","4","10","12","20","(4,8,66880,0,1,4,5,11176,0,1,4,6,11176,0,1,4,11,10152,0,1,4,16,86817,0,1,4,24,0.2,0,1)","1","1","0","50","(5,131000)",""
"57010123","0","1","5","10","12","20","(4,8,70080,0,1,4,5,11176,0,1,4,6,11176,0,1,4,11,10152,0,1,4,16,87884,0,1,4,24,0.2,0,1)","1","1","0","50","(5,132000)",""
"57010124","0","1","6","10","12","20","(4,8,70080,0,1,4,5,11176,0,1,4,6,11704,0,1,4,11,10152,0,1,4,16,88951,0,1,4,24,0.2,0,1)","1","1","0","50","(5,133000)",""
"57010125","0","1","7","10","12","20","(4,8,70080,0,1,4,5,11704,0,1,4,6,11704,0,1,4,11,10152,0,1,4,16,90018,0,1,4,24,0.2,0,1)","1","1","0","50","(5,134000)",""
"57010126","0","1","8","10","12","20","(4,8,70080,0,1,4,5,11704,0,1,4,6,11704,0,1,4,11,10632,0,1,4,16,91085,0,1,4,24,0.2,0,1)","1","1","0","50","(5,135000)",""
"57010127","0","1","9","10","12","20","(4,8,73280,0,1,4,5,11704,0,1,4,6,11704,0,1,4,11,10632,0,1,4,16,92152,0,1,4,24,0.2,0,1)","1","1","0","50","(5,136000)",""
"57010128","0","1","10","10","12","20","(4,8,73280,0,1,4,5,11704,0,1,4,6,12232,0,1,4,11,10632,0,1,4,16,93219,0,1,4,24,0.2,0,1)","1","1","0","50","(5,137000)",""
"57010129","0","1","11","10","12","20","(4,8,73280,0,1,4,5,12232,0,1,4,6,12232,0,1,4,11,10632,0,1,4,16,94286,0,1,4,24,0.2,0,1)","1","1","0","50","(5,138000)",""
"57010130","0","1","12","10","12","20","(4,8,73280,0,1,4,5,12232,0,1,4,6,12232,0,1,4,11,11112,0,1,4,16,95353,0,1,4,24,0.2,0,1)","2","1","0","50","(5,5500000)",""
"57010131","0","1","0","11","12","20","(4,8,76480,0,1,4,5,12760,0,1,4,6,12760,0,1,4,11,11592,0,1,4,16,99621,0,1,4,24,0.22,0,1)","1","1","0","50","(5,139000)","93000162"
"57010132","0","1","1","11","12","20","(4,8,79680,0,1,4,5,12760,0,1,4,6,12760,0,1,4,11,11592,0,1,4,16,100688,0,1,4,24,0.22,0,1)","1","1","0","50","(5,140000)",""
"57010133","0","1","2","11","12","20","(4,8,79680,0,1,4,5,12760,0,1,4,6,13288,0,1,4,11,11592,0,1,4,16,101755,0,1,4,24,0.22,0,1)","1","1","0","50","(5,141000)",""
