"AttributeId","PageId","AchievementType","AchievementNameId","AchievementDiscreptionId","AchievementGoal","FinishMoney"
"37000066","5","14","90060244","90060379","(0,1000)","(12,1200,4,5)"
"37000067","-1","15","90060245","90060380","(0,1)","(12,100,4,5)"
"37000068","-1","15","90060246","90060381","(0,50)","(12,200,4,5)"
"37000069","-1","15","90060247","90060382","(0,100)","(12,500,4,5)"
"37000070","-1","15","90060248","90060383","(0,300)","(12,1000,4,5)"
"37000071","-1","15","90060249","90060384","(0,500)","(12,1500,4,5)"
"37000072","-1","15","90060250","90060385","(0,1000)","(12,2000,4,5)"
"37000073","-1","16","90060251","90060386","(0,1)","(12,200,4,5)"
"37000074","-1","16","90060252","90060387","(0,50)","(12,500,4,5)"
"37000075","-1","16","90060253","90060388","(0,100)","(12,800,4,5)"
"37000076","-1","16","90060254","90060389","(0,300)","(12,1500,4,5)"
"37000077","-1","16","90060255","90060390","(0,500)","(12,2000,4,5)"
"37000078","-1","16","90060256","90060391","(0,1000)","(12,2500,4,5)"
"37000079","6","5","90060257","90060392","(0,3)","(12,100,4,5)"
"37000080","6","5","90060258","90060393","(0,5)","(12,200,4,5)"
"37000081","6","5","90060259","90060394","(0,7)","(12,350,4,5)"
"37000082","6","5","90060260","90060395","(0,8)","(12,550,4,5)"
"37000083","6","5","90060261","90060396","(0,9)","(12,800,4,5)"
"37000084","6","5","90060262","90060397","(0,10)","(12,1100,4,5)"
"37000085","6","5","90060263","90060398","(0,11)","(12,1450,4,5)"
"37000086","6","5","90060264","90060399","(0,12)","(12,1850,4,5)"
"37000087","6","5","90060265","90060400","(0,13)","(12,2300,4,5)"
"37000088","6","5","90060266","90060401","(0,14)","(12,2800,4,5)"
"37000089","6","5","90060267","90060402","(0,15)","(12,3500,4,5)"
"37000090","6","6","90060268","90060403","(0,10)","(12,100,4,5)"
"37000091","6","6","90060269","90060404","(0,20)","(12,200,4,5)"
"37000092","6","6","90060270","90060405","(0,30)","(12,300,4,5)"
"37000093","6","6","90060271","90060406","(0,40)","(12,500,4,5)"
"37000094","6","6","90060272","90060407","(0,50)","(12,800,4,5)"
"37000095","6","6","90060273","90060408","(0,60)","(12,1200,4,5)"
"37000096","6","6","90060274","90060409","(0,70)","(12,1700,4,5)"
"37000097","6","6","90060275","90060410","(0,80)","(12,2500,4,5)"
"37000098","6","2","90060276","90060411","(31000018,1)","(12,500,4,5)"
"37000099","6","2","90060277","90060412","(31000019,1)","(12,500,4,5)"
"37000100","6","2","90060278","90060413","(31000020,1)","(12,500,4,5)"
"37000101","6","2","90060279","90060414","(31000021,1)","(12,500,4,5)"
"37000102","7","13","90060280","90060415","(15,50)","(12,100,4,5)"
"37000103","7","13","90060281","90060416","(15,300)","(12,300,4,5)"
"37000104","7","13","90060282","90060417","(15,1000)","(12,500,4,5)"
"37000105","7","13","90060283","90060418","(15,3000)","(12,800,4,5)"
"37000106","7","13","90060284","90060419","(15,5000)","(12,1200,4,5)"
"37000107","7","17","90060285","90060420","(0,1)","(12,600,4,5)"
"37000108","7","17","90060286","90060421","(0,2)","(12,800,4,5)"
"37000109","7","17","90060287","90060422","(0,3)","(12,1000,4,5)"
"37000110","7","17","90060288","90060423","(0,4)","(12,1200,4,5)"
"37000111","7","17","90060289","90060424","(0,5)","(12,1500,4,5)"
"37000112","7","17","90060290","90060425","(0,6)","(12,2000,4,5)"
"37000113","7","17","90060291","90060426","(0,7)","(12,2500,4,5)"
"37000114","7","17","90060292","90060427","(0,8)","(12,3000,4,5)"
"37000115","7","17","90060293","90060428","(0,9)","(12,3500,4,5)"
"37000116","7","17","90060294","90060429","(0,10)","(12,4000,4,5)"
"37000117","7","17","90060295","90060430","(0,11)","(12,4500,4,5)"
"37000118","7","17","90060296","90060431","(0,12)","(12,5000,4,5)"
"37000119","8","18","90060297","90060432","(15000632,1)","(12,600,4,5)"
"37000120","8","18","90060298","90060433","(15000661,1)","(12,700,4,5)"
"37000121","8","18","90060299","90060434","(15000715,1)","(12,800,4,5)"
"37000122","8","18","90060300","90060435","(15000759,1)","(12,900,4,5)"
"37000123","8","18","90060301","90060436","(15000795,1)","(12,1000,4,5)"
"37000124","8","18","90060302","90060437","(15000834,1)","(12,1200,4,5)"
"37000125","8","18","90060303","90060438","(15000864,1)","(12,1400,4,5)"
"37000126","8","18","90060304","90060439","(15000901,1)","(12,1600,4,5)"
"37000127","8","18","90060305","90060440","(15000921,1)","(12,1800,4,5)"
"37000128","8","18","90060306","90060441","(15000956,1)","(12,2000,4,5)"
"37000129","8","18","90061307","90061442","(15000968,1)","(12,2200,4,5)"
"37000130","8","18","90061308","90061443","(15001005,1)","(12,2400,4,5)"
"37000131","8","18","90061309","90061444","(15001012,1)","(12,2600,4,5)"
"37000132","8","18","90061310","90061445","(15001048,1)","(12,2800,4,5)"
"37000133","8","18","90061311","90061446","(15001079,1)","(12,3000,4,5)"
"37000134","8","18","90061312","90061447","(15001113,1)","(12,3200,4,5)"
"37000135","8","18","90061313","90061448","(15001145,1)","(12,3400,4,5)"
"37000136","8","18","90061314","90061449","(15001167,1)","(12,3600,4,5)"
"37000137","8","18","90061315","90061450","(15001212,1)","(12,3800,4,5)"
"37000138","8","18","90061316","90061451","(15001242,1)","(12,4000,4,5)"
"37000139","8","18","90061317","90061452","(15001273,1)","(12,4200,4,5)"
"37000140","8","18","90061318","90061453","(15001303,1)","(12,4400,4,5)"
"37000141","8","18","90061319","90061454","(15001334,1)","(12,4600,4,5)"
"37000142","8","18","90061320","90061455","(15001367,1)","(12,4800,4,5)"
"37000143","-1","24","90061321","90061501","(0,1)","(12,100,4,5)"
"37000144","-1","24","90061322","90061502","(0,3)","(12,150,4,5)"
"37000145","-1","24","90061323","90061503","(0,5)","(12,200,4,5)"
"37000146","-1","24","90061324","90061504","(0,10)","(12,250,4,5)"
"37000147","-1","24","90061325","90061505","(0,15)","(12,300,4,5)"
"37000148","-1","24","90061326","90061506","(0,20)","(12,350,4,5)"
"37000149","-1","24","90061327","90061507","(0,25)","(12,1500,4,5)"
"37000150","-1","24","90061328","90061508","(0,30)","(12,2000,4,5)"
"37000151","-1","24","90061329","90061509","(0,35)","(12,2500,4,5)"
"37000152","-1","24","90061330","90061510","(0,40)","(12,3000,4,5)"
"37000153","9","25","90061331","90061511","(0,1)","(12,350,4,5)"
"37000154","9","25","90061332","90061512","(0,2)","(12,1500,4,5)"
"37000155","9","25","90061333","90061513","(0,3)","(12,2000,4,5)"
"37000156","9","25","90061334","90061514","(0,4)","(12,2500,4,5)"
"37000157","9","25","90061335","90061515","(0,5)","(12,3000,4,5)"
"37000158","10","26","90061336","90061516","(0,2)","(12,100,4,5)"
"37000159","10","26","90061337","90061517","(0,3)","(12,150,4,5)"
"37000160","10","26","90061338","90061518","(0,4)","(12,200,4,5)"
"37000161","10","26","90061339","90061519","(0,5)","(12,250,4,5)"
"37000162","10","26","90061340","90061520","(0,6)","(12,300,4,5)"
"37000163","10","26","90061341","90061521","(0,7)","(12,350,4,5)"
"37000164","10","26","90061342","90061522","(0,8)","(12,1500,4,5)"
"37000165","10","26","90061343","90061523","(0,9)","(12,2000,4,5)"
"37000166","10","26","90061344","90061524","(0,10)","(12,2500,4,5)"
"37000167","-1","26","90061345","90061525","(0,11)","(12,3000,4,5)"
"37000168","10","27","90061346","90061526","(31030001,1)","(12,100,4,5)"
"37000169","10","27","90061347","90061527","(31030002,1)","(12,150,4,5)"
"37000170","10","27","90061348","90061528","(31030003,1)","(12,200,4,5)"
"37000171","10","27","90061349","90061529","(31030004,1)","(12,250,4,5)"
"37000172","10","27","90061350","90061530","(31030005,1)","(12,300,4,5)"
"37000173","10","27","90061351","90061531","(31030006,1)","(12,350,4,5)"
"37000174","10","27","90061352","90061532","(31030007,1)","(12,1500,4,5)"
"37000175","10","27","90061353","90061533","(31030008,1)","(12,2000,4,5)"
"37000176","10","27","90061354","90061534","(31030009,1)","(12,2500,4,5)"
"37000177","10","27","90061355","90061535","(31030010,1)","(12,3000,4,5)"
"37000178","10","27","90061356","90061536","(31030011,1)","(12,1000,4,5)"
"37000179","10","27","90061357","90061537","(31030012,1)","(12,1200,4,5)"
"37000180","10","27","90061358","90061538","(31030013,1)","(12,1400,4,5)"
"37000181","10","27","90061359","90061539","(31030014,1)","(12,1600,4,5)"
"37000182","10","27","90061360","90061540","(31030015,1)","(12,1800,4,5)"
"37000183","10","28","90061361","90061541","(0,1)","(12,1000,4,5)"
"37000184","10","28","90061362","90061542","(0,3)","(12,1500,4,5)"
"37000185","10","28","90061363","90061543","(0,5)","(12,3000,4,5)"
"37000186","10","28","90061364","90061544","(0,10)","(12,6000,4,5)"
"37000187","10","28","90061365","90061545","(0,15)","(12,8000,4,5)"
"37000188","10","28","90061366","90061546","(0,20)","(12,9000,4,5)"
"37000189","11","29","90061367","90061547","(0,1)","(12,100,4,5)"
"37000190","11","29","90061368","90061548","(0,2)","(12,150,4,5)"
"37000191","11","29","90061369","90061549","(0,3)","(12,200,4,5)"
"37000192","11","29","90061370","90061550","(0,4)","(12,250,4,5)"
"37000193","-1","29","90061371","90061551","(0,5)","(12,300,4,5)"
"37000194","-1","29","90061372","90061552","(0,6)","(12,350,4,5)"
"37000195","11","30","90061373","90061553","(0,1)","(12,100,4,5)"
"37000196","11","30","90061374","90061554","(0,10)","(12,150,4,5)"
"37000197","11","30","90061375","90061555","(0,30)","(12,200,4,5)"
"37000198","11","30","90061376","90061556","(0,50)","(12,250,4,5)"
"37000199","11","30","90061377","90061557","(0,80)","(12,300,4,5)"
"37000200","11","30","90061378","90061558","(0,100)","(12,350,4,5)"
"37000201","11","30","90061379","90061559","(0,150)","(12,1500,4,5)"
"37000202","11","30","90061380","90061560","(0,200)","(12,2000,4,5)"
"37000203","11","30","90061381","90061561","(0,300)","(12,2500,4,5)"
"37000204","11","30","90061382","90061562","(0,400)","(12,3000,4,5)"
"37000205","-1","30","90061383","90061563","(0,500)","(12,3000,4,5)"
"37000206","-1","30","90061384","90061564","(0,600)","(12,3000,4,5)"
"37000207","12","31","90061385","90061565","(0,1)","(12,100,4,5)"
"37000208","12","31","90061386","90061566","(0,3)","(12,150,4,5)"
"37000209","12","31","90061387","90061567","(0,5)","(12,200,4,5)"
"37000210","12","31","90061388","90061568","(0,10)","(12,250,4,5)"
"37000211","12","31","90061389","90061569","(0,15)","(12,300,4,5)"
"37000212","12","31","90061390","90061570","(0,20)","(12,350,4,5)"
"37000213","12","31","90061391","90061571","(0,25)","(12,1500,4,5)"
"37000214","12","31","90061392","90061572","(0,30)","(12,2000,4,5)"
"37000215","12","31","90061393","90061573","(0,35)","(12,2500,4,5)"
"37000216","12","31","90061394","90061574","(0,40)","(12,3000,4,5)"
"37000217","13","32","90061395","90061575","(0,1)","(12,100,4,5)"
"37000218","13","32","90061396","90061576","(0,2)","(12,150,4,5)"
"37000219","13","32","90061397","90061577","(0,3)","(12,200,4,5)"
"37000220","13","32","90061398","90061578","(0,4)","(12,250,4,5)"
"37000221","13","32","90061399","90061579","(0,5)","(12,300,4,5)"
"37000222","13","32","90061400","90061580","(0,6)","(12,350,4,5)"
"37000223","13","32","90061401","90061581","(0,7)","(12,1500,4,5)"
"37000224","13","32","90061402","90061582","(0,8)","(12,2000,4,5)"
"37000225","13","32","90061403","90061583","(0,9)","(12,2500,4,5)"
"37000226","13","32","90061404","90061584","(0,10)","(12,3000,4,5)"
"37000227","13","32","90061405","90061585","(0,11)","(12,1000,4,5)"
"37000228","13","32","90061406","90061586","(0,12)","(12,1200,4,5)"
"37000229","-1","32","90061407","90061587","(0,13)","(12,1400,4,5)"
"37000230","-1","32","90061408","90061588","(0,14)","(12,1600,4,5)"
"37000231","13","33","90061409","90061589","(0,1)","(12,100,4,5)"
"37000232","13","33","90061410","90061590","(0,3)","(12,150,4,5)"
"37000233","13","33","90061411","90061591","(0,5)","(12,200,4,5)"
"37000234","13","33","90061412","90061592","(0,8)","(12,250,4,5)"
"37000235","13","33","90061413","90061593","(0,10)","(12,300,4,5)"
"37000236","13","33","90061414","90061594","(0,15)","(12,350,4,5)"
"37000237","13","33","90061415","90061595","(0,20)","(12,1500,4,5)"
"37000238","13","33","90061416","90061596","(0,30)","(12,2000,4,5)"
"37000239","13","33","90061417","90061597","(0,50)","(12,2500,4,5)"
"37000240","13","33","90061418","90061598","(0,80)","(12,3000,4,5)"
"37000241","13","33","90061419","90061599","(0,110)","(12,1200,4,5)"
"37000242","13","33","90061420","90061600","(0,140)","(12,1400,4,5)"
"37000243","14","34","90061421","90061601","(0,1)","(12,100,4,5)"
"37000244","14","34","90061422","90061602","(0,3)","(12,150,4,5)"
"37000245","14","34","90061423","90061603","(0,5)","(12,200,4,5)"
"37000246","14","34","90061424","90061604","(0,8)","(12,250,4,5)"
"37000247","14","34","90061425","90061605","(0,10)","(12,300,4,5)"
"37000248","14","34","90061426","90061606","(0,15)","(12,350,4,5)"
"37000249","14","34","90061427","90061607","(0,20)","(12,1500,4,5)"
"37000250","14","34","90061428","90061608","(0,30)","(12,2000,4,5)"
"37000251","14","34","90061429","90061609","(0,50)","(12,2500,4,5)"
"37000252","14","34","90061430","90061610","(0,100)","(12,3000,4,5)"
"37000253","14","34","90061431","90061611","(0,177)","(12,1000,4,100)"
"37000254","7","35","90061456","90061612","(76300000,1)","(12,100,4,5)"
"37000255","7","35","90061457","90061613","(76300001,1)","(12,150,4,5)"
"37000256","7","35","90061458","90061614","(76300002,1)","(12,200,4,5)"
"37000257","7","35","90061459","90061615","(76300003,1)","(12,250,4,5)"
"37000258","-1","35","90061460","90061616","(76300004,1)","(12,300,4,5)"
"37000259","-1","35","90061461","90061617","(76300005,1)","(12,350,4,5)"
"37000260","-1","35","90061462","90061618","(76300006,1)","(12,1500,4,5)"
"37000261","-1","35","90061463","90061619","(76300007,1)","(12,2000,4,5)"
"37000262","-1","35","90061464","90061620","(76300008,1)","(12,2500,4,5)"
"37000263","-1","35","90061465","90061621","(76300009,1)","(12,3000,4,5)"
"37000264","15","36","90061466","90061622","(0,1)","(12,100,4,5)"
"37000265","15","36","90061467","90061623","(0,2)","(12,150,4,5)"
"37000266","15","36","90061468","90061624","(0,3)","(12,200,4,5)"
"37000267","15","36","90061469","90061625","(0,4)","(12,250,4,5)"
"37000268","15","36","90061470","90061626","(0,5)","(12,300,4,5)"
"37000269","15","36","90061471","90061627","(0,6)","(12,350,4,5)"
"37000270","15","36","90061472","90061628","(0,7)","(12,1500,4,5)"
"37000271","15","36","90061473","90061629","(0,8)","(12,2000,4,5)"
"37000272","15","36","90061474","90061630","(0,9)","(12,2500,4,5)"
"37000273","15","36","90061475","90061631","(0,10)","(12,3000,4,5)"
"37000274","15","37","90061476","90061632","(0,1)","(12,100,4,5)"
"37000275","15","37","90061477","90061633","(0,5)","(12,150,4,5)"
"37000276","15","37","90061478","90061634","(0,10)","(12,200,4,5)"
"37000277","15","37","90061479","90061635","(0,30)","(12,250,4,5)"
"37000278","15","37","90061480","90061636","(0,50)","(12,300,4,5)"
"37000279","15","37","90061481","90061637","(0,100)","(12,350,4,5)"
"37000280","15","37","90061482","90061638","(0,200)","(12,1500,4,5)"
"37000281","15","37","90061483","90061639","(0,300)","(12,2000,4,5)"
"37000282","15","37","90061484","90061640","(0,400)","(12,2500,4,5)"
"37000283","15","37","90061485","90061641","(0,500)","(12,3000,4,5)"
"37000284","15","37","90061486","90061642","(0,600)","(12,1000,4,5)"
"37000285","15","37","90061487","90061643","(0,700)","(12,1200,4,5)"
"37000286","15","37","90061488","90061644","(0,800)","(12,1400,4,5)"
"37000287","15","37","90061489","90061645","(0,900)","(12,1600,4,5)"
"37000288","15","37","90061490","90061646","(0,1000)","(12,1800,4,5)"
"37000289","-1","38","90061491","90061647","(0,1)","(12,100,4,5)"
"37000290","-1","38","90061492","90061648","(0,5)","(12,150,4,5)"
"37000291","-1","38","90061493","90061649","(0,10)","(12,200,4,5)"
"37000292","-1","38","90061494","90061650","(0,30)","(12,250,4,5)"
"37000293","-1","38","90061495","90061651","(0,50)","(12,300,4,5)"
"37000294","-1","38","90061496","90061652","(0,100)","(12,350,4,5)"
"37000295","-1","38","90061497","90061653","(0,200)","(12,1500,4,5)"
"37000296","-1","38","90061498","90061654","(0,300)","(12,2000,4,5)"
"37000297","-1","38","90061499","90061655","(0,500)","(12,2500,4,5)"
"37000298","-1","38","90061500","90061656","(0,1000)","(12,3000,4,5)"
