"AttributeId","MissionLibraryType","MissionLibraryArray","FinishAwardType","FinishEXP","FinishGold","AllDoneMoney","AllDoneitem","AllDoneitemShow"
"16000042","0","(15010321,15010322,15010323,15010324,15010325)","3","1200","","","(70502084)","(31010039,3,31130408,1)"
"16000043","0","(15010326,15010327,15010328,15010329,15010330)","3","1200","","","(70502084)","(31010039,3,31130408,1)"
"16000044","0","(15010331,15010332,15010333,15010334,15010335)","3","1200","","","(70502084)","(31010039,3,31130408,1)"
"16000045","0","(15010336,15010337,15010338,15010339,15010340)","3","1200","","","(70502084)","(31010039,3,31130408,1)"
"16000046","0","(15010341,15010342,15010343,15010344,15010345)","3","1200","","","(70502084)","(31010039,3,31130408,1)"
"16000047","0","(15010346,15010347,15010348,15010349,15010350)","3","1200","","","(70502085)","(31010039,3,31130408,1)"
"16000048","0","(15010351,15010352,15010353,15010354,15010355)","3","1200","","","(70502085)","(31010039,3,31130408,1)"
"16000049","0","(15010356,15010357,15010358,15010359,15010360)","3","1200","","","(70502085)","(31010039,3,31130408,1)"
"16000050","0","(15010246,15010247,15010248,15010249,15010250)","1","2245000","2215000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000051","0","(15010251,15010252,15010253,15010254,15010255)","1","2290000","2260000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000052","0","(15010256,15010257,15010258,15010259,15010260)","1","2335000","2305000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000053","0","(15010261,15010262,15010263,15010264,15010265)","1","2380000","2350000","","70030009","(31010098,1,31010039,1,31000001,63)"
"16000054","0","(15010266,15010267,15010268,15010269,15010270)","1","2425000","2395000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000055","0","(15010271,15010272,15010273,15010274,15010275)","1","2470000","2440000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000056","0","(15010276,15010277,15010278,15010279,15010280)","1","2515000","2485000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000057","0","(15010281,15010282,15010283,15010284,15010285)","1","2560000","2530000","","70030009","(31010098,1,31010039,1,31000001,64)"
"16000058","0","(15010286,15010287,15010288,15010289,15010290)","1","2605000","2575000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000059","0","(15010291,15010292,15010293,15010294,15010295)","1","2650000","2620000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000060","0","(15010296,15010297,15010298,15010299,15010300)","1","2695000","2665000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000061","0","(15010301,15010302,15010303,15010304,15010305)","1","2740000","2710000","","70030009","(31010098,1,31010039,1,31000001,65)"
"16000062","0","(15010306,15010307,15010308,15010309)","1","2785000","2755000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000063","1","(15020001,15020002,15020003,15020004,15020005)","3","1000","0","","",""
"16000064","1","(15020006,15020007,15020008,15020009,15020010)","3","1000","0","","",""
"16000065","1","(15020011,15020012,15020013,15020014,15020015)","3","1000","0","","",""
"16000066","1","(15020016,15020017,15020018,15020019,15020020)","3","1000","0","","",""
"16000067","1","(15020021,15020022,15020023,15020024,15020025)","3","1000","0","","",""
"16000068","1","(15020026,15020027,15020028,15020029,15020030)","3","1000","0","","",""
"16000069","1","(15020031,15020032,15020033,15020034,15020035)","3","1000","0","","",""
"16000070","1","(15020036,15020037,15020038,15020039,15020040)","3","1000","0","","",""
"16000071","1","(15020041,15020042,15020044,15020045)","3","1000","0","","",""
"16000072","1","(15020046,15020047,15020048,15020049,15020050)","3","1000","0","","",""
"16000073","1","(15020051,15020052,15020053,15020054,15020055)","3","1000","0","","",""
"16000074","1","(15020056,15020057,15020058,15020059,15020060)","3","1000","0","","",""
"16000075","1","(15020061,15020062,15020063,15020064,15020065)","3","1000","0","","",""
"16000076","1","(15020066,15020067,15020068,15020069,15020070)","3","1000","0","","",""
"16000077","1","(15020071,15020072,15020073,15020074,15020075)","3","1000","0","","",""
"16000078","1","(15020076,15020077,15020078,15020079,15020080)","3","1000","0","","",""
"16000079","1","(15020081,15020082,15020083,15020084,15020085)","3","1000","0","","",""
"16000080","1","(15020086,15020087,15020088,15020089,15020090)","3","1000","0","","",""
"16000081","1","(15020091,15020092,15020093,15020094,15020095)","3","1000","0","","",""
"16000082","1","(15020096,15020097,15020098,15020099,15020100)","3","1000","0","","",""
"16000083","1","(15020101,15020102,15020103,15020104,15020105)","3","1000","0","","",""
"16000084","1","(15020106,15020107,15020108,15020109,15020110)","3","1000","0","","",""
"16000085","1","(15020111,15020112,15020113,15020114,15020115)","3","1000","0","","",""
"16000086","1","(15020116,15020117,15020118,15020119,15020120)","3","1000","0","","",""
"16000087","1","(15020121,15020122,15020123,15020124,15020125)","3","1000","0","","",""
"16000088","1","(15020126,15020127,15020128,15020129,15020130)","3","1000","0","","",""
"16000089","1","(15020131,15020132,15020133,15020134,15020135)","3","1000","0","","",""
"16000090","1","(15020136,15020137,15020138,15020139,15020140)","3","1000","0","","",""
"16000091","1","(15020141,15020142,15020143,15020144,15020145)","3","1000","0","","",""
"16000092","1","(15020146,15020147,15020148,15020149)","3","1000","0","","",""
"16000093","1","(15020152,15020153,15020154,15020155)","3","1000","0","","",""
"16000094","1","(15020156,15020157,15020158,15020159,15020160)","3","1000","0","","",""
"16000095","1","(15020161,15020162,15020163,15020164,15020165)","3","1000","0","","",""
"16000096","1","(15020166,15020167,15020168,15020169,15020170)","3","1000","0","","",""
"16000097","1","(15020171,15020172,15020173,15020174,15020175)","3","1000","0","","",""
"16000098","1","(15020176,15020177,15020178,15020179,15020180)","3","1000","0","","",""
"16000099","1","(15020181,15020182,15020183,15020184,15020185)","3","1000","0","","",""
"16000100","1","(15020186,15020187,15020188,15020189,15020190)","3","1000","0","","",""
"16000101","1","(15020191,15020192,15020193,15020194,15020195)","3","1000","0","","",""
"16000102","1","(15020196,15020197,15020198,15020199,15020200)","3","1000","0","","",""
"16000103","1","(15020201,15020202,15020203,15020204,15020205)","3","1000","0","","",""
"16000104","1","(15020206,15020207,15020208,15020209,15020210)","3","1000","0","","",""
"16000105","1","(15020211,15020212,15020213,15020214,15020215)","3","1000","0","","",""
"16000106","1","(15020216,15020217,15020218,15020219,15020220)","3","1000","0","","",""
"16000107","1","(15020221,15020222,15020223,15020224,15020225)","3","1000","0","","",""
"16000108","1","(15020226,15020227,15020228,15020229,15020230)","3","1000","0","","",""
"16000109","1","(15020231,15020232,15020233,15020234,15020235)","3","1000","0","","",""
"16000110","1","(15020236,15020237,15020238,15020239,15020240)","3","1000","0","","",""
"16000111","1","(15020241,15020242,15020243,15020244,15020245)","3","1000","0","","",""
"16000112","1","(15020246,15020247,15020248,15020249,15020250)","3","1000","0","","",""
"16000113","1","(15020251,15020252,15020253,15020254,15020255)","3","1000","0","","",""
"16000114","1","(15020256,15020257,15020258,15020259,15020260)","3","1000","0","","",""
"16000115","1","(15020261,15020262,15020263,15020264,15020265)","3","1000","0","","",""
"16000116","1","(15020266,15020267,15020268,15020269,15020270)","3","1000","0","","",""
"16000117","1","(15020271,15020272,15020273,15020274,15020275)","3","1000","0","","",""
"16000118","1","(15020276,15020277,15020278,15020279,15020280)","1","5305000","5275000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000119","1","(15020281,15020282,15020283,15020284,15020285)","1","5350000","5320000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000120","1","(15020286,15020287,15020288,15020289,15020290)","1","5395000","5365000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000121","1","(15020291,15020292,15020293,15020294,15020295)","1","5440000","5410000","","70030009","(31010098,1,31010039,1,31000001,80)"
"16000122","1","(15020296,15020297,15020298,15020299,15020300)","1","5485000","5455000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000123","1","(15020301,15020302,15020303,15020304,15020305)","1","5530000","5500000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16000124","1","(15020306,15020307,15020308,15020309)","1","5575000","5545000","","70030009","(31010098,1,31010039,1,31000002,50)"
"16002000","1","(15032001,15032002,15032003,15032004,15032005)","2","","0","","(70503102)",""
"16002001","1","(15032006,15032007,15032008,15032009,15032010)","2","","0","","(70503102)",""
"16002002","1","(15032011,15032012,15032013,15032014,15032015)","2","","0","","(70503102)",""
"16002003","1","(15032016,15032017,15032018,15032019,15032020)","2","","0","","(70503102)",""
"16002004","1","(15032021,15032022,15032023,15032024,15032025)","2","","0","","(70503102)",""
"16002005","1","(15032026,15032027,15032028,15032029,15032030)","2","","0","","(70503102)",""
"16002006","1","(15032031,15032032,15032033,15032034,15032035)","2","","0","","(70503102)",""
"16002007","1","(15032036,15032037,15032038,15032039,15032040)","2","","0","","(70503102)",""
"16002008","1","(15032041,15032042,15032044,15032045)","2","","0","","(70503102)",""
"16002009","1","(15032046,15032047,15032048,15032049,15032050)","2","","0","","(70503102)",""
"16002010","1","(15032051,15032052,15032053,15032054,15032055)","2","","0","","(70503102)",""
"16002011","1","(15032056,15032057,15032058,15032059,15032060)","2","","0","","(70503102)",""
"16002012","1","(15032061,15032062,15032063,15032064,15032065)","2","","0","","(70503102)",""
"16002013","1","(15032066,15032067,15032068,15032069,15032070)","2","","0","","(70503102)",""
"16002014","1","(15032071,15032072,15032073,15032074,15032075)","2","","0","","(70503102)",""
"16002015","1","(15032076,15032077,15032078,15032079,15032080)","2","","0","","(70503102)",""
"16002016","1","(15032081,15032082,15032083,15032084,15032085)","2","","0","","(70503102)",""
"16002017","1","(15032086,15032087,15032088,15032089,15032090)","2","","0","","(70503102)",""
"16002018","1","(15032091,15032092,15032093,15032094,15032095)","2","","0","","(70503102)",""
"16002019","1","(15032096,15032097,15032098,15032099,15032100)","2","","0","","(70503102)",""
"16002020","1","(15032101,15032102,15032103,15032104,15032105)","2","","0","","(70503102)",""
"16002021","1","(15032106,15032107,15032108,15032109,15032110)","2","","0","","(70503102)",""
"16002022","1","(15032111,15032112,15032113,15032114,15032115)","2","","0","","(70503102)",""
"16002023","1","(15032116,15032117,15032118,15032119,15032120)","2","","0","","(70503102)",""
"16002024","1","(15032121,15032122,15032123,15032124,15032125)","2","","0","","(70503102)",""
"16002025","1","(15032126,15032127,15032128,15032129,15032130)","2","","0","","(70503102)",""
"16002026","1","(15032131,15032132,15032133,15032134,15032135)","2","","0","","(70503102)",""
"16002027","1","(15032136,15032137,15032138,15032139,15032140)","2","","0","","(70503102)",""
"16002028","1","(15032141,15032142,15032143,15032144,15032145)","2","","0","","(70503102)",""
"16002029","1","(15032146,15032147,15032148,15032149)","2","","0","","(70503102)",""
"16002030","1","(15032152,15032153,15032154,15032155)","2","","0","","(70503102)",""
"16002031","1","(15032156,15032157,15032158,15032159,15032160)","2","","0","","(70503102)",""
"16002032","1","(15032161,15032162,15032163,15032164,15032165)","2","","0","","(70503102)",""
"16002033","1","(15032166,15032167,15032168,15032169,15032170)","2","","0","","(70503102)",""
"16002034","1","(15032171,15032172,15032173,15032174,15032175)","2","","0","","(70503102)",""
"16002035","1","(15032176,15032177,15032178,15032179,15032180)","2","","0","","(70503102)",""
"16002036","1","(15032181,15032182,15032183,15032184,15032185)","2","","0","","(70503102)",""
