"AttributeId","Type","Level","BeginId","Property","SpriteReqIdArray","PassiveSkillId","StrId"
"49000073","","73","49000001","(4,6,743,0,1,4,7,1487,0,1,4,8,4466,0,1)","(48040073,48050073,48060073,48140073)","","90305994"
"49000074","","74","49000001","(4,6,753,0,1,4,7,1507,0,1,4,8,4526,0,1)","(48040074,48050074,48060074,48140074)","","90305994"
"49000075","","75","49000001","(4,6,763,0,1,4,7,1527,0,1,4,8,4586,0,1)","(48040075,48050075,48060075,48140075)","","90305994"
"49000076","","76","49000001","(4,6,773,0,1,4,7,1547,0,1,4,8,4646,0,1)","(48040076,48050076,48060076,48140076)","","90305994"
"49000077","","77","49000001","(4,6,783,0,1,4,7,1567,0,1,4,8,4706,0,1)","(48040077,48050077,48060077,48140077)","","90305994"
"49000078","","78","49000001","(4,6,793,0,1,4,7,1587,0,1,4,8,4766,0,1)","(48040078,48050078,48060078,48140078)","","90305994"
"49000079","","79","49000001","(4,6,803,0,1,4,7,1607,0,1,4,8,4826,0,1)","(48040079,48050079,48060079,48140079)","","90305994"
"49000080","","80","49000001","(4,6,813,0,1,4,7,1627,0,1,4,8,4886,0,1)","(48040080,48050080,48060080,48140080)","","90305994"
"49000081","","81","49000001","(4,6,823,0,1,4,7,1647,0,1,4,8,4946,0,1)","(48040081,48050081,48060081,48140081)","","90305994"
"49000082","","82","49000001","(4,6,833,0,1,4,7,1667,0,1,4,8,5006,0,1)","(48040082,48050082,48060082,48140082)","","90305994"
"49000083","","83","49000001","(4,6,843,0,1,4,7,1687,0,1,4,8,5066,0,1)","(48040083,48050083,48060083,48140083)","","90305994"
"49000084","","84","49000001","(4,6,853,0,1,4,7,1707,0,1,4,8,5126,0,1)","(48040084,48050084,48060084,48140084)","","90305994"
"49000085","","85","49000001","(4,6,863,0,1,4,7,1727,0,1,4,8,5186,0,1)","(48040085,48050085,48060085,48140085)","","90305994"
"49000086","","86","49000001","(4,6,873,0,1,4,7,1747,0,1,4,8,5246,0,1)","(48040086,48050086,48060086,48140086)","","90305994"
"49000087","","87","49000001","(4,6,883,0,1,4,7,1767,0,1,4,8,5306,0,1)","(48040087,48050087,48060087,48140087)","","90305994"
"49000088","","88","49000001","(4,6,893,0,1,4,7,1787,0,1,4,8,5366,0,1)","(48040088,48050088,48060088,48140088)","","90305994"
"49000089","","89","49000001","(4,6,903,0,1,4,7,1807,0,1,4,8,5426,0,1)","(48040089,48050089,48060089,48140089)","","90305994"
"49000090","","90","49000001","(4,6,913,0,1,4,7,1827,0,1,4,8,5486,0,1)","(48040090,48050090,48060090,48140090)","","90305994"
"49000091","","91","49000001","(4,6,923,0,1,4,7,1847,0,1,4,8,5546,0,1)","(48040091,48050091,48060091,48140091)","","90305994"
"49000092","","92","49000001","(4,6,933,0,1,4,7,1867,0,1,4,8,5606,0,1)","(48040092,48050092,48060092,48140092)","","90305994"
"49000093","","93","49000001","(4,6,943,0,1,4,7,1887,0,1,4,8,5666,0,1)","(48040093,48050093,48060093,48140093)","","90305994"
"49000094","","94","49000001","(4,6,953,0,1,4,7,1907,0,1,4,8,5726,0,1)","(48040094,48050094,48060094,48140094)","","90305994"
"49000095","","95","49000001","(4,6,963,0,1,4,7,1927,0,1,4,8,5786,0,1)","(48040095,48050095,48060095,48140095)","","90305994"
"49000096","","96","49000001","(4,6,973,0,1,4,7,1947,0,1,4,8,5846,0,1)","(48040096,48050096,48060096,48140096)","","90305994"
"49000097","","97","49000001","(4,6,983,0,1,4,7,1967,0,1,4,8,5906,0,1)","(48040097,48050097,48060097,48140097)","","90305994"
"49000098","","98","49000001","(4,6,993,0,1,4,7,1987,0,1,4,8,5966,0,1)","(48040098,48050098,48060098,48140098)","","90305994"
"49000099","","99","49000001","(4,6,1003,0,1,4,7,2007,0,1,4,8,6026,0,1)","(48040099,48050099,48060099,48140099)","","90305994"
"49000100","","100","49000001","(4,6,1013,0,1,4,7,2027,0,1,4,8,6086,0,1)","(48040100,48050100,48060100,48140100)","","90305994"
"49001001","","1","49001001","(4,6,31,0,1,4,7,67,0,1,4,8,192,0,1)","(48040001,48050001,48140001,48070001,48080001)","","90305996"
"49001002","","2","49001001","(4,6,43,0,1,4,7,91,0,1,4,8,264,0,1)","(48040002,48050002,48140002,48070002,48080002)","","90305996"
"49001003","","3","49001001","(4,6,55,0,1,4,7,115,0,1,4,8,336,0,1)","(48040003,48050003,48140003,48070003,48080003)","","90305996"
"49001004","","4","49001001","(4,6,67,0,1,4,7,139,0,1,4,8,408,0,1)","(48040004,48050004,48140004,48070004,48080004)","","90305996"
"49001005","","5","49001001","(4,6,79,0,1,4,7,163,0,1,4,8,480,0,1)","(48040005,48050005,48140005,48070005,48080005)","","90305996"
"49001006","","6","49001001","(4,6,91,0,1,4,7,187,0,1,4,8,552,0,1)","(48040006,48050006,48140006,48070006,48080006)","","90305996"
"49001007","","7","49001001","(4,6,103,0,1,4,7,211,0,1,4,8,624,0,1)","(48040007,48050007,48140007,48070007,48080007)","","90305996"
"49001008","","8","49001001","(4,6,115,0,1,4,7,235,0,1,4,8,696,0,1)","(48040008,48050008,48140008,48070008,48080008)","","90305996"
"49001009","","9","49001001","(4,6,127,0,1,4,7,259,0,1,4,8,768,0,1)","(48040009,48050009,48140009,48070009,48080009)","","90305996"
"49001010","","10","49001001","(4,6,139,0,1,4,7,283,0,1,4,8,840,0,1)","(48040010,48050010,48140010,48070010,48080010)","","90305996"
"49001011","","11","49001001","(4,6,151,0,1,4,7,307,0,1,4,8,912,0,1)","(48040011,48050011,48140011,48070011,48080011)","","90305996"
"49001012","","12","49001001","(4,6,163,0,1,4,7,331,0,1,4,8,984,0,1)","(48040012,48050012,48140012,48070012,48080012)","","90305996"
"49001013","","13","49001001","(4,6,175,0,1,4,7,355,0,1,4,8,1056,0,1)","(48040013,48050013,48140013,48070013,48080013)","","90305996"
"49001014","","14","49001001","(4,6,187,0,1,4,7,379,0,1,4,8,1128,0,1)","(48040014,48050014,48140014,48070014,48080014)","","90305996"
"49001015","","15","49001001","(4,6,199,0,1,4,7,403,0,1,4,8,1200,0,1)","(48040015,48050015,48140015,48070015,48080015)","","90305996"
"49001016","","16","49001001","(4,6,211,0,1,4,7,427,0,1,4,8,1272,0,1)","(48040016,48050016,48140016,48070016,48080016)","","90305996"
"49001017","","17","49001001","(4,6,223,0,1,4,7,451,0,1,4,8,1344,0,1)","(48040017,48050017,48140017,48070017,48080017)","","90305996"
"49001018","","18","49001001","(4,6,235,0,1,4,7,475,0,1,4,8,1416,0,1)","(48040018,48050018,48140018,48070018,48080018)","","90305996"
"49001019","","19","49001001","(4,6,247,0,1,4,7,499,0,1,4,8,1488,0,1)","(48040019,48050019,48140019,48070019,48080019)","","90305996"
"49001020","","20","49001001","(4,6,259,0,1,4,7,523,0,1,4,8,1560,0,1)","(48040020,48050020,48140020,48070020,48080020)","","90305996"
"49001021","","21","49001001","(4,6,271,0,1,4,7,547,0,1,4,8,1632,0,1)","(48040021,48050021,48140021,48070021,48080021)","","90305996"
"49001022","","22","49001001","(4,6,283,0,1,4,7,571,0,1,4,8,1704,0,1)","(48040022,48050022,48140022,48070022,48080022)","","90305996"
"49001023","","23","49001001","(4,6,295,0,1,4,7,595,0,1,4,8,1776,0,1)","(48040023,48050023,48140023,48070023,48080023)","","90305996"
"49001024","","24","49001001","(4,6,307,0,1,4,7,619,0,1,4,8,1848,0,1)","(48040024,48050024,48140024,48070024,48080024)","","90305996"
"49001025","","25","49001001","(4,6,319,0,1,4,7,643,0,1,4,8,1920,0,1)","(48040025,48050025,48140025,48070025,48080025)","","90305996"
"49001026","","26","49001001","(4,6,331,0,1,4,7,667,0,1,4,8,1992,0,1)","(48040026,48050026,48140026,48070026,48080026)","","90305996"
"49001027","","27","49001001","(4,6,343,0,1,4,7,691,0,1,4,8,2064,0,1)","(48040027,48050027,48140027,48070027,48080027)","","90305996"
"49001028","","28","49001001","(4,6,355,0,1,4,7,715,0,1,4,8,2136,0,1)","(48040028,48050028,48140028,48070028,48080028)","","90305996"
"49001029","","29","49001001","(4,6,367,0,1,4,7,739,0,1,4,8,2208,0,1)","(48040029,48050029,48140029,48070029,48080029)","","90305996"
"49001030","","30","49001001","(4,6,379,0,1,4,7,763,0,1,4,8,2280,0,1)","(48040030,48050030,48140030,48070030,48080030)","","90305996"
"49001031","","31","49001001","(4,6,391,0,1,4,7,787,0,1,4,8,2352,0,1)","(48040031,48050031,48140031,48070031,48080031)","","90305996"
"49001032","","32","49001001","(4,6,403,0,1,4,7,811,0,1,4,8,2424,0,1)","(48040032,48050032,48140032,48070032,48080032)","","90305996"
"49001033","","33","49001001","(4,6,415,0,1,4,7,835,0,1,4,8,2496,0,1)","(48040033,48050033,48140033,48070033,48080033)","","90305996"
"49001034","","34","49001001","(4,6,427,0,1,4,7,859,0,1,4,8,2568,0,1)","(48040034,48050034,48140034,48070034,48080034)","","90305996"
"49001035","","35","49001001","(4,6,439,0,1,4,7,883,0,1,4,8,2640,0,1)","(48040035,48050035,48140035,48070035,48080035)","","90305996"
"49001036","","36","49001001","(4,6,451,0,1,4,7,907,0,1,4,8,2712,0,1)","(48040036,48050036,48140036,48070036,48080036)","","90305996"
"49001037","","37","49001001","(4,6,463,0,1,4,7,931,0,1,4,8,2784,0,1)","(48040037,48050037,48140037,48070037,48080037)","","90305996"
"49001038","","38","49001001","(4,6,475,0,1,4,7,955,0,1,4,8,2856,0,1)","(48040038,48050038,48140038,48070038,48080038)","","90305996"
"49001039","","39","49001001","(4,6,487,0,1,4,7,979,0,1,4,8,2928,0,1)","(48040039,48050039,48140039,48070039,48080039)","","90305996"
"49001040","","40","49001001","(4,6,499,0,1,4,7,1003,0,1,4,8,3000,0,1)","(48040040,48050040,48140040,48070040,48080040)","","90305996"
"49001041","","41","49001001","(4,6,511,0,1,4,7,1027,0,1,4,8,3072,0,1)","(48040041,48050041,48140041,48070041,48080041)","","90305996"
"49001042","","42","49001001","(4,6,523,0,1,4,7,1051,0,1,4,8,3144,0,1)","(48040042,48050042,48140042,48070042,48080042)","","90305996"
"49001043","","43","49001001","(4,6,535,0,1,4,7,1075,0,1,4,8,3216,0,1)","(48040043,48050043,48140043,48070043,48080043)","","90305996"
"49001044","","44","49001001","(4,6,547,0,1,4,7,1099,0,1,4,8,3288,0,1)","(48040044,48050044,48140044,48070044,48080044)","","90305996"
"49001045","","45","49001001","(4,6,559,0,1,4,7,1123,0,1,4,8,3360,0,1)","(48040045,48050045,48140045,48070045,48080045)","","90305996"
"49001046","","46","49001001","(4,6,571,0,1,4,7,1147,0,1,4,8,3432,0,1)","(48040046,48050046,48140046,48070046,48080046)","","90305996"
"49001047","","47","49001001","(4,6,583,0,1,4,7,1171,0,1,4,8,3504,0,1)","(48040047,48050047,48140047,48070047,48080047)","","90305996"
"49001048","","48","49001001","(4,6,595,0,1,4,7,1195,0,1,4,8,3576,0,1)","(48040048,48050048,48140048,48070048,48080048)","","90305996"
"49001049","","49","49001001","(4,6,607,0,1,4,7,1219,0,1,4,8,3648,0,1)","(48040049,48050049,48140049,48070049,48080049)","","90305996"
"49001050","","50","49001001","(4,6,619,0,1,4,7,1243,0,1,4,8,3720,0,1)","(48040050,48050050,48140050,48070050,48080050)","","90305996"
"49001051","","51","49001001","(4,6,631,0,1,4,7,1267,0,1,4,8,3792,0,1)","(48040051,48050051,48140051,48070051,48080051)","","90305996"
"49001052","","52","49001001","(4,6,643,0,1,4,7,1291,0,1,4,8,3864,0,1)","(48040052,48050052,48140052,48070052,48080052)","","90305996"
"49001053","","53","49001001","(4,6,655,0,1,4,7,1315,0,1,4,8,3936,0,1)","(48040053,48050053,48140053,48070053,48080053)","","90305996"
"49001054","","54","49001001","(4,6,667,0,1,4,7,1339,0,1,4,8,4008,0,1)","(48040054,48050054,48140054,48070054,48080054)","","90305996"
"49001055","","55","49001001","(4,6,679,0,1,4,7,1363,0,1,4,8,4080,0,1)","(48040055,48050055,48140055,48070055,48080055)","","90305996"
"49001056","","56","49001001","(4,6,691,0,1,4,7,1387,0,1,4,8,4152,0,1)","(48040056,48050056,48140056,48070056,48080056)","","90305996"
"49001057","","57","49001001","(4,6,703,0,1,4,7,1411,0,1,4,8,4224,0,1)","(48040057,48050057,48140057,48070057,48080057)","","90305996"
"49001058","","58","49001001","(4,6,715,0,1,4,7,1435,0,1,4,8,4296,0,1)","(48040058,48050058,48140058,48070058,48080058)","","90305996"
"49001059","","59","49001001","(4,6,727,0,1,4,7,1459,0,1,4,8,4368,0,1)","(48040059,48050059,48140059,48070059,48080059)","","90305996"
"49001060","","60","49001001","(4,6,739,0,1,4,7,1483,0,1,4,8,4440,0,1)","(48040060,48050060,48140060,48070060,48080060)","","90305996"
"49001061","","61","49001001","(4,6,751,0,1,4,7,1507,0,1,4,8,4512,0,1)","(48040061,48050061,48140061,48070061,48080061)","","90305996"
"49001062","","62","49001001","(4,6,763,0,1,4,7,1531,0,1,4,8,4584,0,1)","(48040062,48050062,48140062,48070062,48080062)","","90305996"
"49001063","","63","49001001","(4,6,775,0,1,4,7,1555,0,1,4,8,4656,0,1)","(48040063,48050063,48140063,48070063,48080063)","","90305996"
"49001064","","64","49001001","(4,6,787,0,1,4,7,1579,0,1,4,8,4728,0,1)","(48040064,48050064,48140064,48070064,48080064)","","90305996"
"49001065","","65","49001001","(4,6,799,0,1,4,7,1603,0,1,4,8,4800,0,1)","(48040065,48050065,48140065,48070065,48080065)","","90305996"
"49001066","","66","49001001","(4,6,811,0,1,4,7,1627,0,1,4,8,4872,0,1)","(48040066,48050066,48140066,48070066,48080066)","","90305996"
"49001067","","67","49001001","(4,6,823,0,1,4,7,1651,0,1,4,8,4944,0,1)","(48040067,48050067,48140067,48070067,48080067)","","90305996"
"49001068","","68","49001001","(4,6,835,0,1,4,7,1675,0,1,4,8,5016,0,1)","(48040068,48050068,48140068,48070068,48080068)","","90305996"
"49001069","","69","49001001","(4,6,847,0,1,4,7,1699,0,1,4,8,5088,0,1)","(48040069,48050069,48140069,48070069,48080069)","","90305996"
"49001070","","70","49001001","(4,6,859,0,1,4,7,1723,0,1,4,8,5160,0,1)","(48040070,48050070,48140070,48070070,48080070)","","90305996"
"49001071","","71","49001001","(4,6,871,0,1,4,7,1747,0,1,4,8,5232,0,1)","(48040071,48050071,48140071,48070071,48080071)","","90305996"
"49001072","","72","49001001","(4,6,883,0,1,4,7,1771,0,1,4,8,5304,0,1)","(48040072,48050072,48140072,48070072,48080072)","","90305996"
"49001073","","73","49001001","(4,6,895,0,1,4,7,1795,0,1,4,8,5376,0,1)","(48040073,48050073,48140073,48070073,48080073)","","90305996"
"49001074","","74","49001001","(4,6,907,0,1,4,7,1819,0,1,4,8,5448,0,1)","(48040074,48050074,48140074,48070074,48080074)","","90305996"
"49001075","","75","49001001","(4,6,919,0,1,4,7,1843,0,1,4,8,5520,0,1)","(48040075,48050075,48140075,48070075,48080075)","","90305996"
"49001076","","76","49001001","(4,6,931,0,1,4,7,1867,0,1,4,8,5592,0,1)","(48040076,48050076,48140076,48070076,48080076)","","90305996"
"49001077","","77","49001001","(4,6,943,0,1,4,7,1891,0,1,4,8,5664,0,1)","(48040077,48050077,48140077,48070077,48080077)","","90305996"
"49001078","","78","49001001","(4,6,955,0,1,4,7,1915,0,1,4,8,5736,0,1)","(48040078,48050078,48140078,48070078,48080078)","","90305996"
"49001079","","79","49001001","(4,6,967,0,1,4,7,1939,0,1,4,8,5808,0,1)","(48040079,48050079,48140079,48070079,48080079)","","90305996"
"49001080","","80","49001001","(4,6,979,0,1,4,7,1963,0,1,4,8,5880,0,1)","(48040080,48050080,48140080,48070080,48080080)","","90305996"
"49001081","","81","49001001","(4,6,991,0,1,4,7,1987,0,1,4,8,5952,0,1)","(48040081,48050081,48140081,48070081,48080081)","","90305996"
"49001082","","82","49001001","(4,6,1003,0,1,4,7,2011,0,1,4,8,6024,0,1)","(48040082,48050082,48140082,48070082,48080082)","","90305996"
"49001083","","83","49001001","(4,6,1015,0,1,4,7,2035,0,1,4,8,6096,0,1)","(48040083,48050083,48140083,48070083,48080083)","","90305996"
"49001084","","84","49001001","(4,6,1027,0,1,4,7,2059,0,1,4,8,6168,0,1)","(48040084,48050084,48140084,48070084,48080084)","","90305996"
"49001085","","85","49001001","(4,6,1039,0,1,4,7,2083,0,1,4,8,6240,0,1)","(48040085,48050085,48140085,48070085,48080085)","","90305996"
"49001086","","86","49001001","(4,6,1051,0,1,4,7,2107,0,1,4,8,6312,0,1)","(48040086,48050086,48140086,48070086,48080086)","","90305996"
"49001087","","87","49001001","(4,6,1063,0,1,4,7,2131,0,1,4,8,6384,0,1)","(48040087,48050087,48140087,48070087,48080087)","","90305996"
"49001088","","88","49001001","(4,6,1075,0,1,4,7,2155,0,1,4,8,6456,0,1)","(48040088,48050088,48140088,48070088,48080088)","","90305996"
"49001089","","89","49001001","(4,6,1087,0,1,4,7,2179,0,1,4,8,6528,0,1)","(48040089,48050089,48140089,48070089,48080089)","","90305996"
"49001090","","90","49001001","(4,6,1099,0,1,4,7,2203,0,1,4,8,6600,0,1)","(48040090,48050090,48140090,48070090,48080090)","","90305996"
"49001091","","91","49001001","(4,6,1111,0,1,4,7,2227,0,1,4,8,6672,0,1)","(48040091,48050091,48140091,48070091,48080091)","","90305996"
"49001092","","92","49001001","(4,6,1123,0,1,4,7,2251,0,1,4,8,6744,0,1)","(48040092,48050092,48140092,48070092,48080092)","","90305996"
"49001093","","93","49001001","(4,6,1135,0,1,4,7,2275,0,1,4,8,6816,0,1)","(48040093,48050093,48140093,48070093,48080093)","","90305996"
"49001094","","94","49001001","(4,6,1147,0,1,4,7,2299,0,1,4,8,6888,0,1)","(48040094,48050094,48140094,48070094,48080094)","","90305996"
