"AttributeId","MarkType","NameStringId","NpcId","RegionLevel","MapGoalX","MapGoalY","MapGoalZ","MiniMapX","MiniGoalY","MiniGoalZ","NpcPriority","IfShow","MissionId","SafePoint"
"73001072","1","90041077","76000218","","96678","21519","678","96678","21519","678","1","0","",""
"73001073","1","90041079","76000220","","107924","27397","787","107924","27397","787","1","0","",""
"73001074","1","90041080","76000221","","109253","27798","827","109253","27798","827","1","0","",""
"73001075","1","90041081","76000222","","16899","88741","267","16899","88741","267","1","0","",""
"73001076","1","90041082","76000223","","14742","90289","279","14742","90289","279","1","0","",""
"73001077","1","90041083","76000224","","16810","92770","268","16810","92770","268","1","0","",""
"73001078","1","90041085","76000226","","20930","98880","268","20930","98880","268","1","0","",""
"73001079","1","90041086","76000227","","19198","109082","268","19198","109082","268","1","0","",""
"73001080","1","90041087","76000228","","17260","107140","268","17260","107140","268","1","0","",""
"73001081","1","90041088","76000229","","17220","106341","268","17220","106341","268","1","0","",""
"73001082","1","90041089","76000230","","15460","106320","268","15460","106320","268","1","0","",""
"73001083","1","90041090","76000231","","16300","104820","268","16300","104820","268","1","0","",""
"73001084","1","90041091","76000232","","12519","106130","268","12519","106130","268","1","0","",""
"73001085","1","90041092","76000233","","13980","102790","268","13980","102790","268","1","0","",""
"73001086","1","90041093","76000234","","15440","103240","268","15440","103240","268","1","0","",""
"73001087","1","90041094","76000235","","12260","103310","258","12260","103310","258","1","0","",""
"73001088","1","90041095","76000236","","12086","100693","269","12086","100693","269","1","0","",""
"73001089","1","90041096","76000237","","8070","100318","245","8070","100318","245","1","0","",""
"73001090","1","90041097","76000238","","11210","105070","268","11210","105070","268","1","0","",""
"73001091","1","90041098","76000239","","9520","104580","558","9520","104580","558","1","0","",""
"73001092","1","90041099","76000240","","6990","102920","568","6990","102920","568","1","0","",""
"73001093","1","90041100","76000241","","7697","106003","558","7697","106003","558","1","0","",""
"73001094","1","90041101","76000242","","21469","105660","268","21469","105660","268","1","0","",""
"73001095","2","90041129","76000270","","18710","25910","2238","18710","25910","2238","1","0","",""
"73001096","2","90041130","76000271","","7099","24490","2498","7099","24490","2498","1","0","",""
"73001097","2","90041132","76000273","","21429","50867","389","21429","50867","389","1","0","",""
"73001098","2","90041133","76000274","","20819","55067","458","20819","55067","458","1","0","",""
"73001099","2","90041134","76000275","","22670","13990","2438","22670","13990","2438","1","0","",""
"73001100","2","90041135","76000276","","22088","47763","401","22088","47763","401","1","0","",""
"73001101","2","90041136","76000277","","21779","49287","389","21779","49287","389","1","0","",""
"73001102","2","90041137","76000278","","20040","53421","458","20040","53421","458","1","0","",""
"73001103","2","90041138","76000279","","21820","56635","458","21820","56635","458","1","0","",""
"73001104","2","90041139","76000280","","23930","60030","458","23930","60030","458","1","0","",""
"73001105","2","90041140","76000281","","21680","58370","718","21680","58370","718","1","0","",""
"73001106","2","90041141","76000282","","24369","62100","438","24369","62100","438","1","0","",""
"73001107","2","90041142","76000283","","67218","27147","2288","67218","27147","2288","1","0","",""
"73001108","2","90041143","76000284","","73530","24890","2278","73530","24890","2278","1","0","",""
"73001109","2","90041144","76000285","","75960","25520","2298","75960","25520","2298","1","0","",""
"73001110","2","90041145","76000286","","71930","25270","2308","71930","25270","2308","1","0","",""
"73001111","2","90041146","76000287","","76940","14320","3798","76940","14320","3798","1","0","",""
"73001112","2","90041147","76000288","","68415","12289","4508","68415","12289","4508","1","0","",""
"73001113","2","90041148","76000289","","71330","7799","5258","71330","7799","5258","1","0","",""
"73001114","2","90041149","76000290","","72560","9105","5328","72560","9105","5328","1","0","",""
"73001115","2","90041150","76000291","","49070","98680","528","49070","98680","528","1","0","",""
"73001116","2","90041151","76000292","","51639","103929","548","51639","103929","548","1","0","",""
"73001117","2","90041152","76000293","","57810","100120","538","57810","100120","538","1","0","",""
"73001118","2","90041153","76000294","","64569","101340","548","64569","101340","548","1","0","",""
"73001119","2","90041154","76000295","","55799","110809","1678","55799","110809","1678","1","0","",""
"73001120","2","90041155","76000296","","57070","112268","1698","57070","112268","1698","1","0","",""
"73001121","2","90041156","76000297","","66030","112040","1678","66030","112040","1678","1","0","",""
"73001122","2","90041157","76000298","","60570","98050","528","60570","98050","528","1","0","",""
"73001123","3","90052001","","(0,15)","18430","32732","2240","18430","32732","2240","0","1","","74000001"
"73001124","3","90052003","","(15,30)","18769","55852","775","18769","55852","775","1","1","","74000021"
"73001125","3","90052004","","(30,50)","57448","80190","2811","57448","80190","2811","1","1","15000665","74000031"
"73001126","3","90052005","","","19400","98936","255","19400","98936","255","1","1","","74000041"
"73001127","3","90052006","","(150,170)","20417","98412","268","20417","98412","268","1","1","15000798","74000051"
"73001128","3","90052007","","","13308","104670","255","13308","104670","255","1","1","","74000061"
"73001129","3","90052008","","","39734","40382","4665","39734","40382","4665","1","1","","74000071"
"73001130","3","90052009","","(50,80)","72557","31365","2326","72557","31365","2326","1","1","15000695","74000081"
"73001131","3","90052010","","(50,80)","74327","12980","3800","74327","12980","3800","1","1","","74000091"
"73001132","3","90052011","","(101,130)","95684","22105","688","95684","22105","688","1","1","15000753","74000101"
"73001133","3","90052012","","","104440","22280","1950","104440","22280","1950","1","1","","74000111"
"73001134","3","90052013","","","105300","39860","1260","105300","39860","1260","1","1","","74000121"
"73001135","3","90052014","","(80,100)","53207","107175","1680","53207","107175","1680","1","1","15000722","74000131"
"73001136","3","90052015","","","56000","111900","1680","56000","111900","1680","1","1","","74000141"
"73001137","3","90052016","","","66820","110170","1680","66820","110170","1680","1","1","","74000151"
"73001138","2","90041158","76000299","","94630","43880","1005","94630","43880","1005","0","0","",""
"73001139","2","90041159","76000300","","96240","41439","1272","96240","41439","1272","0","0","",""
"73001140","2","90041160","76000301","","102770","42160","1288","102770","42160","1288","0","0","",""
"73001141","2","90041161","76000302","","104150","38920","1297","104150","38920","1297","0","0","",""
"73001142","2","90041162","76000303","","96770","34940","1277","96770","34940","1277","0","0","",""
"73001143","2","90041163","76000304","","97650","26050","1267","97650","26050","1267","0","0","",""
"73001144","2","90041164","76000305","","105140","22230","1961","105140","22230","1961","0","0","",""
"73001145","2","90041165","76000306","","103710","21030","1976","103710","21030","1976","0","0","",""
"73001146","2","90041166","76000307","","105860","18110","1966","105860","18110","1966","0","0","",""
"73001147","2","90041167","76000308","","110763","19495","692","110763","19495","692","0","0","",""
"73001148","2","90041168","76000309","","107569","31000","1286","107569","31000","1286","0","0","",""
"73001149","2","90041169","76000310","","111330","23750","638","111330","23750","638","0","0","",""
"73001150","2","90041170","76000311","","15080","88390","288","15080","88390","288","0","0","",""
"73001151","2","90041171","76000312","","15670","90550","268","15670","90550","268","0","0","",""
"73001152","2","90041172","76000313","","15530","94230","288","15530","94230","288","0","0","",""
"73001153","2","90041173","76000314","","18530","97680","298","18530","97680","298","0","0","",""
"73001154","2","90041174","76000315","","20689","101170","268","20689","101170","268","0","0","",""
"73001155","2","90041175","76000316","","20449","107090","258","20449","107090","258","0","0","",""
"73001156","2","90041176","76000317","","14070","106460","258","14070","106460","258","0","0","",""
"73001157","2","90041177","76000318","","15500","104550","278","15500","104550","278","0","0","",""
"73001158","2","90041178","76000319","","11619","102231","278","11619","102231","278","0","0","",""
"73001159","2","90041180","76000321","","8480","104830","558","8480","104830","558","0","0","",""
"73001160","2","90041181","76000322","","7860","103590","558","7860","103590","558","0","0","",""
"73001161","2","90041182","76000323","","4980","103989","1028","4980","103989","1028","0","0","",""
"73001162","2","90041183","76000324","","1469","104980","908","1469","104980","908","0","0","",""
"73001163","1","90041102","76000243","","40014","66271","3058","40014","66271","3058","0","0","",""
"73001164","1","90041103","76000244","","48326","66805","3028","48326","66805","3028","0","0","",""
"73001165","1","90041104","76000245","","48299","65754","3028","48299","65754","3028","0","0","",""
"73001166","1","90041105","76000246","","53552","61976","3088","53552","61976","3088","0","0","",""
"73001167","1","90041106","76000247","","57995","59724","3078","57995","59724","3078","0","0","",""
"73001168","1","90041107","76000248","","56864","59721","3078","56864","59721","3078","0","0","",""
"73001169","1","90041108","76000249","","52709","66289","3098","52709","66289","3098","0","0","",""
"73001170","1","90041109","76000250","","52960","66610","3088","52960","66610","3088","0","0","",""
"73001171","1","90041111","76000252","","61678","66284","3238","61678","66284","3238","0","0","",""
"73001172","1","90041112","76000253","","69796","77544","4458","69796","77544","4458","0","0","",""
"73001173","1","90041113","76000254","","57439","62040","3088","57439","62040","3088","0","0","",""
"73001174","1","90041114","76000255","","72078","66270","4458","72078","66270","4458","0","0","",""
"73001175","1","90041115","76000256","","72270","66590","4448","72270","66590","4448","0","0","",""
"73001176","1","90041116","76000257","","72270","65960","4448","72270","65960","4448","0","0","",""
"73001177","1","90041117","76000258","","69520","64858","4460","69520","64858","4460","0","0","",""
"73001178","1","90041118","76000259","","66240","63490","4458","66240","63490","4458","0","0","",""
"73001179","1","90041119","76000260","","79300","65289","4468","79300","65289","4468","0","0","",""
"73001180","1","90041120","76000261","","79300","67159","4468","79300","67159","4468","0","0","",""
"73001181","1","90041121","76000262","","79102","72981","4458","79102","72981","4458","0","0","",""
"73001182","1","90041122","76000263","","72057","58153","4458","72057","58153","4458","0","0","",""
"73001183","1","90041123","76000264","","74930","57425","4458","74930","57425","4458","0","0","",""
"73001184","1","90041124","76000265","","68377","56256","4458","68377","56256","4458","0","0","",""
"73001185","1","90041125","76000266","","85700","66289","5118","85700","66289","5118","0","0","",""
"73001186","1","90041126","76000267","","57470","70480","3088","57470","70480","3088","0","0","",""
"73001187","1","90041127","76000268","","57040","72700","3058","57040","72700","3058","0","0","",""
"73001188","1","90041128","76000269","","84693","66071","4818","84693","66071","4818","0","0","",""
"73001189","2","90041184","76000325","","56810","51849","2818","56810","51849","2818","0","0","",""
"73001190","2","90041185","76000326","","70910","74929","4458","70910","74929","4458","0","0","",""
"73001191","2","90041186","76000327","","81339","67829","4468","81339","67829","4468","0","0","",""
"73001192","2","90041187","76000328","","79439","74639","4478","79439","74639","4478","0","0","",""
"73001193","2","90041188","76000329","","72040","56590","4468","72040","56590","4468","0","0","",""
"73001194","1","90041190","76000331","","26088","63420","458","26088","63420","458","0","0","",""
"73001195","1","90041191","76000332","","96278","23427","769","96278","23427","769","0","0","",""
"73001196","1","90041192","76000333","","96839","22749","759","96839","22749","759","0","0","",""
"73001197","1","90041193","76000334","","79332","59700","4458","79332","59700","4458","0","0","",""
"73001198","2","90040258","","","90195","90005","190","90195","90005","190","0","0","",""
"73001199","2","90040259","","","87160","91080","190","87160","91080","190","0","0","",""
"73001200","2","90043003","","","82460","90730","190","82460","90730","190","0","0","",""
"73001201","2","90040260","","","72710","91260","75","72710","91260","75","0","0","",""
"73001202","2","90040261","","","65725","95050","75","65725","95050","75","0","0","",""
"73001203","2","90040262","","","65570","89945","75","65570","89945","75","0","0","",""
"73001204","2","90043004","","","42560","87010","130","42560","87010","130","0","0","",""
"73001205","2","90040263","","","36725","87055","130","36725","87055","130","0","0","",""
"73001206","2","90040264","","","34380","89640","130","34380","89640","130","0","0","",""
"73001207","2","90040265","","","30880","86330","202","30880","86330","202","0","0","",""
"73001208","2","90040266","","","30200","89615","410","30200","89615","410","0","0","",""
"73001209","2","90042018","","","24126","23422","584","24126","23422","584","0","0","",""
"73001210","2","90043008","","","22954","56711","252","22954","56711","252","0","0","",""
"73001211","2","90043010","","","27680","63150","220","27680","63150","220","0","0","",""
"73002001","1","90042028","76000501","","26248","135291","1328","26248","135291","1328","0","0","",""
"73002002","1","90042029","76000502","","26029","136412","1328","26029","136412","1328","0","0","",""
"73002003","1","90042030","76000503","","22598","136187","1328","22598","136187","1328","0","0","",""
"73002004","1","90042031","76000504","","16041","136317","1328","16041","136317","1328","0","0","",""
"73002005","1","90042032","76000505","","24351","138596","1328","24351","138596","1328","0","0","",""
"73002006","1","90042033","76000506","","19729","135057","1328","19729","135057","1328","0","0","",""
"73002007","1","90042034","76000507","","18795","136288","1328","18795","136288","1328","0","0","",""
"73002008","1","90042035","76000508","","17951","133710","1328","17951","133710","1328","0","0","",""
"73002009","1","90042036","76000509","","16040","133915","1328","16040","133915","1328","0","0","",""
"73002010","1","90042037","76000510","","14749","132716","1268","14749","132716","1268","0","0","",""
"73002011","1","90042038","76000511","","21798","134519","1328","21798","134519","1328","0","0","",""
"73002012","1","90042039","76000512","","14258","136708","1328","14258","136708","1328","0","0","",""
"73002013","1","90042040","76000513","","12928","140299","1328","12928","140299","1328","0","0","",""
"73002014","1","90042041","76000514","","11322","138326","1328","11322","138326","1328","0","0","",""
"73002015","1","90042042","76000515","","12610","135180","1248","12610","135180","1248","0","0","",""
"73002016","1","90042043","76000516","","13170","134120","1248","13170","134120","1248","0","0","",""
"73002017","1","90042044","76000517","","9930","139850","1248","9930","139850","1248","0","0","",""
"73002018","1","90042045","76000518","","10430","142090","1248","10430","142090","1248","0","0","",""
"73002019","1","90042046","76000519","","13480","141870","1248","13480","141870","1248","0","0","",""
"73002020","1","90042047","76000520","","18000","143790","1248","18000","143790","1248","0","0","",""
"73002021","1","90042048","76000521","","16210","141990","1248","16210","141990","1248","0","0","",""
"73002022","1","90042049","76000522","","18710","141120","1248","18710","141120","1248","0","0","",""
"73002023","1","90042050","76000523","","18810","140230","1248","18810","140230","1248","0","0","",""
"73002024","1","90042062","76000535","","40450","135050","1838","40450","135050","1838","0","0","",""
"73002025","1","90042063","76000536","","43630","134560","1788","43630","134560","1788","0","0","",""
"73002026","1","90042064","76000537","","45185","134558","1788","45185","134558","1788","0","0","",""
"73002027","1","90042065","76000538","","46627","132048","2038","46627","132048","2038","0","0","",""
"73002028","1","90042066","76000539","","50328","133124","1788","50328","133124","1788","0","0","",""
"73002029","1","90042067","76000540","","46627","132048","1788","46627","132048","1788","0","0","",""
"73002030","1","90042068","76000541","","50604","136947","1628","50604","136947","1628","0","0","",""
"73002031","1","90042069","76000542","","55510","137660","1628","55510","137660","1628","0","0","",""
"73002032","1","90042070","76000543","","57770","136116","1628","57770","136116","1628","0","0","",""
"73002033","1","90042071","76000544","","56689","130985","1628","56689","130985","1628","0","0","",""
"73002034","1","90042072","76000545","","50760","139670","1628","50760","139670","1628","0","0","",""
"73002035","1","90042073","76000546","","53940","140100","1628","53940","140100","1628","0","0","",""
"73002036","1","90042074","76000547","","53950","140420","1628","53950","140420","1628","0","0","",""
"73002037","1","90042075","76000548","","53940","140640","1628","53940","140640","1628","0","0","",""
"73002038","1","90042076","76000549","","53910","140850","1628","53910","140850","1628","0","0","",""
"73002039","1","90042077","76000550","","56095","146221","1538","56095","146221","1538","0","0","",""
"73002040","1","90042078","76000551","","56009","148571","2229","56009","148571","2229","0","0","",""
"73002041","1","90042079","76000552","","56784","150050","2488","56784","150050","2488","0","0","",""
"73002042","1","90042080","76000553","","56349","152138","2488","56349","152138","2488","0","0","",""
"73002043","1","90042081","76000554","","52802","148167","1584","52802","148167","1584","0","0","",""
"73002044","1","90042082","76000555","","60291","145991","1539","60291","145991","1539","0","0","",""
"73002045","1","90042083","76000556","","60840","148719","1538","60840","148719","1538","0","0","",""
"73002046","1","90042084","76000557","","63480","154069","1538","63480","154069","1538","0","0","",""
"73002047","1","90041194","76000573","","74490","136070","638","74490","136070","638","0","0","",""
"73002048","1","90041195","76000574","","76580","137959","638","76580","137959","638","0","0","",""
"73002049","1","90041196","76000575","","78610","137760","638","78610","137760","638","0","0","",""
"73002050","1","90041197","76000576","","75860","135770","638","75860","135770","638","0","0","",""
"73002051","1","90041198","76000577","","76170","134690","638","76170","134690","638","0","0","",""
"73002052","1","90041199","76000578","","78590","133780","638","78590","133780","638","0","0","",""
"73002053","1","90041200","76000579","","81040","134360","638","81040","134360","638","0","0","",""
"73002054","1","90041201","76000580","","79900","133540","638","79900","133540","638","0","0","",""
"73002055","1","90041202","76000581","","80860","138000","638","80860","138000","638","0","0","",""
"73002056","1","90041203","76000582","","82740","134678","638","82740","134678","638","0","0","",""
"73002057","1","90041204","76000583","","78320","132980","638","78320","132980","638","0","0","",""
"73002058","1","90041205","76000584","","76320","132880","638","76320","132880","638","0","0","",""
"73002059","1","90041206","76000585","","76620","131190","638","76620","131190","638","0","0","",""
"73002060","1","90041207","76000586","","80797","131410","8228","80797","131410","8228","0","0","",""
"73002061","1","90041208","76000587","","81144","131476","8239","81144","131476","8239","0","0","",""
"73002062","1","90041229","76000593","","29981","162341","2549","29981","162341","2549","0","0","",""
"73002063","1","90041230","76000594","","29194","161459","2600","29194","161459","2600","0","0","",""
"73002064","1","90041216","76000595","","25997","161158","2639","25997","161158","2639","0","0","",""
"73002065","1","90041217","76000596","","22670","162970","2936","22670","162970","2936","0","0","",""
"73002066","1","90041218","76000597","","16998","177837","2728","16998","177837","2728","0","0","",""
"73002067","1","90041219","76000598","","18521","160558","2803","18521","160558","2803","0","0","",""
"73002068","1","90041220","76000599","","14152","163938","2728","14152","163938","2728","0","0","",""
"73002069","1","90041221","76000600","","10535","169408","2901","10535","169408","2901","0","0","",""
"73002070","1","90041222","76000601","","14298","170410","2719","14298","170410","2719","0","0","",""
"73002071","1","90041753","76000602","","12094","173881","2724","12094","173881","2724","0","0","",""
"73002072","1","90041224","76000603","","24254","182728","2528","24254","182728","2528","0","0","",""
"73002073","1","90041753","76000604","","29961","189089","2608","29961","189089","2608","0","0","",""
"73002074","1","90041226","76000605","","28480","183219","2548","28480","183219","2548","0","0","",""
"73002075","1","90041753","76000606","","27093","179166","2642","27093","179166","2642","0","0","",""
"73002076","1","90041228","76000607","","11100","170698","2909","11100","170698","2909","0","0","",""
"73002077","1","90041229","76000608","","17523","166349","2771","17523","166349","2771","0","0","",""
"73002078","1","90041230","76000609","","30930","161411","2558","30930","161411","2558","0","0","",""
"73002079","1","90041231","76000610","","34040","164690","2588","34040","164690","2588","0","0","",""
"73002080","1","90041232","76000611","","31424","176586","2719","31424","176586","2719","0","0","",""
"73002081","1","90041233","76000612","","33369","179178","2568","33369","179178","2568","0","0","",""
"73002082","1","90041234","76000613","","36282","178271","2569","36282","178271","2569","0","0","",""
"73002083","1","90041250","76000629","","52510","172949","1528","52510","172949","1528","0","0","",""
"73002084","1","90041251","76000630","","54449","170520","1548","54449","170520","1548","0","0","",""
"73002085","1","90041753","76000631","","56300","169189","1548","56300","169189","1548","0","0","",""
"73002086","1","90041253","76000632","","58040","164790","1538","58040","164790","1538","0","0","",""
"73002087","1","90041254","76000633","","60220","166090","1538","60220","166090","1538","0","0","",""
"73002088","1","90041099","76000634","","61830","166925","1538","61830","166925","1538","0","0","",""
"73002089","1","90041256","76000635","","61830","167500","1538","61830","167500","1538","0","0","",""
"73002090","1","90041257","76000636","","58760","170249","1538","58760","170249","1538","0","0","",""
"73002091","1","90041258","76000637","","59279","173542","1549","59279","173542","1549","0","0","",""
"73002092","1","90041263","76000642","","86850","166380","138","86850","166380","138","0","0","",""
"73002093","1","90041264","76000643","","87650","159460","138","87650","159460","138","0","0","",""
"73002094","1","90041265","76000644","","91799","157499","138","91799","157499","138","0","0","",""
"73002095","1","90041266","76000645","","91519","155171","158","91519","155171","158","0","0","",""
"73002096","1","90041267","76000646","","94401","153469","139","94401","153469","139","0","0","",""
"73002097","1","90041268","76000647","","90554","159344","138","90554","159344","138","0","0","",""
"73002098","1","90041269","76000648","","96740","155480","138","96740","155480","138","0","0","",""
"73002099","1","90041270","76000649","","99520","159280","138","99520","159280","138","0","0","",""
"73002100","1","90041271","76000650","","89760","161919","138","89760","161919","138","0","0","",""
"73002101","1","90041272","76000651","","87770","165710","138","87770","165710","138","0","0","",""
"73002102","1","90041273","76000652","","92270","160340","138","92270","160340","138","0","0","",""
"73002103","1","90041274","76000653","","96917","162718","260","96917","162718","260","0","0","",""
"73002104","1","90041753","76000654","","98668","162673","383","98668","162673","383","0","0","",""
"73002105","1","90041278","76000657","","98038","165989","735","98038","165989","735","0","0","",""
"73002106","1","90041279","76000658","","96741","164803","878","96741","164803","878","0","0","",""
"73002107","1","90041280","76000659","","95749","163731","908","95749","163731","908","0","0","",""
"73002108","1","90041281","76000660","","99176","165949","670","99176","165949","670","0","0","",""
"73002109","1","90041293","76000672","","66420","69800","4448","66420","69800","4448","0","0","",""
"73002110","1","90041294","76000673","","55844","194076","5621","55844","194076","5621","0","0","",""
"73002111","1","90041295","76000674","","55714","193726","5621","55714","193726","5621","0","0","",""
"73002112","1","90041296","76000675","","59781","194520","5857","59781","194520","5857","0","0","",""
"73002113","1","90041297","76000676","","60128","201139","6392","60128","201139","6392","0","0","",""
"73002114","1","90041298","76000677","","56597","205264","6543","56597","205264","6543","0","0","",""
"73002115","1","90041753","76000678","","62442","211379","6419","62442","211379","6419","0","0","",""
"73002116","1","90041303","76000682","","82045","138149","648","82045","138149","648","0","0","",""
"73002117","3","90052082","","(247,260)","27547","135756","1248","27547","135756","1248","0","1","15000835","74000161"
"73002118","3","90052019","","(380,390)","93082","167220","1122","93082","167220","1122","0","1","",""
"73002119","3","90052020","","(380,390)","19986","161866","2922","19986","161866","2922","0","1","",""
"73002120","3","90052085","","(380,390)","32926","159576","2597","32926","159576","2597","0","1","15000922","74000171"
"73002121","3","90052022","","-390400","80478","130562","640","80478","130562","640","0","1","",""
"73002122","3","90052023","","-390400","57743","128059","1619","57743","128059","1619","0","1","",""
"73002123","3","90052083","","(380,390)","41290","134900","1840","41290","134900","1840","0","1","15000865","74000181"
"73002124","3","90052025","","(380,390)","33042","165225","2577","33042","165225","2577","0","1","",""
"73002125","3","90052026","","(360,370)","60710","147490","470","60710","147490","470","0","1","",""
"73002126","3","90052086","","(345,360)","51888","169620","1529","51888","169620","1529","0","1","15000957","74000191"
"73002127","3","90052028","","(345,360)","31190","156190","7610","31190","156190","7610","0","1","",""
"73002128","3","90052029","","(260,280)","13556","158858","2949","13556","158858","2949","0","1","",""
"73002129","3","90052084","","(260,280)","80129","134141","640","80129","134141","640","0","1","15000902","74000201"
