"AttributeId","ItemId","GoodsNum","ClassLimit","Levellimit","NeedLegionLevel","NeedContribution","IsLock","TimelimitOnType","TimelimitOnTime","DurationTime","AddTime","RemoveTime","OldPrice","NewPrice","NeedItemId","LimitType","RoleMaxNum"," EffectiveTime","NeedVIPLevel","ChannelLimit"
"35000011","31091023","1","0","(1,999)","0","0","1","","","","0","0","(3,12000,3,12000,3,12000,3,12000,3,12000,3,12000,3,12000,3,12000,3,12000)","(3,6000,3,6000,3,6000,3,6000,3,6000,3,6000,3,6000,3,6000,3,6000)","0","3","1","","",""
"35000012","31090020","1","0","(1,999)","0","0","1","","","","0","0","(3,800,3,800,3,800,3,800,3,800,3,800,3,800,3,800,3,800)","(3,240,3,400,3,240,3,240,3,240,3,240,3,400,3,400,3,400)","0","1","1","","",""
"35000013","31090021","1","0","(1,999)","0","0","1","","","","0","0","(3,900,3,900,3,900,3,900,3,900,3,900,3,900,3,900,3,900)","(3,270,3,270,3,270,3,270,3,270,3,270,3,270,3,270,3,270)","0","3","7","","",""
"35000014","31090578","1","0","(1,999)","0","0","1","","","","0","0","(3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000)","(3,1000,3,588,3,588,3,1000,3,1000,3,1000,3,588,3,588,3,588)","0","2","1","","",""
"35000015","31091042","1","0","(1,999)","0","0","1","","","","0","0","(3,19600,3,19600,3,19600,3,19600,3,19600,3,19600,3,19600,3,19600,3,19600)","(3,5888,3,5888,3,5888,3,5888,3,5888,3,5888,3,5888,3,5888,3,5888)","0","3","1","","",""
"35000016","31091026","1","0","(1,999)","0","0","1","","","","0","0","(3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20)","(3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20)","0","0","0","","",""
"35000017","31091027","1","0","(1,999)","0","0","1","","","","0","0","(3,1200,3,1200,3,1200,3,1200,3,1200,3,1200,3,1200,3,1200,3,1200)","(3,388,3,388,3,388,3,388,3,388,3,388,3,388,3,388,3,388)","0","2","1","","",""
"35000018","31091028","1","1","(1,999)","0","0","1","","","","0","0","(3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950)","(3,888,3,888,3,888,3,888,3,888,3,888,3,888,3,888,3,888)","0","2","1","","",""
"35000019","31091029","1","2","(1,999)","0","0","1","","","","0","0","(3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950)","(3,888,3,888,3,888,3,888,3,888,3,888,3,888,3,888,3,888)","0","2","1","","",""
"35000020","31091030","1","3","(1,999)","0","0","1","","","","0","0","(3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950)","(3,888,3,888,3,888,3,888,3,888,3,888,3,888,3,888,3,888)","0","2","1","","",""
"35000021","31091031","1","4","(1,999)","0","0","1","","","","0","0","(3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950,3,2950)","(3,888,3,888,3,888,3,888,3,888,3,888,3,888,3,888,3,888)","0","2","1","","",""
"35000022","31091032","1","0","(1,999)","0","0","1","","","","0","0","(3,30000,3,30000,3,30000,3,30000,3,30000,3,30000,3,30000,3,30000,3,30000)","(3,8888,3,8888,3,8888,3,8888,3,8888,3,8888,3,8888,3,8888,3,8888)","0","2","1","","",""
"35000023","31010171","1","0","(1,999)","0","0","1","","","","0","0","(3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100)","(3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""11"","""",""12"","""",""14"","""",""15"","""",""16"","""",""17"","""")"
"35000024","31090151","1","0","(1,999)","0","0","1","","","","0","0","(3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000)","(3,500,3,500,3,500,3,500,3,500,3,500,3,500,3,500,3,500)","0","0","0","","",""
"35000025","31010171","1","0","(1,999)","0","0","1","","","","0","0","(3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100)","(3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20)","0","1","5","","","(""0"","""",""4"","""",""5"","""",""8"","""",""11"","""",""12"","""",""14"","""",""15"","""",""16"","""")"
"35000026","31091006","1","0","(1,999)","0","0","1","","","","0","0","(4,3360,4,3360,4,3360,4,3360,4,3360,4,3360,4,3360,4,3360,4,3360)","(4,1680,4,1680,4,1680,4,1680,4,1680,4,1680,4,1680,4,1680,4,1680)","0","0","0","","",""
"35000027","31091007","1","0","(1,999)","0","0","1","","","","0","0","(4,4560,4,4560,4,4560,4,4560,4,4560,4,4560,4,4560,4,4560,4,4560)","(4,2280,4,2280,4,2280,4,2280,4,2280,4,2280,4,2280,4,2280,4,2280)","0","0","0","","",""
"35000028","31090579","1","0","(200,999)","0","0","1","","","","0","0","(3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000)","(3,2998,3,2998,3,2998,3,2998,3,2998,3,2998,3,2998,3,2998,3,2998)","0","2","1","","",""
"35000029","31090603","1","0","(1,999)","0","0","1","","","","0","0","(3,223,3,223,3,223,3,223,3,223,3,223,3,223,3,223,3,223)","(3,49,3,49,3,49,3,49,3,49,3,49,3,49,3,49,3,49)","0","1","1","","","(""0"","""",""3"","""",""7"","""",""9"","""",""10"","""",""11"","""",""13"","""")"
"35000030","31090604","1","0","(1,999)","0","0","1","","","","0","0","(3,1018,3,1018,3,1018,3,1018,3,1018,3,1018,3,1018,3,1018,3,1018)","(3,199,3,199,3,199,3,199,3,199,3,199,3,199,3,199,3,199)","0","3","1","","","(""0"","""",""3"","""",""7"","""",""9"","""",""10"","""",""11"","""",""13"","""")"
"35000031","31090181","1","0","(1,999)","0","0","1","","","","0","0","(4,1000,4,1000,4,1000,4,1000,4,1000,4,1000,4,1000,4,1000,4,1000)","(4,300,4,300,4,300,4,300,4,300,4,300,4,300,4,300,4,300)","0","0","0","","",""
"35000032","31000163","1","0","(1,999)","0","0","1","","","","0","0","(3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150)","(3,75,3,75,3,75,3,75,3,75,3,75,3,75,3,75,3,75)","0","1","1","","","(""0"","""",""14"","""")"
"35000033","31000162","1","0","(1,999)","0","0","1","","","","0","0","(3,246,3,246,3,246,3,246,3,246,3,246,3,246,3,246,3,246)","(3,123,3,123,3,123,3,123,3,123,3,123,3,123,3,123,3,123)","0","1","1","","","(""0"","""",""14"","""")"
"35000034","31000163","8","0","(1,999)","0","0","1","","","","0","0","(3,1200,3,1200,3,1200,3,1200,3,1200,3,1200,3,1200,3,1200,3,1200)","(3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600)","0","3","1","","","(""0"","""",""14"","""")"
"35000035","31000162","8","0","(1,999)","0","0","1","","","","0","0","(3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980)","(3,990,3,990,3,990,3,990,3,990,3,990,3,990,3,990,3,990)","0","3","1","","","(""0"","""",""14"","""")"
"35000036","31041049","1","0","(1,999)","0","0","1","","","","0","0","(3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150)","(3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150)","0","0","0","","","(""0"","""",""14"","""")"
"35010001","31000012","1","0","(50,999)","0","0","1","","","","0","0","(3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40)","(3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40)","0","0","0","","",""
"35010002","31000091","1","0","(1,999)","0","0","1","","","","0","0","(3,80,3,80,3,80,3,80,3,80,3,80,3,80,3,80,3,80)","(3,80,3,80,3,80,3,80,3,80,3,80,3,80,3,80,3,80)","0","0","0","","",""
"35010003","31000005","1","0","(1,999)","0","0","0","","","","0","0","(3,50,3,50,3,50,3,50,3,50,3,50,3,50,3,50,3,50)","(3,50,3,50,3,50,3,50,3,50,3,50,3,50,3,50,3,50)","0","0","0","","",""
"35010004","31000069","1","0","(1,999)","0","0","1","","","","0","0","(3,300,3,300,3,300,3,300,3,300,3,300,3,300,3,300,3,300)","(3,300,3,300,3,300,3,300,3,300,3,300,3,300,3,300,3,300)","0","0","0","","",""
"35010005","31100012","1","0","(1,999)","0","0","1","","","","0","0","(3,30,3,30,3,30,3,30,3,30,3,30,3,30,3,30,3,30)","(3,30,3,30,3,30,3,30,3,30,3,30,3,30,3,30,3,30)","0","0","0","","",""
"35010006","31100013","1","0","(1,999)","0","0","1","","","","0","0","(3,288,3,288,3,288,3,288,3,288,3,288,3,288,3,288,3,288)","(3,288,3,288,3,288,3,288,3,288,3,288,3,288,3,288,3,288)","0","0","0","","",""
"35010007","31100014","1","0","(1,999)","0","0","1","","","","0","0","(3,2688,3,2688,3,2688,3,2688,3,2688,3,2688,3,2688,3,2688,3,2688)","(3,2688,3,2688,3,2688,3,2688,3,2688,3,2688,3,2688,3,2688,3,2688)","0","0","0","","",""
"35010008","31100016","1","0","(1,999)","0","0","1","","","","0","0","(3,300,3,300,3,300,3,300,3,300,3,300,3,300,3,300,3,300)","(3,300,3,300,3,300,3,300,3,300,3,300,3,300,3,300,3,300)","0","0","0","","",""
"35010009","31100017","1","0","(1,999)","0","0","1","","","","0","0","(3,999,3,999,3,999,3,999,3,999,3,999,3,999,3,999,3,999)","(3,999,3,999,3,999,3,999,3,999,3,999,3,999,3,999,3,999)","0","0","0","","",""
"35010010","31100018","1","0","(1,999)","0","0","1","","","","0","0","(3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980)","(3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980,3,1980)","0","0","0","","",""
"35010011","31000159","1","0","(1,999)","0","0","1","","","","0","0","(3,480,3,480,3,480,3,480,3,480,3,480,3,480,3,480,3,480)","(3,480,3,480,3,480,3,480,3,480,3,480,3,480,3,480,3,480)","0","0","0","","",""
"35010012","31140139","1","0","(1,999)","0","0","0","","","","0","0","(3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600)","(3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600)","0","0","0","","",""
"35010013","31000158","1","0","(1,999)","0","0","1","","","","0","0","(3,680,3,680,3,680,3,680,3,680,3,680,3,680,3,680,3,680)","(3,680,3,680,3,680,3,680,3,680,3,680,3,680,3,680,3,680)","0","0","0","","",""
"35010014","31000205","1","0","(1,999)","0","0","1","","","","0","0","(3,200,3,200,3,200,3,200,3,200,3,200,3,200,3,200,3,200)","(3,200,3,200,3,200,3,200,3,200,3,200,3,200,3,200,3,200)","0","0","0","","",""
"35010015","31000071","1","0","(1,999)","0","0","1","","","","0","0","(3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20)","(3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20)","0","0","0","","",""
"35010016","31000070","1","0","(1,999)","0","0","1","","","","0","0","(3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100)","(3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100,3,100)","0","0","0","","",""
"35010017","31000208","1","0","(1,999)","0","0","1","","","","0","0","(3,680,3,680,3,680,3,680,3,680,3,680,3,680,3,680,3,680)","(3,680,3,680,3,680,3,680,3,680,3,680,3,680,3,680,3,680)","0","0","0","","",""
"35010018","31000011","1","0","(1,999)","0","0","1","","","","0","0","(3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20)","(3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20)","0","0","0","","",""
"35011001","31020005","1","0","(1,999)","0","0","0","","","","0","0","(3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60)","(3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60)","0","0","0","","",""
"35011002","31000099","1","0","(1,999)","0","0","0","","","","0","0","(3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40)","(3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40)","0","0","0","","",""
"35011003","31000105","1","0","(1,999)","0","0","0","","","","0","0","(3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40)","(3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40)","0","0","0","","",""
"35011004","31000106","1","0","(1,999)","0","0","0","","","","0","0","(3,120,3,120,3,120,3,120,3,120,3,120,3,120,3,120,3,120)","(3,120,3,120,3,120,3,120,3,120,3,120,3,120,3,120,3,120)","0","0","0","","",""
"35011005","31140201","1","0","(400,999)","0","0","1","","","","0","0","(3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600)","(3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600,3,600)","0","0","0","","",""
"35011006","31059001","1","0","(1,999)","0","0","1","","","","0","0","(3,50,3,50,3,50,3,50,3,50,3,50,3,50,3,50,3,50)","(3,50,3,50,3,50,3,50,3,50,3,50,3,50,3,50,3,50)","0","0","0","","",""
"35011007","31020008","1","0","(1,999)","0","0","0","","","","0","0","(3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20,3,20)","(3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5)","0","0","0","","",""
"35011008","31020001","1","0","(1,999)","0","0","0","","","","0","0","(3,30,3,30,3,30,3,30,3,30,3,30,3,30,3,30,3,30)","(3,10,3,10,3,10,3,10,3,10,3,10,3,10,3,10,3,10)","0","0","0","","",""
"35011009","31130411","1","0","(1,999)","0","0","1","","","","0","0","(3,200,3,200,3,200,3,200,3,200,3,200,3,200,3,200,3,200)","(3,200,3,200,3,200,3,200,3,200,3,200,3,200,3,200,3,200)","0","0","0","","",""
"35011010","31131125","1","0","(500,999)","0","0","1","","","","0","0","(3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500)","(3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500)","0","2","1","","",""
"35011011","31131126","1","0","(500,999)","0","0","1","","","","0","0","(3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000)","(3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000)","0","2","1","","",""
"35011012","31131127","1","0","(500,999)","0","0","1","","","","0","0","(3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000)","(3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000)","0","2","1","","",""
"35011013","31130447","1","0","(440,999)","0","0","1","","","","0","0","(3,9000,3,9000,3,9000,3,9000,3,9000,3,9000,3,9000,3,9000,3,9000)","(3,9000,3,9000,3,9000,3,9000,3,9000,3,9000,3,9000,3,9000,3,9000)","0","2","1","","",""
"35011014","31130446","1","0","(440,999)","0","0","1","","","","0","0","(3,18000,3,18000,3,18000,3,18000,3,18000,3,18000,3,18000,3,18000,3,18000)","(3,18000,3,18000,3,18000,3,18000,3,18000,3,18000,3,18000,3,18000,3,18000)","0","2","1","","",""
"35011015","31130445","1","0","(440,999)","0","0","1","","","","0","0","(3,15000,3,15000,3,15000,3,15000,3,15000,3,15000,3,15000,3,15000,3,15000)","(3,15000,3,15000,3,15000,3,15000,3,15000,3,15000,3,15000,3,15000,3,15000)","0","2","1","","",""
"35011016","31130448","1","0","(440,999)","0","0","1","","","","0","0","(3,12000,3,12000,3,12000,3,12000,3,12000,3,12000,3,12000,3,12000,3,12000)","(3,12000,3,12000,3,12000,3,12000,3,12000,3,12000,3,12000,3,12000,3,12000)","0","2","1","","",""
"35011017","31130455","1","0","(440,999)","0","0","1","","","","0","0","(3,3200,3,3200,3,3200,3,3200,3,3200,3,3200,3,3200,3,3200,3,3200)","(3,3200,3,3200,3,3200,3,3200,3,3200,3,3200,3,3200,3,3200,3,3200)","0","2","1","","",""
"35011018","31130458","1","0","(440,999)","0","0","1","","","","0","0","(3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000)","(3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000,3,2000)","0","2","1","","",""
"35011019","31130449","1","0","(440,999)","0","0","1","","","","0","0","(3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000)","(3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000,3,3000)","0","2","1","","",""
"35011020","31130452","1","0","(440,999)","0","0","1","","","","0","0","(3,5500,3,5500,3,5500,3,5500,3,5500,3,5500,3,5500,3,5500,3,5500)","(3,5500,3,5500,3,5500,3,5500,3,5500,3,5500,3,5500,3,5500,3,5500)","0","2","1","","",""
"35011021","31130456","1","0","(440,999)","0","0","1","","","","0","0","(3,3600,3,3600,3,3600,3,3600,3,3600,3,3600,3,3600,3,3600,3,3600)","(3,3600,3,3600,3,3600,3,3600,3,3600,3,3600,3,3600,3,3600,3,3600)","0","2","1","","",""
"35011022","31130459","1","0","(440,999)","0","0","1","","","","0","0","(3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500)","(3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500,3,3500)","0","2","1","","",""
"35011023","31130450","1","0","(440,999)","0","0","1","","","","0","0","(3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000)","(3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000)","0","2","1","","",""
"35011024","31130453","1","0","(440,999)","0","0","1","","","","0","0","(3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000)","(3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000,3,7000)","0","2","1","","",""
"35011025","31130451","1","0","(440,999)","0","0","1","","","","0","0","(3,6000,3,6000,3,6000,3,6000,3,6000,3,6000,3,6000,3,6000,3,6000)","(3,6000,3,6000,3,6000,3,6000,3,6000,3,6000,3,6000,3,6000,3,6000)","0","2","1","","",""
"35011026","31130454","1","0","(440,999)","0","0","1","","","","0","0","(3,13000,3,13000,3,13000,3,13000,3,13000,3,13000,3,13000,3,13000,3,13000)","(3,13000,3,13000,3,13000,3,13000,3,13000,3,13000,3,13000,3,13000,3,13000)","0","2","1","","",""
"35011027","31130457","1","0","(440,999)","0","0","1","","","","0","0","(3,4800,3,4800,3,4800,3,4800,3,4800,3,4800,3,4800,3,4800,3,4800)","(3,4800,3,4800,3,4800,3,4800,3,4800,3,4800,3,4800,3,4800,3,4800)","0","2","1","","",""
"35011028","31130460","1","0","(440,999)","0","0","1","","","","0","0","(3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000)","(3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000,3,5000)","0","2","1","","",""
"35012001","31000045","20","0","(300,999)","0","0","1","","","","0","0","(3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150)","(3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150,3,150)","0","3","1","","0",""
"35012002","31000046","20","0","(300,999)","0","0","1","","","","0","0","(3,7500,3,7500,3,7500,3,7500,3,7500,3,7500,3,7500,3,7500,3,7500)","(3,750,3,750,3,750,3,750,3,750,3,750,3,750,3,750,3,750)","0","3","1","","6",""
"35012003","31040082","20","0","(300,999)","0","0","1","","","","0","0","(3,10000,3,10000,3,10000,3,10000,3,10000,3,10000,3,10000,3,10000,3,10000)","(3,1000,3,1000,3,1000,3,1000,3,1000,3,1000,3,1000,3,1000,3,1000)","0","3","1","","9",""
"35012004","31040105","20","0","(300,999)","0","0","1","","","","0","0","(3,24000,3,24000,3,24000,3,24000,3,24000,3,24000,3,24000,3,24000,3,24000)","(3,9600,3,4800,3,4800,3,9600,3,9600,3,9600,3,4800,3,4800,3,4800)","0","3","1","","11",""
"35012005","31040099","20","0","(300,999)","0","0","1","","","","0","0","(3,30000,3,30000,3,30000,3,30000,3,30000,3,30000,3,30000,3,30000,3,30000)","(3,15000,3,9000,3,9000,3,15000,3,15000,3,15000,3,9000,3,9000,3,9000)","0","3","1","","13",""
"35012006","31000114","20","0","(300,999)","0","0","1","","","","0","0","(3,30000,3,30000,3,30000,3,30000,3,30000,3,30000,3,30000,3,30000,3,30000)","(3,18000,3,12000,3,12000,3,18000,3,18000,3,18000,3,12000,3,12000,3,12000)","0","3","1","","14",""
"35012007","31040172","20","0","(300,999)","0","0","1","","","","0","0","(3,64000,3,64000,3,64000,3,64000,3,64000,3,64000,3,64000,3,64000,3,64000)","(3,20000,3,16000,3,16000,3,20000,3,20000,3,20000,3,16000,3,16000,3,16000)","0","3","1","","15",""
"35012008","31040196","20","0","(300,999)","0","0","1","","","","0","0","(3,72000,3,72000,3,72000,3,72000,3,72000,3,72000,3,72000,3,72000,3,72000)","(3,22000,3,22000,3,22000,3,22000,3,22000,3,22000,3,22000,3,22000,3,22000)","0","3","1","","17",""
"35012009","31141054","1","0","(550,999)","0","0","1","","","","0","0","(3,31000,3,31000,3,31000,3,31000,3,31000,3,31000,3,31000,3,31000,3,31000)","(3,15500,3,15500,3,15500,3,15500,3,15500,3,15500,3,15500,3,15500,3,15500)","0","3","1","","14",""
"35012010","31141055","1","0","(550,999)","0","0","1","","","","0","0","(3,34000,3,34000,3,34000,3,34000,3,34000,3,34000,3,34000,3,34000,3,34000)","(3,17000,3,17000,3,17000,3,17000,3,17000,3,17000,3,17000,3,17000,3,17000)","0","3","1","","14",""
"35012011","31141056","1","0","(550,999)","0","0","1","","","","0","0","(3,41000,3,41000,3,41000,3,41000,3,41000,3,41000,3,41000,3,41000,3,41000)","(3,20500,3,20500,3,20500,3,20500,3,20500,3,20500,3,20500,3,20500,3,20500)","0","3","1","","14",""
"35030001","31000094","1","0","(50,999)","0","0","1","","","","0","0","(4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15)","(4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15)","0","0","0","","",""
"35030002","31000090","1","0","(1,999)","0","0","1","","","","0","0","(4,30,4,30,4,30,4,30,4,30,4,30,4,30,4,30,4,30)","(4,30,4,30,4,30,4,30,4,30,4,30,4,30,4,30,4,30)","0","0","0","","",""
"35030003","31000004","1","0","(1,999)","0","0","1","","","","0","0","(4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15)","(4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15,4,15)","0","0","0","","",""
"35030004","31000086","1","0","(1,999)","0","0","1","","","","0","0","(4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5)","(4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5)","0","0","0","","",""
"35030005","31000087","1","0","(1,999)","0","0","1","","","","0","0","(4,20,4,20,4,20,4,20,4,20,4,20,4,20,4,20,4,20)","(4,20,4,20,4,20,4,20,4,20,4,20,4,20,4,20,4,20)","0","0","0","","",""
"35030006","31000088","1","0","(1,999)","0","0","1","","","","0","0","(4,20,4,20,4,20,4,20,4,20,4,20,4,20,4,20,4,20)","(4,20,4,20,4,20,4,20,4,20,4,20,4,20,4,20,4,20)","0","0","0","","",""
"35030007","31000095","1","0","(1,999)","0","0","1","","","","0","0","(4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40)","(4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40)","0","0","0","","",""
"35030008","31000096","1","0","(1,999)","0","0","1","","","","0","0","(4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60)","(4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60,4,60)","0","0","0","","",""
"35030009","31000093","1","0","(1,999)","0","0","1","","","","0","0","(4,80,4,80,4,80,4,80,4,80,4,80,4,80,4,80,4,80)","(4,80,4,80,4,80,4,80,4,80,4,80,4,80,4,80,4,80)","0","0","0","","",""
"35030010","31000058","1","0","(1,999)","0","0","1","","","","0","0","(4,380,4,380,4,380,4,380,4,380,4,380,4,380,4,380,4,380)","(4,380,4,380,4,380,4,380,4,380,4,380,4,380,4,380,4,380)","0","0","0","","",""
"35030011","31000085","1","0","(1,999)","0","0","1","","","","0","0","(4,300,4,300,4,300,4,300,4,300,4,300,4,300,4,300,4,300)","(4,300,4,300,4,300,4,300,4,300,4,300,4,300,4,300,4,300)","0","0","0","","",""
"35030012","31000186","1","0","(1,999)","0","0","1","","","","0","0","(4,10,4,10,4,10,4,10,4,10,4,10,4,10,4,10,4,10)","(4,10,4,10,4,10,4,10,4,10,4,10,4,10,4,10,4,10)","0","0","0","","",""
"35030013","31000187","1","0","(1,999)","0","0","1","","","","0","0","(4,30,4,30,4,30,4,30,4,30,4,30,4,30,4,30,4,30)","(4,30,4,30,4,30,4,30,4,30,4,30,4,30,4,30,4,30)","0","0","0","","",""
