"AttributeId","RightAnswer","Region","SeasonNum","Level","NormalRewardArray","SpecialRewardArray","exp","BigRewardTag"
"153000044","","0","1","45","(0)","(31000029,5)","4500","-1"
"153000045","","0","1","46","(31000012,1)","(31000112,1)","4600","0"
"153000046","","0","1","47","(0)","(31000099,10)","4700","-1"
"153000047","","0","1","48","(31000028,10)","(31020061,4)","4800","0"
"153000048","","0","1","49","(0)","(31020008,10)","4900","-1"
"153000049","","0","1","50","(31102246,1)","(31010058,5)","5000","1"
"153000050","","0","1","51","(0)","(31010043,10)","5100","-1"
"153000051","","0","1","52","(0)","(31000163,1)","5200","-1"
"153000052","","0","1","53","(31000029,5)","(31010176,300)","5300","0"
"153000053","","0","1","54","(31010176,30)","(31000113,2)","5400","0"
"153000054","","0","1","55","(0)","(31020005,2)","5500","-1"
"153000055","","0","1","56","(31061003,2)","(31010107,10)","5600","0"
"153000056","","0","1","57","(0)","(31102202,1)","5700","-1"
"153000057","","0","1","58","(31000105,5)","(31020001,10)","5800","0"
"153000058","","0","1","59","(0)","(31010044,4)","5900","-1"
"153000059","","0","1","60","(31130463,1)","(31020054,2)","6000","1"
"153000060","","0","1","61","(0)","(31020061,4)","6100","-1"
"153000061","","0","1","62","(31020061,3)","(31000110,2)","6200","0"
"153000062","","0","1","63","(0)","(31000012,1)","6300","-1"
"153000063","","0","1","64","(31020002,5)","(31000090,2)","6400","0"
"153000064","","0","1","65","(31010176,30)","(31000105,10)","6500","0"
"153000065","","0","1","66","(0)","(31000062,2)","6600","-1"
"153000066","","0","1","67","(31020008,10)","(31061003,2)","6700","0"
"153000067","","0","1","68","(0)","(31010176,300)","6800","-1"
"153000068","","0","1","69","(31000178,1)","(31010044,4)","6900","0"
"153000069","","0","1","70","(31131129,5)","(31010058,5)","7000","1"
"153000070","","0","1","71","(0)","(31000099,10)","7100","-1"
"153000071","","0","1","72","(0)","(31102207,1)","7200","-1"
"153000072","","0","1","73","(31000027,3)","(31130408,1)","7300","0"
"153000073","","0","1","74","(0)","(31000162,1)","7400","-1"
"153000074","","0","1","75","(31010176,30)","(31000113,2)","7500","0"
"153000075","","0","1","76","(0)","(31020005,2)","7600","-1"
"153000076","","0","1","77","(0)","(31000170,1)","7700","-1"
"153000077","","0","1","78","(31020002,2)","(31140140,1)","7800","0"
"153000078","","0","1","79","(0)","(31010044,4)","7900","-1"
"153000079","","0","1","80","(31000176,1)","(31020056,5)","8000","1"
"153000080","","0","1","81","(31020001,5)","(31110103,2)","8100","0"
"153000081","","0","1","82","(31010176,30)","(31010058,3)","8200","0"
"153000082","","0","1","83","(0)","(31000105,10)","8300","-1"
"153000083","","0","1","84","(0)","(31000099,10)","8400","-1"
"153000084","","0","1","85","(31061002,3)","(31102502,1)","8500","0"
"153000085","","0","1","86","(0)","(31010107,20)","8600","-1"
"153000086","","0","1","87","(31010176,50)","(31010044,4)","8700","0"
"153000087","","0","1","88","(0)","(31059001,2)","8800","-1"
"153000088","","0","1","89","(0)","(31000091,1)","8900","-1"
"153000089","","0","1","90","(31102505,1)","(31020055,5)","9000","1"
"153000090","","0","1","91","(0)","(31110003,2)","9100","-1"
"153000091","","0","1","92","(31000106,5)","(31010142,5)","9200","0"
"153000092","","0","1","93","(0)","(31010176,300)","9300","-1"
"153000093","","0","1","94","(0)","(31000012,1)","9400","-1"
"153000094","","0","1","95","(31010176,50)","(31000113,2)","9500","0"
"153000095","","0","1","96","(0)","(31130411,1)","9600","-1"
"153000096","","0","1","97","(31000178,1)","(31000099,10)","9700","0"
"153000097","","0","1","98","(0)","(31000156,1)","9800","-1"
"153000098","","0","1","99","(0)","(31010044,4)","9900","-1"
"153000099","","0","1","100","(31102510,1)","(31020054,5)","10000","1"
"153000100","90111000","0","2","1","(31041033,2)","(31000178,5)","100","1"
"153000101","","0","2","2","(31020004,10)","(31020003,10)","200","0"
"153000102","","0","2","3","(0)","(31020002,5)","300","-1"
"153000103","","0","2","4","(31010176,20)","(31010043,5)","400","0"
"153000104","","0","2","5","(31020007,10)","(31020008,10)","500","0"
"153000105","","0","2","6","(0)","(31000028,10)","600","-1"
"153000106","","0","2","7","(31010176,20)","(31000004,2)","700","0"
"153000107","","0","2","8","(0)","(31000040,20)","800","-1"
"153000108","","0","2","9","(31020061,2)","(31010107,10)","900","0"
"153000109","","0","2","10","(31059001,2)","(31000063,1)","1000","1"
"153000110","","0","2","11","(0)","(31010044,4)","1100","-1"
"153000111","","0","2","12","(31000040,10)","(31000029,5)","1200","0"
"153000112","","0","2","13","(0)","(31000086,10)","1300","-1"
"153000113","","0","2","14","(31020004,20)","(31000105,10)","1400","0"
"153000114","","0","2","15","(0)","(31020061,2)","1500","-1"
"153000115","","0","2","16","(31010176,20)","(31000005,2)","1600","0"
"153000116","","0","2","17","(31020003,3)","(31000012,1)","1700","0"
"153000117","","0","2","18","(31010043,5)","(31000027,5)","1800","0"
"153000118","","0","2","19","(0)","(31000094,2)","1900","-1"
"153000119","","0","2","20","(31102206,2)","(31010176,500)","2000","1"
"153000120","","0","2","21","(31000029,2)","(31000099,10)","2100","0"
"153000121","","0","2","22","(0)","(31059001,2)","2200","-1"
"153000122","","0","2","23","(31010176,20)","(31020061,3)","2300","0"
"153000123","","0","2","24","(31000105,10)","(31000105,10)","2400","0"
"153000124","","0","2","25","(0)","(31020001,10)","2500","-1"
"153000125","","0","2","26","(31110101,5)","(31010043,10)","2600","0"
"153000126","","0","2","27","(0)","(31000106,5)","2700","-1"
"153000127","","0","2","28","(31010176,20)","(31020056,2)","2800","0"
"153000128","","0","2","29","(0)","(31000095,2)","2900","-1"
"153000129","","0","2","30","(31130339,1)","(31000178,5)","3000","1"
"153000130","","0","2","31","(0)","(31000012,1)","3100","-1"
"153000131","","0","2","32","(31110001,5)","(31000096,1)","3200","0"
"153000132","","0","2","33","(31010043,5)","(31000030,2)","3300","0"
"153000133","","0","2","34","(0)","(31000112,1)","3400","-1"
"153000134","","0","2","35","(31010176,30)","(31000099,10)","3500","0"
"153000135","","0","2","36","(31020008,10)","(31130337,2)","3600","0"
"153000136","","0","2","37","(0)","(31000099,10)","3700","-1"
"153000137","","0","2","38","(31020061,4)","(31000031,2)","3800","0"
"153000138","","0","2","39","(0)","(31000178,2)","3900","-1"
"153000139","","0","2","40","(31010044,2)","(31010176,500)","4000","1"
"153000140","","0","2","41","(0)","(31020005,4)","4100","-1"
"153000141","","0","2","42","(31000099,10)","(31020008,10)","4200","0"
"153000142","","0","2","43","(0)","(31010044,2)","4300","-1"
"153000143","","0","2","44","(31010176,30)","(31061003,1)","4400","0"
"153000144","","0","2","45","(0)","(31000029,5)","4500","-1"
"153000145","","0","2","46","(31000012,1)","(31000112,1)","4600","0"
"153000146","","0","2","47","(0)","(31000099,10)","4700","-1"
"153000147","","0","2","48","(31000028,10)","(31020061,4)","4800","0"
"153000148","","0","2","49","(0)","(31020008,10)","4900","-1"
"153000149","","0","2","50","(31102246,1)","(31000063,1)","5000","1"
"153000150","","0","2","51","(0)","(31010043,10)","5100","-1"
"153000151","","0","2","52","(0)","(31140132,10)","5200","-1"
"153000152","","0","2","53","(31000029,5)","(31000037,2)","5300","0"
"153000153","","0","2","54","(31010176,30)","(31000033,2)","5400","0"
"153000154","","0","2","55","(0)","(31020005,2)","5500","-1"
"153000155","","0","2","56","(31061003,2)","(31010107,10)","5600","0"
"153000156","","0","2","57","(0)","(31000032,2)","5700","-1"
"153000157","","0","2","58","(31000105,5)","(31020001,10)","5800","0"
"153000158","","0","2","59","(0)","(31010044,4)","5900","-1"
"153000159","","0","2","60","(31130463,1)","(31010176,500)","6000","1"
"153000160","","0","2","61","(0)","(31020061,4)","6100","-1"
"153000161","","0","2","62","(31020061,3)","(31000031,2)","6200","0"
"153000162","","0","2","63","(0)","(31000012,1)","6300","-1"
"153000163","","0","2","64","(31020002,5)","(31000090,2)","6400","0"
"153000164","","0","2","65","(31010176,30)","(31000105,10)","6500","0"
"153000165","","0","2","66","(0)","(31000034,2)","6600","-1"
"153000166","","0","2","67","(31020008,10)","(31061003,2)","6700","0"
"153000167","","0","2","68","(0)","(31000036,2)","6800","-1"
"153000168","","0","2","69","(31000178,1)","(31010044,4)","6900","0"
"153000169","","0","2","70","(31131129,5)","(31000178,5)","7000","1"
"153000170","","0","2","71","(0)","(31000099,10)","7100","-1"
"153000171","","0","2","72","(0)","(31000033,2)","7200","-1"
"153000172","","0","2","73","(31000027,3)","(31130408,1)","7300","0"
"153000173","","0","2","74","(0)","(31000030,2)","7400","-1"
"153000174","","0","2","75","(31010176,30)","(31000176,1)","7500","0"
"153000175","","0","2","76","(0)","(31020005,2)","7600","-1"
"153000176","","0","2","77","(0)","(31140132,10)","7700","-1"
"153000177","","0","2","78","(31020002,2)","(31000034,2)","7800","0"
"153000178","","0","2","79","(0)","(31010044,4)","7900","-1"
"153000179","","0","2","80","(31000176,1)","(31000176,4)","8000","1"
"153000180","","0","2","81","(31020001,5)","(31110103,2)","8100","0"
"153000181","","0","2","82","(31010176,30)","(31000035,2)","8200","0"
"153000182","","0","2","83","(0)","(31000105,10)","8300","-1"
"153000183","","0","2","84","(0)","(31000099,10)","8400","-1"
"153000184","","0","2","85","(31061002,3)","(31000034,2)","8500","0"
"153000185","","0","2","86","(0)","(31010107,20)","8600","-1"
"153000186","","0","2","87","(31010176,50)","(31010044,4)","8700","0"
"153000187","","0","2","88","(0)","(31059001,2)","8800","-1"
"153000188","","0","2","89","(0)","(31000091,1)","8900","-1"
"153000189","","0","2","90","(31102505,1)","(31000177,1)","9000","1"
"153000190","","0","2","91","(0)","(31110003,2)","9100","-1"
"153000191","","0","2","92","(31000106,5)","(31000033,2)","9200","0"
"153000192","","0","2","93","(0)","(31000031,2)","9300","-1"
"153000193","","0","2","94","(0)","(31000012,1)","9400","-1"
"153000194","","0","2","95","(31010176,50)","(31000037,2)","9500","0"
"153000195","","0","2","96","(0)","(31000096,1)","9600","-1"
"153000196","","0","2","97","(31000178,1)","(31000099,10)","9700","0"
"153000197","","0","2","98","(0)","(31000178,2)","9800","-1"
"153000198","","0","2","99","(0)","(31010044,4)","9900","-1"
"153000199","","0","2","100","(31102510,1)","(31000174,1)","10000","1"
"153000200","90111000","0","3","1","(31041033,2)","(31140201,2)","100","1"
"153000201","","0","3","2","(31020004,10)","(31020003,10)","200","0"
"153000202","","0","3","3","(0)","(31020002,5)","300","-1"
"153000203","","0","3","4","(31010176,20)","(31010043,5)","400","0"
"153000204","","0","3","5","(31020007,10)","(31020008,10)","500","0"
"153000205","","0","3","6","(0)","(31000028,10)","600","-1"
"153000206","","0","3","7","(31010176,20)","(31000004,2)","700","0"
"153000207","","0","3","8","(0)","(31000040,20)","800","-1"
"153000208","","0","3","9","(31020061,2)","(31010107,10)","900","0"
"153000209","","0","3","10","(31059001,2)","(31000178,5)","1000","1"
"153000210","","0","3","11","(0)","(31010044,4)","1100","-1"
"153000211","","0","3","12","(31000040,10)","(31000029,6)","1200","0"
"153000212","","0","3","13","(0)","(31000086,12)","1300","-1"
"153000213","","0","3","14","(31020004,20)","(31000105,12)","1400","0"
"153000214","","0","3","15","(0)","(31020061,3)","1500","-1"
"153000215","","0","3","16","(31010176,20)","(31000005,2)","1600","0"
"153000216","","0","3","17","(31020003,3)","(31000012,1)","1700","0"
"153000217","","0","3","18","(31010043,5)","(31000027,6)","1800","0"
"153000218","","0","3","19","(0)","(31000094,3)","1900","-1"
"153000219","","0","3","20","(31102206,2)","(31010176,600)","2000","1"
"153000220","","0","3","21","(31000029,2)","(31000099,10)","2100","0"
"153000221","","0","3","22","(0)","(31059001,2)","2200","-1"
"153000222","","0","3","23","(31010176,20)","(31020061,3)","2300","0"
"153000223","","0","3","24","(31000105,10)","(31000105,10)","2400","0"
"153000224","","0","3","25","(0)","(31020001,10)","2500","-1"
"153000225","","0","3","26","(31110101,5)","(31010043,10)","2600","0"
"153000226","","0","3","27","(0)","(31000106,5)","2700","-1"
"153000227","","0","3","28","(31010176,20)","(31131129,5)","2800","0"
"153000228","","0","3","29","(0)","(31000095,2)","2900","-1"
"153000229","","0","3","30","(31130339,1)","(31130462,2)","3000","1"
"153000230","","0","3","31","(0)","(31000012,2)","3100","-1"
"153000231","","0","3","32","(31110001,5)","(31000096,1)","3200","0"
"153000232","","0","3","33","(31010043,5)","(31000030,3)","3300","0"
"153000233","","0","3","34","(0)","(31000112,1)","3400","-1"
"153000234","","0","3","35","(31010176,30)","(31000099,10)","3500","0"
"153000235","","0","3","36","(31020008,10)","(31130337,3)","3600","0"
"153000236","","0","3","37","(0)","(31000099,12)","3700","-1"
"153000237","","0","3","38","(31020061,4)","(31000031,3)","3800","0"
"153000238","","0","3","39","(0)","(31130462,1)","3900","-1"
"153000239","","0","3","40","(31010044,2)","(31010176,600)","4000","1"
"153000240","","0","3","41","(0)","(31020005,4)","4100","-1"
"153000241","","0","3","42","(31000099,10)","(31020008,10)","4200","0"
"153000242","","0","3","43","(0)","(31010044,2)","4300","-1"
"153000243","","0","3","44","(31010176,30)","(31061003,1)","4400","0"
"153000244","","0","3","45","(0)","(31000029,5)","4500","-1"
"153000245","","0","3","46","(31000012,1)","(31000112,1)","4600","0"
"153000246","","0","3","47","(0)","(31000099,10)","4700","-1"
"153000247","","0","3","48","(31000028,10)","(31020061,4)","4800","0"
"153000248","","0","3","49","(0)","(31020008,10)","4900","-1"
"153000249","","0","3","50","(31102246,1)","(31140201,2)","5000","1"
"153000250","","0","3","51","(0)","(31010043,12)","5100","-1"
"153000251","","0","3","52","(0)","(31140132,12)","5200","-1"
"153000252","","0","3","53","(31000029,5)","(31000037,3)","5300","0"
"153000253","","0","3","54","(31010176,30)","(31000033,3)","5400","0"
"153000254","","0","3","55","(0)","(31020005,3)","5500","-1"
"153000255","","0","3","56","(31061003,2)","(31010107,12)","5600","0"
"153000256","","0","3","57","(0)","(31000032,3)","5700","-1"
"153000257","","0","3","58","(31000105,5)","(31020001,12)","5800","0"
"153000258","","0","3","59","(0)","(31010044,4)","5900","-1"
"153000259","","0","3","60","(31130463,1)","(31010176,600)","6000","1"
"153000260","","0","3","61","(0)","(31020061,4)","6100","-1"
"153000261","","0","3","62","(31020061,3)","(31000031,2)","6200","0"
"153000262","","0","3","63","(0)","(31000012,1)","6300","-1"
"153000263","","0","3","64","(31020002,5)","(31000090,2)","6400","0"
"153000264","","0","3","65","(31010176,30)","(31000105,10)","6500","0"
"153000265","","0","3","66","(0)","(31000034,2)","6600","-1"
"153000266","","0","3","67","(31020008,10)","(31061003,2)","6700","0"
"153000267","","0","3","68","(0)","(31000036,2)","6800","-1"
"153000268","","0","3","69","(31000178,1)","(31010044,4)","6900","0"
"153000269","","0","3","70","(31131129,5)","(31000179,2)","7000","1"
"153000270","","0","3","71","(0)","(31000099,12)","7100","-1"
"153000271","","0","3","72","(0)","(31000033,3)","7200","-1"
"153000272","","0","3","73","(31000027,3)","(31130408,3)","7300","0"
"153000273","","0","3","74","(0)","(31000030,3)","7400","-1"
"153000274","","0","3","75","(31010176,30)","(31000176,2)","7500","0"
"153000275","","0","3","76","(0)","(31020005,4)","7600","-1"
"153000276","","0","3","77","(0)","(31140132,12)","7700","-1"
"153000277","","0","3","78","(31020002,2)","(31000034,3)","7800","0"
"153000278","","0","3","79","(0)","(31010044,4)","7900","-1"
"153000279","","0","3","80","(31000176,1)","(31000182,4)","8000","1"
"153000280","","0","3","81","(31020001,5)","(31110103,2)","8100","0"
"153000281","","0","3","82","(31010176,30)","(31000035,2)","8200","0"
"153000282","","0","3","83","(0)","(31000105,10)","8300","-1"
"153000283","","0","3","84","(0)","(31000099,10)","8400","-1"
"153000284","","0","3","85","(31061002,3)","(31000034,2)","8500","0"
"153000285","","0","3","86","(0)","(31010107,20)","8600","-1"
"153000286","","0","3","87","(31010176,50)","(31010044,4)","8700","0"
"153000287","","0","3","88","(0)","(31059001,2)","8800","-1"
"153000288","","0","3","89","(0)","(31000091,1)","8900","-1"
"153000289","","0","3","90","(31102505,1)","(31000180,4)","9000","1"
"153000290","","0","3","91","(0)","(31110003,2)","9100","-1"
"153000291","","0","3","92","(31000106,5)","(31000033,3)","9200","0"
"153000292","","0","3","93","(0)","(31000031,3)","9300","-1"
"153000293","","0","3","94","(0)","(31000012,1)","9400","-1"
"153000294","","0","3","95","(31010176,50)","(31000037,3)","9500","0"
"153000295","","0","3","96","(0)","(31000096,1)","9600","-1"
"153000296","","0","3","97","(31000178,1)","(31000099,12)","9700","0"
"153000297","","0","3","98","(0)","(31130462,2)","9800","-1"
"153000298","","0","3","99","(0)","(31010044,4)","9900","-1"
"153000299","","0","3","100","(31102510,1)","(31000174,1)","10000","1"
"153000300","90111000","0","4","1","(31041033,2)","(31000177,1)","100","1"
"153000301","","0","4","2","(31020004,10)","(31020003,10)","200","0"
"153000302","","0","4","3","(0)","(31020002,5)","300","-1"
"153000303","","0","4","4","(31010176,20)","(31010043,5)","400","0"
"153000304","","0","4","5","(31020007,10)","(31020008,10)","500","0"
"153000305","","0","4","6","(0)","(31000028,10)","600","-1"
"153000306","","0","4","7","(31010176,20)","(31000004,2)","700","0"
"153000307","","0","4","8","(0)","(31000040,20)","800","-1"
"153000308","","0","4","9","(31020061,2)","(31010107,10)","900","0"
"153000309","","0","4","10","(31059001,2)","(31141061,3)","1000","1"
"153000310","","0","4","11","(0)","(31010044,4)","1100","-1"
"153000311","","0","4","12","(31000040,10)","(31000029,6)","1200","0"
"153000312","","0","4","13","(0)","(31000086,12)","1300","-1"
"153000313","","0","4","14","(31020004,20)","(31000105,12)","1400","0"
"153000314","","0","4","15","(0)","(31020061,3)","1500","-1"
"153000315","","0","4","16","(31010176,20)","(31000005,2)","1600","0"
"153000316","","0","4","17","(31020003,3)","(31000012,1)","1700","0"
"153000317","","0","4","18","(31010043,5)","(31000027,6)","1800","0"
"153000318","","0","4","19","(0)","(31000094,3)","1900","-1"
"153000319","","0","4","20","(31102206,2)","(31010176,700)","2000","1"
"153000320","","0","4","21","(31000029,2)","(31000099,10)","2100","0"
"153000321","","0","4","22","(0)","(31059001,2)","2200","-1"
"153000322","","0","4","23","(31010176,20)","(31020061,3)","2300","0"
"153000323","","0","4","24","(31000105,10)","(31000105,10)","2400","0"
"153000324","","0","4","25","(0)","(31020001,10)","2500","-1"
"153000325","","0","4","26","(31110101,5)","(31010043,10)","2600","0"
"153000326","","0","4","27","(0)","(31000106,5)","2700","-1"
"153000327","","0","4","28","(31010176,20)","(31131129,5)","2800","0"
"153000328","","0","4","29","(0)","(31000095,2)","2900","-1"
"153000329","","0","4","30","(31130339,1)","(31000179,2)","3000","1"
"153000330","","0","4","31","(0)","(31000012,2)","3100","-1"
"153000331","","0","4","32","(31110001,5)","(31000096,1)","3200","0"
"153000332","","0","4","33","(31010043,5)","(31000030,3)","3300","0"
"153000333","","0","4","34","(0)","(31000112,1)","3400","-1"
"153000334","","0","4","35","(31010176,30)","(31000099,10)","3500","0"
"153000335","","0","4","36","(31020008,10)","(31130337,3)","3600","0"
"153000336","","0","4","37","(0)","(31000099,12)","3700","-1"
"153000337","","0","4","38","(31020061,4)","(31000031,3)","3800","0"
"153000338","","0","4","39","(0)","(31130462,1)","3900","-1"
"153000339","","0","4","40","(31010044,2)","(31010176,700)","4000","1"
"153000340","","0","4","41","(0)","(31020005,4)","4100","-1"
"153000341","","0","4","42","(31000099,10)","(31020008,10)","4200","0"
"153000342","","0","4","43","(0)","(31010044,2)","4300","-1"
"153000343","","0","4","44","(31010176,30)","(31061003,1)","4400","0"
"153000344","","0","4","45","(0)","(31000029,5)","4500","-1"
"153000345","","0","4","46","(31000012,1)","(31000112,1)","4600","0"
"153000346","","0","4","47","(0)","(31000099,10)","4700","-1"
"153000347","","0","4","48","(31000028,10)","(31020061,4)","4800","0"
"153000348","","0","4","49","(0)","(31020008,10)","4900","-1"
"153000349","","0","4","50","(31102246,1)","(31141061,3)","5000","1"
"153000350","","0","4","51","(0)","(31010043,12)","5100","-1"
"153000351","","0","4","52","(0)","(31140132,12)","5200","-1"
"153000352","","0","4","53","(31000029,5)","(31000037,3)","5300","0"
"153000353","","0","4","54","(31010176,30)","(31000033,3)","5400","0"
"153000354","","0","4","55","(0)","(31020005,3)","5500","-1"
"153000355","","0","4","56","(31061003,2)","(31010107,12)","5600","0"
"153000356","","0","4","57","(0)","(31000032,3)","5700","-1"
"153000357","","0","4","58","(31000105,5)","(31020001,12)","5800","0"
"153000358","","0","4","59","(0)","(31010044,4)","5900","-1"
"153000359","","0","4","60","(31130463,1)","(31010176,700)","6000","1"
"153000360","","0","4","61","(0)","(31020061,4)","6100","-1"
"153000361","","0","4","62","(31020061,3)","(31000031,2)","6200","0"
"153000362","","0","4","63","(0)","(31000012,1)","6300","-1"
"153000363","","0","4","64","(31020002,5)","(31000090,2)","6400","0"
"153000364","","0","4","65","(31010176,30)","(31000105,10)","6500","0"
"153000365","","0","4","66","(0)","(31000034,2)","6600","-1"
"153000366","","0","4","67","(31020008,10)","(31061003,2)","6700","0"
"153000367","","0","4","68","(0)","(31000036,2)","6800","-1"
"153000368","","0","4","69","(31000178,1)","(31010044,4)","6900","0"
"153000369","","0","4","70","(31131129,5)","(31000179,3)","7000","1"
"153000370","","0","4","71","(0)","(31000099,12)","7100","-1"
"153000371","","0","4","72","(0)","(31000033,3)","7200","-1"
"153000372","","0","4","73","(31000027,3)","(31130408,3)","7300","0"
"153000373","","0","4","74","(0)","(31000030,3)","7400","-1"
"153000374","","0","4","75","(31010176,30)","(31000176,2)","7500","0"
"153000375","","0","4","76","(0)","(31020005,4)","7600","-1"
"153000376","","0","4","77","(0)","(31140132,12)","7700","-1"
"153000377","","0","4","78","(31020002,2)","(31000034,3)","7800","0"
"153000378","","0","4","79","(0)","(31010044,4)","7900","-1"
"153000379","","0","4","80","(31000176,1)","(31000180,2)","8000","1"
"153000380","","0","4","81","(31020001,5)","(31110103,2)","8100","0"
"153000381","","0","4","82","(31010176,30)","(31000035,2)","8200","0"
"153000382","","0","4","83","(0)","(31000105,10)","8300","-1"
"153000383","","0","4","84","(0)","(31000099,10)","8400","-1"
"153000384","","0","4","85","(31061002,3)","(31000034,2)","8500","0"
"153000385","","0","4","86","(0)","(31010107,20)","8600","-1"
"153000386","","0","4","87","(31010176,50)","(31010044,4)","8700","0"
"153000387","","0","4","88","(0)","(31059001,2)","8800","-1"
"153000388","","0","4","89","(0)","(31000091,1)","8900","-1"
"153000389","","0","4","90","(31102505,1)","(31141062,1)","9000","1"
"153000390","","0","4","91","(0)","(31110003,2)","9100","-1"
"153000391","","0","4","92","(31000106,5)","(31000033,3)","9200","0"
"153000392","","0","4","93","(0)","(31000031,3)","9300","-1"
"153000393","","0","4","94","(0)","(31000012,1)","9400","-1"
"153000394","","0","4","95","(31010176,50)","(31000037,3)","9500","0"
"153000395","","0","4","96","(0)","(31000096,1)","9600","-1"
"153000396","","0","4","97","(31000178,1)","(31000099,12)","9700","0"
"153000397","","0","4","98","(0)","(31130462,2)","9800","-1"
"153000398","","0","4","99","(0)","(31010044,4)","9900","-1"
"153000399","","0","4","100","(31102510,1)","(31141062,2)","10000","1"
"153000400","90111000","2","1","1","(31041033,2)","(31010058,5)","100","1"
"153000401","","2","1","2","(31020004,10)","(31020003,10)","200","0"
"153000402","","2","1","3","(0)","(31020002,5)","300","-1"
"153000403","","2","1","4","(31010176,20)","(31010043,5)","400","0"
"153000404","","2","1","5","(31020007,10)","(31020008,10)","500","0"
"153000405","","2","1","6","(0)","(31000028,10)","600","-1"
"153000406","","2","1","7","(31010176,20)","(31000004,2)","700","0"
"153000407","","2","1","8","(0)","(31000040,20)","800","-1"
"153000408","","2","1","9","(31020061,2)","(31010107,10)","900","0"
"153000409","","2","1","10","(31059001,2)","(31041034,2)","1000","1"
"153000410","","2","1","11","(0)","(31010044,4)","1100","-1"
"153000411","","2","1","12","(31000040,10)","(31000029,5)","1200","0"
"153000412","","2","1","13","(0)","(31000086,10)","1300","-1"
"153000413","","2","1","14","(31020004,20)","(31000105,10)","1400","0"
"153000414","","2","1","15","(0)","(31020061,2)","1500","-1"
"153000415","","2","1","16","(31010176,20)","(31000005,2)","1600","0"
"153000416","","2","1","17","(31020003,3)","(31000012,1)","1700","0"
"153000417","","2","1","18","(31010043,5)","(31000027,5)","1800","0"
"153000418","","2","1","19","(0)","(31000094,2)","1900","-1"
"153000419","","2","1","20","(31102206,2)","(31010176,500)","2000","1"
"153000420","","2","1","21","(31000029,2)","(31000099,10)","2100","0"
"153000421","","2","1","22","(0)","(31059001,2)","2200","-1"
"153000422","","2","1","23","(31010176,20)","(31020061,3)","2300","0"
"153000423","","2","1","24","(31000105,10)","(31000105,10)","2400","0"
"153000424","","2","1","25","(0)","(31020001,10)","2500","-1"
"153000425","","2","1","26","(31110101,5)","(31010043,10)","2600","0"
