"AttributeId","BeastSpiritType","ItemId","UseNumArray","UnlockConditionArray","GetAttributes","ShowIndex"
"66500014","1","31102229","(1440,1440,1440,1440)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,2320,0,1,4,5,310,0,1,4,6,350,0,1,4,7,735,0,1)","13"
"66500015","1","31102230","(600,600,600,600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,3310,0,1,4,5,445,0,1,4,6,500,0,1,4,7,1050,0,1)","14"
"66500016","1","31102236","(3600,3600,3600,3600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,700,0,1,4,5,95,0,1,4,6,105,0,1,4,7,220,0,1)","15"
"66500017","1","31102237","(2700,2700,2700,2700)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,1130,0,1,4,5,155,0,1,4,6,170,0,1,4,7,360,0,1)","16"
"66500018","1","31102238","(2160,2160,2160,2160)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,1740,0,1,4,5,235,0,1,4,6,265,0,1,4,7,550,0,1)","17"
"66500019","1","31102239","(1440,1440,1440,1440)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,2440,0,1,4,5,325,0,1,4,6,365,0,1,4,7,770,0,1)","18"
"66500020","1","31102240","(600,600,600,600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,3480,0,1,4,5,465,0,1,4,6,525,0,1,4,7,1100,0,1)","19"
"66500021","1","31102246","(3600,3600,3600,3600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,730,0,1,4,5,100,0,1,4,6,110,0,1,4,7,235,0,1)","20"
"66500022","1","31102247","(2700,2700,2700,2700)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,1190,0,1,4,5,160,0,1,4,6,180,0,1,4,7,380,0,1)","21"
"66500023","1","31102248","(2160,2160,2160,2160)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,1830,0,1,4,5,245,0,1,4,6,275,0,1,4,7,580,0,1)","22"
"66500024","1","31102249","(1440,1440,1440,1440)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,2560,0,1,4,5,345,0,1,4,6,385,0,1,4,7,810,0,1)","23"
"66500025","1","31102250","(600,600,600,600)","(31040001,1,31040011,1,31040021,1,31040031,1)","(4,8,3650,0,1,4,5,490,0,1,4,6,550,0,1,4,7,1155,0,1)","24"
"66600001","2","31102501","(3600)","(0)","(4,8,600,0,1,4,5,80,0,1,4,6,90,0,1,4,7,190,0,1)","0"
"66600002","2","31102502","(2700)","(0)","(4,8,980,0,1,4,5,130,0,1,4,6,150,0,1,4,7,310,0,1)","1"
"66600003","2","31102503","(2160)","(0)","(4,8,1500,0,1,4,5,200,0,1,4,6,225,0,1,4,7,475,0,1)","2"
"66600004","2","31102504","(1440)","(0)","(4,8,2100,0,1,4,5,280,0,1,4,6,315,0,1,4,7,665,0,1)","3"
"66600005","2","31102505","(600)","(0)","(4,8,3000,0,1,4,5,400,0,1,4,6,450,0,1,4,7,950,0,1)","4"
"66600006","2","31102506","(3600)","(0)","(4,8,630,0,1,4,5,85,0,1,4,6,95,0,1,4,7,200,0,1)","5"
"66600007","2","31102507","(2700)","(0)","(4,8,1030,0,1,4,5,140,0,1,4,6,155,0,1,4,7,325,0,1)","6"
"66600008","2","31102508","(2160)","(0)","(4,8,1580,0,1,4,5,210,0,1,4,6,240,0,1,4,7,500,0,1)","7"
"66600009","2","31102509","(1440)","(0)","(4,8,2210,0,1,4,5,295,0,1,4,6,335,0,1,4,7,700,0,1)","8"
"66600010","2","31102510","(600)","(0)","(4,8,3150,0,1,4,5,420,0,1,4,6,475,0,1,4,7,1000,0,1)","9"
"66600011","2","31102511","(3600)","(0)","(4,8,670,0,1,4,5,90,0,1,4,6,100,0,1,4,7,210,0,1)","10"
"66600012","2","31102512","(2700)","(0)","(4,8,1080,0,1,4,5,145,0,1,4,6,165,0,1,4,7,345,0,1)","11"
"66600013","2","31102513","(2160)","(0)","(4,8,1660,0,1,4,5,225,0,1,4,6,250,0,1,4,7,525,0,1)","12"
"66600014","2","31102514","(1440)","(0)","(4,8,2320,0,1,4,5,310,0,1,4,6,350,0,1,4,7,735,0,1)","13"
"66600015","2","31102515","(600)","(0)","(4,8,3310,0,1,4,5,445,0,1,4,6,500,0,1,4,7,1050,0,1)","14"
"66600016","2","31102516","(3600)","(0)","(4,8,700,0,1,4,5,95,0,1,4,6,105,0,1,4,7,220,0,1)","15"
"66600017","2","31102517","(2700)","(0)","(4,8,1130,0,1,4,5,155,0,1,4,6,170,0,1,4,7,360,0,1)","16"
"66600018","2","31102518","(2160)","(0)","(4,8,1740,0,1,4,5,235,0,1,4,6,265,0,1,4,7,550,0,1)","17"
"66600019","2","31102519","(1440)","(0)","(4,8,2440,0,1,4,5,325,0,1,4,6,365,0,1,4,7,770,0,1)","18"
"66600020","2","31102520","(600)","(0)","(4,8,3480,0,1,4,5,465,0,1,4,6,525,0,1,4,7,1100,0,1)","19"
"66600021","2","31102521","(3600)","(0)","(4,8,730,0,1,4,5,100,0,1,4,6,110,0,1,4,7,235,0,1)","20"
"66600022","2","31102522","(2700)","(0)","(4,8,1190,0,1,4,5,160,0,1,4,6,180,0,1,4,7,380,0,1)","21"
"66600023","2","31102523","(2160)","(0)","(4,8,1830,0,1,4,5,245,0,1,4,6,275,0,1,4,7,580,0,1)","22"
"66600024","2","31102524","(1440)","(0)","(4,8,2560,0,1,4,5,345,0,1,4,6,385,0,1,4,7,810,0,1)","23"
"66600025","2","31102525","(600)","(0)","(4,8,3650,0,1,4,5,490,0,1,4,6,550,0,1,4,7,1155,0,1)","24"
