"AttributeId","PropertyID","PropertyMaxLimit","GoldCost","DiamondCost","MaterialID","MaterialCost","GoldSuccinctEffectChance","DiamondSuccinctEffectChance","GoldSuccinctAttUpChance","GoldPropertyChangeRange","DiamondSuccinctAttUpChance","DiamondPropertyChangeRange","Noticeld","MaterialShopID"
"43010012","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010013","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010014","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010015","(5,6,9)","(90,100,50,200,250,110)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010016","(5,6,9)","(90,100,50,200,250,110,510,610,280)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010017","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010018","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010019","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010020","(5,6,9)","(90,100,50,200,250,110)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010021","(5,6,9)","(90,100,50,200,250,110,510,610,280)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010022","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010023","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010024","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010025","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010026","(5,6,9)","(90,100,50,200,250,110,510,610,280","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010027","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010028","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010029","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010030","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010031","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010032","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010033","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010034","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010035","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010036","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010037","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010038","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010039","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010040","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010041","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010042","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010043","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010044","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010045","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010046","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010047","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010048","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010049","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010050","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010051","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010052","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010053","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010054","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010055","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010056","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010057","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010058","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010059","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010060","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500,91360,109640,50250,289090,346910,159000)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010061","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010062","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010063","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010064","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010065","(5,6,9)","(90,100,50,200,250,110,510,610,280)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010066","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010067","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010068","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010069","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010070","(5,6,9)","(90,100,50,200,250,110)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010071","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010072","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010073","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010074","(5,6,9)","(90,100,50)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010075","(5,6,9)","(90,100,50,200,250,110)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010076","(5,6,9)","(90,100,50,200,250,110,510,610,280)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010077","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010078","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730,3610,4340,1990,10230,12270,5630,30000,36000,16500)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000158","35011008"
"43010079","(5,6,9)","(0,0,0)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","","35011008"
"43010080","(5,6,9)","(90,100,50,200,250,110)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010081","(5,6,9)","(90,100,50,200,250,110,510,610,280)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
"43010082","(5,6,9)","(90,100,50,200,250,110,510,610,280,1330,1600,730)","2000","20","31020001","1","(0,70,70,70)","(0,80,80,80)","(50,50,50)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","(100,100,100)","(-60,-1,1,60,-67,-1,1,67,-30,-1,1,30)","93000037","35011008"
