"AttributeId","UpgradeCost","RecoveryReward","DiamondRecoveryMoney","DiamondRecoveryCost"
"69010128","(26,7080)","(26,490320)","(26,612900)","(4,16075)"
"69010129","(26,7080)","(26,495984)","(26,619980)","(4,16410)"
"69010130","(26,7080)","(26,501648)","(26,627060)","(4,16750)"
"69010131","(26,7080)","(26,507312)","(26,634140)","(4,17094)"
"69010132","(26,7080)","(26,512976)","(26,641220)","(4,17442)"
"69010133","(26,7080)","(26,518640)","(26,648300)","(4,17795)"
"69010134","(26,7080)","(26,524304)","(26,655380)","(4,18152)"
"69010135","(26,7080)","(26,529968)","(26,662460)","(4,18514)"
"69010136","(26,7080)","(26,535632)","(26,669540)","(4,18880)"
"69010137","(26,7080)","(26,541296)","(26,676620)","(4,19251)"
"69010138","(26,7080)","(26,546960)","(26,683700)","(4,19626)"
"69010139","(26,7080)","(26,552624)","(26,690780)","(4,20006)"
"69010140","(26,7080)","(26,558288)","(26,697860)","(4,20390)"
"69010141","(26,7080)","(26,563952)","(26,704940)","(4,20779)"
"69010142","(26,7080)","(26,569616)","(26,712020)","(4,21172)"
"69010143","(26,7080)","(26,575280)","(26,719100)","(4,21570)"
"69010144","(26,7080)","(26,580944)","(26,726180)","(4,21973)"
"69010145","(26,7080)","(26,586608)","(26,733260)","(4,22380)"
"69010146","(26,7080)","(26,592272)","(26,740340)","(4,22792)"
"69010147","(26,7080)","(26,597936)","(26,747420)","(4,23209)"
"69010148","(26,7080)","(26,603600)","(26,754500)","(4,23631)"
"69010149","(26,7080)","(26,609264)","(26,761580)","(4,24057)"
"69010150","(26,7080)","(26,614928)","(26,768660)","(4,24488)"
"69010151","(26,7080)","(26,620592)","(26,775740)","(4,24924)"
"69010152","(26,7080)","(26,626256)","(26,782820)","(4,25365)"
"69010153","(26,7080)","(26,631920)","(26,789900)","(4,25811)"
"69010154","(26,7080)","(26,637584)","(26,796980)","(4,26261)"
"69010155","(26,7080)","(26,643248)","(26,804060)","(4,26716)"
"69010156","(26,7080)","(26,648912)","(26,811140)","(4,27176)"
"69010157","(26,7080)","(26,654576)","(26,818220)","(4,27641)"
"69010158","(26,7080)","(26,660240)","(26,825300)","(4,28111)"
"69010159","(26,7080)","(26,665904)","(26,832380)","(4,28586)"
"69010160","(26,7080)","(26,671568)","(26,839460)","(4,29066)"
"69010161","(26,7080)","(26,677232)","(26,846540)","(4,29551)"
"69010162","(26,7080)","(26,682896)","(26,853620)","(4,30041)"
"69010163","(26,7080)","(26,688560)","(26,860700)","(4,30536)"
"69010164","(26,7080)","(26,694224)","(26,867780)","(4,31036)"
"69010165","(26,7080)","(26,699888)","(26,874860)","(4,31541)"
"69010166","(26,7080)","(26,705552)","(26,881940)","(4,32052)"
"69010167","(26,7080)","(26,711216)","(26,889020)","(4,32568)"
"69010168","(26,7080)","(26,716880)","(26,896100)","(4,33089)"
"69010169","(26,7080)","(26,722544)","(26,903180)","(4,33615)"
"69010170","(26,7080)","(26,728208)","(26,910260)","(4,34146)"
"69010171","(26,7080)","(26,733872)","(26,917340)","(4,34682)"
"69010172","(26,7080)","(26,739536)","(26,924420)","(4,35224)"
"69010173","(26,7080)","(26,745200)","(26,931500)","(4,35771)"
"69010174","(26,7080)","(26,750864)","(26,938580)","(4,36323)"
"69010175","(26,7080)","(26,756528)","(26,945660)","(4,36881)"
"69010176","(26,7080)","(26,762192)","(26,952740)","(4,37444)"
"69010177","(26,7080)","(26,767856)","(26,959820)","(4,38012)"
"69010178","(26,7080)","(26,773520)","(26,966900)","(4,38586)"
"69010179","(26,7080)","(26,779184)","(26,973980)","(4,39165)"
"69010180","(26,7080)","(26,784848)","(26,981060)","(4,39749)"
"69010181","(26,7080)","(26,790512)","(26,988140)","(4,40339)"
"69010182","(26,7080)","(26,796176)","(26,995220)","(4,40934)"
"69010183","(26,7080)","(26,801840)","(26,1002300)","(4,41535)"
"69010184","(26,7080)","(26,807504)","(26,1009380)","(4,42141)"
"69010185","(26,7080)","(26,813168)","(26,1016460)","(4,42753)"
"69010186","(26,7080)","(26,818832)","(26,1023540)","(4,43370)"
"69010187","(26,7080)","(26,824496)","(26,1030620)","(4,43993)"
"69010188","(26,7080)","(26,830160)","(26,1037700)","(4,44621)"
"69010189","(26,7080)","(26,835824)","(26,1044780)","(4,45255)"
"69010190","(26,7080)","(26,841488)","(26,1051860)","(4,45895)"
"69010191","(26,7080)","(26,847152)","(26,1058940)","(4,46540)"
"69010192","(26,7080)","(26,852816)","(26,1066020)","(4,47191)"
"69010193","(26,7080)","(26,858480)","(26,1073100)","(4,47847)"
"69010194","(26,7080)","(26,864144)","(26,1080180)","(4,48509)"
"69010195","(26,7080)","(26,869808)","(26,1087260)","(4,49177)"
"69010196","(26,7080)","(26,875472)","(26,1094340)","(4,49851)"
"69010197","(26,7080)","(26,881136)","(26,1101420)","(4,50530)"
"69010198","(26,7080)","(26,886800)","(26,1108500)","(4,51215)"
"69010199","(26,7080)","(26,892464)","(26,1115580)","(4,51906)"
"69010200","","(26,898128)","(26,1122660)","(4,52603)"
"69011001","(26,1600)","(26,8360)","",""
"69011002","(26,1680)","(26,8360)","(26,8000)","(4,4)"
"69011003","(26,1760)","(26,10116)","(26,9680)","(4,6)"
"69011004","(26,1840)","(26,11956)","(26,11440)","(4,10)"
"69011005","(26,1920)","(26,13879)","(26,13280)","(4,14)"
"69011006","(26,2000)","(26,15885)","(26,15200)","(4,19)"
"69011007","(26,2080)","(26,17976)","(26,17200)","(4,25)"
"69011008","(26,2160)","(26,20149)","(26,19280)","(4,31)"
"69011009","(26,2240)","(26,22407)","(26,21440)","(4,39)"
"69011010","(26,2320)","(26,24748)","(26,23680)","(4,48)"
"69011011","(26,2400)","(26,27172)","(26,26000)","(4,58)"
"69011012","(26,2480)","(26,29680)","(26,28400)","(4,69)"
"69011013","(26,2560)","(26,32272)","(26,30880)","(4,81)"
"69011014","(26,2640)","(26,34948)","(26,33440)","(4,94)"
"69011015","(26,2720)","(26,37707)","(26,36080)","(4,109)"
"69011016","(26,2800)","(26,40549)","(26,38800)","(4,125)"
"69011017","(26,2880)","(26,43476)","(26,41600)","(4,142)"
"69011018","(26,2960)","(26,46485)","(26,44480)","(4,161)"
"69011019","(26,3040)","(26,49579)","(26,47440)","(4,181)"
"69011020","(26,3120)","(26,52756)","(26,50480)","(4,202)"
"69011021","(26,3200)","(26,56016)","(26,53600)","(4,226)"
"69011022","(26,3280)","(26,59360)","(26,56800)","(4,250)"
"69011023","(26,3360)","(26,62788)","(26,60080)","(4,277)"
"69011024","(26,3440)","(26,66300)","(26,63440)","(4,305)"
"69011025","(26,3520)","(26,69895)","(26,66880)","(4,335)"
"69011026","(26,3600)","(26,73573)","(26,70400)","(4,367)"
"69011027","(26,3680)","(26,77336)","(26,74000)","(4,400)"
"69011028","(26,3760)","(26,81181)","(26,77680)","(4,436)"
"69011029","(26,3840)","(26,85111)","(26,81440)","(4,473)"
"69011030","(26,3920)","(26,89124)","(26,85280)","(4,512)"
"69011031","(26,4000)","(26,93220)","(26,89200)","(4,554)"
"69011032","(26,4080)","(26,97400)","(26,93200)","(4,597)"
"69011033","(26,4160)","(26,101664)","(26,97280)","(4,643)"
"69011034","(26,4240)","(26,106012)","(26,101440)","(4,690)"
"69011035","(26,4320)","(26,110443)","(26,105680)","(4,740)"
"69011036","(26,4400)","(26,114957)","(26,110000)","(4,792)"
"69011037","(26,4480)","(26,119556)","(26,114400)","(4,847)"
"69011038","(26,4560)","(26,124237)","(26,118880)","(4,904)"
"69011039","(26,4640)","(26,129003)","(26,123440)","(4,963)"
"69011040","(26,4720)","(26,133852)","(26,128080)","(4,1025)"
"69011041","(26,4800)","(26,138784)","(26,132800)","(4,1089)"
"69011042","(26,4880)","(26,143800)","(26,137600)","(4,1156)"
"69011043","(26,4960)","(26,148900)","(26,142480)","(4,1226)"
"69011044","(26,5040)","(26,154084)","(26,147440)","(4,1298)"
"69011045","(26,5120)","(26,159351)","(26,152480)","(4,1373)"
"69011046","(26,5200)","(26,164701)","(26,157600)","(4,1450)"
"69011047","(26,5280)","(26,170136)","(26,162800)","(4,1531)"
"69011048","(26,5360)","(26,175653)","(26,168080)","(4,1614)"
"69011049","(26,5440)","(26,181255)","(26,173440)","(4,1700)"
"69011050","(26,5520)","(26,186940)","(26,178880)","(4,1789)"
"69011051","(26,5600)","(26,192708)","(26,184400)","(4,1881)"
"69011052","(26,5680)","(26,198560)","(26,190000)","(4,1976)"
"69011053","(26,5760)","(26,204496)","(26,195680)","(4,2075)"
"69011054","(26,5840)","(26,210516)","(26,201440)","(4,2176)"
"69011055","(26,5920)","(26,216619)","(26,207280)","(4,2281)"
"69011056","(26,6000)","(26,222805)","(26,213200)","(4,2388)"
"69011057","(26,6080)","(26,229076)","(26,219200)","(4,2499)"
"69011058","(26,6160)","(26,235429)","(26,225280)","(4,2614)"
"69011059","(26,6240)","(26,241867)","(26,231440)","(4,2731)"
"69011060","(26,6320)","(26,248388)","(26,237680)","(4,2853)"
"69011061","(26,6400)","(26,254992)","(26,244000)","(4,2977)"
"69011062","(26,6480)","(26,261680)","(26,250400)","(4,3105)"
"69011063","(26,6560)","(26,268452)","(26,256880)","(4,3237)"
"69011064","(26,6640)","(26,275308)","(26,263440)","(4,3373)"
"69011065","(26,6720)","(26,282247)","(26,270080)","(4,3512)"
"69011066","(26,6800)","(26,289269)","(26,276800)","(4,3654)"
"69011067","(26,6880)","(26,296376)","(26,283600)","(4,3801)"
"69011068","(26,6960)","(26,303565)","(26,290480)","(4,3951)"
"69011069","(26,7040)","(26,310839)","(26,297440)","(4,4105)"
"69011070","(26,7120)","(26,318196)","(26,304480)","(4,4263)"
"69011071","(26,7200)","(26,325636)","(26,311600)","(4,4425)"
"69011072","(26,7280)","(26,333160)","(26,318800)","(4,4591)"
"69011073","(26,7360)","(26,340768)","(26,326080)","(4,4761)"
"69011074","(26,7440)","(26,348460)","(26,333440)","(4,4935)"
"69011075","(26,7520)","(26,356235)","(26,340880)","(4,5114)"
"69011076","(26,7600)","(26,364093)","(26,348400)","(4,5296)"
"69011077","(26,7680)","(26,372036)","(26,356000)","(4,5483)"
"69011078","(26,7760)","(26,380061)","(26,363680)","(4,5674)"
"69011079","(26,7840)","(26,388171)","(26,371440)","(4,5869)"
"69011080","(26,7920)","(26,396364)","(26,379280)","(4,6069)"
"69011081","(26,8000)","(26,404640)","(26,387200)","(4,6273)"
"69011082","(26,8080)","(26,413000)","(26,395200)","(4,6482)"
"69011083","(26,8160)","(26,421444)","(26,403280)","(4,6695)"
"69011084","(26,8240)","(26,429972)","(26,411440)","(4,6913)"
"69011085","(26,8320)","(26,438583)","(26,419680)","(4,7135)"
"69011086","(26,8400)","(26,447277)","(26,428000)","(4,7362)"
"69011087","(26,8480)","(26,456056)","(26,436400)","(4,7594)"
"69011088","(26,8560)","(26,464917)","(26,444880)","(4,7830)"
"69011089","(26,8640)","(26,473863)","(26,453440)","(4,8072)"
"69011090","(26,8720)","(26,482892)","(26,462080)","(4,8318)"
"69011091","(26,8800)","(26,492004)","(26,470800)","(4,8569)"
"69011092","(26,8880)","(26,501200)","(26,479600)","(4,8825)"
"69011093","(26,8960)","(26,510480)","(26,488480)","(4,9086)"
"69011094","(26,9040)","(26,519844)","(26,497440)","(4,9352)"
"69011095","(26,9120)","(26,529291)","(26,506480)","(4,9624)"
"69011096","(26,9200)","(26,538821)","(26,515600)","(4,9900)"
"69011097","(26,9280)","(26,548436)","(26,524800)","(4,10182)"
"69011098","(26,9360)","(26,558133)","(26,534080)","(4,10468)"
"69011099","(26,9440)","(26,567915)","(26,543440)","(4,10761)"
"69011100","(26,9440)","(26,575467)","(26,552880)","(4,11058)"
"69011101","(26,9440)","(26,583019)","(26,562320)","(4,11359)"
"69011102","(26,9440)","(26,590571)","(26,571760)","(4,11665)"
"69011103","(26,9440)","(26,598123)","(26,581200)","(4,11976)"
"69011104","(26,9440)","(26,605675)","(26,590640)","(4,12292)"
"69011105","(26,9440)","(26,613227)","(26,600080)","(4,12614)"
"69011106","(26,9440)","(26,620779)","(26,609520)","(4,12941)"
"69011107","(26,9440)","(26,628331)","(26,618960)","(4,13273)"
"69011108","(26,9440)","(26,635883)","(26,628400)","(4,13611)"
"69011109","(26,9440)","(26,643435)","(26,637840)","(4,13954)"
"69011110","(26,9440)","(26,650987)","(26,647280)","(4,14303)"
"69011111","(26,9440)","(26,658539)","(26,656720)","(4,14657)"
"69011112","(26,9440)","(26,666091)","(26,666160)","(4,15017)"
"69011113","(26,9440)","(26,673643)","(26,675600)","(4,15382)"
"69011114","(26,9440)","(26,681195)","(26,685040)","(4,15753)"
"69011115","(26,9440)","(26,688747)","(26,694480)","(4,16130)"
"69011116","(26,9440)","(26,696299)","(26,703920)","(4,16512)"
"69011117","(26,9440)","(26,703851)","(26,713360)","(4,16900)"
"69011118","(26,9440)","(26,711403)","(26,722800)","(4,17294)"
"69011119","(26,9440)","(26,718955)","(26,732240)","(4,17694)"
"69011120","(26,9440)","(26,726507)","(26,741680)","(4,18099)"
"69011121","(26,9440)","(26,734059)","(26,751120)","(4,18510)"
"69011122","(26,9440)","(26,741611)","(26,760560)","(4,18927)"
"69011123","(26,9440)","(26,749163)","(26,770000)","(4,19350)"
"69011124","(26,9440)","(26,756715)","(26,779440)","(4,19779)"
"69011125","(26,9440)","(26,764267)","(26,788880)","(4,20214)"
"69011126","(26,9440)","(26,771819)","(26,798320)","(4,20655)"
"69011127","(26,9440)","(26,779371)","(26,807760)","(4,21102)"
"69011128","(26,9440)","(26,786923)","(26,817200)","(4,21555)"
"69011129","(26,9440)","(26,794475)","(26,826640)","(4,22015)"
"69011130","(26,9440)","(26,802027)","(26,836080)","(4,22481)"
"69011131","(26,9440)","(26,809579)","(26,845520)","(4,22953)"
"69011132","(26,9440)","(26,817131)","(26,854960)","(4,23431)"
"69011133","(26,9440)","(26,824683)","(26,864400)","(4,23916)"
"69011134","(26,9440)","(26,832235)","(26,873840)","(4,24407)"
"69011135","(26,9440)","(26,839787)","(26,883280)","(4,24904)"
"69011136","(26,9440)","(26,847339)","(26,892720)","(4,25408)"
"69011137","(26,9440)","(26,854891)","(26,902160)","(4,25918)"
"69011138","(26,9440)","(26,862443)","(26,911600)","(4,26435)"
"69011139","(26,9440)","(26,869995)","(26,921040)","(4,26958)"
"69011140","(26,9440)","(26,877547)","(26,930480)","(4,27488)"
"69011141","(26,9440)","(26,885099)","(26,939920)","(4,28024)"
"69011142","(26,9440)","(26,892651)","(26,949360)","(4,28567)"
"69011143","(26,9440)","(26,900203)","(26,958800)","(4,29116)"
"69011144","(26,9440)","(26,907755)","(26,968240)","(4,29672)"
"69011145","(26,9440)","(26,915307)","(26,977680)","(4,30235)"
"69011146","(26,9440)","(26,922859)","(26,987120)","(4,30805)"
"69011147","(26,9440)","(26,930411)","(26,996560)","(4,31381)"
"69011148","(26,9440)","(26,937963)","(26,1006000)","(4,31964)"
"69011149","(26,9440)","(26,945515)","(26,1015440)","(4,32554)"
"69011150","(26,9440)","(26,953067)","(26,1024880)","(4,33151)"
"69011151","(26,9440)","(26,960619)","(26,1034320)","(4,33755)"
"69011152","(26,9440)","(26,968171)","(26,1043760)","(4,34366)"
"69011153","(26,9440)","(26,975723)","(26,1053200)","(4,34984)"
"69011154","(26,9440)","(26,983275)","(26,1062640)","(4,35609)"
"69011155","(26,9440)","(26,990827)","(26,1072080)","(4,36241)"
"69011156","(26,9440)","(26,998379)","(26,1081520)","(4,36880)"
"69011157","(26,9440)","(26,1005931)","(26,1090960)","(4,37526)"
"69011158","(26,9440)","(26,1013483)","(26,1100400)","(4,38179)"
"69011159","(26,9440)","(26,1021035)","(26,1109840)","(4,38839)"
"69011160","(26,9440)","(26,1028587)","(26,1119280)","(4,39507)"
"69011161","(26,9440)","(26,1036139)","(26,1128720)","(4,40182)"
"69011162","(26,9440)","(26,1043691)","(26,1138160)","(4,40864)"
"69011163","(26,9440)","(26,1051243)","(26,1147600)","(4,41553)"
"69011164","(26,9440)","(26,1058795)","(26,1157040)","(4,42250)"
"69011165","(26,9440)","(26,1066347)","(26,1166480)","(4,42954)"
"69011166","(26,9440)","(26,1073899)","(26,1175920)","(4,43666)"
"69011167","(26,9440)","(26,1081451)","(26,1185360)","(4,44385)"
"69011168","(26,9440)","(26,1089003)","(26,1194800)","(4,45111)"
"69011169","(26,9440)","(26,1096555)","(26,1204240)","(4,45845)"
"69011170","(26,9440)","(26,1104107)","(26,1213680)","(4,46587)"
"69011171","(26,9440)","(26,1111659)","(26,1223120)","(4,47336)"
"69011172","(26,9440)","(26,1119211)","(26,1232560)","(4,48093)"
"69011173","(26,9440)","(26,1126763)","(26,1242000)","(4,48857)"
"69011174","(26,9440)","(26,1134315)","(26,1251440)","(4,49629)"
"69011175","(26,9440)","(26,1141867)","(26,1260880)","(4,50409)"
"69011176","(26,9440)","(26,1149419)","(26,1270320)","(4,51196)"
"69011177","(26,9440)","(26,1156971)","(26,1279760)","(4,51991)"
"69011178","(26,9440)","(26,1164523)","(26,1289200)","(4,52794)"
"69011179","(26,9440)","(26,1172075)","(26,1298640)","(4,53605)"
"69011180","(26,9440)","(26,1179627)","(26,1308080)","(4,54424)"
"69011181","(26,9440)","(26,1187179)","(26,1317520)","(4,55251)"
"69011182","(26,9440)","(26,1194731)","(26,1326960)","(4,56086)"
"69011183","(26,9440)","(26,1202283)","(26,1336400)","(4,56929)"
"69011184","(26,9440)","(26,1209835)","(26,1345840)","(4,57780)"
"69011185","(26,9440)","(26,1217387)","(26,1355280)","(4,58639)"
"69011186","(26,9440)","(26,1224939)","(26,1364720)","(4,59506)"
"69011187","(26,9440)","(26,1232491)","(26,1374160)","(4,60381)"
"69011188","(26,9440)","(26,1240043)","(26,1383600)","(4,61264)"
"69011189","(26,9440)","(26,1247595)","(26,1393040)","(4,62155)"
"69011190","(26,9440)","(26,1255147)","(26,1402480)","(4,63054)"
"69011191","(26,9440)","(26,1262699)","(26,1411920)","(4,63961)"
"69011192","(26,9440)","(26,1270251)","(26,1421360)","(4,64877)"
"69011193","(26,9440)","(26,1277803)","(26,1430800)","(4,65801)"
"69011194","(26,9440)","(26,1285355)","(26,1440240)","(4,66733)"
"69011195","(26,9440)","(26,1292907)","(26,1449680)","(4,67674)"
"69011196","(26,9440)","(26,1300459)","(26,1459120)","(4,68623)"
"69011197","(26,9440)","(26,1308011)","(26,1468560)","(4,69580)"
"69011198","(26,9440)","(26,1315563)","(26,1478000)","(4,70546)"
"69011199","(26,9440)","(26,1323115)","(26,1487440)","(4,71520)"
"69011200","","(26,1330667)","(26,1496880)","(4,72503)"
"69012001","(26,2090)","(26,8360)","",""
"69012002","(26,2195)","(26,8360)","(26,10450)","(4,5)"
"69012003","(26,2299)","(26,10116)","(26,12645)","(4,8)"
"69012004","(26,2404)","(26,11956)","(26,14944)","(4,12)"
"69012005","(26,2508)","(26,13879)","(26,17348)","(4,18)"
"69012006","(26,2613)","(26,15885)","(26,19856)","(4,24)"
"69012007","(26,2717)","(26,17976)","(26,22469)","(4,32)"
"69012008","(26,2822)","(26,20149)","(26,25186)","(4,41)"
"69012009","(26,2926)","(26,22407)","(26,28008)","(4,51)"
