"AttributeId","Level","LevelIcon","LevelIcon2","RegionArr","BgIconId","BigLevelIconID","LevelUpRequest","PurchaseOriginalCostArray","PurchaseCostArray","ItemGetArray","DescribeImageArray","PropertyBonuseBuffID","KIllMonsterBUffID","MeditationFunc","FreeRedPackageNum","AutoUseCard","AutoUsePsyche","IsLimitlessTransfer","IsArenaChallengeNoCD","LivenessBonuse","AuctionRewardPercentage","IsDailyMissionAutoComplete","IsAutoRecoveryEquip","IsWorldBossTransfer","UpgradeSuccessRatioBonuse","FreeYuanDiFuHuoTime","RedPackageGetTimes","BagSlotOpenRate","SiliverChangeTimes","ArenaBuyTimeLimit","BindDiamondChangeTimes","ArenaBuffID","DiamondChangeTimes","MonsterExpBonuse","IsPokedexDiamondSubMit","ElementHeartCallLimit","IsExclusiveBossRaid","IsDoubleMeditationBonuseGet","IsFourfoldMeditationBonuseGet","BloodCastleTimes","DemonSquarTimes","ExhibitionNpcId","ExhibitionBuffIdArray","ExhibitionIconId","RightDesIdArray","ExtraJewelSlotNum","LegionDonateLimiteRate","TitleId","VIPGainTreasureCost","DramaRaidCommonEnter","RaidMapEnter","IsCanTransferByNpc","ExperienceExtraImgId","CloudShopLimitCount","ExpRaidTime","ElementWarlimit","DailyMustMax","LimitConvertExpTime"
"105000011","6","91231277","91290960","(8)","91231298","91231262","8000","(3,2200)","(3,220)","(31000046,20,31000040,10,31000171,3)","(91231104,91231105,91231106)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","0","0","60","2","7","10","7","11240007","10","0","0","0","0","1","1","0","0","(0,76980764,76980764,76980764,76980764)","(10990019)","91260258","(90067059,90067060,90068139,90067062,90067064,90067065,90067217,90067067,90067068,0,0,90305884,90067070,90067071,0,0,0,0,0)","0","(2.5,2.5)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","2","(71040003,1,71120001,1,71010002,1,71040002,1,71040001,1,71030002,1,71110001,1)","1","","30","870","","290","3"
"105000012","7","91231278","91290960","(0,1,2,3,4,5,6,7)","91231299","91231263","25000","(3,2650)","(3,266)","(31100027,1,31110107,1,31000163,3)","(91231107,91231108,91231109)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","0","0","999","2.5","10","10","10","11240008","12","0","0","0","0","1","1","0","0","","","","(90067072,90068140,90067074,90067075,90067218,90067079,90067077,90067078,90069881,90067149,90067150,90067204,90067185,90067080,0,0,0,0,0,0)","0","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","2","(71040003,1,71120001,1,71010002,1,71040002,1,71040001,1,71030002,1,71110001,1,71210001,1)","1","","35","900","(0,1,4,30,0,1,1,4,30,0,2,1,4,30,0,3,1,4,30,0,4,1,4,30,0,5,1,4,30,0,6,1,4,30,0,7,1,4,30,0,8,1,4,30,0)","300","3"
"105000013","7","91231278","91290960","(8)","91231299","91231263","15000","(3,2650)","(3,266)","(31100027,1,31110107,1,31000163,3)","(91231107,91231108,91231109)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","0","0","999","2.5","10","10","10","11240008","12","0","0","0","0","1","1","0","0","","","","(90067072,90068140,90067074,90067075,90067218,90067079,90067077,90067078,90069881,90067149,90067150,90067204,90067185,90067080,0,0,0,0,0,0)","0","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","2","(71040003,1,71120001,1,71010002,1,71040002,1,71040001,1,71030002,1,71110001,1,71210001,1)","1","","35","900","(0,1,4,30,0,1,1,4,30,0,2,1,4,30,0,3,1,4,30,0,4,1,4,30,0,5,1,4,30,0,6,1,4,30,0,7,1,4,30,0,8,1,4,30,0)","300","3"
"105000014","8","91231279","91290960","(0,1,2,3,4,5,6,7)","91231300","91231264","50000","(3,4864)","(3,488)","(31000061,1,31130429,1,31000162,3)","(91231110,91231111,91231112)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","0","0","999","2.5","10","15","10","11240009","12","0","0","0","0","1","1","0","0","(0,76980695,76980696,76980697,76980698)","","91260334","(90067085,90068141,90067083,90067086,90067087,0,0,90305884,90067091,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","3","(71040003,1,71120001,1,71010002,2,71040002,1,71040001,1,71030002,1,71110001,2,71210001,1)","1","","40","930","(0,1,4,30,0,1,1,4,30,0,2,1,4,30,0,3,1,4,30,0,4,1,4,30,0,5,1,4,30,0,6,1,4,30,0,7,1,4,30,0,8,1,4,30,0)","310","3"
"105000015","8","91231279","91290960","(8)","91231300","91231264","25000","(3,4864)","(3,488)","(31000061,1,31130429,1,31000162,3)","(91231110,91231111,91231112)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","0","0","999","2.5","10","15","10","11240009","12","0","0","0","0","1","1","0","0","(0,76980695,76980696,76980697,76980698)","","91260334","(90067085,90068141,90067083,90067086,90067087,0,0,90305884,90067091,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","3","(71040003,1,71120001,1,71010002,2,71040002,1,71040001,1,71030002,1,71110001,2,71210001,1)","1","","40","930","(0,1,4,30,0,1,1,4,30,0,2,1,4,30,0,3,1,4,30,0,4,1,4,30,0,5,1,4,30,0,6,1,4,30,0,7,1,4,30,0,8,1,4,30,0)","310","3"
"105000016","9","91231280","91290961","(0,1,2,3,4,5,7)","91231301","91231265","100000","(3,6200)","(3,620)","(31040082,20,31000099,10,31000171,5)","(91231113,91231114,91231115)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","2","0","999","3","10","15","10","11240010","12","0","0","0","0","1","1","0","0","(0,76980392,76980392,76980392,76980392)","(10990409)","91260260","(90067092,90067096,90067094,90067095,90067097,90067099,0,0,90067100,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","3","(71040003,1,71120001,1,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,1)","1","","45","930","(0,1,4,30,0,1,1,4,30,0,2,1,4,30,0,3,1,4,30,0,4,1,4,30,0,5,1,4,30,0,6,1,4,30,0,7,1,4,30,0,8,1,4,30,0)","310","3"
"105000017","9","91231280","91290961","(6)","91231301","91231265","100000","(3,6200)","(3,620)","(31040082,20,31000099,10,31102208,1)","(91231113,91231114,91231115)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","2","0","999","3","10","15","10","11240010","12","0","0","0","0","1","1","0","0","(0,76980392,76980392,76980392,76980392)","(10990409)","91260260","(90067092,90067096,90067094,90067095,90067097,90067099,0,0,90067100,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","3","(71040003,1,71120001,1,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,1)","1","","45","930","(0,1,4,30,0,1,1,4,30,0,2,1,4,30,0,3,1,4,30,0,4,1,4,30,0,5,1,4,30,0,6,1,4,30,0,7,1,4,30,0,8,1,4,30,0)","310","3"
"105000018","9","91231280","91290961","(8)","91231301","91231265","40000","(3,6200)","(3,620)","(31040082,20,31000099,10,31000171,5)","(91231113,91231114,91231115)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","2","0","999","3","10","15","10","11240010","12","0","0","0","0","1","1","0","0","(0,76980392,76980392,76980392,76980392)","(10990409)","91260260","(90067092,90067096,90067094,90067095,90067097,90067099,0,0,90067100,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","3","(71040003,1,71120001,1,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,1)","1","","45","930","(0,1,4,30,0,1,1,4,30,0,2,1,4,30,0,3,1,4,30,0,4,1,4,30,0,5,1,4,30,0,6,1,4,30,0,7,1,4,30,0,8,1,4,30,0)","310","3"
"105000019","10","91231281","91290961","(0,1,2,3,4,5,6,7)","91231302","91231266","200000","(3,9800)","(3,980)","(31100028,1,31000062,20,31000163,5)","(91231116,91231117,91231118)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","2","0","999","3","13","20","13","11240011","15","0","0","0","0","1","1","0","0","","","","(90067101,90067104,90067105,90069882,90067153,90067154,90067205,90305884,90067186,90067108,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","3","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,1)","1","","50","930","(0,2,4,30,0,1,2,4,30,0,2,2,4,30,0,3,2,4,30,0,4,2,4,30,0,5,2,4,30,0,6,2,4,30,0,7,2,4,30,0,8,2,4,30,0)","310","3"
"105000020","10","91231281","91290961","(8)","91231302","91231266","60000","(3,9800)","(3,980)","(31100028,1,31000062,20,31000163,5)","(91231116,91231117,91231118)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","2","0","999","3","13","20","13","11240011","15","0","0","0","0","1","1","0","0","","","","(90067101,90067104,90067105,90069882,90067153,90067154,90067205,90305884,90067186,90067108,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","3","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,1)","1","","50","930","(0,2,4,30,0,1,2,4,30,0,2,2,4,30,0,3,2,4,30,0,4,2,4,30,0,5,2,4,30,0,6,2,4,30,0,7,2,4,30,0,8,2,4,30,0)","310","3"
"105000021","11","91231282","91290961","(0,1,2,3,4,5,6,7)","91231303","91231267","500000","(3,17230)","(3,1724)","(31040105,20,31000103,5,31000162,5)","(91231119,91231120,91231121)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","2","0","999","3.5","13","20","13","11240012","15","0","0","0","0","1","1","0","0","(0,76980761,76980761,76980761,76980761)","(10990019)","91260263","(90067109,90067110,90067111,90067115,90067112,0,0,90067116,0,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","4","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,2)","1","","55","930","(0,2,4,30,0,1,2,4,30,0,2,2,4,30,0,3,2,4,30,0,4,2,4,30,0,5,2,4,30,0,6,2,4,30,0,7,2,4,30,0,8,2,4,30,0)","310","3"
"105000022","11","91231282","91290961","(8)","91231303","91231267","100000","(3,17230)","(3,1724)","(31040105,20,31000103,5,31000162,5)","(91231119,91231120,91231121)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","2","0","999","3.5","13","20","13","11240012","15","0","0","0","0","1","1","0","0","(0,76980761,76980761,76980761,76980761)","(10990019)","91260263","(90067109,90067110,90067111,90067115,90067112,0,0,90067116,0,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","4","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,2)","1","","55","930","(0,2,4,30,0,1,2,4,30,0,2,2,4,30,0,3,2,4,30,0,4,2,4,30,0,5,2,4,30,0,6,2,4,30,0,7,2,4,30,0,8,2,4,30,0)","310","3"
"105000023","12","91231283","91290961","(0,1,2,3,4,5,7)","91231304","91231268","1000000","(3,36000)","(3,3600)","(31100029,1,31000063,30,31000171,8)","(91231122,91231123,91231124)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","5","0","999","3.5","13","20","13","11240013","15","0","0","0","0","1","1","0","0","(0,76980754,76980755,76980756,76980757)","","91260257","(90067117,90067118,90067119,0,0,90067187,90067121,0,0,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","4","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,2)","1","","60","930","(0,3,4,30,0,1,3,4,30,0,2,3,4,30,0,3,3,4,30,0,4,3,4,30,0,5,3,4,30,0,6,3,4,30,0,7,3,4,30,0,8,3,4,30,0)","310","3"
"105000024","12","91231283","91290961","(6)","91231304","91231268","1000000","(3,36000)","(3,3600)","(31100029,1,31000063,30,31102204,1)","(91231122,91231123,91231124)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","5","0","999","3.5","13","20","13","11240013","15","0","0","0","0","1","1","0","0","(0,76980754,76980755,76980756,76980757)","","91260257","(90067117,90067118,90067119,0,0,90067187,90067121,0,0,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","4","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,2)","1","","60","930","(0,3,4,30,0,1,3,4,30,0,2,3,4,30,0,3,3,4,30,0,4,3,4,30,0,5,3,4,30,0,6,3,4,30,0,7,3,4,30,0,8,3,4,30,0)","310","3"
"105000025","12","91231283","91290961","(8)","91231304","91231268","200000","(3,36000)","(3,3600)","(31100029,1,31000063,30,31000171,8)","(91231122,91231123,91231124)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","5","0","999","3.5","13","20","13","11240013","15","0","0","0","0","1","1","0","0","(0,76980754,76980755,76980756,76980757)","","91260257","(90067117,90067118,90067119,0,0,90067187,90067121,0,0,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","4","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,2)","1","","60","930","(0,3,4,30,0,1,3,4,30,0,2,3,4,30,0,3,3,4,30,0,4,3,4,30,0,5,3,4,30,0,6,3,4,30,0,7,3,4,30,0,8,3,4,30,0)","310","3"
"105000026","13","91231284","91290962","(0,1,2,3,4,5,6,7)","91231305","91231269","2000000","(3,52000)","(3,5200)","(31040099,20,31110010,1,31000163,8)","(91231125,91231126,91231127)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","5","0","999","4","15","20","15","11240014","17","0","0","0","0","1","1","0","0","(0,76980762,76980762,76980762,76980762)","(10990019)","91260262","(90067122,90067123,90067125,90069883,90067131,90067132,90067206,90067126,0,0,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","4","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,2)","1","","65","930","(0,3,4,30,0,1,3,4,30,0,2,3,4,30,0,3,3,4,30,0,4,3,4,30,0,5,3,4,30,0,6,3,4,30,0,7,3,4,30,0,8,3,4,30,0)","310","3"
"105000027","13","91231284","91290962","(8)","91231305","91231269","400000","(3,52000)","(3,5200)","(31040099,20,31110010,1,31000163,8)","(91231125,91231126,91231127)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","5","0","999","4","15","20","15","11240014","17","0","0","0","0","1","1","0","0","(0,76980762,76980762,76980762,76980762)","(10990019)","91260262","(90067122,90067123,90067125,90069883,90067131,90067132,90067206,90067126,0,0,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","4","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,2)","1","","65","930","(0,3,4,30,0,1,3,4,30,0,2,3,4,30,0,3,3,4,30,0,4,3,4,30,0,5,3,4,30,0,6,3,4,30,0,7,3,4,30,0,8,3,4,30,0)","310","3"
"105000028","14","91231285","91290962","(0,1,2,3,4,5,6,7)","91231306","91231270","3000000","(3,80000)","(3,8000)","(31000114,20,31100030,1,31000162,8)","(91231128,91231129,91231130)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","5","0","999","4","15","20","15","11240015","17","0","0","0","0","1","1","0","0","(0,76980763,76980763,76980763,76980763)","","91260266","(90067127,90067128,90067129,90067130,0,0,90067188,90067133,0,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","5","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,2)","1","","70","930","(0,5,4,30,0,1,5,4,30,0,2,5,4,30,0,3,5,4,30,0,4,5,4,30,0,5,5,4,30,0,6,5,4,30,0,7,5,4,30,0,8,5,4,30,0)","310","3"
"105000029","14","91231285","91290962","(8)","91231306","91231270","800000","(3,80000)","(3,8000)","(31000114,20,31100030,1,31000162,8)","(91231128,91231129,91231130)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","5","0","999","4","15","20","15","11240015","17","0","0","0","0","1","1","0","0","(0,76980763,76980763,76980763,76980763)","","91260266","(90067127,90067128,90067129,90067130,0,0,90067188,90067133,0,0,0,0,0,0,0,0,0,0,0)","1","(3,3)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","5","(71040003,2,71120001,2,71010002,2,71040002,2,71040001,2,71030002,1,71110001,2,71210001,2)","1","","70","930","(0,5,4,30,0,1,5,4,30,0,2,5,4,30,0,3,5,4,30,0,4,5,4,30,0,5,5,4,30,0,6,5,4,30,0,7,5,4,30,0,8,5,4,30,0)","310","3"
