"AttributeId","Level","AttArray","MatirialID","MatirialNum","GradeLimit","NeedPower","LevelMax"
"161000041","40","(4,5,914375,0,1,4,6,1097250,0,1,4,9,143688,0,1)","","","","","40"
"161001001","2","(4,8,0,0,1,4,7,0,0,1,4,12,0,0,1)","31020061","1","0","100","40"
"161001002","2","(4,8,2122,0,1,4,7,501,0,1,4,12,30,0,1)","31020061","2","0","200","40"
"161001003","5","(4,8,6365,0,1,4,7,1501,0,1,4,12,90,0,1)","31020061","3","1","300","40"
"161001004","5","(4,8,12729,0,1,4,7,3001,0,1,4,12,179,0,1)","31020061","4","1","400","40"
"161001005","5","(4,8,21215,0,1,4,7,5001,0,1,4,12,298,0,1)","31020061","5","1","500","40"
"161001006","10","(4,8,31822,0,1,4,7,7501,0,1,4,12,447,0,1)","31020061","6","2","600","40"
"161001007","10","(4,8,44550,0,1,4,7,10501,0,1,4,12,626,0,1)","31020061","7","2","800","40"
"161001008","10","(4,8,59400,0,1,4,7,14001,0,1,4,12,834,0,1)","31020061","8","2","1000","40"
"161001009","10","(4,8,76372,0,1,4,7,18001,0,1,4,12,1072,0,1)","31020061","9","2","1200","40"
"161001010","10","(4,8,95465,0,1,4,7,22501,0,1,4,12,1340,0,1)","31020061","10","2","1400","40"
"161001011","15","(4,8,116679,0,1,4,7,27501,0,1,4,12,1637,0,1)","31020061","11","3","1500","40"
"161001012","15","(4,8,140015,0,1,4,7,33001,0,1,4,12,1965,0,1)","31020061","12","3","1800","40"
"161001013","15","(4,8,165472,0,1,4,7,39001,0,1,4,12,2322,0,1)","31020061","13","3","2100","40"
"161001014","15","(4,8,193050,0,1,4,7,45501,0,1,4,12,2709,0,1)","31020061","14","3","2400","40"
"161001015","15","(4,8,222750,0,1,4,7,52501,0,1,4,12,3125,0,1)","31020061","15","3","2700","40"
"161001016","20","(4,8,254572,0,1,4,7,60001,0,1,4,12,3572,0,1)","31020061","16","4","2800","40"
"161001017","20","(4,8,288515,0,1,4,7,68001,0,1,4,12,4048,0,1)","31020061","17","4","3200","40"
"161001018","20","(4,8,324579,0,1,4,7,76501,0,1,4,12,4554,0,1)","31020061","18","4","3600","40"
"161001019","20","(4,8,362765,0,1,4,7,85501,0,1,4,12,5090,0,1)","31020061","19","4","4000","40"
"161001020","20","(4,8,403072,0,1,4,7,95001,0,1,4,12,5655,0,1)","31020061","20","4","4400","40"
"161001021","25","(4,8,445500,0,1,4,7,105000,0,1,4,12,6251,0,1)","31020061","26","5","4500","40"
"161001022","25","(4,8,500658,0,1,4,7,118000,0,1,4,12,7024,0,1)","31020061","32","5","5000","40"
"161001023","25","(4,8,568543,0,1,4,7,134000,0,1,4,12,7977,0,1)","31020061","38","5","5500","40"
"161001024","25","(4,8,649158,0,1,4,7,153000,0,1,4,12,9108,0,1)","31020061","44","5","6000","40"
"161001025","25","(4,8,742500,0,1,4,7,175000,0,1,4,12,10417,0,1)","31020061","50","5","6500","40"
"161001026","30","(4,8,848572,0,1,4,7,200000,0,1,4,12,11905,0,1)","31020061","56","6","6600","40"
"161001027","30","(4,8,967372,0,1,4,7,228000,0,1,4,12,13572,0,1)","31020061","62","6","7200","40"
"161001028","30","(4,8,1098900,0,1,4,7,259000,0,1,4,12,15417,0,1)","31020061","68","6","7800","40"
"161001029","30","(4,8,1243158,0,1,4,7,293000,0,1,4,12,17441,0,1)","31020061","74","6","8400","40"
"161001030","30","(4,8,1400143,0,1,4,7,330000,0,1,4,12,19643,0,1)","31020061","80","6","9000","40"
"161001031","35","(4,8,1569858,0,1,4,7,370000,0,1,4,12,22024,0,1)","31020061","90","7","9100","40"
"161001032","35","(4,8,1760786,0,1,4,7,415000,0,1,4,12,24703,0,1)","31020061","100","7","9800","40"
"161001033","35","(4,8,1972929,0,1,4,7,465000,0,1,4,12,27679,0,1)","31020061","110","7","10500","40"
"161001034","35","(4,8,2206286,0,1,4,7,520000,0,1,4,12,30953,0,1)","31020061","120","7","11200","40"
"161001035","35","(4,8,2460858,0,1,4,7,580000,0,1,4,12,34524,0,1)","31020061","130","7","11900","40"
"161001036","40","(4,8,2736643,0,1,4,7,645000,0,1,4,12,38393,0,1)","31020061","140","8","12000","40"
"161001037","40","(4,8,3033643,0,1,4,7,715000,0,1,4,12,42560,0,1)","31020061","150","8","12800","40"
"161001038","40","(4,8,3351858,0,1,4,7,790000,0,1,4,12,47024,0,1)","31020061","160","8","13600","40"
"161001039","40","(4,8,3691286,0,1,4,7,870000,0,1,4,12,51786,0,1)","31020061","170","8","14400","40"
"161001040","40","(4,8,4051929,0,1,4,7,955000,0,1,4,12,56846,0,1)","31020061","180","8","15200","40"
"161001041","40","(4,8,4433786,0,1,4,7,1045000,0,1,4,12,62203,0,1)","","","","","40"
"161002001","2","(4,8,0,0,1,4,7,0,0,1,4,10,0,0,1)","31020061","1","0","100","40"
"161002002","2","(4,8,1836,0,1,4,7,590,0,1,4,10,24,0,1)","31020061","2","0","200","40"
"161002003","5","(4,8,5508,0,1,4,7,1768,0,1,4,10,72,0,1)","31020061","3","1","300","40"
"161002004","5","(4,8,11015,0,1,4,7,3536,0,1,4,10,143,0,1)","31020061","4","1","400","40"
"161002005","5","(4,8,18358,0,1,4,7,5893,0,1,4,10,239,0,1)","31020061","5","1","500","40"
"161002006","10","(4,8,27536,0,1,4,7,8840,0,1,4,10,358,0,1)","31020061","6","2","600","40"
"161002007","10","(4,8,38550,0,1,4,7,12375,0,1,4,10,501,0,1)","31020061","7","2","800","40"
"161002008","10","(4,8,51400,0,1,4,7,16500,0,1,4,10,667,0,1)","31020061","8","2","1000","40"
"161002009","10","(4,8,66086,0,1,4,7,21215,0,1,4,10,858,0,1)","31020061","9","2","1200","40"
"161002010","10","(4,8,82608,0,1,4,7,26518,0,1,4,10,1072,0,1)","31020061","10","2","1400","40"
"161002011","15","(4,8,100965,0,1,4,7,32411,0,1,4,10,1310,0,1)","31020061","11","3","1500","40"
"161002012","15","(4,8,121158,0,1,4,7,38893,0,1,4,10,1572,0,1)","31020061","12","3","1800","40"
"161002013","15","(4,8,143186,0,1,4,7,45965,0,1,4,10,1858,0,1)","31020061","13","3","2100","40"
"161002014","15","(4,8,167050,0,1,4,7,53626,0,1,4,10,2167,0,1)","31020061","14","3","2400","40"
"161002015","15","(4,8,192750,0,1,4,7,61876,0,1,4,10,2500,0,1)","31020061","15","3","2700","40"
"161002016","20","(4,8,220286,0,1,4,7,70715,0,1,4,10,2858,0,1)","31020061","16","4","2800","40"
"161002017","20","(4,8,249658,0,1,4,7,80143,0,1,4,10,3239,0,1)","31020061","17","4","3200","40"
"161002018","20","(4,8,280865,0,1,4,7,90161,0,1,4,10,3643,0,1)","31020061","18","4","3600","40"
"161002019","20","(4,8,313908,0,1,4,7,100768,0,1,4,10,4072,0,1)","31020061","19","4","4000","40"
"161002020","20","(4,8,348786,0,1,4,7,111965,0,1,4,10,4524,0,1)","31020061","20","4","4400","40"
"161002021","25","(4,8,385500,0,1,4,7,123750,0,1,4,10,5001,0,1)","31020061","26","5","4500","40"
"161002022","25","(4,8,433229,0,1,4,7,139072,0,1,4,10,5620,0,1)","31020061","32","5","5000","40"
"161002023","25","(4,8,491972,0,1,4,7,157929,0,1,4,10,6381,0,1)","31020061","38","5","5500","40"
"161002024","25","(4,8,561729,0,1,4,7,180322,0,1,4,10,7286,0,1)","31020061","44","5","6000","40"
"161002025","25","(4,8,642500,0,1,4,7,206250,0,1,4,10,8334,0,1)","31020061","50","5","6500","40"
"161002026","30","(4,8,734286,0,1,4,7,235715,0,1,4,10,9524,0,1)","31020061","56","6","6600","40"
"161002027","30","(4,8,837086,0,1,4,7,268715,0,1,4,10,10858,0,1)","31020061","62","6","7200","40"
"161002028","30","(4,8,950900,0,1,4,7,305250,0,1,4,10,12334,0,1)","31020061","68","6","7800","40"
"161002029","30","(4,8,1075729,0,1,4,7,345322,0,1,4,10,13953,0,1)","31020061","74","6","8400","40"
"161002030","30","(4,8,1211572,0,1,4,7,388929,0,1,4,10,15715,0,1)","31020061","80","6","9000","40"
"161002031","35","(4,8,1358429,0,1,4,7,436072,0,1,4,10,17620,0,1)","31020061","90","7","9100","40"
"161002032","35","(4,8,1523643,0,1,4,7,489108,0,1,4,10,19762,0,1)","31020061","100","7","9800","40"
"161002033","35","(4,8,1707215,0,1,4,7,548036,0,1,4,10,22143,0,1)","31020061","110","7","10500","40"
"161002034","35","(4,8,1909143,0,1,4,7,612858,0,1,4,10,24762,0,1)","31020061","120","7","11200","40"
"161002035","35","(4,8,2129429,0,1,4,7,683572,0,1,4,10,27620,0,1)","31020061","130","7","11900","40"
"161002036","40","(4,8,2368072,0,1,4,7,760179,0,1,4,10,30715,0,1)","31020061","140","8","12000","40"
"161002037","40","(4,8,2625072,0,1,4,7,842679,0,1,4,10,34048,0,1)","31020061","150","8","12800","40"
"161002038","40","(4,8,2900429,0,1,4,7,931072,0,1,4,10,37620,0,1)","31020061","160","8","13600","40"
"161002039","40","(4,8,3194143,0,1,4,7,1025358,0,1,4,10,41429,0,1)","31020061","170","8","14400","40"
"161002040","40","(4,8,3506215,0,1,4,7,1125536,0,1,4,10,45477,0,1)","31020061","180","8","15200","40"
"161002041","40","(4,8,3836643,0,1,4,7,1231608,0,1,4,10,49762,0,1)","","","","","40"
"161003001","2","(4,8,0,0,1,4,7,0,0,1,4,12,0,0,1)","31020061","1","0","100","40"
"161003002","2","(4,8,1908,0,1,4,7,429,0,1,4,12,90,0,1)","31020061","2","0","200","40"
"161003003","5","(4,8,5722,0,1,4,7,1286,0,1,4,12,268,0,1)","31020061","3","1","300","40"
"161003004","5","(4,8,11443,0,1,4,7,2572,0,1,4,12,536,0,1)","31020061","4","1","400","40"
"161003005","5","(4,8,19072,0,1,4,7,4286,0,1,4,12,893,0,1)","31020061","5","1","500","40"
"161003006","10","(4,8,28608,0,1,4,7,6429,0,1,4,12,1340,0,1)","31020061","6","2","600","40"
"161003007","10","(4,8,40050,0,1,4,7,9001,0,1,4,12,1875,0,1)","31020061","7","2","800","40"
"161003008","10","(4,8,53400,0,1,4,7,12000,0,1,4,12,2500,0,1)","31020061","8","2","1000","40"
"161003009","10","(4,8,68658,0,1,4,7,15429,0,1,4,12,3215,0,1)","31020061","9","2","1200","40"
"161003010","10","(4,8,85822,0,1,4,7,19286,0,1,4,12,4018,0,1)","31020061","10","2","1400","40"
"161003011","15","(4,8,104893,0,1,4,7,23572,0,1,4,12,4911,0,1)","31020061","11","3","1500","40"
"161003012","15","(4,8,125872,0,1,4,7,28286,0,1,4,12,5893,0,1)","31020061","12","3","1800","40"
"161003013","15","(4,8,148758,0,1,4,7,33429,0,1,4,12,6965,0,1)","31020061","13","3","2100","40"
"161003014","15","(4,8,173550,0,1,4,7,39000,0,1,4,12,8125,0,1)","31020061","14","3","2400","40"
"161003015","15","(4,8,200250,0,1,4,7,45000,0,1,4,12,9375,0,1)","31020061","15","3","2700","40"
"161003016","20","(4,8,228858,0,1,4,7,51429,0,1,4,12,10715,0,1)","31020061","16","4","2800","40"
"161003017","20","(4,8,259372,0,1,4,7,58286,0,1,4,12,12143,0,1)","31020061","17","4","3200","40"
"161003018","20","(4,8,291793,0,1,4,7,65572,0,1,4,12,13661,0,1)","31020061","18","4","3600","40"
"161003019","20","(4,8,326122,0,1,4,7,73286,0,1,4,12,15268,0,1)","31020061","19","4","4000","40"
"161003020","20","(4,8,362358,0,1,4,7,81429,0,1,4,12,16965,0,1)","31020061","20","4","4400","40"
"161003021","25","(4,8,400500,0,1,4,7,90000,0,1,4,12,18750,0,1)","31020061","26","5","4500","40"
"161003022","25","(4,8,450086,0,1,4,7,101143,0,1,4,12,21072,0,1)","31020061","32","5","5000","40"
"161003023","25","(4,8,511115,0,1,4,7,114858,0,1,4,12,23929,0,1)","31020061","38","5","5500","40"
"161003024","25","(4,8,583586,0,1,4,7,131143,0,1,4,12,27322,0,1)","31020061","44","5","6000","40"
"161003025","25","(4,8,667500,0,1,4,7,150000,0,1,4,12,31250,0,1)","31020061","50","5","6500","40"
"161003026","30","(4,8,762858,0,1,4,7,171429,0,1,4,12,35715,0,1)","31020061","56","6","6600","40"
"161003027","30","(4,8,869658,0,1,4,7,195429,0,1,4,12,40715,0,1)","31020061","62","6","7200","40"
"161003028","30","(4,8,987900,0,1,4,7,222000,0,1,4,12,46250,0,1)","31020061","68","6","7800","40"
"161003029","30","(4,8,1117586,0,1,4,7,251143,0,1,4,12,52322,0,1)","31020061","74","6","8400","40"
"161003030","30","(4,8,1258715,0,1,4,7,282858,0,1,4,12,58929,0,1)","31020061","80","6","9000","40"
"161003031","35","(4,8,1411286,0,1,4,7,317143,0,1,4,12,66072,0,1)","31020061","90","7","9100","40"
"161003032","35","(4,8,1582929,0,1,4,7,355715,0,1,4,12,74108,0,1)","31020061","100","7","9800","40"
"161003033","35","(4,8,1773643,0,1,4,7,398572,0,1,4,12,83036,0,1)","31020061","110","7","10500","40"
"161003034","35","(4,8,1983429,0,1,4,7,445715,0,1,4,12,92858,0,1)","31020061","120","7","11200","40"
"161003035","35","(4,8,2212286,0,1,4,7,497143,0,1,4,12,103572,0,1)","31020061","130","7","11900","40"
"161003036","40","(4,8,2460215,0,1,4,7,552858,0,1,4,12,115179,0,1)","31020061","140","8","12000","40"
"161003037","40","(4,8,2727215,0,1,4,7,612858,0,1,4,12,127679,0,1)","31020061","150","8","12800","40"
"161003038","40","(4,8,3013286,0,1,4,7,677143,0,1,4,12,141072,0,1)","31020061","160","8","13600","40"
"161003039","40","(4,8,3318429,0,1,4,7,745715,0,1,4,12,155358,0,1)","31020061","170","8","14400","40"
"161003040","40","(4,8,3642643,0,1,4,7,818572,0,1,4,12,170536,0,1)","31020061","180","8","15200","40"
"161003041","40","(4,8,3985929,0,1,4,7,895715,0,1,4,12,186608,0,1)","","","","","40"
"161004001","2","(4,8,0,0,1,4,7,0,0,1,4,10,0,0,1)","31020061","1","0","100","40"
"161004002","2","(4,8,1372,0,1,4,7,268,0,1,4,10,117,0,1)","31020061","2","0","200","40"
"161004003","5","(4,8,4115,0,1,4,7,804,0,1,4,10,349,0,1)","31020061","3","1","300","40"
"161004004","5","(4,8,8229,0,1,4,7,1608,0,1,4,10,697,0,1)","31020061","4","1","400","40"
"161004005","5","(4,8,13715,0,1,4,7,2679,0,1,4,10,1161,0,1)","31020061","5","1","500","40"
"161004006","10","(4,8,20572,0,1,4,7,4018,0,1,4,10,1742,0,1)","31020061","6","2","600","40"
"161004007","10","(4,8,28800,0,1,4,7,5625,0,1,4,10,2438,0,1)","31020061","7","2","800","40"
"161004008","10","(4,8,38400,0,1,4,7,7500,0,1,4,10,3251,0,1)","31020061","8","2","1000","40"
"161004009","10","(4,8,49372,0,1,4,7,9643,0,1,4,10,4179,0,1)","31020061","9","2","1200","40"
"161004010","10","(4,8,61715,0,1,4,7,12054,0,1,4,10,5224,0,1)","31020061","10","2","1400","40"
"161004011","15","(4,8,75429,0,1,4,7,14733,0,1,4,10,6384,0,1)","31020061","11","3","1500","40"
"161004012","15","(4,8,90515,0,1,4,7,17679,0,1,4,10,7661,0,1)","31020061","12","3","1800","40"
"161004013","15","(4,8,106972,0,1,4,7,20893,0,1,4,10,9054,0,1)","31020061","13","3","2100","40"
"161004014","15","(4,8,124800,0,1,4,7,24375,0,1,4,10,10563,0,1)","31020061","14","3","2400","40"
"161004015","15","(4,8,144000,0,1,4,7,28125,0,1,4,10,12188,0,1)","31020061","15","3","2700","40"
"161004016","20","(4,8,164572,0,1,4,7,32143,0,1,4,10,13929,0,1)","31020061","16","4","2800","40"
"161004017","20","(4,8,186515,0,1,4,7,36429,0,1,4,10,15786,0,1)","31020061","17","4","3200","40"
"161004018","20","(4,8,209829,0,1,4,7,40983,0,1,4,10,17759,0,1)","31020061","18","4","3600","40"
"161004019","20","(4,8,234515,0,1,4,7,45804,0,1,4,10,19849,0,1)","31020061","19","4","4000","40"
"161004020","20","(4,8,260572,0,1,4,7,50893,0,1,4,10,22054,0,1)","31020061","20","4","4400","40"
"161004021","25","(4,8,288000,0,1,4,7,56250,0,1,4,10,24376,0,1)","31020061","26","5","4500","40"
"161004022","25","(4,8,323658,0,1,4,7,63215,0,1,4,10,27393,0,1)","31020061","32","5","5000","40"
"161004023","25","(4,8,367543,0,1,4,7,71786,0,1,4,10,31108,0,1)","31020061","38","5","5500","40"
"161004024","25","(4,8,419658,0,1,4,7,81965,0,1,4,10,35518,0,1)","31020061","44","5","6000","40"
"161004025","25","(4,8,480000,0,1,4,7,93750,0,1,4,10,40626,0,1)","31020061","50","5","6500","40"
"161004026","30","(4,8,548572,0,1,4,7,107143,0,1,4,10,46429,0,1)","31020061","56","6","6600","40"
"161004027","30","(4,8,625372,0,1,4,7,122143,0,1,4,10,52929,0,1)","31020061","62","6","7200","40"
"161004028","30","(4,8,710400,0,1,4,7,138750,0,1,4,10,60126,0,1)","31020061","68","6","7800","40"
"161004029","30","(4,8,803658,0,1,4,7,156965,0,1,4,10,68018,0,1)","31020061","74","6","8400","40"
"161004030","30","(4,8,905143,0,1,4,7,176786,0,1,4,10,76608,0,1)","31020061","80","6","9000","40"
"161004031","35","(4,8,1014858,0,1,4,7,198215,0,1,4,10,85893,0,1)","31020061","90","7","9100","40"
"161004032","35","(4,8,1138286,0,1,4,7,222322,0,1,4,10,96340,0,1)","31020061","100","7","9800","40"
"161004033","35","(4,8,1275429,0,1,4,7,249108,0,1,4,10,107947,0,1)","31020061","110","7","10500","40"
"161004034","35","(4,8,1426286,0,1,4,7,278572,0,1,4,10,120715,0,1)","31020061","120","7","11200","40"
"161004035","35","(4,8,1590858,0,1,4,7,310715,0,1,4,10,134643,0,1)","31020061","130","7","11900","40"
"161004036","40","(4,8,1769143,0,1,4,7,345536,0,1,4,10,149733,0,1)","31020061","140","8","12000","40"
"161004037","40","(4,8,1961143,0,1,4,7,383036,0,1,4,10,165983,0,1)","31020061","150","8","12800","40"
"161004038","40","(4,8,2166858,0,1,4,7,423215,0,1,4,10,183393,0,1)","31020061","160","8","13600","40"
"161004039","40","(4,8,2386286,0,1,4,7,466072,0,1,4,10,201965,0,1)","31020061","170","8","14400","40"
"161004040","40","(4,8,2619429,0,1,4,7,511608,0,1,4,10,221697,0,1)","31020061","180","8","15200","40"
"161004041","40","(4,8,2866286,0,1,4,7,559822,0,1,4,10,242590,0,1)","","","","","40"
"161005001","2","(4,8,0,0,1,4,9,0,0,1,4,11,0,0,1)","31020061","1","0","100","40"
"161005002","2","(4,8,1693,0,1,4,9,121,0,1,4,11,28,0,1)","31020061","2","0","200","40"
"161005003","5","(4,8,5079,0,1,4,9,361,0,1,4,11,83,0,1)","31020061","3","1","300","40"
"161005004","5","(4,8,10158,0,1,4,9,722,0,1,4,11,165,0,1)","31020061","4","1","400","40"
"161005005","5","(4,8,16929,0,1,4,9,1203,0,1,4,11,274,0,1)","31020061","5","1","500","40"
"161005006","10","(4,8,25393,0,1,4,9,1804,0,1,4,11,411,0,1)","31020061","6","2","600","40"
"161005007","10","(4,8,35551,0,1,4,9,2525,0,1,4,11,575,0,1)","31020061","7","2","800","40"
"161005008","10","(4,8,47401,0,1,4,9,3367,0,1,4,11,767,0,1)","31020061","8","2","1000","40"
"161005009","10","(4,8,60943,0,1,4,9,4329,0,1,4,11,986,0,1)","31020061","9","2","1200","40"
"161005010","10","(4,8,76179,0,1,4,9,5411,0,1,4,11,1233,0,1)","31020061","10","2","1400","40"
"161005011","15","(4,8,93108,0,1,4,9,6614,0,1,4,11,1506,0,1)","31020061","11","3","1500","40"
"161005012","15","(4,8,111729,0,1,4,9,7936,0,1,4,11,1808,0,1)","31020061","12","3","1800","40"
"161005013","15","(4,8,132043,0,1,4,9,9379,0,1,4,11,2136,0,1)","31020061","13","3","2100","40"
"161005014","15","(4,8,154050,0,1,4,9,10942,0,1,4,11,2492,0,1)","31020061","14","3","2400","40"
"161005015","15","(4,8,177750,0,1,4,9,12625,0,1,4,11,2875,0,1)","31020061","15","3","2700","40"
"161005016","20","(4,8,203143,0,1,4,9,14429,0,1,4,11,3286,0,1)","31020061","16","4","2800","40"
"161005017","20","(4,8,230229,0,1,4,9,16353,0,1,4,11,3724,0,1)","31020061","17","4","3200","40"
"161005018","20","(4,8,259008,0,1,4,9,18397,0,1,4,11,4190,0,1)","31020061","18","4","3600","40"
"161005019","20","(4,8,289479,0,1,4,9,20561,0,1,4,11,4683,0,1)","31020061","19","4","4000","40"
"161005020","20","(4,8,321643,0,1,4,9,22846,0,1,4,11,5203,0,1)","31020061","20","4","4400","40"
"161005021","25","(4,8,355500,0,1,4,9,25250,0,1,4,11,5751,0,1)","31020061","26","5","4500","40"
"161005022","25","(4,8,399515,0,1,4,9,28377,0,1,4,11,6462,0,1)","31020061","32","5","5000","40"
"161005023","25","(4,8,453686,0,1,4,9,32224,0,1,4,11,7339,0,1)","31020061","38","5","5500","40"
"161005024","25","(4,8,518015,0,1,4,9,36793,0,1,4,11,8379,0,1)","31020061","44","5","6000","40"
"161005025","25","(4,8,592500,0,1,4,9,42084,0,1,4,11,9584,0,1)","31020061","50","5","6500","40"
"161005026","30","(4,8,677143,0,1,4,9,48096,0,1,4,11,10953,0,1)","31020061","56","6","6600","40"
"161005027","30","(4,8,771943,0,1,4,9,54829,0,1,4,11,12486,0,1)","31020061","62","6","7200","40"
"161005028","30","(4,8,876900,0,1,4,9,62284,0,1,4,11,14184,0,1)","31020061","68","6","7800","40"
"161005029","30","(4,8,992015,0,1,4,9,70460,0,1,4,11,16046,0,1)","31020061","74","6","8400","40"
"161005030","30","(4,8,1117286,0,1,4,9,79358,0,1,4,11,18072,0,1)","31020061","80","6","9000","40"
"161005031","35","(4,8,1252715,0,1,4,9,88977,0,1,4,11,20262,0,1)","31020061","90","7","9100","40"
"161005032","35","(4,8,1405072,0,1,4,9,99798,0,1,4,11,22727,0,1)","31020061","100","7","9800","40"
"161005033","35","(4,8,1574358,0,1,4,9,111822,0,1,4,11,25465,0,1)","31020061","110","7","10500","40"
"161005034","35","(4,8,1760572,0,1,4,9,125048,0,1,4,11,28477,0,1)","31020061","120","7","11200","40"
"161005035","35","(4,8,1963715,0,1,4,9,139477,0,1,4,11,31762,0,1)","31020061","130","7","11900","40"
"161005036","40","(4,8,2183786,0,1,4,9,155108,0,1,4,11,35322,0,1)","31020061","140","8","12000","40"
"161005037","40","(4,8,2420786,0,1,4,9,171941,0,1,4,11,39155,0,1)","31020061","150","8","12800","40"
"161005038","40","(4,8,2674715,0,1,4,9,189977,0,1,4,11,43262,0,1)","31020061","160","8","13600","40"
"161005039","40","(4,8,2945572,0,1,4,9,209215,0,1,4,11,47643,0,1)","31020061","170","8","14400","40"
"161005040","40","(4,8,3233358,0,1,4,9,229655,0,1,4,11,52298,0,1)","31020061","180","8","15200","40"
"161005041","40","(4,8,3538072,0,1,4,9,251298,0,1,4,11,57227,0,1)","","","","","40"
"161006001","2","(4,5,0,0,1,4,6,0,0,1,4,10,0,0,1)","31020061","1","0","100","40"
"161006002","2","(4,5,117,0,1,4,6,140,0,1,4,10,148,0,1)","31020061","2","0","200","40"
"161006003","5","(4,5,349,0,1,4,6,418,0,1,4,10,442,0,1)","31020061","3","1","300","40"
