"AttributeId","WaveId","NextTime","LiveTime","IsDead","WaveBornTriggerMessage","WaveKillTriggerMessage"
"81001168","(80010335,80010336)","(0)","(0)","(0)","(1)","(0)"
"81001169","(80010337,80010338)","(0)","(0)","(0)","(1)","(0)"
"81001170","(80010339,80010340)","(0)","(0)","(0)","(1)","(0)"
"81001171","(80010341,80010342)","(0)","(0)","(0)","(1)","(0)"
"81001172","(80010343,80010344)","(0)","(0)","(0)","(1)","(0)"
"81001173","(80010345,80010346)","(0)","(0)","(0)","(1)","(0)"
"81001174","(80010347,80010348)","(0)","(0)","(0)","(1)","(0)"
"81001175","(80010349,80010350)","(0)","(0)","(0)","(1)","(0)"
"81001176","(80010351,80010352)","(0)","(0)","(0)","(1)","(0)"
"81001177","(80010353,80010354)","(0)","(0)","(0)","(1)","(0)"
"81001178","(80010355,80010356)","(0)","(0)","(0)","(1)","(0)"
"81001179","(80010357,80010358)","(0)","(0)","(0)","(1)","(0)"
"81001180","(80010359,80010360)","(0)","(0)","(0)","(1)","(0)"
"81001181","(80010361,80010362)","(0)","(0)","(0)","(1)","(0)"
"81001182","(80010363,80010364)","(0)","(0)","(0)","(1)","(0)"
"81001183","(80010365,80010366)","(0)","(0)","(0)","(1)","(0)"
"81001184","(80010367,80010368)","(0)","(0)","(0)","(1)","(0)"
"81001185","(80010369,80010370)","(0)","(0)","(0)","(1)","(0)"
"81001186","(80010371,80010372)","(0)","(0)","(0)","(1)","(0)"
"81001187","(80010373,80010374)","(0)","(0)","(0)","(1)","(0)"
"81001188","(80010375,80010376)","(0)","(0)","(0)","(1)","(0)"
"81001189","(80010377,80010378)","(0)","(0)","(0)","(1)","(0)"
"81001190","(80010379,80010380)","(0)","(0)","(0)","(1)","(0)"
"81001191","(80010381,80010382)","(0)","(0)","(0)","(1)","(0)"
"81001192","(80010383,80010384)","(0)","(0)","(0)","(1)","(0)"
"81001193","(80010385,80010386)","(0)","(0)","(0)","(1)","(0)"
"81001194","(80010387,80010388)","(0)","(0)","(0)","(1)","(0)"
"81001195","(80010389,80010390)","(0)","(0)","(0)","(1)","(0)"
"81001196","(80010391,80010392)","(0)","(0)","(0)","(1)","(0)"
"81001197","(80010393,80010394)","(0)","(0)","(0)","(1)","(0)"
"81001198","(80010395,80010396)","(0)","(0)","(0)","(1)","(0)"
"81001199","(80010397,80010398)","(0)","(0)","(0)","(1)","(0)"
"81001200","(80010399,80010400)","(0)","(0)","(0)","(1)","(0)"
"81001201","(80010401,80010402)","(0)","(0)","(0)","(1)","(0)"
"81001202","(80010403,80010404)","(0)","(0)","(0)","(1)","(0)"
"81001203","(80010405,80010406)","(0)","(0)","(0)","(1)","(0)"
"81001204","(80010407,80010408)","(0)","(0)","(0)","(1)","(0)"
"81001205","(80010409,80010410)","(0)","(0)","(0)","(1)","(0)"
"81001206","(80010411,80010412)","(0)","(0)","(0)","(1)","(0)"
"81001207","(80010413,80010414)","(0)","(0)","(0)","(1)","(0)"
"81001208","(80010415,80010416)","(0)","(0)","(0)","(1)","(0)"
"81001209","(80010417,80010418)","(0)","(0)","(0)","(1)","(0)"
"81001210","(80010419,80010420)","(0)","(0)","(0)","(1)","(0)"
"81001211","(80010421,80010422)","(0)","(0)","(0)","(1)","(0)"
"81001212","(80010423,80010424)","(0)","(0)","(0)","(1)","(0)"
"81001213","(80010425,80010426)","(0)","(0)","(0)","(1)","(0)"
"81001214","(80010427,80010428)","(0)","(0)","(0)","(1)","(0)"
"81001215","(80010429,80010430)","(0)","(0)","(0)","(1)","(0)"
"81001216","(80010431,80010432)","(0)","(0)","(0)","(1)","(0)"
"81001217","(80010433,80010434)","(0)","(0)","(0)","(1)","(0)"
"81001218","(80010435,80010436)","(0)","(0)","(0)","(1)","(0)"
"81001219","(80010437,80010438)","(0)","(0)","(0)","(1)","(0)"
"81001220","(80010439,80010440)","(0)","(0)","(0)","(1)","(0)"
"81001221","(80010441,80010442)","(0)","(0)","(0)","(1)","(0)"
"81001222","(80010443,80010444)","(0)","(0)","(0)","(1)","(0)"
"81001223","(80010445,80010446)","(0)","(0)","(0)","(1)","(0)"
"81001224","(80010447,80010448)","(0)","(0)","(0)","(1)","(0)"
"81001225","(80010449,80010450)","(0)","(0)","(0)","(1)","(0)"
"81001226","(80010451,80010452)","(0)","(0)","(0)","(1)","(0)"
"81001227","(80010453,80010454)","(0)","(0)","(0)","(1)","(0)"
"81001228","(80010455,80010456)","(0)","(0)","(0)","(1)","(0)"
"81001229","(80010457,80010458)","(0)","(0)","(0)","(1)","(0)"
"81001230","(80010459,80010460)","(0)","(0)","(0)","(1)","(0)"
"81001231","(80010461,80010462)","(0)","(0)","(0)","(1)","(0)"
"81001232","(80010463,80010464)","(0)","(0)","(0)","(1)","(0)"
"81001233","(80010465,80010466)","(0)","(0)","(0)","(1)","(0)"
"81001234","(80010467,80010468)","(0)","(0)","(0)","(1)","(0)"
"81001235","(80010469,80010470)","(0)","(0)","(0)","(1)","(0)"
"81001236","(80010471,80010472)","(0)","(0)","(0)","(1)","(0)"
"81001237","(80010473,80010474)","(0)","(0)","(0)","(1)","(0)"
"81001238","(80010475,80010476)","(0)","(0)","(0)","(1)","(0)"
"81001239","(80010477,80010478)","(0)","(0)","(0)","(1)","(0)"
"81001240","(80010479,80010480)","(0)","(0)","(0)","(1)","(0)"
"81001241","(80010481,80010482)","(0)","(0)","(0)","(1)","(0)"
"81001242","(80010483,80010484)","(0)","(0)","(0)","(1)","(0)"
"81001243","(80010485,80010486)","(0)","(0)","(0)","(1)","(0)"
"81001244","(80010487,80010488)","(0)","(0)","(0)","(1)","(0)"
"81001245","(80010489,80010490)","(0)","(0)","(0)","(1)","(0)"
"81001246","(80010491,80010492)","(0)","(0)","(0)","(1)","(0)"
"81001247","(80010493,80010494)","(0)","(0)","(0)","(1)","(0)"
"81001248","(80010495,80010496)","(0)","(0)","(0)","(1)","(0)"
"81001249","(80010497,80010498)","(0)","(0)","(0)","(1)","(0)"
"81001250","(80010499,80010500)","(0)","(0)","(0)","(1)","(0)"
"81001251","(80010501,80010502)","(0)","(0)","(0)","(1)","(0)"
"81001252","(80010503,80010504)","(0)","(0)","(0)","(1)","(0)"
"81001253","(80010505,80010506)","(0)","(0)","(0)","(1)","(0)"
"81001254","(80010507,80010508)","(0)","(0)","(0)","(1)","(0)"
"81001255","(80010509,80010510)","(0)","(0)","(0)","(1)","(0)"
"81001256","(80010511,80010512)","(0)","(0)","(0)","(1)","(0)"
"81001257","(80010513,80010514)","(0)","(0)","(0)","(1)","(0)"
"81001258","(80010515,80010516)","(0)","(0)","(0)","(1)","(0)"
"81001259","(80010517,80010518)","(0)","(0)","(0)","(1)","(0)"
"81001260","(80010519,80010520)","(0)","(0)","(0)","(1)","(0)"
"81001261","(80010521,80010522)","(0)","(0)","(0)","(1)","(0)"
"81001262","(80010523,80010524)","(0)","(0)","(0)","(1)","(0)"
"81001263","(80010525,80010526)","(0)","(0)","(0)","(1)","(0)"
"81001264","(80010527,80010528)","(0)","(0)","(0)","(1)","(0)"
"81001265","(80010529,80010530)","(0)","(0)","(0)","(1)","(0)"
"81001266","(80010531,80010532)","(0)","(0)","(0)","(1)","(0)"
"81001267","(80010533,80010534)","(0)","(0)","(0)","(1)","(0)"
"81001268","(80010535,80010536)","(0)","(0)","(0)","(1)","(0)"
"81001269","(80010537,80010538)","(0)","(0)","(0)","(1)","(0)"
"81001270","(80010539,80010540)","(0)","(0)","(0)","(1)","(0)"
"81001271","(80010541,80010542)","(0)","(0)","(0)","(1)","(0)"
"81001272","(80010543,80010544)","(0)","(0)","(0)","(1)","(0)"
"81001273","(80010545,80010546)","(0)","(0)","(0)","(1)","(0)"
"81001274","(80010547,80010548)","(0)","(0)","(0)","(1)","(0)"
"81001275","(80010549,80010550)","(0)","(0)","(0)","(1)","(0)"
"81001276","(80010551,80010552)","(0)","(0)","(0)","(1)","(0)"
"81001277","(80010553,80010554)","(0)","(0)","(0)","(1)","(0)"
"81001278","(80010555,80010556)","(0)","(0)","(0)","(1)","(0)"
"81001279","(80010557,80010558)","(0)","(0)","(0)","(1)","(0)"
"81001280","(80010559,80010560)","(0)","(0)","(0)","(1)","(0)"
"81001281","(80010561,80010562)","(0)","(0)","(0)","(1)","(0)"
"81001282","(80010563,80010564)","(0)","(0)","(0)","(1)","(0)"
"81001283","(80010565,80010566)","(0)","(0)","(0)","(1)","(0)"
"81001284","(80010567,80010568)","(0)","(0)","(0)","(1)","(0)"
"81001285","(80010569,80010570)","(0)","(0)","(0)","(1)","(0)"
"81001286","(80010571,80010572)","(0)","(0)","(0)","(1)","(0)"
"81001287","(80010573,80010574)","(0)","(0)","(0)","(1)","(0)"
"81001288","(80010575,80010576)","(0)","(0)","(0)","(1)","(0)"
"81001289","(80010577,80010578)","(0)","(0)","(0)","(1)","(0)"
"81001290","(80010579,80010580)","(0)","(0)","(0)","(1)","(0)"
"81001291","(80010581,80010582)","(0)","(0)","(0)","(1)","(0)"
"81001292","(80010583,80010584)","(0)","(0)","(0)","(1)","(0)"
"81001293","(80010585,80010586)","(0)","(0)","(0)","(1)","(0)"
"81001294","(80010587,80010588)","(0)","(0)","(0)","(1)","(0)"
"81001295","(80010589,80010590)","(0)","(0)","(0)","(1)","(0)"
"81001296","(80010591,80010592)","(0)","(0)","(0)","(1)","(0)"
"81001297","(80010593,80010594)","(0)","(0)","(0)","(1)","(0)"
"81001298","(80010595,80010596)","(0)","(0)","(0)","(1)","(0)"
"81001299","(80010597,80010598)","(0)","(0)","(0)","(1)","(0)"
"81001300","(80010599,80010600)","(0)","(0)","(0)","(1)","(0)"
"81001301","(80010601,80010602)","(0)","(0)","(0)","(1)","(0)"
"81001302","(80010603,80010604)","(0)","(0)","(0)","(1)","(0)"
"81001303","(80010605,80010606)","(0)","(0)","(0)","(1)","(0)"
"81001304","(80010607,80010608)","(0)","(0)","(0)","(1)","(0)"
"81001305","(80010609,80010610)","(0)","(0)","(0)","(1)","(0)"
"81001306","(80010611,80010612)","(0)","(0)","(0)","(1)","(0)"
"81001307","(80010613,80010614)","(0)","(0)","(0)","(1)","(0)"
"81001308","(80010615,80010616)","(0)","(0)","(0)","(1)","(0)"
"81001309","(80010617,80010618)","(0)","(0)","(0)","(1)","(0)"
"81001310","(80010619,80010620)","(0)","(0)","(0)","(1)","(0)"
