"AttributeId","Name","Describe","Icon","Type","ItemGet","CurLevel","MaxLevel","UpgradeCost","AddExpCost","UpgradeNeedNum","AttArray","NpcId","AdditionBuff","AdditionBuffName","AdditionBuffDescribe","CooperateBuff","CooperateBuffDescribe","CooperateUnlockNeed","StarID","EquNeedLv","ShowBuff"
"145002012","90022044","","91222898","1","(31131102,3)","11","19","(31131102,36)","(31131129,1)","600","(4,8,8507027,0,1,4,7,1701405,0,1,4,10,226854,0,1,4,12,113427,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002013","90022044","","91222898","1","(31131102,3)","12","19","(31131102,39)","(31131129,1)","650","(4,8,9764479,0,1,4,7,1952895,0,1,4,10,260386,0,1,4,12,130193,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002014","90022044","","91222898","1","(31131102,3)","13","19","(31131102,42)","(31131129,1)","700","(4,8,11097378,0,1,4,7,2219475,0,1,4,10,295930,0,1,4,12,147965,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002015","90022044","","91222898","1","(31131102,3)","14","19","(31131102,45)","(31131129,1)","750","(4,8,12496922,0,1,4,7,2499384,0,1,4,10,333251,0,1,4,12,166625,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002016","90022044","","91222898","1","(31131102,3)","15","19","(31131102,48)","(31131129,1)","800","(4,8,13952448,0,1,4,7,2790489,0,1,4,10,372065,0,1,4,12,186032,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002017","90022044","","91222898","1","(31131102,3)","16","19","(31131102,51)","(31131129,1)","850","(4,8,15451639,0,1,4,7,3090327,0,1,4,10,412043,0,1,4,12,206021,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002018","90022044","","91222898","1","(31131102,3)","17","19","(31131102,54)","(31131129,1)","900","(4,8,16980814,0,1,4,7,3396162,0,1,4,10,452821,0,1,4,12,226410,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002019","90022044","","91222898","1","(31131102,3)","18","19","(31131102,57)","(31131129,1)","950","(4,8,18525281,0,1,4,7,3705056,0,1,4,10,494007,0,1,4,12,247003,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145002020","90022044","","91222898","1","(31131102,3)","19","19","","","","(4,8,20069748,0,1,4,7,4013949,0,1,4,10,535193,0,1,4,12,267596,0,1)","","(10020408)","(90077938)","(90077966)","","","","","",""
"145003001","90022045","","91222898","1","(31131103,3)","0","19","(31131103,3)","(31131129,1)","50","(4,8,300000,0,1,4,7,60000,0,1,4,10,16000,0,1,4,12,4000,0,1)","","(10020382)","(90077939)","(90077967)","","","","","",""
"145003002","90022045","","91222898","1","(31131103,3)","1","19","(31131103,6)","(31131129,1)","100","(4,8,660000,0,1,4,7,132000,0,1,4,10,35200,0,1,4,12,8800,0,1)","","(10020383)","(90077939)","(90077968)","","","","","",""
"145003003","90022045","","91222898","1","(31131103,3)","2","19","(31131103,9)","(31131129,1)","150","(4,8,1084800,0,1,4,7,216960,0,1,4,10,57856,0,1,4,12,14464,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003004","90022045","","91222898","1","(31131103,3)","3","19","(31131103,12)","(31131129,1)","200","(4,8,1577568,0,1,4,7,315513,0,1,4,10,84136,0,1,4,12,21034,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003005","90022045","","91222898","1","(31131103,3)","4","19","(31131103,15)","(31131129,1)","250","(4,8,2144251,0,1,4,7,428850,0,1,4,10,114360,0,1,4,12,28590,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003006","90022045","","91222898","1","(31131103,3)","5","19","(31131103,18)","(31131129,1)","300","(4,8,2790270,0,1,4,7,558054,0,1,4,10,148814,0,1,4,12,37203,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003007","90022045","","91222898","1","(31131103,3)","6","19","(31131103,21)","(31131129,1)","350","(4,8,3520271,0,1,4,7,704054,0,1,4,10,187747,0,1,4,12,46936,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003008","90022045","","91222898","1","(31131103,3)","7","19","(31131103,24)","(31131129,1)","400","(4,8,4337872,0,1,4,7,867574,0,1,4,10,231353,0,1,4,12,57838,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003009","90022045","","91222898","1","(31131103,3)","8","19","(31131103,27)","(31131129,1)","450","(4,8,5245410,0,1,4,7,1049082,0,1,4,10,279755,0,1,4,12,69938,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003010","90022045","","91222898","1","(31131103,3)","9","19","(31131103,30)","(31131129,1)","500","(4,8,6243701,0,1,4,7,1248740,0,1,4,10,332997,0,1,4,12,83249,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003011","90022045","","91222898","1","(31131103,3)","10","19","(31131103,33)","(31131129,1)","550","(4,8,7331839,0,1,4,7,1466367,0,1,4,10,391031,0,1,4,12,97757,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003012","90022045","","91222898","1","(31131103,3)","11","19","(31131103,36)","(31131129,1)","600","(4,8,8507027,0,1,4,7,1701405,0,1,4,10,453708,0,1,4,12,113427,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003013","90022045","","91222898","1","(31131103,3)","12","19","(31131103,39)","(31131129,1)","650","(4,8,9764479,0,1,4,7,1952895,0,1,4,10,520772,0,1,4,12,130193,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003014","90022045","","91222898","1","(31131103,3)","13","19","(31131103,42)","(31131129,1)","700","(4,8,11097378,0,1,4,7,2219475,0,1,4,10,591860,0,1,4,12,147965,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003015","90022045","","91222898","1","(31131103,3)","14","19","(31131103,45)","(31131129,1)","750","(4,8,12496922,0,1,4,7,2499384,0,1,4,10,666502,0,1,4,12,166625,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003016","90022045","","91222898","1","(31131103,3)","15","19","(31131103,48)","(31131129,1)","800","(4,8,13952448,0,1,4,7,2790489,0,1,4,10,744130,0,1,4,12,186032,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003017","90022045","","91222898","1","(31131103,3)","16","19","(31131103,51)","(31131129,1)","850","(4,8,15451639,0,1,4,7,3090327,0,1,4,10,824087,0,1,4,12,206021,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003018","90022045","","91222898","1","(31131103,3)","17","19","(31131103,54)","(31131129,1)","900","(4,8,16980814,0,1,4,7,3396162,0,1,4,10,905643,0,1,4,12,226410,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003019","90022045","","91222898","1","(31131103,3)","18","19","(31131103,57)","(31131129,1)","950","(4,8,18525281,0,1,4,7,3705056,0,1,4,10,988015,0,1,4,12,247003,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145003020","90022045","","91222898","1","(31131103,3)","19","19","","","","(4,8,20069748,0,1,4,7,4013949,0,1,4,10,1070386,0,1,4,12,267596,0,1)","","(10020384)","(90077939)","(90077969)","","","","","",""
"145004001","90022046","","91222898","1","(31131104,3)","0","19","(31131104,3)","(31131129,1)","50","(4,5,40000,0,1,4,6,48000,0,1,4,9,8000,0,1,4,11,4000,0,1)","","(10020385)","(90077940)","(90077970)","","","","","",""
"145004002","90022046","","91222898","1","(31131104,3)","1","19","(31131104,6)","(31131129,1)","100","(4,5,88000,0,1,4,6,105600,0,1,4,9,17600,0,1,4,11,8800,0,1)","","(10020386)","(90077940)","(90077971)","","","","","",""
"145004003","90022046","","91222898","1","(31131104,3)","2","19","(31131104,9)","(31131129,1)","150","(4,5,144640,0,1,4,6,173568,0,1,4,9,28928,0,1,4,11,14464,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004004","90022046","","91222898","1","(31131104,3)","3","19","(31131104,12)","(31131129,1)","200","(4,5,210342,0,1,4,6,252410,0,1,4,9,42068,0,1,4,11,21034,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004005","90022046","","91222898","1","(31131104,3)","4","19","(31131104,15)","(31131129,1)","250","(4,5,285900,0,1,4,6,343080,0,1,4,9,57180,0,1,4,11,28590,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004006","90022046","","91222898","1","(31131104,3)","5","19","(31131104,18)","(31131129,1)","300","(4,5,372036,0,1,4,6,446443,0,1,4,9,74407,0,1,4,11,37203,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004007","90022046","","91222898","1","(31131104,3)","6","19","(31131104,21)","(31131129,1)","350","(4,5,469369,0,1,4,6,563243,0,1,4,9,93873,0,1,4,11,46936,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004008","90022046","","91222898","1","(31131104,3)","7","19","(31131104,24)","(31131129,1)","400","(4,5,578383,0,1,4,6,694059,0,1,4,9,115676,0,1,4,11,57838,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004009","90022046","","91222898","1","(31131104,3)","8","19","(31131104,27)","(31131129,1)","450","(4,5,699388,0,1,4,6,839265,0,1,4,9,139877,0,1,4,11,69938,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004010","90022046","","91222898","1","(31131104,3)","9","19","(31131104,30)","(31131129,1)","500","(4,5,832493,0,1,4,6,998992,0,1,4,9,166498,0,1,4,11,83249,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004011","90022046","","91222898","1","(31131104,3)","10","19","(31131104,33)","(31131129,1)","550","(4,5,977578,0,1,4,6,1173094,0,1,4,9,195515,0,1,4,11,97757,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004012","90022046","","91222898","1","(31131104,3)","11","19","(31131104,36)","(31131129,1)","600","(4,5,1134270,0,1,4,6,1361124,0,1,4,9,226854,0,1,4,11,113427,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004013","90022046","","91222898","1","(31131104,3)","12","19","(31131104,39)","(31131129,1)","650","(4,5,1301930,0,1,4,6,1562316,0,1,4,9,260386,0,1,4,11,130193,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004014","90022046","","91222898","1","(31131104,3)","13","19","(31131104,42)","(31131129,1)","700","(4,5,1479650,0,1,4,6,1775580,0,1,4,9,295930,0,1,4,11,147965,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004015","90022046","","91222898","1","(31131104,3)","14","19","(31131104,45)","(31131129,1)","750","(4,5,1666256,0,1,4,6,1999507,0,1,4,9,333251,0,1,4,11,166625,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004016","90022046","","91222898","1","(31131104,3)","15","19","(31131104,48)","(31131129,1)","800","(4,5,1860326,0,1,4,6,2232391,0,1,4,9,372065,0,1,4,11,186032,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004017","90022046","","91222898","1","(31131104,3)","16","19","(31131104,51)","(31131129,1)","850","(4,5,2060218,0,1,4,6,2472262,0,1,4,9,412043,0,1,4,11,206021,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004018","90022046","","91222898","1","(31131104,3)","17","19","(31131104,54)","(31131129,1)","900","(4,5,2264108,0,1,4,6,2716930,0,1,4,9,452821,0,1,4,11,226410,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004019","90022046","","91222898","1","(31131104,3)","18","19","(31131104,57)","(31131129,1)","950","(4,5,2470037,0,1,4,6,2964045,0,1,4,9,494007,0,1,4,11,247003,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145004020","90022046","","91222898","1","(31131104,3)","19","19","","","","(4,5,2675966,0,1,4,6,3211159,0,1,4,9,535193,0,1,4,11,267596,0,1)","","(10020387)","(90077940)","(90077972)","","","","","",""
"145005001","90022047","","91222898","1","(31131105,3)","0","19","(31131105,3)","(31131129,1)","50","(4,8,300000,0,1,4,7,120000,0,1,4,10,8000,0,1,4,12,4000,0,1)","","(10020388)","(90077941)","(90077973)","","","","","",""
"145005002","90022047","","91222898","1","(31131105,3)","1","19","(31131105,6)","(31131129,1)","100","(4,8,660000,0,1,4,7,264000,0,1,4,10,17600,0,1,4,12,8800,0,1)","","(10020389)","(90077941)","(90077974)","","","","","",""
"145005003","90022047","","91222898","1","(31131105,3)","2","19","(31131105,9)","(31131129,1)","150","(4,8,1084800,0,1,4,7,433920,0,1,4,10,28928,0,1,4,12,14464,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005004","90022047","","91222898","1","(31131105,3)","3","19","(31131105,12)","(31131129,1)","200","(4,8,1577568,0,1,4,7,631027,0,1,4,10,42068,0,1,4,12,21034,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005005","90022047","","91222898","1","(31131105,3)","4","19","(31131105,15)","(31131129,1)","250","(4,8,2144251,0,1,4,7,857700,0,1,4,10,57180,0,1,4,12,28590,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005006","90022047","","91222898","1","(31131105,3)","5","19","(31131105,18)","(31131129,1)","300","(4,8,2790270,0,1,4,7,1116108,0,1,4,10,74407,0,1,4,12,37203,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005007","90022047","","91222898","1","(31131105,3)","6","19","(31131105,21)","(31131129,1)","350","(4,8,3520271,0,1,4,7,1408108,0,1,4,10,93873,0,1,4,12,46936,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005008","90022047","","91222898","1","(31131105,3)","7","19","(31131105,24)","(31131129,1)","400","(4,8,4337872,0,1,4,7,1735149,0,1,4,10,115676,0,1,4,12,57838,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005009","90022047","","91222898","1","(31131105,3)","8","19","(31131105,27)","(31131129,1)","450","(4,8,5245410,0,1,4,7,2098164,0,1,4,10,139877,0,1,4,12,69938,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005010","90022047","","91222898","1","(31131105,3)","9","19","(31131105,30)","(31131129,1)","500","(4,8,6243701,0,1,4,7,2497480,0,1,4,10,166498,0,1,4,12,83249,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005011","90022047","","91222898","1","(31131105,3)","10","19","(31131105,33)","(31131129,1)","550","(4,8,7331839,0,1,4,7,2932735,0,1,4,10,195515,0,1,4,12,97757,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005012","90022047","","91222898","1","(31131105,3)","11","19","(31131105,36)","(31131129,1)","600","(4,8,8507027,0,1,4,7,3402811,0,1,4,10,226854,0,1,4,12,113427,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005013","90022047","","91222898","1","(31131105,3)","12","19","(31131105,39)","(31131129,1)","650","(4,8,9764479,0,1,4,7,3905791,0,1,4,10,260386,0,1,4,12,130193,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005014","90022047","","91222898","1","(31131105,3)","13","19","(31131105,42)","(31131129,1)","700","(4,8,11097378,0,1,4,7,4438951,0,1,4,10,295930,0,1,4,12,147965,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005015","90022047","","91222898","1","(31131105,3)","14","19","(31131105,45)","(31131129,1)","750","(4,8,12496922,0,1,4,7,4998769,0,1,4,10,333251,0,1,4,12,166625,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005016","90022047","","91222898","1","(31131105,3)","15","19","(31131105,48)","(31131129,1)","800","(4,8,13952448,0,1,4,7,5580979,0,1,4,10,372065,0,1,4,12,186032,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005017","90022047","","91222898","1","(31131105,3)","16","19","(31131105,51)","(31131129,1)","850","(4,8,15451639,0,1,4,7,6180655,0,1,4,10,412043,0,1,4,12,206021,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005018","90022047","","91222898","1","(31131105,3)","17","19","(31131105,54)","(31131129,1)","900","(4,8,16980814,0,1,4,7,6792325,0,1,4,10,452821,0,1,4,12,226410,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005019","90022047","","91222898","1","(31131105,3)","18","19","(31131105,57)","(31131129,1)","950","(4,8,18525281,0,1,4,7,7410112,0,1,4,10,494007,0,1,4,12,247003,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145005020","90022047","","91222898","1","(31131105,3)","19","19","","","","(4,8,20069748,0,1,4,7,8027899,0,1,4,10,535193,0,1,4,12,267596,0,1)","","(10020390)","(90077941)","(90077975)","","","","","",""
"145006001","90022048","","91222898","1","(31131106,3)","0","19","(31131106,3)","(31131129,1)","50","(4,5,40000,0,1,4,6,48000,0,1,4,9,8000,0,1,4,11,8000,0,1)","","(10010300)","(90077942)","(90077976)","","","","","",""
"145006002","90022048","","91222898","1","(31131106,3)","1","19","(31131106,6)","(31131129,1)","100","(4,5,88000,0,1,4,6,105600,0,1,4,9,17600,0,1,4,11,17600,0,1)","","(10010301)","(90077942)","(90077977)","","","","","",""
"145006003","90022048","","91222898","1","(31131106,3)","2","19","(31131106,9)","(31131129,1)","150","(4,5,144640,0,1,4,6,173568,0,1,4,9,28928,0,1,4,11,28928,0,1)","","(10010302)","(90077942)","(90077978)","","","","","",""
"145006004","90022048","","91222898","1","(31131106,3)","3","19","(31131106,12)","(31131129,1)","200","(4,5,210342,0,1,4,6,252410,0,1,4,9,42068,0,1,4,11,42068,0,1)","","(10010302)","(90077942)","(90077978)","","","","","",""
"145006005","90022048","","91222898","1","(31131106,3)","4","19","(31131106,15)","(31131129,1)","250","(4,5,285900,0,1,4,6,343080,0,1,4,9,57180,0,1,4,11,57180,0,1)","","(10010302)","(90077942)","(90077978)","","","","","",""
"145006006","90022048","","91222898","1","(31131106,3)","5","19","(31131106,18)","(31131129,1)","300","(4,5,372036,0,1,4,6,446443,0,1,4,9,74407,0,1,4,11,74407,0,1)","","(10010302)","(90077942)","(90077978)","","","","","",""
