"AttributeId","MonsterLevel","MonsterId","ItemShow","RecommendationGS","ElementalMonsterType"
"114000184","184","","(31080051,31080052,31080004,31080005,31080006)","239500",""
"114000185","185","82010603","(31080051,31080052,31080004,31080005,31080006)","241400",""
"114000186","186","","(31080051,31080052,31080004,31080005,31080006)","243300",""
"114000187","187","","(31080051,31080052,31080004,31080005,31080006)","245200",""
"114000188","188","","(31080051,31080052,31080004,31080005,31080006)","247100",""
"114000189","189","","(31080051,31080052,31080004,31080005,31080006)","249000",""
"114000190","190","82010615","(31080051,31080052,31080004,31080005,31080006)","263500",""
"114000191","191","","(31080051,31080052,31080004,31080005,31080006)","265500",""
"114000192","192","","(31080051,31080052,31080004,31080005,31080006)","267500",""
"114000193","193","","(31080051,31080052,31080004,31080005,31080006)","269500",""
"114000194","194","","(31080051,31080052,31080004,31080005,31080006)","271500",""
"114000195","195","82010633","(31080051,31080052,31080004,31080005,31080006)","273400",""
"114000196","196","","(31080051,31080052,31080004,31080005,31080006)","275400",""
"114000197","197","","(31080051,31080052,31080004,31080005,31080006)","277400",""
"114000198","198","","(31080051,31080052,31080004,31080005,31080006)","279400",""
"114000199","199","","(31080051,31080052,31080004,31080005,31080006)","281500",""
"114000200","200","82010663","(31080051,31080052,31080004,31080005,31080006)","283500","1"
"114000201","201","","(31080051,31080052,31080004,31080005,31080006)","289400",""
"114000202","202","","(31080051,31080052,31080004,31080005,31080006)","292800",""
"114000203","203","","(31080051,31080052,31080004,31080005,31080006)","296300",""
"114000204","204","","(31080051,31080052,31080004,31080005,31080006)","299800",""
"114000205","205","82010676","(31080051,31080052,31080004,31080005,31080006)","303200",""
"114000206","206","","(31080051,31080052,31080004,31080005,31080006)","306700",""
"114000207","207","","(31080051,31080052,31080004,31080005,31080006)","310200",""
"114000208","208","","(31080051,31080052,31080004,31080005,31080006)","313600",""
"114000209","209","","(31080051,31080052,31080004,31080005,31080006)","317100",""
"114000210","210","82010688","(31080051,31080052,31080004,31080005,31080006)","320600",""
"114000211","211","","(31080051,31080052,31080004,31080005,31080006)","324000",""
"114000212","212","","(31080051,31080052,31080004,31080005,31080006)","327500",""
"114000213","213","","(31080051,31080052,31080004,31080005,31080006)","331000",""
"114000214","214","","(31080051,31080052,31080004,31080005,31080006)","334400",""
"114000215","215","82010701","(31080051,31080052,31080004,31080005,31080006)","337900",""
"114000216","216","","(31080051,31080052,31080004,31080005,31080006)","341300",""
"114000217","217","","(31080051,31080052,31080004,31080005,31080006)","344800",""
"114000218","218","","(31080051,31080052,31080004,31080005,31080006)","348300",""
"114000219","219","","(31080051,31080052,31080004,31080005,31080006)","351700",""
"114000220","220","82010713","(31080051,31080052,31080004,31080005,31080006)","362700","1"
"114000221","221","","(31080051,31080052,31080004,31080005,31080006)","366200",""
"114000222","222","","(31080051,31080052,31080004,31080005,31080006)","369700",""
"114000223","223","","(31080051,31080052,31080004,31080005,31080006)","373300",""
"114000224","224","","(31080051,31080052,31080004,31080005,31080006)","376800",""
"114000225","225","82010725","(31080051,31080052,31080004,31080005,31080006)","380300",""
"114000226","226","","(31080051,31080052,31080004,31080005,31080006)","383900",""
"114000227","227","","(31080051,31080052,31080004,31080005,31080006)","387400",""
"114000228","228","","(31080051,31080052,31080004,31080005,31080006)","391000",""
"114000229","229","","(31080051,31080052,31080004,31080005,31080006)","394500",""
"114000230","230","82010731","(31080051,31080052,31080004,31080005,31080006)","398000",""
"114000231","231","","(31080051,31080052,31080004,31080005,31080006)","401600",""
"114000232","232","","(31080051,31080052,31080004,31080005,31080006)","405100",""
"114000233","233","","(31080051,31080052,31080004,31080005,31080006)","408600",""
"114000234","234","","(31080051,31080052,31080004,31080005,31080006)","412200",""
"114000235","235","82010759","(31080051,31080052,31080004,31080005,31080006)","415700",""
"114000236","236","","(31080051,31080052,31080004,31080005,31080006)","419200",""
"114000237","237","","(31080051,31080052,31080004,31080005,31080006)","422800",""
"114000238","238","","(31080051,31080052,31080004,31080005,31080006)","426300",""
"114000239","239","","(31080051,31080052,31080004,31080005,31080006)","429900",""
"114000240","240","82010771","(31080051,31080052,31080004,31080005,31080006)","442300","1"
"114000241","241","","(31080051,31080052,31080004,31080005,31080006)","445900",""
"114000242","242","","(31080051,31080052,31080004,31080005,31080006)","449500",""
"114000243","243","","(31080051,31080052,31080004,31080005,31080006)","453100",""
"114000244","244","","(31080051,31080052,31080004,31080005,31080006)","456700",""
"114000245","245","82010804","(31080051,31080052,31080004,31080005,31080006)","460300",""
"114000246","246","","(31080051,31080052,31080004,31080005,31080006)","463900",""
"114000247","247","","(31080051,31080052,31080004,31080005,31080006)","467500",""
"114000248","248","","(31080051,31080052,31080004,31080005,31080006)","471100",""
"114000249","249","","(31080051,31080052,31080004,31080005,31080006)","474700",""
"114000250","250","82010817","(31080051,31080052,31080004,31080005,31080006)","478300",""
"114000251","251","","(31080051,31080052,31080004,31080005,31080006)","481900",""
"114000252","252","","(31080051,31080052,31080004,31080005,31080006)","485600",""
"114000253","253","","(31080051,31080052,31080004,31080005,31080006)","489200",""
"114000254","254","","(31080051,31080052,31080004,31080005,31080006)","492800",""
"114000255","255","82010829","(31080051,31080052,31080004,31080005,31080006)","496400",""
"114000256","256","","(31080051,31080052,31080004,31080005,31080006)","500000",""
"114000257","257","","(31080051,31080052,31080004,31080005,31080006)","503600",""
"114000258","258","","(31080051,31080052,31080004,31080005,31080006)","507200",""
"114000259","259","","(31080051,31080052,31080004,31080005,31080006)","510800",""
"114000260","260","82010854","(31080051,31080052,31080004,31080005,31080006)","529900","1"
"114000261","261","","(31080051,31080052,31080004,31080005,31080006)","533600",""
"114000262","262","","(31080051,31080052,31080004,31080005,31080006)","537300",""
"114000263","263","","(31080051,31080052,31080004,31080005,31080006)","541000",""
"114000264","264","","(31080051,31080052,31080004,31080005,31080006)","544700",""
"114000265","265","82010842","(31080051,31080052,31080004,31080005,31080006)","548400",""
"114000266","266","","(31080051,31080052,31080004,31080005,31080006)","552200",""
"114000267","267","","(31080051,31080052,31080004,31080005,31080006)","555900",""
"114000268","268","","(31080051,31080052,31080004,31080005,31080006)","559600",""
"114000269","269","","(31080051,31080052,31080004,31080005,31080006)","563300",""
"114000270","270","82012154","(31080051,31080052,31080004,31080005,31080006)","567000",""
"114000271","271","","(31080051,31080052,31080004,31080005,31080006)","570700",""
"114000272","272","","(31080051,31080052,31080004,31080005,31080006)","574400",""
"114000273","273","","(31080051,31080052,31080004,31080005,31080006)","578200",""
"114000274","274","","(31080051,31080052,31080004,31080005,31080006)","581900",""
"114000275","275","82010868","(31080051,31080052,31080004,31080005,31080006)","585600",""
"114000276","276","","(31080051,31080052,31080004,31080005,31080006)","589300",""
"114000277","277","","(31080051,31080052,31080004,31080005,31080006)","593000",""
"114000278","278","","(31080051,31080052,31080004,31080005,31080006)","596700",""
"114000279","279","","(31080051,31080052,31080004,31080005,31080006)","600400",""
"114000280","280","82010884","(31080051,31080052,31080004,31080005,31080006)","604100","1"
"114000281","281","","(31080051,31080052,31080004,31080005,31080006)","626300",""
"114000282","282","","(31080051,31080052,31080004,31080005,31080006)","630900",""
"114000283","283","","(31080051,31080052,31080004,31080005,31080006)","635500",""
"114000284","284","","(31080051,31080052,31080004,31080005,31080006)","640000",""
"114000285","285","82010916","(31080051,31080052,31080004,31080005,31080006)","644600",""
"114000286","286","","(31080051,31080052,31080004,31080005,31080006)","649200",""
"114000287","287","","(31080051,31080052,31080004,31080005,31080006)","653800",""
"114000288","288","","(31080051,31080052,31080004,31080005,31080006)","658300",""
"114000289","289","","(31080051,31080052,31080004,31080005,31080006)","662900",""
"114000290","290","82010928","(31080051,31080052,31080004,31080005,31080006)","667500",""
"114000291","291","","(31080051,31080052,31080004,31080005,31080006)","672100",""
"114000292","292","","(31080051,31080052,31080004,31080005,31080006)","676700",""
"114000293","293","","(31080051,31080052,31080004,31080005,31080006)","681200",""
"114000294","294","","(31080051,31080052,31080004,31080005,31080006)","685800",""
"114000295","295","82010935","(31080051,31080052,31080004,31080005,31080006)","690400",""
"114000296","296","","(31080051,31080052,31080004,31080005,31080006)","695000",""
"114000297","297","","(31080051,31080052,31080004,31080005,31080006)","699500",""
"114000298","298","","(31080051,31080052,31080004,31080005,31080006)","704100",""
"114000299","299","","(31080051,31080052,31080004,31080005,31080006)","708700",""
"114000300","300","82010941","(31080051,31080052,31080004,31080005,31080006)","714000","1"
"114000301","301","","(31080051,31080052,31080004,31080005,31080006)","711000",""
"114000302","302","","(31080051,31080052,31080004,31080005,31080006)","717400",""
"114000303","303","","(31080051,31080052,31080004,31080005,31080006)","723700",""
"114000304","304","","(31080051,31080052,31080004,31080005,31080006)","730000",""
"114000305","305","82010966","(31080051,31080052,31080004,31080005,31080006)","736400",""
"114000306","306","","(31080051,31080052,31080004,31080005,31080006)","742700",""
"114000307","307","","(31080051,31080052,31080004,31080005,31080006)","749000",""
"114000308","308","","(31080051,31080052,31080004,31080005,31080006)","755300",""
"114000309","309","","(31080051,31080052,31080004,31080005,31080006)","761700",""
"114000310","310","82010972","(31080051,31080052,31080004,31080005,31080006)","768000",""
"114000311","311","","(31080051,31080052,31080004,31080005,31080006)","774300",""
"114000312","312","","(31080051,31080052,31080004,31080005,31080006)","780600",""
"114000313","313","","(31080051,31080052,31080004,31080005,31080006)","787000",""
"114000314","314","","(31080051,31080052,31080004,31080005,31080006)","793300",""
"114000315","315","82011019","(31080051,31080052,31080004,31080005,31080006)","799600",""
"114000316","316","","(31080051,31080052,31080004,31080005,31080006)","806000",""
"114000317","317","","(31080051,31080052,31080004,31080005,31080006)","812300",""
"114000318","318","","(31080051,31080052,31080004,31080005,31080006)","818600",""
"114000319","319","","(31080051,31080052,31080004,31080005,31080006)","824900",""
"114000320","320","82011037","(31080051,31080052,31080004,31080005,31080006)","839400","1"
"114000321","321","","(31080051,31080052,31080004,31080005,31080006)","845800",""
"114000322","322","","(31080051,31080052,31080004,31080005,31080006)","852100",""
"114000323","323","","(31080051,31080052,31080004,31080005,31080006)","858500",""
"114000324","324","","(31080051,31080052,31080004,31080005,31080006)","864900",""
"114000325","325","82011055","(31080051,31080052,31080004,31080005,31080006)","871300",""
"114000326","326","","(31080051,31080052,31080004,31080005,31080006)","877700",""
"114000327","327","","(31080051,31080052,31080004,31080005,31080006)","884000",""
"114000328","328","","(31080051,31080052,31080004,31080005,31080006)","890400",""
"114000329","329","","(31080051,31080052,31080004,31080005,31080006)","896800",""
"114000330","330","82011067","(31080051,31080052,31080004,31080005,31080006)","903200",""
"114000331","331","","(31080051,31080052,31080004,31080005,31080006)","909600",""
"114000332","332","","(31080051,31080052,31080004,31080005,31080006)","916000",""
"114000333","333","","(31080051,31080052,31080004,31080005,31080006)","922300",""
"114000334","334","","(31080051,31080052,31080004,31080005,31080006)","928700",""
"114000335","335","82011085","(31080051,31080052,31080004,31080005,31080006)","935100",""
"114000336","336","","(31080051,31080052,31080004,31080005,31080006)","941500",""
"114000337","337","","(31080051,31080052,31080004,31080005,31080006)","947900",""
"114000338","338","","(31080051,31080052,31080004,31080005,31080006)","954200",""
"114000339","339","","(31080051,31080052,31080004,31080005,31080006)","960600",""
"114000340","340","82011091","(31080051,31080052,31080004,31080005,31080006)","976200","1"
"114000341","341","","(31080051,31080052,31080004,31080005,31080006)","982600",""
"114000342","342","","(31080051,31080052,31080004,31080005,31080006)","989100",""
"114000343","343","","(31080051,31080052,31080004,31080005,31080006)","995500",""
"114000344","344","","(31080051,31080052,31080004,31080005,31080006)","1002000",""
"114000345","345","82011118","(31080051,31080052,31080004,31080005,31080006)","1008400",""
"114000346","346","","(31080051,31080052,31080004,31080005,31080006)","1014800",""
"114000347","347","","(31080051,31080052,31080004,31080005,31080006)","1021300",""
"114000348","348","","(31080051,31080052,31080004,31080005,31080006)","1027700",""
"114000349","349","","(31080051,31080052,31080004,31080005,31080006)","1034100",""
"114000350","350","82011124","(31080051,31080052,31080004,31080005,31080006)","1040600",""
"114000351","351","","(31080051,31080052,31080004,31080005,31080006)","1047000",""
"114000352","352","","(31080051,31080052,31080004,31080005,31080006)","1053400",""
"114000353","353","","(31080051,31080052,31080004,31080005,31080006)","1059900",""
"114000354","354","","(31080051,31080052,31080004,31080005,31080006)","1066300",""
"114000355","355","82012195","(31080051,31080052,31080004,31080005,31080006)","1072800",""
"114000356","356","","(31080051,31080052,31080004,31080005,31080006)","1079200",""
"114000357","357","","(31080051,31080052,31080004,31080005,31080006)","1085600",""
"114000358","358","","(31080051,31080052,31080004,31080005,31080006)","1092100",""
"114000359","359","","(31080051,31080052,31080004,31080005,31080006)","1098500",""
"114000360","360","82012207","(31080051,31080052,31080004,31080005,31080006)","1115200","1"
"114000361","361","","(31080051,31080052,31080004,31080005,31080006)","1121700",""
"114000362","362","","(31080051,31080052,31080004,31080005,31080006)","1128200",""
"114000363","363","","(31080051,31080052,31080004,31080005,31080006)","1134700",""
"114000364","364","","(31080051,31080052,31080004,31080005,31080006)","1141200",""
"114000365","365","82011142","(31080051,31080052,31080004,31080005,31080006)","1147700",""
"114000366","366","","(31080051,31080052,31080004,31080005,31080006)","1154200",""
"114000367","367","","(31080051,31080052,31080004,31080005,31080006)","1160700",""
"114000368","368","","(31080051,31080052,31080004,31080005,31080006)","1167200",""
"114000369","369","","(31080051,31080052,31080004,31080005,31080006)","1173700",""
"114000370","370","82011177","(31080051,31080052,31080004,31080005,31080006)","1191000",""
"114000371","371","","(31080051,31080052,31080004,31080005,31080006)","1197500",""
"114000372","372","","(31080051,31080052,31080004,31080005,31080006)","1204100",""
"114000373","373","","(31080051,31080052,31080004,31080005,31080006)","1210600",""
"114000374","374","","(31080051,31080052,31080004,31080005,31080006)","1217200",""
"114000375","375","82011183","(31080051,31080052,31080004,31080005,31080006)","1223700",""
"114000376","376","","(31080051,31080052,31080004,31080005,31080006)","1230300",""
"114000377","377","","(31080051,31080052,31080004,31080005,31080006)","1236800",""
"114000378","378","","(31080051,31080052,31080004,31080005,31080006)","1243400",""
"114000379","379","","(31080051,31080052,31080004,31080005,31080006)","1249900",""
"114000380","380","82011201","(31080051,31080052,31080004,31080005,31080006)","1267800","1"
"114000381","381","","(31080051,31080052,31080004,31080005,31080006)","1274400",""
"114000382","382","","(31080051,31080052,31080004,31080005,31080006)","1281000",""
"114000383","383","","(31080051,31080052,31080004,31080005,31080006)","1287600",""
"114000384","384","","(31080051,31080052,31080004,31080005,31080006)","1294200",""
"114000385","385","82011213","(31080051,31080052,31080004,31080005,31080006)","1300800",""
"114000386","386","","(31080051,31080052,31080004,31080005,31080006)","1307400",""
"114000387","387","","(31080051,31080052,31080004,31080005,31080006)","1314000",""
"114000388","388","","(31080051,31080052,31080004,31080005,31080006)","1320600",""
"114000389","389","","(31080051,31080052,31080004,31080005,31080006)","1327200",""
