"AttributeId","LevelMax","GradeName","SmallGradeImageId","RewardDescribeImageId","GradeUpCostMoney","GradeUpCostItem","GradeUpMission","GradeUpSkills","GradeUpProperty","GradeUpTalent"
"77001034","840","90096590","91290470","91260568","","(31130408,37)","15030758","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77001035","860","90096591","91290470","91260568","","(31130408,37)","15030759","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77001036","880","90096592","91290470","91260568","","(31130408,37)","15030760","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77001037","920","90096589","91290665","91260568","","(31130408,46)","15030789","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77001038","940","90096590","91290665","91260568","","(31130408,46)","15030790","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77001039","960","90096591","91290665","91260568","","(31130408,46)","15030791","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77001040","980","90096592","91290665","91260568","","(31130408,46)","15030792","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77002001","40","90096589","91260494","91260567","","(31130408,1)","15030549","(13029101,13029031,13029111,13029141)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002002","56","90096590","91260494","91260567","","(31130408,1)","15030550","(13029081,13029051,13029121,13029151)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002003","71","90096591","91260494","91260567","","(31130408,1)","15030551","(13029071,13029021,13029131,13029161)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002004","85","90096592","91260494","91260567","","(31130408,1)","15030552","(13029101,13029031,13029111,13029141)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002005","120","90096589","91260495","91260567","","(31130408,2)","15030557","(13029081,13029051,13029121,13029151)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002006","140","90096590","91260495","91260567","","(31130408,2)","15030558","(13029071,13029021,13029131,13029161)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002007","160","90096591","91260495","91260567","","(31130408,2)","15030559","(13029101,13029031,13029111,13029141)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002008","180","90096592","91260495","91260567","","(31130408,2)","15030560","(13029081,13029051,13029121,13029151)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002009","220","90096589","91260496","91260567","","(31130408,4)","15030565","(13029071,13029021,13029131,13029161)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002010","240","90096590","91260496","91260567","","(31130408,4)","15030566","(13029101,13029031,13029111,13029141)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002011","260","90096591","91260496","91260567","","(31130408,4)","15030567","(13029081,13029051,13029121,13029151)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002012","280","90096592","91260496","91260567","","(31130408,4)","15030568","(13029071,13029021,13029131,13029161)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77002013","320","90096589","91260497","91260568","","(31130408,7)","15030573","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77002014","340","90096590","91260497","91260568","","(31130408,7)","15030574","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77002015","360","90096591","91260497","91260568","","(31130408,7)","15030575","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77002016","380","90096592","91260497","91260568","","(31130408,7)","15030576","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77002017","420","90096589","91260498","91260568","","(31130408,11)","15030581","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77002018","440","90096590","91260498","91260568","","(31130408,11)","15030582","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77002019","460","90096591","91260498","91260568","","(31130408,11)","15030583","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77002020","480","90096592","91260498","91260568","","(31130408,11)","15030584","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77002021","520","90096589","91260499","91260568","","(31130408,16)","15030589","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77002022","540","90096590","91260499","91260568","","(31130408,16)","15030590","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77002023","560","90096591","91260499","91260568","","(31130408,16)","15030591","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77002024","580","90096592","91260499","91260568","","(31130408,16)","15030592","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77002025","620","90096589","91290470","91260568","","(31130408,22)","15030701","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77002026","640","90096590","91290470","91260568","","(31130408,22)","15030702","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77002027","660","90096591","91290470","91260568","","(31130408,22)","15030703","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77002028","680","90096592","91290470","91260568","","(31130408,22)","15030704","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77002029","720","90096589","91290665","91260568","","(31130408,29)","15030733","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77002030","740","90096590","91290665","91260568","","(31130408,29)","15030734","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77002031","760","90096591","91290665","91260568","","(31130408,29)","15030735","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77002032","780","90096592","91290665","91260568","","(31130408,29)","15030736","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77002033","820","90096589","91290470","91260568","","(31130408,37)","15030765","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77002034","840","90096590","91290470","91260568","","(31130408,37)","15030766","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77002035","860","90096591","91290470","91260568","","(31130408,37)","15030767","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77002036","880","90096592","91290470","91260568","","(31130408,37)","15030768","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77002037","920","90096589","91290665","91260568","","(31130408,46)","15030797","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77002038","940","90096590","91290665","91260568","","(31130408,46)","15030798","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77002039","960","90096591","91290665","91260568","","(31130408,46)","15030799","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77002040","980","90096592","91290665","91260568","","(31130408,46)","15030800","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77003001","40","90096589","91260494","91260567","","(31130408,1)","15030597","(13038051,13038001,13038081,13038111)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003002","56","90096590","91260494","91260567","","(31130408,1)","15030598","(13038041,13038021,13038091,13038121)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003003","71","90096591","91260494","91260567","","(31130408,1)","15030599","(13038031,13038011,13038101,13038151)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003004","85","90096592","91260494","91260567","","(31130408,1)","15030600","(13038051,13038001,13038081,13038111)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003005","120","90096589","91260495","91260567","","(31130408,2)","15030605","(13038041,13038021,13038091,13038121)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003006","140","90096590","91260495","91260567","","(31130408,2)","15030606","(13038031,13038011,13038101,13038151)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003007","160","90096591","91260495","91260567","","(31130408,2)","15030607","(13038051,13038001,13038081,13038111)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003008","180","90096592","91260495","91260567","","(31130408,2)","15030608","(13038041,13038021,13038091,13038121)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003009","220","90096589","91260496","91260567","","(31130408,4)","15030613","(13038031,13038011,13038101,13038151)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003010","240","90096590","91260496","91260567","","(31130408,4)","15030614","(13038051,13038001,13038081,13038111)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003011","260","90096591","91260496","91260567","","(31130408,4)","15030615","(13038041,13038021,13038091,13038121)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003012","280","90096592","91260496","91260567","","(31130408,4)","15030616","(13038031,13038011,13038101,13038151)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77003013","320","90096589","91260497","91260568","","(31130408,7)","15030621","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77003014","340","90096590","91260497","91260568","","(31130408,7)","15030622","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77003015","360","90096591","91260497","91260568","","(31130408,7)","15030623","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77003016","380","90096592","91260497","91260568","","(31130408,7)","15030624","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77003017","420","90096589","91260498","91260568","","(31130408,11)","15030629","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77003018","440","90096590","91260498","91260568","","(31130408,11)","15030630","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77003019","460","90096591","91260498","91260568","","(31130408,11)","15030631","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77003020","480","90096592","91260498","91260568","","(31130408,11)","15030632","","(4,8,6750,0,1,4,5,450,0,1,4,6,540,0,1,4,7,1350,0,1,4,9,140,0,1,4,10,140,0,1)","(22,20)"
"77003021","520","90096589","91260499","91260568","","(31130408,16)","15030637","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77003022","540","90096590","91260499","91260568","","(31130408,16)","15030638","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77003023","560","90096591","91260499","91260568","","(31130408,16)","15030639","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77003024","580","90096592","91260499","91260568","","(31130408,16)","15030640","","(4,8,10130,0,1,4,5,680,0,1,4,6,810,0,1,4,7,2030,0,1,4,9,210,0,1,4,10,210,0,1)","(22,20)"
"77003025","620","90096589","91290470","91260568","","(31130408,22)","15030709","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77003026","640","90096590","91290470","91260568","","(31130408,22)","15030710","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77003027","660","90096591","91290470","91260568","","(31130408,22)","15030711","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77003028","680","90096592","91290470","91260568","","(31130408,22)","15030712","","(4,8,15200,0,1,4,5,1020,0,1,4,6,1220,0,1,4,7,3050,0,1,4,9,320,0,1,4,10,320,0,1)","(22,20)"
"77003029","720","90096589","91290665","91260568","","(31130408,29)","15030741","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77003030","740","90096590","91290665","91260568","","(31130408,29)","15030742","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77003031","760","90096591","91290665","91260568","","(31130408,29)","15030743","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77003032","780","90096592","91290665","91260568","","(31130408,29)","15030744","","(4,8,22800,0,1,4,5,1530,0,1,4,6,1830,0,1,4,7,4580,0,1,4,9,480,0,1,4,10,480,0,1)","(22,20)"
"77003033","820","90096589","91290470","91260568","","(31130408,37)","15030773","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77003034","840","90096590","91290470","91260568","","(31130408,37)","15030774","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77003035","860","90096591","91290470","91260568","","(31130408,37)","15030775","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77003036","880","90096592","91290470","91260568","","(31130408,37)","15030776","","(4,8,34200,0,1,4,5,2300,0,1,4,6,2750,0,1,4,7,6870,0,1,4,9,720,0,1,4,10,720,0,1)","(22,20)"
"77003037","920","90096589","91290665","91260568","","(31130408,46)","15030805","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77003038","940","90096590","91290665","91260568","","(31130408,46)","15030806","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77003039","960","90096591","91290665","91260568","","(31130408,46)","15030807","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77003040","980","90096592","91290665","91260568","","(31130408,46)","15030808","","(4,8,51300,0,1,4,5,3450,0,1,4,6,4130,0,1,4,7,10310,0,1,4,9,1080,0,1,4,10,1080,0,1)","(22,20)"
"77004001","40","90096589","91260494","91260567","","(31130408,1)","15030645","(13048031,13048001,13048071,13048111)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004002","56","90096590","91260494","91260567","","(31130408,1)","15030646","(13048041,13048011,13048081,13048121)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004003","71","90096591","91260494","91260567","","(31130408,1)","15030647","(13048061,13048021,13048101,13048131)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004004","85","90096592","91260494","91260567","","(31130408,1)","15030648","(13048031,13048001,13048071,13048111)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004005","120","90096589","91260495","91260567","","(31130408,2)","15030653","(13048041,13048011,13048081,13048121)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004006","140","90096590","91260495","91260567","","(31130408,2)","15030654","(13048061,13048021,13048101,13048131)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004007","160","90096591","91260495","91260567","","(31130408,2)","15030655","(13048031,13048001,13048071,13048111)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004008","180","90096592","91260495","91260567","","(31130408,2)","15030656","(13048041,13048011,13048081,13048121)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004009","220","90096589","91260496","91260567","","(31130408,4)","15030661","(13048061,13048021,13048101,13048131)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004010","240","90096590","91260496","91260567","","(31130408,4)","15030662","(13048031,13048001,13048071,13048111)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004011","260","90096591","91260496","91260567","","(31130408,4)","15030663","(13048041,13048011,13048081,13048121)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004012","280","90096592","91260496","91260567","","(31130408,4)","15030664","(13048061,13048021,13048101,13048131)","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,7,450,0,1)",""
"77004013","320","90096589","91260497","91260568","","(31130408,7)","15030669","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77004014","340","90096590","91260497","91260568","","(31130408,7)","15030670","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
"77004015","360","90096591","91260497","91260568","","(31130408,7)","15030671","","(4,8,4500,0,1,4,5,300,0,1,4,6,360,0,1,4,7,900,0,1,4,9,90,0,1,4,10,90,0,1)","(22,20)"
