"AttributeId","TriggerGuideID","NeedLevel","NeedMission","MustNeedMission","NeedFuncUnlock","NewFuncUnlockFuncId","LandWelfareId","IsHitFirstGuide","NeedItem","NeedItemType","NeedMoney","RoleState","OpenWidget","FirstTimeDo","NeedGodHoodGrade","NeedTinderOrder","NeedShowWidgetName","NeedFlyMaxHedit","DeadCanGuide","NeedMapID","NeedMapState","NewGudieNeedRePlay","EndGuideNeedOpenMp","OpenGuideNoOpenMp","TriggerInPublicMap","ResetSkillType","KeepWidget","is_accord","LoginCheckGuideMission"
"118003400","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118003500","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118003600","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118003700","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118003800","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118003900","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118004000","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118004100","","","","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118004200","100100026","","(0,15000619,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118004300","100100027","","(0,15000648,3)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118004400","100100028","","(0,15000660,3)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118004500","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","1","",""
"118004600","","","","","","","","","","","","","","","","2","","","","71000001","18","","","","","","1","",""
"118004700","","","","","","","","","","","","","","","","3","","","","71000001","18","","","","","","1","",""
"118004800","","","","","","","","","","","","","","","","4","","","","71000001","18","","","","","","1","",""
"118004900","","","","","","","","","","","","","","","","5","","","","71000001","18","","","","","","1","",""
"118005000","","","","","","","","","","","","","","","","6","","","","71000001","18","","","","","","1","",""
"118005100","","","","","","","","","","","","","","","","7","","","","71000001","18","","","","","","1","",""
"118005200","","","","","","","","","","","","","","","","8","","","","71000001","18","","","","","","1","",""
"118005300","","","","","","","","","","","","","","","","9","","","","71000001","18","","","","","","1","",""
"118005400","","","","","","","","","","","","","","","","10","","","","71000001","18","","","","","","1","",""
"118005500","","","","","","","","","","","","","","","","11","","","","71000001","18","","","","","","1","",""
"118005600","","","","","","","","","","","","","","","","12","","","","71000001","18","","","","","","1","",""
"118005700","","","","","","","","","","","","","","","","13","","","","71000001","18","","","","","","1","",""
"118005800","","","","","","","","","","","","","","","","14","","","","71000001","18","","","","","","1","",""
"118005900","","","","","","","","","","","","","","","","15","","","","71000001","18","","","","","","1","",""
"118006000","","","","","","","","","","","","","","","","16","","","","71000001","18","","","","","","1","",""
"118006100","","","","","","","","","","","","","","","","17","","","","71000001","18","","","","","","1","",""
"118006200","","","","","","","","","","","","","","","","18","","","","71000001","18","","","","","","1","",""
"118006300","","","","","","","","","","","","","","","","19","","","","71000001","18","","","","","","1","",""
"118006400","","","","","","","","","","","","","","","","20","","","","71000001","18","","","","","","1","",""
"118006500","","","","","","","","","","","","","","","","21","","","","71000001","18","","","","","","1","",""
"118006600","","","","","","","","","","","","","","","","22","","","","71000001","18","","","","","","1","",""
"118006700","","","","","","","","","","","","","","","","23","","","","71000001","18","","","","","","1","",""
"118006800","","","","","","","","","","","","","","","","24","","","","71000001","18","","","","","","1","",""
"118007000","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118007100","","","","","CommonSkill","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118007200","100000120","","","","ActiveSkill2","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118007300","100000130","","","","ActiveSkill3","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118007400","","","","","Mount","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118007500","","","","","Fly","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118007600","","","","","","","","","","","","","","3","","","","","","71000001","18","","","","","","","",""
"118007700","","","","","MountIllusions","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118007800","100000180","","","","DramaRaid","","","","","","","","","","","","","","","71000001","18","","","","","","","","(0,15000638,7)"
"118007900","100000170","","","","SkyRaid","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118008000","100100110","","(0,15000698,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118008100","100000220","","","","MultiPlayerRaid","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118008200","100000210","","","","DemonsTowerRaid","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118008300","100000423","","","","","","","","","","","","UILegionListWidget","","","","","","","71000001","18","","","","","","","",""
"118008400","100000430","","","","Composit","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118008500","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118008600","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118008700","100000710","","","","GodAssembly","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118008800","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118008900","","","","","Ranking","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118009000","100000470","","","","Belief","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118009100","100002263","","","","Spirit","","","","(31050001,1)","","","","","","","","","","","71000001","18","","","","","","","",""
"118009200","","","","","Spirit","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118009300","","","","","Spirit","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118009400","","","","","SpiritFetter","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118009500","","","","","SpeicalBouns","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118009600","100000460","","","","Element","","","","(31060018,1)","","","","","","","","","","","71000001","18","","","","1","","","",""
"118009700","100000240","","","","Upgrade","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118009800","100000250","","","","Addon","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118009900","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010000","100000270","","","","Succint","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010100","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010200","100000340","","","","BattlefieldActivity","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010300","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010400","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010500","","","","","DailyMustDo","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010600","100000351","","","","Wing","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010700","","","","","WingAddSpirit","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010800","","","","","WingAddSoul","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118010900","100000380","","","","WingFeather","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011000","100000410",""," ","","Change","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011100","","","","","Hope","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011200","100000510","","","","Arena","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011300","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011400","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011500","","","(0,15000608,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011501","","","(0,15000608,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011502","","","(0,15000608,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011600","","","(0,15000610,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011700","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011800","","","","","Auction","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118011900","","","","","GuardSkill","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118012000","100000650","","","","TotalLoginTime","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118012100","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118012200","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118012300","100000740","","","","DailyMission","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118012400","100000760","","","","Talent","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118012500","","","","","SpiritChange","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118012600","100000790","","","","MoneyDailyRaid","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118012700","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118012800","","","(0,15000704,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118012900","100000846","40","","","","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118013000","","","","","MPStrongWay","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118013100","100000110","","","","ActiveSkill1","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118013101","100100025","","(0,15000602,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118013102","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118013200","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118013300","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118013400","","","(0,15000624,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118013500","","","","","","","","","","","","","","10","","","","","1","71000001","18","","","","","","","",""
"118013600","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118013700","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118013800","100001040","","","","MultiPlayerRaid2","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118013900","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118014000","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118014100","100001070","","","","MultiPlayerRaid5","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118014200","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118014300","","","(0,15000735,7)","","MountIcon","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118014400","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118014500","100001100","","","","","","","","","(4,7,4,26,4,30)","","","","","","","","","","71000001","18","","","","1","","","",""
"118014600","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118014700","100001120","","","","Marry","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118014800","100001130","","","","","","107001002","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118014900","100001140","","","","","","107001003","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015000","100001150","","","","","","107001004","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015100","100001160","","","","","","107001005","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015200","100001170","","","","","","107001006","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015300","","","","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015400","","","","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015500","","","","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015600","","","","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015700","","","","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015800","","","","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118015900","","","","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118016000","","","","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118016100","","","","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118016200","100001280","","","","","","107001001","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118016300","100001290","","","","","","","","","(4,32)","","","","","","","","","","71000001","18","","","","1","","","",""
"118016400","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118016500","","","","","","","","","","","","","","","","","","","","71000001","18","1","","","","","","",""
"118016600","100001310","","(0,15000632,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118016601","","","(0,15000632,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","1","",""
"118016602","100001320","","(0,15000632,7)","","","","","","","","","","","","","","","","","71000001","18","","","1","","","","",""
"118016700","100001330","","","","SeniorAttribute","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118016800","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118016900","100001350","","","","ExpLevel","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118017000","100000520","","","","Meditation","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118017100","100001360","","","","Jewel","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118017200","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118017300","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","100","0","",""
"118017400","","","","","BossHome","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118017500","","","(4,15030501,6)","","","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118017600","","","(0,15000648,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118017700","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118017800","100001701","","(0,15001004,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118017900","","","","","ProwerLevel","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118018000","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118018100","100001730","","(0,15000795,7)","","SpiritTreasure","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118018200","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118018300","","","","","","","","","","","","","","14","","","","","","71030001","18","","","","","","","",""
"118018400","100001760","","","","LegionBadgeShop","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118018500","100001770","","","","TargetHebdo","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118018600","","","","","","","","1","","","","","","","","","","","","71000001","18","","","","","100","","",""
"118018700","100001800","","","","GuardSkill","","","1","","","","","","","","","","","","71030003","18","","","","","100","","",""
"118018800","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118018900","100001830","","","","MountSoulStar","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019000","100001840","","","","WingSoulStar","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019100","","","(0,15001006,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019200","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019300","","","(0,15000632,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019400","","","(0,15000663,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019500","","","(0,15000715,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019600","","","(0,15000759,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019700","","","(0,15000795,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019800","","","(0,15000834,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118019900","","","(0,15000864,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020000","","","(0,15000901,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020100","","","(0,15000921,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020200","","","(0,15000956,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020300","","","(0,15000968,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020400","","","(0,15001005,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020500","","","(0,15001012,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020600","","","(0,15001047,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020700","","","(0,15001079,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020800","","","(0,15001113,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118020900","","","(0,15001145,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118021000","","","(0,15001167,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118021100","","","(0,15001212,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118021200","","","(0,15001242,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118021300","","","(0,15001273,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118021400","","","(0,15001303,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118021500","","","(0,15001334,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118021600","","","(0,15001368,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118021700","100002110","","","","","","","","","(4,44)","","","","","","","","","","71000001","18","","","","","","","",""
"118021800","","","(4,15030549,6)","","","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118021900","","","(4,15030597,6)","","","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118022000","","","(4,15030645,6)","","","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118022100","100002120","","","","Pokedex","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118022200","100002140","","","","HeroBook","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118022300","100002150","","","","Forge","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118022400","100002160","","","","FuMo","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118022500","100002170","","","","SkyItem","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118022600","","","","","","","","","","","","","","","","25","","","","71000001","18","","","","","","1","",""
"118022700","","","","","","","","","","","","","","","","26","","","","71000001","18","","","","","","1","",""
"118022800","","","","","","","","","","","","","","","","27","","","","71000001","18","","","","","","1","",""
"118022900","","","","","","","","","","","","","","","","28","","","","71000001","18","","","","","","1","",""
"118023000","","","","","","","","","","","","","","","","29","","","","71000001","18","","","","","","1","",""
"118023100","","","","","","","","","","","","","","","","30","","","","71000001","18","","","","","","1","",""
"118023200","100100059","","(0,15001370,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118023300","100100060","","(0,15001455,6)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118023400","100100061","","(0,15001481,6)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118023500","100100062","","(0,15001508,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118023600","","","","","","","","","","","","","","","","25","","","","71000001","18","","","","","","","",""
"118023700","","","(0,15001386,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118023800","","","","","","","","","","","","","","","","26","","","","71000001","18","","","","","","","",""
"118023900","","","(0,15001408,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118024000","","","","","","","","","","","","","","","","27","","","","71000001","18","","","","","","","",""
"118024100","","","(0,15001433,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118024200","","","","","","","","","","","","","","","","28","","","","71000001","18","","","","","","","",""
"118024300","","","(0,15001455,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118024400","","","","","","","","","","","","","","","","29","","","","71000001","18","","","","","","","",""
"118024500","","","(0,15001481,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118024600","","","","","","","","","","","","","","","","30","","","","71000001","18","","","","","","","",""
"118024700","","","(0,15001513,7)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118024800","100002180","","","","Deity","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118024900","100002190","","","","DiaoWenWFeather","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118025000","","","","","","","","","","","","","","","","31","","","","71000001","18","","","","","","1","",""
"118025100","","","","","","","","","","","","","","","","32","","","","71000001","18","","","","","","1","",""
"118025200","","","","","","","","","","","","","","","","33","","","","71000001","18","","","","","","1","",""
"118025300","","","","","","","","","","","","","","","","34","","","","71000001","18","","","","","","1","",""
"118025400","100100079","","(0,15001515,7)","","","","","","","","","","","","","","","","","71000001","18","","1","","","","","",""
"118025500","100100080","","(0,15001540,7)","","","","","","","","","","","","","","","","","71010100","18","","1","","","","","",""
"118025600","100100081","","(0,15001686,7)","","","","","","","","","","","","","","","","","71010100","18","","1","","","","","",""
"118025700","","","","","","","","","","","","","","","","31","","","","0","","","","","","","","",""
"118025800","","","(0,15001514,7)","","","","","","","","","","","","","","","","","0","","","","","","","","",""
"118025900","","","","","","","","","","","","","","","","32","","","","0","","","","","","","","",""
"118026000","","","(0,15001627,7)","","","","","","","","","","","","","","","","","0","","","","","","","","",""
"118026100","100100086","","(0,15001516,7)","","","","","","","","","","","","","","","","","71010100","18","","1","","","","","",""
"118026200","100100087","","","","","","","","","","","","","","","31","","","","71010100","18","","","","","","1","",""
"118026300","100100088","","","","","","","","","","","","","","","32","","","","71010100","18","","","","","","1","",""
"118026400","100100089","","","","","","","","","","","","","","","33","","","","71010100","18","","","","","","1","",""
"118026500","100100090","","","","","","","","","","","","","","","34","","","","71010100","18","","","","","","1","",""
"118026600","100100270","","","","Awaken","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118026700","100002210","","","","BossHome","","","","","","","","","","","","UIHelpDamageRankWidget","","","71000001","18","","","","","","","1",""
"118026800","100100100","","(0,15000618,3)","","","","","","","","","","","","","","","1","","71000001","18","","","","","","","",""
"118026900","100100120","","(0,15000664,6)","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118027000","","","","","","","","","","","","","","","","","","","","0","","","","","","","","1",""
"118027100","","","","","","","","","","","","","","","","","","","","0","","","","","","","","1",""
"118027200","100002220","","","","DiGongBoss","","","","","","","","","","","","","","","0","","","","","","","","",""
"118027300","100001090","","(0,15000769,7)","","MountIcon","","","","","","","","","","","","","","","","","","","","","","","",""
"118027400","","","","","","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118027500","","","","","","","","","","","(18,60)","","","","","","","","","71000001","18","","","","1","","","",""
"118027600","","","","","Composit","","","","","","","","","","","","","","","71000001","18","","","","","","","",""
"118027700","","","","","Change","","","","","","(4,12)","","","","","","","","","71000001","18","","","","","","","",""
"118027800","","","","","Spirit","","","","","","","","","","","","","","","","","","","","","","","",""
"118027900","100100240","","","","SingleBoss","","","","","","","","","","","","","","","0","","","","","","","","",""
"118028000","100100150","","(4,15030501,6)","","","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118028100","100100150","","(4,15030549,6)","","","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118028200","100100150","","(4,15030597,6)","","","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118028300","100100150","","(4,15030645,6)","","","","","","","","","","","","","","","","","71000001","18","","","","1","","","",""
"118028400","100100160","12","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118028500","100100170","","","","MountEquip","","","","","","","","","","","","","","","","","","","","","","","",""
"118028600","100100180","","","","LimitedTimeActivities","","","","","","","","","","","","","","","","","","","","","","","",""
"118028700","100100190","","","","BossOfHome","","","","","","","","","","","","","","","","","","","","","","","",""
